Departamentos,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016P/,2017P/,2018E/,2019E/,2020E/
Madre de Dios,1 864 543,1 902 177,2 033 411,2 229 180,2 454 999,1 950 139,2 240 082,1 923 155,2 346 810,2 663 699,2 409 050,2 255 653,2 124 983,1 610 287
Moquegua,7 525 100,8 663 619,8 436 303,8 457 008,7 785 269,7 756 800,8 598 669,8 371 348,8 693 747,8 635 514,8 696 704,8 785 457,8 416 846,8 581 157
Pasco,5 486 459,5 416 732,5 040 946,4 702 403,4 641 887,4 880 072,4 885 819,5 046 668,5 211 406,5 329 324,5 333 755,5 337 612,5 443 881,4 435 254
Piura,12 651 720,13 580 502,13 998 851,15 106 528,16 366 999,17 066 135,17 746 782,18 750 443,18 866 671,18 924 869,18 473 111,19 758 433,20 626 256,18 695 031
Puno,5 888 474,6 328 455,6 587 873,6 980 479,7 384 505,7 734 458,8 294 320,8 487 313,8 519 702,9 075 999,9 434 737,9 666 999,9 803 780,8 703 309
San Martín,3 266 254,3 598 432,3 740 600,4 034 361,4 245 537,4 752 177,4 828 116,5 173 301,5 466 266,5 588 107,5 944 145,6 063 316,6 081 464,5 862 804
Tacna,5 143 137,5 016 741,4 823 192,5 338 879,5 466 509,5 526 840,5 781 849,6 094 038,6 598 403,6 506 248,6 584 715,7 110 940,8 737 472,8 505 041
Tumbes,1 637 185,1 902 059,2 082 047,2 307 874,2 168 906,2 440 755,2 491 026,2 607 186,2 540 855,2 507 255,2 649 033,2 752 958,2 919 599,2 518 429
Ucayali,3 054 659,3 212 843,3 243 767,3 351 315,3 548 168,3 882 453,3 947 464,3 957 775,4 163 474,4 176 645,4 305 190,4 440 780,4 625 127,4 021 825
,,,,,,,,,,,,,,
Valor Agregado Bruto,293 189 822,318 790 856,322 523 652,347 414 072,369 930 807,391 432 954,413 533 783,423 193 988,438 189 192,455 722 499,467 758 714,486 357 099,497 181 839,443 036 513
,,,,,,,,,,,,,,
Impuestos a los Productos,23 672 020,26 618 399,27 397 396,31 092 161,32 442 212,35 162 701,38 194 925,39 716 922,40 458 121,42 246 926,42 666 329,44 420 343,46 142 106,40 960 444
Derechos de Importación,2 831 473,3 460 639,2 772 041,3 575 225,3 883 297,4 603 062,4 706 063,4 397 059,3 859 052,3 612 049,3 790 051,3 849 052,3 281 044,2 740 037
,,,,,,,,,,,,,,
Producto Bruto Interno,319 693 315,348 869 894,352 693 089,382 081 458,406 256 316,431 198 717,456 434 771,467 307 969,482 506 365,501 581 474,514 215 094,534 626 494,546 604 989,486 736 994
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fuente: Instituto Nacional de Estadística e Informática,,,,,,,,,,,,,,
Con información disponible al 15 de diciembre del 2021,,,,,,,,,,,,,,
