Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,IMC
1,21,1.5,65,1,0,2,3,1,0,2,0,2,2,1,0,28.89
1,22,1.56,49,0,1,2,3,1,0,1,1,2,0,0,1,20.13
1,21,1.6,48,0,1,2,3,1,0,1,0,1,0,1,0,18.75
0,23,1.65,67,1,1,2,3,1,0,2,0,1,1,1,0,24.61
1,21,1.75,88,1,1,2,3,1,0,3,0,3,0,1,0,28.73
1,21,1.67,75,1,1,2,3,1,0,2,0,1,0,1,0,26.89
0,23,1.68,60,0,0,2,4,2,0,2,0,0,0,0,1,21.26
1,21,1.66,64,1,1,1,3,1,0,1,0,0,0,0,0,23.23
0,21,1.66,62,1,1,2,3,1,1,2,0,1,1,2,0,22.5
0,21,1.81,80,0,0,1,3,0,0,2,0,2,0,0,0,24.42
1,21,1.53,65,1,0,2,3,1,0,1,0,0,1,0,0,27.77
0,21,1.82,72,1,1,1,3,2,0,3,0,2,0,1,0,21.74
0,21,1.75,72,1,1,1,3,2,0,3,0,2,0,1,0,23.51
1,20,1.66,60,1,0,3,3,1,0,2,0,1,0,1,1,21.77
1,21,1.55,50,0,1,2,3,1,0,2,0,0,0,1,0,20.81
1,21,1.61,54.5,1,1,3,3,1,0,3,0,0,1,1,1,21.03
1,20,1.5,44,0,1,2,3,1,0,1,0,0,0,1,0,19.56
1,23,1.64,52,0,1,3,1,1,0,2,0,2,2,0,0,19.33
1,23,1.63,55,1,0,3,3,0,0,2,1,2,1,0,0,20.7
1,22,1.6,55,0,0,3,4,3,0,3,0,2,0,0,0,21.48
0,23,1.68,62,0,0,2,4,2,0,2,0,0,0,1,0,21.97
0,22,1.7,70,1,1,2,3,1,0,1,0,0,1,1,0,24.22
0,21,1.64,65,1,0,2,3,1,0,1,0,0,1,0,0,24.17
1,17,1.65,67,1,1,3,1,1,0,2,0,1,1,0,1,24.61
0,20,1.76,55,1,1,2,4,1,0,3,0,2,2,0,0,17.76
1,21,1.55,49,1,1,2,3,1,0,3,0,3,1,1,0,20.4
0,20,1.65,58,0,1,2,3,1,0,2,0,3,1,1,0,21.3
0,22,1.67,62,0,1,2,1,0,0,2,0,0,0,1,0,22.23
0,22,1.68,55,1,1,2,3,1,0,2,0,0,2,1,0,19.49
1,21,1.66,57,1,1,2,3,2,0,1,0,1,1,0,0,20.69
1,21,1.62,69,1,1,1,3,2,0,2,0,0,1,0,0,26.29
0,23,1.8,90,1,1,1,3,3,0,2,0,0,2,2,0,27.78
0,23,1.65,95,1,1,2,3,3,0,2,0,0,1,2,0,34.89
0,30,1.76,112,1,1,1,3,0,1,2,1,0,0,2,0,36.16
0,23,1.8,60,1,0,2,3,0,0,3,0,0,1,1,0,18.52
1,23,1.65,80,1,1,2,3,3,0,2,0,0,2,0,0,29.38
1,22,1.67,50,1,0,3,3,0,0,3,1,2,1,1,0,17.93
1,24,1.65,60,1,0,2,3,1,0,3,1,1,0,0,0,22.04
0,19,1.85,65,1,0,2,3,1,0,3,0,2,1,1,0,18.99
0,24,1.7,85,1,1,2,3,2,0,3,0,0,1,2,0,29.41
1,23,1.63,45,1,0,3,3,1,0,3,1,2,0,0,0,16.94
1,24,1.6,45,1,0,2,3,0,0,2,0,1,0,0,0,17.58
1,24,1.7,80,1,1,2,3,1,0,3,0,0,0,0,0,27.68
1,23,1.65,90,1,1,2,3,1,0,3,0,0,1,0,0,33.06
0,23,1.65,60,1,0,2,3,1,0,2,0,0,0,1,0,22.04
1,19,1.63,58,0,0,3,3,1,0,2,1,0,0,0,0,21.83
0,30,1.8,91,1,1,2,3,2,0,2,0,0,0,1,0,28.09
0,23,1.67,85.5,1,1,2,3,3,0,2,0,0,1,0,0,30.66
1,19,1.6,45,0,0,3,3,0,0,3,1,2,0,0,1,17.58
0,25,1.7,83,1,1,2,3,2,0,2,0,0,1,1,0,28.72
0,23,1.65,58.5,1,0,2,3,1,0,2,0,0,0,0,0,21.49
0,21,1.85,83,1,1,2,1,2,0,3,0,1,0,0,0,24.25
0,19,1.82,87,1,1,2,3,1,0,2,0,0,0,0,0,26.26
1,22,1.65,65,1,1,2,3,2,0,2,1,1,0,0,0,23.88
1,29,1.7,78,1,1,3,3,1,0,1,0,2,1,2,0,26.99
1,25,1.63,93,0,0,3,4,3,0,1,0,2,0,0,0,35
1,20,1.61,64,1,0,3,3,3,0,2,1,0,1,2,0,24.69
0,55,1.78,84,1,0,3,4,2,0,3,1,3,0,2,1,26.51
1,20,1.6,57,0,0,3,3,3,0,2,0,1,0,0,1,22.27
1,24,1.6,48,0,1,3,3,1,0,2,0,2,0,0,0,18.75
0,26,1.7,70,1,0,3,1,2,0,2,0,2,0,2,0,24.22
1,23,1.66,60,1,0,2,3,1,0,2,0,3,0,1,0,21.77
1,21,1.52,42,0,0,3,1,2,0,1,0,0,0,1,0,18.18
1,21,1.52,42,0,0,3,1,2,0,1,0,0,0,1,0,18.18
0,23,1.72,70,0,0,2,3,1,0,2,0,3,1,2,0,23.66
1,21,1.69,63,0,1,3,1,1,0,1,0,0,0,1,0,22.06
0,22,1.7,66.4,1,0,2,3,2,0,2,0,0,0,0,0,22.98
1,21,1.55,57,0,1,2,4,2,0,2,1,2,0,1,0,23.73
1,22,1.65,58,1,1,3,4,2,0,2,0,1,0,1,0,21.3
1,38,1.56,80,1,1,2,3,1,0,2,0,0,0,1,0,32.87
1,25,1.57,55,0,1,2,1,1,0,2,0,2,0,1,0,22.31
1,25,1.57,55,0,1,2,1,1,0,2,0,2,0,1,0,22.31
0,22,1.88,90,1,1,2,3,3,0,1,0,0,1,1,0,25.46
0,22,1.75,95,1,0,2,3,1,0,3,0,3,2,0,1,31.02
1,21,1.65,88,1,1,3,1,1,0,3,0,2,1,0,0,32.32
0,21,1.75,75,1,1,3,3,1,0,2,0,0,1,1,0,24.49
1,22,1.58,58,1,1,2,1,1,0,1,0,0,0,0,0,23.23
1,18,1.56,51,1,1,2,4,2,0,2,0,1,0,1,0,20.96
1,22,1.5,49,1,0,2,1,1,0,2,0,3,0,0,1,21.78
1,19,1.61,62,1,1,3,1,2,0,2,0,1,0,2,0,23.92
1,17,1.75,57,1,1,3,3,2,0,2,0,0,1,0,0,18.61
1,15,1.65,86,1,1,3,3,1,0,1,0,3,2,0,1,31.59
1,17,1.7,85,1,0,2,3,2,0,2,0,1,1,0,0,29.41
0,23,1.62,53,1,1,2,3,1,0,2,0,1,1,1,0,20.2
1,19,1.63,76,1,0,3,3,2,1,3,0,2,1,1,0,28.6
1,23,1.67,75,1,1,2,3,2,1,2,0,0,2,0,1,26.89
0,23,1.87,95,1,1,1,3,2,0,2,0,0,2,2,0,27.17
0,21,1.75,50,1,0,3,4,2,0,1,0,1,0,0,1,16.33
0,24,1.66,67,1,1,3,1,1,0,2,0,1,0,0,0,24.31
0,23,1.76,90,0,1,3,3,1,0,1,0,0,0,0,0,29.05
0,18,1.75,80,1,1,2,3,3,0,2,0,0,0,2,0,26.12
0,19,1.67,68,0,1,2,3,1,0,2,0,1,0,1,0,24.38
1,19,1.65,61,0,1,3,1,1,0,3,1,1,0,1,0,22.41
0,20,1.72,70,1,1,3,3,2,0,1,0,0,0,1,0,23.66
0,27,1.7,78,0,1,3,3,1,0,3,0,1,1,2,0,26.99
1,20,1.58,53,1,1,2,4,2,0,2,0,1,1,0,0,21.23
0,23,1.62,58,0,0,2,3,1,0,1,0,1,0,0,0,22.1
1,19,1.65,56,1,1,3,3,2,1,3,1,1,2,2,0,20.57
1,61,1.65,66,0,1,3,3,3,0,2,0,1,1,2,0,24.24
0,30,1.77,109,1,1,3,3,1,0,1,0,2,0,1,0,34.79
0,24,1.7,75,1,1,2,3,1,0,2,0,1,0,1,0,25.95
0,25,1.79,72,1,1,2,3,1,0,2,0,1,1,1,0,22.47
0,44,1.6,80,1,0,2,3,1,1,3,0,0,0,0,0,31.25
0,31,1.76,75,1,0,3,3,3,0,3,1,3,0,0,0,24.21
0,25,1.7,68,0,1,2,3,2,0,2,0,0,1,0,0,23.53
0,23,1.89,65,1,1,3,3,2,0,3,0,1,1,1,0,18.2
0,25,1.87,66,0,1,3,3,3,0,2,0,2,0,2,0,18.87
0,23,1.74,93.5,0,1,2,3,2,1,1,0,1,1,2,0,30.88
1,34,1.68,75,0,1,3,1,1,0,1,0,0,0,1,0,26.57
0,22,1.61,67,1,0,2,4,1,0,3,1,2,2,1,0,25.85
0,21,1.62,70,0,1,2,1,0,0,3,0,1,0,1,0,26.67
1,24,1.56,51,0,0,3,3,2,0,2,0,2,2,2,0,20.96
1,36,1.63,80,1,0,3,3,1,0,1,0,0,0,1,0,30.11
1,27,1.6,61,0,1,3,3,3,0,2,0,0,0,1,0,23.83
1,32,1.67,90,1,1,3,1,1,0,2,0,2,0,1,0,32.27
0,25,1.78,78,1,1,2,1,1,0,2,0,2,1,1,0,24.62
1,30,1.62,59,1,1,3,3,1,0,2,0,2,0,1,0,22.48
1,38,1.5,60,1,1,2,1,3,1,2,0,0,0,1,0,26.67
0,34,1.69,84,1,0,2,3,1,0,3,0,2,0,0,0,29.41
0,22,1.74,94,1,1,2,3,1,0,2,0,0,0,1,0,31.05
1,31,1.68,63,1,1,3,1,2,0,2,0,1,1,1,0,22.32
1,35,1.53,45,1,0,3,3,2,0,1,0,0,1,0,0,19.22
0,21,1.67,60,1,1,2,3,2,0,2,0,2,1,1,0,21.51
1,40,1.55,62,1,0,3,3,1,0,3,0,0,0,1,0,25.81
0,27,1.64,78,1,1,2,1,1,0,2,0,0,0,2,0,29
0,20,1.83,72,1,0,3,3,1,1,1,0,2,1,1,0,21.5
0,55,1.65,80,0,1,2,3,1,0,2,0,1,0,0,0,29.38
1,21,1.63,60,1,1,3,3,3,1,2,0,2,0,1,0,22.58
0,25,1.89,75,0,0,3,3,2,0,2,1,3,0,0,0,21
0,35,1.77,85,1,0,3,3,2,0,3,0,2,1,1,0,27.13
0,30,1.92,130,1,0,2,3,1,1,1,0,1,0,1,0,35.26
1,29,1.74,72,1,0,3,3,3,0,2,0,0,0,1,0,23.78
0,20,1.65,80,1,0,2,3,1,0,2,0,1,2,0,1,29.38
1,22,1.73,79,1,1,2,1,1,0,2,0,1,0,1,0,26.4
1,45,1.63,77,1,1,2,3,2,0,1,0,0,0,0,0,28.98
0,22,1.72,82,0,1,2,1,1,0,2,0,2,1,1,0,27.72
0,18,1.6,58,1,1,2,3,2,0,2,0,1,0,1,0,22.66
1,23,1.65,59,0,0,3,1,1,0,2,0,1,2,1,0,21.67
0,18,1.74,64,0,0,3,3,1,0,2,1,0,1,0,0,21.14
0,21,1.62,70,0,1,2,1,0,0,3,0,1,0,1,0,26.67
1,38,1.64,59.8,1,1,2,3,1,0,2,0,2,0,0,0,22.23
1,18,1.57,48,1,1,3,1,3,0,1,0,1,0,0,0,19.47
0,22,1.84,84,1,1,3,3,2,0,2,1,3,0,1,0,24.81
0,26,1.91,84,1,1,3,3,2,1,2,0,2,2,2,0,23.03
0,21,1.62,70,0,1,2,1,0,0,3,0,1,0,1,0,26.67
1,18,1.58,48,0,1,2,3,1,0,2,0,1,0,0,0,19.23
1,23,1.68,67,1,1,2,3,2,0,1,0,0,0,1,0,23.74
1,22,1.68,52,0,1,3,3,2,0,2,0,0,1,0,0,18.42
1,23,1.48,60,1,1,2,1,1,1,1,0,0,0,1,0,27.39
0,21,1.62,70,0,1,2,1,0,0,3,0,1,0,1,0,26.67
1,31,1.62,68,0,0,3,3,1,0,2,0,1,0,1,0,25.91
0,39,1.78,96,1,0,2,3,1,0,3,0,1,0,2,0,30.3
0,25,1.78,98,1,0,2,3,1,0,3,0,3,2,0,0,30.93
0,35,1.78,105,1,1,3,1,0,0,3,0,3,1,2,0,33.14
1,33,1.63,62,1,1,2,3,1,0,2,0,1,1,0,0,23.34
0,20,1.6,56,0,1,2,3,1,0,2,0,1,0,1,0,21.88
0,26,1.75,80,1,1,3,1,2,1,2,1,2,0,1,0,26.12
0,20,1.83,85,1,0,3,3,1,0,3,1,3,0,1,0,25.38
0,20,1.78,68,0,0,2,1,2,0,3,1,2,1,0,0,21.46
1,23,1.6,83,1,1,3,3,2,0,3,0,3,0,0,0,32.42
0,19,1.8,85,1,1,3,3,1,0,2,0,1,1,1,1,26.23
0,22,1.75,74,1,0,2,3,1,0,2,0,1,2,1,0,24.16
0,41,1.75,118,1,1,2,3,1,0,2,0,0,0,1,0,38.53
1,18,1.59,40,1,1,2,1,2,0,1,0,0,2,0,0,15.82
1,23,1.66,60,1,1,2,1,1,0,1,0,1,1,1,0,21.77
1,23,1.63,83,1,0,3,1,1,1,3,0,1,2,1,0,31.24
1,41,1.54,80,1,1,2,3,3,0,1,0,0,0,1,0,33.73
1,26,1.56,102,1,1,3,3,1,1,1,0,0,1,1,0,41.91
0,29,1.69,90,1,0,2,3,1,0,3,0,1,0,1,0,31.51
0,27,1.83,71,1,1,2,3,1,0,2,0,3,2,0,0,21.2
1,23,1.6,78,1,1,2,1,1,1,2,0,1,0,2,0,30.47
0,19,1.75,100,1,1,2,3,2,0,2,0,2,0,0,0,32.65
0,30,1.75,73,1,0,2,3,0,0,2,1,1,0,1,1,23.84
1,22,1.69,65,1,1,2,3,1,0,2,0,1,1,1,0,22.76
1,22,1.69,65,1,1,2,3,1,0,2,0,1,1,1,0,22.76
0,20,1.8,114,1,1,2,3,2,0,2,0,0,1,0,0,35.19
1,21,1.63,51,0,1,2,1,1,0,1,0,1,1,0,0,19.2
1,24,1.5,63,1,0,2,1,1,0,2,0,0,0,0,0,28
0,21,1.8,62,1,1,3,3,1,0,2,0,1,0,0,0,19.14
0,21,1.65,53,1,1,2,3,1,0,2,0,1,0,1,0,19.47
0,21,1.68,70,1,1,3,3,1,0,3,0,0,2,1,0,24.8
1,23,1.6,63,1,0,3,3,2,0,2,0,3,0,1,1,24.61
0,21,1.71,75,0,0,2,3,2,0,3,1,3,1,2,0,25.65
1,21,1.5,42.3,1,0,1,1,1,0,2,0,3,0,0,0,18.8
1,21,1.6,68,1,1,2,3,1,0,3,0,1,0,1,0,26.56
1,21,1.75,78,1,0,2,3,2,0,2,1,0,2,2,0,25.47
0,23,1.72,82,1,1,2,1,1,0,1,0,1,1,1,0,27.72
1,21,1.72,66.5,1,1,3,4,3,0,3,0,0,2,0,0,22.48
1,22,1.61,63,1,1,3,3,2,0,3,0,1,0,0,0,24.3
1,23,1.63,82,1,1,2,1,1,0,2,0,0,0,0,0,30.86
0,25,1.83,121,1,0,3,3,1,0,3,0,2,0,1,1,36.13
1,20,1.6,50,0,1,2,3,1,0,1,0,0,1,0,0,19.53
1,24,1.62,58,0,1,3,3,1,0,2,0,1,1,1,0,22.1
1,40,1.68,80,0,0,3,3,1,0,3,0,0,0,0,0,28.34
0,32,1.75,120,1,0,3,3,1,0,3,0,0,2,0,0,39.18
0,20,1.9,91,1,1,3,4,1,0,3,0,2,0,1,1,25.21
1,21,1.63,66,1,1,3,1,1,1,3,0,0,0,1,0,24.84
1,51,1.59,50,1,0,3,3,1,1,3,1,2,0,0,0,19.78
1,34,1.68,77,1,0,3,1,1,0,2,0,1,0,1,0,27.28
1,19,1.59,49,1,1,2,1,0,0,2,0,2,0,0,0,19.38
1,19,1.69,70,1,0,2,1,0,0,2,0,2,0,0,0,24.51
1,21,1.66,59,0,1,1,3,3,0,2,1,3,0,0,0,21.41
1,19,1.64,53,1,1,3,3,1,0,1,0,1,1,0,0,19.71
1,20,1.62,53,0,1,3,1,1,0,3,0,1,1,0,0,20.2
1,19,1.7,64,1,1,3,3,0,0,3,1,3,1,0,0,22.15
1,17,1.63,65,0,1,2,1,1,0,3,0,1,1,0,0,24.46
0,22,1.6,66,0,1,3,3,1,0,2,0,3,0,0,0,25.78
1,20,1.63,64,1,1,1,3,3,0,2,0,0,2,0,0,24.09
0,33,1.85,99,1,1,2,3,1,1,3,0,1,0,1,0,28.93
1,21,1.54,49,1,0,2,1,1,0,2,1,2,0,1,0,20.66
1,20,1.64,49,0,0,3,3,1,1,2,0,2,1,1,0,18.22
1,20,1.57,60,0,1,3,3,1,0,3,0,0,1,1,0,24.34
1,20,1.62,52,0,1,3,3,2,0,1,0,3,1,0,0,19.81
0,21,1.72,72,1,1,3,3,3,0,3,1,3,0,1,0,24.34
0,21,1.76,78,1,1,3,1,1,0,2,0,3,0,1,1,25.18
1,20,1.65,75,1,1,3,1,1,0,2,0,1,1,0,0,27.55
0,20,1.67,78,1,0,2,1,1,0,3,0,0,0,2,0,27.97
0,56,1.79,90,1,0,2,3,1,1,2,0,1,0,2,0,28.09
1,26,1.59,47,1,1,2,1,1,0,2,0,0,2,1,0,18.59
1,22,1.64,56,1,0,3,3,1,0,2,0,0,0,0,0,20.82
0,19,1.78,81,1,0,1,3,1,0,2,0,3,0,0,0,25.56
0,18,1.75,85,1,0,2,3,1,0,3,0,1,0,1,0,27.76
0,19,1.85,115,0,0,2,3,1,0,3,1,1,2,0,0,33.6
0,18,1.7,80,0,0,3,1,1,0,1,0,1,0,0,0,27.68
1,18,1.67,91,1,1,1,3,2,0,1,0,0,1,1,0,32.63
0,21,1.72,75,0,1,2,3,1,0,1,0,1,0,0,0,25.35
1,28,1.7,73,1,0,2,3,2,0,2,1,2,0,1,1,25.26
0,18,1.74,70,0,1,2,3,1,0,2,0,1,1,1,0,23.12
0,23,1.74,53,0,1,2,3,2,0,1,0,3,2,0,0,17.51
0,18,1.87,67,1,1,3,3,2,0,3,1,1,1,1,0,19.16
0,18,1.7,50,0,1,1,3,2,0,1,0,2,1,1,0,17.3
1,39,1.65,50,0,1,3,4,2,0,2,0,0,0,1,0,18.37
0,38,1.7,78,0,1,3,3,2,0,2,0,0,0,2,0,26.99
0,17,1.67,60,0,0,2,4,3,0,2,0,0,2,0,0,21.51
0,23,1.72,66,1,1,2,3,1,0,2,0,0,1,1,1,22.31
0,23,1.82,107,0,1,2,3,1,0,3,0,0,1,1,0,32.3
1,19,1.5,50,0,1,2,3,2,0,1,0,0,2,1,0,22.22
0,18,1.7,60,0,1,2,3,1,0,2,0,2,1,0,0,20.76
0,25,1.71,71,1,1,2,3,2,0,2,0,0,0,1,0,24.28
1,25,1.61,61,0,0,2,3,1,0,1,0,2,1,1,0,23.53
1,18,1.5,50,1,1,3,3,2,0,2,0,0,1,1,0,22.22
0,16,1.67,50,1,1,2,1,2,0,3,0,1,0,0,0,17.93
0,21,1.82,67,0,1,2,4,3,1,3,0,3,2,1,1,20.23
1,32,1.57,57,1,1,3,3,1,0,2,0,0,0,1,0,23.12
0,18,1.79,52,0,0,3,3,1,0,2,0,1,1,1,0,16.23
0,21,1.75,62,0,1,3,4,2,1,2,0,0,0,1,0,20.24
0,18,1.7,55,1,1,2,3,2,0,2,0,0,0,1,0,19.03
1,18,1.62,55,1,1,2,3,2,0,1,0,1,1,0,0,20.96
0,17,1.69,60,0,0,2,3,1,0,3,0,2,1,1,1,21.01
0,20,1.77,70,1,1,1,1,1,0,2,0,1,1,1,0,22.34
0,21,1.79,105,1,1,2,3,3,0,1,0,0,0,1,0,32.77
1,21,1.6,61,0,1,2,3,1,0,1,0,1,1,1,0,23.83
1,18,1.6,58,1,1,2,3,1,0,3,0,3,0,0,0,22.66
1,17,1.56,51,0,1,3,3,1,0,1,0,0,2,0,0,20.96
0,19,1.88,79,0,0,2,3,1,0,3,0,3,0,1,0,22.35
0,16,1.82,71,1,1,2,3,2,0,2,0,2,1,1,0,21.43
0,17,1.8,58,0,1,2,3,2,0,2,0,2,1,0,1,17.9
0,21,1.7,65,1,1,2,3,2,0,1,0,1,1,0,0,22.49
0,19,1.82,75,1,0,2,3,2,0,2,0,1,0,0,0,22.64
0,18,1.86,110,1,1,2,1,1,1,2,0,1,2,1,0,31.8
1,16,1.66,58,0,0,2,1,1,0,1,0,0,1,0,1,21.05
1,21,1.53,53,0,1,3,3,1,0,2,0,2,1,1,0,22.64
0,26,1.74,80,0,0,2,3,1,0,2,0,2,0,0,0,26.42
0,18,1.8,80,1,1,2,3,2,0,1,0,0,1,2,0,24.69
0,23,1.7,75,0,1,3,3,1,0,3,0,1,2,1,0,25.95
0,26,1.7,70,0,1,2,3,1,1,1,0,0,0,1,0,24.22
0,18,1.72,55,0,1,2,4,1,0,2,0,2,1,1,0,18.59
0,16,1.84,45,1,1,3,3,3,0,3,0,3,2,1,1,13.29
1,16,1.57,49,0,1,2,4,3,0,2,0,0,1,1,0,19.88
0,20,1.8,85,1,0,2,3,1,0,3,0,2,1,1,0,26.23
0,23,1.75,120,1,1,2,3,1,1,2,0,2,1,1,0,39.18
1,24,1.56,60,1,1,1,3,3,0,2,0,0,2,1,0,24.65
1,23,1.59,48,1,1,2,1,2,0,1,0,0,2,1,0,18.99
0,20,1.8,75,0,1,3,4,3,0,3,0,2,0,1,0,23.15
1,16,1.66,58,0,0,2,1,1,0,1,0,0,1,0,1,21.05
0,17,1.79,57,1,1,2,4,2,0,2,0,2,1,0,0,17.79
0,17,1.72,62,0,1,2,3,3,0,2,0,3,1,0,0,20.96
1,16,1.6,57,0,1,3,3,1,0,1,0,3,0,0,0,22.27
0,17,1.66,56,1,1,1,3,3,0,2,0,1,1,1,0,20.32
1,26,1.65,63,0,1,3,3,1,0,1,0,1,0,0,1,23.14
0,26,1.7,72,0,1,2,3,3,0,2,0,0,0,1,0,24.91
0,38,1.75,75,1,0,3,3,2,0,1,0,2,1,0,0,24.49
0,18,1.75,70,0,1,3,4,1,0,2,0,1,1,0,0,22.86
1,25,1.56,45,0,1,2,3,1,0,1,0,0,0,1,0,18.49
1,27,1.55,63,0,1,2,3,1,0,1,0,0,1,1,0,26.22
0,21,1.67,67,1,1,3,1,3,0,2,0,1,1,0,0,24.02
0,38,1.75,75,1,0,3,3,2,0,1,0,3,1,0,0,24.49
1,23,1.75,56,0,0,3,3,2,0,2,0,2,0,1,0,18.29
0,18,1.8,72,1,1,2,3,1,0,2,0,3,0,1,0,22.22
1,30,1.65,71,1,1,2,3,1,0,1,0,0,0,1,0,26.08
1,21,1.55,58,0,1,2,1,1,0,1,0,1,0,1,0,24.14
0,18,1.7,55.3,1,1,3,3,1,0,2,0,3,0,1,0,19.13
0,23,1.72,76,1,0,3,4,2,0,1,0,0,0,1,0,25.69
0,19,1.74,74,1,0,3,1,1,0,3,0,3,1,1,1,24.44
1,19,1.65,82,1,1,3,3,1,0,1,0,0,1,1,0,30.12
1,17,1.8,50,0,1,3,4,2,0,1,0,2,1,1,0,15.43
0,17,1.74,56,1,1,2,3,1,0,2,0,2,1,0,0,18.5
0,27,1.85,75,1,1,2,1,1,0,2,0,1,0,0,1,21.91
1,23,1.7,56,0,0,3,4,3,0,3,1,3,0,0,0,19.38
1,18,1.45,53,0,1,2,3,2,0,2,1,1,2,2,0,25.21
0,19,1.7,50,0,1,1,4,2,0,1,0,2,1,1,0,17.3
0,20,1.7,65,0,1,2,3,1,0,2,0,0,1,0,0,22.49
0,18,1.78,64.4,1,1,3,3,2,0,2,0,3,2,0,1,20.33
1,17,1.6,65,0,1,3,1,1,0,2,1,1,2,1,0,25.39
1,19,1.53,42,0,0,2,3,1,0,1,1,2,0,2,0,17.94
0,21,1.8,72,0,1,3,3,1,0,2,0,1,1,0,0,22.22
0,20,1.6,50,0,0,2,3,1,0,1,0,0,0,1,0,19.53
0,23,1.74,105,1,1,3,3,1,0,2,0,1,0,1,0,34.68
0,23,1.65,66,0,0,3,3,1,0,2,0,3,0,0,0,24.24
0,18,1.87,173,1,1,3,3,2,0,2,0,2,1,1,0,49.47
0,17,1.7,55,0,1,3,3,3,0,2,0,3,1,1,0,19.03
1,21,1.54,47,1,0,3,3,3,0,1,0,2,0,0,0,19.82
0,17,1.8,97,1,1,2,3,1,0,3,0,1,1,1,1,29.94
0,18,1.82,80,1,1,2,3,1,0,2,0,3,2,0,1,24.15
0,20,1.98,125,1,1,2,3,3,0,3,0,1,1,1,0,31.88
0,17,1.75,70,1,0,2,3,1,0,1,0,3,2,1,1,22.86
1,26,1.65,60,0,0,3,4,3,0,2,0,2,0,0,1,22.04
1,17,1.6,53,0,1,1,3,1,0,1,0,2,2,1,1,20.7
1,24,1.6,51,1,1,1,3,1,0,2,0,0,1,1,0,19.92
1,17,1.6,59,0,1,2,3,1,0,2,0,1,2,0,0,23.05
1,27,1.55,62,0,1,3,1,1,0,1,0,1,0,1,0,25.81
0,17,1.9,60,0,0,3,3,1,0,2,0,3,1,0,1,16.62
1,17,1.7,56,1,1,1,3,1,0,1,0,1,1,0,0,19.38
0,41,1.75,110,1,0,2,1,1,0,1,0,1,0,2,0,35.92
1,33,1.56,48,1,0,2,3,1,0,2,0,1,0,1,0,19.72
0,20,1.87,75,0,1,2,3,2,0,1,0,1,1,1,0,21.45
1,40,1.56,80,1,1,2,1,1,0,2,0,2,0,0,0,32.87
1,37,1.65,73,1,0,3,3,1,0,2,0,1,0,1,0,26.81
