edad,peso,estatura,alim_principal,proteinas,veg_frut,gras_aceit,lacteos,cere_gran,azuc_dul,act_fisica,tipo_act,frec_act,tiem_act,ciclo,clasificacion
18,50,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,4 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,Sí,Danza,4/5 veces por semana,14400,Tercer Ciclo,3.Tercio superior
19,72,1.84,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,4 veces por semana,3 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,Sí,"Básquet, Natación, Running",2/3 veces por semana,7200,Cuarto Ciclo,3.Tercio superior
18,67,1.73,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,6 veces por semana,Sí,Running,2/3 veces por semana,3600,Tercer Ciclo,4.Medio superior
18,87.32,1.89,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,4 veces por semana,3 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,Sí,"Fútbol, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,8400,Tercer Ciclo,2.Quinto superior
18,82,1.8,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,4 veces por semana,7 veces por semana,3 veces por semana,Sí,Gimnasia,2/3 veces por semana,3600,Tercer Ciclo,1.Décimo superior
19,62,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,3 veces por semana,6 veces por semana,7 veces por semana,3 veces por semana,Sí,Aeróbicos,2/3 veces por semana,1200,Segundo Ciclo,1.Décimo superior
20,41,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,3 veces por semana,7 veces por semana,3 veces por semana,6 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,5.Ninguno de los anteriores
20,56,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,7 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,Sí,Fútbol,1 vez por semana,3600,Segundo Ciclo,2.Quinto superior
18,53,1.59,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,2 veces por semana,2 veces por semana,4 veces por semana,1 vez por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,1.Décimo superior
19,54,1.54,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
19,80,1.83,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Décimo Ciclo,1.Décimo superior
18,48,1.54,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,7 veces por semana,7 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
18,68,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,5 veces por semana,1 vez por semana,6 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,5.Ninguno de los anteriores
19,48,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,2 veces por semana,2 veces por semana,3 veces por semana,3 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,4.Medio superior
18,60,1.57,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,2.Quinto superior
20,55,1.63,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,1 vez por semana,2 veces por semana,6 veces por semana,1 vez por semana,Sí,Pilates,4/5 veces por semana,2400,Segundo Ciclo,5.Ninguno de los anteriores
18,60.3,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,4 veces por semana,5 veces por semana,2 veces por semana,7 veces por semana,1 vez por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,3.Tercio superior
18,84.3,1.7,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Décimo Ciclo,1.Décimo superior
19,85,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,3.Tercio superior
18,45,1.5,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,6 veces por semana,2 veces por semana,5 veces por semana,3 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
19,70,1.8,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,2.Quinto superior
22,65,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,5 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,2.Quinto superior
17,76,1.76,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,7 veces por semana,1 vez por semana,4 veces por semana,6 veces por semana,1 vez por semana,Sí,"Fútbol, Running",2/3 veces por semana,3600,Tercer Ciclo,4.Medio superior
20,78,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,3 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,10800,Tercer Ciclo,3.Tercio superior
25,55,1.6,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,7 veces por semana,6 veces por semana,No,No ejercita,No ejercita,0,Cuarto Ciclo,5.Ninguno de los anteriores
19,68,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,6 veces por semana,4 veces por semana,7 veces por semana,3 veces por semana,Sí,Natación,2/3 veces por semana,9001,Tercer Ciclo,4.Medio superior
20,68,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,1 vez por semana,1 vez por semana,1 vez por semana,4 veces por semana,1 vez por semana,No,No ejercita,No ejercita,0,Quinto Ciclo,4.Medio superior
18,50,1.5,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Primer Ciclo,5.Ninguno de los anteriores
20,65,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,3 veces por semana,2 veces por semana,3 veces por semana,4 veces por semana,2 veces por semana,Sí,Fútbol,1 vez por semana,3661,Segundo Ciclo,2.Quinto superior
18,80,1.79,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,4.Medio superior
24,50,1.53,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,Sí,Natación,1 vez por semana,3600,Segundo Ciclo,2.Quinto superior
17,61,1.72,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,5 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,2 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,1.Décimo superior
19,64,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,4 veces por semana,3 veces por semana,3 veces por semana,7 veces por semana,2 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,1.Décimo superior
19,50.54,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,"Fútbol, Ciclismo",1 vez por semana,2400,Segundo Ciclo,2.Quinto superior
18,45,1.52,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,3 veces por semana,1 vez por semana,3 veces por semana,5 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,5.Ninguno de los anteriores
18,55,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,1 vez por semana,1 vez por semana,1 vez por semana,4 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,1.Décimo superior
18,65,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,3.Tercio superior
18,62.4,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,3 veces por semana,5 veces por semana,6 veces por semana,2 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,1 vez por semana,7200,Tercer Ciclo,1.Décimo superior
19,72,1.83,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,4 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit",2/3 veces por semana,3600,Tercer Ciclo,3.Tercio superior
18,70,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,7 veces por semana,Sí,"Gimnasio/Calistenia/Crossfit, Danza",6/7 veces por semana,3600,Tercer Ciclo,2.Quinto superior
19,60,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,2 veces por semana,2 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,7200,Segundo Ciclo,3.Tercio superior
18,69,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,7 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,1.Décimo superior
18,65,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,1 vez por semana,3 veces por semana,3 veces por semana,1 vez por semana,Sí,"Natación, Running, Ciclismo",2/3 veces por semana,5400,Segundo Ciclo,1.Décimo superior
18,41,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,4 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,3.Tercio superior
24,70,1.7,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Cuarto Ciclo,2.Quinto superior
18,70,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,2 veces por semana,3 veces por semana,4 veces por semana,1 vez por semana,3 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,4.Medio superior
18,76,1.76,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,2 veces por semana,5 veces por semana,6 veces por semana,1 vez por semana,Sí,"Fútbol, Running",2/3 veces por semana,7200,Tercer Ciclo,4.Medio superior
21,72,1.83,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,4 veces por semana,4 veces por semana,7 veces por semana,5 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,4800,Noveno Ciclo,3.Tercio superior
18,63,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,6 veces por semana,5 veces por semana,7 veces por semana,5 veces por semana,Sí,"Fútbol, Básquet, Gimnasio/Calistenia/Crossfit, Ciclismo",4/5 veces por semana,7200,Tercer Ciclo,1.Décimo superior
20,78,1.71,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,10800,Tercer Ciclo,3.Tercio superior
18,57.5,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,7 veces por semana,2 veces por semana,2 veces por semana,7 veces por semana,2 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,3.Tercio superior
18,59,1.79,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,2 veces por semana,3 veces por semana,5 veces por semana,4 veces por semana,6 veces por semana,Sí,"Natación, Ciclismo",2/3 veces por semana,7200,Tercer Ciclo,4.Medio superior
19,68,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,3 veces por semana,2 veces por semana,5 veces por semana,1 vez por semana,Sí,Running,4/5 veces por semana,1800,Tercer Ciclo,4.Medio superior
18,70,1.78,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,3.Tercio superior
18,72,1.72,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,Sí,"Running, Ciclismo",2/3 veces por semana,7200,Segundo Ciclo,3.Tercio superior
20,58,1.61,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,No ejercita,No ejercita,0,Séptimo Ciclo,2.Quinto superior
20,70,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,7 veces por semana,6 veces por semana,Sí,"Fútbol, Básquet, Natación, Artes Marciales, Ciclismo",4/5 veces por semana,1800,Séptimo Ciclo,3.Tercio superior
19,70,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,4 veces por semana,6 veces por semana,4 veces por semana,1 vez por semana,Sí,Aeróbicos,4/5 veces por semana,1800,Cuarto Ciclo,2.Quinto superior
22,61,1.52,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,3 veces por semana,3 veces por semana,6 veces por semana,5 veces por semana,Sí,Natación,2/3 veces por semana,5400,Cuarto Ciclo,3.Tercio superior
21,82,1.81,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,3 veces por semana,4 veces por semana,6 veces por semana,2 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,5400,Séptimo Ciclo,5.Ninguno de los anteriores
22,56,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
18,60,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,Sí,Fútbol,2/3 veces por semana,5400,Segundo Ciclo,2.Quinto superior
18,58,1.68,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,Sí,"Artes Marciales, Ciclismo",2/3 veces por semana,5400,Segundo Ciclo,1.Décimo superior
19,71,1.73,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,6 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,Sí,"Fútbol, Natación",2/3 veces por semana,5400,Tercer Ciclo,2.Quinto superior
20,59,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,1 vez por semana,Sí,"Fútbol, Gimnasio/Calistenia/Crossfit",6/7 veces por semana,3600,Cuarto Ciclo,3.Tercio superior
19,61.5,1.51,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,7 veces por semana,1 vez por semana,2 veces por semana,1 vez por semana,1 vez por semana,Sí,Gimnasia,4/5 veces por semana,10201,Cuarto Ciclo,5.Ninguno de los anteriores
20,58,1.59,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,6 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Cuarto Ciclo,5.Ninguno de los anteriores
19,70,1.8,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,3 veces por semana,5 veces por semana,7 veces por semana,1 vez por semana,Sí,Gimnasio/Calistenia/Crossfit,6/7 veces por semana,7200,Tercer Ciclo,1.Décimo superior
17,56,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,1 vez por semana,5400,Segundo Ciclo,1.Décimo superior
17,70,1.8,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,4 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,2700,Segundo Ciclo,2.Quinto superior
20,74,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,4 veces por semana,3 veces por semana,3 veces por semana,6 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
18,65,2,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,Sí,Fútbol,4/5 veces por semana,3600,Segundo Ciclo,2.Quinto superior
18,50,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,1200,Segundo Ciclo,3.Tercio superior
18,66,1.6,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,2 veces por semana,4 veces por semana,2 veces por semana,2 veces por semana,3 veces por semana,Sí,"Voley, Tenis",2/3 veces por semana,7200,Tercer Ciclo,4.Medio superior
20,75,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Cuarto Ciclo,5.Ninguno de los anteriores
21,56,1.58,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Cuarto Ciclo,5.Ninguno de los anteriores
19,75,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,4.Medio superior
20,62,1.6,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,2.Quinto superior
17,60,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,4 veces por semana,2 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,Sí,"Fútbol, Básquet",2/3 veces por semana,7200,Tercer Ciclo,3.Tercio superior
18,64.5,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,1 vez por semana,3 veces por semana,2 veces por semana,5 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,4.Medio superior
18,80,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,4 veces por semana,7 veces por semana,7 veces por semana,4 veces por semana,Sí,"Fútbol, Running, Ciclismo",4/5 veces por semana,3600,Tercer Ciclo,5.Ninguno de los anteriores
19,58,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,2 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Cuarto Ciclo,3.Tercio superior
17,61,1.52,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,Sí,"Voley, Natación, Gimnasio/Calistenia/Crossfit, Artes Marciales",4/5 veces por semana,18000,Tercer Ciclo,4.Medio superior
18,104,1.8,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,3 veces por semana,2 veces por semana,7 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
19,80,1.77,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,4 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,Sí,Fútbol,2/3 veces por semana,7200,Cuarto Ciclo,4.Medio superior
20,48,1.5,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,4 veces por semana,6 veces por semana,7 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,5.Ninguno de los anteriores
19,65,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,5 veces por semana,4 veces por semana,7 veces por semana,7 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,7200,Tercer Ciclo,4.Medio superior
18,86,1.74,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,5 veces por semana,2 veces por semana,3 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,5.Ninguno de los anteriores
18,59,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,3 veces por semana,2 veces por semana,5 veces por semana,6 veces por semana,1 vez por semana,Sí,"Fútbol, Voley",1 vez por semana,5400,Segundo Ciclo,3.Tercio superior
20,54,1.57,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,3 veces por semana,6 veces por semana,5 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Séptimo Ciclo,1.Décimo superior
18,55,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,6 veces por semana,Sí,Básquet,2/3 veces por semana,7200,Tercer Ciclo,5.Ninguno de los anteriores
21,80,1.74,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,Sí,"Fútbol, Voley, Natación, Gimnasia, Gimnasio/Calistenia/Crossfit, Artes Marciales, Ciclismo",1 vez por semana,10800,Tercer Ciclo,3.Tercio superior
19,49,1.53,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,4 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,1.Décimo superior
19,50,1.6,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,6 veces por semana,3 veces por semana,2 veces por semana,3 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Quinto Ciclo,3.Tercio superior
18,48,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,2 veces por semana,3 veces por semana,6 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,5.Ninguno de los anteriores
18,60,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,3 veces por semana,3 veces por semana,1 vez por semana,4 veces por semana,5 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,5.Ninguno de los anteriores
