Marca temporal,¿Cuál es tu edad?,¿Cuál es tu peso? (En kilogramos),¿Cuál es tu estatura? (en metros),¿Que tipo de alimentos consumes principalmente?,"¿Con qué frecuencia comes estos tipos de alimentos? [Proteínas (carne, huevos, etc)]",¿Con qué frecuencia comes estos tipos de alimentos? [Vegetales y frutas],"¿Con qué frecuencia comes estos tipos de alimentos? [Grasas y aceites (mantequilla, aceites, etc.)]","¿Con qué frecuencia comes estos tipos de alimentos? [Lácteos (leche, queso, yogurt, etc.)]","¿Con qué frecuencia comes estos tipos de alimentos? [Cereales y Granos (arroz, avena, quinoa, etc.)]",¿Con qué frecuencia comes estos tipos de alimentos? [Azúcares y dulces],¿Realizas actividad física?,¿Qué tipo de actividad física realizas?,¿Con qué frecuencia realizas la/las actividades?,En general ¿cuánto dura tu actividad física?,¿En qué ciclo te encuentras ahora mismo?,¿En cuál de estas secciones te encuentras actualmente? (Puedes verlo en Sistema académico < Currícula < Mi avance académico. Luego vas a la sección Historial académico (ya fuera del menú del costado)). 
27/04/2023 20:15:08,18,60,1.57,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,,,,Segundo Ciclo,2.Quinto superior
27/04/2023 20:15:56,20,55,1.63,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,1 vez por semana,2 veces por semana,6 veces por semana,1 vez por semana,Sí,Pilates,4/5 veces por semana,0:40:00,Segundo Ciclo,5.Ninguno de los anteriores
27/04/2023 20:16:20,18,60.3,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,4 veces por semana,5 veces por semana,2 veces por semana,7 veces por semana,1 vez por semana,No,,,,Tercer Ciclo,3.Tercio superior
27/04/2023 20:18:46,18,84.3,1.70,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Décimo Ciclo,1.Décimo superior
27/04/2023 20:51:01,19,85,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,,,,Tercer Ciclo,3.Tercio superior
27/04/2023 20:54:36,18,45,1.50,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,6 veces por semana,2 veces por semana,5 veces por semana,3 veces por semana,3 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
27/04/2023 21:04:13,19,70,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,No,,,,Segundo Ciclo,2.Quinto superior
27/04/2023 21:09:21,22,65,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,5 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,No,,,,Segundo Ciclo,2.Quinto superior
27/04/2023 21:19:02,17,76,1.76,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,7 veces por semana,1 vez por semana,4 veces por semana,6 veces por semana,1 vez por semana,Sí,"Fútbol, Running",2/3 veces por semana,1:00:00,Tercer Ciclo,4.Medio superior
27/04/2023 21:53:01,20,78,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,3 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,3:00:00,Tercer Ciclo,3.Tercio superior
27/04/2023 22:16:24,25,55,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,7 veces por semana,6 veces por semana,No,,,,Cuarto Ciclo,5.Ninguno de los anteriores
27/04/2023 23:09:14,19,68,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,6 veces por semana,4 veces por semana,7 veces por semana,3 veces por semana,Sí,Natación,2/3 veces por semana,2:30:01,Tercer Ciclo,4.Medio superior
28/04/2023 14:12:16,20,68,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,1 vez por semana,1 vez por semana,1 vez por semana,4 veces por semana,1 vez por semana,No,,,,Quinto Ciclo,4.Medio superior
1/05/2023 22:41:04,11,50,1.50,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Primer Ciclo,1.Décimo superior
1/05/2023 22:49:13,20,65,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,3 veces por semana,2 veces por semana,3 veces por semana,4 veces por semana,2 veces por semana,Sí,Fútbol,1 vez por semana,1:01:01,Segundo Ciclo,2.Quinto superior
2/05/2023 16:26:30,18,80,1.79,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Tercer Ciclo,4.Medio superior
2/05/2023 17:10:13,24,50,1.53,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,Natación,1 vez por semana,1:00:00,Segundo Ciclo,2.Quinto superior
2/05/2023 17:39:09,17,61,1.72,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,5 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,2 veces por semana,No,,,,Tercer Ciclo,1.Décimo superior
2/05/2023 19:03:40,19,64,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,4 veces por semana,3 veces por semana,3 veces por semana,7 veces por semana,2 veces por semana,No,,,,Segundo Ciclo,1.Décimo superior
2/05/2023 20:26:15,19,50.54,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,"Fútbol, Ciclismo",1 vez por semana,0:40:00,Segundo Ciclo,2.Quinto superior
2/05/2023 22:51:09,18,45,1.52,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,3 veces por semana,1 vez por semana,3 veces por semana,5 veces por semana,3 veces por semana,No,,,,Segundo Ciclo,5.Ninguno de los anteriores
3/05/2023 9:25:34,18,55,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,1 vez por semana,1 vez por semana,1 vez por semana,4 veces por semana,3 veces por semana,No,,,,Tercer Ciclo,1.Décimo superior
3/05/2023 9:25:50,18,65,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,No,,,,Tercer Ciclo,3.Tercio superior
3/05/2023 9:26:43,18,62.4,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,3 veces por semana,5 veces por semana,6 veces por semana,2 veces por semana,Sí,"Gimnasio en casa, pesas",1 vez por semana,2:00:00,Tercer Ciclo,1.Décimo superior
3/05/2023 9:27:38,19,72,1.83,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,4 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit",2/3 veces por semana,1:00:00,Tercer Ciclo,3.Tercio superior
3/05/2023 9:43:21,18,70,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,7 veces por semana,Sí,"Gimnasio/Calistenia/Crossfit, Danza",6/7 veces por semana,1:00:00,Tercer Ciclo,2.Quinto superior
3/05/2023 11:27:32,19,60,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,2 veces por semana,2 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,2:00:00,Segundo Ciclo,3.Tercio superior
3/05/2023 17:32:48,18,69,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,7 veces por semana,No,,,,Tercer Ciclo,1.Décimo superior
3/05/2023 18:20:00,18,65,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,1 vez por semana,3 veces por semana,3 veces por semana,1 vez por semana,Sí,"Natación, Running, Ciclismo",2/3 veces por semana,1:30:00,Segundo Ciclo,1.Décimo superior
3/05/2023 22:30:57,18,41,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,4 veces por semana,4 veces por semana,No,,,,Tercer Ciclo,3.Tercio superior
3/05/2023 22:31:24,24,70,1.70,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Cuarto Ciclo,2.Quinto superior
3/05/2023 22:33:57,18,70,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,2 veces por semana,3 veces por semana,4 veces por semana,1 vez por semana,3 veces por semana,No,,,,Tercer Ciclo,4.Medio superior
4/05/2023 9:15:02,18,76,1.76,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,2 veces por semana,5 veces por semana,6 veces por semana,1 vez por semana,Sí,"Fútbol, Running",2/3 veces por semana,2:00:00,Tercer Ciclo,4.Medio superior
4/05/2023 10:44:30,21,72,1.83,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,4 veces por semana,4 veces por semana,7 veces por semana,5 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,1:20:00,Noveno Ciclo,3.Tercio superior
4/05/2023 10:56:17,18,63,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,6 veces por semana,5 veces por semana,7 veces por semana,5 veces por semana,Sí,"Fútbol, Básquet, Gimnasio/Calistenia/Crossfit, Ciclismo",4/5 veces por semana,2:00:00,Tercer Ciclo,1.Décimo superior
4/05/2023 11:04:29,20,78,1.71,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,3:00:00,Tercer Ciclo,3.Tercio superior
4/05/2023 11:05:16,18,57.5,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,7 veces por semana,2 veces por semana,2 veces por semana,7 veces por semana,2 veces por semana,No,,,,Tercer Ciclo,3.Tercio superior
4/05/2023 11:08:12,18,59,1.79,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,2 veces por semana,3 veces por semana,5 veces por semana,4 veces por semana,6 veces por semana,Sí,"Natación, Ciclismo",2/3 veces por semana,2:00:00,Tercer Ciclo,4.Medio superior
4/05/2023 11:17:35,19,68,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,3 veces por semana,2 veces por semana,5 veces por semana,1 vez por semana,Sí,Running,4/5 veces por semana,0:30:00,Tercer Ciclo,4.Medio superior
4/05/2023 11:43:02,18,70,1.78,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Tercer Ciclo,3.Tercio superior
4/05/2023 12:36:53,18,72,1.72,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,Sí,"Running, Ciclismo",2/3 veces por semana,2:00:00,Segundo Ciclo,3.Tercio superior
4/05/2023 13:33:38,20,58,1.61,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,,,,Séptimo Ciclo,2.Quinto superior
4/05/2023 13:34:09,20,70,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,7 veces por semana,6 veces por semana,Sí,"Fútbol, Básquet, Natación, Artes Marciales, Ciclismo",4/5 veces por semana,0:30:00,Séptimo Ciclo,3.Tercio superior
4/05/2023 13:37:22,19,70,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,4 veces por semana,6 veces por semana,4 veces por semana,1 vez por semana,Sí,Dance Workout,4/5 veces por semana,0:30:00,Cuarto Ciclo,2.Quinto superior
4/05/2023 13:37:42,22,61,1.52,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,3 veces por semana,3 veces por semana,6 veces por semana,5 veces por semana,Sí,Natación,2/3 veces por semana,1:30:00,Cuarto Ciclo,3.Tercio superior
4/05/2023 13:37:43,21,82,1.81,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,3 veces por semana,4 veces por semana,6 veces por semana,2 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,1:30:00,Séptimo Ciclo,5.Ninguno de los anteriores
4/05/2023 15:01:39,22,56,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,4 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
4/05/2023 19:09:44,18,60,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,Sí,Fútbol,2/3 veces por semana,1:30:00,Segundo Ciclo,2.Quinto superior
4/05/2023 19:10:46,18,58,1.68,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,"Artes Marciales, Ciclismo",2/3 veces por semana,1:30:00,Segundo Ciclo,1.Décimo superior
4/05/2023 19:42:34,19,71,1.73,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,6 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,Sí,"Fútbol, Natación",2/3 veces por semana,1:30:00,Tercer Ciclo,2.Quinto superior
4/05/2023 19:49:15,20,59,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,1 vez por semana,Sí,"Fútbol, Gimnasio/Calistenia/Crossfit",6/7 veces por semana,1:00:00,Cuarto Ciclo,3.Tercio superior
4/05/2023 19:50:33,19,61.5,1.51,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,7 veces por semana,1 vez por semana,2 veces por semana,1 vez por semana,1 vez por semana,Sí,Gimnasia,4/5 veces por semana,2:50:01,Cuarto Ciclo,5.Ninguno de los anteriores
4/05/2023 21:22:00,20,58,1.59,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,6 veces por semana,4 veces por semana,No,,,,Cuarto Ciclo,5.Ninguno de los anteriores
5/05/2023 8:23:43,19,70,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,3 veces por semana,5 veces por semana,7 veces por semana,1 vez por semana,Sí,Gimnasio/Calistenia/Crossfit,6/7 veces por semana,2:00:00,Tercer Ciclo,1.Décimo superior
5/05/2023 12:32:18,17,56,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,1 vez por semana,1:30:00,Segundo Ciclo,1.Décimo superior
5/05/2023 12:46:25,17,70,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,4 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,0:45:00,Segundo Ciclo,2.Quinto superior
5/05/2023 13:26:50,20,74,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,4 veces por semana,3 veces por semana,3 veces por semana,6 veces por semana,4 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
5/05/2023 13:28:50,18,65,2,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,Sí,Fútbol,4/5 veces por semana,1:00:00,Segundo Ciclo,2.Quinto superior
5/05/2023 13:30:28,18,50,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,Sí,Calistenia ,4/5 veces por semana,0:20:00,Segundo Ciclo,3.Tercio superior
5/05/2023 13:35:53,18,66,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,2 veces por semana,4 veces por semana,2 veces por semana,2 veces por semana,3 veces por semana,Sí,"Voley, Tenis",2/3 veces por semana,2:00:00,Tercer Ciclo,4.Medio superior
5/05/2023 13:36:49,20,75,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,4 veces por semana,No,,,,Cuarto Ciclo,5.Ninguno de los anteriores
5/05/2023 13:38:27,21,56,1.58,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,No,,,,Cuarto Ciclo,5.Ninguno de los anteriores
5/05/2023 13:39:04,19,75,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,No,,,,Segundo Ciclo,4.Medio superior
5/05/2023 13:40:40,20,62,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,No,,,,Tercer Ciclo,2.Quinto superior
5/05/2023 13:41:08,17,60,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,4 veces por semana,2 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,Sí,"Fútbol, Básquet",2/3 veces por semana,2:00:00,Tercer Ciclo,3.Tercio superior
5/05/2023 13:47:40,18,64.5,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,1 vez por semana,3 veces por semana,2 veces por semana,5 veces por semana,4 veces por semana,No,,,,Tercer Ciclo,4.Medio superior
5/05/2023 13:56:26,18,80,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,4 veces por semana,7 veces por semana,7 veces por semana,4 veces por semana,Sí,"Fútbol, Running, Ciclismo",4/5 veces por semana,1:00:00,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 13:58:28,19,58,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,2 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,No,,,,Cuarto Ciclo,3.Tercio superior
5/05/2023 14:00:01,17,61,1.52,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,"Voley, Natación, Gimnasio/Calistenia/Crossfit, Artes Marciales",4/5 veces por semana,5:00:00,Tercer Ciclo,4.Medio superior
5/05/2023 14:01:00,18,104,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,3 veces por semana,2 veces por semana,7 veces por semana,3 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
5/05/2023 14:03:41,19,80,1.77,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,4 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,Sí,Fútbol,2/3 veces por semana,2:00:00,Cuarto Ciclo,4.Medio superior
5/05/2023 14:05:40,20,48,1.50,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,4 veces por semana,6 veces por semana,7 veces por semana,4 veces por semana,No,,,,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 14:06:09,19,65,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,5 veces por semana,4 veces por semana,7 veces por semana,7 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,2:00:00,Tercer Ciclo,4.Medio superior
