Marca.temporal,Edad,SitLab,Horas_trabajo,Dias_trabajo,Minutos_trabajo,DistritoR,DistritoV,Estudios,Religion,Dispositivos,ConocimientoIA,ConocimientoRIA,Consciente,ConoceIAs,UsoIA,DivulgaIA,ReemplazoIA1,ReemplazoIA2,ReemplazoIA3,ProblemaIA,GradoInsatisfaccion
4/05/2023 19:39:09,19,Desempleado,0,NA,NA,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,3
19/05/2023 7:38:22,14,Desempleado,0,0,0,Lima Sur,No Laburo,Primaria completa,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones, Programar",Si,1,1,1,Sí,1
5/05/2023 14:39:30,21,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Bachiller,Cristiano,Laptop O Computadora,Sí,Sí,Si,Sí,Programar,No,1,1,1,Sí,1
5/05/2023 17:08:20,18,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",No,0,0,1,Sí,3
5/05/2023 18:05:59,18,Desempleado,0,0,90,Lima Norte,Lima Sur,Sin estudios,Hindú,Laptop O Computadora,Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros, Ninguna",Si,1,1,1,Sí,1
5/05/2023 18:06:56,18,Empleado de medio tiempo,0,0,90,Lima Este,Lima Este,Secundaria,Cristiano,Laptop O Computadora,Sí,No,Si,No del todo,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,Sí,2
5/05/2023 18:17:15,18,Desempleado,0,0,0,Lima Este,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,1,1,0,Sí,2
5/05/2023 19:57:11,18,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Consultar definiciones, Programar",Si,1,1,0,No,3
6/05/2023 11:39:16,18,Desempleado,0,0,60,Lima Oeste,Lima Este,Secundaria,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Organizar horarios,Si,1,1,0,Sí,2
9/05/2023 15:15:57,17,Desempleado,0,0,90,Lima Norte,Lima Oeste,Secundaria,Ninguno,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Consultar definiciones, Otros",Si,1,1,1,No,1
13/05/2023 19:59:15,37,Empleado de tiempo completo,8,5,0,Lima Oeste,Lima Oeste,Master,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Obtener información,Si,0,0,0,No,3
13/05/2023 20:12:41,35,Empleado de tiempo completo,8,5,12,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,0,1,0,Sí,3
13/05/2023 20:21:55,36,Empleado de tiempo completo,8,5,40,Lima Oeste,Lima Oeste,Master,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Consultar definiciones",Si,1,1,1,Sí,3
14/05/2023 7:08:22,32,Empleado de tiempo completo,8,5,40,Lima Oeste,Lima Oeste,Bachiller,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Consultar definiciones,Si,1,0,0,No,3
14/05/2023 7:44:34,63,Empleado de tiempo completo,12,7,1,Lima Oeste,Lima Oeste,Tecnico,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,No,Sí,Programar,Si,1,1,0,Sí,2
15/05/2023 8:39:53,18,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,0,0,Sí,2
16/05/2023 11:07:39,19,Desempleado,0,0,NA,Lima Este,NA,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,No del todo,Sí,"Obtener información, Consultar definiciones",Si,1,1,0,Sí,3
16/05/2023 11:43:29,18,Desempleado,0,0,0,Lima Este,NA,Secundaria,Agnóstico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,0,0,0,No,3
21/05/2023 15:10:59,52,Empleado de tiempo completo,10,5,40,Lima Este,Lima Norte,Master,Ninguno ,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Obtener información,No,1,1,0,No,1
21/05/2023 13:17:49,18,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Consultar definiciones,Si,1,0,0,Sí,3
21/05/2023 14:15:10,43,Empleado de tiempo completo,8,5,15,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones",Si,1,0,0,Sí,3
21/05/2023 14:27:58,34,Empleado de tiempo completo,8.5,5,35,Lima Oeste,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Obtener información,Si,0,0,0,No,1
21/05/2023 14:38:45,37,Empleado de tiempo completo,6,5,70,Lima Oeste,Lima Sur,Master,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones",Si,1,1,1,No,2
21/05/2023 14:39:41,27,Empleado de tiempo completo,8,5,60,Lima Oeste,Lima Oeste,Bachiller,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Consultar definiciones, Programar",Si,1,0,0,Sí,2
21/05/2023 14:42:01,27,Empleado de tiempo completo,8,5,65,Lima Oeste,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones",Si,1,1,1,Sí,3
21/05/2023 14:46:22,43,Empleado de tiempo completo,8,5,25,Lima Oeste,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,Organizar horarios,Si,0,0,0,Sí,3
21/05/2023 14:49:00,38,Empleado de tiempo completo,9,8,40,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,No,No del todo,Sí,"Obtener información, Consultar definiciones",Si,0,1,0,No,2
21/05/2023 14:51:11,31,Empleado de tiempo completo,8,5,2,Lima Norte,Lima Oeste,Licenciado,Ninguna,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones",Si,1,0,0,Sí,3
21/05/2023 14:52:01,32,Empleado de tiempo completo,10,5,40,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Consultar definiciones",Si,1,1,1,No,1
21/05/2023 14:55:06,36,Empleado de tiempo completo,10,5,10,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea",Si,1,0,0,No,1
21/05/2023 15:05:10,38,Empleado de tiempo completo,8,5,1.45,Lima Norte,Lima Oeste,Diplomado,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea",Si,1,0,1,Sí,2
21/05/2023 15:05:17,25,Empleado de tiempo completo,8,5,1.5,Lima Norte,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,1,1,1,Sí,1
21/05/2023 15:09:40,30,Empleado de tiempo completo,8,5,40.5,Lima Este,Lima Oeste,Titulado ,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,Si,No del todo,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones",Si,1,0,1,Sí,3
21/05/2023 16:46:24,48,Empleado de tiempo completo,8,5,1.5,Lima Norte,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,Consultar definiciones,Si,1,0,1,Sí,3
21/05/2023 15:15:46,45,Empleado de tiempo completo,8,5,20,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,Sí,3
21/05/2023 16:25:10,22,Empleado de medio tiempo,8,5,35,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,No del todo,Sí,"Obtener información, Armar presentaciones",Si,1,1,1,Sí,2
21/05/2023 16:32:24,26,Empleado de tiempo completo,8,5,90,Lima Oeste,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,No del todo,Sí,Ninguna,Si,1,0,0,No,3
21/05/2023 17:40:32,31,Empleado de tiempo completo,9,5,60,Lima Este,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,1,0,1,Sí,3
21/05/2023 17:45:22,30,Empleado de tiempo completo,9,5,60,Lima Este,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,Obtener información,Si,1,0,1,Sí,3
21/05/2023 18:08:38,34,Empleado de tiempo completo,8,5,40,Lima Sur,Lima Oeste,Bachiller,Católico,"Laptop O Computadora, Smartphone",No del todo,Tal vez,Si,No,"Organizar horarios, Obtener información, Consultar definiciones",Si,0,1,0,Sí,3
21/05/2023 18:23:32,37,Empleado de tiempo completo,9,5,30,Lima Oeste,Lima Oeste,Diplomado,Católico,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,No del todo,Ninguna,Si,0,1,1,Sí,1
21/05/2023 20:47:29,33,Empleado de tiempo completo,10,5,50,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Otros,Si,1,1,0,No,1
21/05/2023 20:58:35,36,Empleado de tiempo completo,9,5,40,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,No del todo,Sí,"Obtener información, Consultar definiciones",Si,0,0,0,Sí,2
21/05/2023 23:49:49,45,Empleado de tiempo completo,9,5,1,Lima Oeste,Lima Oeste,Diplomado,Cristiano,Laptop O Computadora,No del todo,Tal vez,No del todo,No del todo,Ninguna,Si,1,0,0,No,3
22/05/2023 5:41:10,33,Empleado de tiempo completo,9,5,30,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Obtener información,Si,1,1,1,No,3
23/05/2023 9:46:35,19,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Ninguna,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,No del todo,Sí,"Realizar alguna tarea, Consultar definiciones, Otros",Si,1,1,1,No,3
23/05/2023 9:51:31,20,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,1,1,1,No,1
23/05/2023 9:52:15,21,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea",Si,1,1,1,Sí,1
23/05/2023 9:56:49,17,Desempleado,0,0,0,Lima Oeste,No Laburo,Bachiller,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,0,0,Sí,1
23/05/2023 9:57:08,17,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,No,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,1
23/05/2023 10:04:39,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Armar presentaciones",Si,1,1,1,Sí,3
23/05/2023 10:08:40,26,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,No,1
23/05/2023 10:12:03,18,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,1
23/05/2023 10:12:08,19,Desempleado,0,0,0,Lima Oeste,No Laburo,Bachiller,No,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,Sí,"Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,No,3
23/05/2023 10:12:16,19,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Ninguna,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,0,1,0,Sí,3
23/05/2023 10:16:16,0,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Ateo,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,Si,Sí,Programar,No,1,1,0,Sí,1
23/05/2023 10:19:28,17,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",No del todo,Tal vez,No del todo,Sí,"Realizar alguna tarea, Programar",No,1,1,1,Sí,2
23/05/2023 10:23:07,18,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea",Si,1,1,1,Sí,3
23/05/2023 10:23:16,17,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones",Si,0,1,0,Sí,1
23/05/2023 10:27:22,18,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Agnóstica ,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,1
23/05/2023 10:28:23,18,Empleado de tiempo completo,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,No del todo,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,3
23/05/2023 10:30:48,20,Empleado de medio tiempo,6.5,3,40,Lima Este,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Smartphone",No del todo,Tal vez,Si,Sí,"Realizar alguna tarea, Programar",No,1,1,1,Sí,3
23/05/2023 10:30:57,0,Empleado de tiempo completo,16,3,35,Lima Oeste,Lima Oeste,Secundaria,Pastafarismo,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Programar, Otros",No,1,1,1,Sí,2
23/05/2023 10:37:36,18,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Bachiller,Católico,Laptop O Computadora,No del todo,Tal vez,No del todo,Sí,Ninguna,Si,1,1,1,Sí,3
23/05/2023 10:38:10,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,Laptop O Computadora,Sí,Tal vez,Si,Sí,Consultar definiciones,Si,1,1,1,Sí,3
23/05/2023 10:46:10,0,Desempleado,0,0,0,Lima Oeste,No Laburo,Bachiller,Cristiano,Laptop O Computadora,Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,2
23/05/2023 10:46:51,25,Empleado en múltiples empleos,2,4,1.5,Lima Sur,Lima Oeste,Secundaria,Israelita,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea",Si,1,1,1,Sí,3
23/05/2023 10:52:18,21,Empleado de medio tiempo,4,5,0,Lima Oeste,Lima Oeste,Bachiller,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,No del todo,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Programar",Si,1,1,1,No,1
23/05/2023 10:59:08,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,No del todo,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,0,0,No,2
23/05/2023 10:59:33,20,Empleado de medio tiempo,1.5,7,15,Lima Oeste,Lima Oeste,Secundaria,Ninguno,"Laptop O Computadora, Smartphone",Sí,No,Si,Sí,"Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,0,Sí,2
23/05/2023 10:59:47,21,Empleado de medio tiempo,4,3,1,Lima Este,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,0,0,No,1
23/05/2023 10:59:54,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,Organizar horarios,Si,1,1,1,Sí,3
23/05/2023 11:04:33,17,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,No,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,0,0,Sí,3
23/05/2023 11:05:11,18,Desempleado,0,0,60,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",No,0,0,0,No,1
23/05/2023 11:10:10,19,Desempleado,0,0,0,Lima Sur,No Laburo,Bachiller,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea",Si,1,1,0,Sí,3
23/05/2023 11:12:48,19,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,No tengo creencia,Laptop O Computadora,Sí,Sí,Si,No del todo,"Realizar alguna tarea, Programar",Si,1,1,1,Sí,1
23/05/2023 11:17:05,18,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Realizar alguna tarea, Consultar definiciones",Si,1,1,0,No,2
23/05/2023 11:17:44,18,Empleado en múltiples empleos,2,3,15,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones",Si,1,1,1,Sí,2
23/05/2023 11:17:53,17,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Realizar alguna tarea, Programar",Si,0,1,0,Sí,3
23/05/2023 11:22:37,22,Desempleado,0,0,60,Lima Oeste,Lima Norte,Secundaria,Católico,Laptop O Computadora,No del todo,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",No,1,0,0,No,3
23/05/2023 11:25:29,0,Desempleado,0,0,0,Lima Oeste,Lima Norte,Secundaria,Católico,Laptop O Computadora,Sí,No,Si,Sí,Obtener información,Si,0,1,1,Sí,3
23/05/2023 11:26:49,18,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,No del todo,No del todo,Obtener información,Si,1,1,1,Sí,2
23/05/2023 11:27:04,21,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Programar",Si,0,1,0,Sí,1
23/05/2023 17:32:44,53,Empleado en múltiples empleos,10,6,1.3,Lima Norte,Lima Este,Master,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,No del todo,No del todo,"Realizar alguna tarea, Consultar definiciones",Si,0,1,1,Sí,3
23/05/2023 19:51:44,29,Empleado de medio tiempo,6,6,0,Lima Oeste,Lima Oeste,Bachiller,Deista,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,Sí,2
24/05/2023 9:58:03,20,Desempleado,0,0,0,Lima Sur,No Laburo,Bachiller,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Programar",Si,1,1,0,Sí,1
24/05/2023 10:31:07,19,Desempleado,0,0,40,Lima Norte,No Laburo,Secundaria,Ateismo religioso,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,No del todo,"Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,Sí,1
24/05/2023 10:33:52,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",No del todo,Tal vez,Si,Sí,"Obtener información, Consultar definiciones",Si,1,1,0,Sí,3
24/05/2023 11:03:50,18,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones, Programar",Si,0,1,1,No,3
24/05/2023 11:04:47,20,Empleado de medio tiempo,8,0,40,Lima Oeste,Lima Sur,Secundaria,Cristiano,Laptop O Computadora,Sí,Tal vez,No del todo,Sí,"Organizar horarios, Armar presentaciones, Realizar alguna tarea, Consultar definiciones",No,1,0,1,Sí,2
