Marca temporal,¿Cuál es su edad? (años),¿Cuál es su sexo?,¿En qué universidad estudia? ,¿Qué carrera universitaria estudia?,¿En que ciclo se encuentra actualmente?,¿Cuál fue su promedio ponderado en su ciclo pasado? (colocar 2 decimales),¿Cuántos cursos está llevando actualmente?,¿Qué tanta dificultad encuentras en tus cursos?,¿Cuánto tiempo dedicas al estudio por dia? (en minutos),Indique su grado de satisfacción de acuerdo a las preguntas planteadas. [¿Crees que tus profesores dificultan tu aprendizaje?],Indique su grado de satisfacción de acuerdo a las preguntas planteadas. [¿Crees que la infraestructura de tu universidad favorece tu aprendizaje?],Indique (Si / No) basados en las preguntas planteadas. [¿Crees que tu universidad invierte lo suficiente en sus laboratorios?],Indique (Si / No) basados en las preguntas planteadas. [¿Crees que tu universidad invierte lo suficiente con respecto al apoyo al bienestar de los estudiantes? (Académica y/o psicológica)],Durante los ciclos virtuales. ¿Qué tan buena te pareció la  educación brindada por tu universidad?,¿Con qué dispositivo móvil ( en su mayoría ) accedía a sus clases virtuales?,En una escala de 1 al 10. ¿Cuánto consideras que tu universidad apoya en los intercambios estudiantiles? ,¿Que medios de movilización hay en tu universidad? [Ascensor ],¿Que medios de movilización hay en tu universidad? [Bus],¿Que medios de movilización hay en tu universidad? [Escaleras]
26/04/2022 1:26:49,22,Femenino,UTEC,Ingeniería Ambiental,2,17.34,7,4,240,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,7,Si,No,Si
26/04/2022 1:27:59,25,Femenino,UTEC,Ingeniería Mecatrónica,5,13,5,3,60,De acuerdo,Totalmente de acuerdo,Sí,Sí,4,Computadora,6,Si,No,Si
26/04/2022 1:29:19,17,Masculino,UTEC,Ingeniería Industrial,2,15,6,4,60,Totalmente de acuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 1:35:50,18,Masculino,UTEC,Ingeniería Ambiental,2,16.4,6,3,130,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 1:48:30,22,Femenino,UTEC,Ingeniería Industrial,2,17.5,6,4,210,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,6,Si,No,Si
26/04/2022 1:54:43,20,Masculino,UTEC,Ingeniería Industrial,3,14.3,6,3,240,En desacuerdo,En desacuerdo,Sí,Sí,5,Laptop,9,Si,No,Si
26/04/2022 1:58:45,22,Femenino,UTEC,Bioingeniería,6,12,6,4,60,De acuerdo,Totalmente de acuerdo,Sí,Sí,3,Computadora,8,Si,No,Si
26/04/2022 2:33:32,18,Femenino,UTEC,Ingeniería Industrial,2,14,6,4,3 horas diarias,En desacuerdo,En desacuerdo,Sí,Sí,4,Laptop,7,Si,No,Si
26/04/2022 6:04:31,23,Masculino,UTEC,Ingeniería de la Energía,5,15.67,3,3,120 mnutos ,Totalmente en desacuerdo,En desacuerdo,Sí,Sí,2,Computadora,4,Si,No,Si
26/04/2022 6:31:24,20,Femenino,UTEC,Ingeniería Industrial,2,13.4,7,4,230,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 7:10:23,21,Femenino,UTEC,Bioingeniería,2,17.3,7,4,60,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 7:13:49,19,Masculino,UTEC,Ingeniería Electrónica,2,16,6,3,30 minutos,En desacuerdo,Totalmente de acuerdo,Sí,Sí,3,Laptop,8,Si,No,Si
26/04/2022 7:30:06,19,Femenino,UTEC,Administración y Negocios digitales,5,18.21,6,4,90,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 7:39:16,26,Masculino,UNI,Ingeniería Textil,5,12,6,4,120,Totalmente en desacuerdo,En desacuerdo,No,No,2,Laptop,5,Si,Si,Si
26/04/2022 7:39:47,18,Femenino,UTEC,Ingeniería Ambiental,2,14,5,4,90,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,4,Laptop,5,Si,No,Si
26/04/2022 7:40:36,22,Masculino,UNI,Ciencia de la Computación,7,13.7,6,3,150 min,Totalmente en desacuerdo,En desacuerdo,No,Sí,3,Laptop,7,Si,Si,Si
26/04/2022 7:46:08,23,Femenino,UNI,Ingeniería Textil,7,15.02,7,3,3 horas,En desacuerdo,En desacuerdo,No,Sí,2,Computadora,7,No,Si,Si
26/04/2022 7:46:22,23,Femenino,UTEC,Ingeniería Industrial,7,14.24,6,5,350,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,4,Laptop,10,Si,No,Si
26/04/2022 7:55:25,26,Masculino,UNI,Ingeniería Química,9,9,6,4,60 min,De acuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Laptop,2,Si,Si,Si
26/04/2022 7:57:43,20,Femenino,UTEC,Ingeniería Industrial,2,17.23,6,5,150,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,9,Si,No,Si
26/04/2022 8:03:24,24,Masculino,UNI,Ingeniería Civil,7,14.19,6,2,90,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,3,Laptop,6,Si,No,Si
26/04/2022 8:03:37,18,Masculino,UTEC,Ingeniería Civil,2,13.45,6,4,120,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,8,Si,No,Si
26/04/2022 8:04:42,21,Masculino,UTEC,Ingeniería Civil,2,12,7,5,180 min,De acuerdo,De acuerdo,Sí,Sí,4,Celular,10,Si,No,Si
26/04/2022 8:05:25,22,Femenino,UTEC,Ingeniería Industrial,2,16,6,3,90,Totalmente en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
26/04/2022 8:18:52,23,Masculino,UNI,Ingeniería de Sistemas,8,14.3,7,4,1 hora,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,4,Laptop,4,Si,Si,Si
26/04/2022 8:20:01,23,Masculino,UNI,Ingeniería Industrial,7,14,7,3,30 minutos ,En desacuerdo,En desacuerdo,No,No,2,Laptop,3,Si,Si,Si
26/04/2022 8:23:50,18,Femenino,UTEC,Bioingeniería,3,16.72,6,4,60,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,No,4,Laptop,10,Si,No,Si
26/04/2022 8:25:35,22,Masculino,UNI,Ingeniería Naval,5,14,7,4,120,De acuerdo,Ni de acuerdo ni en desacuerdo,Sí,No,2,Laptop,5,No,Si,Si
26/04/2022 8:36:25,19,Femenino,UTEC,Ingeniería Ambiental,2,13.25,3,4,120,De acuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,9,Si,Si,Si
26/04/2022 8:37:06,26,Masculino,UNI,Ingeniería Civil,5,13.58,6,3,4 horas,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,Sí,3,Laptop,4,No,Si,Si
26/04/2022 8:38:16,16,Femenino,UTEC,Ingeniería Mecánica,2,15.12,7,5,150,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,No,2,Celular,6,Si,No,Si
26/04/2022 8:40:33,19,Masculino,UNI,Ingeniería Económica,3,13,7,3,152,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,7,No,Si,Si
26/04/2022 8:43:32,18,Masculino,UTEC,Ingeniería Mecatrónica,2,13.71,7,3,240,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
26/04/2022 8:55:47,21,Masculino,UNI,Ingeniería Mecánica - Eléctrica,4,11.3,6,3,2 h ,Totalmente en desacuerdo,Totalmente de acuerdo,No,Sí,5,Laptop,7,No,No,Si
26/04/2022 8:56:37,23,Masculino,UNI,Ingeniería Civil,7,12.78,5,4,media hora ,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,Sí,3,Laptop,6,No,No,Si
26/04/2022 9:06:46,25,Femenino,UNI,Ingeniería Química,9,12.53,7,4,60 min,Ni de acuerdo ni en desacuerdo,De acuerdo,No,No,3,Laptop,6,No,Si,Si
26/04/2022 9:20:14,18,Masculino,UNI,Ingeniería Civil,7,17.27,7,5,1 hora,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,No,Sí,3,Computadora,8,No,Si,Si
26/04/2022 9:20:54,19,Masculino,UTEC,Ingeniería Civil,2,9.78,6,5,210,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,3,Celular,7,Si,No,Si
26/04/2022 9:23:45,19,Prefiero no decirlo,UNI,Ingeniería Industrial,2,13.87,6,5,240,En desacuerdo,De acuerdo,Sí,Sí,3,Laptop,8,Si,No,Si
26/04/2022 9:26:26,19,Masculino,UNI,Ingeniería Civil,7,11.82,6,4,60 min,En desacuerdo,Totalmente de acuerdo,Sí,No,2,Laptop,3,Si,Si,Si
26/04/2022 9:32:53,22,Femenino,UTEC,Bioingeniería,2,17.62,6,4,90 min,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,7,Si,No,Si
26/04/2022 9:38:03,19,Masculino,UTEC,Ingeniería Mecánica,4,13.5,6,4,150,De acuerdo,De acuerdo,No,No,3,Laptop,6,Si,No,Si
26/04/2022 9:58:34,19,Masculino,UTEC,Ingeniería Electrónica,3,11.79,7,3,1 hora,Totalmente en desacuerdo,De acuerdo,Sí,Sí,5,Laptop,9,Si,No,Si
26/04/2022 9:58:56,24,Femenino,UTEC,Ingeniería Civil,4,14.36,7,5,3 h ,Totalmente en desacuerdo,En desacuerdo,Sí,Sí,5,Laptop,8,Si,No,Si
26/04/2022 9:59:28,22,Femenino,UNI,Ingeniería de Higiene y Seguridad Industrial,7,15.58,7,2,60 min,Totalmente en desacuerdo,De acuerdo,No,No,4,Laptop,3,No,Si,Si
26/04/2022 10:00:22,20,Femenino,UNI,Ingeniería de Higiene y Seguridad Industrial,7,15.23,7,4,120 min,En desacuerdo,De acuerdo,No,No,2,Laptop,3,Si,Si,Si
26/04/2022 10:01:14,20,Masculino,UNI,Ingeniería Mecatrónica,8,13.42,6,3,30,Ni de acuerdo ni en desacuerdo,De acuerdo,No,No,4,Laptop,6,No,Si,Si
26/04/2022 10:12:51,18,Masculino,UTEC,Ingeniería Mecatrónica,2,15.39,6,4,12,De acuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 10:25:02,17,Masculino,UTEC,Ingeniería Industrial,2,11.12,6,3,180,Totalmente en desacuerdo,De acuerdo,Sí,Sí,3,Computadora,7,Si,No,Si
26/04/2022 10:30:24,23,Femenino,UTEC,Ingeniería Ambiental,2,14.37,6,3,1 hora,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
26/04/2022 10:42:39,20,Femenino,UNI,Ingeniería Civil,7,12.6,6,4,3 horas,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,7,Si,No,Si
26/04/2022 10:55:44,17,Masculino,UTEC,Ingeniería Ambiental,2,14.15,6,4,120,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,7,Si,No,Si
26/04/2022 10:57:33,19,Femenino,UTEC,Ingeniería Ambiental,3,12.6,7,3,60,Totalmente en desacuerdo,Totalmente en desacuerdo,Sí,No,5,Computadora,6,Si,No,Si
26/04/2022 11:01:57,22,Femenino,UNI,Ingeniería Electrónica,5,13.5,7,4,70 min,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,Sí,4,Laptop,6,No,Si,Si
26/04/2022 11:28:29,19,Femenino,UTEC,Ingeniería Ambiental,4,14.2,5,4,90,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 11:34:29,19,Masculino,UTEC,Ingeniería Civil,2,16.68,7,2,3h,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 11:36:31,19,Masculino,UTEC,Ingeniería Electrónica,2,17.23,6,4,2 horas,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 11:42:14,18,Masculino,UTEC,Bioingeniería,2,18.21,6,5,60 min,En desacuerdo,Totalmente de acuerdo,No,Sí,5,Tablet y/o IPad,7,Si,No,Si
26/04/2022 11:42:44,23,Masculino,UNI,Ingeniería Química,7,13.5,6,4,90 min,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,3,Celular,8,No,Si,Si
26/04/2022 12:07:30,20,Femenino,UTEC,Ingeniería Industrial,2,13.24,6,3,130,En desacuerdo,Totalmente en desacuerdo,Sí,Sí,5,Laptop,8,Si,No,Si
26/04/2022 12:12:32,18,Masculino,UTEC,Ingeniería Mecatrónica,2,11.78,6,4,160,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 12:30:06,22,Masculino,UNI,Ingeniería Química,9,16,7,4,2h,Totalmente en desacuerdo,De acuerdo,No,No,4,Laptop,4,No,Si,Si
26/04/2022 12:57:50,23,Masculino,UNI,Ingeniería de Minas,2,14.83,6,3,3 horas,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,3,Computadora,4,No,Si,Si
26/04/2022 13:13:04,19,Femenino,UTEC,Ingeniería Ambiental,2,11.72,5,4,150,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
26/04/2022 13:41:18,19,Masculino,UTEC,Ingeniería Industrial,2,18.23,6,4,5 horas,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,6,Si,No,Si
26/04/2022 13:55:45,18,Masculino,UNI,Ingeniería Química,2,17,6,3,4 h,Totalmente en desacuerdo,De acuerdo,Sí,Sí,3,Computadora,5,Si,Si,Si
26/04/2022 13:58:26,23,Masculino,UNI,Ingeniería Mecánica,9,12,7,4,240,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Laptop,7,No,No,Si
26/04/2022 14:25:12,17,Femenino,UTEC,Bioingeniería,2,14.4,6,4,210,Totalmente en desacuerdo,De acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 14:26:33,19,Masculino,UTEC,Ingeniería Industrial,2,14.78,6,3,120 min,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Computadora,9,Si,No,Si
26/04/2022 14:36:29,18,Femenino,UTEC,Ciencia de la Computación,3,16.9,6,4,60,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,5,Computadora,7,Si,No,Si
26/04/2022 14:59:02,18,Masculino,UTEC,Ciencia de la Computación,3,16.21,6,2,2 h,Totalmente en desacuerdo,De acuerdo,Sí,Sí,4,Computadora,9,Si,No,Si
26/04/2022 15:07:23,18,Femenino,UTEC,Ingeniería Civil,3,11.6,6,4,3 h y media,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,5,Si,No,Si
26/04/2022 15:13:29,18,Femenino,UTEC,Ingeniería Química,3,13.8,6,4,1 hora,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
26/04/2022 15:53:59,19,Femenino,UTEC,Ingeniería Civil,2,16.71,4,4,150 min,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,3,Laptop,8,Si,No,Si
26/04/2022 15:54:11,21,Femenino,UTEC,Ingeniería Industrial,2,18,4,3,190 min,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,6,Si,No,Si
26/04/2022 16:13:41,26,Masculino,UNI,Ingeniería de Sistemas,8,14.92,4,5,60 min,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Tablet y/o IPad,5,No,Si,Si
26/04/2022 16:28:33,21,Masculino,UTEC,Ciencia de la Computación,5,17.9,6,2,120,En desacuerdo,De acuerdo,Sí,Sí,3,Laptop,6,Si,No,Si
26/04/2022 17:19:50,18,Masculino,UTEC,Ingeniería Civil,3,12.32,5,3,60,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,3,Laptop,5,Si,No,No
26/04/2022 17:52:51,18,Femenino,UTEC,Ingeniería Industrial,2,15.5,7,4,150 minutos,Totalmente en desacuerdo,De acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 18:11:24,20,Femenino,UTEC,Ingeniería Industrial,5,17,7,3,90,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Tablet y/o IPad,10,Si,Si,Si
26/04/2022 20:12:48,20,Masculino,UTEC,Ingeniería de la Energía,4,18.41,7,5,3 horas,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,5,Si,No,Si
26/04/2022 21:45:03,19,Masculino,UTEC,Ciencia de la Computación,3,16,6,2,2 h,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,2,Laptop,8,Si,No,Si
26/04/2022 21:52:56,18,Femenino,UTEC,Bioingeniería,2,12,7,4,240 min,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,10,Si,No,Si
26/04/2022 22:34:12,19,Femenino,UTEC,Ingeniería Ambiental,2,18.3,5,4,1 hora,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 23:02:04,25,Femenino,UNI,Ingeniería Textil,8,11,7,5,300,Ni de acuerdo ni en desacuerdo,En desacuerdo,Sí,Sí,4,Laptop,8,No,Si,Si
26/04/2022 23:29:13,20,Masculino,UTEC,Ingeniería Mecatrónica,4,12.07,6,4,120,En desacuerdo,Totalmente de acuerdo,Sí,Sí,3,Laptop,8,Si,No,Si
27/04/2022 1:03:19,24,Femenino,UTEC,Bioingeniería,7,14.6,6,4,210,Totalmente en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,Si,Si
27/04/2022 6:31:05,21,Masculino,UTEC,Ingeniería Civil,2,13.8,7,5,95,Totalmente de acuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,7,Si,No,Si
27/04/2022 7:30:11,22,Femenino,UNI,Ingeniería de Higiene y Seguridad Industrial,8,12.5,7,3,190 min,En desacuerdo,Totalmente de acuerdo,No,Sí,4,Laptop,8,Si,Si,Si
27/04/2022 11:12:11,18,Masculino,UTEC,Ingeniería Civil,2,14,6,4,240,En desacuerdo,Totalmente de acuerdo,Sí,Sí,3,Laptop,9,Si,No,Si
27/04/2022 11:19:30,20,Masculino,UTEC,Ingeniería Industrial,2,13.8,6,4,90,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
27/04/2022 15:04:50,18,Femenino,UTEC,Ingeniería Civil,3,12.5,6,4,2 h ,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,8,Si,No,Si
27/04/2022 15:27:24,19,Masculino,UNI,Ingeniería Naval,2,11.05,7,3,4 horas,En desacuerdo,Totalmente de acuerdo,No,Sí,2,Laptop,7,Si,Si,Si
27/04/2022 22:17:20,25,Femenino,UNI,Ingeniería de Higiene y Seguridad Industrial,6,12,5,5,200,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,No,2,Computadora,5,No,Si,Si
27/04/2022 23:10:40,23,Femenino,UTEC,Ingeniería Industrial,8,19,3,4,4,De acuerdo,De acuerdo,Sí,Sí,3,Laptop,7,Si,No,Si
27/04/2022 23:11:32,19,Masculino,UTEC,Ingeniería Industrial,5,17.5,6,4,12,En desacuerdo,Totalmente de acuerdo,Sí,No,4,Laptop,5,Si,No,Si
27/04/2022 23:11:42,22,Masculino,UNI,Ingeniería Mecánica - Eléctrica,6,14.3,7,4,180,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,No,3,Laptop,7,No,Si,Si
27/04/2022 23:14:13,19,Femenino,UTEC,Ingeniería Mecatrónica,3,17.45,5,3,210,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,5,Laptop,8,Si,No,Si
27/04/2022 23:16:55,23,Masculino,UNI,Ingeniería Mecánica - Eléctrica,6,13,7,4,80,De acuerdo,En desacuerdo,No,No,3,Laptop,4,Si,Si,Si
28/04/2022 0:37:45,20,Masculino,UNI,Ingeniería Naval,6,14.6,7,5,90,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Laptop,3,No,Si,Si
28/04/2022 6:29:09,21,Masculino,UNI,Ingeniería Mecánica,6,12.9,7,5,140,De acuerdo,De acuerdo,No,No,2,Laptop,3,Si,Si,Si
28/04/2022 12:51:13,21,Masculino,UNI,Ingeniería Mecánica - Eléctrica,6,13,7,4,240,En desacuerdo,De acuerdo,No,No,3,Laptop,6,No,Si,Si
28/04/2022 12:53:19,21,Masculino,UNI,Ingeniería Mecánica - Eléctrica,6,15,7,5,4 horas,En desacuerdo,En desacuerdo,No,No,3,Laptop,6,No,Si,Si
28/04/2022 13:21:56,21,Masculino,UNI,Ciencia de la Computación,6,11.68,7,5,2h,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,3,Laptop,6,Si,No,Si
28/04/2022 13:46:14,20,Masculino,UNI,Ingeniería Mecánica - Eléctrica,6,14.2,7,4,30,De acuerdo,Ni de acuerdo ni en desacuerdo,No,Sí,3,Laptop,4,No,No,Si
28/04/2022 13:49:21,22,Masculino,UNI,Ingeniería Mecánica - Eléctrica,6,13.56,5,3,60 min,De acuerdo,En desacuerdo,No,No,4,Laptop,6,No,Si,Si
28/04/2022 13:53:27,21,Masculino,UNI,Ingeniería Mecánica - Eléctrica,6,12.6,5,4,90,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,No,2,Laptop,6,No,Si,Si
28/04/2022 14:05:04,18,Masculino,UTEC,Bioingeniería,3,16.1,5,4,180,De acuerdo,De acuerdo,Sí,Sí,3,Laptop,9,Si,No,Si
28/04/2022 14:22:55,20,Masculino,UNI,Ingeniería Mecánica - Eléctrica,5,11.9,6,4,2h,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,3,Computadora,5,No,Si,Si
28/04/2022 14:50:34,19,Femenino,UTEC,Ingeniería Industrial,2,17.56,6,4,240,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
28/04/2022 14:55:06,28,Masculino,UNI,Ingeniería Mecánica - Eléctrica,4,13.24,6,4,240,Totalmente en desacuerdo,De acuerdo,No,Sí,3,Computadora,4,No,Si,Si
28/04/2022 15:41:46,21,Masculino,UNI,Ingeniería Mecánica - Eléctrica,5,12.65,5,4,300,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,Si,Si
28/04/2022 16:53:19,18,Femenino,UTEC,Bioingeniería,3,12.7,5,4,3 h ,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
28/04/2022 22:03:55,19,Masculino,UTEC,Ingeniería Mecatrónica,5,18,5,5,3h,En desacuerdo,De acuerdo,Sí,Sí,3,Laptop,8,Si,No,Si
28/04/2022 22:11:57,19,Masculino,UTEC,Ingeniería Electrónica,5,16.95,5,4,150,De acuerdo,De acuerdo,Sí,Sí,4,Computadora,7,Si,No,Si
29/04/2022 0:25:26,19,Femenino,UTEC,Bioingeniería,3,13.3,4,4,1 h ,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,No,3,Laptop,7,Si,No,Si
29/04/2022 11:21:27,20,Masculino,UNI,Ingeniería de Sistemas,9,13,7,5,90,Totalmente de acuerdo,De acuerdo,No,No,2,Laptop,3,No,Si,Si
