"Marca temporal","Edad (años cumplidos) Ej. 19 (solo colocar el número y tener 18 o más)","Género","Nivel de instrucción ","Lugar de residencia","¿Qué mascarilla usas con más frecuencia?","¿En promedio después de cuántos días desechas una mascarilla?","¿En promedio cuánto pagas por una mascarilla? (redondea a una cifra)","¿Prefieres las mascarillas con las tiras que se sostienen en las orejas o las que se sostienen alrededor de la cabeza?","¿De qué color prefieres llevar tu mascarilla? (Si ingresa el color inicie con mayúscula)","¿Qué tan protegido/a te sientes cuando usas la mascarilla KN95?","¿Qué tan protegido/a te sientes cuando usas la mascarilla de tela?","¿Qué tan protegido/a te sientes cuando usas la mascarilla KF94?","¿Qué tan protegido/a te sientes cuando usas la mascarilla Quirúrgica?","¿Qué tan protegido/a te sientes cuando usas la mascarilla FFP3?","¿Qué tan protegido/a te sientes cuando usas la mascarilla N95?","¿Qué tan protegido/a te sientes con tu selección de mascarilla?"
"2022/04/22 10:47:11 a. m. GMT-5","21","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","6","3","Me es indiferente","Blanca","9","6","6","7","9","10","9"
"2022/04/22 11:09:06 a. m. GMT-5","20","Masculino","Educación Secundaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","10","3","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","5","7","6","9","9","8"
"2022/04/22 11:24:34 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","1","6","3","2","9","6"
"2022/04/22 12:02:58 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","10","3","10","5","5","5","10"
"2022/04/22 12:15:53 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Gris","10","7","9","9","10","10","9"
"2022/04/22 2:53:22 p. m. GMT-5","19","Femenino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","6","9","6","10","10","6"
"2022/04/22 4:02:20 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","4","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","1","7","4","8","8","7"
"2022/04/22 8:18:10 p. m. GMT-5","48","Masculino","Educación Superior Técnica","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","1","1","Me es indiferente","Celeste","9","5","9","7","6","9","7"
"2022/04/22 8:20:35 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","7","8","6","9","10","6"
"2022/04/22 8:30:05 p. m. GMT-5","26","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","1","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","1","9","8","7","10","9"
"2022/04/22 8:30:38 p. m. GMT-5","44","Femenino","Doctorado","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KF94","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","1","10","5","10","10","10"
"2022/04/22 10:51:40 p. m. GMT-5","18","Masculino","Educación Superior Técnica","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","5","2","5","7","5","5","7"
"2022/04/22 10:55:12 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","1","8","7","9","9","10"
"2022/04/22 11:01:24 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","8","10","6","10","10","8"
"2022/04/22 11:07:26 p. m. GMT-5","18","Masculino","Educación Superior Técnica","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","10","8","10","10","10","10"
"2022/04/22 11:19:25 p. m. GMT-5","18","Femenino","Educación Superior Técnica","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","2","8","5","10","10","5"
"2022/04/22 11:51:17 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","4","5","5","9","10","5"
"2022/04/22 11:57:32 p. m. GMT-5","21","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","7","5","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","5","10","3","9","10","10"
"2022/04/23 12:24:07 a. m. GMT-5","25","Masculino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","9","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","9","9","8","10","10","10"
"2022/04/23 12:51:06 a. m. GMT-5","18","Masculino","Educación Superior Técnica","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","5","7","5","7","8","6"
"2022/04/23 1:03:33 a. m. GMT-5","44","Masculino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KN95","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","3","7","4","5","9","7"
"2022/04/23 5:18:04 a. m. GMT-5","20","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","9","3","10","8","9","10","9"
"2022/04/23 12:31:53 p. m. GMT-5","46","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","1","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","5","2","6","3","8","8","8"
"2022/04/23 5:07:46 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","6","3","7","5","5","9","10"
"2022/04/23 5:24:14 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","2","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","6","3","5","5","6","7","5"
"2022/04/23 5:36:53 p. m. GMT-5","20","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","2","3","Mascarillas que se sostienen alrededor de la cabeza.","Negra","7","7","6","5","8","10","7"
"2022/04/24 11:40:52 a. m. GMT-5","19","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","9","6","9","8","10","9","8"
"2022/04/24 12:24:23 p. m. GMT-5","19","Femenino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","3","1","3","1","2","3","4"
"2022/04/24 12:54:16 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","5","7","6","6","7","7"
"2022/04/24 1:16:10 p. m. GMT-5","20","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","10","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","8","10","8","10","10","10"
"2022/04/24 2:36:56 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","7","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","8","10","5","10","10","9"
"2022/04/24 7:45:42 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KN95","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","5","7","5","8","9","7"
"2022/04/24 7:45:55 p. m. GMT-5","21","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KF94","7","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","2","8","4","8","5","10"
"2022/04/24 7:46:53 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","7","3","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","1","7","5","1","6","9"
"2022/04/24 7:50:13 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","2","3","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","3","3","3","3","5","10"
"2022/04/24 7:51:08 p. m. GMT-5","19","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","4","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","9","3","8","7","6","7","9"
"2022/04/24 8:00:41 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","1","9","5","6","8","8"
"2022/04/24 8:11:41 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","2","1","Me es indiferente","Me es indiferente","7","3","6","5","8","9","5"
"2022/04/24 8:15:50 p. m. GMT-5","19","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","7","1","Me es indiferente","Me es indiferente","8","3","8","7","9","9","8"
"2022/04/24 8:16:33 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","2","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","2","7","3","1","9","7"
"2022/04/24 8:18:42 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","8","2","Mascarillas que se sostienen alrededor de la cabeza.","Negra","8","5","8","5","7","8","8"
"2022/04/24 8:19:55 p. m. GMT-5","19","Masculino","Educación Secundaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","9","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","7","7","5","3","5","10"
"2022/04/24 8:24:49 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","10","1","Mascarillas con las tiras que se sostienen en las orejas.","Verde","10","10","10","10","7","7","10"
"2022/04/24 8:31:03 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","6","10","6","10","10","10"
"2022/04/24 8:31:15 p. m. GMT-5","20","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Mascarillas que se sostienen alrededor de la cabeza.","Negra","10","1","7","5","8","9","5"
"2022/04/24 8:39:41 p. m. GMT-5","23","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","2","5","Mascarillas que se sostienen alrededor de la cabeza.","Me es indiferente","8","2","8","3","4","1","8"
"2022/04/24 8:50:16 p. m. GMT-5","22","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","2","Me es indiferente","Negra","8","4","8","5","8","9","8"
"2022/04/24 8:52:17 p. m. GMT-5","18","Femenino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","6","8","6","9","9","8"
"2022/04/24 8:53:54 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","7","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","3","5","5","7","8","7"
"2022/04/24 8:55:35 p. m. GMT-5","21","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","5","4","7","3","7","9","7"
"2022/04/24 8:57:28 p. m. GMT-5","18","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","7","8","7","9","10","7"
"2022/04/24 8:58:23 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","5","5","7","5","5","10"
"2022/04/24 9:01:20 p. m. GMT-5","22","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","7","2","5","7","6","7","7"
"2022/04/24 9:06:48 p. m. GMT-5","18 ","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","7","10","8","10","10","10"
"2022/04/24 9:11:23 p. m. GMT-5","23","Masculino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","4","6","3","6","9","6"
"2022/04/24 9:12:56 p. m. GMT-5","20","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","9","3","Me es indiferente","Celeste","10","5","10","8","10","10","10"
"2022/04/24 9:18:16 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Balneareos del Sur (Pta. Hermosa, Pucusana, Pta. Negra, San Bartolo, Sta. María)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","7","8","8","9","9","9"
"2022/04/24 9:27:03 p. m. GMT-5","23","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","4","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","7","7","5","6","7","6"
"2022/04/24 9:32:08 p. m. GMT-5","22","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","4","2","Mascarillas con las tiras que se sostienen en las orejas.","Gris","8","4","9","2","5","6","8"
"2022/04/24 9:47:30 p. m. GMT-5","20","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","10","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","10","3","5","6","3","7"
"2022/04/24 9:53:50 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","8","8","8","8","8","8"
"2022/04/24 10:00:13 p. m. GMT-5","19","Femenino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","5","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","3","6","4","8","8","9"
"2022/04/24 10:12:52 p. m. GMT-5","24","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","1","7","5","10","8","5"
"2022/04/24 10:15:15 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","2","Mascarillas que se sostienen alrededor de la cabeza.","Me es indiferente","8","4","7","5","10","8","8"
"2022/04/24 10:16:36 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","1","7","5","3","3","8"
"2022/04/24 10:28:19 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KF94","2","1","Me es indiferente","Me es indiferente","10","1","10","5","7","7","10"
"2022/04/24 10:31:15 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","10","7","8","8","9","8","8"
"2022/04/24 10:31:35 p. m. GMT-5","18","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","6","3","Mascarillas que se sostienen alrededor de la cabeza.","Negra","8","5","7","6","8","9","8"
"2022/04/24 10:37:55 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","1","1","Me es indiferente","Negra","10","1","10","5","1","10","5"
"2022/04/24 10:39:19 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","4","3","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","9","1","6","4","1","10","9"
"2022/04/24 10:49:08 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","3","10","5","5","5","10"
"2022/04/24 11:01:43 p. m. GMT-5","18","Masculino","Educación Superior Técnica","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","5","2","5","3","3","9","5"
"2022/04/24 11:06:03 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","4","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","1","7","9","5","9","9"
"2022/04/24 11:06:20 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","7","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","7","9","8","9","9","9"
"2022/04/24 11:09:09 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KN95","10","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","3","9","6","10","10","8"
"2022/04/24 11:34:15 p. m. GMT-5","19","Femenino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","7","7","7","7","7","7","7"
"2022/04/24 11:43:31 p. m. GMT-5","19","Femenino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","5","8","4","8","8","8"
