,Género.,Edad (años cumplidos). ,Ciclo universitario.,Carrera universitaria.,Promedio ponderado del anterior ciclo (dos decimales). Ejemplo: 14.38,¿Cuántas horas estudias al día sin contar las horas de clase? Ejemplo: 2.45 (equivale a 2 horas y 45 minutos),¿Cuántas horas de sueño tienes por la noche en promedio? Ejemplo: 7.2 (equivale a 7 horas y 20 minutos),¿Practicas algún deporte?,¿Cuántos días a la semana prácticas deporte?,¿Consumes bebidas energéticas?,Responde las siguiente preguntas: [¿Consideras qué el consumo de bebidas energizantes mejora tu rendimiento académico?],Responde las siguiente preguntas: [¿Con qué frecuencia tomas este tipo de bebidas?],Responde las siguiente preguntas: [¿Qué tan necesarias consideras que son las bebidas energéticas durante el periodo universitario?],¿Qué marca de bebidas energéticas consumes?,¿Cuál es tu segunda marca favorita de bebidas energéticas?,¿Has tenido algún efecto secundario luego de consumir las bebidas energéticas?,¿En qué momento consumes más las bebidas energéticas?,¿Bajo qué circunstancias consumes bebidas energéticas?
,Femenino,20,3,Ingeniería Ambiental,13.45,6,7,Sí,3,Sí,Regular,Mucho,Mucho,Red Bull,Volt,Ansiedad,Tarde,Cuando me apetece.
,Masculino,18,2,Ingeniería Electrónica,16.6,6,4.2,No,No práctico,No,,,,,,,,
,Femenino,21,4,Ingeniería Industrial,13.2,6.3,7,Sí,3,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Ansiedad,Tarde,Cuando hago ejercicio.
,Masculino,21,9,Ingeniería de la Energía,16.25,2.3,8,Sí,3,Sí,Regular,Regular,Nada,Volt,Otro,Otro,Mañana,Cuando hago ejercicio.
,Masculino,19,4,Ingeniería Civil,15.6,5.6,6,Sí,3,No,,,,,,,,
,Femenino,18,2,Ingeniería Civil,15.05,4.2,7.5,No,No práctico,Sí,Mucho,Regular,Regular,Red Bull,Red Bull,Otro,Noche,Cuando me apetece.
,Masculino,18,2,Ingeniería Mecatrónica,14.39,5.2,6,No,No práctico,No,,,,,,,,
,Masculino,20,4,Ingeniería Civil,12.5,5.4,6,Sí,3,Sí,Mucho,Regular,Mucho,Monster,Volt,Ansiedad,Tarde,Cuando estudio para un examen.
,Femenino,21,4,Ingeniería Ambiental,15.64,5,7,Sí,3,Sí,Regular,Mucho,Regular,Red Bull,Volt,Ansiedad,Tarde,Cuando hago tareas y proyectos.
,Masculino,18,2,Ciencia de la computación,16.8,4.2,6.4,No,No práctico,No,,,,,,,,
,Masculino,18,2,Ingeniería Civil,15.4,6.3,5.4,No,No práctico,No,,,,,,,,
,Masculino,19,3,Ingeniería Electrónica,11.5,6,5,Sí,3,No,,,,,,,,
,Femenino,24,9,Ingeniería Electrónica,15.3,5,5,No,No práctico,No,,,,,,,,
,Masculino,20,4,Ingeniería Industrial,13.4,5,7.3,No,No práctico,Sí,Mucho,Mucho,Mucho,Red Bull,Monster,Cansancio,Noche,Cuando hago ejercicio.
,Masculino,20,4,Ingeniería Industrial,18.4,5,6,No,No práctico,Sí,Regular,Mucho,Regular,Monster,Red Bull,Cansancio,Mañana,Cuando hago tareas y proyectos.
,Femenino,18,2,Bioingeniería,16,5.4,7.1,No,No práctico,Sí,Poco,Poco,Poco,Volt,Otro,Insomnio,Tarde,Cuando estudio para un examen.
,Femenino,20,2,Ingeniería Química,15.52,5,7,Sí,4,Sí,Regular,Mucho,Mucho,Monster,Red Bull,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Femenino,20,2,Ciencia de la computación,16.15,5.4,7.2,No,No práctico,No,,,,,,,,
,Femenino,18,3,Ingeniería Ambiental,15.6,6,7,Sí,3,Sí,Mucho,Regular,Mucho,Volt,Monster,Cansancio,Mañana,Cuando me apetece.
,Masculino,20,3,Ingeniería Química,15.32,5.3,6.4,Sí,4,No,,,,,,,,
,Masculino,18,2,Ingeniería Mecatrónica,16,2.3,6,Sí,3,Sí,Mucho,Poco,Mucho,Monster,Red Bull,Insomnio,Noche,Cuando hago tareas y proyectos.
,Masculino,21,4,Ingeniería de la Energía,15.6,5,7,Sí,3,Sí,Regular,Mucho,Mucho,Monster,Volt,Cansancio,Tarde,Cuando hago ejercicio.
,Femenino,20,2,Ingeniería Industrial,15.6,5.2,6.3,No,No práctico,No,,,,,,,,
,Femenino,21,4,Bioingeniería,12.3,4.5,7,No,No práctico,Sí,Regular,Mucho,Regular,Monster,Volt,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Masculino,18,2,Ingeniería Mecánica,15.45,5.1,6.2,Sí,7,No,,,,,,,,
,Femenino,21,4,Ingeniería Ambiental,16.5,7,7,Sí,3,Sí,Regular,Mucho,Mucho,Monster,Volt,Cansancio,Mañana,Cuando estudio para un examen.
,Masculino,18,2,Ciencia de la computación,14,4.2,7.3,Sí,3,Sí,Regular,Regular,Regular,Red Bull,Monster,Otro,Noche,Cuando hago tareas y proyectos.
,Masculino,20,4,Ingeniería Civil,14.6,6.3,7,Sí,3,Sí,Mucho,Regular,Mucho,Monster,Monster,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Masculino,22,3,Ingeniería Mecánica,16,2.3,6.15,Sí,5,Sí,Poco,Regular,Regular,Monster,Red Bull,Otro,Noche,Cuando estudio para un examen.
,Femenino,20,4,Ingeniería Civil,14.65,7,6,Sí,3,Sí,Mucho,Regular,Mucho,Monster,Red Bull,Ansiedad,Mañana,Cuando estudio para un examen.
,Femenino,20,3,Ingeniería Ambiental,16.45,5,7,No,No práctico,No,,,,,,,,
,Masculino,22,6,Ingeniería de la Energía,17,3.45,7,Sí,7,Sí,Nada,Regular,Nada,Monster,Otro,Otro,Noche,Cuando hago ejercicio.
,Masculino,20,5,Ingeniería Ambiental,15.67,2.30,5.45,No,No práctico,Sí,Nada,Regular,Nada,Red Bull,Red Bull,Otro,Tarde,Cuando me apetece.
,Femenino,18,2,Ingeniería Ambiental,13.54,3.4,7.1,No,No práctico,No,,,,,,,,
,Femenino,19,3,Ingeniería Ambiental,16.34,5,6,Sí,3,Sí,Mucho,Regular,Regular,Red Bull,Volt,Ansiedad,Tarde,Cuando me apetece.
,Femenino,21,4,Ingeniería Ambiental,14.5,5.2,6.5,Sí,4,No,,,,,,,,
,Masculino,20,6,Ingeniería Electrónica,18,3,7.2,No,No práctico,Sí,Regular,Poco,Poco,Monster,Volt,Otro,Noche,Cuando hago tareas y proyectos.
,Masculino,18,2,Ingeniería Mecánica,14,4.1,6.5,Sí,7,Sí,Nada,Regular,Nada,Otro,Otro,Otro,Tarde,Cuando hago ejercicio.
,Masculino,21,4,Ingeniería Electrónica,16.6,6.5,7,No,No práctico,Sí,Regular,Regular,Regular,Monster,Volt,Cansancio,Noche,Cuando estudio para un examen.
,Masculino,20,5,Ingeniería Civil,15.66,4.35,5,No,No práctico,Sí,Regular,Regular,Poco,Otro,Volt,Taquicardia,Tarde,Cuando hago tareas y proyectos.
,Masculino,19,4,Ingeniería Civil,16.48,7,6.4,No,No práctico,No,,,,,,,,
,Femenino,21,5,Ingeniería de la Energía,14.6,5,7,Sí,4,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Insomnio,Noche,Cuando hago tareas y proyectos.
,Femenino,20,4,Ingeniería Ambiental,15.6,5.3,5,No,No práctico,No,,,,,,,,
,Femenino,18,2,Ingeniería Mecatrónica,16.87,4.4,6.3,No,No práctico,No,,,,,,,,
,Masculino,18,3,Ciencia de datos,15,5.2,5,No,No práctico,Sí,Mucho,Regular,Mucho,Volt,Red Bull,Ansiedad,Noche,Cuando me apetece.
,Femenino,20,4,Ingeniería Civil,14.38,6.2,5.2,No,No práctico,Sí,Mucho,Regular,Mucho,Monster,Volt,Ansiedad,Noche,Cuando hago ejercicio.
,Femenino,20,3,Bioingeniería,15.5,6.5,7.3,Sí,3,No,,,,,,,,
,Masculino,18,3,Ciencia de datos,15,5,5.3,No,No práctico,Sí,Mucho,Regular,Mucho,Monster,Volt,Gastritis,Tarde,Cuando hago tareas y proyectos.
,Femenino,22,8,Ingeniería Ambiental,18.35,4.2,7.1,Sí,3,No,,,,,,,,
,Masculino,18,3,Ingeniería Química,15.6,2.45,6,No,No práctico,Sí,Poco,Poco,Nada,Red Bull,Volt,Otro,Tarde,Cuando me apetece.
,Masculino,21,6,Ingeniería Industrial,17.56,2.25,8,Sí,6,Sí,Nada,Poco,Nada,Red Bull,Monster,Otro,Tarde,Cuando me apetece.
,Femenino,18,2,Ingeniería Mecánica,17.1,5.2,8,No,No práctico,No,,,,,,,,
,Masculino,21,9,Ingeniería Industrial,16.5,3.30,8,Sí,5,Sí,Regular,Poco,Regular,Volt,Red Bull,Taquicardia,Noche,Cuando me apetece.
,Femenino,18,2,Ingeniería Civil,13,5.3,4.2,No,No práctico,Sí,Poco,Regular,Regular,Volt,Monster,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Femenino,20,4,Ingeniería Civil,15.6,5,7,Sí,5,Sí,Regular,Mucho,Mucho,Red Bull,Volt,Insomnio,Tarde,Cuando hago ejercicio.
,Masculino,22,6,Ingeniería Industrial,16.95,4.2,7.1,Sí,3,No,,,,,,,,
,Masculino,18,4,Ingeniería Ambiental,15.55,4.45,6.25,Sí,4,Sí,Regular,Poco,Poco,Volt,Monster,Otro,Tarde,Cuando estudio para un examen.
,Femenino,18,3,Ingeniería Química,16,3.35,7,No,No práctico,Sí,Regular,Poco,Regular,Red Bull,Volt,Otro,Tarde,Cuando hago tareas y proyectos.
,Femenino,18,3,Bioingeniería,15.46,2.3,6.2,No,No práctico,No,,,,,,,,
,Femenino,19,4,Ingeniería Civil,14.6,6,6,No,No práctico,Sí,Mucho,Regular,Mucho,Monster,Volt,Ansiedad,Tarde,Cuando me apetece.
,Masculino,18,2,Ingeniería Industrial,15.66,2.45,7.20,Sí,7,Sí,Regular,Mucho,Nada,Red Bull,Monster,Otro,Noche,Cuando hago ejercicio.
,Femenino,20,4,Ingeniería Civil,13,5,7,No,No práctico,Sí,Mucho,Mucho,Mucho,Monster,Volt,Insomnio,Mañana,Cuando hago tareas y proyectos.
,Femenino,18,3,Ingeniería Mecatrónica,16,3.2,7.4,No,No práctico,No,,,,,,,,
,Masculino,20,4,Ingeniería Civil,11.4,6,7,Sí,4,Sí,Mucho,Regular,Regular,Volt,Monster,Gastritis,Tarde,Cuando me apetece.
,Masculino,18,3,Ingeniería Mecánica,14.47,2,7.3,No,No práctico,Sí,Regular,Regular,Mucho,Otro,Monster,Insomnio,Noche,Cuando hago tareas y proyectos.
,Femenino,18,3,Ingeniería Industrial,17.53,5.35,4.50,No,No práctico,Sí,Poco,Regular,Regular,Monster,Red Bull,Cansancio,Noche,Cuando hago tareas y proyectos.
,Femenino,19,3,Ingeniería Industrial,13.54,5,6,Sí,4,Sí,Regular,Mucho,Regular,Monster,Volt,Ansiedad,Mañana,Cuando estudio para un examen.
,Femenino,19,2,Ingeniería Industrial,16.45,5.3,6.1,No,No práctico,Sí,Regular,Poco,Regular,Otro,Otro,Insomnio,Noche,Cuando hago tareas y proyectos.
,Femenino,21,3,Ingeniería Mecánica,14.78,5,7,No,No práctico,No,,,,,,,,
,Masculino,19,5,Ingeniería Industrial,18,1.45,8,Sí,3,Sí,Regular,Regular,Regular,Monster,Otro,Taquicardia,Mañana,Cuando estudio para un examen.
,Femenino,18,3,Ingeniería Industrial,16.6,6.5,7,Sí,4,Sí,Mucho,Regular,Mucho,Monster,Monster,Ansiedad,Mañana,Cuando me apetece.
,Masculino,21,10,Ciencia de la computación,15.47,2.45,5.30,Sí,5,Sí,Regular,Regular,Regular,Volt,Red Bull,Ansiedad,Mañana,Cuando hago ejercicio.
,Femenino,21,5,Ingeniería Civil,15.2,4.3,7.5,No,No práctico,Sí,Mucho,Regular,Regular,Volt,Monster,Taquicardia,Tarde,Cuando hago tareas y proyectos.
,Femenino,21,5,Ingeniería Industrial,15.6,6,7,No,No práctico,Sí,Mucho,Regular,Mucho,Monster,Red Bull,Insomnio,Tarde,Cuando hago ejercicio.
,Masculino,18,3,Ciencia de la computación,16,5.5,7.5,No,No práctico,No,,,,,,,,
,Masculino,22,7,Ingeniería Mecatrónica,18.7,6.15,4,Sí,3,Sí,Mucho,Mucho,Mucho,Red Bull,Monster,Gastritis,Noche,Cuando hago ejercicio.
,Masculino,21,4,Bioingeniería,15.21,5,6,Sí,4,Sí,Mucho,Mucho,Mucho,Monster,Red Bull,Gastritis,Tarde,Cuando me apetece.
,Masculino,21,3,Ingeniería Industrial,14.32,7,5.5,Sí,6,No,,,,,,,,
,Femenino,22,4,Ingeniería Mecatrónica,15.6,6,6,No,No práctico,No,,,,,,,,
,Femenino,19,4,Ingeniería Mecánica,15.35,6,5.2,Sí,3,Sí,Regular,Regular,Mucho,Otro,Red Bull,Cansancio,Noche,Cuando estudio para un examen.
,Masculino,21,4,Ingeniería Química,15.5,7,5,Sí,3,Sí,Regular,Regular,Regular,Red Bull,Monster,Ansiedad,Mañana,Cuando hago tareas y proyectos.
,Femenino,18,3,Ingeniería Química,12.32,1.5,6.5,No,No práctico,No,,,,,,,,
,Masculino,20,3,Ingeniería Electrónica,14,7.20,7.35,Sí,3,Sí,Regular,Mucho,Regular,Red Bull,Monster,Cansancio,Noche,Cuando estudio para un examen.
,Femenino,21,4,Ingeniería Industrial,16.21,6.4,7.2,Sí,4,No,,,,,,,,
,Femenino,18,3,Ingeniería Industrial,14.3,3.25,7,Sí,1,Sí,Regular,Regular,Poco,Red Bull,Monster,Insomnio,Noche,Cuando hago tareas y proyectos.
,Masculino,20,5,Ingeniería Mecánica,15,7,6.3,No,No práctico,Sí,Nada,Poco,Regular,Red Bull,Monster,Ansiedad,Tarde,Cuando estudio para un examen.
,Masculino,20,4,Ingeniería Civil,16.27,5.2,7.2,Sí,3,Sí,Mucho,Regular,Mucho,Monster,Monster,Cansancio,Mañana,Cuando me apetece.
,Femenino,20,4,Ingeniería Civil,15.6,5,6,No,No práctico,Sí,Regular,Regular,Regular,Monster,Volt,Ansiedad,Noche,Cuando me apetece.
,Femenino,18,3,Ciencia de la computación,16.8,3.4,5.3,Sí,4,No,,,,,,,,
,Masculino,18,2,Ingeniería Mecatrónica,15,8,6.20,No,No práctico,Sí,Mucho,Mucho,Mucho,Monster,Otro,Insomnio,Noche,Cuando estudio para un examen.
,Masculino,19,4,Ingeniería Química,16.72,6.5,8,Sí,3,No,,,,,,,,
,Femenino,18,2,Ingeniería Ambiental,15.4,4.25,7,Sí,3,Sí,Poco,Poco,Poco,Red Bull,Monster,Insomnio,Tarde,Cuando hago tareas y proyectos.
,Femenino,20,4,Ingeniería Civil,17.32,5.2,7,Sí,3,Sí,Mucho,Regular,Mucho,Monster,Volt,Ansiedad,Tarde,Cuando estudio para un examen.
,Femenino,19,3,Ingeniería Industrial,16.5,6.50,7.45,Sí,4,Sí,Mucho,Mucho,Regular,Volt,Red Bull,Cansancio,Tarde,Cuando hago ejercicio.
,Femenino,20,5,Ingeniería Mecánica,15.4,6,7,Sí,3,Sí,Mucho,Regular,Mucho,Red Bull,Monster,Ansiedad,Noche,Cuando me apetece.
,Masculino,19,5,Ingeniería Industrial,16.5,3,5.3,Sí,4,Sí,Poco,Poco,Nada,Red Bull,Monster,Insomnio,Tarde,Cuando me apetece.
,Femenino,19,3,Ingeniería Química,15.65,7.15,8,Sí,4,Sí,Regular,Poco,Mucho,Red Bull,Otro,Gastritis,Noche,Cuando hago tareas y proyectos.
,Femenino,21,5,Ingeniería Civil,12.6,5.7,7,No,No práctico,Sí,Regular,Mucho,Mucho,Monster,Volt,Insomnio,Noche,Cuando hago ejercicio.
,Masculino,20,3,Ingeniería Industrial,14.7,4.3,7.1,No,No práctico,No,,,,,,,,
,Femenino,18,3,Ingeniería Civil,16.5,6.5,7,Sí,2,No,,,,,,,,
,Femenino,21,7,Ingeniería de la Energía,16.73,3.55,7.20,Sí,2,Sí,Poco,Poco,Nada,Volt,Otro,Otro,Tarde,Cuando hago ejercicio.
,Femenino,18,3,Ingeniería Industrial,15.8,3.2,6.3,No,No práctico,No,,,,,,,,
,Femenino,20,3,Bioingeniería,14.6,7.20,6.45,Sí,4,Sí,Mucho,Mucho,Mucho,Red Bull,Red Bull,Ansiedad,Mañana,Cuando hago tareas y proyectos.
,Masculino,21,4,Ingeniería Civil,12.4,5.6,7,No,No práctico,No,,,,,,,,
,Masculino,19,5,Ingeniería Ambiental,17.57,4,5.45,Sí,7,Sí,Mucho,Regular,Mucho,Monster,Monster,Ansiedad,Noche,Cuando estudio para un examen.
,Femenino,21,4,Ingeniería Ambiental,16.7,8,8,Sí,5,Sí,Mucho,Regular,Mucho,Red Bull,Red Bull,Ansiedad,Mañana,Cuando me apetece.
,Masculino,18,3,Ingeniería Ambiental,17.4,2.45,8,No,No práctico,No,,,,,,,,
,Femenino,18,3,Bioingeniería,16.5,5,5,Sí,3,Sí,Regular,Regular,Regular,Red Bull,Volt,Cansancio,Noche,Cuando estudio para un examen.
,Femenino,20,3,Ingeniería Industrial,16.78,7.20,8,Sí,3,Sí,Mucho,Regular,Mucho,Red Bull,Monster,Insomnio,Tarde,Cuando hago tareas y proyectos.
,Masculino,20,3,Ingeniería Mecánica,14.78,6.45,7.30,Sí,6,Sí,Mucho,Mucho,Regular,Red Bull,Otro,Insomnio,Noche,Cuando estudio para un examen.
,Femenino,18,3,Ingeniería Ambiental,15.2,5,5.4,No,No práctico,Sí,Poco,Regular,Regular,Red Bull,Red Bull,Ansiedad,Tarde,Cuando estudio para un examen.
,Masculino,19,3,Ingeniería Química,15,3.15,6,Sí,2,Sí,Regular,Poco,Regular,Monster,Red Bull,Cansancio,Noche,Cuando estudio para un examen.
,Masculino,19,3,Ingeniería Civil,12,5,7.4,No,No práctico,Sí,Regular,Mucho,Mucho,Monster,Volt,Insomnio,Tarde,Cuando me apetece.
,Femenino,18,3,Bioingeniería,16.08,4,6.3,Sí,3,Sí,Regular,Poco,Regular,Monster,Red Bull,Insomnio,Tarde,Cuando estudio para un examen.
,Masculino,20,3,Ciencia de la computación,13,6,7,No,No práctico,Sí,Regular,Regular,Mucho,Monster,Red Bull,Ansiedad,Noche,Cuando estudio para un examen.
,Masculino,19,4,Ingeniería Civil,15.8,2,5,Sí,5,Sí,Regular,Poco,Regular,Monster,Red Bull,Otro,Noche,Cuando hago tareas y proyectos.
,Femenino,22,4,Ingeniería Química,13.56,5.4,7.3,Sí,2,Sí,Mucho,Mucho,Mucho,Monster,Red Bull,Ansiedad,Tarde,Cuando estudio para un examen.
,Masculino,20,7,Ciencia de la computación,17.63,5,6.2,No,No práctico,Sí,Regular,Poco,Regular,Volt,Monster,Taquicardia,Mañana,Cuando hago tareas y proyectos.
,Masculino,20,3,Ingeniería Civil,16.2,6,7,Sí,3,Sí,Regular,Mucho,Regular,Monster,Red Bull,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Masculino,21,3,Ingeniería Mecánica,17.78,7.15,7.45,No,No práctico,Sí,Regular,Mucho,Mucho,Monster,Otro,Ansiedad,Tarde,Cuando hago tareas y proyectos.
,Femenino,20,3,Ingeniería Civil,16.23,5,8,Sí,3,Sí,Regular,Mucho,Regular,Monster,Red Bull,Cansancio,Noche,Cuando hago tareas y proyectos.
,Femenino,18,3,Ingeniería Civil,14.78,4.45,6,Sí,3,Sí,Regular,Poco,Mucho,Volt,Monster,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Masculino,22,4,Ingeniería Civil,15.98,5.30,6.45,Sí,3,Sí,Mucho,Mucho,Mucho,Volt,Otro,Ansiedad,Tarde,Cuando estudio para un examen.
,Masculino,20,5,Ingeniería Ambiental,17.67,2,5.3,No,No práctico,Sí,Nada,Regular,Nada,Red Bull,Red Bull,Otro,Mañana,Cuando me apetece.
,Masculino,21,4,Ingeniería Electrónica,17.67,7.30,7.30,Sí,6,Sí,Mucho,Regular,Mucho,Red Bull,Otro,Cansancio,Noche,Cuando hago tareas y proyectos.
,Femenino,22,5,Ingeniería Ambiental,16.68,7.20,7.20,No,No práctico,Sí,Regular,Regular,Mucho,Red Bull,Monster,Cansancio,Noche,Cuando hago tareas y proyectos.
,Masculino,20,5,Ingeniería Industrial,13,3.4,7.2,Sí,4,Sí,Nada,Poco,Nada,Otro,Otro,Cansancio,Tarde,Cuando hago ejercicio.
,Femenino,21,3,Ingeniería Industrial,14.33,3.4,6.2,No,No práctico,No,,,,,,,,
,Masculino,18,3,Ingeniería Industrial,14.71,3.45,5.45,No,No práctico,Sí,Regular,Regular,Mucho,Otro,Otro,Cansancio,Mañana,Cuando estudio para un examen.
,Masculino,19,4,Ingeniería Mecánica,15.6,4.15,7.20,Sí,3,Sí,Regular,Poco,Regular,Volt,Red Bull,Cansancio,Mañana,Cuando hago tareas y proyectos.
,Femenino,20,4,Ingeniería Civil,15.6,6.30,8,Sí,2,Sí,Regular,Regular,Regular,Red Bull,Otro,Insomnio,Noche,Cuando hago tareas y proyectos.
,Masculino,20,3,Ingeniería de la Energía,17.8,6.15,6.30,No,No práctico,Sí,Mucho,Mucho,Regular,Red Bull,Monster,Ansiedad,Mañana,Cuando me apetece.
,Masculino,19,5,Ciencia de la computación,14.25,4.55,4.30,Sí,3,Sí,Nada,Poco,Poco,Volt,Monster,Cansancio,Tarde,Cuando hago ejercicio.
,Femenino,19,2,Ingeniería Ambiental,14.38,6.20,6.45,No,No práctico,Sí,Mucho,Mucho,Regular,Red Bull,Otro,Ansiedad,Noche,Cuando estudio para un examen.
,Femenino,20,3,Ingeniería Ambiental,14.68,2.45,6.20,Sí,3,Sí,Mucho,Mucho,Regular,Red Bull,Otro,Gastritis,Mañana,Cuando me apetece.
,Masculino,20,3,Ingeniería Civil,17.8,5.3,6.2,Sí,2,Sí,Regular,Mucho,Mucho,Monster,Volt,Insomnio,Noche,Cuando hago tareas y proyectos.
,Masculino,18,2,Ciencia de la computación,16,2.1,6.3,Sí,2,Sí,Regular,Regular,Nada,Monster,Red Bull,Otro,Noche,Cuando estudio para un examen.
,Masculino,18,2,Ingeniería Mecatrónica,17.5,4.3,7.15,Sí,2,Sí,Regular,Regular,Regular,Monster,Volt,Ansiedad,Tarde,Cuando hago tareas y proyectos.
,Masculino,22,5,Ingeniería Ambiental,17,6,8,Sí,2,Sí,Mucho,Mucho,Mucho,Red Bull,Volt,Cansancio,Noche,Cuando hago tareas y proyectos.
,Femenino,18,3,Bioingeniería,15.75,4.45,5.3,Sí,2,Sí,Regular,Poco,Regular,Red Bull,Monster,Insomnio,Mañana,Cuando me apetece.
,Femenino,20,2,Ingeniería Electrónica,15.6,6,7,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Monster,Insomnio,Tarde,Cuando estudio para un examen.
,Femenino,20,3,Bioingeniería,15.13,5,6.3,Sí,2,Sí,Poco,Poco,Poco,Volt,Monster,Otro,Noche,Cuando hago tareas y proyectos.
,Masculino,18,2,Ingeniería Civil,14,3.2,6.4,Sí,2,Sí,Regular,Poco,Regular,Volt,Volt,Otro,Noche,Cuando hago tareas y proyectos.
,Masculino,19,2,Ingeniería Industrial,16.5,4.5,6,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Insomnio,Mañana,Cuando hago ejercicio.
,Femenino,19,3,Ingeniería Industrial,16.3,6,7,Sí,2,Sí,Mucho,Mucho,Regular,Red Bull,Volt,Insomnio,Tarde,Cuando me apetece.
,Femenino,20,4,Ingeniería Mecánica,15.6,4.5,7,Sí,2,Sí,Mucho,Mucho,Mucho,Monster,Red Bull,Taquicardia,Noche,Cuando me apetece.
,Masculino,20,3,Ingeniería Civil,16.5,5,7,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Monster,Ansiedad,Tarde,Cuando me apetece.
,Masculino,19,4,Ingeniería Ambiental,12,4.5,5.6,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Monster,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Femenino,20,3,Ingeniería de la Energía,15.6,5.3,6,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Masculino,18,5,Ingeniería Mecánica,13,3.45,6,Sí,2,Sí,Nada,Mucho,Regular,Red Bull,Monster,Taquicardia,Noche,Cuando me apetece.
,Masculino,19,2,Ingeniería Mecánica,15.85,5,6.2,Sí,2,No,,,,,,,,
,Femenino,22,5,Ingeniería Mecánica,15.4,5,7,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Ansiedad,Tarde,Cuando hago tareas y proyectos.
,Femenino,20,3,Ingeniería Ambiental,13.45,6,7,Sí,2,Sí,Regular,Mucho,Mucho,Red Bull,Volt,Ansiedad,Tarde,Cuando me apetece.
,Femenino,21,4,Ingeniería Industrial,13.2,6.3,7,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Ansiedad,Tarde,Cuando hago ejercicio.
,Masculino,21,9,Ingeniería de la Energía,16.25,2.3,8,Sí,2,Sí,Regular,Regular,Nada,Volt,Otro,Otro,Mañana,Cuando hago ejercicio.
,Masculino,19,4,Ingeniería Civil,15.6,5.5,6,Sí,2,No,,,,,,,,
,Femenino,21,4,Ingeniería Ambiental,15.64,5,7,Sí,2,Sí,Regular,Mucho,Regular,Red Bull,Volt,Ansiedad,Tarde,Cuando hago tareas y proyectos.
,Masculino,19,3,Ingeniería Electrónica,11.5,6,5,Sí,2,No,,,,,,,,
