Genero,Edad,Carrera,Ciclo,Promedio1,Promedio2,Peso1,Peso2,Talla1,Talla2,Habitos1,Habitos2,Comida1,Comida2,Frutas1,Frutas2,Carbo1,Carbo2,BA,Ener,Comrapi1,Comrapi2,Actifis1,Actifis2,Sueño1,Sueño2,IMC1,IMC2,Habitosalimenticios,Habitosalimenticios2
Masculino,20,Ingeniería Industrial,3,15.7,13.5,63.5,67.5,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,1 vez al día,1 vez al día,1,3,1 - 2,No consumía,0,2.5,7.5,7,22.5,23.92,Bueno,Bueno
Masculino,19,Ingeniería Ambiental,4,12.5,13.2,70,68.5,1.7,1.7,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,3 veces al día,1 vez al día,2 veces al día,1,3,1 - 2,No consumía,0,1,7,7.5,24.22,23.7,Bueno,Bueno
Masculino,19,Ingeniería Ambiental,3,12.3,13.4,78.5,75.5,1.7,1.7,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,2,2,1 - 2,No consumía,0,0.5,7.5,7,27.16,26.12,Bueno,Bueno
Femenino,18,Ingeniería Electrónica,4,12.3,13.5,62,63,1.65,1.65,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,2,2.5,7,7.5,22.77,23.14,Bueno,Bueno
Femenino,19,Ingeniería Civil,3,16.7,14.5,68.5,66,1.65,1.65,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,3 veces al día,2 veces al día,2 veces al día,1,2,1 - 2,No consumía,0,1.5,6,6.5,25.16,24.24,Bueno,Bueno
Masculino,18,Bioingeniería,3,15.4,14.5,62.5,60,1.63,1.63,Bueno,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,3 veces al día,1,1,1 - 2,No consumía,0,0,7,7.5,23.52,22.58,Regular,Bueno
Masculino,23,Ingeniería Electrónica,4,11.89,16.75,55,58,1.74,1.75,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,2 veces al día,1,2,No consumía,No consumía,1.1,2.7,6.16,7.16,18.17,18.94,Bueno,Bueno
Masculino,18,Ciencia de la computación,3,15,14.5,50.6,53,1.61,1.63,Regular,Regular,4 veces al día,5 veces al día,2 veces al día,1 vez al día,3 veces al día,3 veces al día,1,3,1 - 2,1 - 2,2,2.5,6,7,19.52,19.95,Regular,Malo
Masculino,19,Ingeniería Industrial,4,14.3,14.5,55.6,57.2,1.65,1.66,Bueno,Regular,4 veces al día,4 veces al día,3 veces al día,3 veces al día,3 veces al día,4 veces al día,1,2,3 - 4,3 - 4,6,6,5,5.5,20.42,20.76,Malo,Malo
Masculino,20,Ingeniería Ambiental,4,15.4,14.8,54.3,55,1.64,1.67,Regular,Bueno,4 veces al día,3 veces al día,4 veces al día,3 veces al día,3 veces al día,3 veces al día,2,2,1 - 2,3 - 4,8,8,6,7,20.19,19.72,Regular,Malo
Femenino,18,Ingeniería Electrónica,4,15.6,16.2,50.4,50.2,1.57,1.58,Regular,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,2 veces al día,2 veces al día,1,2,1 - 2,1 - 2,4,6,7.5,6,20.45,20.11,Bueno,Bueno
Masculino,20,Ingeniería Industrial,5,15.3,16,53.7,54.8,1.62,1.64,Regular,Bueno,3 veces al día,4 veces al día,2 veces al día,4 veces al día,3 veces al día,4 veces al día,1,3,1 - 2,1 - 2,7.5,7.5,5,5.5,20.46,20.37,Regular,Malo
Femenino,18,Bioingeniería,3,15,13.4,49.6,50.2,1.57,1.58,Bueno,Bueno,3 veces al día,3 veces al día,3 veces al día,3 veces al día,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,4,4,6,6,20.12,20.11,Bueno,Bueno
Masculino,19,Ingeniería Química,4,15.7,14.5,55,55.5,1.64,1.65,Regular,Regular,4 veces al día,4 veces al día,2 veces al día,3 veces al día,3 veces al día,3 veces al día,2,3,1 - 2,3 - 4,0,4,7,6,20.45,20.39,Regular,Malo
Masculino,18,Ciencia de Datos,3,17.2,16.8,54.7,53.2,1.58,1.6,Regular,Bueno,3 veces al día,3 veces al día,2 veces al día,4 veces al día,3 veces al día,3 veces al día,1,2,3 - 4,1 - 2,4,6,7,7,21.91,20.78,Malo,Regular
Femenino,18,Ciencia de la computación,3,14,14.6,50.3,50,1.52,1.54,Bueno,Bueno,3 veces al día,4 veces al día,3 veces al día,3 veces al día,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,0,2,5,6,21.77,21.08,Bueno,Regular
Masculino,19,Ingeniería Mecánica,4,16.5,16,54.5,55,1.6,1.63,Regular,Regular,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,2 veces al día,2,3,No consumía,1 - 2,0,0,4.5,5.5,21.29,20.7,Bueno,Regular
Masculino,18,Ciencia de la computación,3,16.5,14.8,50,50.4,1.63,1.65,Regular,Malo,3 veces al día,2 veces al día,3 veces al día,1 vez al día,2 veces al día,2 veces al día,1,3,3 - 4,3 - 4,0,0,5,6,18.82,18.51,Malo,Malo
Masculino,18,Ciencia de la computación,3,15.2,15.5,51.8,52.5,1.61,1.63,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,2 veces al día,3 veces al día,2 veces al día,1,4,1 - 2,3 - 4,0,3,5,5,19.98,19.76,Malo,Malo
Femenino,19,Bioingeniería,4,14.2,13.7,50.2,51,1.64,1.65,Regular,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,2 veces al día,2 veces al día,1,2,No consumía,1 - 2,0,2,6.5,6,18.66,18.73,Bueno,Bueno
Femenino,18,Ingeniería Industrial,3,15.3,15.7,56.5,57,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,1,3,1 - 2,1 - 2,0,1,5,6,20.75,20.94,Bueno,Bueno
Masculino,19,Ciencia de la computación,4,13.5,12.7,55.7,56.1,1.67,1.68,Regular,Regular,2 veces al día,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,1,2,1 - 2,1 - 2,2,2,6,7,19.97,19.88,Bueno,Bueno
Masculino,18,Ingeniería Química,3,13.7,14.5,57.8,58.3,1.65,1.66,Bueno,Regular,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,1 vez al día,2,3,1 - 2,1 - 2,3,3,6.5,7,21.23,21.16,Bueno,Bueno
Masculino,20,Ingeniería Civil,5,15.2,15,55.2,55,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,2,3 - 4,1 - 2,2,2,7,6,20.28,20.2,Regular,Bueno
Masculino,18,Ciencia de Datos,3,12.8,13.7,59.7,60.2,1.67,1.68,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,4,1 - 2,3 - 4,1,2,6,5,21.41,21.33,Regular,Malo
Femenino,18,Administración y Negocios Digitales,3,16.4,15.2,55.7,56.2,1.68,1.69,Regular,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,1 vez al día,1 vez al día,1,3,3 - 4,1 - 2,0,2,6.5,6.5,19.73,19.68,Malo,Bueno
Masculino,20,Ingeniería Mecatrónica,3,14.5,13,72.5,77.5,1.67,1.67,Bueno,Regular,3 veces al día,4 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,4,No consumía,1 - 2,2.5,0,7.5,7.5,26,27.79,Regular,Malo
Masculino,22,Ciencia de la computación,4,13.4,12.5,75.7,72.5,1.7,1.7,Regular,Bueno,2 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,2,4,1 - 2,No consumía,0,1.5,6.5,7.5,26.19,25.09,Malo,Regular
Femenino,18,Ingeniería Mecánica,3,13.5,15.4,82.5,75,1.72,1.72,Malo,Regular,5 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,4,3 - 4,No consumía,0,2.5,5,7.5,27.89,25.35,Malo,Regular
Femenino,18,Ingeniería Civil,5,13.4,12.7,65.5,68.5,1.62,1.62,Bueno,Regular,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,No consumía,0,1,7.5,7.5,24.96,26.1,Bueno,Bueno
Masculino,19,Ingeniería de la Energía,4,16.2,15.8,75.4,75,1.76,1.76,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,1 vez al día,1,2,No consumía,No consumía,2.5,2.5,7.5,7.5,24.34,24.21,Bueno,Bueno
Masculino,18,Ingeniería Industrial,3,17.9,15.4,72,77,1.7,1.7,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,1 vez al día,2,2,1 - 2,No consumía,2,0,7.5,7,24.91,26.64,Bueno,Bueno
Femenino,19,Ingeniería Química,3,15.8,17.5,68,66,1.64,1.64,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,3 veces al día,1,1,No consumía,No consumía,0,0,7.2,7.5,25.28,24.54,Bueno,Bueno
Femenino,18,Bioingeniería,3,16.1,14.2,78,82,1.75,1.75,Bueno,Regular,3 veces al día,4 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1,3,No consumía,3 - 4,2,0,7,6.5,25.47,26.78,Bueno,Malo
Masculino,19,Ingeniería Mecatrónica,3,15.3,16.8,84,75,1.74,1.75,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,2,1,3 - 4,No consumía,0,2.5,5.5,7.5,27.74,24.49,Malo,Bueno
Masculino,20,Ingeniería Ambiental,5,11.8,13.5,79,71,1.68,1.68,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,1.5,6.5,7.5,27.99,25.16,Bueno,Bueno
Masculino,18,Ingeniería Civil,3,17.4,14.3,74,71,1.7,1.7,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,1,1,No consumía,No consumía,1.5,1.5,7.5,7.5,25.61,24.57,Bueno,Bueno
Femenino,20,Ingeniería Civil,5,15.8,15.1,67,65,1.7,1.7,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,1,1 - 2,No consumía,0,1,7.5,7,23.18,22.49,Bueno,Bueno
Femenino,18,Ingeniería Civil,3,15.7,14.2,72,75,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,1,1,No consumía,1 - 2,1.5,1,8,7.5,24.34,25.35,Bueno,Bueno
Femenino,19,Ingeniería Química,3,15.8,16.5,67,65,1.63,1.63,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,1.5,6.5,7,25.22,24.46,Bueno,Bueno
Femenino,18,Bioingeniería,3,14.6,16.4,72,68,1.65,1.65,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,1,3 - 4,No consumía,0,0,7,7.5,26.45,24.98,Malo,Bueno
Masculino,18,Ingeniería Industrial,3,15.7,14.3,77,78,1.75,1.75,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,2 veces al día,1,2,No consumía,No consumía,1.5,1.5,7,7.5,25.14,25.47,Bueno,Bueno
Masculino,19,Ingeniería Civil,4,12.4,15.3,76,70,1.68,1.68,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,1.5,7,7,26.93,24.8,Bueno,Bueno
Masculino,20,Ingeniería Ambiental,5,14.7,14.3,62,65,1.65,1.66,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,7,7.5,22.77,23.59,Bueno,Bueno
Femenino,18,Ingeniería de la Energía,4,17.6,16.4,64,65,1.67,1.67,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,2 veces al día,2 veces al día,1,2,No consumía,No consumía,2.5,2,7,6.5,22.95,23.31,Bueno,Bueno
Femenino,19,Ingeniería Industrial,3,15.4,13.7,62,65,1.6,1.6,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,0,7,7.5,24.22,25.39,Bueno,Bueno
Femenino,20,Ingeniería Química,6,12.7,15.8,73,65,1.67,1.67,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,2 veces al día,1,1,1 - 2,No consumía,0,2.5,6,7,26.18,23.31,Bueno,Bueno
Femenino,18,Bioingeniería,3,15.4,14.2,63,64,1.62,1.62,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,1,1,No consumía,1 - 2,2,0,7.5,7,24.01,24.39,Bueno,Bueno
Masculino,22,Ingeniería Mecánica,8,16.5,17.8,75,77,1.78,1.78,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,2 veces al día,2 veces al día,1,1,No consumía,No consumía,2.5,2.5,7.5,7.5,23.67,24.3,Bueno,Bueno
Masculino,20,Ciencia de la computación,5,15.8,13.7,73,65,1.67,1.67,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,2,2,3 - 4,No consumía,0,1.5,7,7,26.18,23.31,Regular,Bueno
Masculino,18,Ingeniería Industrial,3,15.3,15.7,75,71,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,1,7.5,7.5,25.35,24,Bueno,Bueno
Femenino,19,Ingeniería Ambiental,4,16.5,16.3,69,68,1.7,1.7,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,1 vez al día,2 veces al día,1,2,No consumía,1 - 2,1.5,1.5,7.5,7,23.88,23.53,Bueno,Bueno
Masculino,19,Ingeniería Mecatrónica,4,14.3,15.8,66,69,1.73,1.73,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,1 vez al día,2 veces al día,2 veces al día,1,3,1 - 2,No consumía,0,0,6,7,22.05,23.05,Bueno,Bueno
Femenino,18,Ingeniería de la Energía,3,17.8,14.2,65,78,1.67,1.67,Bueno,Malo,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,2,2,No consumía,3 - 4,1.5,0,7.5,6,23.31,27.97,Bueno,Regular
Masculino,20,Ingeniería de la Energía,3,16.4,14.3,67,74,1.7,1.7,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,2,3,No consumía,1 - 2,0,0,7.5,7,23.18,25.61,Bueno,Bueno
Femenino,18,Ingeniería Industrial,3,14.8,15.4,68,64,1.62,1.62,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,1,No consumía,1 - 2,1.5,0,8,7,25.91,24.39,Bueno,Bueno
Masculino,19,Ingeniería Industrial,3,12.7,14.3,74,71,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,1,1 - 2,1 - 2,0,1,7.5,7.5,26.22,25.16,Bueno,Bueno
Masculino,18,Ciencia de Datos,3,16.5,15.4,73,80,1.75,1.75,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,2 veces al día,2,2,No consumía,No consumía,0,0,7,6,23.84,26.12,Bueno,Bueno
Masculino,22,Ingeniería Mecánica,7,15.4,16,68,70,1.67,1.67,Bueno,Bueno,3 veces al día,4 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,3,No consumía,1 - 2,1.5,0,7,6.5,24.38,25.1,Bueno,Regular
Femenino,18,Ingeniería Civil,3,14.7,16.4,72,68,1.67,1.67,Regular,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,1.5,7,7,25.82,24.38,Bueno,Bueno
Masculino,18,Ingeniería Química,4,12.3,13.5,68,70,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,3 veces al día,2 veces al día,2,4,1 - 2,1 - 2,0,0,8,7.5,24.98,25.71,Malo,Regular
Masculino,19,Ingeniería de la Energía,3,15.4,14.7,75,72,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,3 veces al día,1,3,1 - 2,No consumía,0,0,7.5,7,26.57,25.51,Bueno,Regular
Masculino,18,Ingeniería Mecatrónica,3,16.4,14.5,78,82,1.76,1.76,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,3,4,No consumía,No consumía,2.5,0,7,7,25.18,26.47,Malo,Malo
Masculino,20,Ingeniería Industrial,5,16.3,15.8,89,78,1.71,1.71,Malo,Regular,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,2,4,3 - 4,No consumía,0,3.5,9,8,30.44,26.67,Malo,Regular
Femenino,18,Bioingeniería,3,15.9,14.3,62,64,1.6,1.6,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,1,0,8,8,24.22,25,Regular,Bueno
Femenino,18,Bioingeniería,3,14.8,15.2,72,74,1.7,1.7,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,4,No consumía,No consumía,0,0,7,7,24.91,25.61,Regular,Regular
Masculino,20,Ingeniería de la Energía,3,12.6,14.7,76,76,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,2,4,No consumía,No consumía,1.5,1.5,7,7,25.69,25.69,Malo,Regular
Masculino,20,Ingeniería Industrial,4,12.4,14.8,75,71,1.67,1.67,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,2,7,7,26.89,25.46,Bueno,Bueno
Masculino,18,Bioingeniería,4,13.7,15.8,64,62,1.7,1.7,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,2 veces al día,1,1,No consumía,No consumía,0,0,7.5,7,22.15,21.45,Bueno,Bueno
Masculino,19,Ingeniería Industrial,3,16.7,16,77,74,1.68,1.68,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,3 veces al día,2 veces al día,1,4,1 - 2,No consumía,0,0,7,7,27.28,26.22,Regular,Regular
Masculino,20,Ingeniería de la Energía,6,14,15.2,66,64,1.67,1.67,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,2,No consumía,No consumía,0,0,6.5,6,23.67,22.95,Bueno,Bueno
Masculino,18,Ingeniería Civil,3,14.8,13,74,72,1.7,1.7,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,4 veces al día,1 vez al día,3 veces al día,2,4,No consumía,No consumía,0,1.5,8,7.5,25.61,24.91,Regular,Malo
Masculino,19,Ingeniería Ambiental,5,14.7,15.3,72,75,1.71,1.71,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,3 veces al día,2 veces al día,2,4,No consumía,No consumía,0,0,7.5,7,24.62,25.65,Regular,Regular
Femenino,18,Ingeniería de la Energía,3,16.4,15.1,72,68,1.67,1.67,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,3 veces al día,2,2,1 - 2,No consumía,0,2.5,8,7,25.82,24.38,Bueno,Regular
Masculino,19,Ingeniería de la Energía,4,13.7,14,76,71,1.73,1.73,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,1,No consumía,No consumía,0,2,7.5,7.5,25.39,23.72,Bueno,Bueno
