Distrito,N° de pisos del edificio,N° de unidades,N° de habitaciones,N° de baños,Área del departamento (m2),Precio ,Condición del departamento,Sala de reuniones o eventos (Si/No),Gimnasio (Si/No),Zona de parrillas (Si/No),Juegos infantiles (Si/No),Piscina (Si/No)
Miraflores,23,256,3,2,76,537592,En Planos,No,No,No,No,No
Miraflores,9,34,1,2,104,1355000,En Construcción,No,No,No,No,No
Miraflores,9,34,1,3,88,1031000,En Construcción,No,No,No,No,No
Miraflores,9,34,1,3,85,1100000,En Construcción,No,No,No,No,No
Miraflores,9,34,2,3,164,1959000,En Construcción,No,No,No,No,No
Miraflores,9,34,3,4,251,2940000,En Construcción,No,No,No,No,No
Miraflores,16,133,1,2,71,615000,En Construcción,Si,No,Si,Si,Si
Miraflores,16,133,2,3,93,797000,En Construcción,Si,No,Si,Si,Si
Miraflores,16,133,2,3,87,753000,En Construcción,Si,No,Si,Si,Si
Miraflores,16,133,2,3,84,732000,En Construcción,Si,No,Si,Si,Si
Miraflores,16,133,3,3,110,1072000,En Construcción,Si,No,Si,Si,Si
Miraflores,7,32,3,3,132,1416121,En Construcción,No,Si,Si,No,No
Miraflores,7,32,3,3,147,1437559,En Construcción,No,Si,Si,No,No
Miraflores,7,32,3,3,131,1444409,En Construcción,No,Si,Si,No,No
Miraflores,7,32,3,4,132,1349731,En Construcción,No,Si,Si,No,No
Miraflores,7,32,3,4,152,1861244,En Construcción,No,Si,Si,No,No
Miraflores,20,57,2,2,80,625613,Entrega Inmediata,No,Si,No,Si,No
Miraflores,20,57,2,2,85,642583,Entrega Inmediata,No,Si,No,Si,No
Miraflores,20,57,3,3,120,855998,Entrega Inmediata,No,Si,No,Si,No
Miraflores,20,57,3,3,122,835348,Entrega Inmediata,No,Si,No,Si,No
Miraflores,20,57,3,3,126,1039594,Entrega Inmediata,No,Si,No,Si,No
Miraflores,7,27,1,2,101,1048710,Entrega Inmediata,No,No,No,No,No
Miraflores,7,27,2,3,192,1859910,Entrega Inmediata,No,No,No,No,No
Miraflores,7,27,2,1,115,1247610,Entrega Inmediata,No,No,No,No,No
Miraflores,7,27,3,3,150,1508910,Entrega Inmediata,No,No,No,No,No
Miraflores,7,27,3,3,150,1661010,Entrega Inmediata,No,No,No,No,No
San Isidro,27,352,1,1,32,286799,En Planos,No,Si,Si,Si,Si
San Isidro,27,352,1,1,32,299515,En Planos,No,Si,Si,Si,Si
San Isidro,27,352,2,2,57,497506,En Planos,No,Si,Si,Si,Si
San Isidro,27,352,3,2,80,665150,En Planos,No,Si,Si,Si,Si
San Isidro,27,352,3,2,80,647918,En Planos,No,Si,Si,Si,Si
San Isidro,15,40,1,2,43,630600,En Construcción,No,Si,Si,No,Si
San Isidro,15,40,1,2,65,530000,En Construcción,No,Si,Si,No,Si
San Isidro,15,40,1,2,66,636800,En Construcción,No,Si,Si,No,Si
San Isidro,15,40,2,3,103,931300,En Construcción,No,Si,Si,No,Si
San Isidro,15,40,2,3,113,1165700,En Construcción,No,Si,Si,No,Si
San Isidro,33,128,1,2,56,42238,En Planos,No,No,No,No,No
San Isidro,33,128,1,2,55,485761,En Planos,No,No,No,No,No
San Isidro,33,128,2,2,60,530996,En Planos,No,No,No,No,No
San Isidro,33,128,2,2,65,600200,En Planos,No,No,No,No,No
San Isidro,33,128,2,2,81,705483,En Planos,No,No,No,No,No
San Isidro,7,53,1,1,45,503100,En Construcción,No,Si,Si,No,No
San Isidro,7,53,1,1,45,464100,En Construcción,No,Si,Si,No,No
San Isidro,7,53,2,2,70,776100,En Construcción,No,Si,Si,No,No
San Isidro,7,53,2,2,71,737100,En Construcción,No,Si,Si,No,No
San Isidro,7,53,2,2,69,737100,En Construcción,No,Si,Si,No,No
San Isidro,5,15,3,2,110,980000,Entrega Inmediata,No,No,No,No,No
San Isidro,5,15,3,2,110,1042000,Entrega Inmediata,No,No,No,No,No
San Isidro,5,15,3,2,110,980000,Entrega Inmediata,No,No,No,No,No
San Isidro,5,15,3,2,111,1078000,Entrega Inmediata,No,No,No,No,No
San Isidro,5,15,3,2,111,1091000,Entrega Inmediata,No,No,No,No,No
San Isidro,10,277,1,1,45,432936,En Construcción,Si,Si,Si,No,No
San Isidro,10,277,1,1,45,436036,En Construcción,Si,Si,Si,No,No
San Isidro,10,277,2,2,62,561597,En Construcción,Si,Si,Si,No,No
San Isidro,10,277,2,2,61,545528,En Construcción,Si,Si,Si,No,No
San Isidro,10,277,2,2,61,589391,En Construcción,Si,Si,Si,No,No
San Isidro,8,36,1,1,45,570475,En Construcción,No,Si,No,No,No
San Isidro,8,36,1,1,45,570590,En Construcción,No,Si,No,No,No
San Isidro,8,36,2,2,60,688950,En Construcción,No,Si,No,No,No
San Isidro,8,36,2,2,60,673831,En Construcción,No,Si,No,No,No
San Isidro,8,36,2,2,75,777349,En Construcción,No,Si,No,No,No
San Isidro,5,25,2,3,114,1097000,En Construcción,No,Si,No,No,No
San Isidro,5,25,2,3,110,1133000,En Construcción,No,Si,No,No,No
San Isidro,5,25,3,3,131,1524000,En Construcción,No,Si,No,No,No
San Isidro,5,25,3,3,130,1379000,En Construcción,No,Si,No,No,No
San Isidro,5,25,3,3,196,1549000,En Construcción,No,Si,No,No,No
San Isidro,7,12,2,2,141,1620000,En Planos,No,No,No,No,No
San Isidro,7,12,2,2,150,1660000,En Planos,No,No,No,No,No
San Isidro,7,12,3,3,317,2380000,En Planos,No,No,No,No,No
San Isidro,7,12,3,3,197,1996000,En Planos,No,No,No,No,No
San Isidro,7,12,3,3,189,1940000,En Planos,No,No,No,No,No
San Isidro,10,14,2,2,122,1432200,En Planos,No,No,Si,No,No
San Isidro,10,14,3,3,276,2442825,En Planos,No,No,Si,No,No
San Isidro,10,14,3,3,210,1730575,En Planos,No,No,Si,No,No
San Isidro,10,14,3,3,200,2077075,En Planos,No,No,Si,No,No
San Isidro,10,14,4,4,233,2770075,En Planos,No,No,Si,No,No
Santiago De Surco,10,50,1,1,40,345319,En Construcción,Si,Si,Si,No,Si
Santiago De Surco,5,50,1,1,44,388722,En Construcción,Si,Si,Si,No,Si
Santiago De Surco,11,50,2,2,55,429880,En Construcción,Si,Si,Si,No,Si
Santiago De Surco,2,50,2,2,56,414036,En Construcción,Si,Si,Si,No,Si
Santiago De Surco,12,50,3,2,87,692639,En Construcción,Si,Si,Si,No,Si
Santiago De Surco,2,47,3,3,125,1118582,En Planos,Si,Si,Si,Si,Si
Santiago De Surco,3,47,2,2,74,66991,En Planos,Si,Si,Si,Si,Si
Santiago De Surco,5,47,1,1,50,492399,En Planos,Si,Si,Si,Si,Si
Santiago De Surco,3,47,1,1,50,492399,En Planos,Si,Si,Si,Si,Si
Santiago De Surco,1,47,1,1,52,529092,En Planos,Si,Si,Si,Si,Si
Santiago De Surco,19,7,1,1,41,410000,Entrega Inmediata,Si,Si,Si,Si,No
Santiago De Surco,18,7,2,2,56,450122,Entrega Inmediata,Si,Si,Si,Si,No
Santiago De Surco,4,7,2,2,56,520000,Entrega Inmediata,Si,Si,Si,Si,No
Santiago De Surco,9,7,2,2,58,520000,Entrega Inmediata,Si,Si,Si,Si,No
Santiago De Surco,13,7,3,2,78,647000,Entrega Inmediata,Si,Si,Si,Si,No
Santiago De Surco,5,14,3,5,302,2178001,En Planos,Si,Si,No,No,No
Santiago De Surco,2,14,3,3,145,1147161,En Planos,Si,Si,No,No,No
Santiago De Surco,3,14,3,3,145,1267751,En Planos,Si,Si,No,No,No
Santiago De Surco,1,14,3,3,122,972111,En Planos,Si,Si,No,No,No
Santiago De Surco,5,14,4,4,289,1944611,En Planos,Si,Si,No,No,No
Santiago De Surco,18,80,3,4,237,1644806,En Construcción,Si,Si,Si,Si,Si
Santiago De Surco,4,80,3,3,119,1041374,En Construcción,Si,Si,Si,Si,Si
Santiago De Surco,2,80,2,3,102,866936,En Construcción,Si,Si,Si,Si,Si
Santiago De Surco,1,80,2,3,203,1309880,En Construcción,Si,Si,Si,Si,Si
Santiago De Surco,18,80,2,4,181,1142660,En Construcción,Si,Si,Si,Si,Si
Santiago De Surco,2,8,3,3,114,953700,En Construcción,No,No,Si,No,No
Santiago De Surco,5,8,3,3,96,816000,En Construcción,No,No,Si,No,No
Santiago De Surco,3,8,3,3,93,702780,En Construcción,No,No,Si,No,No
Santiago De Surco,7,8,3,4,190,1085280,En Construcción,No,No,Si,No,No
Santiago De Surco,7,8,3,4,221,1161000,En Construcción,No,No,Si,No,No
Santiago De Surco,1,54,1,1,65,315907,En Construcción,Si,No,Si,No,No
Santiago De Surco,2,54,2,2,80,481530,En Construcción,Si,No,Si,No,No
Santiago De Surco,10,54,2,2,80,489094,En Construcción,Si,No,Si,No,No
Santiago De Surco,7,54,3,2,174,939254,En Construcción,Si,No,Si,No,No
Santiago De Surco,11,54,3,2,103,630420,En Construcción,Si,No,Si,No,No
Santiago De Surco,4,17,2,2,65,389910,En Construcción,Si,No,Si,Si,No
Santiago De Surco,8,17,3,2,73,426789,En Construcción,Si,No,Si,Si,No
Santiago De Surco,9,17,3,2,71,414327,En Construcción,Si,No,Si,Si,No
Santiago De Surco,6,17,3,2,73,417558,En Construcción,Si,No,Si,Si,No
Santiago De Surco,8,17,3,2,73,426789,En Construcción,Si,No,Si,Si,No
Santiago De Surco,14,46,1,1,57,449700,En Planos,No,No,No,No,No
Santiago De Surco,2,46,2,1,78,636600,En Planos,No,No,No,No,No
Santiago De Surco,5,46,3,2,70,571900,En Planos,No,No,No,No,No
Santiago De Surco,14,46,3,3,92,711700,En Planos,No,No,No,No,No
Santiago De Surco,2,46,3,3,92,712900,En Planos,No,No,No,No,No
Santiago De Surco,13,92,2,2,69,363000,En Planos,Si,No,Si,Si,No
Santiago De Surco,5,92,2,2,69,361000,En Planos,Si,No,Si,Si,No
Santiago De Surco,4,92,2,2,69,362000,En Planos,Si,No,Si,Si,No
Santiago De Surco,8,92,2,2,74,421000,En Planos,Si,No,Si,Si,No
Santiago De Surco,9,92,2,2,69,372000,En Planos,Si,No,Si,Si,No
Magdalena del Mar,4,20,1,1,41,351600,En Construcción,Si,No,Si,Si,Si
Magdalena del Mar,12,20,1,1,41,354700,En Construcción,Si,No,Si,Si,Si
Magdalena del Mar,18,20,3,2,77,564500,En Construcción,Si,No,Si,Si,Si
Magdalena del Mar,13,20,3,2,77,567600,En Construcción,Si,No,Si,Si,Si
Magdalena del Mar,22,20,3,2,75,539300,En Construcción,Si,No,Si,Si,Si
Magdalena del Mar,2,47,1,1,48,443220,En Construcción,Si,Si,Si,Si,Si
Magdalena del Mar,16,47,2,2,56,516540,En Construcción,Si,Si,Si,Si,Si
Magdalena del Mar,6,47,3,2,91,830810,En Construcción,Si,Si,Si,Si,Si
Magdalena del Mar,13,47,3,3,104,923170,En Construcción,Si,Si,Si,Si,Si
Magdalena del Mar,4,47,3,2,83,728420,En Construcción,Si,Si,Si,Si,Si
Magdalena del Mar,7,58,1,2,47,333600,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,12,58,2,2,71,479200,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,5,58,2,2,51,387300,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,3,58,2,3,49,372800,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,7,58,3,2,51,358400,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,13,5,3,4,125,259000,Entrega Inmediata,Si,Si,Si,No,Si
Magdalena del Mar,4,5,3,3,125,238000,Entrega Inmediata,Si,Si,Si,No,Si
Magdalena del Mar,9,5,3,4,95,203000,Entrega Inmediata,Si,Si,Si,No,Si
Magdalena del Mar,12,5,3,4,125,248000,Entrega Inmediata,Si,Si,Si,No,Si
Magdalena del Mar,4,5,3,3,125,238000,Entrega Inmediata,Si,Si,Si,No,Si
Magdalena del Mar,1,14,2,2,80,597442,En Construcción,No,No,No,No,No
Magdalena del Mar,4,14,2,2,80,628689,En Construcción,No,No,No,No,No
Magdalena del Mar,5,14,3,2,115,1019984,En Construcción,No,No,No,No,No
Magdalena del Mar,6,14,3,2,90,702196,En Construcción,No,No,No,No,No
Magdalena del Mar,7,14,3,2,90,692763,En Construcción,No,No,No,No,No
Magdalena del Mar,1,53,2,2,102,494850,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,2,53,3,2,80,540460,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,20,53,3,2,85,576500,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,19,53,3,2,71,482000,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,13,53,3,2,85,576500,En Construcción,Si,Si,Si,Si,No
Magdalena del Mar,4,13,1,1,50,454126,En Planos,No,No,No,No,No
Magdalena del Mar,5,13,2,2,64,589493,En Planos,No,No,No,No,No
Magdalena del Mar,6,13,2,2,80,731276,En Planos,No,No,No,No,No
Magdalena del Mar,7,13,2,2,74,587820,En Planos,No,No,No,No,No
Magdalena del Mar,5,13,3,3,98,900828,En Planos,No,No,No,No,No
Magdalena del Mar,7,78,1,1,42,365400,En Construcción,No,Si,Si,Si,Si
Magdalena del Mar,12,78,2,2,61,525300,En Construcción,No,Si,Si,Si,Si
Magdalena del Mar,14,78,2,2,61,522100,En Construcción,No,Si,Si,Si,Si
Magdalena del Mar,7,78,2,2,86,736500,En Construcción,No,Si,Si,Si,Si
Magdalena del Mar,9,78,3,2,85,772400,En Construcción,No,Si,Si,Si,Si
Magdalena del Mar,1,9,1,1,102,737000,Entrega Inmediata,Si,Si,Si,No,No
Magdalena del Mar,7,9,2,2,72,806000,Entrega Inmediata,Si,Si,Si,No,No
Magdalena del Mar,3,9,2,2,76,809000,Entrega Inmediata,Si,Si,Si,No,No
Magdalena del Mar,5,9,2,2,71,791000,Entrega Inmediata,Si,Si,Si,No,No
Magdalena del Mar,5,9,3,3,90,1037000,Entrega Inmediata,Si,Si,Si,No,No
Magdalena del Mar,3,6,2,2,70,477628,Entrega Inmediata,Si,Si,Si,Si,No
Magdalena del Mar,14,6,2,3,85,550442,Entrega Inmediata,Si,Si,Si,Si,No
Magdalena del Mar,2,6,2,2,83,559418,Entrega Inmediata,Si,Si,Si,Si,No
Magdalena del Mar,5,6,3,2,83,558302,Entrega Inmediata,Si,Si,Si,Si,No
Magdalena del Mar,10,6,3,2,83,554701,Entrega Inmediata,Si,Si,Si,Si,No
Chorrillos,10,250,1,1,28,183000,En Construcción,Si,Si,Si,Si,No
Chorrillos,10,250,1,1,57,307000,En Construcción,Si,Si,Si,Si,No
Chorrillos,10,250,1,1,54,251000,En Construcción,Si,Si,Si,Si,No
Chorrillos,10,250,1,1,85,358000,En Construcción,Si,Si,Si,Si,No
Chorrillos,10,250,2,2,50,251000,En Construcción,Si,Si,Si,Si,No
Chorrillos,7,156,2,2,56,303497,En Planos,No,No,No,No,No
Chorrillos,7,156,2,1,46,269523,En Planos,No,No,No,No,No
Chorrillos,7,156,3,2,67,313200,En Planos,No,No,No,No,No
Chorrillos,7,156,3,2,63,303841,En Planos,No,No,No,No,No
Chorrillos,7,156,3,2,56,289200,En Planos,No,No,No,No,No
Chorrillos,11,75,1,1,37,259100,En Planos,No,No,Si,No,No
Chorrillos,11,75,1,1,37,255900,En Planos,No,No,Si,No,No
Chorrillos,11,75,1,1,38,266500,En Planos,No,No,Si,No,No
Chorrillos,11,75,1,1,36,249700,En Planos,No,No,Si,No,No
Chorrillos,11,75,2,2,56,375000,En Planos,No,No,Si,No,No
Chorrillos,9,18,1,1,54,246000,Entrega Inmediata,No,No,No,Si,No
Chorrillos,9,18,1,1,54,246000,Entrega Inmediata,No,No,No,Si,No
Chorrillos,9,13,3,2,69,325128,Entrega Inmediata,No,No,No,Si,No
Chorrillos,9,13,3,2,69,325128,Entrega Inmediata,No,No,No,Si,No
Chorrillos,9,8,3,2,71,332667,Entrega Inmediata,No,No,No,Si,No
Chorrillos,9,2,3,2,63,322600,En Planos,Si,Si,Si,Si,Si
Chorrillos,9,3,2,2,57,302300,En Planos,Si,Si,Si,Si,Si
Chorrillos,9,6,2,2,58,305000,En Planos,Si,Si,Si,Si,Si
Chorrillos,9,5,3,2,63,322600,En Planos,Si,Si,Si,Si,Si
Chorrillos,9,3,3,2,63,324800,En Planos,Si,Si,Si,Si,Si
Chorrillos,11,38,1,2,48,264600,En Planos,No,No,Si,Si,No
Chorrillos,10,38,2,1,54,297150,En Planos,No,No,Si,Si,No
Chorrillos,7,38,2,1,54,294000,En Planos,No,No,Si,Si,No
Chorrillos,8,38,3,2,65,344400,En Planos,No,No,Si,Si,No
Chorrillos,6,38,3,2,65,354900,En Planos,No,No,Si,Si,No
Chorrillos,9,114,1,1,41,196695,En Planos,No,Si,Si,Si,No
Chorrillos,6,114,2,2,50,338599,En Planos,No,Si,Si,Si,No
Chorrillos,4,114,2,2,50,301125,En Planos,No,Si,Si,Si,No
Chorrillos,8,114,3,2,58,337826,En Planos,No,Si,Si,Si,No
Chorrillos,3,114,3,2,58,367154,En Planos,No,Si,Si,Si,No
Chorrillos,11,130,1,1,39,290000,Entrega Inmediata,No,Si,Si,No,No
Chorrillos,11,130,2,2,52,410000,Entrega Inmediata,No,Si,Si,No,No
Chorrillos,11,130,3,2,71,480000,Entrega Inmediata,No,Si,Si,No,No
Chorrillos,11,130,3,2,71,490000,Entrega Inmediata,No,Si,Si,No,No
Chorrillos,11,130,3,2,74,430000,Entrega Inmediata,No,Si,Si,No,No
Chorrillos,11,143,3,2,66,325250,En Planos,Si,No,Si,Si,No
Chorrillos,11,143,3,2,66,324150,En Planos,Si,No,Si,Si,No
Chorrillos,11,143,3,2,70,347150,En Planos,Si,No,Si,Si,No
Chorrillos,11,143,3,2,66,324450,En Planos,Si,No,Si,Si,No
Chorrillos,11,143,3,2,66,314550,En Planos,Si,No,Si,Si,No
Chorrillos,10,113,2,2,60,314670,Entrega Inmediata,Si,Si,Si,Si,No
Chorrillos,10,113,3,2,68,434418,Entrega Inmediata,Si,Si,Si,Si,No
Chorrillos,10,113,3,2,66,343982,Entrega Inmediata,Si,Si,Si,Si,No
Chorrillos,10,113,3,2,69,319350,Entrega Inmediata,Si,Si,Si,Si,No
Chorrillos,10,113,3,2,65,353736,Entrega Inmediata,Si,Si,Si,Si,No
Barranco,9,166,1,2,54,319670,En Construcción,No,No,No,No,No
Barranco,9,166,1,1,42,262124,En Construcción,No,No,No,No,No
Barranco,9,166,2,2,50,321783,En Construcción,No,No,No,No,No
Barranco,9,166,2,2,74,402158,En Construcción,No,No,No,No,No
Barranco,9,166,2,2,68,433767,En Construcción,No,No,No,No,No
Barranco,17,8,1,1,40,289925,En Construcción,No,No,No,No,No
Barranco,17,8,1,1,40,321298,En Construcción,No,No,No,No,No
Barranco,17,8,2,2,49,397660,En Construcción,No,No,No,No,No
Barranco,17,8,2,1,48,357857,En Construcción,No,No,No,No,No
Barranco,17,8,2,2,56,427800,En Construcción,No,No,No,No,No
Barranco,4,50,1,1,55,579360,En Construcción,Si,Si,No,No,No
Barranco,4,50,1,1,57,590580,En Construcción,Si,Si,No,No,No
Barranco,4,50,1,1,48,527460,En Construcción,Si,Si,No,No,No
Barranco,4,50,1,1,53,501480,En Construcción,Si,Si,No,No,No
Barranco,4,50,2,2,80,899520,En Construcción,Si,Si,No,No,No
Barranco,19,301,1,1,41,444124,En Planos,No,No,No,No,No
Barranco,19,301,1,1,41,452388,En Planos,No,No,No,No,No
Barranco,19,301,1,1,41,458123,En Planos,No,No,No,No,No
Barranco,19,301,1,2,55,536400,En Planos,No,No,No,No,No
Barranco,19,301,2,2,54,527974,En Planos,No,No,No,No,No
Barranco,23,310,1,2,41,472929,En Construcción,No,Si,Si,No,Si
Barranco,23,310,1,1,40,500224,En Construcción,No,Si,Si,No,Si
Barranco,23,310,1,1,40,511384,En Construcción,No,Si,Si,No,Si
Barranco,23,310,1,1,40,463945,En Construcción,No,Si,Si,No,Si
Barranco,23,310,1,1,40,504636,En Construcción,No,Si,Si,No,Si
Barranco,20,81,1,1,42,259000,En Planos,No,No,No,No,No
Barranco,20,81,1,1,55,348600,En Planos,No,No,No,No,No
Barranco,20,81,2,2,81,499200,En Planos,No,No,No,No,No
Barranco,20,81,2,2,60,377600,En Planos,No,No,No,No,No
Barranco,20,81,2,1,60,377600,En Planos,No,No,No,No,No
Barranco,6,20,1,1,58,608400,En Construcción,No,No,No,No,No
Barranco,6,20,2,2,122,1033500,En Construcción,No,No,No,No,No
Barranco,6,20,2,2,81,807300,En Construcción,No,No,No,No,No
Barranco,6,20,2,2,91,875550,En Construcción,No,No,No,No,No
Barranco,6,20,3,2,152,1271400,En Construcción,No,No,No,No,No
Barranco,17,132,1,1,42,311166,En Planos,No,Si,Si,No,Si
Barranco,17,132,2,2,58,438925,En Planos,No,Si,Si,No,Si
Barranco,17,132,2,2,69,508258,En Planos,No,Si,Si,No,Si
Barranco,17,132,3,2,81,611805,En Planos,No,Si,Si,No,Si
Barranco,17,132,3,2,74,546589,En Planos,No,Si,Si,No,Si
Barranco,7,15,2,2,126,876600,En Planos,No,No,Si,No,No
Barranco,7,15,2,2,76,687000,En Planos,No,No,Si,No,No
Barranco,7,15,2,2,76,688600,En Planos,No,No,Si,No,No
Barranco,7,15,2,2,103,910400,En Planos,No,No,Si,No,No
Barranco,7,15,3,3,149,1049700,En Planos,No,No,Si,No,No
Barranco,4,53,1,1,39,426324,En Construcción,No,No,No,No,No
Barranco,4,53,1,1,39,419378,En Construcción,No,No,No,No,No
Barranco,4,53,1,1,43,460635,En Construcción,No,No,No,No,No
Barranco,4,53,1,1,66,467466,En Construcción,No,No,No,No,No
Barranco,4,53,2,2,52,681244,En Construcción,No,No,No,No,No
San Borja,7,14,4,6,188,2118270,En Construcción,No,No,No,No,No
San Borja,7,14,3,2,102,1186955,En Construcción,No,No,No,No,No
San Borja,7,14,3,3,132,1467235,En Construcción,No,No,No,No,No
San Borja,7,14,3,3,131,1210825,En Construcción,No,No,No,No,No
San Borja,7,14,3,3,131,1214675,En Construcción,No,No,No,No,No
San Borja,5,17,3,2,131,1117200,En Construcción,No,No,No,No,No
San Borja,5,17,3,2,124,1052600,En Construcción,No,No,No,No,No
San Borja,5,17,3,2,120,980400,En Construcción,No,No,No,No,No
San Borja,5,17,3,2,120,1026000,En Construcción,No,No,No,No,No
San Borja,5,17,3,2,120,1026000,En Construcción,No,No,No,No,No
San Borja,5,10,3,3,137,1644400,En Construcción,No,No,No,No,No
San Borja,5,10,3,3,142,1553372,En Construcción,No,No,No,No,No
San Borja,5,10,3,3,177,1615790,En Construcción,No,No,No,No,No
San Borja,5,10,3,3,177,1616246,En Construcción,No,No,No,No,No
San Borja,5,10,3,5,193,2245184,En Construcción,No,No,No,No,No
San Borja,15,14,3,3,91,780866,En Planos,Si,Si,Si,Si,No
San Borja,15,13,2,2,72,515778,En Planos,Si,Si,Si,Si,No
San Borja,15,8,1,2,60,462168,En Planos,Si,Si,Si,Si,No
San Borja,15,13,1,1,40,515778,En Planos,Si,Si,Si,Si,No
San Borja,15,9,2,2,66,511140,En Planos,Si,Si,Si,Si,No
San Borja,4,1,3,3,146,975800,En Construcción,No,No,No,No,No
San Borja,4,1,3,3,90,772328,En Construcción,No,No,No,No,No
San Borja,4,1,2,3,103,833561,En Construcción,No,No,No,No,No
San Borja,4,3,2,3,90,761345,En Construcción,No,No,No,No,No
San Borja,4,1,2,3,90,783000,En Construcción,No,No,No,No,No
San Borja,10,7,3,2,75,698880,En Planos,Si,No,Si,No,No
San Borja,10,10,2,2,52,499200,En Planos,Si,No,Si,No,No
San Borja,10,10,2,2,57,545280,En Planos,Si,No,Si,No,No
San Borja,10,9,1,1,41,332840,En Planos,Si,No,Si,No,No
San Borja,10,1,1,2,45,452120,En Planos,Si,No,Si,No,No
San Borja,8,13,3,2,120,880760,En Planos,No,No,No,No,No
San Borja,8,13,3,2,95,791520,En Planos,No,No,No,No,No
San Borja,8,13,3,2,99,822560,En Planos,No,No,No,No,No
San Borja,8,13,3,2,117,868500,En Planos,No,No,No,No,No
San Borja,8,13,3,3,190,1338600,En Planos,No,No,No,No,No
San Borja,4,9,3,3,197,1618740,En Planos,No,No,No,No,No
San Borja,4,9,3,3,130,1197932,En Planos,No,No,No,No,No
San Borja,4,9,3,3,145,1334184,En Planos,No,No,No,No,No
San Borja,4,9,3,3,120,1107588,En Planos,No,No,No,No,No
San Borja,4,9,3,4,161,1405116,En Planos,No,No,No,No,No
San Borja,8,5,1,1,57,338865,En Planos,No,No,No,No,No
San Borja,8,5,2,1,63,377364,En Planos,No,No,No,No,No
San Borja,8,5,1,1,36,253828,En Planos,No,No,No,No,No
San Borja,8,5,2,1,44,309091,En Planos,No,No,No,No,No
San Borja,8,5,1,1,44,290945,En Planos,No,No,No,No,No
San Borja,10,1,3,3,91,815000,En Planos,No,No,Si,No,No
San Borja,10,6,3,2,90,730000,En Planos,No,No,Si,No,No
San Borja,10,3,3,3,91,795000,En Planos,No,No,Si,No,No
San Borja,10,8,3,2,90,730000,En Planos,No,No,Si,No,No
San Borja,10,6,3,3,91,690000,En Planos,No,No,Si,No,No
Lince,21,5,3,2,76,542169,En Construcción,No,Si,Si,No,No
Lince,21,5,3,2,76,538542,En Construcción,No,Si,Si,No,No
Lince,21,5,3,2,78,580711,En Construcción,No,Si,Si,No,No
Lince,21,5,3,2,103,633315,En Construcción,No,Si,Si,No,No
Lince,21,5,3,2,78,582124,En Construcción,No,Si,Si,No,No
Lince,22,1,1,1,40,298300,En Planos,No,No,No,No,No
Lince,22,1,2,2,55,413600,En Planos,No,No,No,No,No
Lince,22,3,3,2,69,530900,En Planos,No,No,No,No,No
Lince,22,3,3,2,70,521800,En Planos,No,No,No,No,No
Lince,22,3,3,2,111,753700,En Planos,No,No,No,No,No
Lince,20,5,1,1,46,409367,Entrega Inmediata,Si,No,Si,No,Si
