Ciclo,Edad,Carrera,Genero,Cursos,tiempo,anxiety_before_ex,anxiety_after_ex,time_mayor_anxiety,ESF_angustia,ESF_intranquilidad,ESF_palpitaciones,ESF_fatiga,ESF_sueño_alterado,ESF_tension_muscular,ESC_dificil_concentracion,ESC_bloqueo_mental,ESC_acontencimientos_negativos,ESC_falta_memoria,ESC_pensamientos_desagradables,ESC_dificultad_decisiones,ESCCA_comer_beber,ESCCA_escapar,ESCCA_movimientos_repetitivos,ESCCA_moverse_mucho,ESCCA_movimientos_torpe,ESCCA_llanto,cause_ansiedad_U,help_ansiedad,stress_before_ex,stress_after_ex,time_mayor_stress,ESFCE_cansancio,ESFCE_relajarse,ESFCE_dificultad_tomar_decisiones,ESFCE_pensar_claridad,ESFCE_pensar_problemas,ESFCE_comer_demasiado,ESFCE__dificultad_sueño,ESFCE_dolor_cuerpo,ESFCE_caefeina_nicotina,ESFCE_tics_nervous,ESFCE_dolor_estomacal,ESFCE_irritacion,ESFCE_cambios_humor,ESFCE_dificultad_concentrarse,ESFCE_alcohol_droga,ESFCE_disminuye_desempeño_U,ESFCE_sudar_palpitar,ESFCE_levantarse_tarde,FS_no_afrontar_actividades,FS_todo_controlado,FS_enfadado_fueradecontrol,FS_controlar_tiempo,FS_dificultades_acumulan,FS_afectado_imprevistos,FS_manejar_problemas_vida,FS_afrontar_cambios_vida,cause_estres_U,help_estres
4,19,Ingeniería Civil,Masculino,6,3,6,4,15,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,5,Exámenes parciales,Frecuentemente,Seguido,Seguido,Seguido,Seguido,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,Seguido,Nunca,Seguido,Aveces,Frecuentemente,A menudo,De vez en cuando,A menudo,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Grabaciones,No
4,18,Ingeniería Civil,Masculino,6,3,5,5,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,3,4,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener donde descansar,No
4,19,Ingeniería Civil,Masculino,7,3.5,7,6,Exámenes finales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,6,7,Exámenes parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Época de exámenes,No
4,18,Ingeniería Mecatrónica,Masculino,6,2.5,8,2,Exámenes parciales,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,No tener espacio para estudiar,No,8,1,Semana de Entrega de Notas Finales,Aveces,Aveces,Nunca,Nunca,Siempre,Seguido,Seguido,Seguido,Nunca,Aveces,Nunca,Nunca,Seguido,Seguido,Nunca,Aveces,Siempre,Siempre,Casi nunca,A menudo,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,Grabaciones,Sí
3,18,Ingeniería Civil,Masculino,6,2.5,9,9,Semana de Entrega de Notas Finales,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,6,6,Exámenes parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Demasiado frío,No
4,19,Ingeniería Civil,Masculino,6,5.5,4,8,Exámenes parciales,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,A menudo,A menudo,A menudo,Casi todos los días,Que no respeten tu espacio personal,No,4,7,Entrega de notas parciales,Frecuentemente,Aveces,Nunca,Aveces,Aveces,Nunca,Seguido,Siempre,Frecuentemente,Seguido,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,Nunca,Nunca,Aveces,Aveces,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
3,19,Ciencia de la computación,Femenino,6,3,5,1,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucha ventilación,Sí,4,2,Exámenes parciales,Aveces,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Muy a menudo,Casi nunca,Muy a menudo,Nunca,Casi nunca,Muy a menudo,Muy a menudo,No tener donde descansar,Sí
2,17,Ingeniería Industrial,Masculino,6,2.5,7,8,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,Que no respeten tu espacio personal,No,7,8,Exámenes finales,Seguido,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,De vez en cuando,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,Época de exámenes,No
3,18,Ingeniería Industrial,Masculino,5,3.5,6,7,7,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,6,7,Exámenes parciales,Aveces,Nunca,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Casi nunca,De vez en cuando,Nunca,Casi nunca,A menudo,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
4,19,Ingeniería Mecatrónica,Masculino,6,1.5,7,3,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,A menudo,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Demasiadas personas,Sí,7,4,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,NA,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Época de exámenes,Sí
4,18,Ingeniería Química,Femenino,4,2,8,7,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,Que no respeten tu espacio personal,Sí,8,5,Exámenes parciales,Seguido,Aveces,Aveces,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Nunca,Nunca,Nunca,Seguido,Seguido,Seguido,Nunca,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
5,23,Ingeniería Civil,Masculino,8,5,3,5,Exámenes finales,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,3,4,Exámenes finales,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
4,21,Ingeniería Mecatrónica,Masculino,5,3.5,6,4,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Mucha ventilación,Sí,6,2,Exámenes parciales,Seguido,Aveces,Aveces,Aveces,Frecuentemente,Seguido,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Seguido,Nunca,Frecuentemente,Aveces,Siempre,A menudo,De vez en cuando,Nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,Época de exámenes,Sí
5,19,Ingeniería Civil,Masculino,8,3.5,5,5,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,5,Exámenes finales,Frecuentemente,Aveces,Aveces,Seguido,Seguido,Frecuentemente,Aveces,Frecuentemente,Nunca,Aveces,Seguido,Aveces,Aveces,Seguido,Nunca,Seguido,Seguido,Seguido,A menudo,Casi nunca,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
3,18,Ingeniería Industrial,Masculino,6,3,5,5,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,Sí,5,5,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
4,18,Ingeniería Industrial,Masculino,6,2.5,8,2,Exámenes finales,A menudo,Casi todos los días,A menudo,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,Nunca,A menudo,Nunca,Casi todos los días,En alguna ocasión,Nunca,Casi todos los días,A menudo,Nunca,Nunca,Mucho ruido,No,9,2,Exámenes finales,Aveces,Frecuentemente,Siempre,Frecuentemente,Seguido,Seguido,Nunca,Seguido,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Aveces,Aveces,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,No
8,20,Ingeniería de la Energía,Masculino,7,3,8,8,Exámenes finales,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Casi todos los días,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Demasiadas personas,No,8,8,Exámenes finales,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,No tener espacio donde comer (comedor lleno),No
6,21,Ingeniería de la Energía,Masculino,5,2,10,3,Exámenes parciales,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,9,9,Semana de Entrega de Notas Finales,Aveces,Aveces,Seguido,Seguido,Seguido,Seguido,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Aveces,Aveces,Nunca,Seguido,Nunca,Siempre,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
3,19,Bioingeniería,Masculino,6,5,3,7,Exámenes parciales,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Demasiadas personas,Sí,3,4,Exámenes parciales,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,No
6,20,Ingeniería Electrónica,Masculino,8,1.5,7,7,Exámenes parciales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucho ruido,Sí,7,8,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Demasiado frío,Sí
5,19,Ingeniería Civil,Masculino,8,4.5,6,6,Entrega de notas parciales,En alguna ocasión,A menudo,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Mucha ventilación,Sí,5,5,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
5,19,Ingeniería Civil,Masculino,7,1.5,7,3,Exámenes parciales,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,A menudo,Nunca,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,Mucho ruido,No,5,3,Entrega de notas parciales,Aveces,Seguido,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Seguido,Frecuentemente,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
2,17,Ciencia de Datos,Femenino,6,1.5,9,10,Semana de Entrega de Notas Finales,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Demasiadas personas,Sí,10,10,Exámenes parciales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No entender a los profesores,Sí
6,22,Ciencia de la computación,Masculino,5,1.5,9,9,7,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Nunca,Casi todos los días,En alguna ocasión,A menudo,Nunca,Casi todos los días,No tener espacio para estudiar,Sí,7,4,Exámenes finales,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Seguido,Nunca,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Seguido,Seguido,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,A menudo,A menudo,Muy a menudo,A menudo,Demasiado frío,NA
2,20,Ciencia de la computación,Masculino,5,1.5,7,6,Entrega de notas parciales,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,En alguna ocasión,No tener espacio para estudiar,No,6,7,7,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Aveces,Seguido,Nunca,Nunca,Seguido,Seguido,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
