Marca temporal,Ciclo cursante,Edad ,¿Qué carrera estudias?,Género,¿Cuántos cursos lleva?,¿Cuanto tiempo en horas estudia al día?,"Cuál considera que ha sido su nivel de ansiedad, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de ansiedad, en promedio, después de rendir cualquier evaluación",¿Cuáles han sido sus épocas de mayor ansiedad?,Escala de síntomas físicos [Sensación de angustia o aprensión],"Escala de síntomas físicos [Dificultad para estar quieto, intranquilidad]",Escala de síntomas físicos [Aumento de frecuencia cardiaca (palpitaciones) sin enfermedad conocida que lo justifique],"Escala de síntomas físicos [Fatiga, especialmente importante al final del día]","Escala de síntomas físicos [Alteraciones en el sueño; tardas en quedarte dormido, te despiertas varias veces o despiertas antes de lo previsto]","Escala de síntomas físicos [Sensación de tensión muscular que puede ir acompañada de dolor en determinadas partes de tu cuerpo (cuello, espalda, cabeza, etcétera)]",Escala de síntomas cognitivos [Dificultad para concentrarte],Escala de síntomas cognitivos [Sensación de bloqueo mental],Escala de síntomas cognitivos [Anticipación de acontecimientos negativos. Catastrofismo],Escala de síntomas cognitivos [Falta de memoria (dificultad para recordar cosas)],Escala de síntomas cognitivos [Pensamientos o imágenes desagradables],Escala de síntomas cognitivos [Dificultad para tomar decisiones (por ejemplo “das vueltas a la cabeza” sin llegar a decidirte)],"Escala de síntomas comportamentales para combatir la ansiedad [Fumas, comes o bebes para calmar tu ansiedad]",Escala de síntomas comportamentales para combatir la ansiedad [Evitas o escapas de determinadas situaciones],"Escala de síntomas comportamentales para combatir la ansiedad [Haces movimientos repetitivos (tocarte el pelo, temblor de piernas)]",Escala de síntomas comportamentales para combatir la ansiedad [Te mueves más de lo habitual],Escala de síntomas comportamentales para combatir la ansiedad [Movimientos torpes (por ejemplo se te caen las cosas)],Escala de síntomas comportamentales para combatir la ansiedad [Llanto para aliviar tu malestar],¿Algo dentro de la universidad te cause demasiada ansiedad?,Ha buscado algún tipo de ayuda sobre cómo tratar la ansiedad,"Cuál considera que ha sido su nivel de estrés, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de estrés, en promedio, después de rendir cualquier evaluación",Cuáles han sido sus épocas de mayor estrés,Escala de síntomas físicos y cognitivos  [Te sientes cansado/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil relajarte o sentirte tranquilo/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil tomar decisiones],Escala de síntomas físicos y cognitivos  [Tienes problemas para pensar con claridad],Escala de síntomas físicos y cognitivos  [Piensas en tus problemas una y otra vez durante el día],Escala de síntomas físicos y cognitivos  [Comes demasiado o muy poco],Escala de síntomas físicos y cognitivos  [Dificultad para conciliar el sueño],"Escala de síntomas físicos y cognitivos  [Dolor de espalda,cuello u otro dolor relacionado con la tensión]",Escala de síntomas físicos y cognitivos  [Uso más seguido de cafeína o nicotina de lo habitual],Escala de síntomas físicos y cognitivos  [Tics nerviosos],Escala de síntomas físicos y cognitivos  [Malestar estomacal],Escala de síntomas físicos y cognitivos  [Irritación con facilidad],Escala de síntomas físicos y cognitivos  [Cambios de humor y sensibilidad],Escala de síntomas físicos y cognitivos  [Dificultad al concentrarse],Escala de síntomas físicos y cognitivos  [Uso de alcohol o drogas para afrontar problemas],Escala de síntomas físicos y cognitivos  [Tu desempeño ha disminuido y presentas problemas para completar tus tareas],Escala de síntomas físicos y cognitivos  [Tendencias a sudar o palpitaciones],Escala de síntomas físicos y cognitivos  [Tentaciones fuertes de no levantarse por la mañana],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia se ha sentido al control de todo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha podido controlar la forma de pasar el tiempo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?],¿Algo dentro de la universidad que te cause estrés?,Ha buscado algún tipo de ayuda sobre cómo tratar el estrés
17/09/2022 18:49:30,4,19,Ingeniería Civil,Masculino,6,3,6,4,15,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,5,Exámenes parciales,Frecuentemente,Seguido,Seguido,Seguido,Seguido,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,Seguido,Nunca,Seguido,Aveces,Frecuentemente,A menudo,De vez en cuando,A menudo,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Grabaciones,No
17/09/2022 18:54:14,4,18,Ingeniería Civil,Masculino,6,3,5,5,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,3,4,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener donde descansar,No
17/09/2022 18:56:46,4,19,Ingeniería Civil,Masculino,7,3.5,7,6,Exámenes finales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,6,7,Exámenes parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Época de exámenes,No
17/09/2022 18:58:43,4,18,Ingeniería Mecatrónica,Masculino,6,2.5,8,2,Exámenes parciales,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,No tener espacio para estudiar,No,8,1,Semana de Entrega de Notas Finales,Aveces,Aveces,Nunca,Nunca,Siempre,Seguido,Seguido,Seguido,Nunca,Aveces,Nunca,Nunca,Seguido,Seguido,Nunca,Aveces,Siempre,Siempre,Casi nunca,A menudo,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,Grabaciones,Sí
17/09/2022 18:59:16,3,18,Ingeniería Civil,Masculino,6,2.5,9,9,Semana de Entrega de Notas Finales,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,6,6,Exámenes parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Demasiado frío,No
17/09/2022 19:10:05,4,19,Ingeniería Civil,Masculino,6,5.5,4,8,Exámenes parciales,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,A menudo,A menudo,A menudo,Casi todos los días,Que no respeten tu espacio personal,No,4,7,Entrega de notas parciales,Frecuentemente,Aveces,Nunca,Aveces,Aveces,Nunca,Seguido,Siempre,Frecuentemente,Seguido,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,Nunca,Nunca,Aveces,Aveces,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
17/09/2022 19:56:32,3,19,Ciencia de la computación,Femenino,6,3,5,1,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucha ventilación,Sí,4,2,Exámenes parciales,Aveces,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Muy a menudo,Casi nunca,Muy a menudo,Nunca,Casi nunca,Muy a menudo,Muy a menudo,No tener donde descansar,Sí
17/09/2022 20:06:57,2,17,Ingeniería Industrial,Masculino,6,2.5,7,8,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,Que no respeten tu espacio personal,No,7,8,Exámenes finales,Seguido,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,De vez en cuando,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,Época de exámenes,No
17/09/2022 20:30:38,3,18,Ingeniería Industrial,Masculino,5,3.5,6,7,7,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,6,7,Exámenes parciales,Aveces,Nunca,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Casi nunca,De vez en cuando,Nunca,Casi nunca,A menudo,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
17/09/2022 20:38:54,4,19,Ingeniería Mecatrónica,Masculino,6,1.5,7,3,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,A menudo,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Demasiadas personas,Sí,7,4,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Época de exámenes,Sí
17/09/2022 21:16:53,4,18,Ingeniería Química,Femenino,4,2,8,7,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,Que no respeten tu espacio personal,Sí,8,5,Exámenes parciales,Seguido,Aveces,Aveces,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Nunca,Nunca,Nunca,Seguido,Seguido,Seguido,Nunca,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
18/09/2022 2:08:00,5,23,Ingeniería Civil,Masculino,8,5,3,5,Exámenes finales,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,3,4,Exámenes finales,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
18/09/2022 8:22:08,4,21,Ingeniería Mecatrónica,Masculino,5,3.5,6,4,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Mucha ventilación,Sí,6,2,Exámenes parciales,Seguido,Aveces,Aveces,Aveces,Frecuentemente,Seguido,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Seguido,Nunca,Frecuentemente,Aveces,Siempre,A menudo,De vez en cuando,Nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,Época de exámenes,Sí
18/09/2022 8:48:29,5,19,Ingeniería Civil,Masculino,8,3.5,5,5,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,5,Exámenes finales,Frecuentemente,Aveces,Aveces,Seguido,Seguido,Frecuentemente,Aveces,Frecuentemente,Nunca,Aveces,Seguido,Aveces,Aveces,Seguido,Nunca,Seguido,Seguido,Seguido,A menudo,Casi nunca,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
18/09/2022 23:23:08,3,18,Ingeniería Industrial,Masculino,6,3,5,5,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,Sí,5,5,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
