"UBIGEO","VIVIENDA","PERSONA","P1172$01","P1172$02","P1172$13","P1172$14","P408F5","P408G4","IT","P300A","P301C","P301A","P301D","P302","P314A","P315A"
"070101","059",1,80,150,NA,0,NA,NA,240,4,NA,6,"Estatal",NA,"Si",NA
"070101","059",2,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","059",3,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","060",1,15,40,60,20,NA,NA,NA,4,NA,4,"Estatal",NA,"No",NA
"070101","060",2,NA,NA,NA,NA,NA,10,1600,4,NA,8,"Privado",NA,"Si",NA
"070101","062",1,NA,0,NA,NA,NA,NA,774,4,NA,5,"Estatal",NA,"Si",NA
"070101","062",2,NA,NA,NA,NA,NA,NA,53,4,NA,5,"Estatal",NA,"Si",NA
"070101","062",3,NA,NA,NA,NA,NA,NA,NA,4,5,3,"Estatal",1,"Si",NA
"070101","064",1,65,80,NA,NA,0.17,2,2138,4,NA,3,"Estatal",1,"Si",NA
"070101","064",2,NA,NA,NA,NA,1,2,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","064",3,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","064",4,NA,NA,NA,NA,2,15,NA,4,NA,4,"Estatal",NA,"No",NA
"070101","068",1,NA,0,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"No",NA
"070101","068",2,30,100,70,80,NA,NA,110,4,NA,6,"Estatal",NA,"Si",NA
"070101","068",3,9,20,NA,NA,NA,NA,2000,4,NA,7,"Privado",NA,"Si",NA
"070101","068",4,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Privado",NA,"Si",NA
"070101","068",5,NA,NA,NA,NA,NA,NA,220,4,NA,5,"Estatal",NA,"Si",NA
"070101","068",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","070",1,NA,0,0,0,NA,NA,518,4,NA,9,"Estatal",NA,"Si",NA
"070101","070",2,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","070",3,NA,NA,NA,NA,NA,NA,NA,4,6,4,"Estatal",NA,"Si",NA
"070101","071",1,230,160,85,15,0.5,15,883,4,NA,6,"Privado",NA,"Si",NA
"070101","071",2,52,80,NA,50,NA,NA,NA,4,NA,6,"Privado",NA,"Si",NA
"070101","071",3,NA,NA,NA,NA,NA,NA,NA,4,NA,12,"Estatal",2,"Si",NA
"070101","071",4,NA,NA,NA,NA,NA,10,1370,4,NA,6,"Estatal",NA,"Si",NA
"070101","072",1,32,80,NA,20,0.5,20,NA,4,6,4,"Estatal",NA,"Si",NA
"070101","072",2,NA,NA,NA,NA,0.17,10,1050,4,NA,6,"Estatal",NA,"Si",NA
"070101","072",3,NA,NA,NA,NA,NA,NA,480,4,NA,2,"Estatal",1,"Si",NA
"070101","072",4,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"No",NA
"070101","073",1,40,50,NA,15,NA,NA,NA,4,NA,9,"Privado",NA,"Si",NA
"070101","073",2,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","076",1,30,150,NA,55,NA,NA,2357,4,NA,8,"Estatal",NA,"Si",NA
"070101","076",2,NA,NA,NA,NA,NA,NA,354,4,NA,9,"Privado",NA,"Si",NA
"070101","076",3,NA,NA,NA,NA,3,15,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","076",4,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Privado",1,"Si",NA
"070101","079",1,NA,NA,NA,NA,NA,NA,1300,4,NA,6,"Estatal",NA,"Si",NA
"070101","079",2,72,45,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","080",1,89,120,50,100,NA,NA,4200,4,NA,9,"Privado",NA,"Si",NA
"070101","080",2,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","080",3,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","080",4,NA,NA,NA,NA,NA,NA,NA,4,6,4,"Privado",NA,"Si",NA
"070101","081",1,50,50,NA,80,NA,NA,1000,4,6,4,"Estatal",NA,"Si",NA
"070101","081",2,NA,NA,NA,NA,NA,NA,1025,4,NA,6,"Estatal",NA,"Si",NA
"070101","081",3,NA,NA,NA,NA,NA,NA,1000,4,NA,2,"Estatal",1,"Si",NA
"070101","081",4,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,2,NA,NA
"070101","081",5,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"No",NA
"070101","084",1,NA,0,NA,NA,NA,NA,2400,4,NA,6,"Estatal",NA,"Si",NA
"070101","084",2,NA,NA,NA,NA,24,5,NA,4,NA,6,"Estatal",NA,"No",NA
"070101","084",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","084",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","085",1,45,140,50,80,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","085",2,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","085",3,NA,NA,NA,NA,NA,NA,3500,4,NA,10,"Privado",NA,"Si",NA
"070101","087",1,NA,30,NA,8,NA,NA,120,4,NA,6,"Estatal",NA,"Si",NA
"070101","087",2,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","088",1,45,60,40,30,NA,NA,1000,4,NA,5,"Estatal",NA,"Si",NA
"070101","088",2,NA,NA,NA,NA,NA,NA,1000,4,6,4,"Estatal",NA,"No",NA
"070101","088",3,NA,NA,NA,NA,NA,NA,1200,4,NA,6,"Estatal",NA,"Si",NA
"070101","088",4,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","088",5,NA,NA,NA,NA,NA,NA,NA,4,5,3,"Estatal",1,"Si",NA
"070101","088",6,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,2,"No",NA
"070101","089",1,45,69,0,0,NA,NA,NA,4,NA,7,"Estatal",NA,"Si",NA
"070101","089",2,149,200,NA,130,168,15,NA,4,NA,3,"Estatal",1,"No",NA
"070101","089",3,NA,NA,NA,NA,NA,NA,920,4,NA,5,"Privado",NA,"No",NA
"070101","089",4,NA,NA,NA,NA,NA,NA,1500,4,NA,6,"Estatal",NA,"Si",NA
"070101","089",5,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","089",6,NA,NA,NA,NA,NA,NA,NA,4,NA,2,"Estatal",2,"Si",NA
"070101","089",7,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
"070101","090",1,NA,0,NA,NA,NA,NA,602,4,NA,4,"Estatal",NA,"No",NA
"070101","090",2,80,125,80,90,NA,NA,3100,4,NA,9,"Privado",NA,"Si",NA
"070101","090",3,NA,NA,NA,NA,NA,NA,NA,4,NA,7,"Privado",NA,"Si",NA
"070101","090",4,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","090",5,NA,NA,NA,NA,NA,NA,NA,4,3,3,"Privado",1,"Si",NA
"070101","090",6,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,2,NA,NA
"070101","091",1,NA,0,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"No",NA
"070101","093",1,52,80,NA,60,NA,NA,1800,4,NA,6,"Estatal",NA,"Si",NA
"070101","093",2,NA,NA,NA,NA,NA,NA,150,4,NA,6,"Estatal",NA,"Si",NA
"070101","093",3,NA,NA,NA,NA,NA,NA,NA,4,3,3,"Estatal",1,"Si",NA
"070101","093",4,NA,NA,NA,NA,NA,NA,NA,4,1,3,"Estatal",1,"Si",NA
"070101","097",1,9,35,0,40,NA,NA,180,4,NA,8,"Privado",NA,"Si",NA
"070101","099",1,NA,NA,NA,NA,0.5,10,NA,4,NA,5,"Estatal",NA,"No",NA
"070101","100",1,70,47,NA,NA,192,30,NA,4,NA,4,"Estatal",NA,"Si",NA
"070101","100",2,40,40,NA,40,336,20,1750,4,NA,6,"Estatal",NA,"Si",NA
"070101","100",3,100,100,NA,50,NA,NA,415,4,NA,5,"Estatal",NA,"Si",NA
"070101","100",4,NA,NA,NA,NA,0.08,5,1400,4,0,1,NA,2,NA,NA
"070101","100",5,NA,NA,NA,NA,0.5,15,2190,4,NA,6,"Estatal",NA,"Si",NA
"070101","100",6,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","100",7,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","100",8,NA,NA,NA,NA,NA,NA,NA,4,1,3,"Privado",1,"Si",NA
"070101","100",9,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,2,NA,NA
"070101","101",1,25,38,NA,69,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","101",2,NA,NA,NA,NA,NA,NA,NA,4,NA,4,"Estatal",NA,"Si",NA
"070101","101",3,NA,NA,NA,NA,NA,NA,65,4,NA,6,"Estatal",NA,"Si",NA
"070101","101",4,NA,NA,NA,NA,NA,NA,NA,4,NA,2,"Estatal",2,"Si",NA
"070101","103",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","104",1,80,200,NA,220,NA,NA,4500,4,NA,10,"Privado",NA,"Si",NA
"070101","104",2,NA,NA,NA,NA,0.5,10,3500,4,NA,8,"Privado",NA,"Si",NA
"070101","104",3,NA,NA,NA,NA,NA,NA,NA,4,NA,9,"Privado",NA,"Si",NA
"070101","104",4,NA,NA,NA,NA,0.5,10,NA,4,2,3,"Privado",1,"Si",NA
"070101","107",1,80,110,0,160,NA,NA,6500,4,NA,10,"Privado",NA,"Si",NA
"070101","107",2,NA,NA,NA,NA,360,60,4650,4,NA,10,"Estatal",NA,"Si",NA
"070101","107",3,NA,NA,NA,NA,NA,NA,140,4,NA,9,"Estatal",NA,"Si",NA
"070101","107",4,NA,NA,NA,NA,NA,NA,NA,4,6,4,"Privado",NA,"Si",NA
"070101","108",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","108",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","111",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","113",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","113",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","115",1,70,140,50,100,NA,NA,2500,4,NA,10,"Estatal",NA,"Si",NA
"070101","115",2,NA,NA,NA,NA,NA,NA,NA,4,1,3,"Privado",1,"No",NA
"070101","115",3,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Privado",NA,"Si",NA
"070101","116",1,35,35,NA,NA,NA,NA,340,4,NA,6,"Estatal",NA,"No",NA
"070101","116",2,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","118",1,25,30,NA,130,NA,NA,2216,4,NA,6,"Privado",NA,"Si",NA
"070101","118",2,NA,NA,NA,NA,NA,NA,1500,4,NA,6,"Estatal",NA,"Si",NA
"070101","118",3,NA,NA,NA,NA,NA,15,1800,4,NA,6,"Estatal",NA,"Si",NA
"070101","120",1,NA,0,0,NA,NA,NA,NA,1,NA,4,"Estatal",NA,"No",NA
"070101","120",2,NA,NA,NA,NA,360,15,NA,4,NA,6,"Estatal",NA,"No",NA
"070101","124",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","125",1,50,45,NA,NA,2,30,1200,4,NA,6,"Estatal",NA,"Si",NA
"070101","125",2,NA,NA,NA,NA,NA,NA,400,4,NA,5,"Estatal",NA,"No",NA
"070101","125",3,NA,NA,NA,NA,NA,NA,1819,4,NA,8,"Privado",NA,"Si",NA
"070101","125",4,NA,NA,NA,NA,NA,NA,3500,4,NA,7,"Privado",NA,"Si",NA
"070101","125",5,NA,NA,NA,NA,NA,NA,NA,4,3,3,"Privado",1,"Si",NA
"070101","129",1,30,45,NA,30,48,5,600,4,NA,6,"Estatal",NA,"Si",NA
"070101","129",2,NA,NA,NA,NA,NA,NA,1000,4,NA,6,"Estatal",NA,"Si",NA
"070101","129",3,NA,NA,NA,NA,0.17,5,NA,4,NA,6,"Privado",NA,"Si",NA
"070101","129",4,NA,NA,NA,NA,NA,NA,NA,4,1,3,"Privado",1,"Si",NA
"070101","132",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","133",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","134",1,35,45,0,0,NA,NA,NA,2,NA,5,"Estatal",NA,"Si",NA
"070101","134",2,NA,NA,NA,NA,NA,NA,NA,1,NA,4,"Estatal",NA,"Si",NA
"070101","137",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","138",1,45,120,NA,100,0.25,10,4500,4,NA,10,"Estatal",NA,"Si",NA
"070101","138",2,52,81,NA,100,NA,NA,NA,4,NA,10,"Estatal",NA,"Si",NA
"070101","138",3,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","138",4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,"Estatal",NA,"No",NA
"070101","140",1,45,113,40,80,NA,NA,3000,4,NA,10,"Estatal",NA,"Si",NA
"070101","140",2,NA,NA,NA,NA,NA,NA,570,4,NA,10,"Privado",NA,"Si",NA
"070101","144",1,70,120,100,150,NA,NA,NA,4,NA,8,"Privado",NA,"Si",NA
"070101","144",2,NA,NA,NA,NA,NA,NA,2500,4,NA,11,"Privado",NA,"Si",NA
"070101","144",3,NA,NA,NA,NA,NA,NA,4000,4,NA,11,"Privado",NA,"Si",NA
"070101","148",1,34,400,NA,40,NA,NA,321,4,6,4,"Estatal",NA,"Si",NA
"070101","148",2,NA,NA,NA,NA,NA,NA,2300,4,NA,10,"Estatal",NA,"Si",NA
"070101","148",3,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","148",4,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","148",5,NA,NA,NA,NA,NA,NA,440,4,3,3,"Privado",1,"No",NA
"070101","148",6,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","148",7,NA,NA,NA,NA,NA,NA,NA,4,NA,2,"Estatal",2,"No",NA
"070101","148",8,NA,NA,NA,NA,24,10,NA,4,0,1,NA,2,NA,NA
"070101","148",9,NA,NA,NA,NA,24,10,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","148",10,NA,NA,NA,NA,NA,NA,NA,4,NA,3,"Estatal",1,"No",NA
"070101","148",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","154",1,55,100,200,170,NA,NA,2000,4,NA,6,"Estatal",NA,"Si",NA
"070101","154",2,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
