Marca temporal,¿Usted fue afectado de manera directa ó indirecta por el ciclón Yaku?,Carrera,Género,Edad ( ingrese un número entero y no negativo),Seleccione el número de personas en su vivienda,Sector de nacimiento,¿Te afecto económicamente el ciclón Yaku?,¿Ha experimentado problemas de salud física o mental debido al ciclón Yaku?,"¿Ha experimentado interrupciones en el transporte en general, incluyendo transporte público, vehículo personal, y otros medios de transporte debido al ciclón Yaku?", ¿Ha sufrido interrupciones en el acceso a la educación debido al ciclón Yaku?,Seleccione su tipo de vivienda,Tipo de localidad,¿Cuál fue su estado de ánimo durante el ciclón?,¿Cuál fue su estado de ánimo después del ciclón?,Seleccione la forma de apoyo que brindó,"Según su opinión, califique el grado de afectación del ciclón Yaku",¿Cuál es su nivel socioeconómico?,Califique el grado de satisfacción a la respuesta del Gobierno,¿Cuál cree usted que es su nivel de preparación ante un fenómeno natural?,"Aproximadamente, ¿cuál fue el gasto por los daños ocasionados por el ciclón Yaku? 
(Nuevos soles S/.)","Aproximadamente, ¿Con cuánto dinero apoyaste a los damnificados?
(Nuevos soles S/.)"
3/05/2023 17:26:30,Sí,Ingeniería Industrial,Masculino,21,3,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",No,Si,Si,Si,Departamento,Urbana,Enojo,Depresión,Ayuda voluntaria,3,B,2,Mínima,0,200
3/05/2023 17:28:04,Sí,Ingeniería Industrial,Femenino,24,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,No,No,No,Departamento,Urbana,Enojo,Depresión,"Ayuda financiera, Ayuda voluntaria, No brindé apoyo",3,B,5,Avanzada,12,0
3/05/2023 17:28:23,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:29:38,Sí,Ingeniería Ambiental,Masculino,20,5,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,Si,Si,Si,Casa,Rural,Enojo,Depresión,"Ayuda financiera, Refugio y alojamiento, Ayuda voluntaria",8,E,1,Mínima,2000,0
3/05/2023 17:30:02,Sí,Ingeniería Civil,Masculino,20,10,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,Si,Casa,Urbana,Enojo,Ninguna de las anteriores,No brindé apoyo,10,E,6,Avanzada,100,0
3/05/2023 17:30:38,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:31:12,Sí,Ciencia de la Computación,Femenino,18,2,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,Si,Casa,Urbana,Estrés,Estrés,Ayuda financiera,7,A,1,Mínima,1,2
3/05/2023 17:31:57,Sí,Ciencia de la Computación,Femenino,19,6,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",No,No,No,No,Casa,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,1,D,1,Mínima,100,10
3/05/2023 17:33:32,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:33:57,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:36:23,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:39:02,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:45:45,Sí,Ciencia de la Computación,Masculino,18,1,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,Si,Si,Si,Departamento,Urbana,Estrés,Depresión,"Ayuda financiera, Donación de recursos materiales, Ayuda voluntaria",7,E,2,Mínima,200,50
3/05/2023 17:45:59,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:46:14,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:46:27,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:47:16,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:47:29,Sí,Ingeniería Ambiental,Masculino,17,8,"Oriente (Amazonas, San Martín, Loreto, Ucayali, Madre de Dios)",Si,No,Si,No,Casa,Urbana,Estrés,Ninguna de las anteriores,"Ayuda financiera, Servicio médico y psicológico, Ayuda voluntaria, No brindé apoyo",10,E,1,Mínima,407,402
3/05/2023 17:47:38,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:47:51,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:48:38,Sí,Administración y Negocios Digitales,Masculino,17,1,"Oriente (Amazonas, San Martín, Loreto, Ucayali, Madre de Dios)",No,No,Si,Si,Casa,Rural,Ninguna de las anteriores,Enojo,"Ayuda financiera, Refugio y alojamiento",4,C,9,Intermedia,471,110
3/05/2023 17:48:52,Sí,Ingeniería Industrial,Femenino,21,4,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",Si,Si,Si,Si,Casa,Urbana,Depresión,Depresión,"Servicio médico y psicológico, Donación de recursos materiales, Ayuda voluntaria",6,E,6,Intermedia,1000,200
3/05/2023 17:51:20,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:51:24,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:51:34,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:51:40,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:53:25,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:56:07,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:58:30,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:58:47,Sí,Ciencia de la Computación,Masculino,18,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,No,No,No,Departamento,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,5,C,5,Mínima,0,0
3/05/2023 17:59:38,Sí,Ingeniería de la Energía,Femenino,19,3,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,No,Si,Departamento,Urbana,Depresión,Depresión,"Servicio médico y psicológico, Ayuda voluntaria",6,E,6,Intermedia,402,386
3/05/2023 18:06:42,Sí,Ingeniería Mecánica,Femenino,23,8,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",No,Si,No,No,Casa,Urbana,Enojo,Enojo,"Ayuda voluntaria, No brindé apoyo",1,D,4,Mínima,95,96
3/05/2023 18:09:32,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:10:12,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:11:31,Sí,Ingeniería Industrial,Femenino,21,10,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",No,Si,Si,No,Departamento,Urbana,Ninguna de las anteriores,Enojo,"Ayuda financiera, Servicio médico y psicológico, Donación de recursos materiales, Ayuda voluntaria",4,C,8,Mínima,408,16
3/05/2023 18:13:36,Sí,Bioingeniería,Masculino,22,8,"Oriente (Amazonas, San Martín, Loreto, Ucayali, Madre de Dios)",Si,No,No,No,Casa,Urbana,Depresión,Enojo,"Refugio y alojamiento, Ayuda voluntaria",5,A,7,Intermedia,466,102
3/05/2023 18:15:01,Sí,Ingeniería Civil,Femenino,22,7,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,Si,Si,Casa,Rural,Enojo,Depresión,"Ayuda financiera, Donación de recursos materiales, Ayuda voluntaria, No brindé apoyo",10,A,9,Intermedia,262,243
3/05/2023 18:15:53,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:17:09,Sí,Ingeniería Electrónica,Femenino,21,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,No,Departamento,Rural,Estrés,Enojo,"Ayuda financiera, Servicio médico y psicológico, Refugio y alojamiento, Donación de recursos materiales",2,C,4,Mínima,180,332
3/05/2023 18:17:41,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:18:31,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:19:47,Sí,Administración y Negocios Digitales,Femenino,21,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,No,Departamento,Urbana,Enojo,Ninguna de las anteriores,"Donación de recursos materiales, Ayuda voluntaria",4,C,7,Avanzada,404,447
3/05/2023 18:20:39,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:21:55,Sí,Ingeniería Química,Masculino,21,2,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,No,No,Casa,Rural,Ninguna de las anteriores,Depresión,"Ayuda financiera, Servicio médico y psicológico, Donación de recursos materiales, Ayuda voluntaria",10,D,6,Intermedia,336,368
3/05/2023 18:22:10,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:22:47,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:23:17,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:24:53,Sí,Ingeniería Electrónica,Masculino,17,8,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,No,Si,Casa,Rural,Estrés,Ninguna de las anteriores,"Ayuda voluntaria, No brindé apoyo",8,D,2,Mínima,241,448
3/05/2023 18:25:45,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:26:35,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 18:27:51,Sí,Ciencia de la Computación,Femenino,17,9,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,Si,Si,Departamento,Urbana,Depresión,Ninguna de las anteriores,"Ayuda financiera, Servicio médico y psicológico",7,B,4,Mínima,301,300
