work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M
2023,SE,FT,Research Engineer,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Engineer,200000,USD,200000,PR,100,PR,M
2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2023,MI,FT,Data Scientist,93918,USD,93918,US,100,US,M
2022,MI,FT,Data Analyst,216200,USD,216200,US,0,US,M
2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M
2023,MI,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Quality Analyst,72200,USD,72200,US,0,US,M
2022,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M
2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
2022,SE,FT,Data Engineer,240000,USD,240000,US,0,US,M
2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M
2022,SE,FT,Data Engineer,231250,USD,231250,US,100,US,M
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M
2022,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
2022,MI,FT,Data Analyst,206000,USD,206000,US,0,US,M
2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,288000,USD,288000,US,100,US,M
2023,SE,FT,Data Scientist,104000,USD,104000,US,100,US,M
2022,MI,FT,Data Engineer,95000,USD,95000,US,0,US,M
2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,90700,USD,90700,US,0,US,M
2022,MI,FT,Data Analyst,30000,GBP,36940,GB,100,GB,M
2022,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Scientist,134000,USD,134000,US,100,US,M
2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
2023,SE,FT,Data Engineer,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,ML Engineer,202353,USD,202353,US,0,US,M
2022,MI,FT,Data Scientist,60000,EUR,63040,FR,100,FR,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,90000,USD,90000,US,0,US,M
2022,MI,CT,NLP Engineer,60000,USD,60000,IN,100,US,S
2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
2022,SE,FT,Data Scientist,198800,USD,198800,US,0,US,M
2022,MI,FT,Data Engineer,24000,USD,24000,US,0,US,M
2023,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Science Engineer,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Scientist,300240,USD,300240,US,0,US,M
2023,EX,FT,Data Engineer,239000,USD,239000,US,100,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,100,US,M
2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M
2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,55685,PT,50,PT,L
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Data Engineer,95000,USD,95000,US,0,US,M
2022,MI,FT,Data Engineer,55000,GBP,67723,GB,100,GB,M
2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
2023,EX,FT,Data Architect,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Scientist,252000,USD,252000,US,0,US,M
2023,MI,FT,Data Engineer,115092,USD,115092,US,0,US,M
2023,SE,FT,Data Scientist,235000,USD,235000,US,100,US,M
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L
2022,MI,FT,Data Engineer,70000,EUR,73546,ES,100,ES,M
2023,SE,FT,Data Analyst,120250,USD,120250,US,100,US,M
2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2023,EN,FT,Data Engineer,125000,USD,125000,US,0,US,M
2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
2022,SE,FT,Data Analyst,48000,EUR,50432,ES,0,ES,M
2023,SE,FT,Data Scientist,223800,USD,223800,US,0,US,M
2020,EN,FT,Data Analyst,20000,EUR,22809,PT,100,PT,M
2023,SE,FT,Data Analyst,170550,USD,170550,US,100,US,M
2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
2022,SE,FT,Analytics Engineer,83376,GBP,102663,GB,100,GB,M
2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M
2023,SE,FT,Data Engineer,161800,USD,161800,US,0,US,M
2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M
2022,SE,FT,Applied Scientist,192000,USD,192000,US,100,US,M
2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2022,MI,FT,Data Engineer,45000,EUR,47280,GR,100,GR,M
2023,SE,FT,Data Scientist,198200,USD,198200,US,100,US,M
2023,SE,FT,Data Analyst,121904,USD,121904,US,0,US,M
2023,SE,FT,Data Scientist,170730,USD,170730,US,0,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,SE,FT,Data Architect,198000,USD,198000,US,100,US,M
2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M
2022,MI,FT,Data Scientist,90000,GBP,110820,GB,0,GB,M
2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
2023,SE,FT,Data Manager,155000,USD,155000,US,0,US,M
2023,SE,FT,BI Developer,135000,USD,135000,US,100,US,M
2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M
2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
2022,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M
2022,SE,FT,AI Developer,275000,USD,275000,CA,0,CA,S
2023,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,NLP Engineer,275000,USD,275000,US,0,US,M
2022,SE,FT,Data Scientist,218000,USD,218000,US,0,US,M
2022,SE,FT,Data Science Consultant,139000,USD,139000,US,0,US,M
2022,SE,FT,Machine Learning Engineer,119000,USD,119000,US,0,US,M
2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
2022,SE,FT,Research Scientist,249500,USD,249500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,140000,USD,140000,US,100,US,M
2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L
2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Architect,63000,USD,63000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,87000,USD,87000,US,0,US,M
2022,SE,FT,Machine Learning Engineer,140000,USD,140000,CA,0,CA,M
2023,MI,FT,Machine Learning Engineer,100000,GBP,121523,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,230000,USD,230000,US,0,US,M
2022,SE,FT,Data Engineer,216000,USD,216000,US,100,US,M
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Scientist,198200,USD,198200,US,100,US,M
2023,MI,FT,Research Scientist,185000,USD,185000,US,100,US,M
2022,SE,FT,Data Engineer,50000,GBP,61566,GB,100,GB,M
2022,MI,FT,Analytics Engineer,200000,USD,200000,US,0,US,M
2022,MI,FT,Deep Learning Engineer,40000,GBP,49253,GB,100,GB,M
2023,SE,FT,Data Science Lead,172200,USD,172200,US,0,US,M
2022,SE,FT,Data Scientist,160000,USD,160000,US,0,US,L
2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
2021,MI,FT,AI Scientist,30000,USD,30000,GH,0,GH,S
2021,SE,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M
2022,SE,FT,Data Engineer,97000,USD,97000,US,100,US,M
2023,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
2022,MI,FT,Business Data Analyst,90000,CAD,69133,CA,50,CA,L
2022,SE,FT,Analytics Engineer,130000,USD,130000,US,100,US,M
2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
2022,SE,FT,Data Analyst,119000,USD,119000,US,0,US,M
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L
2023,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
2023,SE,FT,Data Manager,169000,USD,169000,US,0,US,M
2023,SE,FT,Data Scientist,200000,USD,200000,US,100,US,M
2022,SE,FT,Data Engineer,154545,USD,154545,US,0,US,L
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
2023,SE,FT,Data Analyst,100500,USD,100500,US,0,US,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
2022,SE,FT,Data Engineer,144000,USD,144000,US,100,US,M
2022,SE,FT,Data Architect,225000,USD,225000,US,100,US,M
2023,SE,FT,Analytics Engineer,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Engineer,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M
2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2022,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,SE,FT,NLP Engineer,135000,USD,135000,US,0,US,M
2022,SE,FT,Data Scientist,127000,USD,127000,US,100,US,M
2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M
2023,SE,FT,Data Analyst,94000,USD,94000,US,0,US,M
2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M
2023,SE,FT,Data Scientist,239748,USD,239748,US,0,US,M
2022,MI,FT,Data Analyst,102640,USD,102640,US,100,US,M
2023,SE,FT,Data Scientist,149076,USD,149076,US,0,US,M
2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
2023,SE,FT,Research Scientist,248100,USD,248100,US,0,US,M
2023,SE,FT,Data Science Lead,225900,USD,225900,US,0,US,M
2022,SE,FT,Data Engineer,188700,USD,188700,US,100,US,M
2023,SE,FT,Applied Scientist,205000,USD,205000,US,0,US,M
2022,SE,FT,Data Analyst,115000,USD,115000,US,0,US,L
2022,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,BI Data Analyst,67000,EUR,71897,DE,100,DE,M
2023,SE,FT,Data Analyst,38000,EUR,40777,ES,0,ES,M
2022,EN,FT,Machine Learning Developer,180000,USD,180000,US,100,US,L
2023,MI,FT,Lead Data Analyst,68000,USD,68000,US,0,US,L
2022,MI,FT,Business Data Analyst,1400000,INR,17805,IN,100,IN,M
2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L
2022,EN,FT,Data Science Consultant,26000,EUR,27317,ES,50,ES,L
2022,MI,FT,Data Engineer,75000,GBP,92350,GB,100,GB,M
2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M
2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
2022,EX,FT,Data Manager,164000,CAD,125976,CA,50,CA,L
2023,MI,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M
2022,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
2023,SE,FT,Data Scientist,173000,USD,173000,US,100,US,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
2022,EX,FT,Analytics Engineer,157000,USD,157000,US,100,US,M
2023,SE,FT,Data Analyst,125600,USD,125600,US,100,US,M
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
2023,MI,FT,Data Analytics Lead,1440000,INR,17509,IN,50,SG,M
2023,MI,FT,Data Scientist,55000,EUR,59020,ES,0,ES,M
2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
2022,MI,FT,Data Analyst,40000,EUR,42026,GR,100,GR,M
2022,EN,FT,ML Engineer,20000,EUR,21013,PT,100,PT,L
2023,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
2022,EN,FT,Data Scientist,1800000,INR,22892,IN,50,IN,M
2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2023,SE,FT,Data Scientist,115000,USD,115000,US,0,US,M
2023,SE,FT,Data Engineer,95000,EUR,101943,IE,100,IE,M
2023,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
2023,SE,FT,Data Engineer,182750,USD,182750,US,100,US,M
2022,SE,FT,Data Engineer,102000,USD,102000,US,0,US,M
2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
2022,SE,FT,Analytics Engineer,75000,GBP,92350,GB,0,GB,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2023,EN,FT,Data Engineer,135000,USD,135000,US,0,US,M
2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M
2022,SE,FT,Data Science Consultant,94500,USD,94500,US,0,US,M
2023,EN,FT,Data Analyst,30000,USD,30000,IN,50,IN,M
2023,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2022,EX,FT,Machine Learning Scientist,180000,USD,180000,US,100,US,S
2022,SE,FT,Data Analyst,35000,EUR,36773,ES,0,ES,M
2022,SE,FT,Data Engineer,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M
2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
2023,SE,FT,Data Analyst,175000,USD,175000,US,100,US,M
2023,SE,FT,Data Analyst,208450,USD,208450,US,100,US,M
2023,SE,FT,Data Science Manager,198200,USD,198200,US,100,US,M
2023,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M
2023,EN,PT,Data Analyst,78000,PLN,17779,PL,100,IN,L
2022,MI,FT,ML Engineer,98200,USD,98200,US,100,US,L
2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L
2022,SE,FT,Data Analyst,113000,USD,113000,US,100,US,M
2022,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Architect,188500,USD,188500,US,100,US,M
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M
2022,SE,FT,Data Architect,195400,USD,195400,US,100,US,L
2023,SE,FT,Machine Learning Engineer,72000,EUR,77262,LV,0,LV,M
2022,SE,FT,Data Analyst,150000,USD,150000,US,0,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
2022,SE,FT,Applied Scientist,196000,USD,196000,US,100,US,M
2023,SE,FT,Research Scientist,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Analyst,64000,USD,64000,US,100,US,M
2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2023,SE,FL,Machine Learning Researcher,50000,USD,50000,UA,50,UA,S
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M
2023,SE,FT,Data Analyst,48000,EUR,51508,ES,0,ES,M
2023,EN,FT,Data Analyst,50000,USD,50000,KW,50,US,L
2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L
2022,MI,FT,Data Engineer,75000,GBP,92350,GB,100,GB,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M
2022,SE,FT,Data Engineer,120000,USD,120000,US,100,US,M
2023,EX,FT,Data Architect,155000,USD,155000,US,0,US,M
2022,MI,FT,Business Data Analyst,1440000,INR,18314,IN,50,IN,L
2022,SE,FT,Data Analyst,216200,USD,216200,US,0,US,M
2022,SE,FT,Machine Learning Engineer,70000,EUR,73546,FR,100,FR,M
2022,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
2022,MI,FT,Machine Learning Researcher,130000,USD,130000,US,100,US,M
2022,SE,FT,Data Science Manager,206000,USD,206000,US,100,US,M
2022,SE,FT,Data Analyst,117000,USD,117000,US,100,US,M
2022,MI,FT,Data Engineer,62500,EUR,65666,DE,50,DE,S
2022,SE,FT,Data Analyst,175950,USD,175950,US,100,US,M
2022,SE,FT,ML Engineer,160000,USD,160000,US,0,US,M
2023,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
2022,SE,FT,Data Analyst,139600,USD,139600,US,0,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Specialist,70000,USD,70000,US,100,US,M
2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M
2022,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M
2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M
2023,SE,FT,Analytics Engineer,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2023,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2021,SE,FT,Data Engineer,174000,USD,174000,US,100,US,L
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
2023,SE,FT,Data Analyst,145000,USD,145000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L
2023,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S
2022,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,240000,USD,240000,US,100,US,M
2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2022,SE,FT,Data Engineer,164000,USD,164000,US,0,US,M
2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
2022,SE,FT,Data Engineer,178750,USD,178750,US,0,US,M
2022,SE,FT,Data Architect,135000,USD,135000,US,100,US,M
2022,EX,FT,AI Scientist,200000,USD,200000,US,100,US,S
2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
2023,MI,FT,Data Analyst,143000,USD,143000,US,0,US,M
2023,SE,FT,Research Engineer,155850,USD,155850,US,0,US,M
2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2022,SE,FT,Data Analyst,119000,USD,119000,US,0,US,M
2023,SE,FT,Data Engineer,199000,USD,199000,US,0,US,M
2022,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Engineer,167500,USD,167500,US,0,US,M
2022,MI,FT,Data Analyst,60000,USD,60000,US,100,US,M
2023,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S
2022,SE,FT,Data Specialist,148700,USD,148700,US,100,US,L
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M
2023,SE,FT,Data Analyst,185000,USD,185000,US,100,US,M
2023,SE,FT,Data Scientist,183000,USD,183000,US,100,US,M
2022,SE,FT,Data Engineer,126000,USD,126000,US,100,US,M
2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
2022,SE,FT,Analytics Engineer,170000,USD,170000,US,100,US,M
2022,MI,FT,Business Data Analyst,150000,USD,150000,US,100,US,L
2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,30469,TN,100,CZ,M
2022,MI,FT,Research Scientist,145000,USD,145000,US,50,US,L
2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
2023,SE,FT,Data Engineer,168400,USD,168400,US,0,US,M
2022,EN,FT,Data Analyst,50000,USD,50000,US,50,US,L
2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M
2023,SE,FT,Data Architect,92000,USD,92000,GB,100,GB,M
2022,SE,FT,Data Scientist,350000,USD,350000,US,100,US,M
2022,SE,FT,Data Specialist,110000,USD,110000,US,0,US,M
2023,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Data Analyst,95000,USD,95000,US,100,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M
2023,MI,FT,Insight Analyst,35000,GBP,42533,GB,0,GB,M
2021,SE,FT,Data Engineer,150000,USD,150000,US,0,US,L
