"","Sexo","Edad","Universidad","Plataformas_2019","Time_service19","Netflix_2019","Youtube_2019","Youtube_p_2019","Movistar_play_2019","Zoom_2019","HBO_2019","Amazon_p_2019","Twitch_2019","Disney_plus_2019","Fb_gaming_2019","Claro_video_2019","Starplus_2019","Discord_2019","Crunchyroll_2019","Spotify_2019","Foxsport_2019","Hulu_2019","DirecTVgo_2019","AmericaTVgo_2019","Contenido","Plataforma19","Precio_2019","Nueva_plat_2020","Device","Netflix_2020","Youtube_2020","Youtube_p_2020","Movistar_play_2020","Zoom_2020","HBO_2020","Amazon_p_2020","Twitch_2020","Disney_plus_2020","Fb_gaming_2020","Claro_video_2020","Starplus_2020","Discord_2020","Crunchyroll_2020","Spotify_2020","Foxsport_2020","Hulu_2020","DirecTVgo_2020","AmericaTVgo_2020","Plataforma2020","Precio_2020","Time_service20","Cine_a_stream","Traslado_plat"
"11","Masculino",20,"UCSUR","Netflix, Youtube, Youtube premium, Discord, Crunchyroll, Spotify",180,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,60,60,NA,NA,NA,NA,"Series","Grupal",50,"Zoom, HBO, Amazon Prime Video, Disney plus","Computadora",60,60,NA,NA,60,45,45,20,45,NA,NA,NA,60,60,60,NA,NA,NA,NA,"Grupal",80,240,6,7
"12","Femenino",19,"UL","Netflix, Youtube, Spotify",240,300,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Series","Grupal",45,"Zoom, Amazon Prime Video, Twitch, Discord, Crunchyroll","Computadora",240,180,NA,NA,300,NA,120,NA,NA,NA,NA,NA,240,180,180,NA,NA,NA,NA,"Personal",50,480,2,6
"13","Femenino",19,"PUCP","Netflix, Youtube, Spotify",240,60,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",60,"Netflix, Youtube, Zoom, Disney plus, Discord, Spotify","Computadora",60,45,NA,NA,300,NA,NA,NA,45,NA,NA,NA,20,NA,45,NA,NA,NA,NA,"Grupal",80,60,10,9
"14","Masculino",19,"USMP","Netflix, Youtube, Movistar Play, Zoom, Twitch, Facebook Gaming, Discord, Spotify",420,45,20,NA,45,45,NA,NA,20,NA,20,NA,NA,NA,NA,45,NA,NA,NA,NA,"Series","Personal",200,"Disney plus","Celular",45,20,NA,60,300,NA,NA,45,45,20,NA,NA,45,NA,45,NA,NA,NA,NA,"Personal",200,240,8,7
"15","Femenino",19,"UL","Netflix",240,480,20,420,480,480,420,480,420,540,8,480,360,480,360,480,480,480,360,540,"Series","Personal",30,"Disney plus, Discord","Celular",60,45,45,45,NA,NA,20,45,NA,45,45,45,NA,45,45,45,NA,45,45,"Personal",30,360,7,8
"16","Femenino",19,"UPC","Netflix, Youtube, Zoom, HBO, Amazon Prime Video, Twitch, Facebook Gaming, Star Plus, Discord, Spotify, America TV go",240,360,360,NA,NA,360,360,360,360,20,6,NA,360,360,NA,360,60,NA,NA,360,"Series","Grupal",60,"NU","Televisión",300,300,NA,NA,60,20,300,300,20,5,NA,300,300,NA,300,45,NA,NA,300,"Grupal",60,360,6,7
"17","Femenino",18,"UTP","Youtube, Spotify",480,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"Grupal",80,"Netflix","Televisión",20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Grupal",90,60,6,6
"18","Femenino",19,"PUCP","Netflix, Youtube, Spotify",180,240,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"Series","Personal",35,"Zoom, Discord","Computadora",240,120,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,120,NA,120,NA,NA,NA,NA,"Personal",35,180,5,7
"19","Femenino",22,"UTEC","Netflix, Youtube, Youtube premium, Movistar Play, Zoom, Claro Video, Discord, Spotify, Direct tv go, America TV go",540,120,180,120,120,540,NA,NA,NA,NA,NA,60,NA,45,45,60,NA,NA,45,45,"Series","Personal",165,"NU","Computadora",45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,"Personal",80,240,9,9
"20","Femenino",19,"UPN","Netflix, Youtube premium",300,60,180,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",40,"Amazon Prime Video, Discord","Celular",120,120,120,NA,20,NA,20,NA,NA,NA,NA,NA,120,45,45,45,45,45,45,"Personal",40,180,5,6
"21","Masculino",20,"UCV","Netflix, Youtube",180,60,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Personal",23,"Youtube, Crunchyroll","Celular",NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"Personal",14,540,10,8
"22","Femenino",19,"USMP","Netflix, Youtube",240,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",40,"Netflix, Youtube, Movistar Play, Zoom, Twitch, Discord, Spotify","Celular",60,60,NA,60,360,NA,NA,60,NA,NA,NA,NA,120,NA,240,NA,NA,NA,NA,"Grupal",40,360,6,3
"23","Femenino",19,"UTP","Netflix, Youtube, Movistar Play, Zoom, HBO, Amazon Prime Video, Twitch, Disney plus, Facebook Gaming, Claro Video, Discord, Spotify, Fox Sport, Direct tv go",60,20,20,NA,NA,45,20,45,45,45,NA,NA,NA,45,NA,45,NA,NA,NA,NA,"Documentales","Grupal",NA,"HBO, Amazon Prime Video, Disney plus, Discord","Computadora",20,20,NA,NA,45,20,20,45,45,NA,NA,NA,45,NA,45,NA,NA,NA,NA,"Grupal",NA,480,10,10
"24","Masculino",19,"PUCP","Netflix, Youtube, Movistar Play, Zoom, HBO, Amazon Prime Video, Twitch, Disney plus, Discord, Spotify, Fox Sport, Direct tv go",180,45,20,NA,20,120,20,20,20,NA,NA,NA,NA,20,NA,45,20,NA,20,NA,"Series","Personal",90,"Netflix, Youtube, Movistar Play, Zoom, HBO, Amazon Prime Video, Twitch, Discord, Spotify, Direct tv go","Celular",20,20,NA,20,120,20,20,20,NA,NA,NA,NA,45,NA,45,NA,NA,20,NA,"Personal",100,240,8,7
"25","Femenino",19,"UTEC","Netflix, Youtube, Spotify",480,240,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Series","Grupal",NA,"Netflix, Youtube, Zoom","Computadora",120,180,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",NA,180,4,8
"26","Femenino",24,"UTEC","Movistar Play, Disney plus, Facebook Gaming, Discord, Hulu",240,20,20,45,45,45,45,45,20,45,45,20,20,20,20,20,45,60,20,45,"Documentales","Grupal",600,"Netflix, Youtube premium, HBO, Twitch, Claro Video, Hulu","Celular",20,20,20,45,60,45,45,60,60,45,60,60,45,45,45,60,45,45,60,"Personal",468,420,8,7
"27","Femenino",18,NA,"Netflix, Youtube, Youtube premium, Zoom, Amazon Prime Video, Discord, Spotify",180,45,45,45,NA,45,NA,45,NA,NA,NA,NA,NA,45,NA,60,NA,NA,NA,NA,"Películas","Grupal",50,"Netflix, Youtube, Youtube premium, Zoom, Discord, Spotify","Celular",45,45,45,NA,45,NA,45,NA,NA,NA,NA,NA,45,NA,45,NA,NA,NA,NA,"Grupal",50,180,3,2
"28","Masculino",24,"PUCP","Crunchyroll",120,20,20,NA,20,45,NA,NA,NA,NA,NA,NA,NA,NA,45,45,NA,45,45,NA,"Series","Personal",25,"NU","Celular",45,20,NA,45,45,NA,NA,NA,NA,NA,NA,NA,NA,45,45,NA,45,45,NA,"Grupal",15,120,7,7
"29","Femenino",19,"UPN","Netflix, Youtube, Zoom",120,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",25,"Disney plus","Celular",NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",10,60,10,8
"30","Masculino",19,"UPC","Netflix, Youtube, Twitch, Discord, Spotify",60,120,120,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,240,NA,300,NA,NA,NA,NA,"Stream","Personal",40,"Disney plus","Televisión",120,60,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,180,NA,240,NA,NA,NA,NA,"Personal",60,240,10,9
"31","Masculino",19,"UPC","Netflix, Youtube, Discord",360,60,480,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"Películas","Grupal",20,"Disney plus","Celular",180,540,NA,NA,NA,NA,NA,45,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",50,540,9,9
"32","Femenino",19,"UTEC","Youtube, Zoom, Discord, Spotify",540,NA,60,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,20,NA,60,NA,NA,NA,NA,"Series","Personal",NA,"Disney plus","Celular",NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",10,240,8,7
"33","Masculino",19,"UPC","Netflix, Youtube, Twitch, Facebook Gaming, Discord, Spotify",180,120,180,NA,NA,NA,NA,NA,20,NA,20,NA,NA,180,NA,45,NA,NA,NA,NA,"Series","Grupal",40,"NU","Celular",240,240,NA,NA,120,NA,NA,60,NA,2,NA,NA,240,NA,120,NA,NA,NA,NA,"Grupal",40,420,1,1
"34","Masculino",21,"UL","Netflix, Youtube, Discord, Spotify",120,60,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"Series","Grupal",40,"Zoom, Twitch","Celular",120,120,NA,NA,60,NA,NA,60,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"Grupal",40,180,10,6
"35","Masculino",20,"CNM","Netflix, Twitch, Discord, Spotify",180,360,120,NA,NA,NA,120,240,480,NA,NA,NA,NA,300,NA,540,NA,NA,240,NA,"Series","Grupal",100,"NU","Computadora",420,360,NA,180,240,420,360,540,420,NA,NA,NA,300,NA,540,NA,NA,240,NA,"Grupal",170,420,10,9
"36","Femenino",19,"PUCP","Netflix, Youtube, Zoom, Disney plus, Spotify",300,60,60,NA,NA,60,NA,NA,NA,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Películas","Grupal",25,"Amazon Prime Video","Televisión",60,60,NA,NA,60,NA,60,NA,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Grupal",25,540,10,2
"37","Masculino",19,"UPN","Netflix, Youtube, Movistar Play, Amazon Prime Video, Discord, Spotify, America TV go",420,60,20,NA,20,NA,NA,60,NA,NA,NA,NA,NA,120,NA,120,NA,NA,NA,20,"Series","Personal",45,"HBO, Twitch, Disney plus","Celular",60,45,NA,20,NA,60,60,20,60,NA,NA,NA,120,NA,120,NA,NA,NA,20,"Personal",45,120,4,1
"38","Masculino",20,"UTEC","Netflix, Youtube, Disney plus",240,180,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Películas","Personal",45,"Netflix, Youtube, Disney plus","Computadora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",45,360,1,1
"39","Masculino",19,"UPC","Netflix, Youtube",180,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",45,"Netflix, Youtube, Amazon Prime Video, Spotify","Celular",60,60,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Grupal",82,240,10,10
"40","Femenino",22,"UTEC","Netflix, Youtube, Zoom, Spotify",120,180,120,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"Series","Grupal",10,"NU","Computadora",180,60,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Grupal",10,240,5,3
"41","Femenino",19,"UTEC","Netflix, Youtube, Movistar Play, Claro Video, Spotify, America TV go",480,60,20,NA,20,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,45,NA,NA,NA,20,"Películas","Personal",50,"HBO, Amazon Prime Video, Disney plus, Discord, Direct tv go","Televisión",60,20,NA,NA,240,60,60,NA,60,NA,NA,NA,45,NA,45,NA,NA,60,NA,"Personal",180,540,10,9
"42","Masculino",19,"UCV","Netflix, Youtube premium, Movistar Play, Zoom, Amazon Prime Video, Disney plus, Spotify, Direct tv go, America TV go",240,45,20,45,NA,45,NA,45,NA,45,NA,NA,NA,NA,NA,20,NA,NA,20,20,"Series","Personal",120,"Amazon Prime Video","Televisión",45,NA,20,NA,20,NA,45,NA,20,NA,NA,NA,NA,NA,20,NA,NA,20,20,"Personal",120,360,10,6
"43","Femenino",19,"UPN","Netflix, Youtube, Spotify",120,360,240,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,"Series","Grupal",14,"Zoom, Discord","Computadora",360,240,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,"Grupal",114,300,2,3
"44","Masculino",19,"UPC","Netflix, Youtube, HBO, Discord, Crunchyroll, Spotify",180,45,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,20,20,180,NA,NA,NA,NA,"Series","Personal",50,"Youtube premium, Zoom, Amazon Prime Video, Twitch, Disney plus","Computadora",120,NA,60,NA,60,60,60,20,60,NA,NA,NA,120,60,NA,NA,NA,NA,NA,"Personal",100,480,10,5
"45","Masculino",18,"UTEC","Netflix, Youtube, Spotify",420,60,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Series","Personal",15,"Zoom, Twitch, Discord","Computadora",NA,NA,NA,NA,180,NA,NA,120,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,"Grupal",NA,240,8,4
"46","Femenino",19,"PUCP","Youtube, Youtube premium, Zoom, Spotify",420,180,180,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,45,NA,45,NA,NA,NA,NA,"Series","Personal",36,"NU","Celular",240,120,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Personal",36,540,1,4
"47","Masculino",23,"UTEC","Netflix",120,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animes","Personal",10,"Netflix, HBO, Disney plus, Crunchyroll","Celular",60,NA,NA,NA,NA,120,NA,NA,120,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,"Personal",25,300,9,8
"48","Femenino",19,"UTEC","Netflix, Youtube, Discord, Spotify",300,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,45,NA,NA,NA,NA,"Películas","Grupal",55,"Zoom, Amazon Prime Video","Computadora",60,60,NA,NA,360,45,45,NA,NA,NA,NA,NA,45,NA,45,NA,NA,NA,NA,"Grupal",50,120,8,9
"49","Masculino",19,"UL","Netflix, Youtube, Fox Sport",420,60,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,"Series","Personal",25,"Disney plus, Discord","Televisión",120,480,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,45,NA,NA,180,NA,NA,NA,"Personal",26,300,9,8
"50","Femenino",19,"USIL","Youtube premium, Twitch, Spotify, America TV go",360,45,NA,45,NA,20,45,20,20,NA,45,45,45,20,20,20,20,45,NA,45,"Series","Personal",30,"Netflix","Televisión",45,45,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,45,NA,20,NA,NA,NA,NA,"Personal",30,360,5,6
"51","Femenino",19,"UTEC","Netflix, Youtube, Spotify",420,120,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Series","Grupal",20,"Zoom","Computadora",180,60,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Grupal",40,360,1,1
"52","Masculino",19,"UNAC","Netflix, Youtube, Movistar Play, Twitch, Spotify",540,120,180,20,120,60,NA,NA,45,NA,NA,NA,60,NA,180,60,NA,NA,NA,NA,"Series","Personal",20,"NU","Televisión",180,120,NA,60,480,NA,NA,45,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"Personal",20,180,10,6
"53","Masculino",19,"PUCP","Netflix, Youtube, Twitch, Discord, Crunchyroll",180,120,300,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,300,20,NA,NA,NA,NA,NA,"Series","Grupal",25,"Zoom","Celular",180,180,NA,NA,240,NA,NA,45,NA,NA,NA,NA,420,20,NA,NA,NA,NA,NA,"Grupal",25,480,8,10
"54","Masculino",19,"UPN","Netflix, Youtube, Twitch, Discord, Spotify",240,540,540,NA,NA,NA,NA,NA,540,NA,NA,NA,NA,540,NA,540,NA,NA,NA,NA,"Series","Personal",120,"Netflix, Youtube, Youtube premium, Movistar Play, Twitch, Discord, Spotify","Computadora",540,540,540,540,NA,NA,NA,540,NA,NA,NA,NA,540,NA,540,NA,NA,NA,NA,"Grupal",150,540,8,9
"55","Masculino",28,"UTEC","Netflix, Youtube, HBO, Twitch, Facebook Gaming, Discord, Crunchyroll, Spotify",360,20,60,NA,NA,NA,20,NA,20,NA,20,NA,NA,20,20,180,NA,NA,NA,NA,"Series","Grupal",45,"NU","Celular",120,120,NA,NA,NA,NA,NA,45,NA,2,NA,NA,180,45,180,NA,NA,NA,NA,"Grupal",45,180,8,6
"56","Masculino",19,"UPC","Netflix, Youtube, Zoom, Spotify",120,45,45,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,NA,"Series","Grupal",15,"NU","Celular",45,45,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,20,NA,NA,NA,"Grupal",15,360,8,6
"57","Masculino",19,"UDEP","Netflix, Youtube, Spotify",240,120,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,"Películas","Personal",NA,"Netflix, Youtube, Movistar Play, Disney plus, Discord, Spotify","Televisión",240,300,NA,240,480,NA,NA,NA,180,NA,NA,NA,120,NA,180,NA,NA,NA,NA,"Grupal",30,300,8,6
"58","Femenino",19,"UNMSM","Netflix, Youtube, Zoom, HBO, Disney plus, Spotify, Direct tv go",180,120,60,NA,60,60,60,NA,NA,60,NA,NA,NA,NA,NA,120,60,NA,120,NA,"Películas","Grupal",40,"Netflix, Youtube, Zoom, Spotify, Direct tv go","Televisión",120,60,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,60,NA,"Grupal",50,120,8,5
"59","Femenino",19,"PUCP","Netflix, Youtube, Movistar Play, Twitch, Discord, Spotify",180,60,NA,NA,60,NA,NA,NA,20,NA,NA,NA,NA,45,NA,60,NA,NA,NA,NA,"Películas","Grupal",NA,"Zoom, Disney plus","Computadora",120,240,NA,45,240,NA,NA,45,60,NA,NA,NA,60,NA,60,NA,NA,NA,NA,"Grupal",5,420,4,7
"60","Femenino",20,"UTEC","Netflix, Youtube, Movistar Play, Amazon Prime Video, Disney plus, Discord, America TV go",420,120,45,45,120,120,NA,45,NA,45,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Series","Grupal",45,"Disney plus, Spotify","Celular",45,120,NA,45,480,NA,45,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",60,300,7,10
"61","Femenino",16,NA,"Netflix, Youtube",120,300,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Personal",12,"Zoom, Amazon Prime Video, Twitch, Discord","Computadora",480,240,NA,NA,300,NA,180,60,NA,NA,NA,NA,20,NA,60,NA,NA,NA,NA,"Grupal",40,480,7,6
"62","Masculino",23,"UTEC","Netflix, Youtube, Spotify",120,240,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,"Series","Grupal",50,"Netflix, Youtube, Youtube premium, Movistar Play, Zoom, Disney plus, Discord, Spotify","Televisión",120,300,300,NA,480,NA,NA,NA,300,NA,NA,NA,300,180,180,NA,NA,NA,NA,"Grupal",60,540,10,8
"63","Masculino",19,NA,"Netflix, Youtube, Zoom, HBO, Twitch, Disney plus, Discord, Spotify, Fox Sport",180,180,180,NA,NA,240,120,NA,60,60,NA,NA,NA,45,NA,20,45,NA,NA,NA,"Películas","Grupal",NA,"NU","Celular",120,180,NA,NA,300,45,NA,20,120,NA,NA,NA,20,NA,45,20,NA,NA,NA,"Grupal",NA,180,10,6
"64","Masculino",22,"UTEC","Netflix, Youtube, Spotify, Direct tv go",480,360,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,120,NA,"Series","Grupal",10,"Zoom, Amazon Prime Video, Disney plus, Discord","Celular",300,300,NA,240,420,NA,300,NA,300,NA,NA,NA,180,NA,420,NA,NA,300,NA,"Grupal",15,300,7,8
"65","Masculino",19,"PUCP","Netflix, Youtube, Spotify",180,45,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Series","Personal",20,"Zoom, Twitch, Disney plus, Facebook Gaming, Discord","Celular",20,120,NA,NA,240,NA,NA,240,45,1,NA,NA,60,NA,20,NA,NA,NA,NA,"Personal",30,240,2,2
"66","Femenino",19,"UPC","Netflix, Youtube, Zoom",360,60,240,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Películas","Personal",35,"Netflix, Youtube, Zoom, HBO, Twitch, Disney plus, Spotify","Celular",60,240,NA,NA,60,45,NA,60,45,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Grupal",40,180,9,8
"67","Femenino",22,"UPC","Netflix, Youtube, Spotify",60,120,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"Películas","Grupal",50,"Zoom, Disney plus","Computadora",NA,NA,NA,NA,240,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",40,240,10,10
"68","Femenino",19,"UPC","Netflix",240,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Personal",35,"Disney plus","Computadora",300,240,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",10,480,10,10
"69","Masculino",19,"UPN","Netflix",420,240,60,NA,NA,NA,60,60,60,NA,NA,NA,NA,60,NA,120,NA,NA,NA,NA,"Series","Personal",39,"NU","Celular",60,60,NA,NA,60,60,60,60,NA,NA,NA,NA,60,NA,180,NA,NA,NA,NA,"Personal",39,540,9,9
