Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;REAL/DÓLAR
2017;Octubre;3.67;0.68;0.65;1.02;0.77;0.16;0.14;0.92;0.6;3.2724
2017;Setiembre;3.6;0.69;0.63;1.05;0.83;0.15;0.12;0.92;0.61;3.1614
2017;Agosto;3.61;0.71;0.64;1;0.89;0.14;0.12;0.95;0.62;3.1474
2017;Julio;3.51;0.69;0.66;1;0.8;0.13;0.11;0.91;0.6;3.1259
2017;Junio;3.2;0.69;0.69;0.94;0.86;0.14;0.11;0.89;0.58;3.3063
2017;Mayo;3.5;0.71;0.69;1.02;0.88;0.14;0.12;0.94;0.6;3.2262
2017;Abril;3.37;0.78;0.79;1.02;0.9;0.14;0.15;0.95;0.61;3.1758
2017;Marzo;3.77;0.85;0.81;1.08;0.91;0.15;0.18;0.96;0.62;3.123
2017;Febrero;3.69;0.75;0.71;1.08;0.91;0.16;0.19;0.98;0.59;3.1086
2017;Enero;3.56;0.75;0.72;1.02;0.88;0.16;0.18;0.99;0.58;3.1507
2016;Diciembre;3.17;0.81;0.75;0.97;0.85;0.2;0.19;0.96;0.57;3.2532
2016;Noviembre;3.25;0.78;0.74;1;0.85;0.24;0.19;0.94;0.58;3.3827
2016;Octubre;3.64;0.75;0.73;1.04;0.88;0.26;0.21;0.99;0.61;3.1878
2016;Setiembre;3.45;0.75;0.72;1.05;0.87;0.26;0.2;0.97;0.61;3.2589
2016;Agosto;3.47;0.81;0.75;1.03;0.88;0.27;0.24;0.97;0.65;3.2266
2016;Julio;3.46;0.82;0.79;0.99;0.86;0.26;0.21;0.98;0.64;3.2471
2016;Junio;3.28;0.91;0.87;0.93;0.83;0.27;0.23;0.94;0.6;3.2126
2016;Mayo;3.08;0.94;0.93;0.86;0.79;0.25;0.22;0.88;0.55;3.6105
2016;Abril;2.9;0.95;0.9;0.84;0.79;0.21;0.2;0.86;0.55;3.4352
2016;Marzo;2.97;0.91;0.87;0.85;0.75;0.19;0.19;0.83;0.53;3.5925
2016;Febrero;2.8;0.83;0.8;0.74;0.69;0.17;0.17;0.78;0.51;4.0156
2016;Enero;2.78;0.8;0.77;0.74;0.67;0.15;0.15;0.75;0.5;3.9973
2015;Diciembre;2.79;0.76;0.75;0.75;0.67;0.16;0.13;0.76;0.53;3.9593
2015;Noviembre;2.78;0.78;0.78;0.76;;0.15;0.13;0.78;0.53;3.8675
2015;Octubre;2.69;0.73;0.74;0.73;;0.14;0.12;0.72;0.46;3.8562
2015;Setiembre;2.73;0.75;0.74;0.7;;0.13;;0.74;0.48;3.9478
2015;Agosto;2.9;0.71;0.67;0.76;;0.14;;0.8;0.56;3.6187
2015;Julio;3.44;0.67;0.62;0.82;;0.14;;0.88;0.59;3.4204
2015;Junio;3.28;0.65;0.62;0.84;;0.14;;0.9;0.66;3.102
2015;Mayo;3.3;0.7;0.68;0.89;;0.15;;0.93;0.65;3.1788
2015;Abril;3.43;0.76;0.74;0.89;;0.15;;0.9;0.6;3.014
2015;Marzo;2.99;0.85;0.77;0.87;;0.15;;0.9;0.61;3.1947
2015;Febrero;3.38;0.77;0.69;0.98;;0.16;;1.01;0.68;2.838
2015;Enero;3.71;0.68;0.62;1.04;;0.18;;1.09;0.72;2.6814
2014;Diciembre;3.43;0.71;0.63;1.01;;0.18;;1.06;0.79;2.657
2014;Noviembre;3.76;0.72;0.64;1.04;;0.18;;1.08;0.76;2.5651
2014;Octubre;3.6;0.72;0.62;1.07;;0.18;;1.15;0.79;2.4779
2014;Setiembre;3.94;0.74;0.66;1.11;;0.18;;1.2;0.86;2.4449
2014;Agosto;4.04;0.74;0.7;1.13;;0.2;;1.21;0.9;2.2355
2014;Julio;4.08;0.78;0.73;1.12;;0.2;;1.26;0.92;2.2634
2014;Junio;4.19;0.82;0.78;1.13;;0.2;;1.24;0.89;2.2137
2014;Mayo;4.02;0.84;0.8;1.13;;0.21;;1.28;0.92;2.2403
2014;Abril;4.03;0.84;0.79;1.13;;0.21;;1.25;0.89;2.232
2014;Marzo;3.96;0.83;0.79;1.04;;0.2;;1.22;0.88;2.2714
2014;Febrero;3.59;0.84;0.76;1.04;;0.19;;1.15;0.85;2.3381
2014;Enero;3.78;0.77;0.72;0.96;;0.19;;1.13;0.86;2.4122
2013;Diciembre;3.64;0.71;0.68;1.02;;;;1.2;0.84;2.3618
2013;Noviembre;3.73;0.74;0.7;1.07;;;;1.25;0.85;2.3355
2013;Octubre;3.98;0.74;0.69;1.11;;;;1.28;0.88;2.239
2013;Setiembre;3.85;0.74;0.7;1.08;;;;1.18;0.88;2.2156
2013;Agosto;3.58;0.73;0.72;1.03;;;;1.09;0.79;2.3859
2013;Julio;3.69;0.75;0.78;1.03;;;;1.12;0.78;2.2764
2013;Junio;3.86;0.75;0.77;1.1;;;;1.21;0.79;2.2315
2013;Mayo;4.05;0.77;0.77;1.17;;;;1.28;0.8;2.1418
2013;Abril;4.06;0.8;0.8;1.21;;;;1.32;0.82;2.001
2013;Marzo;4.08;0.9;0.84;1.24;;;;1.26;0.84;2.0235
2013;Febrero;4;0.87;0.78;1.26;;;;1.25;0.82;1.9795
2013;Enero;3.82;0.79;0.77;1.26;;;;1.16;0.75;1.9902
2012;Diciembre;3.7;0.79;0.76;1.19;;;;1.1;0.69;2.0475
2012;Noviembre;3.56;0.82;0.77;1.24;;;;1.04;0.8;2.135
2012;Octubre;3.71;0.85;0.82;1.23;;;;1.02;0.76;2.0306
2012;Setiembre;3.75;0.85;0.82;1.11;;;;1.03;0.74;2.0255
2012;Agosto;3.63;0.83;0.82;1.04;;;;1.04;0.66;2.028
2012;Julio;3.51;0.88;0.83;0.98;;;;0.99;0.66;2.0563
2012;Junio;3.47;0.88;0.86;0.95;;;;1.01;0.67;2.0092
2012;Mayo;3.56;0.89;0.86;0.98;;;;1.02;0.63;2.0221
2012;Abril;3.93;0.93;0.89;1.02;;;;1.08;0.68;1.908
2012;Marzo;3.88;;;1.08;;;;1.15;0.68;1.8257
2012;Febrero;4.18;;;1.1;;;;1.17;0.71;1.7167
2012;Enero;3.94;;;1.05;;;;1.16;0.75;1.7463
2011;Diciembre;3.89;;;1.03;;;;1.14;0.66;1.8627
2011;Noviembre;3.7;;;1.07;;;;1.18;0.74;1.8078
2011;Octubre;3.71;0.99;0.95;1.03;;;;1.17;0.69;1.7167
2011;Setiembre;3.87;1.04;0.96;1.06;;;;1.19;0.7;1.8785
2011;Agosto;4.11;1.01;0.95;1.16;;;;1.27;0.79;1.5887
2011;Julio;4.41;1.02;0.99;1.16;;;;1.31;0.84;1.5485
2011;Junio;4.08;1.07;1.02;1.08;;;;1.27;0.78;1.5617
2011;Mayo;4.11;1.09;1.04;1.13;;;;1.3;0.85;1.5795
2011;Abril;4.16;1.08;1.03;1.16;;;;1.36;0.83;1.5765
2011;Marzo;3.93;1.17;1.12;1.13;;;;1.24;0.8;1.6315
2011;Febrero;4.08;1.12;1.07;1.16;;;;1.24;0.82;1.6635
2011;Enero;4.14;1.06;1.02;1.17;;;;1.19;0.77;1.667
2010;Diciembre;3.89;1.1;1.02;1.12;;;;1.17;0.8;1.6593
2010;Noviembre;4.01;1.17;1.09;1.16;;;;1.1;0.77;1.7145
2010;Octubre;4.04;1.13;1.1;1.17;;;;1.13;0.82;1.7007
2010;Setiembre;3.82;1.04;1.02;1.17;;;;1.07;0.73;1.6871
2010;Agosto;3.65;0.98;0.93;1.17;;;;0.96;0.62;1.7548
2010;Julio;3.64;1.02;0.94;1.13;;;;0.96;0.64;1.754
2010;Junio;3.56;1.15;1.07;1.12;;;;0.95;0.59;1.8039
2010;Mayo;3.2;1.13;1.09;1.16;;;;0.94;0.6;1.82
2010;Abril;3.54;1.08;1.07;1.15;;;;1;0.62;1.7375
2010;Marzo;3.09;1.04;1.06;1.15;;;;0.96;0.62;1.7836
2010;Febrero;3.28;0.97;0.99;1.31;;;;0.96;0.59;1.8072
2010;Enero;2.93;0.98;0.98;1.27;;;;0.96;0.63;1.885
2009;Diciembre;3.23;0.95;0.96;1.12;;;;0.97;0.61;1.743
2009;Noviembre;3.1;0.9;0.92;1.22;;;;1.06;0.63;1.7555
2009;Octubre;3.14;0.77;0.78;1.24;;;;1;0.66;1.7635
2009;Setiembre;3.07;0.81;0.8;1.19;;;;1.01;0.64;1.7715
2009;Agosto;3;0.8;0.79;1.17;;;;1.01;0.62;1.8802
2009;Julio;3.23;0.75;0.75;1.1;;;;0.99;0.65;1.865
2009;Junio;2.55;0.75;0.75;1.09;;;;0.94;0.62;1.9525
2009;Mayo;2.79;0.76;0.73;1.06;;;;0.9;0.56;1.9715
2009;Abril;2.41;0.75;0.74;1.05;;;;0.86;0.53;2.1898
2009;Marzo;2.35;0.72;0.71;0.99;;;;0.78;0.57;2.3169
2009;Febrero;2.61;0.64;0.65;1;;;;0.87;0.53;2.3914
2009;Enero;2.39;0.63;0.63;0.96;;;;0.83;0.54;2.32
2008;Diciembre;2.03;0.6;0.6;0.93;;;;0.79;0.57;2.3145
2008;Noviembre;2.16;0.64;0.62;1.03;;;;0.84;0.69;2.3035
2008;Octubre;2.59;0.66;0.66;1.05;;;;0.88;0.75;2.1642
2008;Setiembre;3.16;0.68;0.66;1.35;;;;1.12;0.98;1.9066
2008;Agosto;3.66;0.69;0.67;1.46;;;;1.33;1.08;1.63
2008;Julio;3.28;0.63;0.63;1.5;;;;1.38;1.1;1.567
2008;Junio;3.1;0.66;0.7;1.45;;;;1.43;1.13;1.6041
2008;Mayo;3.39;0.7;0.67;1.22;;;;1.33;1;1.6265
2008;Abril;2.82;0.74;0.66;1.08;;;;1.17;0.82;1.6622
2008;Marzo;2.57;0.66;0.59;1;;;;1.05;0.77;1.7564
2008;Febrero;2.59;0.67;0.58;1.04;;;;1.02;0.72;1.6914
2008;Enero;2.7;0.67;0.62;1.09;;;;0.93;0.65;1.7588
2007;Diciembre;2.53;0.64;0.62;0.96;;;;0.86;0.65;1.78
2007;Noviembre;2.41;0.63;0.61;0.93;;;;0.9;0.66;1.7982
2007;Octubre;2.46;0.63;0.6;0.89;;;;0.87;0.61;1.7368
2007;Setiembre;2.46;0.58;0.54;0.92;;;;0.83;0.57;1.833
2007;Agosto;2.19;0.57;0.5;0.84;;;;0.79;0.55;1.9681
2007;Julio;2.33;0.57;0.47;0.87;;;;0.82;0.57;1.882
2007;Junio;1.98;0.58;0.48;0.87;;;;0.79;0.54;1.929
2007;Mayo;2.22;0.71;0.55;0.84;;;;0.76;0.52;1.9205
2007;Abril;1.82;0.75;0.68;0.84;;;;0.72;0.51;2.0348
2007;Marzo;1.78;0.71;0.64;0.81;;;;0.71;0.5;2.059
2007;Febrero;1.85;0.68;0.61;0.81;;;;0.72;0.52;2.1204
2007;Enero;1.79;0.61;0.56;0.8;;;;0.72;0.51;2.124
2006;Diciembre;1.86;0.58;0.5;0.8;;;;0.68;0.51;2.1365
2006;Noviembre;1.76;0.64;0.53;0.76;;;;0.67;0.5;2.165
2006;Octubre;1.77;0.74;0.67;0.75;;;;0.66;0.47;2.1428
2006;Setiembre;1.75;0.61;0.55;0.71;;;;0.62;0.46;2.1743
2006;Agosto;1.76;0.59;0.53;0.71;;;;0.65;0.44;2.1434
2006;Julio;1.74;0.65;0.56;0.71;;;;0.65;0.44;2.1775
2006;Junio;1.69;0.75;0.73;0.66;;;;0.59;0.39;2.1659
2006;Mayo;1.75;0.71;0.68;0.69;;;;0.61;0.4;2.3051
2006;Abril;1.79;0.64;0.58;0.71;;;;0.64;0.43;2.087
2006;Marzo;1.77;0.71;0.65;0.7;;;;0.65;0.41;2.164
2006;Febrero;1.85;0.71;0.7;0.7;;;;0.68;0.4;2.1235
2006;Enero;1.76;0.62;0.57;0.65;;;;0.63;0.38;2.212
2005;Diciembre;1.75;0.58;0.57;0.64;;;;0.62;;2.3383
2005;Noviembre;1.81;0.64;0.55;0.65;;;;0.63;;2.2035
2005;Octubre;1.86;0.57;0.54;0.63;;;;0.64;;2.2518
2005;Setiembre;1.83;0.51;0.44;0.63;;;;0.62;;2.2275
2005;Agosto;1.78;0.52;0.47;0.62;;;;0.59;;2.3555
2005;Julio;1.85;0.51;0.51;0.62;;;;0.61;;2.38
2005;Junio;1.82;0.51;0.5;0.64;;;;0.61;;2.3364
2005;Mayo;1.71;0.51;0.5;0.64;;;;0.62;;2.4095
2005;Abril;1.55;0.51;0.49;0.62;;;;0.59;;2.5282
2005;Marzo;1.48;0.5;0.48;0.59;;;;0.54;;2.68
2005;Febrero;1.54;0.47;0.45;0.63;;;;0.56;;2.5895
2005;Enero;1.49;0.47;0.46;0.59;;;;0.6;;2.6088
2004;Diciembre;1.47;0.47;0.45;0.63;;;;0.54;;2.656
2004;Noviembre;1.44;0.47;0.43;0.64;;;;0.54;;2.72
2004;Octubre;1.4;0.46;0.39;0.67;;;;0.56;;2.8592
2004;Setiembre;1.38;0.46;0.38;0.63;;;;0.56;;2.8595
2004;Agosto;1.33;0.44;0.42;0.63;;;;0.54;;2.927
2004;Julio;1.32;0.43;0.42;0.66;;;;0.54;;1.97
2004;Junio;1.28;0.44;0.38;0.66;;;;0.49;;3.086
2004;Mayo;1.23;0.43;0.35;0.66;;;;0.48;;1.97
2004;Abril;1.31;0.42;0.33;0.73;;;;0.51;;2.931
2004;Marzo;1.31;0.44;0.33;0.72;;;;0.51;;2.896
2004;Febrero;1.23;0.45;0.37;0.75;;;;0.51;;2.906
2004;Enero;1.33;0.44;0.37;0.77;;;;0.52;;2.9345
2003;Diciembre;1.3;0.42;0.36;0.72;;;;0.53;;2.8915
2003;Noviembre;1.3;0.42;0.38;0.69;;;;0.52;;2.9465
2003;Octubre;1.33;0.42;0.39;0.71;;;;0.54;;2.8665
2003;Setiembre;1.37;0.41;0.37;0.69;;;;0.53;;2.8925
2003;Agosto;1.33;0.4;0.34;0.66;;;;0.54;;2.9785
2003;Julio;1.39;0.41;0.36;0.68;;;;0.57;;2.9675
2003;Junio;1.39;0.41;0.35;0.67;;;;0.58;;2.837
2003;Mayo;1.35;0.43;0.36;0.65;;;;0.57;;2.9735
2003;Abril;1.28;0.44;0.37;0.55;;;;0.55;;2.911
2003;Marzo;1.16;0.44;0.41;0.48;;;;0.49;;3.364
2003;Febrero;1.06;0.44;0.39;0.47;;;;0.5;;3.57
2003;Enero;1.11;0.44;0.39;0.49;;;;0.53;;3.504
2002;Diciembre;1.05;0.44;0.41;0.47;;;;0.52;;3.54
2002;Noviembre;1.01;0.44;0.44;0.43;;;;0.5;;3.653
2002;Octubre;0.89;0.41;0.41;0.34;;;;0.39;;3.65
2002;Setiembre;0.96;0.42;0.39;0.37;;;;0.4;;3.76
2002;Agosto;0.96;0.41;0.39;0.37;;;;0.39;;3.0075
2002;Julio;0.95;0.42;0.4;0.39;;;;0.39;;3.46
2002;Junio;0.96;0.44;0.42;0.41;;;;0.41;;2.8175
2002;Mayo;1.05;0.47;0.45;0.43;;;;0.44;;2.518
2002;Abril;1.12;0.5;0.47;0.46;;;;0.48;;2.361
2002;Marzo;1.11;0.51;0.48;0.46;;;;0.46;;2.325
2002;Febrero;1.07;0.53;0.5;0.48;;;;0.45;;2.365
2002;Enero;1.09;0.52;0.51;0.49;;;;0.47;;2.413
2001;Diciembre;1.1;0.51;0.51;0.5;;;;0.48;;2.311
2001;Noviembre;1.02;0.51;0.5;0.47;;;;0.45;;2.495
2001;Octubre;0.95;0.51;0.49;0.41;;;;0.4;;2.696
2001;Setiembre;0.97;0.5;0.5;0.38;;;;0.41;;2.67
2001;Agosto;1.04;0.5;0.49;0.41;;;;0.43;;2.564
2001;Julio;0.97;0.5;0.5;0.41;;;;0.41;;2.473
2001;Junio;1.01;0.52;0.51;0.4;;;;0.4;;2.3105
2001;Mayo;0.96;0.52;0.52;0.41;;;;0.39;;2.381
2001;Abril;1;0.52;0.52;0.42;;;;0.4;;2.201
2001;Marzo;1.05;0.49;0.48;0.43;;;;0.41;;2.153
2001;Febrero;1.1;0.49;0.47;0.44;;;;0.41;;2.0463
2001;Enero;1.13;0.5;0.48;0.45;;;;0.43;;1.971
2000;Diciembre;1.22;0.51;0.49;0.43;;;;0.42;;1.95
2000;Noviembre;1.13;0.5;0.5;0.44;;;;0.45;;1.9795
2000;Octubre;1.17;0.5;0.49;0.46;;;;0.45;;1.9
2000;Setiembre;1.2;0.5;0.49;0.46;;;;0.47;;1.8435
2000;Agosto;1.33;0.49;0.47;0.48;;;;0.46;;1.8235
2000;Julio;1.22;0.47;0.47;0.48;;;;0.47;;1.7835
2000;Junio;1.22;0.46;0.45;0.47;;;;0.46;;1.807
2000;Mayo;1.2;0.45;0.45;0.48;;;;0.47;;1.824
2000;Abril;1.24;0.45;0.45;0.51;;;;0.49;;1.805
2000;Marzo;1.15;0.41;0.4;0.52;;;;0.49;;1.7395
2000;Febrero;1.13;0.41;0.39;0.55;;;;0.47;;1.768
2000;Enero;1.11;0.42;0.39;0.52;;;;0.49;;1.784
1999;Diciembre;;0.42;0.42;;;;;;;
1999;Noviembre;;0.41;0.39;;;;;;;
1999;Octubre;;;;;;;;;;
1999;Setiembre;;;;;;;;;;
1999;Agosto;;;;;;;;;;
1999;Julio;;;;;;;;;;
1999;Junio;;;;;;;;;;
1999;Mayo;;;;;;;;;;
1999;Abril;;;;;;;;;;
1999;Marzo;;;;;;;;;;
1999;Febrero;;;;;;;;;;
1999;Enero;;;;;;;;;;
1998;Diciembre;;;;;;;;;;
1998;Noviembre;;;;;;;;;;
1998;Octubre;;;;;;;;;;
1998;Setiembre;;;;;;;;;;
1998;Agosto;;;;;;;;;;
1998;Julio;;;;;;;;;;
1998;Junio;;;;;;;;;;
1998;Mayo;;;;;;;;;;
1998;Abril;;;;;;;;;;
1998;Marzo;;;;;;;;;;
1998;Febrero;;;;;;;;;;
1998;Enero;;;;;;;;;;
1997;Diciembre;;;;;;;;;;
1997;Noviembre;;;;;;;;;;
1997;Octubre;;;;;;;;;;
1997;Setiembre;;;;;;;;;;
1997;Agosto;;;;;;;;;;
1997;Julio;;;;;;;;;;
1997;Junio;;;;;;;;;;
1997;Mayo;;;;;;;;;;
1997;Abril;;;;;;;;;;
1997;Marzo;;;;;;;;;;
1997;Febrero;;;;;;;;;;
1997;Enero;;;;;;;;;;
1996;Diciembre;;;;;;;;;;
1996;Noviembre;;;;;;;;;;
1996;Octubre;;;;;;;;;;
1996;Setiembre;;;;;;;;;;
1996;Agosto;;;;;;;;;;
1996;Julio;;;;;;;;;;
1996;Junio;;;;;;;;;;
1996;Mayo;;;;;;;;;;
1996;Abril;;;;;;;;;;
1996;Marzo;;;;;;;;;;
1996;Febrero;;;;;;;;;;
1996;Enero;;;;;;;;;;
1995;Diciembre;;;;;;;;;;
1995;Noviembre;;;;;;;;;;
1995;Octubre;;;;;;;;;;
1995;Setiembre;;;;;;;;;;
1995;Agosto;;;;;;;;;;
1995;Julio;;;;;;;;;;
1995;Junio;;;;;;;;;;
1995;Mayo;;;;;;;;;;
1995;Abril;;;;;;;;;;
1995;Marzo;;;;;;;;;;
1995;Febrero;;;;;;;;;;
1995;Enero;;;;;;;;;;
