Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;DÓLAR/DÓLAR
2006;Setiembre;1.36;0.44;0.4;0.71;0.54;;;1.16;;1
2006;Agosto;1.3;0.36;0.33;0.71;0.58;;;1.2;;1
2006;Julio;1.36;0.31;0.25;0.71;0.55;;;1.21;;1
2006;Junio;1.3;0.22;0.23;0.71;0.55;;;1.2;;1
2006;Mayo;1.38;0.23;0.23;0.7;0.54;;;1.3;;1
2006;Abril;1.4;0.31;0.3;0.7;0.58;;;1.38;;1
2006;Marzo;1.36;0.5;0.45;0.74;0.59;;;1.34;;1
2006;Febrero;1.36;0.5;0.45;0.75;0.58;;;1.36;;1
2006;Enero;1.34;0.58;0.49;0.78;0.59;;;1.38;;1
2005;Diciembre;1.36;0.56;0.52;0.81;0.58;;;1.36;;1
2005;Noviembre;;0.53;0.51;0.82;0.59;;;1.36;;1
2005;Octubre;;0.55;0.5;0.81;0.58;;;1.34;;1
2005;Setiembre;;0.53;0.42;0.82;0.63;;;1.38;;1
2005;Agosto;;0.44;0.36;0.82;0.61;;;;;1
2005;Julio;;0.4;0.34;0.82;0.59;;;;;1
2005;Junio;;0.32;0.31;0.82;0.59;;;;;1
2005;Mayo;;0.41;0.39;0.82;0.62;;;;;1
2005;Abril;;0.45;0.43;0.81;0.68;;;;;1
2005;Marzo;;0.4;0.33;0.86;0.73;;;1.07;;1
2005;Febrero;;0.37;0.32;0.81;0.7;;;1.14;;1
2005;Enero;;0.29;0.23;0.81;0.65;;;1.13;;1
2004;Diciembre;;;;;;;;1.16;;1
2004;Noviembre;;;;;;;;1.19;;1
2004;Octubre;;;;;;;;1.25;;1
2004;Setiembre;;;;;;;;1.26;;1
2004;Agosto;;;;;;;;1.27;;1
2004;Julio;;;;;;;;1.16;;1
2004;Junio;;;;;;;;1.11;;1
2004;Mayo;;;;;;;;1.12;;1
2004;Abril;;;;;;;;1.15;;1
2004;Marzo;;;;;;;;1.08;;1
2004;Febrero;;;;;;;;1.06;;1
2004;Enero;;;;;;;;1.03;;1
2003;Diciembre;;;;;;;;1;;1
2003;Noviembre;;;;;;;;1.01;;1
2003;Octubre;;;;;;;;0.97;;1
2003;Setiembre;;;;;;;;0.95;;1
2003;Agosto;;;;;;;;0.93;;1
2003;Julio;;;;;;;;0.92;;1
2003;Junio;;;;;;;;1.01;;1
2003;Mayo;;;;;;;;0.97;;1
2003;Abril;;;;;;;;0.89;;1
2003;Marzo;;;;;;;;0.82;;1
2003;Febrero;;;;;;;;0.89;;1
2003;Enero;;;;;;;;0.85;;1
2002;Diciembre;;;;;;;;0.82;;1
2002;Noviembre;;;;;;;;0.86;;1
2002;Octubre;;;;;;;;0.94;;1
2002;Setiembre;;;;;;;;1.02;;1
2002;Agosto;;;;;;;;0.97;;1
2002;Julio;;;;;;;;0.94;;1
2002;Junio;;;;;;;;0.9;;1
2002;Mayo;;;;;;;;0.95;;1
2002;Abril;;;;;;;;1.05;;1
2002;Marzo;;;;;;;;1.08;;1
2002;Febrero;;;;;;;;1.08;;1
2002;Enero;;;;;;;;1.05;;1
2001;Diciembre;;;;;;;;0.99;;1
2001;Noviembre;;;;;;;;1.14;;1
2001;Octubre;;;;;;;;1.39;;1
2001;Setiembre;;;;;;;;1.32;;1
2001;Agosto;;;;;;;;1.05;;1
2001;Julio;;;;;;;;0.97;;1
2001;Junio;;;;;;;;0.93;;1
2001;Mayo;;;;;;;;0.82;;1
2001;Abril;;;;;;;;0.72;;1
2001;Marzo;;;;;;;;0.71;;1
2001;Febrero;;;;;;;;0.7;;1
2001;Enero;;;;;;;;0.73;;1
2000;Diciembre;;;;;;;;0.69;;1
2000;Noviembre;;;;;;;;0.69;;1
2000;Octubre;;;;;;;;0.74;;1
2000;Setiembre;;;;;;;;0.74;;1
2000;Agosto;;;;;;;;0.7;;1
2000;Julio;;;;;;;;0.65;;1
2000;Junio;;;;;;;;0.63;;1
2000;Mayo;;;;;;;;0.63;;1
2000;Abril;;;;;;;;0.62;;1
2000;Marzo;;;;;;;;0.61;;1
2000;Febrero;;;;;;;;0.6;;1
2000;Enero;;;;;;;;0.58;;1
1999;Diciembre;;;;;;;;0.57;;
1999;Noviembre;;;;;;;;0.56;;
1999;Octubre;;;;;;;;0.53;;
1999;Setiembre;;;;;;;;0.52;;
1999;Agosto;;;;;;;;0.54;;
1999;Julio;;;;;;;;0.54;;
1999;Junio;;;;;;;;0.53;;
1999;Mayo;;;;;;;;0.53;;
1999;Abril;;;;;;;;0.53;;
1999;Marzo;;;;;;;;0.53;;
1999;Febrero;;;;;;;;0.53;;
1999;Enero;;;;;;;;0.51;;
1998;Diciembre;;;;;;;;;;
1998;Noviembre;;;;;;;;;;
1998;Octubre;;;;;;;;;;
1998;Setiembre;;;;;;;;;;
1998;Agosto;;;;;;;;;;
1998;Julio;;;;;;;;;;
1998;Junio;;;;;;;;;;
1998;Mayo;;;;;;;;;;
1998;Abril;;;;;;;;;;
1998;Marzo;;;;;;;;;;
1998;Febrero;;;;;;;;;;
1998;Enero;;;;;;;;;;
1997;Diciembre;;;;;;;;;;
1997;Noviembre;;;;;;;;;;
1997;Octubre;;;;;;;;;;
1997;Setiembre;;;;;;;;;;
1997;Agosto;;;;;;;;;;
1997;Julio;;;;;;;;;;
1997;Junio;;;;;;;;;;
1997;Mayo;;;;;;;;;;
1997;Abril;;;;;;;;;;
1997;Marzo;;;;;;;;;;
1997;Febrero;;;;;;;;;;
1997;Enero;;;;;;;;;;
1996;Diciembre;;;;;;;;;;
1996;Noviembre;;;;;;;;;;
1996;Octubre;;;;;;;;;;
1996;Setiembre;;;;;;;;;;
1996;Agosto;;;;;;;;;;
1996;Julio;;;;;;;;;;
1996;Junio;;;;;;;;;;
1996;Mayo;;;;;;;;;;
1996;Abril;;;;;;;;;;
1996;Marzo;;;;;;;;;;
1996;Febrero;;;;;;;;;;
1996;Enero;;;;;;;;;;
1995;Diciembre;;;;;;;;;;
1995;Noviembre;;;;;;;;;;
1995;Octubre;;;;;;;;;;
1995;Setiembre;;;;;;;;;;
1995;Agosto;;;;;;;;;;
1995;Julio;;;;;;;;;;
1995;Junio;;;;;;;;;;
1995;Mayo;;;;;;;;;;
1995;Abril;;;;;;;;;;
1995;Marzo;;;;;;;;;;
1995;Febrero;;;;;;;;;;
1995;Enero;;;;;;;;;;
