Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;PESO/DÓLAR
2017;Enero;2,19;0.78;0.29;1.23;0.94;0.21;0.17;0.66;0.16;16
2016;Diciembre;2,18;0.74;0.28;1.24;0.92;0.21;0.17;0.66;0.15;16
2016;Noviembre;2,21;0.77;0.28;1.23;0.88;0.24;0.17;0.68;0.15;16
2016;Octubre;2,24;0.83;0.33;1.22;0.88;0.25;0.17;0.69;0.15;15.14
2016;Setiembre;2,27;0.79;0.42;1.2;0.84;0.26;0.16;0.69;0.15;15
2016;Agosto;2,29;0.79;0.45;1.16;0.84;0.25;0.16;0.68;0.16;15
2016;Julio;2,22;0.8;0.43;1.13;0.89;0.23;0.18;0.64;0.18;15
2016;Junio;2,30;0.78;0.44;1.17;0.87;0.22;0.19;0.65;0.19;15
2016;Mayo;2,18;0.67;0.43;1.16;0.9;0.22;0.18;0.61;0.18;14
2016;Abril;2,07;0.64;0.45;1.13;0.94;0.21;0.17;0.57;0.16;14.28
2016;Marzo;;;0.5;;1.1;0.22;0.15;;0.14;15
2016;Febrero;;;0.47;;0.93;0.22;0.15;;0.14;16
2016;Enero;;;0.47;;0.82;0.22;0.14;;0.14;14
2015;Diciembre;;;0.48;;0.68;0.22;0.14;;0.15;12.9359
2015;Noviembre;;;0.5;;0.64;0.22;0.13;;0.16;9.6584
2015;Octubre;;;0.36;;0.66;0.21;0.12;;0.14;9.5154
2015;Setiembre;;;0.53;;0.69;0.23;0.1;;0.13;9.4217
2015;Agosto;;;0.53;;0.68;0.23;0.1;;0.13;9.2967
2015;Julio;;;0.48;;0.72;0.24;0.1;;0.12;9.1935
2015;Junio;;;;;0.77;0.25;0.1;;0.11;9.0967
2015;Mayo;;;0.5;;0.78;0.21;0.11;;0.13;9.0015
2015;Abril;;;0.42;;0.83;0.21;0.12;;0.13;8.9179
2015;Marzo;;;0.46;;0.85;0.22;0.11;;0.11;8.8155
2015;Febrero;;;0.47;;0.83;0.22;0.11;;0.12;8.72
2015;Enero;;;0.43;;0.86;0.23;0.11;;0.13;9
2014;Diciembre;;;0.44;;0.89;0.25;0.12;;0.13;8.5402
2014;Noviembre;;;0.47;;0.87;0.24;0.12;;0.14;9
2014;Octubre;;;0.5;;0.94;0.23;0.11;;0.15;9
2014;Setiembre;;;0.55;;0.95;0.25;0.11;;0.17;8.43
2014;Agosto;;;0.59;;0.93;0.26;0.12;;0.18;8.4003
2014;Julio;;;0.62;;0.91;0.28;0.14;;0.22;8.2125
2014;Junio;;;0.58;;0.89;0.27;0.15;;0.25;8.1305
2014;Mayo;;;0.52;;0.96;0.26;0.16;;0.25;8
2014;Abril;;;0.56;;0.95;0.27;0.17;;0.24;7.9998
2014;Marzo;;;0.63;;0.95;0.25;0.17;;0.24;8
2014;Febrero;;;0.63;;0.97;0.24;0.16;;0.24;7.8845
2014;Enero;;;0.46;;0.94;0.24;0.15;;0.23;8.0178
2013;Diciembre;;;0.62;;0.98;0.24;0.17;;0.23;7
2013;Noviembre;;;0.58;;0.96;0.41;0.18;;0.29;6.1398
2013;Octubre;;;0.58;;0.96;0.41;0.16;;0.56;5.9072
2013;Setiembre;;;0.58;;1;0.37;0.15;;0.46;5.7898
2013;Agosto;;;0.57;;0.98;0.34;0.16;;0.44;5.67
2013;Julio;;;0.49;;0.93;0.31;0.17;;0.45;6
2013;Junio;;;0.48;;0.96;0.31;0.2;;0.45;5
2013;Mayo;;;0.43;;0.94;0.28;0.19;;0.35;5.2825
2013;Abril;;;0.4;;1.02;0.27;0.17;;0.27;5.1875
2013;Marzo;;;0.52;;1.05;0.26;0.17;;0.26;5.1195
2013;Febrero;;;0.47;;1.05;0.26;0.18;;0.26;5
2013;Enero;;;0.45;;;0.26;0.19;;0.25;5
2012;Diciembre;;;0.49;;1.12;0.25;0.2;;0.21;5
2012;Noviembre;;;0.48;;1.11;0.3;0.19;;0.22;5
2012;Octubre;;;0.47;;1.09;0.29;0.18;;0.23;4.7625
2012;Setiembre;;;0.47;;1.02;0.3;0.18;;0.24;5
2012;Agosto;;;0.43;;1.01;0.29;0.17;;0.2;4.6375
2012;Julio;;;0.57;;1;0.3;0.16;;0.18;4.5849
2012;Junio;;;0.6;;1.07;0.29;0.15;;0.16;4.5269
2012;Mayo;;;0.57;;1.07;0.27;0.15;;0.16;4.4679
2012;Abril;;;0.64;;1.11;0.27;0.16;;0.15;4.4095
2012;Marzo;;;0.64;;1.15;0.27;0.16;;0.14;4.3769
2012;Febrero;;;0.6;;1.21;0.28;0.16;;0.13;4
2012;Enero;;;0.56;;1.22;0.25;0.17;;0.13;4.33
2011;Diciembre;;;0.55;;1.17;0.26;0.14;;0.11;4
2011;Noviembre;;;0.6;;1.19;0.31;0.13;;0.13;4
2011;Octubre;;;0.55;;1.17;0.35;0.14;;0.15;4.2334
2011;Setiembre;;;0.55;;1.24;0.37;0.16;;0.16;4
2011;Agosto;;;0.54;;1.23;0.36;0.16;;0.16;4
2011;Julio;;;0.58;;1.29;0.29;0.17;;0.17;4
2011;Junio;;;0.54;;1.38;0.26;0.18;;0.16;4
2011;Mayo;;;0.61;;1.39;0.27;0.18;;0.18;4
2011;Abril;;;0.56;;1.36;0.24;0.19;;0.19;4
2011;Marzo;;;0.51;;1.31;0.2;0.19;;0.19;4
2011;Febrero;;;0.49;;1.27;0.16;0.19;;0.18;4.0235
2011;Enero;;;0.42;;1.13;0.16;0.19;;0.18;4
2010;Diciembre;;;0.39;;1.23;0.15;0.17;;0.17;4
2010;Noviembre;;;0.32;;1.23;0.15;0.17;;0.17;4
2010;Octubre;;;0.37;;1.27;0.14;0.16;;0.18;4
2010;Setiembre;;;0.46;;1.36;0.15;0.15;;0.19;4
2010;Agosto;;;0.45;;1.37;0.18;0.14;;0.18;4
2010;Julio;;;0.48;;1.31;0.2;0.13;;0.16;4
2010;Junio;;;0.46;;1.21;0.2;0.12;;0.15;3.9322
2010;Mayo;;;0.45;;1.18;0.2;0.12;;0.15;3.9135
2010;Abril;;;0.42;;1.2;0.2;0.12;;0.14;4
2010;Marzo;;;0.49;;1.21;0.2;0.11;;0.14;3.8735
2010;Febrero;;;0.47;;1.23;0.2;0.11;;0.12;4
2010;Enero;;;0.42;;1.2;0.24;0.13;;0.14;3.8235
2009;Diciembre;;;0.48;;1.31;0.24;0.13;;0.14;4
2009;Noviembre;;;0.55;;1.29;0.23;0.12;;0.14;3.8085
2009;Octubre;;;0.5;;1.31;0.23;0.12;;0.14;3.8165
2009;Setiembre;;;0.5;;1.37;0.26;0.11;;0.15;4
2009;Agosto;;;0.51;;1.28;0.29;0.11;;0.16;3.8505
2009;Julio;;;0.63;;1.1;0.32;0.11;;0.15;3.8285
2009;Junio;;;0.6;;1.07;0.33;0.12;;0.15;3.7975
2009;Mayo;;;0.56;;1.1;0.28;0.11;;0.15;4
2009;Abril;;;0.52;;1.06;0.31;0.11;;0.14;3.7135
2009;Marzo;;;0.5;;0.96;0.31;0.11;;0.13;4
2009;Febrero;;;0.44;;0.85;0.32;0.12;;0.12;4
2009;Enero;;;0.47;;0.93;0.34;0.12;;0.12;3.4855
2008;Diciembre;;;0.49;;1.02;0.34;0.09;;0.12;3
2008;Noviembre;;;0.48;;0.8;0.45;0.09;;0.12;3
2008;Octubre;;;0.39;;0.72;0.46;0.11;;0.15;3.3865
2008;Setiembre;;;0.4;;0.72;0.6;0.14;;0.19;3.1335
2008;Agosto;;;0.59;;0.86;0.6;0.14;;0.2;3.0313
2008;Julio;;;0.59;;0.88;0.57;0.16;;0.22;3
2008;Junio;;;0.61;;0.92;0.52;0.17;;0.22;3.0235
2008;Mayo;;;0.5;;0.92;0.44;0.16;;0.22;3.0985
2008;Abril;;;0.43;;0.95;0.32;0.17;;0.22;3.1635
2008;Marzo;;;0.44;;0.97;0.3;0.16;;0.2;3.1683
2008;Febrero;;;0.41;;0.92;0.26;0.15;;0.19;3.1605
2008;Enero;;;0.42;;;0.25;0.15;;0.18;3
2007;Diciembre;;;0.37;;;0.21;0.11;;0.17;3.15
2007;Noviembre;;;0.34;;;0.2;0.11;;0.18;3
2007;Octubre;;;0.36;;;0.25;0.12;;0.19;3.1413
2007;Setiembre;;;0.38;;;0.25;0.12;;0.19;3.1488
2007;Agosto;;;0.36;;;0.24;0.12;;0.17;3.1562
2007;Julio;;;0.36;;;0.2;0.11;;0.15;3.1235
2007;Junio;;;0.35;;;0.19;0.12;;0.14;3
2007;Mayo;;;0.37;;;0.16;0.12;;0.13;3.0762
2007;Abril;;;0.35;;;0.16;0.12;;0.12;3.0895
2007;Marzo;;;0.36;;;0.16;0.12;;0.12;3.0987
2007;Febrero;;;0.35;;;0.16;0.13;;0.12;3.1002
2007;Enero;;;0.33;;;0.16;0.12;;0.12;3.1088
2006;Diciembre;;;0.36;;;0.17;0.13;;0.12;3.0588
2006;Noviembre;;;0.36;;;0.17;0.13;;0.13;3.0715
2006;Octubre;;;0.39;;;0.16;0.1;;0.12;3.0885
2006;Setiembre;;;0.36;;;0.18;0.09;;0.11;3.1037
2006;Agosto;;;0.39;;;0.18;0.09;;0.11;3.0963
2006;Julio;;;0.43;;;0.18;0.09;;0.1;3
2006;Junio;;;0.44;;;0.18;0.09;;0.1;3.0838
2006;Mayo;;;0.39;;;0.17;0.09;;0.11;3.0862
2006;Abril;;;0.39;;;0.16;0.08;;0.11;3
2006;Marzo;;;0.53;;;0.16;0.08;;0.11;3.0812
2006;Febrero;;;0.31;;;0.16;0.08;;0.11;3.0713
2006;Enero;;;0.25;;;0.16;0.08;;0.11;3.0665
2005;Diciembre;;;0.33;;;0.15;0.07;;0.1;3.0315
2005;Noviembre;;;0.3;;0.82;0.15;0.07;;0.11;2.9662
2005;Octubre;;;0.31;;0.76;0.17;0.07;;0.11;3.0012
2005;Setiembre;;;0.33;;0.76;0.19;0.07;;0.11;2.9088
2005;Agosto;;;0.48;;0.77;0.19;0.08;;0.11;2.9112
2005;Julio;;;0.57;;0.76;0.19;0.08;;0.11;3
2005;Junio;;;0.59;;0.72;0.19;0.07;;0.1;2.8862
2005;Mayo;;;0.55;;0.78;0.18;0.07;;0.11;3
2005;Abril;;;0.51;;0.79;0.16;0.07;;0.11;2.9088
2005;Marzo;;;0.52;;0.81;0.16;0.06;;0.11;2.9162
2005;Febrero;;;0.48;;0.85;0.15;0.06;;0.09;2.9387
2005;Enero;;;0.43;;0.82;0.14;0.06;;0.08;2.9213
2004;Diciembre;;;0.39;;0.8;0.15;;;;2.9725
2004;Noviembre;;;0.36;;0.76;0.15;;;;3
2004;Octubre;;;0.25;;0.76;0.16;;;;2.97
2004;Setiembre;;;0.3;;0.72;0.15;;;;2.9805
2004;Agosto;;;0.3;;0.68;0.16;;;;3
2004;Julio;;;0.33;;0.69;0.15;;;;1.97
2004;Junio;;;0.29;;0.75;0.14;;;;2.96
2004;Mayo;;;0.25;;0.75;0.14;;;;1.97
2004;Abril;;;0.25;;0.73;0.14;;;;2.84
2004;Marzo;;;0.23;;0.79;0.14;;;;2.86
2004;Febrero;;;0.21;;0.83;0.13;;;;2.9225
2004;Enero;;;0.2;;0.77;0.11;;;;2.9275
2003;Diciembre;;;0.34;;0.74;0.1;;;;3
2003;Noviembre;;;0.22;;0.76;0.11;;;;3
2003;Octubre;;;0.21;;0.72;0.14;;;;3
2003;Setiembre;;;0.24;;0.7;0.17;;;;2.9175
2003;Agosto;;;;;0.62;0.18;;;;2.9575
2003;Julio;;;;;0.64;0.18;;;;2.9175
2003;Junio;;;;;0.67;0.19;;;;2.7975
2003;Mayo;;;;;0.64;0.15;;;;2.8475
2003;Abril;;;;;0.65;0.15;;;;2.8225
2003;Marzo;;;;;0.63;0.15;;;;2.9725
2003;Febrero;;;;;0.61;0.15;;;;3.2
2003;Enero;;;;;0.59;0.16;;;;3
2002;Diciembre;;;;;0.61;0.15;;;;3
2002;Noviembre;;;;;0.58;0.13;;;;4
2002;Octubre;;;;;0.55;0.13;;;;4
2002;Setiembre;;;;;0.55;0.12;;;;4
2002;Agosto;;;;;0.49;0.12;;;;4
2002;Julio;;;;;0.41;0.11;;;;3.73
2002;Junio;;;;;0.42;0.11;;;;3.81
2002;Mayo;;;;;0.41;0.07;;;;3.57
2002;Abril;;;;;0.4;0.06;;;;3
2002;Marzo;;;;;0.36;0.06;;;;2.94
2002;Febrero;;;;;0.33;0.06;;;;2
2002;Enero;;;;;0.35;0.07;;;;2
2001;Diciembre;;;;;0.35;0.06;;;;1
2001;Noviembre;;;;;0.35;0.06;;;;0.987
2001;Octubre;;;;;0.36;0.06;;;;1
2001;Setiembre;;;;;0.36;0.07;;;;1
2001;Agosto;;;;;0.38;0.07;;;;1
2001;Julio;;;;;0.39;0.06;;;;1
2001;Junio;;;;;0.39;0.06;;;;1
2001;Mayo;;;;;0.39;0.07;;;;1
2001;Abril;;;;;0.41;0.07;;;;1
2001;Marzo;;;;;0.39;0.08;;;;1
2001;Febrero;;;;;0.41;0.09;;;;1
2001;Enero;;;;;0.42;0.09;;;;1
2000;Diciembre;;;;;0.41;0.1;;;;1
2000;Noviembre;;;;;0.4;0.11;;;;1
2000;Octubre;;;;;0.4;0.12;;;;1
2000;Setiembre;;;;;0.45;0.14;;;;1
2000;Agosto;;;;;0.46;0.15;;;;1
2000;Julio;;;;;0.48;0.15;;;;1
2000;Junio;;;;;0.49;0.16;;;;1
2000;Mayo;;;;;0.48;0.15;;;;1
2000;Abril;;;;;0.48;0.16;;;;1
2000;Marzo;;;;;0.5;0.16;;;;1
2000;Febrero;;;;;0.51;0.15;;;;1
2000;Enero;;;;;0.49;0.15;;;;1
1999;Diciembre;;;;;0.49;;;;;
1999;Noviembre;;;;;;;;;;
1999;Octubre;;;;;;;;;;
1999;Setiembre;;;;;;;;;;
1999;Agosto;;;;;;;;;;
1999;Julio;;;;;;;;;;
1999;Junio;;;;;;;;;;
1999;Mayo;;;;;;;;;;
1999;Abril;;;;;;;;;;
1999;Marzo;;;;;;;;;;
1999;Febrero;;;;;;;;;;
1999;Enero;;;;;;;;;;
1998;Diciembre;;;;;;;;;;
1998;Noviembre;;;;;;;;;;
1998;Octubre;;;;;;;;;;
1998;Setiembre;;;;;;;;;;
1998;Agosto;;;;;;;;;;
1998;Julio;;;;;;;;;;
1998;Junio;;;;;;;;;;
1998;Mayo;;;;;;;;;;
1998;Abril;;;;;;;;;;
1998;Marzo;;;;;;;;;;
1998;Febrero;;;;;;;;;;
1998;Enero;;;;;;;;;;
1997;Diciembre;;;;;;;;;;
1997;Noviembre;;;;;;;;;;
1997;Octubre;;;;;;;;;;
1997;Setiembre;;;;;;;;;;
1997;Agosto;;;;;;;;;;
1997;Julio;;;;;;;;;;
1997;Junio;;;;;;;;;;
1997;Mayo;;;;;;;;;;
1997;Abril;;;;;;;;;;
1997;Marzo;;;;;;;;;;
1997;Febrero;;;;;;;;;;
1997;Enero;;;;;;;;;;
1996;Diciembre;;;;;;;;;;
1996;Noviembre;;;;;;;;;;
1996;Octubre;;;;;;;;;;
1996;Setiembre;;;;;;;;;;
1996;Agosto;;;;;;;;;;
1996;Julio;;;;;;;;;;
1996;Junio;;;;;;;;;;
1996;Mayo;;;;;;;;;;
1996;Abril;;;;;;;;;;
1996;Marzo;;;;;;;;;;
1996;Febrero;;;;;;;;;;
1996;Enero;;;;;;;;;;
1995;Diciembre;;;;;;;;;;
1995;Noviembre;;;;;;;;;;
1995;Octubre;;;;;;;;;;
1995;Setiembre;;;;;;;;;;
1995;Agosto;;;;;;;;;;
1995;Julio;;;;;;;;;;
1995;Junio;;;;;;;;;;
1995;Mayo;;;;;;;;;;
1995;Abril;;;;;;;;;;
1995;Marzo;;;;;;;;;;
1995;Febrero;;;;;;;;;;
1995;Enero;;;;;;;;;;
