Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;PESO/DÓLAR
2016;Abril;1.64;1.67;1.51;1.6;0.87;0.4;0.18;0.39;0.21;669.93
2016;Marzo;1.6;;;1.57;0.83;0.38;0.2;0.36;0.19;682.07
2016;Febrero;1.55;1.98;1.56;1.51;0.96;0.37;0.19;0.35;0.18;704.08
2016;Enero;1.5;1.95;1.55;1.47;0.92;0.4;0.19;0.38;0.2;721.95
2015;Diciembre;1.52;2.15;1.59;1.5;0.95;0.41;0.19;0.39;0.23;704.24
2015;Noviembre;1.51;2.13;1.65;1.51;1.01;0.42;0.19;0.43;0.23;704
2015;Octubre;1.54;2.07;1.64;1.55;1.05;0.4;0.19;0.4;0.24;685.31
2015;Setiembre;1.53;1.89;1.63;1.53;1.42;0.38;0.19;0.38;0.24;691.73
2015;Agosto;1.52;1.56;1.62;1.53;1.36;0.37;0.19;0.38;0.23;688.12
2015;Julio;1.6;1.47;1.69;1.58;1.41;0.41;0.19;0.42;0.25;650.14
2015;Junio;1.62;;;1.62;1.1;0.44;0.18;0.45;0.25;629.99
2015;Mayo;1.69;;;1.65;1.47;0.45;0.19;0.48;0.26;607.6
2015;Abril;1.67;;;1.56;1.47;0.4;0.2;0.44;0.26;614.73
2015;Marzo;1.64;1.59;1.79;1.52;1.46;0.4;0.21;0.39;0.25;628.5
2015;Febrero;1.63;1.57;1.8;1.51;1.52;0.43;0.22;0.41;0.26;623.62
2015;Enero;1.63;1.7;1.86;1.49;1.5;0.42;0.22;0.4;0.27;620.91
2014;Diciembre;1.65;1.73;1.85;1.49;1.51;0.45;0.22;0.41;0.28;612.92
2014;Noviembre;1.7;1.83;1.85;1.53;1.56;0.47;0.22;0.43;0.29;592.46
2014;Octubre;1.7;1.61;1.92;1.53;1.56;0.49;0.22;0.42;0.28;589.98
2014;Setiembre;1.66;1.55;1.9;1.51;1.58;0.5;0.22;0.45;0.28;593.47
2014;Agosto;1.71;1.54;1.86;1.55;1.58;0.5;0.22;0.48;0.29;579.05
2014;Julio;1.71;1.5;1.82;1.58;1.57;0.47;0.22;0.49;0.29;558.21
2014;Junio;1.78;1.59;1.82;1.57;1.58;0.45;0.24;0.48;0.3;553.06
2014;Mayo;1.77;1.51;1.93;1.54;1.64;0.45;0.24;0.49;0.3;555.4
2014;Abril;1.76;1.6;1.96;1.53;1.53;0.44;0.24;0.47;0.29;554.64
2014;Marzo;1.73;1.58;1.51;1.48;1.5;0.41;0.24;0.41;0.28;563.84
2014;Febrero;1.75;1.58;1.51;1.5;1.47;0.42;0.24;0.44;0.28;554.41
2014;Enero;1.84;1.74;1.58;1.55;1.42;0.43;0.25;0.44;0.29;537.03
2013;Diciembre;1.85;;;1.57;1.54;0.38;0.24;0.42;0.31;529.45
2013;Noviembre;1.89;;;1.61;1.56;0.45;0.23;0.43;0.31;519.25
2013;Octubre;1.95;;;1.7;1.56;0.44;0.25;0.41;0.32;500.81
2013;Setiembre;1.94;;;1.63;1.53;0.46;0.24;0.5;0.32;504.57
2013;Agosto;1.89;;;1.64;1.51;0.44;0.25;0.49;0.32;512.59
2013;Julio;1.94;;;1.62;1.4;0.47;0.25;0.51;0.32;504.96
2013;Junio;1.94;;;1.65;1.39;0.47;0.25;0.5;0.32;502.89
2013;Mayo;2.07;;;1.73;1.3;0.46;0.26;0.49;0.33;479.58
2013;Abril;2.07;;;1.75;1.54;0.45;0.27;0.48;0.34;472.14
2013;Marzo;2.07;;;1.75;1.53;0.45;0.3;0.48;0.35;472.48
2013;Febrero;2;;;1.74;1.3;0.46;0.31;0.46;0.35;472.34
2013;Enero;1.99;;;1.73;1.32;0.48;0.31;0.47;0.35;472.67
2012;Diciembre;1.97;;;1.75;1.79;0.49;0.3;0.44;0.36;477.13
2012;Noviembre;1.85;;;1.74;1.58;0.48;0.29;0.45;0.37;480.57
2012;Octubre;1.88;;;;;0.46;0.31;0.42;0.35;475.36
2012;Setiembre;1.88;;;1.82;1.3;0.49;0.32;0.47;0.35;474.97
2012;Agosto;1.84;;;1.76;1.4;0.48;0.32;0.47;0.35;480.99
2012;Julio;1.78;;;;;0.46;0.27;0.5;0.31;491.93
2012;Junio;1.73;;;1.69;1.58;0.48;0.25;0.51;0.28;505.63
2012;Mayo;1.72;;;1.72;1.58;;0.26;;0.28;497.09
2012;Abril;1.8;;;;4.4;;0.27;;0.28;486
2012;Marzo;1.78;;;1.77;1.32;;0.27;;0.28;485.4
2012;Febrero;1.82;;;1.73;1.3;;0.28;;0.28;481.49
2012;Enero;1.79;;;;;;0.28;;0.27;501.34
2011;Diciembre;1.7;;;1.59;1.97;;0.27;;0.27;517.17
2011;Noviembre;1.71;;;1.58;1.98;0.5;0.28;0.49;0.3;508.44
2011;Octubre;1.68;;;;;0.48;0.27;0.44;0.29;511.74
2011;Setiembre;1.77;;;1.61;1.47;0.52;0.29;0.49;0.33;483.69
2011;Agosto;1.79;;;1.71;1.42;0.52;0.3;0.58;0.33;466.79
2011;Julio;1.8;;;1.76;1.54;0.59;0.31;0.67;0.32;462.94
2011;Junio;1.7;;;1.75;1.56;0.6;0.3;0.69;0.32;469.41
2011;Mayo;1.76;;;;;0.58;0.31;0.69;0.32;467.73
2011;Abril;1.7;;;1.75;1.47;0.53;0.31;0.6;0.32;471.32
2011;Marzo;1.65;;;1.75;1.42;0.49;0.3;0.51;0.3;479.65
2011;Febrero;1.59;;;1.77;1.54;0.45;0.3;0.5;0.28;475.69
2011;Enero;1.51;;;;;0.44;0.28;0.52;0.27;489.44
2010;Diciembre;1.55;;;;;0.4;0.29;0.51;0.26;474.78
2010;Noviembre;1.58;;;;;0.4;0.27;0.51;0.24;482.32
2010;Octubre;1.59;;;;;0.39;0.24;0.45;0.24;484.04
2010;Setiembre;1.58;;;;;0.39;0.23;0.46;0.22;493.93
2010;Agosto;1.54;;;;;0.38;0.21;0.5;0.21;509.32
2010;Julio;1.49;;;;;0.42;0.19;0.53;0.2;531.72
2010;Junio;1.47;;;;;0.41;0.19;0.54;0.2;536.67
2010;Mayo;1.47;;;;;0.39;0.19;0.5;0.2;533.21
2010;Abril;1.48;;;;;0.38;0.2;0.46;0.2;520.62
2010;Marzo;1.5;;;;;0.37;0.21;0.44;0.2;523.16
2010;Febrero;1.54;;;;;0.36;0.23;0.43;0.21;532.56
2010;Enero;1.63;;;;;0.36;0.22;0.41;0.23;500.66
2009;Diciembre;1.6;;;;;0.37;0.21;0.34;0.23;501.45
2009;Noviembre;1.59;;;;;0.35;0.21;0.34;0.22;507.78
2009;Octubre;1.49;;;;;0.35;0.19;0.35;0.21;545.83
2009;Setiembre;1.54;;;;;0.34;0.19;0.36;0.21;549.07
2009;Agosto;1.55;;;;;0.36;0.19;0.39;0.23;546.88
2009;Julio;1.6;;;;;0.39;0.19;0.41;0.25;540.42
2009;Junio;1.56;;;;;0.41;0.19;0.46;0.25;553.08
2009;Mayo;1.5;;;;;0.36;0.18;0.45;0.25;565.72
2009;Abril;1.49;;;;;0.32;0.18;0.4;0.24;583.18
2009;Marzo;1.45;;;;;0.3;0.2;0.39;0.24;592.93
2009;Febrero;1.5;;;;;0.3;0.21;0.4;0.22;606
2009;Enero;1.49;;;;;0.35;0.21;0.44;0.21;623.01
2008;Diciembre;1.44;;;;;0.36;0.22;0.51;0.23;649.32
2008;Noviembre;1.43;;;;;0.35;0.23;0.46;0.26;651.51
2008;Octubre;1.5;;;;;0.34;0.24;0.44;0.31;618.39
2008;Setiembre;1.73;;;;;0.4;0.28;0.46;0.38;530.17
2008;Agosto;1.78;;;;;0.46;0.29;0.49;0.4;516.7
2008;Julio;1.82;;;;;0.54;0.3;0.48;0.4;502.24
2008;Junio;1.82;;;;;0.52;0.28;0.49;0.39;493.61
2008;Mayo;1.91;;;;;0.45;0.29;0.42;0.43;470.1
2008;Abril;1.98;;;;;0.44;0.3;0.36;0.47;446.43
2008;Marzo;1.83;;;;;0.41;0.29;0.33;0.47;442.94
2008;Febrero;1.64;;;;;0.41;0.28;0.31;0.42;467.22
2008;Enero;1.59;;;;;0.38;0.27;0.29;0.35;480.9
2007;Diciembre;;;;;;0.39;;0.27;;499.28
2007;Noviembre;;;;;;0.35;;0.31;;506.95
2007;Octubre;;;;;;0.33;;0.33;;501.44
2007;Setiembre;;;;;;0.29;;0.31;;516.91
2007;Agosto;;;;;;0.28;;0.32;;522.92
2007;Julio;;;;;;0.32;;0.43;;519.8
2007;Junio;;;;;;0.32;;0.46;;526.72
2007;Mayo;;;;;;0.32;;0.47;;522.02
2007;Abril;;;;;;0.31;;0.43;;532.3
2007;Marzo;;;;;;0.29;;0.38;;538.49
2007;Febrero;;;;;;0.29;;0.37;;542.27
2007;Enero;;;;;;0.27;;0.37;;540.51
2006;Diciembre;;;;;;0.28;;0.38;;527.58
2006;Noviembre;;;;;;0.28;;0.38;;527.44
2006;Octubre;;;;;;0.27;;0.31;;530.95
2006;Setiembre;;;;;;0.24;;0.23;;538.65
2006;Agosto;;;;;;0.24;;0.25;;538.53
2006;Julio;;;;;;0.23;;0.24;;540.62
2006;Junio;;;;;;0.23;;0.24;;542.46
2006;Mayo;;;;;;0.25;;0.24;;520.79
2006;Abril;;;;;;0.24;;0.26;;517.33
2006;Marzo;;;;;;0.25;;0.26;;528.77
2006;Febrero;;;;;;0.25;;0.25;;525.7
2006;Enero;;;;;;0.25;;0.27;;524.48
2005;Diciembre;;;;;;0.24;;0.29;;514.33
2005;Noviembre;;;;;;0.25;;0.29;;529.88
2005;Octubre;;;;;;0.23;;0.27;;535.5
2005;Setiembre;;;;;;0.22;;0.24;;536.7
2005;Agosto;;;;;;0.23;;0.26;;546.61
2005;Julio;;;;;;0.23;;0.32;;575.77
2005;Junio;;;;;;0.23;;0.3;;585.47
2005;Mayo;;;;;;0.23;;0.27;;578.31
2005;Abril;;;;;;0.23;;0.27;;580.46
2005;Marzo;;;;;;0.23;;0.24;;586.48
2005;Febrero;;;;;;0.23;;0.23;;573.58
2005;Enero;;;;;;0.23;;0.23;;574.12
2004;Diciembre;;;;;;0.24;;0.21;;576.17
2004;Noviembre;;;;;;0.23;;0.19;;596.72
2004;Octubre;;;;;;0.19;;0.18;;607.28
2004;Setiembre;;;;;;0.21;;0.19;;616.55
2004;Agosto;;;;;;0.22;;0.21;;635.93
2004;Julio;;;;;;0.23;;0.21;;632.39
2004;Junio;;;;;;0.24;;0.22;;643.5
2004;Mayo;;;;;;0.23;;0.21;;635.76
2004;Abril;;;;;;0.24;;0.22;;608.19
2004;Marzo;;;;;;0.23;;0.2;;603.91
2004;Febrero;;;;;;0.21;;0.2;;584.31
2004;Enero;;;;;;0.22;;0.21;;573.64
2003;Diciembre;;;;;;0.22;;0.2;;602.9
2003;Noviembre;;;;;;0.21;;0.2;;625.47
2003;Octubre;;;;;;0.19;;0.19;;646.07
2003;Setiembre;;;;;;0.18;;0.18;;675.44
2003;Agosto;;;;;;0.18;;0.19;;703.77
2003;Julio;;;;;;0.2;;0.24;;701.14
2003;Junio;;;;;;0.22;;0.24;;709.18
2003;Mayo;;;;;;0.2;;0.25;;703.58
2003;Abril;;;;;;0.21;;0.24;;718.25
2003;Marzo;;;;;;0.19;;0.2;;743.28
2003;Febrero;;;;;;0.19;;0.2;;745.21
2003;Enero;;;;;;0.2;;0.19;;722.48
2002;Diciembre;;;;;;0.21;;0.19;;701.95
2002;Noviembre;;;;;;0.21;;0.2;;709.48
2002;Octubre;;;;;;0.18;;0.17;;742.32
2002;Setiembre;;;;;;0.18;;0.15;;726.98
2002;Agosto;;;;;;0.2;;0.18;;702.3
2002;Julio;;;;;;0.2;;0.2;;696.33
2002;Junio;;;;;;0.21;;0.24;;673.77
2002;Mayo;;;;;;0.22;;0.26;;653.91
2002;Abril;;;;;;0.24;;0.25;;650.82
2002;Marzo;;;;;;0.22;;0.22;;663.26
2002;Febrero;;;;;;0.21;;0.22;;678.84
2002;Enero;;;;;;0.22;;0.23;;667.28
2001;Diciembre;;;;;;0.22;;0.25;;669.14
2001;Noviembre;;;;;;0.21;;0.23;;689.4
2001;Octubre;;;;;;0.2;;0.2;;708.1
2001;Setiembre;;;;;;0.2;;0.2;;681.24
2001;Agosto;;;;;;0.2;;0.25;;673.7
2001;Julio;;;;;;0.21;;0.26;;656.46
2001;Junio;;;;;;0.23;;0.25;;616.07
2001;Mayo;;;;;;0.25;;0.24;;604.48
2001;Abril;;;;;;0.25;;0.23;;598.63
2001;Marzo;;;;;;0.23;;0.23;;587.79
2001;Febrero;;;;;;0.22;;0.24;;563.13
2001;Enero;;;;;;0.21;;0.2;;571.12
2000;Diciembre;;;;;;0.21;;0.18;;574.63
2000;Noviembre;;;;;;0.21;;0.19;;574.6
2000;Octubre;;;;;;0.18;;0.17;;567.84
2000;Setiembre;;;;;;0.19;;0.17;;565.9
2000;Agosto;;;;;;0.2;;0.2;;550.99
2000;Julio;;;;;;0.22;;0.24;;542.75
2000;Junio;;;;;;0.23;;0.24;;529.74
2000;Mayo;;;;;;0.22;;0.25;;521.66
2000;Abril;;;;;;0.22;;0.26;;508.1
2000;Marzo;;;;;;0.24;;0.27;;504.38
2000;Febrero;;;;;;0.23;;0.24;;512.85
2000;Enero;;;;;;0.22;;0.23;;520.45
1999;Diciembre;;;;;;;;;;
1999;Noviembre;;;;;;;;;;
1999;Octubre;;;;;;;;;;
1999;Setiembre;;;;;;;;;;
1999;Agosto;;;;;;;;;;
1999;Julio;;;;;;;;;;
1999;Junio;;;;;;;;;;
1999;Mayo;;;;;;;;;;
1999;Abril;;;;;;;;;;
1999;Marzo;;;;;;;;;;
1999;Febrero;;;;;;;;;;
1999;Enero;;;;;;;;;;
1998;Diciembre;;;;;;;;;;
1998;Noviembre;;;;;;;;;;
1998;Octubre;;;;;;;;;;
1998;Setiembre;;;;;;;;;;
1998;Agosto;;;;;;;;;;
1998;Julio;;;;;;;;;;
1998;Junio;;;;;;;;;;
1998;Mayo;;;;;;;;;;
1998;Abril;;;;;;;;;;
1998;Marzo;;;;;;;;;;
1998;Febrero;;;;;;;;;;
1998;Enero;;;;;;;;;;
1997;Diciembre;;;;;;;;;;
1997;Noviembre;;;;;;;;;;
1997;Octubre;;;;;;;;;;
1997;Setiembre;;;;;;;;;;
1997;Agosto;;;;;;;;;;
1997;Julio;;;;;;;;;;
1997;Junio;;;;;;;;;;
1997;Mayo;;;;;;;;;;
1997;Abril;;;;;;;;;;
1997;Marzo;;;;;;;;;;
1997;Febrero;;;;;;;;;;
1997;Enero;;;;;;;;;;
1996;Diciembre;;;;;;;;;;
1996;Noviembre;;;;;;;;;;
1996;Octubre;;;;;;;;;;
1996;Setiembre;;;;;;;;;;
1996;Agosto;;;;;;;;;;
1996;Julio;;;;;;;;;;
1996;Junio;;;;;;;;;;
1996;Mayo;;;;;;;;;;
1996;Abril;;;;;;;;;;
1996;Marzo;;;;;;;;;;
1996;Febrero;;;;;;;;;;
1996;Enero;;;;;;;;;;
1995;Diciembre;;;;;;;;;;
1995;Noviembre;;;;;;;;;;
1995;Octubre;;;;;;;;;;
1995;Setiembre;;;;;;;;;;
1995;Agosto;;;;;;;;;;
1995;Julio;;;;;;;;;;
1995;Junio;;;;;;;;;;
1995;Mayo;;;;;;;;;;
1995;Abril;;;;;;;;;;
1995;Marzo;;;;;;;;;;
1995;Febrero;;;;;;;;;;
1995;Enero;;;;;;;;;;
