geoAreaCodigo,geoAreaNombre,level_,parentCode,parentName,X,Y,ISO3,UN_Member,n_years,min_year,max_year,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value
48,Bahrain,4,145,Western Asia,50.5490754,26.04407747,BHR,1,20,2000,2019,0,0,0,0,0,0,0,0,0.606,0.57,0.551,0.539,0.915,0.904,4.258,4.147,4.691,4.477,4.479,4.283,4.283
50,Bangladesh,5,127,Southern Asia (excluding India),89.17660788,22.86961622,BGD,1,20,2000,2019,1.802,1.768,1.736,1.711,1.689,1.672,1.667,1.665,1.684,1.719,1.8,1.786,1.925,2.156,2.301,2.447,2.523,2.649,2.719,3.199,3.199
52,Barbados,4,29,Caribbean,-59.5346489,13.13648273,BRB,1,20,2000,2019,0,0.367,0.366,0.365,0.363,0.724,0.721,2.153,2.143,2.846,3.544,6.007,7.755,9.849,22.821,31.543,66.551,66.45,83.798,86.37,86.37
84,Belize,4,13,Central America,-88.70199554,17.19965901,BLZ,1,20,2000,2019,125.389,121.732,118.47,115.578,112.742,134.92,142.772,139.333,136.235,201.443,196.812,247.126,244.6,239.249,238.761,237.362,275.978,291.85,287.03,262.584,262.584
204,Benin,4,11,Western Africa,2.339933594,9.65401646,BEN,1,20,2000,2019,0.073,0.071,0.069,0.066,0.065,0.063,0.061,0.059,0.057,0.056,0.054,0.053,0.051,0.05,0.068,0.161,0.313,0.304,0.296,0.288,0.288
64,Bhutan,5,127,Southern Asia (excluding India),90.45098484,27.39598568,BTN,1,20,2000,2019,582.643,595.484,671.45,682.706,670.983,722.565,712.408,2238.71,2216.299,2194.301,2171.382,2147.081,2121.735,2095.885,2070.183,2218.992,2192.423,2166.378,2141.326,3060.446,3060.446
68,Bolivia (Plurinational State of),4,5,South America,-64.66224284,-16.71273412,BOL,1,20,2000,2019,45.245,46.225,55.032,52.14,56.623,56.429,57.849,60.68,59.285,59.093,58.163,57.761,56.913,56.156,58.652,58.658,60.601,71.102,79.945,90.01,90.01
72,Botswana,4,18,Southern Africa,23.81380223,-22.18810073,BWA,1,20,2000,2019,0,0,0,0,0,0,0,0,0,0.01,0.018,0.032,0.741,0.781,0.841,0.868,1.374,1.346,1.317,1.288,1.288
76,Brazil,4,5,South America,-53.08432878,-10.77668561,BRA,1,20,2000,2019,364.678,367.358,374.1,387.318,392.572,399.882,412.488,427.179,432.211,438.038,457.601,470.411,482.285,496.569,524.942,550.787,588.486,617.206,650.004,672.509,672.509
92,British Virgin Islands,4,29,Caribbean,-64.63294223,18.42256578,VGB,0,20,2000,2019,0,0,0,0,0,0,0,0,0,0,20.507,20.123,19.893,19.757,19.665,23.844,23.676,23.506,23.326,23.141,23.141
96,Brunei Darussalam,4,35,South-Eastern Asia,114.6288563,4.49736984,BRN,1,20,2000,2019,0,0,0,0,0,0,0,0,0,0,3.088,3.048,3.008,2.967,2.928,2.892,2.859,2.827,2.797,2.769,2.769
854,Burkina Faso,4,11,Western Africa,-1.742843829,12.27491081,BFA,1,20,2000,2019,2.8,2.721,2.644,2.584,2.54,2.474,2.401,2.358,2.335,2.312,2.281,2.35,2.281,2.252,2.226,2.258,2.301,4.153,4.795,4.812,4.812
108,Burundi,4,14,Eastern Africa,29.89080992,-3.366387428,BDI,1,20,2000,2019,8.505,8.314,8.092,7.852,7.607,7.38,7.157,6.939,6.726,6.508,6.323,6.201,6.095,6.012,5.847,5.694,5.612,5.3,5.135,4.977,4.977
132,Cabo Verde,4,11,Western Africa,-23.63544151,15.07791834,CPV,1,20,2000,2019,0,0,4.741,5.957,5.256,5.183,4.476,4.42,4.367,4.315,14.818,45.103,64.868,64.195,63.682,63.494,62.835,62.205,65.067,64.337,64.337
116,Cambodia,4,35,South-Eastern Asia,104.922836,12.71163737,KHM,1,20,2000,2019,0.83,0.821,0.972,0.959,1.022,1.025,1.348,1.398,1.468,1.527,1.506,14.972,17.852,47.592,63.669,62.79,62.074,66.173,86.74,89.728,89.728
120,Cameroon,4,17,Middle Africa,12.7419827,5.692387031,CMR,1,20,2000,2019,46.365,45.157,43.973,42.819,41.682,40.567,39.476,38.414,37.371,36.372,35.607,34.961,34.037,33.342,32.541,31.758,30.991,30.281,29.604,28.848,28.848
136,Cayman Islands,4,29,Caribbean,-81.16740559,19.32266656,CYM,0,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.019,138.304,154.538,170.814,170.814
140,Central African Republic,4,17,Middle Africa,20.93559492,7.003720791,CAF,1,20,2000,2019,5.178,5.064,4.958,4.857,4.76,4.692,4.602,4.514,4.434,4.369,4.32,4.311,4.317,4.305,4.29,4.262,4.22,4.167,4.104,4.039,4.039
148,Chad,4,17,Middle Africa,18.66618401,15.36279341,TCD,1,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.012,0.087,0.085,0.082,0.08,0.08
152,Chile,4,5,South America,-71.23029019,-35.2652885,CHL,1,20,2000,2019,290.177,286.863,285.57,283.287,327.568,325.162,322.113,327.885,331.214,361.538,360.908,388.602,405.451,436.9,468.946,470.301,510.625,556.99,579.593,606.187,606.187
156,China,4,30,Eastern Asia,104.1403375,32.30955217,CHN,1,20,2000,2019,58.775,61.015,63.68,70.238,77.853,86.428,96.267,108.997,128.802,150.777,170.408,194.623,218.249,258.295,296.294,340.551,382.593,436.901,487.157,529.108,529.108
170,Colombia,4,5,South America,-73.07446751,3.888209046,COL,1,20,2000,2019,210.84,217.682,223.191,215.579,214.543,211.948,209.722,208.155,205.859,204.029,208.967,217.196,216.596,216.825,237.491,247.424,246.633,246.807,247.022,245.824,245.824
174,Comoros,4,14,Eastern Africa,43.34234565,-11.66121732,COM,1,20,2000,2019,0,0,1.071,1.046,2.425,2.367,2.312,2.257,2.203,2.151,2.099,2.049,2,1.953,1.907,1.863,1.82,1.779,1.74,1.702,1.702
178,Congo,4,17,Middle Africa,15.22052612,-0.840544119,COG,1,20,2000,2019,23.662,22.996,22.354,21.721,21.08,20.426,19.759,19.091,18.447,17.851,17.315,16.854,43.04,42.016,41.052,40.045,40.345,41.965,40.895,39.861,39.861
184,Cook Islands,4,543,Oceania (exc. Australia and New Zealand),-159.7711391,-21.22696458,COK,0,20,2000,2019,2.565,2.553,2.517,4.621,4.552,4.51,4.504,4.528,4.573,4.623,4.676,4.725,4.775,36.784,96.353,181.105,236.744,236.961,340.773,400.98,400.98
188,Costa Rica,4,13,Central America,-84.19712782,9.970998683,CRI,1,20,2000,2019,359.758,358.442,363.865,371.448,371.512,366.524,386.587,425.237,423.941,439.046,431.364,442.211,459.419,458.853,468.176,486.679,590.735,608.093,615.61,623.199,623.199
384,C«Ôte d'Ivoire,4,11,Western Africa,-5.552690016,7.62211586,CIV,1,20,2000,2019,36.709,35.842,35.056,34.324,33.619,32.916,32.214,31.525,30.863,30.181,29.492,28.802,28.123,27.477,26.839,26.223,25.566,36.308,35.393,34.502,34.502
192,Cuba,4,29,Caribbean,-79.54460144,22.10030366,CUB,1,20,2000,2019,5.199,5.182,5.165,5.152,5.24,64.596,43.987,52.355,54.583,54.482,55.074,55.234,52.753,49.204,52.668,55.516,53.816,59.57,66.871,70.35,70.35
531,Cura«ıao,4,29,Caribbean,-68.95033464,12.15058042,CUW,0,20,2000,2019,23.459,92.788,93.739,94.221,94.008,92.98,91.106,88.593,64.537,62.601,60.997,59.747,194.429,211.11,237.957,250.86,255.192,358.673,356.368,361.026,361.026
408,Democratic People's Republic of Korea,4,30,Eastern Asia,127.1803633,40.1462645,PRK,1,20,2000,2019,200.27,207.151,206.176,204.408,202.772,201.319,200.06,204.332,184.602,160.422,161.277,160.573,171.87,172.059,171.769,178.289,187.008,188.612,188.981,188.278,188.278
180,Democratic Republic of the Congo,4,17,Middle Africa,23.65496507,-2.877154732,COD,1,20,2000,2019,52.858,51.832,50.332,48.909,47.394,45.909,44.455,43.028,41.617,40.26,38.941,37.663,36.427,35.249,34.101,33.166,32.383,31.526,32.85,31.934,31.934
262,Djibouti,4,14,Eastern Africa,42.18274707,11.56004161,DJI,1,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0.34,0.334,0.328,0.39,0.383,0.378,0.372,0.372
212,Dominica,4,29,Caribbean,-61.3493756,15.43391378,DMA,1,20,2000,2019,110.266,110.232,110.109,109.697,109.395,109.096,109.166,109.892,73.557,73.679,99.186,99.137,99.219,99.128,99.028,98.911,104.338,104.114,73.786,73.599,73.599
214,Dominican Republic,4,29,Caribbean,-70.49847576,18.89832088,DOM,1,20,2000,2019,53.732,54.11,53.326,52.624,51.889,51.205,50.643,49.999,49.716,54.856,55.594,58.344,72.095,71.761,71.955,72.187,83.924,86.348,99.429,122.369,122.369
218,Ecuador,4,5,South America,-78.37005241,-1.447785891,ECU,1,20,2000,2019,135.438,134.746,132.994,130.108,129.932,131.212,132.155,147.694,148.931,146.728,156.246,153.336,152.983,152.022,152.928,160.412,281.345,280.856,302.281,303.85,303.85
818,Egypt,4,15,Northern Africa,29.77468534,26.57438204,EGY,1,20,2000,2019,42.453,41.659,40.884,40.142,40.438,39.715,40.123,40.45,41.548,41.34,42.082,41.439,40.531,39.622,38.737,40.163,39.554,39.991,48.909,59.492,59.492
222,El Salvador,4,13,Central America,-88.86862995,13.73603564,SLV,1,20,2000,2019,97.819,107.655,110.292,117.445,114.541,118.966,120.363,131.454,130.411,133.029,132.59,143.661,152.243,155.459,160.721,146.524,155.037,183.793,200.817,228.472,228.472
226,Equatorial Guinea,4,17,Middle Africa,10.46535826,1.565792376,GNQ,1,20,2000,2019,9.238,8.866,8.506,8.155,7.811,7.471,7.138,6.815,6.505,6.211,5.934,5.675,121.801,116.684,111.916,107.481,103.359,99.524,97.13,93.762,93.762
232,Eritrea,4,14,Eastern Africa,38.11074289,16.12894644,ERI,1,20,2000,2019,0,0,0,0,0,0,0,0.276,0.27,0.265,0.261,0.257,0.255,0.253,0.344,0.341,0.441,1.023,3.183,3.786,3.786
748,Eswatini,4,18,Southern Africa,31.50149288,-26.56471011,SWZ,1,20,2000,2019,103.239,102.409,101.862,101.495,101.188,100.832,100.331,99.761,117.954,117.144,116.653,173.349,172.208,171.026,154.247,153.011,151.733,150.275,148.758,147.222,147.222
231,Ethiopia,4,14,Eastern Africa,39.63505296,8.631223181,ETH,1,20,2000,2019,6.125,7.008,6.81,7.089,9.721,9.452,9.194,8.945,8.703,16.914,21.699,23.076,22.441,23.319,22.734,25.971,25.568,41.032,40.738,39.701,39.701
238,Falkland Islands (Malvinas),4,5,South America,-58.75246778,-51.74562601,FLK,0,20,2000,2019,89.872,88.828,88.315,88.136,88.136,88.136,88.435,426.913,453.615,455.324,799.449,810.339,821.821,830.648,832.436,842.736,816.815,777.489,738.566,708.778,708.778
242,Fiji,4,543,Oceania (exc. Australia and New Zealand),177.9660884,-17.83301566,FJI,1,20,2000,2019,133.849,133.419,133.238,133.153,140.775,140.218,153.807,164.446,173.348,171.694,170.557,169.881,221.176,220.533,220.925,222.017,223.349,238.594,239.611,237.93,237.93
254,French Guiana,4,5,South America,-53.23619089,3.922673437,GUF,0,20,2000,2019,702.292,672.295,641.777,612.685,586.713,564.849,546.231,530.336,518.304,514.27,598.16,656.83,644.474,631.575,617.776,640.567,624.264,607.753,591.498,586.236,586.236
258,French Polynesia,4,543,Oceania (exc. Australia and New Zealand),-149.4052367,-17.67709294,PYF,0,20,2000,2019,199.758,196.906,194.228,192.128,190.605,189.644,188.96,188.389,189.056,189.066,189.747,219.117,227.357,238.81,265.935,276.649,288.656,300.89,309.638,311.431,311.431
266,Gabon,4,17,Middle Africa,11.78727747,-0.60687619,GAB,1,20,2000,2019,138.559,135.293,132.189,129.02,125.795,122.47,119.149,115.716,112.345,109.374,105.656,101.862,98.075,182.492,176.027,170.869,165.79,161.219,157.076,153.222,153.222
270,Gambia,4,11,Western Africa,-15.39944785,13.45295927,GMB,1,20,2000,2019,0,0.009,0.048,0.144,0.263,0.418,0.457,0.713,0.834,1.021,1.075,1.087,1.596,1.566,1.64,1.62,1.577,1.532,1.488,1.445,1.445
268,Georgia,4,145,Western Asia,43.3713615,42.04813028,GEO,1,20,2000,2019,587.032,595.939,601.314,604.101,605.976,608.229,616.924,648.932,654.958,659.829,659.272,662.439,666.783,675.231,711.636,714.921,731.319,792.981,821.49,839.123,839.123
288,Ghana,4,11,Western Africa,-1.205623522,7.964825185,GHA,1,20,2000,2019,61.506,60.018,58.567,57.145,55.743,54.357,52.911,51.564,50.364,49.099,47.893,46.746,45.651,59.749,58.516,58.262,57.103,56.021,55.621,54.445,54.445
308,Grenada,4,29,Caribbean,-61.68248568,12.11238395,GRD,1,20,2000,2019,0,0,0,0,0,0,0,1.036,1.413,1.815,2.438,3.278,3.648,5.5,7.144,10.064,20.551,20.203,21.893,29.017,29.017
312,Guadeloupe,4,29,Caribbean,-61.64762115,16.14416917,GLP,0,20,2000,2019,114.442,114.932,125.681,147.176,150.073,179.455,187.315,193.641,196.496,213.568,246.458,261.757,340.911,358.666,351.304,369.96,371.173,383.308,394.15,461.695,461.695
316,Guam,4,543,Oceania (exc. Australia and New Zealand),144.7029305,13.35485404,GUM,0,20,2000,2019,0,0,0,0,0,0,0,0,0,0.283,0.564,0.845,1.969,5.049,8.944,197.404,214.332,212.593,211.468,209.54,209.54
320,Guatemala,4,13,Central America,-91.2312746,15.00273719,GTM,1,20,2000,2019,62.267,63.347,63.213,63.811,66.657,73.949,82.382,82.969,84.376,84.246,89.608,89.691,99.191,105.571,111.457,134.028,160.833,162.749,172.897,163.262,163.262
324,Guinea,4,11,Western Africa,-11.28173419,11.00210343,GIN,1,20,2000,2019,15.559,15.233,14.933,14.649,14.365,14.075,13.776,13.471,13.166,12.928,12.639,12.362,12.095,12.084,11.804,33.374,32.503,31.617,30.737,29.878,29.878
624,Guinea-Bissau,4,11,Western Africa,-14.40182514,12.11760394,GNB,1,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.175,0.171,0.624,0.609,0.609
328,Guyana,4,5,South America,-58.97322037,4.788012784,GUY,1,20,2000,2019,29.397,29.666,29.89,30.092,29.607,29.799,30.011,30.214,30.464,70.785,70.943,71.912,71.866,71.805,71.695,71.975,59.81,61.443,65.151,67.47,67.47
332,Haiti,4,29,Caribbean,-72.33640958,18.40426539,HTI,1,20,2000,2019,6.65,6.538,6.43,6.324,6.221,6.121,6.023,5.928,5.835,5.745,5.712,5.629,5.602,5.546,5.479,5.438,5.369,5.348,7.24,7.15,7.15
340,Honduras,4,13,Central America,-86.59974381,14.82243161,HND,1,20,2000,2019,66.666,64.945,68.402,68.323,69.419,72.338,73.821,75.392,75.8,75.367,74.423,85.684,85.09,91.528,102.079,148.39,157.412,168.561,175.155,178.761,178.761
356,India,4,34,Southern Asia,79.3608464,22.34642074,IND,1,20,2000,2019,23.661,24.807,24.541,27.225,29.381,31.685,34.851,36.69,39.297,39.613,42.34,46.432,47.765,49.567,55.41,59.899,68.185,78.561,87.295,93.846,93.846
360,Indonesia,4,35,South-Eastern Asia,113.9174,-0.994582204,IDN,1,20,2000,2019,25.887,21.706,21.612,21.475,21.4,23.611,24.779,24.929,24.937,28.085,28.35,29.158,30.144,32.806,32.991,32.947,33.906,34.594,35.435,36.437,36.437
364,Iran (Islamic Republic of),5,127,Southern Asia (excluding India),54.19766348,32.74370885,IRN,1,20,2000,2019,30.629,30.249,45.181,65.118,73.051,87.159,93.815,104.927,107.252,107.07,116.428,118.581,130.504,135.722,141.414,145.905,148.606,153.805,154.999,155.979,155.979
368,Iraq,4,145,Western Asia,43.76606267,33.05013795,IRQ,1,20,2000,2019,28.514,27.677,14.439,17.938,59.664,60.247,72.318,72.838,80.075,78.498,76.469,74.022,58.493,57.147,55.267,64.962,63.119,61.536,64.784,63.34,63.34
388,Jamaica,4,29,Caribbean,-77.31068409,18.15616857,JAM,1,20,2000,2019,20.805,20.499,19.953,19.831,27.387,27.237,27.24,27.176,27.115,27.301,33.742,33.734,33.647,36.076,36.565,37.194,64.905,74.167,73.813,86.027,86.027
400,Jordan,4,145,Western Asia,37.13024774,30.65365973,JOR,1,20,2000,2019,2.811,2.76,2.708,2.65,2.581,2.498,2.821,2.702,2.578,2.452,2.327,2.209,2.096,1.999,1.92,20.149,55.088,62.46,115.834,162.579,162.579
398,Kazakhstan,4,143,Central Asia,66.65359159,48.01963494,KAZ,1,20,2000,2019,151.447,151.574,150.906,149.668,148.393,146.016,144.756,143.404,142.738,141.265,140.017,138.113,154.107,153.18,162.106,164.65,165.504,166.766,183.887,209.518,209.518
404,Kenya,4,14,Eastern Africa,37.86096816,0.534797278,KEN,1,20,2000,2019,24.065,23.417,22.791,22.182,23.551,22.916,22.346,21.736,22.654,23.191,24.735,24.107,24.702,24.322,27.373,33.256,33.387,33.039,39.235,41.434,41.434
296,Kiribati,4,543,Oceania (exc. Australia and New Zealand),-157.5643005,1.768837732,KIR,1,20,2000,2019,0.735,0.722,0.71,0.698,2.243,2.589,2.639,2.714,2.744,2.636,3.808,4.067,4.381,4.653,6.884,20.815,25.433,25.072,24.706,24.335,24.335
414,Kuwait,4,145,Western Asia,47.49305029,29.53949468,KWT,1,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.713,1.205,1.455,8.317,10.949,13.407,25.135,25.135
417,Kyrgyzstan,4,143,Central Asia,74.52324839,41.46204516,KGZ,1,20,2000,2019,598.165,593.088,589.685,587.09,584.124,579.941,574.392,567.898,560.27,551.895,565.111,556.64,546.376,623.156,628.093,616.953,605.298,595.923,582.659,572.504,572.504
418,Lao People's Democratic Republic,4,35,South-Eastern Asia,101.9901968,20.27482773,LAO,1,20,2000,2019,120.526,118.834,117.058,115.335,113.632,119.057,117.138,115.19,113.253,298.572,408.184,402.597,460.004,460.179,496.464,652.44,709.44,728.735,752.945,841.754,841.754
422,Lebanon,4,145,Western Asia,35.89391711,33.92152458,LBN,1,20,2000,2019,73.384,70.659,67.429,64.261,61.715,60.016,59.247,59.152,59.185,58.591,57.001,54.3,51.517,48.696,46.59,45.652,47.385,44.417,46.851,46.876,46.876
426,Lesotho,4,18,Southern Africa,28.25362195,-29.58041814,LSO,1,20,2000,2019,37.101,37.048,37.156,37.035,37.264,37.448,36.559,36.614,36.611,36.555,36.456,36.306,37.097,37.028,36.758,36.48,36.198,35.913,35.627,35.343,35.343
430,Liberia,4,11,Western Africa,-9.311879038,6.448381009,LBR,1,20,2000,2019,1.404,1.354,1.322,1.3,1.276,1.243,1.201,1.155,1.109,1.065,1.029,0.997,0.977,0.951,0.927,0.907,5.681,20.077,19.627,19.157,19.157
434,Libya,4,15,Northern Africa,18.0295985,27.04042819,LBY,1,20,2000,2019,0,0,0,0.036,0.123,0.207,0.289,0.368,0.446,0.522,0.597,0.672,0.78,0.775,0.77,0.763,0.755,0.777,0.765,0.754,0.754
450,Madagascar,4,14,Eastern Africa,46.6982339,-19.38514785,MDG,1,20,2000,2019,6.71,6.506,6.311,6.126,5.951,5.778,5.622,5.469,6.088,5.949,6.18,6.035,7.379,7.292,7.21,7.143,7.034,6.93,7.509,7.312,7.312
454,Malawi,4,14,Eastern Africa,33.4884625,-13.40819859,MWI,1,20,2000,2019,26.903,26.237,25.597,24.936,24.325,23.7,23.07,22.447,21.817,21.215,20.631,20.121,19.614,19.237,22.773,22.417,21.836,21.662,21.955,21.399,21.399
458,Malaysia,4,35,South-Eastern Asia,116.8346314,5.452415309,MYS,1,20,2000,2019,119.039,115.99,115.126,113.407,111.193,107.277,106.978,105.855,104.094,102.42,99.149,135.954,145.909,192.629,212.854,249.445,259.333,235.745,239.167,251.847,251.847
462,Maldives,5,127,Southern Asia (excluding India),73.09672546,-0.614385021,MDV,1,20,2000,2019,0,0,0,0,0,0.038,0.195,0.26,4.356,4.629,4.533,4.405,7.089,7.808,12.717,12.198,17.325,22.035,21.21,28.707,28.707
466,Mali,4,11,Western Africa,-3.522016039,17.35311254,MLI,1,20,2000,2019,7.746,7.537,24.571,23.853,23.154,22.442,21.775,21.126,20.471,19.814,19.366,19.005,18.82,22.07,21.936,21.362,20.751,20.25,19.65,19.072,19.072
584,Marshall Islands,4,543,Oceania (exc. Australia and New Zealand),171.0839119,7.110213497,MHL,1,20,2000,2019,0.788,0.778,0.764,0.748,1.285,1.267,1.255,1.249,2.671,4.8,5.678,5.661,8.464,11.593,17.645,17.565,27.875,27.716,27.837,27.657,27.657
474,Martinique,4,29,Caribbean,-60.91544135,14.56086108,MTQ,0,20,2000,2019,0,0,10.191,10.139,12.875,12.84,19.103,22.862,31.182,48.668,79.814,135.499,167.625,174.476,177.362,188.119,192.15,193.379,299.996,349.081,349.081
478,Mauritania,4,11,Western Africa,-10.33187259,20.26089546,MRT,1,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,5.868,5.737,12.991,16.612,16.151,27.535,26.937,26.937
480,Mauritius,4,14,Eastern Africa,57.568022,-20.28581998,MUS,1,20,2000,2019,93.756,101.402,99.904,98.069,97.695,165.723,103.189,111.367,105.276,131.624,131.507,123.174,112.965,115.32,127.673,136.051,150.039,150.937,181.118,193.365,193.365
175,Mayotte,4,14,Eastern Africa,45.14015057,-12.82217691,MYT,0,20,2000,2019,0,0,0,0,0,0,0,0,2.609,8.934,39.978,57.891,59.087,57.777,56.638,55.139,54.07,59.875,58.36,56.907,56.907
484,Mexico,4,13,Central America,-102.5148166,23.93378032,MEX,1,20,2000,2019,109.889,109.603,108.138,107.954,115.285,113.91,114.912,120.371,116.59,117.433,118.456,116.513,125.944,127.715,137.659,141.935,152.633,155.976,175.356,201.039,201.039
583,Micronesia (Federated States of),4,543,Oceania (exc. Australia and New Zealand),158.225216,6.880670092,FSM,1,20,2000,2019,20.111,20.155,20.182,0.935,0.938,0.942,0.949,1.723,2.269,5.128,5.13,5.104,5.052,6.458,6.366,6.282,11.65,11.52,24.112,23.864,23.864
496,Mongolia,4,30,Eastern Asia,103.0728057,46.83892054,MNG,1,20,2000,2019,6.267,6.657,6.593,6.67,6.596,6.745,7.024,7.103,8.385,8.351,12.6,12.37,12.25,29.369,28.787,28.227,31.677,57.78,79.306,85.644,85.644
500,Montserrat,4,29,Caribbean,-62.19261223,16.73558313,MSR,0,20,2000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.09,50.09
504,Morocco,4,15,Northern Africa,-6.281942841,31.8440131,MAR,1,20,2000,2019,42.625,42.148,41.702,44.573,44.111,43.648,43.179,44.644,44.144,47.598,48.266,48.677,48.033,54.476,62.679,66.448,68.513,71.242,90.673,89.578,89.578
508,Mozambique,4,14,Eastern Africa,38.18479941,-14.27963886,MOZ,1,20,2000,2019,124.088,120.615,114.64,111.278,108.04,106.306,104.261,99.885,98.661,95.997,93.399,90.887,88.531,86.254,83.977,81.747,79.54,77.929,75.691,74.84,74.84
104,Myanmar,4,35,South-Eastern Asia,96.51752295,21.19332882,MMR,1,20,2000,2019,6.798,6.725,7.287,7.219,8.702,14.383,14.493,14.908,15.418,28.337,43.757,49.86,52.084,54.351,57.239,61.138,62.173,62.807,62.496,62.855,62.855
516,Namibia,4,18,Southern Africa,17.21907885,-22.13817068,NAM,1,20,2000,2019,134.276,132.234,130.433,128.55,126.632,124.753,122.811,120.936,119.018,117.182,115.476,114.907,155.617,154.493,152.605,151.815,162.608,175.744,179.716,195.404,195.404
520,Nauru,4,543,Oceania (exc. Australia and New Zealand),166.92313,-0.528742623,NRU,1,20,2000,2019,0,0,0,0,0,0,4.07,4.063,4.049,4.022,3.996,3.973,6.906,20.572,20.41,20.243,67.787,67.127,76.981,76.366,76.366
524,Nepal,5,127,Southern Asia (excluding India),83.94678863,28.25866332,NPL,1,20,2000,2019,11.762,16.537,16.528,22.388,22.49,22.352,22.225,22.183,22.299,25.718,25.979,26.362,26.618,28.038,28.657,30.614,31.09,35.951,39.676,43.208,43.208
540,New Caledonia,4,543,Oceania (exc. Australia and New Zealand),165.5067368,-21.41742531,NCL,0,20,2000,2019,367.987,373.41,376.704,390.707,435.501,429.223,445.958,457.466,451.227,465.351,467.307,464.017,457.624,451.421,446.458,453.254,456.939,519.02,531.648,618.39,618.39
558,Nicaragua,4,13,Central America,-85.03060315,12.84210839,NIC,1,20,2000,2019,30.184,28.727,42.712,46.754,56.666,57.722,56.936,56.278,55.51,61.7,64.835,63.967,91.873,91.758,97.006,98.563,104.875,105.517,104.201,111.744,111.744
562,Niger,4,11,Western Africa,9.400167877,17.42143036,NER,1,20,2000,2019,0.044,0.051,0.049,0.055,0.061,0.073,0.078,0.075,0.079,0.076,0.128,0.175,0.225,0.27,0.312,0.35,0.385,0.419,1.205,1.16,1.16
