Marca temporal,Edad:,Sexo:,Distrito:,¿Actualmente cuál es su principal ocupación?,¿Conocía las billeteras digitales antes de la pandemia de COVID-19?,¿Utilizaba billeteras digitales antes de la pandemia?,¿Cuál es la principal razón por la que utilizaba las billeteras digitales antes de la pandemia?,¿Cuál es la principal razón por la que NO utilizaba las billeteras digitales antes de la pandemia?,¿Actualmente utiliza billeteras digitales?,¿Qué billetera digital usa con más frecuencia?,¿Cuál es la segunda billetera digital que usa con más frecuencia?,¿Desde hace cuánto utiliza este método de pago?,¿Qué razones llevaron a que empezara a usar las billeteras digitales?,¿Por qué razones sigue utilizando este método de pago?,¿Las billeteras digitales son su método principal de pago?,¿Ha intentado usar billeteras digitales?,¿Cuál es su método principal de pago?,¿Qué factores le impiden utilizar una billetera digital como método principal?,¿Cuál es el gasto promedio diario (en soles) que tenía antes de la pandemia con su método principal de pago?,¿Cuál es el gasto promedio diario actual (en soles) que tiene con su método principal de pago?,"En una escala del 1 al 5, ¿qué tan cómodo se siente con su método principal de pago?","En una escala del 1 al 5, ¿cuán rápido cree que es pagar con billeteras digitales que con otros métodos de pago?",¿Cuántos miembros de su familia utilizan billeteras digitales?
29/04/2023 14:38:12,22,Femenino,Callao *,Estudiante,No,,,,Sí,Plin,Yape,17,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Sí,,,,30,50,4,5,3
29/04/2023 14:40:28,21,Femenino,San Juan de Lurigancho,Estudiante,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Yape,Ninguno,48,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Tarjeta (de crédito o de débito),Ninguna de las anteriores,200,400,5,5,4
29/04/2023 14:47:12,18,Masculino,Santiago de Surco,Estudiante,No,,,,No,,,,,,,No,Efectivo,Desconocimiento de cómo usar este tipo de método de pago,20,20,5,5,4
29/04/2023 14:52:11,20,Femenino,Santiago de Surco,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Agora PAY,12,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,3,15,5,5,3
29/04/2023 15:01:48,18,Femenino,San Luis,Estudiante,No,,,,Sí,Yape,Plin,9,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),No,,Efectivo,Ninguna de las anteriores,20,40,5,5,4
29/04/2023 15:43:13,18,Femenino,Miraflores,Estudiante,No,,,,Sí,Yape,Yape,6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,30,30,4,5,3
29/04/2023 15:46:29,19,Femenino,Santiago de Surco,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Ninguno,24,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros),No,,Efectivo,Ninguna de las anteriores,60,20,4,4,3
29/04/2023 16:05:53,18,Femenino,Santiago de Surco,Estudiante,No,,,,Sí,Yape,Ninguno,4,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",No,,Efectivo,Ninguna de las anteriores,5,10,4,5,3
29/04/2023 16:19:08,20,Masculino,San Juan de Lurigancho,Estudiante,No,,,,Sí,Yape,Ninguno,18,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),200,200,2,5,2
29/04/2023 16:26:27,18,Femenino,Surquillo,Estudiante,Sí,No,,Poca/nula necesidad,No,,,,,,,No,Efectivo,Falta de necesidad,5,10,5,5,2
29/04/2023 16:33:13,18,Masculino,Lurigancho,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Yape,Plin,11,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),5,8,4,4,6
29/04/2023 16:50:35,43,Femenino,San Juan de Lurigancho,Oficio,No,,,,Sí,Yape,Plin,24,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,80,5,5,3
29/04/2023 17:25:24,18,Femenino,Santiago de Surco,Estudiante,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),"Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",10,30,5,3,0
29/04/2023 17:25:28,18,Femenino,Surquillo,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Yape,26,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,70,120,5,4,5
29/04/2023 17:52:48,18,Masculino,La Molina,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Plin,Yape,18,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,15,30,5,5,4
29/04/2023 18:15:16,19,Femenino,Chorrillos,Estudiante,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),Desconocimiento de cómo usar este tipo de método de pago,500,1000,4,3,0
29/04/2023 18:25:47,18,Femenino,El Agustino,Estudiante,No,,,,Sí,Yape,Ninguno,2,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",No,,Efectivo,Falta de necesidad,5,10,4,4,2
29/04/2023 20:32:44,18,Masculino,Santiago de Surco,Estudiante,No,,,,No,,,,,,,No,Efectivo,"Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",3,7,5,3,5
30/04/2023 14:34:39,18,Masculino,San Borja,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Yape,Ninguno,18,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",No,,Tarjeta (de crédito o de débito),Incomodidad,15,20,5,4,5
30/04/2023 19:35:22,21,Femenino,San Martín de Porres,Estudiante,No,,,,No,,,,,,,No,Efectivo,Desconocimiento de cómo usar este tipo de método de pago,50,100,5,5,1
30/04/2023 19:52:31,20,Femenino,Barranco,Estudiante,No,,,,Sí,Yape,Plin,18,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,50,100,5,3,5
30/04/2023 22:09:23,18,Femenino,Santiago de Surco,Estudiante,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),"Falta de necesidad, Incomodidad, Desconocimiento de cómo usar este tipo de método de pago",20,20,3,3,0
30/04/2023 22:23:23,18,Masculino,Breña,Estudiante,Sí,No,,Poca/nula necesidad,No,,,,,,,Sí,Efectivo,"Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",5,2.5,5,5,6
30/04/2023 22:29:47,18,Femenino,Barranco,Estudiante,No,,,,Sí,Yape,Ninguno,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",No,,Efectivo,Falta de necesidad,30,30,4,5,2
30/04/2023 23:01:35,19,Masculino,Los Olivos,Estudiante,Sí,No,,Ninguna de las anteriores,Sí,Yape,Plin,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",Sí,,,,50,10,5,5,6
30/04/2023 23:15:50,18,Femenino,Barranco,Estudiante,No,,,,Sí,Yape,Yape,2,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,15,13,4,4,4
30/04/2023 23:22:04,19,Femenino,Barranco,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,Ninguna de las anteriores,5,10,4,4,0
30/04/2023 23:23:59,18,Femenino,Chaclacayo,Estudiante,No,,,,Sí,Plin,Yape,12,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",No,,Ninguna de las anteriores,Desconocimiento de cómo usar este tipo de método de pago,12,250,4,4,3
30/04/2023 23:32:47,18,Femenino,San Martín de Porres,Estudiante,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),Falta de necesidad,10,20,3,4,3
1/05/2023 0:10:32,19,Masculino,San Juan de Miraflores,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,"Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",60,100,3,3,0
1/05/2023 0:18:05,31,Femenino,Santa Anita,Trabajo profesional,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Plin,Yape,60,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Sí,,,,20,40,4,4,7
1/05/2023 0:40:06,19,Femenino,Barranco,Estudiante,No,,,,Sí,Yape,Yape,8,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,50,50,5,5,4
1/05/2023 0:43:28,25,Masculino,La Molina,Oficio,No,,,,Sí,Yape,Ninguno,36,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,20,50,4,3,3
1/05/2023 5:47:42,30,Masculino,Comas,Oficio,Sí,No,,Poca/nula necesidad,Sí,Yape,Plin,24,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Ninguna de las anteriores,10,20,5,5,3
1/05/2023 8:57:54,18,Femenino,La Molina,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,"Falta de necesidad, Incomodidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",10,20,4,5,1
1/05/2023 9:04:20,20,Femenino,San Martín de Porres,Estudiante,No,,,,No,,,,,,,No,Efectivo,Desconocimiento de cómo usar este tipo de método de pago,167,230,3,3,7
1/05/2023 9:07:28,18,Masculino,La Molina,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),30,1300,4,3,0
1/05/2023 9:11:13,20,Femenino,Ate,Estudiante,No,,,,Sí,Yape,Ninguno,1,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),No,,Efectivo,Ninguna de las anteriores,10,20,4,4,4
1/05/2023 9:33:37,18,Femenino,Comas,Estudiante,No,,,,Sí,Yape,Ninguno,4,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",Sí,,,,50,100,5,5,3
1/05/2023 11:04:47,18,Femenino,Santiago de Surco,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,No,,,,,,,Sí,Efectivo,"Falta de necesidad, Desconocimiento de cómo usar este tipo de método de pago",20,30,3,4,2
1/05/2023 11:30:01,20,Femenino,Santiago de Surco,Estudiante,Sí,Sí,Necesidad (ej.: Este medio era muy usado en su entorno),,Sí,Yape,Yape,2,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Sí,,,,2,2,2,2,2
1/05/2023 13:39:39,17,Femenino,Santiago de Surco,Estudiante,No,,,,No,,,,,,,No,Efectivo,Desconocimiento de cómo usar este tipo de método de pago,76,7,2,5,1
1/05/2023 13:49:46,18,Femenino,Villa María del Triunfo,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Plin,6,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,20,40,5,4,4
1/05/2023 14:22:53,19,Masculino,San Juan de Miraflores,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Plin,10,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Costumbre",No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),20,20,4,4,3
1/05/2023 14:41:32,45,Femenino,San Juan de Miraflores,Trabajo profesional,No,,,,No,,,,,,,Sí,Transferencia bancaria,"Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",100,100,4,5,0
