Depatamento,POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2018 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2019 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2020 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2021 (Miles de personas),POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2018,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2019,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2020,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2021,POBLACION POR DEPARTAMENTO CENSO 2017,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2018,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2019,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2020,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2021,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,Tasa de Empleo 2018,Tasa de Empleo 2019,Tasa de Empleo 2020,Tasa de Empleo 2021,Tasa de Desempleo 2018,Tasa de Desempleo 2019,Tasa de Desempleo 2020,Tasa de Desempleo 2021
ICA,421.7,441.2,376,430.7,75.3,76.9,77.4,77.8,816 219,430.6,451.9,397.1,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.93311658151416,97.63221951759239,94.6864769579451,97.22347629796839,11.81938911022581,13.914174252275666,27.260981912144732,15.809768637532148
JUNIN,726,751.8,654,746.8,70.8,70.7,71.9,72.2,1 483 077,744.1,765.8,685.8,773.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.56753124580028,98.17184643510055,95.36307961504814,96.49825558857734,25.564971751412465,19.801980198019802,44.22809457579965,37.53462603878119
LA LIBERTAD,997.6,NA,844.7,978.3,73.7,74.8,75.1,75.9,1 770 922,NA,NA,925.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2991785559879,NA,NA,NA,107.19041278295607,NA
LAMBAYEQUE,654.9,664.9,569.3,663.2,75.1,76,76.9,77.4,1 237 398,676.5,683.5,601.1,686.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.8070953436807,97.2787125091441,94.70969888537681,96.60597232337946,28.761651131824266,24.473684210526343,41.3524057217166,30.103359173126552
LIMA,NA,NA,NA,NA,76.7,78.4,78.5,78.6,6 841 680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LORETO,513.9,514.9,500.3,554.4,69,71,71.9,72.8,1 055 595,527,526.3,518.2,570.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.51423149905123,97.83393501805054,96.54573523736009,97.19495091164096,18.985507246376844,16.05633802816898,24.8956884561892,21.978021978021978
MADRE DE DIOS,86,83.7,80,93.2,72.6,73.7,75.6,76.5,96 845,87.3,85.2,83.3,95.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.51088201603666,98.23943661971832,96.03841536614645,97.79643231899267,1.7906336088154233,2.0352781546811394,4.365079365079361,2.7450980392156787
MOQUEGUA,102.9,106,94.1,107.4,78.8,79.7,80.3,81.1,157 922,106.9,110.8,102.3,113.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.25818521983162,95.66787003610109,91.98435972629521,94.37609841827769,5.0761421319796955,6.022584692597236,10.211706102117065,7.891491985203443
PASCO,167.5,162.2,164.7,177.2,71.3,71.8,71.8,72.1,358 165,173.8,169.7,176.5,186.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.37514384349826,95.58043606364171,93.31444759206798,95.21762493283181,8.835904628331011,10.445682451253482,16.43454038997216,12.34396671289876
PIURA,945.9,990.4,889.4,NA,71.9,73,73.6,73.6,2 124 065,974.7,NA,930.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.04524469067405,NA,95.62412643801741,NA,40.055632823365876,NA,55.29891304347833,NA
PUNO,795.1,800.9,796,887.9,71.2,71.3,71.3,72.1,1 492 471,821.6,829.9,827.9,922.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.77458617332036,96.50560308470901,96.14687764222732,96.28063326827152,37.21910112359551,40.67321178120617,44.74053295932676,47.57281553398068
SAN MARTIN,470.9,491.2,484.5,538,72,73.4,73.8,74.6,769 569,475.7,497.6,497.1,550.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.99096068951019,98.71382636655947,97.46529873264936,97.80039992728594,6.666666666666682,8.719346049046367,17.07317073170735,16.219839142091185
TACNA,186.2,186.2,152.7,182.1,76,77.3,77.2,77.9,240 611,191.7,192.4,161.9,195.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.13093375065206,96.77754677754676,94.31747992588016,93.1457800511509,7.236842105263158,8.020698576972855,11.917098445595876,17.201540436457
TUMBES,134.1,135.7,114.4,136.3,75.7,76.7,76.9,78.2,215 199,141.2,140.9,126,144.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.97167138810198,96.30943931866571,90.7936507936508,94.39058171745152,9.379128137384404,6.7796610169491744,15.084525357607273,10.358056265984647
UCAYALI,277.9,282.8,269.8,299.7,72.2,74.1,74.5,75.5,452 531,285.7,288.4,276.2,305.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.26986349317465,98.05825242718448,97.68283852280956,98.03729146221785,10.803324099723007,7.557354925775933,8.590604026845607,7.9470198675496695
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
