NOMBRE EMPRESA,RUC,SECTOR,TIPO DE ENTIDAD OTORGANTE DEL BCP,NOMBRE ENTIDAD OTORGANTE DEL BCP,MONTO PRESTAMO,MONTO COBERTURA,DEPARTAMENTO,Tipo Empresa,Condición,Fecha Inicio Actividades,Años Actividad,categoria_antiguedad
AGROCENTRO N&B SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,20539061501,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,106788,101448.6,AMAZONAS,Soc.Com.Respons. Ltda,Activo,2/1/2013,7,tier2
CENTRO DE MEDICINA INTEGR AL Y NATURAL SALUD Y VIDA,20539224817,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,14936,14637.28,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,8/1/2013,6,tier2
AGROSOL JR. S.A.C,20561166138,COMERCIO,BANCA MULTIPLE,BCP,131085,124530.75,AMAZONAS,Sociedad Anonima Cerrada,Activo,2/1/2014,6,tier2
MAORMO 29 EIRL,20561296422,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BCP,50015,47514.25,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,7/1/2014,5,tier2
JOSFRANC SAC,20561337633,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BANCO BBVA PERU,194000,184300,AMAZONAS,Sociedad Anonima Cerrada,Activo,8/14/2014,5,tier2
OLEOCENTRO &ERVICIOS SILVA SAC,20561358631,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,38000,36100,AMAZONAS,Sociedad Anonima Cerrada,Activo,9/22/2014,5,tier2
BIOINDUSTRIAS JB EIRL,20561372111,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,24242,23757.16,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,10/1/2014,5,tier2
INVERSIONES PVER S.A.C,20566025770,OTROS SERVICIOS,BANCA MULTIPLE,BCP,18093,17731.14,AMAZONAS,Sociedad Anonima Cerrada,Activo,11/1/2014,5,tier2
GRUPO INVERSIONES VICE S.A.C.,20600009886,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BANCO BBVA PERU,367126,330413.4,AMAZONAS,Sociedad Anonima Cerrada,Activo,1/1/2015,5,tier2
NIGTH CLUB FLECHA ROJA EM PRESA INDIVIDUAL DE RESPO NSABILIDAD,20600215010,OTROS SERVICIOS,BANCA MULTIPLE,BCP,21448,21019.04,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,3/13/2015,5,tier2
NEGOCIOS Y SERVICIOS GENE RALES TAVARA EIRL,20600254171,OTROS SERVICIOS,BANCA MULTIPLE,BCP,101521,96444.95,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,4/1/2015,5,tier2
FERRETERIA CONSTRUCCION Y AGREGADOS RUBIO SAC,20600566017,COMERCIO,BANCA MULTIPLE,BCP,41686,39601.7,AMAZONAS,Sociedad Anonima Cerrada,Activo,8/1/2015,4,tier3
INVERSIONES N & Z E.I.R.L .,20600661842,OTROS SERVICIOS,BANCA MULTIPLE,BCP,34969,33220.55,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,10/1/2015,4,tier3
EL AVANCE IMPORTACIONES E .I.R.L,20600691296,COMERCIO,BANCA MULTIPLE,BCP,296539,281712.05,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,10/1/2015,4,tier3
RAICOSOFT EIRL,20600775431,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,8283,8117.34,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,11/1/2015,4,tier3
AMERICAN MEDICS SERVICE SAC,20600790961,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,MIBANCO,20814,20397.72,AMAZONAS,Sociedad Anonima Cerrada,Activo,11/6/2015,4,tier3
PAISAJISMO URBANO E.I.R.L.,20600850092,COMERCIO,CMAC,CMAC PIURA,42500,40375,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,12/1/2015,4,tier3
SECH INGENIERIA Y CONSTRU CCIONES E.I.R.L.,20600859812,CONSTRUCCION,BANCA MULTIPLE,BCP,52198,49588.1,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,12/1/2015,4,tier3
EMPRESA DE TRANSPORTES M & GUARANITO E.I.R.L,20600510968,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,140403,133382.85,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,2/1/2016,4,tier3
CONSTRUCTORA & DISTRIBUID ORA JESUS SAC,20601025648,OTROS SERVICIOS,BANCA MULTIPLE,BCP,528908,476017.2,AMAZONAS,Sociedad Anonima Cerrada,Activo,3/23/2016,4,tier3
CTIN TEK S.A.C.,20601109744,OTROS SERVICIOS,BANCA MULTIPLE,BCP,40356,38338.2,AMAZONAS,Sociedad Anonima Cerrada,Activo,4/1/2016,4,tier3
AGROPECUARIA UTCUBAMBA E. I.R.L.,20601293821,OTROS SERVICIOS,BANCA MULTIPLE,BCP,48283,45868.85,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,6/1/2016,3,tier3
HIDROKESAN SRL,20601370477,COMERCIO,BANCA MULTIPLE,BCP,17321,16974.58,AMAZONAS,Soc.Com.Respons. Ltda,Activo,7/1/2016,3,tier3
AGROSERVICIOS JHERRY S.R. L.,20601646197,OTROS SERVICIOS,BANCA MULTIPLE,BCP,10120,9917.6,AMAZONAS,Soc.Com.Respons. Ltda,Activo,11/1/2016,3,tier3
TRANSPORTES TRANSCISCAR S.A.C.,20601925622,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC PIURA,3.145.083.333,2.987.829.167,AMAZONAS,Sociedad Anonima Cerrada,Activo,3/2/2017,3,tier3
TRANSPORTE TERRESTRE TURI SMO MARYORY 4 SOCIEDAD CO MERCIAL DE RESPONSABILIDA,20602034284,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,114378,108659.1,AMAZONAS,Soc.Com.Respons. Ltda,Activo,4/1/2017,3,tier3
FERRETEROS DEL PERU MAURI CIO SAC,20602276067,COMERCIO,BANCA MULTIPLE,BCP,58673,55739.35,AMAZONAS,Sociedad Anonima Cerrada,Activo,7/10/2017,2,tier4
GRUP LUS HUAMAN SAC,20602460887,COMERCIO,CMAC,CMAC PIURA,81000,76950,AMAZONAS,Sociedad Anonima Cerrada,Activo,9/15/2017,2,tier4
WILLYS HOTELES RESTAURANT ES SAC,20602670261,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BCP,38962,37013.9,AMAZONAS,Sociedad Anonima Cerrada,Activo,12/1/2017,2,tier4
LA CASA DEL TRIPLAY S.R.LTDA,20114379159,COMERCIO,CMAC,CMAC SULLANA,13560,13288.8,ANCASH,Soc.Com.Respons. Ltda,Activo,5/1/1975,45,tier1
COMPANIA MINERA EL FERROLS.A.C.,20114213854,MINERIA,BANCA MULTIPLE,BCP,850052,765046.8,ANCASH,Sociedad Anonima Cerrada,Activo,10/28/1986,33,tier1
AGROFER S.R.LTDA.,20115502744,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,100000,95000,ANCASH,Soc.Com.Respons. Ltda,Activo,10/1/1991,28,tier1
OLDIM SA,20229104421,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BANCO BBVA PERU,111800,106210,ANCASH,Sociedad Anonima,Activo,10/24/1994,25,tier1
EMPRESA DE TRANSPORTE EN AUTOMOVILES LOS CASMEnOS,20230872270,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,MIBANCO,39404,37433.8,ANCASH,Sociedad Anonima,Activo,2/1/1995,25,tier1
ESTRUCTURAS METALICAS INDUSTRIALES KARINA SRL,20282555787,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,MIBANCO,18736,18361.28,ANCASH,Soc.Com.Respons. Ltda,Activo,6/20/1995,24,tier1
RUVICAR E.I.R.L.,20402830990,COMERCIO,BANCA MULTIPLE,BCP,4665,4571.7,ANCASH,Empresa Individual de Resp. Ltda,Activo,10/1/1998,21,tier1
FIBRATER S.R.L.,20402946271,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,254900,242155,ANCASH,Soc.Com.Respons. Ltda,Activo,2/10/1999,21,tier1
CENTRO EDUCATIVO PRIVADO SANTA ANA DE LOS JARDINES E.I.R.L,20475225521,ENSENANZA,CMAC,CMAC PIURA,320000,288000,ANCASH,Empresa Individual de Resp. Ltda,Activo,1/1/2001,19,tier1
EMPRESA TELLO BAZAN E.I.R.L.,20445255182,ENSENANZA,BANCA MULTIPLE,BCP,280724,266687.8,ANCASH,Empresa Individual de Resp. Ltda,Activo,2/11/2002,18,tier1
COMERCIO Y TRANSPORTE CONDORCOCHA SRL,20504960316,COMERCIO,BANCA MULTIPLE,BCP,410234,369210.6,ANCASH,Soc.Com.Respons. Ltda,Activo,8/28/2002,17,tier1
SIDECOM IMPORT E.I.R.L.,20445301982,COMERCIO,BANCA MULTIPLE,BCP,52101,49495.95,ANCASH,Empresa Individual de Resp. Ltda,Activo,12/1/2002,17,tier1
INVERSIONES TURISTICAS LA BRASA RED EIRL,20530711472,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BANCO BBVA PERU,194400,184680,ANCASH,Empresa Individual de Resp. Ltda,Activo,4/16/2003,17,tier1
EFICOM S.A.C.,20445471128,COMERCIO,BANCA MULTIPLE,BCP,6122,5999.56,ANCASH,Sociedad Anonima Cerrada,Activo,9/1/2005,14,tier1
FERRETERIA J & N E.I.R.L.,20445474810,COMERCIO,BANCA MULTIPLE,BCP,16423,16094.54,ANCASH,Empresa Individual de Resp. Ltda,Activo,10/1/2005,14,tier1
MARINES FORCE S.A.C.,20445511103,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,668756,601880.4,ANCASH,Sociedad Anonima Cerrada,Activo,4/1/2006,14,tier1
CONSULTORIA EL QUENUAL SAC,20531049161,INTERMEDIACION FINANCIERA,BANCA MULTIPLE,MIBANCO,149034,141582.3,ANCASH,Sociedad Anonima Cerrada,Activo,12/20/2006,13,tier1
MENPER'S S.A.C,20445575331,COMERCIO,BANCA MULTIPLE,BCP,17026,16685.48,ANCASH,Sociedad Anonima Cerrada,Activo,1/1/2007,13,tier1
INVERSIONES JHON MICH S.A .C.,20445588581,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,166152,157844.4,ANCASH,Sociedad Anonima Cerrada,Activo,3/1/2007,13,tier1
SERVICIOS GENERALES A & A S.A.C,20445604373,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,19564,19172.72,ANCASH,Sociedad Anonima Cerrada,Activo,5/1/2007,12,tier1
CONSTRUCTORA COVESA SRL,20445631265,CONSTRUCCION,BANCA MULTIPLE,BANCO BBVA PERU,1100000,990000,ANCASH,Soc.Com.Respons. Ltda,Activo,7/1/2007,12,tier1
GIGACEL S A C,20534131292,COMERCIO,BANCA MULTIPLE,MIBANCO,34436.42,32.714.599,ANCASH,Sociedad Anonima Cerrada,Activo,4/18/2008,12,tier1
TRABEL S.A.C,20445690512,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,6963,6823.74,ANCASH,Sociedad Anonima Cerrada,Activo,5/1/2008,11,tier1
GM EVENTOS E.I.R.L.,20445769704,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,45000,42750,ANCASH,Empresa Individual de Resp. Ltda,Activo,9/1/2008,11,tier1
INVERSIONES TRANSPORTE Y SERVICIOS GENERALES EIRL,20445791203,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",CMAC,CMCP LIMA,12000,11760,ANCASH,Empresa Individual de Resp. Ltda,Activo,10/1/2008,11,tier1
CONSTRUCTORA J.J ESPINOZACONTRATISTAS S.A.C,20407879687,CONSTRUCCION,BANCA MULTIPLE,BCP,230450,218927.5,ANCASH,Sociedad Anonima Cerrada,Activo,4/1/2009,11,tier1
MUNDO MARITIMO E.I.R.L.,20445701221,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,9327,9140.46,ANCASH,Empresa Individual de Resp. Ltda,Activo,7/1/2009,10,tier1
COOP DE SERVICIOS MULTIPLES APAES COOP APAE,20531741596,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,MIBANCO,299500,284525,ANCASH,"Cooperativas, Sais, Caps",Activo,11/1/2009,10,tier1
AGRONEGOCIOS Y SERVICIOS GENERALES ACUARIOS S.R.L.,20531745826,MINERIA,BANCA MULTIPLE,BANCO BBVA PERU,31700,30115,ANCASH,Soc.Com.Respons. Ltda,Activo,12/1/2009,10,tier1
AURUM GROUP S.A.C,20408132178,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,67595,64215.25,ANCASH,Sociedad Anonima Cerrada,Activo,7/5/2010,9,tier2
MAGUInA CARGO EXPRESS E I R L,20531828446,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,MIBANCO,14037,13756.26,ANCASH,Empresa Individual de Resp. Ltda,Activo,9/1/2010,9,tier2
CENTRO MEDICO GINECO OBSTETRICO SAN FERN ANDO SRL,20542024748,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BANCO BBVA PERU,23000,22540,ANCASH,Soc.Com.Respons. Ltda,Activo,10/13/2010,9,tier2
PESQUERA JOLSAN S.A.C,20445687058,PESCA,BANCA MULTIPLE,BCP,95783,90993.85,ANCASH,Sociedad Anonima Cerrada,Activo,2/1/2011,9,tier2
SERVICIOS GENERALES MECAN ICOS UNIDOS S.R.L.,20532004609,OTROS SERVICIOS,BANCA MULTIPLE,BCP,106204,100893.8,ANCASH,Soc.Com.Respons. Ltda,Activo,5/1/2011,8,tier2
CHISPA CORPORATION E.I.R. L.,20571117470,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,12635,12382.3,ANCASH,Empresa Individual de Resp. Ltda,Activo,7/1/2011,8,tier2
CENTRO ODONTOLOGICO I.P.P . DENTALS S.A.C.,20532076260,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,3533,3462.34,ANCASH,Sociedad Anonima Cerrada,Activo,10/1/2011,8,tier2
GRUPO CAVASSA SAC,20571180911,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,SCOTIABANK,1630554,1467498.6,ANCASH,Sociedad Anonima Cerrada,Activo,12/19/2011,8,tier2
DOIL INTERNATIONAL S.A.C.,20546139973,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,7000000,5600000,ANCASH,Sociedad Anonima Cerrada,Activo,12/23/2011,8,tier2
TRANSPORTES CRUZ E.I.R.L.,20571434521,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC SULLANA,13110,12847.8,ANCASH,Empresa Individual de Resp. Ltda,Activo,1/1/2013,7,tier2
INVERSIONES Y CONSTRUCCIONES H & A EIRL,20533603514,CONSTRUCCION,BANCA MULTIPLE,MIBANCO,206857.25,1.965.143.875,ANCASH,Empresa Individual de Resp. Ltda,Activo,1/16/2013,7,tier2
G & L DISTRIBUIDORA  PLASTICA EIRL,20569103950,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,156100,148295,ANCASH,Empresa Individual de Resp. Ltda,Activo,3/1/2013,7,tier2
IMPORTACIONES VELZU EIRL,20569141452,"ELECTRICIDAD, GAS Y AGUA",BANCA MULTIPLE,BCP,21232,20807.36,ANCASH,Empresa Individual de Resp. Ltda,Activo,5/1/2013,6,tier2
CMORALESC CONTRATISTAS GE NERALES EIRL,20533649182,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,81684,77599.8,ANCASH,Empresa Individual de Resp. Ltda,Activo,5/1/2013,6,tier2
J & V ANDINAS WOOL EIRL,20533659650,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,78828,74886.6,ANCASH,Empresa Individual de Resp. Ltda,Activo,6/1/2013,6,tier2
ESTACION DE SERVICIOS RUB Y & B.K. SAC,20569164827,COMERCIO,BANCA MULTIPLE,BCP,41508,39432.6,ANCASH,Sociedad Anonima Cerrada,Activo,7/1/2013,6,tier2
GRUPO ARILU SAC,20569195463,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,24310,23823.8,ANCASH,Sociedad Anonima Cerrada,Activo,10/1/2013,6,tier2
CORPORACION E INVERSIONES VEGA & L S.A.C.,20569221219,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,10669,10455.62,ANCASH,Sociedad Anonima Cerrada,Activo,12/1/2013,6,tier2
RAFAELLA AVOCADOS E.I.R.L,20569258996,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,BCP,54062,51358.9,ANCASH,Empresa Individual de Resp. Ltda,Activo,4/1/2014,6,tier2
SAFETY ENVIRONMENT AND QU ALITY S.A.C,20569278911,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,49144,46686.8,ANCASH,Sociedad Anonima Cerrada,Activo,6/1/2014,5,tier2
INVERSIONES Y SERVICIOS V ETERINARIO COTOS S.A.C.,20569314144,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,88033,83631.35,ANCASH,Sociedad Anonima Cerrada,Activo,10/1/2014,5,tier2
ZOMYVE E.I.R.L,20600339258,COMERCIO,BANCA MULTIPLE,BCP,56141,53333.95,ANCASH,Empresa Individual de Resp. Ltda,Activo,5/1/2015,4,tier3
F Y J BELLAVISTA E.I.R.L.,20600477863,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC SULLANA,20530,20119.4,ANCASH,Empresa Individual de Resp. Ltda,Activo,7/1/2015,4,tier3
COUNTRY GROUP SAC,20600686411,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BANCO BBVA PERU,62000,58900,ANCASH,Sociedad Anonima Cerrada,Activo,10/1/2015,4,tier3
ABAPES SAC,20600753011,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,92000,87400,ANCASH,Sociedad Anonima Cerrada,Activo,10/22/2015,4,tier3
PERU INVERSIONES LAS PALM AS S.R.L,20601088984,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,65200,61940,ANCASH,Soc.Com.Respons. Ltda,Activo,3/1/2016,4,tier3
PINCEL DE ORO EIRL,20601118051,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,75000,71250,ANCASH,Empresa Individual de Resp. Ltda,Activo,4/1/2016,4,tier3
INVERSIONES MIJEY E.I.R.L .,20601362954,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,369707,332736.3,ANCASH,Empresa Individual de Resp. Ltda,Activo,7/14/2016,3,tier3
HUASCARAN REPRESENTACIONES FERRETEROS S.A.C,20601507693,COMERCIO,BANCA MULTIPLE,SCOTIABANK,181000,171950,ANCASH,Sociedad Anonima Cerrada,Activo,9/17/2016,3,tier3
TRANSPORTES KAMITAL SAC,20601548187,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,58394,55474.3,ANCASH,Sociedad Anonima Cerrada,Activo,10/3/2016,3,tier3
AGRIYTEC SAC,20601616191,COMERCIO,CMAC,CMAC TRUJILLO,85000,80750,ANCASH,Sociedad Anonima Cerrada,Activo,11/2/2016,3,tier3
SERVICENTRO CALIFORNIA SA C,20601634741,COMERCIO,BANCA MULTIPLE,BCP,468194,421374.6,ANCASH,Sociedad Anonima Cerrada,Activo,11/8/2016,3,tier3
INVERSIONES GRACE PERU SR L,20533806628,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BCP,70827,67285.65,ANCASH,Soc.Com.Respons. Ltda,Activo,1/1/2017,3,tier3
DISTRIBUIDORA COMERCIALIZADORA Y SERVICIOS GENERALES NICOLAY E.I.R.L.,20601797098,COMERCIO,BANCA MULTIPLE,BANCO PICHINCHA,33000,31350,ANCASH,Empresa Individual de Resp. Ltda,Activo,1/12/2017,3,tier3
NEGOCIACIONES Y FERRETERIA ABIHAIL E.I.R.L.,20602017665,COMERCIO,CMAC,CMAC PIURA,120000,114000,ANCASH,Empresa Individual de Resp. Ltda,Activo,4/4/2017,3,tier3
JCC MULTISERVICES SAC,20602217222,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,37502,35626.9,ANCASH,Sociedad Anonima Cerrada,Activo,6/15/2017,2,tier4
SERVICENTRO SANTA MARTHA E.I.R.LTDA,20485592556,COMERCIO,CMAC,CMAC CUSCO,260000,247000,APURIMAC,Empresa Individual de Resp. Ltda,Activo,10/1/2000,19,tier1
KALLPA ANDINA S.R.L.,20526973527,SERVICIOS SOCIALES Y DE SALUD,CMAC,CMAC CUSCO,100000,95000,APURIMAC,Soc.Com.Respons. Ltda,Activo,11/15/2001,18,tier1
GLOSER S.A.C.,20527582203,COMERCIO,BANCA MULTIPLE,BCP,1239727,1115754.3,APURIMAC,Sociedad Anonima,Activo,12/15/2005,14,tier1
INVERSIONES BRIDEY RIVAS S.R.L.,20527639752,COMERCIO,CMAC,CMAC CUSCO,30000,29400,APURIMAC,Soc.Com.Respons. Ltda,Activo,3/9/2006,14,tier1
COMERCIAL Y CONSTRUCTORA SERRANO EIRL,20527720444,CONSTRUCCION,BANCA MULTIPLE,BCP,144562,137333.9,APURIMAC,Sociedad Anonima Cerrada,Activo,8/4/2006,13,tier1
EMPRESA COMERCIAL ZAPATERIA NELIDA E.I.R.L.,20527824495,COMERCIO,CMAC,CMAC CUSCO,27000,26460,APURIMAC,Empresa Individual de Resp. Ltda,Activo,2/22/2007,13,tier1
ZOILA LETICIA ZELADA DE R EFULIO E.I.R.L.,20489528445,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,9531,9340.38,APURIMAC,Empresa Individual de Resp. Ltda,Activo,4/10/2007,13,tier1
JHT HARDWARE & SOFTWARE E IRL,20528016481,COMERCIO,BANCA MULTIPLE,BCP,130118,123612.1,APURIMAC,Empresa Individual de Resp. Ltda,Activo,12/1/2007,12,tier1
