"GENERO","EDAD","MERITO","UNIVERSIDAD","UBICACION_U","PRACTICAS","NUMERO_DE_PERSONAS","ETNIA","BECADO","VIVIENDA","P_SUELDO","INGRESO_SECU_IND","INGRESO_SECU_DEP","INGRESO_OCUPACIÓN_IND","INGRESO_OCUPACIÓN_DEP","FINANCIAMIENTO_F","PRESTAMO_BANCO","CARRERA","NOMBRE_U","T_TRABAJO","CAR_TRA","EMPLEO"
"Femenino","Sí","NO","Privada","HUANUCO",1,3,"Mestizo","No","Independiente","1501 a 2500",0,0,0,0,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA","Menos de un mes",NA,"No"
"Masculino","Sí","Tercio Superior","Pública","PUNO",3,5,"Quechua","No","Independiente",NA,0,0,0,25.422446406053,"Sí","No","BIOLOGÍA","UNIVERSIDAD NACIONAL DEL SANTA",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",2,2,"Blanco","No","Independiente",NA,0,0,0,0,"Sí","No","INGENIERÍA FORESTAL","UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC",NA,NA,"No"
"Masculino","Sí","NO","Privada","LIMA",3,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,2000,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD PRIVADA DE TRUJILLO","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Pública","AREQUIPA",2,2,"Mestizo","No","Independiente","1001 a 1500",0,0,0,0,"Sí","No","INGENIERÍA DE INDUSTRIAS ALIMENTARIAS (INGENIERÍA DE INDUSTRIA ALIMENTARIA E INGENIERÍA INDUSTRIAS ALIMENTARIAS)","UNIVERSIDAD NACIONAL DE FRONTERA","Entre 1 a 3 meses",NA,"No"
"Masculino","Sí","NO","Pública","JUNIN",1,1,"Quechua","No","Independiente",NA,0,0,0,519.6,"Sí","No","AGRONOMÍA","UNIVERSIDAD NACIONAL DE BARRANCA",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","JUNIN",1,1,"Quechua","No","Independiente","Hasta 750",0,0,0,1500,"Sí","No","PSICOLOGÍA","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",4,1,"Mestizo","No","Independiente",NA,0,0,0,2000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DE UCAYALI",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","AREQUIPA",1,5,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DEL ALTIPLANO",NA,NA,"No"
"Femenino","Sí","NO","Privada","LIMA",5,2,"Mestizo","No","Departamento",NA,0,0,3500,0,"Sí","No","ESTOMATOLOGÍA","UNIVERSIDAD PRIVADA DE TRUJILLO",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",10,2,"No sabe","No","Independiente","Hasta 750",0,0,0,1800,"Sí","No","TECNOLOGÍA MÉDICA","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","AYACUCHO",2,2,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","CONTABILIDAD Y FINANZAS","UNIVERSIDAD CIENTÍFICA DEL SUR",NA,NA,"No"
"Femenino","Sí","Tercio Superior","Privada","LIMA",1,4,"Mestizo","No","Independiente","1501 a 2500",0,0,0,0,"No","No","DERECHO","UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS","Entre 1 a 3 meses",NA,"No"
"Masculino","Sí","Tercio Superior","Privada","PIURA",2,5,"Negro/mulato/zambo","No","Independiente",NA,0,0,0,2500,"No","No","DERECHO","UNIVERSIDAD ANDINA NESTOR CÁCERES VELÁSQUEZ",NA,"No","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",3,2,"Mestizo","No","Independiente","751 a 1000",0,0,0,3500,"Sí","No","DERECHO","UNIVERSIDAD PRIVADA CÉSAR VALLEJO","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","HUANCAVELICA",2,1,"Mestizo","No","Independiente","Hasta 750",0,980,0,3000,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL DE MOQUEGUA","Entre 3 a 6 meses","Sí","Sí"
"Masculino","Sí","NO","Privada","JUNIN",2,1,"Mestizo","No","Independiente","1001 a 1500",0,0,0,0,"Sí","No","PSICOLOGÍA","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,3,"Aymara","No","Departamento",NA,0,0,0,2800,"Sí","No","CIENCIAS ECONÓMICAS","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",1,5,"Mestizo","No","Independiente","1501 a 2500",0,0,0,0,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE CAJAMARCA","Menos de un mes",NA,"No"
"Masculino","Sí","NO","Pública","UCAYALI",2,1,"Nativo o indigena de la amazonia","No","Independiente","751 a 1000",600,0,0,1100,"No","No","INGENIERÍA FORESTAL","UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE
AMAZONAS","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",2,3,"Mestizo","No","Departamento",NA,800,0,0,4500,"Sí","No","INGENIERÍA ELECTRÓNICA","UNIVERSIDAD NACIONAL DE CAÑETE",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","JUNIN",1,5,"Mestizo","No","Independiente",NA,0,0,0,300,"Sí","No","ODONTOLOGÍA","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN",NA,"Sí","No"
"Femenino","Sí","NO","Pública","CAJAMARCA",1,5,"Mestizo","No","Independiente",NA,0,0,0,2500,"Sí","No","INGENIERÍA INFORMÁTICA","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA",NA,"No","Sí"
"Masculino","Sí","Decimo superior","Privada","LIMA",2,5,"Mestizo","No","Independiente","1001 a 1500",150,0,0,2130,"Sí","Si","ADMINISTRACIÓN Y GERENCIA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Privada","AREQUIPA",2,1,"Blanco","No","Independiente","751 a 1000",0,0,0,1000,"Sí","No","DERECHO","UNIVERSIDAD DE PIURA","Menos de un mes","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","PIURA",2,2,"Mestizo","No","Independiente","751 a 1000",0,0,0,2700,"Sí","No","FÍSICA","UNIVERSIDAD ANDINA DEL CUSCO","Menos de un mes","Sí","No"
"Femenino","Sí","Tercio Superior","Privada","LAMBAYEQUE",1,5,"Mestizo","No","Independiente","1001 a 1500",0,0,0,1200,"Sí","No","DERECHO","UNIVERSIDAD ESAN","Entre uno a dos años","Sí","Sí"
"Masculino","Sí","NO","Privada","LAMBAYEQUE",1,1,"Mestizo","No","Independiente","Hasta 750",0,0,0,500,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD ESAN","Entre uno a dos años","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,3,"Mestizo","No","Independiente","1501 a 2500",0,0,0,3500,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Privada","LORETO",2,1,"Mestizo","No","Independiente",NA,0,0,0,2900,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","CAJAMARCA",2,1,"Mestizo","No","Independiente","Hasta 750",200,0,700,0,"No","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN","Entre 3 a 6 meses","No","Sí"
"Masculino","Sí","Tercio Superior","Pública","ANCASH",1,2,"Mestizo","No","Independiente","751 a 1000",0,0,0,2800,"Sí","No","ADMINISTRACIÓN","UNIVERSIDAD NACIONAL DE JULIACA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Quinto Superior","Privada","PUNO",1,1,"Quechua","No","Independiente",NA,0,0,1000,0,"Sí","No","DERECHO","UNIVERSIDAD CATÓLICA SANTA MARÍA",NA,"No","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",1,5,"Mestizo","No","Independiente","1501 a 2500",0,0,0,1500,"Sí","No","INGENIERÍA ADMINISTRATIVA","UNIVERSIDAD PRIVADA DE TRUJILLO","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,1,"Mestizo","No","Departamento","1501 a 2500",0,0,0,3000,"Sí","No","MARKETING","UNIVERSIDAD CIENTÍFICA DEL PERÚ","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","AYACUCHO",2,1,"Quechua","No","Independiente","1001 a 1500",1500,0,0,2200,"Sí","No","ANTROPOLOGÍA SOCIAL","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,5,"Mestizo","No","Departamento","1001 a 1500",0,0,0,3000,"Sí","No","DERECHO","UNIVERSIDAD DE SAN MARTÍN DE PORRES","No busco trabajo","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","LIMA",1,2,"Mestizo","No","Departamento",NA,0,0,0,1900,"Sí","No","TECNOLOGÍA MÉDICA","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Pública","UCAYALI",1,4,"Mestizo","No","Independiente","3501 a 4500",0,0,0,4250,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE
AMAZONAS","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",3,2,"Mestizo","No","Independiente",NA,0,0,0,1400,"Sí","No","INGENIERÍA QUÍMICA","UNIVERSIDAD NACIONAL DE TUMBES",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",1,4,"Blanco","No","Independiente","1501 a 2500",0,0,0,2500,"Sí","No","GERENCIA EN HOTELERÍA, TURISMO Y GASTRONOMÍA (GESTIÓN TURÍSTICA, HOTELERÍA Y GASTRONOMÍA)","UNIVERSIDAD CIENTÍFICA DEL PERÚ","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","ANCASH",1,1,"Mestizo","No","Independiente","Hasta 750",110,0,0,1000,"Sí","No","INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","UNIVERSIDAD NACIONAL SAN LUIS GONZAGA","No busco trabajo","No","Sí"
"Femenino","Sí","Quinto Superior","Pública","TACNA",2,4,"Mestizo","No","Independiente",NA,0,0,700,0,"No","No","INGENIERÍA INFORMÁTICA","UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN",NA,"Sí","No"
"Femenino","Sí","NO","Pública","AREQUIPA",2,5,"Quechua","No","Independiente","751 a 1000",0,0,0,0,"Sí","No","PSICOLOGÍA","UNIVERSIDAD NACIONAL DE FRONTERA","Entre 1 a 3 meses",NA,"No"
"Femenino","Sí","Quinto Superior","Privada","LA LIBERTAD",1,5,"Mestizo","No","Independiente",NA,0,450,0,1300,"No","No","PSICOLOGÍA","UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","AYACUCHO",2,5,"Quechua","No","Independiente","1501 a 2500",0,0,4500,0,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","AYACUCHO",3,2,"Mestizo","No","Independiente","751 a 1000",0,0,1200,0,"Sí","No","EDUCACIÓN SECUNDARIA - LENGUA Y LITERATURA","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","CUSCO",2,5,"Quechua","No","Independiente","1501 a 2500",0,0,0,2500,"Sí","No","INGENIERÍA ELÉCTRICA","PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","CUSCO",3,3,"Quechua","No","Independiente","751 a 1000",0,0,1000,0,"Sí","No","HISTORIA","PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ","Menos de un mes","No","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,2,"Mestizo","No","Independiente","2501 a 3500",3800,0,0,2500,"Sí","No","CIENCIAS DE LA COMUNICACIÓN","UNIVERSIDAD NACIONAL DE UCAYALI","Menos de un mes","No","Sí"
"Femenino","Sí","NO","Pública","LAMBAYEQUE",2,5,"Mestizo","No","Independiente","751 a 1000",0,0,0,750,"No","No","CIENCIAS DE LA COMUNICACIÓN","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","SAN MARTIN",2,5,"Mestizo","No","Independiente","Hasta 750",0,0,0,2040,"Sí","No","IDIOMAS","UNIVERSIDAD NACIONAL DE CHOTA","Entre 1 a 3 meses","No","Sí"
"Femenino","Sí","NO","Privada","AREQUIPA",1,3,"Mestizo","No","Independiente","Hasta 750",0,0,0,1200,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD CIENTÍFICA DEL SUR","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Pública","LORETO",2,1,"Mestizo","No","Independiente","Hasta 750",2000,0,0,2300,"Sí","No","CONTABILIDAD","UNIVERSIDAD CATÓLICA SAN PABLO","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",7,1,"Mestizo","No","Departamento","751 a 1000",200,0,0,900,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE CAJAMARCA","No busco trabajo","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","ICA",NA,NA,"Mestizo","No","Independiente",NA,0,0,0,3600,"No","No","INGENIERÍA QUÍMICA","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO",NA,"No","No"
"Masculino","Sí","NO","Pública","LIMA",1,1,"Mestizo","No","Independiente","751 a 1000",0,0,1500,0,"Sí","No","CIENCIAS CONTABLES","UNIVERSIDAD NACIONAL DE TUMBES","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Pública","PASCO",3,3,"No sabe","No","Independiente","Hasta 750",0,0,0,900,"Sí","No","CIENCIAS DE LA COMUNICACIÓN","UNIVERSIDAD NACIONAL DE BARRANCA","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","AREQUIPA",2,1,"Mestizo","No","Quinta","1001 a 1500",0,0,0,0,"Sí","No","DERECHO","UNIVERSIDAD CATÓLICA SANTA MARÍA","Meses a menos de un año",NA,"No"
"Masculino","Sí","NO","Privada","LIMA",2,1,"Mestizo","No","Independiente","Hasta 750",0,0,0,2000,"Sí","No","PERIODISMO","UNIVERSIDAD NACIONAL DE PIURA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Quinto Superior","Pública","LIMA",3,2,"Mestizo","No","Independiente","1001 a 1500",0,0,0,1700,"Sí","No","INGENIERÍA PESQUERA","UNIVERSIDAD NACIONAL DE TUMBES","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,3,"Blanco","No","Departamento","2501 a 3500",0,0,0,4800,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE CAJAMARCA","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","ICA",3,3,"Mestizo","No","Independiente",NA,0,0,1800,0,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","AYACUCHO",1,3,"Mestizo","No","Independiente","Hasta 750",0,0,0,2000,"Sí","No","INGENIERÍA DE SISTEMAS","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","No busco trabajo","Sí","No"
"Femenino","Sí","NO","Privada","LIMA",2,5,"Mestizo","No","Independiente","2501 a 3500",0,0,0,2500,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE CAJAMARCA","Menos de un mes","Sí","Sí"
"Masculino","Sí","Quinto Superior","Pública","ANCASH",1,5,"Mestizo","No","Independiente","751 a 1000",0,0,0,2500,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL DE JULIACA","Entre 3 a 6 meses","Sí","Sí"
"Masculino","Sí","Quinto Superior","Pública","LIMA",1,5,"Mestizo","No","Independiente","751 a 1000",1200,0,0,2500,"Sí","No","INGENIERÍA ELÉCTRICA","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA","Menos de un mes","Sí","Sí"
"Femenino","Sí","Decimo superior","Privada","LIMA",3,3,"Mestizo","No","Departamento","1001 a 1500",0,0,0,2000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DE UCAYALI","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Pública","APURIMAC",1,1,"Quechua","No","Independiente","1501 a 2500",0,0,0,2000,"Sí","No","INGENIERÍA AGROINDUSTRIAL","UNIVERSIDAD MARIA AUXILIADORA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","MOQUEGUA",1,4,"Mestizo","No","Independiente","2501 a 3500",0,0,0,0,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE FRONTERA","Meses a menos de un año",NA,"No"
"Masculino","Sí","NO","Pública","PUNO",6,2,"Quechua","No","Independiente",NA,0,700,0,950,"Sí","No","EDUCACIÓN (CIENCIAS DE LA EDUCACION)","UNIVERSIDAD NACIONAL DEL SANTA",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",2,1,"Mestizo","No","Independiente",NA,0,0,0,2800,"Sí","No","CONTABILIDAD Y ADMINISTRACIÓN","UNIVERSIDAD PRIVADA JUAN PABLO II",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","HUANUCO",1,4,"Blanco","No","Independiente",NA,0,0,0,3000,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","LAMBAYEQUE",NA,NA,"Mestizo","No","Independiente","Hasta 750",150,0,0,800,"No","No","EDUCACIÓN SECUNDARIA - MATEMÁTICA","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","Entre 3 a 6 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",6,1,"Mestizo","No","Independiente",NA,1250,0,0,1000,"Sí","No","EDUCACIÓN FÍSICA","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",2,5,"Mestizo","No","Independiente","1501 a 2500",0,0,0,4000,"Sí","No","INGENIERÍA DE SISTEMAS","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",1,3,"Mestizo","No","Independiente","1001 a 1500",0,1515.5,4000,0,"No","No","INGENIERÍA DE SISTEMAS","UNIVERSIDAD NACIONAL DE MOQUEGUA","No busco trabajo","Sí","Sí"
"Masculino","Sí","NO","Privada","AREQUIPA",1,1,"Mestizo","No","Independiente",NA,0,0,0,1200,"Sí","No","DERECHO","UNIVERSIDAD CIENTÍFICA DEL SUR",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","AYACUCHO",1,4,"Quechua","No","Independiente","Hasta 750",300,0,0,3800,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Pública","UCAYALI",2,5,"Mestizo","No","Independiente","Hasta 750",433,0,0,2000,"Sí","No","ENFERMERÍA","UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE
AMAZONAS","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","LORETO",3,2,"Mestizo","No","Independiente","Hasta 750",120,0,1300,0,"Sí","No","EDUCACIÓN SECUNDARIA - MATEMÁTICA Y FÍSICA","UNIVERSIDAD CATÓLICA SAN PABLO","No busco trabajo","Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",2,2,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","TURISMO Y HOTELERÍA","UNIVERSIDAD NACIONAL TECNOLÓGICA DEL CONO SUR DE LIMA",NA,NA,"No"
"Femenino","Sí","Quinto Superior","Privada","JUNIN",1,4,"Mestizo","No","Independiente","751 a 1000",0,0,0,3000,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Privada","PIURA",NA,NA,"Mestizo","No","Independiente",NA,0,0,0,2000,"No","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD DE LIMA",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",1,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,2000,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","PUNO",2,5,"Quechua","No","Independiente",NA,0,0,0,2000,"Sí","No","ECONOMÍA","UNIVERSIDAD NACIONAL DEL SANTA",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","AREQUIPA",1,1,"Mestizo","No","Independiente","Hasta 750",0,0,0,1700,"Sí","No","INGENIERÍA MECÁNICA","UNIVERSIDAD NACIONAL DE FRONTERA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",2,6,"Mestizo","No","Independiente",NA,0,0,0,2000,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","JUNIN",2,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,5000,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL FEDERICO VILLARREAL","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Privada","PIURA",2,4,"Mestizo","No","Independiente","1001 a 1500",0,0,0,2000,"Sí","No","OBSTETRICIA","UNIVERSIDAD DE LIMA","Entre 3 a 6 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","ICA",2,5,"Mestizo","No","Independiente",NA,0,0,0,850,"Sí","No","ECONOMÍA","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","AREQUIPA",NA,NA,"Mestizo","No","Independiente","751 a 1000",1200,0,0,950,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL DE FRONTERA","No busco trabajo","No","Sí"
"Femenino","Sí","Decimo superior","Pública","AREQUIPA",3,5,"Mestizo","No","Independiente","Hasta 750",0,0,0,450,"Sí","No","ANTROPOLOGÍA","UNIVERSIDAD NACIONAL DE FRONTERA","Menos de un mes","No","Sí"
