"GENERO","MINEDAD","CAP300P324A","SELECT_UNI_GESTION","NOMBRECCDD","CAP300P351","CAP300P353","CAP400P473","CAP300P319_4","CAP100P101","CAP400P472","CAP400P441_MONE","CAP400P440_MONE","CAP400P437_MONE","CAP400P436_MONE","CAP300P319_2","CAP300P319_5","CAP300P312","SELECT_UNI","CAP400P469","CAP400P406","CAP400P401"
2,1,NA,2,"LIMA",5,2,6,2,2,NA,0,0,3500,0,1,2,"ESTOMATOLOGÍA","U0124",NA,1,1
2,1,NA,1,"LIMA",10,2,8,2,1,1,0,0,0,1800,1,2,"TECNOLOGÍA MÉDICA","U0040",2,1,1
2,1,NA,2,"AYACUCHO",2,2,6,2,1,NA,0,0,0,0,1,2,"CONTABILIDAD Y FINANZAS","U0056",NA,NA,2
2,1,1,2,"LIMA",1,4,6,2,1,4,0,0,0,0,2,2,"DERECHO","U0003",2,NA,2
1,1,1,2,"PIURA",2,5,4,2,1,NA,0,0,0,2500,2,2,"DERECHO","U0047",NA,2,1
2,1,1,2,"LIMA",3,2,6,2,1,2,0,0,0,3500,1,2,"DERECHO","U0076",2,1,1
2,1,1,1,"HUANCAVELICA",2,1,6,2,1,1,0,980,0,3000,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0038",3,1,1
1,1,NA,2,"JUNIN",2,1,6,2,1,3,0,0,0,0,1,2,"PSICOLOGÍA","U0011",1,1,1
1,1,NA,2,"LIMA",1,3,2,2,2,NA,0,0,0,2800,1,2,"CIENCIAS ECONÓMICAS","U0025",NA,1,1
2,1,NA,2,"LIMA",1,5,6,2,1,4,0,0,0,0,1,2,"MEDICINA HUMANA","U0005",1,NA,2
1,1,NA,1,"UCAYALI",2,1,3,2,1,2,600,0,0,1100,2,2,"INGENIERÍA FORESTAL","U0031",1,1,1
2,1,NA,2,"LIMA",2,3,6,2,2,NA,800,0,0,4500,1,2,"INGENIERÍA ELECTRÓNICA","U0033",NA,1,1
1,1,NA,2,"JUNIN",1,5,6,2,1,NA,0,0,0,300,1,2,"ODONTOLOGÍA","U0011",NA,1,2
2,1,NA,1,"CAJAMARCA",1,5,6,2,1,NA,0,0,0,2500,1,2,"INGENIERÍA INFORMÁTICA","U0002",NA,2,1
1,1,3,2,"LIMA",2,5,6,2,1,3,150,0,0,2130,1,1,"ADMINISTRACIÓN Y GERENCIA","U0025",1,1,1
2,1,NA,2,"AREQUIPA",2,1,5,2,1,2,0,0,0,1000,1,2,"DERECHO","U0059",1,1,1
1,1,1,1,"PIURA",2,2,6,2,1,2,0,0,0,2700,1,2,"FÍSICA","U0046",1,1,2
2,1,1,2,"LAMBAYEQUE",1,5,6,2,1,3,0,0,0,1200,1,2,"DERECHO","U0063",5,1,1
1,1,NA,2,"LAMBAYEQUE",1,1,6,2,1,1,0,0,0,500,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0063",5,1,1
1,1,NA,2,"LIMA",1,3,6,2,1,4,0,0,0,3500,1,2,"INGENIERÍA CIVIL","U0025",1,1,1
2,1,NA,2,"LORETO",2,1,6,2,1,NA,0,0,0,2900,1,2,"DERECHO","U0001",NA,1,1
2,1,NA,2,"CAJAMARCA",2,1,6,2,1,1,200,0,700,0,2,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0064",3,2,1
1,1,1,1,"ANCASH",1,2,6,2,1,2,0,0,0,2800,1,2,"ADMINISTRACIÓN","U0037",2,1,1
1,1,2,2,"PUNO",1,1,1,2,1,NA,0,0,1000,0,1,2,"DERECHO","U0052",NA,2,1
1,1,1,2,"LIMA",1,5,6,2,1,4,0,0,0,1500,1,2,"INGENIERÍA ADMINISTRATIVA","U0124",1,1,1
2,1,1,2,"LIMA",2,1,6,2,2,4,0,0,0,3000,1,2,"MARKETING","U0055",2,1,1
1,1,NA,1,"AYACUCHO",2,1,1,2,1,3,1500,0,0,2200,1,2,"ANTROPOLOGÍA SOCIAL","U0019",2,1,1
1,1,NA,2,"LIMA",1,5,6,2,2,3,0,0,0,3000,1,2,"DERECHO","U0060",6,1,1
2,1,1,1,"LIMA",1,2,6,2,2,NA,0,0,0,1900,1,2,"TECNOLOGÍA MÉDICA","U0040",NA,1,1
2,1,2,1,"UCAYALI",1,4,6,2,1,6,0,0,0,4250,1,2,"MEDICINA HUMANA","U0031",1,1,1
1,1,NA,1,"LIMA",3,2,6,2,1,NA,0,0,0,1400,1,2,"INGENIERÍA QUÍMICA","U0015",NA,1,1
2,1,NA,2,"LIMA",1,4,5,2,1,4,0,0,0,2500,1,2,"GERENCIA EN HOTELERÍA, TURISMO Y GASTRONOMÍA (GESTIÓN TURÍSTICA, HOTELERÍA Y GASTRONOMÍA)","U0055",2,1,1
1,1,NA,1,"ANCASH",1,1,6,2,1,1,110,0,0,1000,1,2,"INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","U0029",6,2,1
2,1,2,1,"TACNA",2,4,6,2,1,NA,0,0,700,0,2,2,"INGENIERÍA INFORMÁTICA","U0024",NA,1,2
2,1,NA,1,"AREQUIPA",2,5,1,2,1,2,0,0,0,0,1,2,"PSICOLOGÍA","U0035",2,NA,2
2,1,2,2,"LA LIBERTAD",1,5,6,2,1,NA,0,450,0,1300,2,2,"PSICOLOGÍA","U0066",NA,1,1
2,1,NA,1,"AYACUCHO",2,5,1,2,1,4,0,0,4500,0,1,2,"DERECHO","U0019",1,1,1
2,1,1,1,"AYACUCHO",3,2,6,2,1,2,0,0,1200,0,1,2,"EDUCACIÓN SECUNDARIA - LENGUA Y LITERATURA","U0019",1,1,1
1,1,NA,1,"CUSCO",2,5,1,2,1,4,0,0,0,2500,1,2,"INGENIERÍA ELÉCTRICA","U0044",2,1,1
1,1,NA,1,"CUSCO",3,3,1,2,1,2,0,0,1000,0,1,2,"HISTORIA","U0044",1,2,1
2,1,1,2,"LIMA",2,2,6,2,1,5,3800,0,0,2500,1,2,"CIENCIAS DE LA COMUNICACIÓN","U0016",1,2,1
2,1,NA,1,"LAMBAYEQUE",2,5,6,2,1,2,0,0,0,750,2,2,"CIENCIAS DE LA COMUNICACIÓN","U0002",2,1,1
1,1,NA,1,"SAN MARTIN",2,5,6,2,1,1,0,0,0,2040,1,2,"IDIOMAS","U0034",2,2,1
2,1,NA,2,"AREQUIPA",1,3,6,2,1,1,0,0,0,1200,1,2,"INGENIERÍA INDUSTRIAL","U0056",2,1,1
2,1,NA,1,"LORETO",2,1,6,2,1,1,2000,0,0,2300,1,2,"CONTABILIDAD","U0051",2,1,1
1,1,1,2,"LIMA",7,1,6,2,2,2,200,0,0,900,1,2,"MEDICINA HUMANA","U0005",6,1,1
1,1,1,1,"ICA",NA,NA,6,2,1,NA,0,0,0,3600,2,2,"INGENIERÍA QUÍMICA","U0030",NA,2,2
1,1,NA,1,"LIMA",1,1,6,2,1,2,0,0,1500,0,1,2,"CIENCIAS CONTABLES","U0015",1,1,1
2,1,NA,1,"PASCO",3,3,8,2,1,1,0,0,0,900,1,2,"CIENCIAS DE LA COMUNICACIÓN","U0032",2,1,1
2,1,NA,2,"AREQUIPA",2,1,6,2,3,3,0,0,0,0,1,2,"DERECHO","U0052",4,NA,2
1,1,NA,2,"LIMA",2,1,6,2,1,1,0,0,0,2000,1,2,"PERIODISMO","U0010",2,1,1
1,1,2,1,"LIMA",3,2,6,2,1,3,0,0,0,1700,1,2,"INGENIERÍA PESQUERA","U0015",2,1,1
1,1,NA,2,"LIMA",1,3,5,2,2,5,0,0,0,4800,1,2,"MEDICINA HUMANA","U0005",1,1,1
1,1,NA,1,"ICA",3,3,6,2,1,NA,0,0,1800,0,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0030",NA,1,1
2,1,1,1,"AYACUCHO",1,3,6,2,1,1,0,0,0,2000,1,2,"INGENIERÍA DE SISTEMAS","U0019",6,1,2
2,1,NA,2,"LIMA",2,5,6,2,1,5,0,0,0,2500,1,2,"MEDICINA HUMANA","U0005",1,1,1
1,1,2,1,"ANCASH",1,5,6,2,1,2,0,0,0,2500,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0037",3,1,1
1,1,2,1,"LIMA",1,5,6,2,1,2,1200,0,0,2500,1,2,"INGENIERÍA ELÉCTRICA","U0039",1,1,1
2,1,3,2,"LIMA",3,3,6,2,2,3,0,0,0,2000,1,2,"DERECHO","U0016",2,1,1
2,1,NA,1,"APURIMAC",1,1,1,2,1,4,0,0,0,2000,1,2,"INGENIERÍA AGROINDUSTRIAL","U0105",2,1,1
1,1,NA,1,"MOQUEGUA",1,4,6,2,1,5,0,0,0,0,1,2,"MEDICINA HUMANA","U0035",4,NA,2
1,1,NA,1,"PUNO",6,2,1,2,1,NA,0,700,0,950,1,2,"EDUCACIÓN (CIENCIAS DE LA EDUCACION)","U0020",NA,1,1
1,1,1,2,"LIMA",2,1,6,2,1,NA,0,0,0,2800,1,2,"CONTABILIDAD Y ADMINISTRACIÓN","U0126",NA,1,1
1,1,NA,2,"HUANUCO",1,4,5,2,1,NA,0,0,0,3000,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0009",NA,1,1
2,1,1,1,"LAMBAYEQUE",NA,NA,6,2,1,1,150,0,0,800,2,2,"EDUCACIÓN SECUNDARIA - MATEMÁTICA","U0002",3,1,1
1,1,NA,1,"LIMA",6,1,6,2,1,NA,1250,0,0,1000,1,2,"EDUCACIÓN FÍSICA","U0040",NA,1,1
1,1,NA,1,"LIMA",2,5,6,2,1,4,0,0,0,4000,1,2,"INGENIERÍA DE SISTEMAS","U0039",1,1,1
1,1,NA,1,"LIMA",1,3,6,2,1,3,0,1515.5,4000,0,2,2,"INGENIERÍA DE SISTEMAS","U0038",6,1,1
1,1,NA,2,"AREQUIPA",1,1,6,2,1,NA,0,0,0,1200,1,2,"DERECHO","U0056",NA,1,1
2,1,NA,1,"AYACUCHO",1,4,1,2,1,1,300,0,0,3800,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0019",2,1,1
2,1,NA,1,"UCAYALI",2,5,6,2,1,1,433,0,0,2000,1,2,"ENFERMERÍA","U0031",2,1,1
1,1,NA,1,"LORETO",3,2,6,2,1,1,120,0,1300,0,1,2,"EDUCACIÓN SECUNDARIA - MATEMÁTICA Y FÍSICA","U0051",6,1,1
2,1,NA,1,"LIMA",2,2,6,2,1,NA,0,0,0,0,1,2,"TURISMO Y HOTELERÍA","U0041",NA,NA,2
2,1,2,2,"JUNIN",1,4,6,2,1,2,0,0,0,3000,1,2,"MEDICINA HUMANA","U0011",1,1,1
1,1,NA,2,"PIURA",NA,NA,6,2,1,NA,0,0,0,2000,2,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0058",NA,1,1
2,1,NA,2,"LIMA",1,1,6,2,1,2,0,0,0,2000,1,2,"INGENIERÍA INDUSTRIAL","U0025",1,1,1
1,1,NA,1,"PUNO",2,5,1,2,1,NA,0,0,0,2000,1,2,"ECONOMÍA","U0020",NA,1,1
1,1,NA,1,"AREQUIPA",1,1,6,2,1,1,0,0,0,1700,1,2,"INGENIERÍA MECÁNICA","U0035",2,1,1
1,1,NA,1,"LIMA",2,6,6,2,1,NA,0,0,0,2000,1,2,"INGENIERÍA INDUSTRIAL","U0039",NA,1,1
1,1,NA,1,"JUNIN",2,1,6,2,1,2,0,0,0,5000,1,2,"INGENIERÍA CIVIL","U0021",1,1,1
2,1,NA,2,"PIURA",2,4,6,2,1,3,0,0,0,2000,1,2,"OBSTETRICIA","U0058",3,1,1
1,1,NA,1,"ICA",2,5,6,2,1,NA,0,0,0,850,1,2,"ECONOMÍA","U0030",NA,1,1
1,1,NA,1,"AREQUIPA",NA,NA,6,2,1,2,1200,0,0,950,1,2,"INGENIERÍA INDUSTRIAL","U0035",6,2,1
2,1,3,1,"AREQUIPA",3,5,6,2,1,1,0,0,0,450,1,2,"ANTROPOLOGÍA","U0035",1,2,1
1,1,1,2,"LIMA",4,1,6,2,1,2,1000,0,0,4000,1,2,"INGENIERÍA DE SISTEMAS","U0124",1,1,1
1,1,1,2,"ANCASH",2,1,6,2,1,3,0,0,3500,0,1,2,"INGENIERÍA CIVIL","U0023",6,1,1
2,1,1,1,"PUNO",2,2,2,2,1,NA,0,0,0,1100,1,2,"ADMINISTRACIÓN","U0020",NA,1,1
2,1,1,1,"LAMBAYEQUE",3,3,6,2,1,NA,145,0,0,1250,1,2,"CIENCIAS FÍSICO MATEMÁTICA  (FÍSICO – MATEMÁTICAS)","U0002",NA,1,1
1,1,1,1,"PASCO",2,4,6,2,1,1,1000,0,0,1500,1,2,"INGENIERÍA DE SISTEMAS Y COMPUTACIÓN  (INGENIERÍA DE COMPUTACIÓN Y SISTEMAS E INGENIERÍA DE SISTEMAS Y CÓMPUTO)","U0032",3,1,1
1,1,NA,2,"PIURA",5,5,6,2,1,1,0,1299,0,900,1,1,"PSICOLOGÍA","U0023",6,1,1
1,1,NA,1,"AREQUIPA",2,5,6,2,1,3,0,0,0,1500,1,2,"ENFERMERÍA","U0035",3,1,1
2,1,NA,1,"LA LIBERTAD",2,1,6,2,2,NA,0,0,0,0,1,2,"CIENCIAS BIOLÓGICAS","U0045",NA,NA,2
1,1,NA,2,"LIMA",3,1,6,2,1,4,0,0,0,900,1,2,"PERIODISMO","U0010",2,1,1
2,1,NA,1,"HUANCAVELICA",2,1,6,2,1,1,0,0,0,1400,1,2,"ADMINISTRACIÓN","U0038",2,2,1
1,1,NA,1,"LIMA",1,1,6,1,2,5,4000,0,0,4000,2,2,"INGENIERÍA ELECTRÓNICA","U0015",2,1,1
1,1,NA,1,"JUNIN",1,1,6,2,4,NA,0,700,0,995.9,1,2,"INGENIERÍA AGROINDUSTRIAL","U0021",NA,2,1
2,1,NA,1,"HUANUCO",1,5,6,2,1,1,0,0,350,0,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0042",2,1,2
1,1,NA,1,"LIMA",2,5,6,2,1,2,0,0,0,3600,1,2,"INGENIERÍA DE GEOLOGÍA - GEOTECNIA","U0039",1,1,1
1,1,NA,2,"MOQUEGUA",3,1,6,2,1,NA,433,0,0,1500,1,2,"DERECHO","U0053",NA,1,1
2,1,NA,2,"AREQUIPA",1,1,8,2,1,NA,0,0,0,0,1,2,"DERECHO","U0056",NA,NA,2
1,1,NA,1,"CAJAMARCA",1,5,6,2,1,NA,0,0,0,4400,1,2,"MEDICINA HUMANA","U0028",NA,1,1
1,1,NA,1,"LAMBAYEQUE",2,1,5,2,1,NA,0,0,2500,0,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0002",NA,1,1
2,1,NA,1,"LA LIBERTAD",2,3,6,2,1,NA,0,0,1000,0,1,2,"EDUCACIÓN SECUNDARIA - LENGUA Y LITERATURA","U0045",NA,2,1
2,1,NA,1,"ICA",1,1,6,2,1,NA,0,0,0,0,1,2,"ODONTOLOGÍA","U0030",NA,NA,2
2,1,3,1,"PUNO",1,4,2,2,1,3,1500,0,0,2300,1,2,"INGENIERÍA AGRÍCOLA","U0020",3,1,1
2,1,NA,2,"PIURA",2,5,5,2,1,NA,200,0,0,2000,1,1,"DERECHO","U0058",NA,2,1
2,1,NA,1,"PUNO",1,1,2,2,1,3,0,320,0,5000,1,2,"INGENIERÍA ECONÓMICA","U0020",2,2,1
1,1,NA,2,"LIMA",4,1,6,2,1,3,0,0,0,3500,1,2,"CONTABILIDAD Y FINANZAS","U0076",6,1,2
1,1,1,2,"PUNO",1,5,1,2,1,NA,0,0,0,2000,1,2,"INGENIERÍA CIVIL","U0052",NA,1,1
1,1,NA,2,"AREQUIPA",NA,NA,6,2,1,NA,0,0,1500,0,1,2,"MEDICINA","U0017",NA,2,1
2,1,NA,2,"AREQUIPA",NA,NA,5,2,2,3,0,0,0,2000,1,2,"MEDICINA HUMANA","U0017",2,1,1
1,1,2,2,"LIMA",1,4,6,2,2,5,0,0,0,4100,1,2,"PERIODISMO","U0025",1,1,1
2,1,1,1,"LIMA",1,3,6,2,1,4,0,550,0,5500,1,2,"INGENIERÍA CIVIL","U0039",5,1,1
2,1,2,2,"LIMA",2,3,6,2,2,1,500,0,0,750,1,2,"CIENCIAS ADMINISTRATIVAS   (CIENCIAS DE LA ADMINISTRACION)","U0011",3,1,1
2,1,NA,2,"LORETO",2,2,6,2,1,2,0,0,0,1700,1,2,"TURISMO Y HOTELERÍA","U0001",2,1,1
2,1,NA,1,"LIMA",5,3,8,2,1,2,0,0,0,0,1,2,"CONTABILIDAD","U0015",1,NA,2
2,1,NA,2,"LIMA",3,2,6,2,1,NA,0,0,0,2500,1,2,"MEDICINA HUMANA","U0060",NA,1,1
1,1,2,2,"LIMA",2,3,6,2,3,2,0,0,0,4700,1,2,"DERECHO","U0014",2,1,1
2,1,2,1,"CAJAMARCA",1,4,6,2,1,4,0,0,0,2700,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0028",2,1,1
1,1,1,1,"HUANCAVELICA",1,4,2,2,1,NA,0,0,0,5500,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0038",NA,1,1
1,1,NA,1,"CAJAMARCA",1,5,6,2,1,2,0,0,0,1660,1,2,"ECONOMÍA","U0028",3,1,1
2,1,NA,2,"LIMA",NA,NA,6,2,1,4,0,0,0,0,1,2,"INGENIERÍA INDUSTRIAL","U0077",2,NA,2
1,1,1,1,"LIMA",2,3,6,2,1,3,0,0,0,2500,1,2,"ESTADÍSTICA E INFORMÁTICA","U0037",3,1,1
2,1,1,1,"LIMA",3,3,6,2,1,NA,0,850,0,1500,1,2,"CIENCIAS FORESTALES","U0026",NA,1,2
1,1,1,1,"LIMA",3,5,6,2,1,NA,0,0,0,2000,1,2,"INGENIERÍA INDUSTRIAL","U0041",NA,1,1
1,1,NA,1,"HUANUCO",3,4,6,2,1,1,500,0,0,1200,1,2,"INGENIERÍA AGRÓNOMA","U0043",1,1,1
1,1,NA,1,"CUSCO",2,1,1,2,1,2,0,600,0,1200,1,2,"EDUCACIÓN (CIENCIAS DE LA EDUCACION)","U0044",1,1,1
1,1,1,2,"CAJAMARCA",1,5,6,2,1,NA,0,0,3000,0,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0064",NA,1,1
1,1,NA,2,"LIMA",2,3,6,2,2,NA,0,0,0,4300,1,2,"GESTIÓN Y ALTA DIRECCIÓN","U0033",NA,1,1
1,1,2,2,"LIMA",1,3,6,2,2,2,0,0,0,1800,1,2,"CIENCIAS DE LA COMUNICACIÓN","U0003",1,2,1
2,1,NA,1,"LIMA",8,1,6,2,1,NA,0,0,0,1200,1,2,"MEDICINA VETERINARIA","U0027",NA,1,1
1,1,2,2,"AREQUIPA",2,4,6,2,1,NA,0,0,0,1500,1,2,"MEDICINA HUMANA","U0017",NA,1,1
1,1,1,1,"TUMBES",1,5,6,2,2,3,0,0,0,2000,1,2,"CONTABILIDAD","U0050",1,1,1
1,1,2,1,"CUSCO",2,1,1,2,1,1,0,3000,0,700,1,2,"ZOOTECNIA","U0044",1,1,1
2,1,NA,1,"HUANUCO",1,1,6,2,1,NA,0,0,0,1600,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0042",NA,1,1
1,1,1,1,"CAJAMARCA",1,3,6,2,1,NA,500,0,0,1600,1,2,"INGENIERÍA FORESTAL","U0028",NA,1,1
1,1,NA,1,"LIMA",1,1,5,2,2,5,0,0,0,4200,1,2,"INGENIERÍA CIVIL","U0039",1,1,1
2,1,1,1,"CUSCO",2,5,6,2,1,1,0,0,0,4200,1,2,"BIOLOGÍA","U0044",3,1,1
2,1,NA,2,"LIMA",2,2,6,2,1,NA,0,0,0,0,2,2,"PSICOLOGÍA","U0006",NA,NA,2
1,1,1,1,"PUNO",2,1,1,2,1,NA,0,0,0,0,1,2,"INGENIERÍA TOPOGRÁFICA Y AGRIMENSURA","U0020",NA,NA,2
2,1,1,1,"LIMA",3,1,6,2,1,3,0,0,0,1900,1,2,"CIENCIAS CONTABLES Y FINANCIERAS","U0040",2,1,1
2,1,NA,1,"APURIMAC",1,1,6,2,1,NA,0,0,0,1500,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0105",NA,1,1
1,1,NA,1,"ANCASH",1,4,6,2,1,3,0,2500,0,1200,1,2,"INGENIERÍA AGROINDUSTRIAL","U0029",6,1,2
1,1,2,1,"LIMA",2,2,6,2,1,2,0,0,0,2000,1,2,"DERECHO","U0027",1,1,1
1,1,2,1,"LIMA",1,5,6,2,1,NA,0,0,0,2500,1,2,"INGENIERÍA ESTADÍSTICA","U0039",NA,1,1
2,1,NA,2,"JUNIN",1,1,6,2,1,2,0,0,0,0,1,2,"EDUCACIÓN PRIMARIA","U0011",2,NA,2
1,1,2,2,"AREQUIPA",1,3,6,2,1,3,0,0,0,5800,1,2,"OBSTETRICIA","U0017",1,1,1
1,1,NA,1,"LORETO",2,1,6,2,7,NA,0,0,1800,0,1,2,"ECONOMÍA","U0051",NA,2,1
1,1,1,2,"MOQUEGUA",2,4,1,2,1,NA,0,0,0,2000,1,2,"INGENIERÍA DE SISTEMAS","U0053",NA,2,1
2,1,NA,1,"HUANUCO",1,1,6,2,1,1,0,0,0,1400,1,2,"TURISMO Y HOTELERÍA","U0043",2,1,1
1,1,NA,1,"JUNIN",1,2,1,2,1,2,0,0,0,1200,1,2,"INGENIERÍA MECÁNICA","U0021",6,1,1
2,1,NA,2,"CALLAO",2,5,6,2,3,NA,0,0,0,0,1,2,"DERECHO","U0124",NA,NA,2
1,1,1,2,"PUNO",3,5,6,2,1,NA,0,0,0,1600,1,2,"DERECHO","U0052",NA,1,1
1,1,NA,1,"CALLAO",3,1,6,2,1,NA,0,0,0,5000,2,2,"CONTABILIDAD","U0015",NA,1,1
2,1,NA,2,"LIMA",1,1,6,2,1,1,0,0,0,1400,1,2,"PERIODISMO","U0010",1,1,1
1,1,NA,1,"PIURA",1,1,1,2,1,1,0,0,0,2100,1,2,"INGENIERÍA INDUSTRIAL","U0046",2,1,1
1,1,NA,1,"PIURA",1,1,6,2,1,4,0,0,0,4500,1,2,"INGENIERÍA PESQUERA","U0046",2,2,1
2,1,1,2,"LIMA",1,1,6,2,2,4,0,0,0,1800,1,2,"NUTRICIÓN Y DIETÉTICA","U0065",3,1,1
2,1,NA,2,"LA LIBERTAD",2,1,5,2,1,NA,0,0,0,600,1,2,"EDUCACIÓN PRIMARIA","U0023",NA,1,1
2,1,1,1,"PIURA",1,1,6,2,1,NA,0,0,0,3000,1,2,"ECONOMÍA","U0046",NA,1,1
1,1,NA,2,"PUNO",NA,NA,2,2,1,1,0,0,0,0,1,2,"ADMINISTRACIÓN Y MARKETING","U0052",1,1,1
2,1,NA,2,"TACNA",4,1,2,2,1,NA,1000,0,0,1300,1,2,"EDUCACIÓN (CIENCIAS DE LA EDUCACION)","U0008",NA,1,1
1,1,NA,1,"PIURA",1,1,6,2,1,1,240,0,0,750,1,2,"EDUCACIÓN PRIMARIA","U0046",3,1,1
1,1,NA,1,"SAN MARTIN",1,3,6,2,1,NA,0,0,0,3000,2,2,"INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","U0034",NA,1,1
1,1,NA,2,"CALLAO",2,2,6,2,1,3,0,0,0,4000,1,2,"TURISMO Y HOTELERÍA","U0014",1,2,1
2,1,1,1,"CUSCO",NA,NA,6,2,1,5,0,0,0,4000,2,2,"ARQUITECTURA, URBANISMO Y ARTES","U0044",2,1,1
1,1,NA,2,"TACNA",1,1,6,2,1,NA,0,0,1500,0,1,2,"DERECHO","U0008",NA,1,1
1,1,NA,2,"TACNA",1,4,6,2,1,4,0,0,0,0,1,2,"MEDICINA HUMANA","U0008",2,NA,2
2,1,NA,2,"LAMBAYEQUE",6,5,4,2,1,1,0,0,0,800,1,1,"ENFERMERÍA","U0063",1,1,1
1,1,NA,2,"LAMBAYEQUE",1,4,6,2,1,3,0,0,0,2600,1,2,"INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","U0054",5,1,1
