MERCADO,CODE,MARCA,Best tittle ,DATA,PUBLIC,MAYOR,,BASE,MIN,MOVES,NOW,REV,CLIENTE,,LARG,ANCHO,ALTO,PESO,,LARGO,ANCHO,ALTO,PESO,,UNIVERSAL,ML,ENVIO,sugerido,ACTUAL,costo de ENVIO,,,,,,,,,,,,,,,
,HFJ201,INGCO,,gata 2ton grande,170.69,140,,2,2,#ðREF!,#ðREF!,#ðREF!,162.16,6,,,,,,,,,,,,187.76,11.95,199.709,209.9,14.3,224.2,,,,,,,,,,,,,,
,DM2002,INGCO,,multimetro pequeÏo ingco,42.01,30.17,,19,5,#ðREF!,#ðREF!,#ðREF!,39.91,107,17,11,5,0.3K,,,,,,,6.94E+12,46.21,11.9,58.111,59.99,9.8,69.79,,,,,,,,,,,,,,
,AG10108-5,INGCO,6,amoladora regulador ingco 4 ®'' 1010w,203.68,172.47,,4,4,#ðREF!,#ðREF!,#ðREF!,193.5,18,40,13,9,2.5K,,,,,,,6.93E+12,224.05,11.95,235.998,199.99,14,213.99,,,,,,,,,,,,,,
,FBLI2002,INGCO,,bater­a 4ah ingco,193.6,160.78,,2,4,#ðREF!,#ðREF!,#ðREF!,183.92,11,18,11,10,1,,18x11x10 / 1k,12x9x8,,,,,212.96,6.95,219.91,189.9,13.7,203.6,,,,,,,,,,,,,,
,PDB15006,INGCO,,demoledor grande 1500w ingco,879.14,787.8,,1,1,#ðREF!,#ðREF!,#ðREF!,835.18,2,67,40,20,17,,,,,,,6.93E+12,967.05,34.95,1002.004,979.99,37.4,1017.39,,,,,,,,,,,,,,0
,CS18538,INGCO,,super selec sierra circular mango naranja 1400W,233.16,200.87,,5,4,#ðREF!,#ðREF!,#ðREF!,221.5,4,34,27,20,5.2,,,,,,,6.94E+12,256.48,19.45,275.926,278.99,16.37,295.36,,,,,,,,,,,,,,
,MG1309,INGCO,,grinder ingco 130w,132.37,103.67,,9,10,#ðREF!,#ðREF!,#ðREF!,125.75,61,29,19,10,"44,682.00",,29x19x10 / 1.5k ,28x9,,,,,145.61,0,145.607,119.99,11.6,131.59,,,,,,,,,,,,,,
,PDG4003,INGCO,,amoaldora recta 400W,199.72,167.88,,2,2,#ðREF!,#ðREF!,#ðREF!,189.73,6,43,10,9,1.9K,,,,,,,6.93E+12,219.69,11.95,231.642,219.99,14.6,234.59,,,,,,,,,,,,,,
,PL10508,INGCO,,CEPILLO 1050w ingco,285.96,244.71,,4,2,#ðREF!,#ðREF!,#ðREF!,271.66,2,22,31,20,4.5,,,,,,,6.93E+12,314.56,5.95,320.506,329.99,17.9,347.89,,,,,,,,,,,,,,
,SPG3508,INGCO,8,PINTAR 450W ingco,118.12,90.62,,14,24,#ðREF!,#ðREF!,#ðREF!,112.21,108,27,12,28,2,,27X12X28 2KG,,,,,6.93E+12,129.93,11.95,141.882,139.99,12.2,152.19,,,,,,,,,,,,,,
,SPG5008-2,INGCO,,SUELO PINTAR 550w bote lata,165.2,133.63,,1,16,#ðREF!,#ðREF!,#ðREF!,156.94,71,28,23,24,3,,28x23x24 3KG,42x22,,,,6.93E+12,181.72,5.95,187.67,187.99,13.64,201.63,,,,,,,,,,,,,,
,BMS14002,INGCO,,"INGLATEADORA SIERRA Ingletadora 8"" 1400W",419.5,370.62,,0,1,#ðREF!,#ðREF!,#ðREF!,398.53,2,,,,,,,,,,,6.93E+12,461.45,34.95,496.4,499.9,23,522.9,,,,,,,,,,,,,,
,AMWH75051,INGCO,,"ESCUADRA MAGNETICA 5"" 75LBS",30.91,20.78,,6,4,#ðREF!,#ðREF!,#ðREF!,29.36,0,,,,,,,,,,,,34,7.95,41.951,39.99,9.2,49.19,,,,,,,,,,,,,,
,ASG1061,INGCO,,PINTAR PLASTICO 600cc gravedad,80.26,64.1,,2,4,#ðREF!,#ðREF!,#ðREF!,76.25,18,24,16,13,1K,,,,,,,6.93E+12,88.29,6.95,95.236,89.99,10.7,100.69,,,,,,,,,,,,,,
,SDB21HL133,INGCO,,PUNTA ATORNILLADOR CHATA PH2+ SL6.0X1.0 65MM 10 PIEZAS,19.8,11.48,,14,10,#ðREF!,#ðREF!,#ðREF!,18.81,0,12,15,5,0.5K,,8,9,2,0.2K,,,21.78,0,21.78,18.69,8.56,27.25,,,,,,,,,,,,,,
,HSL58100,INGCO,,NIVEL 1MT,26.04,16.29,,27,10,#ðREF!,#ðREF!,#ðREF!,24.74,0,10,5,2,0.2,,,100x5x2 / 0.2k,,,,,28.64,7.95,36.594,39.99,9.2,49.19,,,,,,,,,,,,,,
,CIDLI200215,INGCO,,20V PERCUTOR GOZU,359.32,318.21,,2,5,#ðREF!,#ðREF!,#ðREF!,341.35,63,31,30,10,2.9K,,,,,,,6.94E+12,395.25,11.95,407.202,389.99,19.7,409.69,,,,,,,,,,,,,,
,AG110018,INGCO,,AMOLADORA 1100W 4 ®'' Y 5'' INGCO,185.14,150.96,,3,2,#ðREF!,#ðREF!,#ðREF!,175.88,1,33,15,10,2.4K,,,,,,,6.93E+12,203.65,11.95,215.604,199.99,14,213.99,,,,,,,,,,,,,,
,CS18568,INGCO,,Sierra circular1600W  7 ª'' INGCO,255.48,226.76,,4,2,#ðREF!,#ðREF!,#ðREF!,242.71,0,36,27,28,5.8K,,,,,,,6.93E+12,281.03,19.45,300.478,355.99,18.68,374.67,,,,,,,,,,,,,,
,JS80028,INGCO,5,800W CALADORA NORMAL ingco,211.96,182.07,,2,5,#ðREF!,#ðREF!,#ðREF!,201.36,6,31,24,11,3K,,,,,,,6.93E+12,233.16,11.95,245.106,249.99,15.5,265.49,,,,,,,,,,,,,,
,AG26008,INGCO,,"amoladora 2600W INGCO 9"" para construccion",380.92,343.27,,2,2,#ðREF!,#ðREF!,#ðREF!,361.87,7,56,18,13,7K,,,,,,,6.93E+12,419.01,11.95,430.962,479.99,22.4,502.39,,,,,,,,,,,,,,
,RH10508,INGCO,,rotomartillo sds plus 1050W INGCO 5j,309.45,271.96,,9,4,#ðREF!,#ðREF!,#ðREF!,293.98,2,41,13,31,7,,41x31x13 / 7k,,,,,,340.4,19.45,359.845,349.99,18.5,368.49,,,,,,,,,,,,,,
,RH150028,INGCO,,"rotomartillo sds plus  5,5 j 1500W INGCO",336.37,291.59,,6,6,#ðREF!,#ðREF!,#ðREF!,319.55,21,41,13,32,7.8k,,41x32x13 / 7.8k,,,,,,370.01,19.45,389.457,399.9,20,419.9,,,,,,,,,,,,,,
,RH18008,INGCO,,rotomartillo sds plus 7j 1800W INGCO,378.76,340.76,,8,8,#ðREF!,#ðREF!,#ðREF!,359.82,19,42,15,36,8.7,,42x15x36 / 8.7k,,,,,6.93E+12,416.64,19.45,436.086,469.99,22.1,492.09,,,,,,,,,,,,,,
,PDB13008,INGCO,,demoledor 20j 1300w INGCO,422.83,374.48,,2,2,#ðREF!,#ðREF!,#ðREF!,401.69,8,53x35x14 / 11k,,,,,53x35x14 / 11k,,,,,,465.11,34.95,500.063,519.99,23.6,543.59,,,,,,,,,,,,,,
,AB8008,INGCO,,SOPLADOR 800W INGCO,176,146.16,,15,12,#ðREF!,#ðREF!,#ðREF!,167.2,113,38,19,20,3,,38x19x20 3kg,51x18x15,,,,6.93E+12,193.6,11.9,205.5,199.99,14,213.99,,,,,,,,,,,,,,
,ING-MMA1805,INGCO,,SOLADOR 180A CHICA,506.1,447.88,,0,1,#ðREF!,#ðREF!,#ðREF!,480.8,0,,,,,,,,,,,,556.71,34.95,591.66,529.99,23.9,553.89,,,,,,,,,,,,,,
,MCD121155,INGCO,,"DISCOS 115mm 4 1/2"" ingco lata x10 unidades",22.5,13.05,,10,40,#ðREF!,#ðREF!,#ðREF!,21.38,130,13,3,13,"0,3kg",,,,,,,6.93E+12,24.75,11.9,36.65,21.59,8.65,30.24,,,,,,,,,,,,,,
,DMD011152m,INGCO,,DIAMANTADO 41/2 X10,66.73,51.89,,1,2,#ðREF!,#ðREF!,#ðREF!,63.39,0,,,,,,,,,,,,73.4,5.95,79.353,99.99,11,110.99,,,,,,,,,,,,,,
,TSB51852153,INGCO,,"SET SIERRAS 7 1/4"" corte madera",62.32,46.77,,2,2,#ðREF!,#ðREF!,#ðREF!,59.2,0,,,,,,,,,,,,68.55,5.95,74.502,74.89,10.25,85.14,,,,,,,,,,,,,,
,HKTS12251,INGCO,,"SET DADOS 18 Dados encastre 1/2"" (10, 11,12,13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 30, 32 mm) Incluye: 1 Llave crique 2 Saca buj­a de 16 mm y 21 mm 2 Barra de extensi½n 125 mm y 250 mm1 Articulaci½n universal 1/2"" 1 Adaptador triple uso 1 Malet­n",205.3,174.35,,1,1,#ðREF!,#ðREF!,#ðREF!,195.04,#ðVALOR!,,,,,,,,,,,,225.83,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,HTC04600,INGCO,,CORTADORA MAYOLICA 60CM INGCO,135.89,106.59,,4,8,#ðREF!,#ðREF!,#ðREF!,129.1,80,84,23,15,5K,,, ,,,,6.93E+12,149.48,0,149.479,169.99,13.1,183.09,,,,,,,,,,,,,,
,IW10508,INGCO,,IMPACTO electrica,356.62,315.08,,4,2,#ðREF!,#ðREF!,#ðREF!,338.79,7,38,33,14,6.1K,,,,,,,6.93E+12,392.28,19.45,411.732,439.99,21.2,461.19,,,,,,,,,,,,,,
,PTWT215002,INGCO,,TERMOFUSORA ingco ,211.96,182.07,,3,2,#ðREF!,#ðREF!,#ðREF!,201.36,10,49,27,10,5,,49x27x10 / 5.6k,Tot,,,,,233.16,0,233.156,249.99,15.5,265.49,,,,,,,,,,,,,,
,ACN50401,INGCO,,clavadora engrapadora 100PSI,150.44,116.51,,5,4,#ðREF!,#ðREF!,#ðREF!,142.92,15,28,26,6,3K,,,,,,,6.93E+12,165.48,6.95,172.434,179.99,13.4,193.39,,,,,,,,,,,,,,
,HKSDB0188,INGCO,,DESARMADORES CAJITA ingco,25.5,15.66,,3,4,#ðREF!,#ðREF!,#ðREF!,24.23,4,11,5,15,"0,4kg",,,,,,,6.93E+12,28.05,6.45,34.5,30.99,8.93,39.92,,,,,,,,,,,,,,
,ASG4041,INGCO,,PINTAR 400CC GRAVEDAD,56.63,42.49,,2,2,#ðREF!,#ðREF!,#ðREF!,53.8,14,23,14,13,0.79K,,,,,,,6.93E+12,62.29,6.95,69.243,79.99,10.4,90.39,,,,,,,,,,,,,,
,ATG0601,INGCO,,SOPLADOR MANOMETRO,45.61,34.35,,8,2,#ðREF!,#ðREF!,#ðREF!,43.33,0,34,6,17,1kh,,,,,,,,50.17,0,50.171,52.99,9.59,62.58,,,,,,,,,,,,,,
,ABG031,INGCO,,PISTOLA AIRE,16.38,9.5,,4,2,#ðREF!,#ðREF!,#ðREF!,15.56,0,,,,,,,,,,,,18.02,0,18.018,19.99,8.6,28.59,,,,,,,,,,,,,,
,HPWR18008,INGCO,,HIDRO 1800W INGCO,481.17,418.96,,2,2,#ðREF!,#ðREF!,#ðREF!,457.11,8,39,29,56,10,,,,,,,6.93E+12,529.29,0,529.287,559.9,24.8,584.7,,,,,,,,,,,,,,
,ING- MMAC1802,INGCO,,SOLDAR 180A PESADA,408.79,358.2,,1,1,#ðREF!,#ðREF!,#ðREF!,388.35,0,,,,,,,,,,,,449.67,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,HTC04800AG,INGCO,,MAYOLICA 80cm,306.12,268.1,,1,2,#ðREF!,#ðREF!,#ðREF!,290.81,5,20,16,101,13k,,,,,,,6.93E+12,336.73,0,336.732,389.99,19.7,409.69,,,,,,,,,,,,,,
,Ciwli2001,INGCO,,LLAVE DE IMPACTO 20V ingco 300nm 2 bater­as 1 cargador,436.33,390.14,,2,2,#ðREF!,#ðREF!,#ðREF!,414.51,11,20,10,35,3,,20x10x35 / 3k,24x17x10,,,,,479.96,19.45,499.413,519.9,23.6,543.5,,,,,,,,,,,,,,
,DBH1253206,INGCO,,BROCA 32X570mm SDS Max,118.21,90.72,,8,4,#ðREF!,#ðREF!,#ðREF!,112.3,0,,,,,,,,,,,,130.03,6.95,136.981,149.99,12.5,162.49,,,,,,,,,,,,,,
,DBH1253208,INGCO,,BROCA 32X1000m mSDS Max,159.53,127.05,,1,2,#ðREF!,#ðREF!,#ðREF!,151.55,1,,,,,,,,,,,,175.48,6.95,182.433,199.99,14,213.99,,,,,,,,,,,,,,
,AKSD08301,INGCO,,Juego Set 30Puntas AtornILLADOR caja naranja + Prolongador,26.94,17.33,,10,2,#ðREF!,#ðREF!,#ðREF!,25.59,0,10,8,5,0.2K,,,,,,,6.93E+12,29.63,6.45,36.084,30.99,8.93,39.92,,,,,,,,,,,,,,
,MCD121001,INGCO,,"DISCO 4""",1.62,0.94,,0,2,#ðREF!,#ðREF!,#ðREF!,1.54,0,,,,,,,,,,,,1.78,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,MCD1210550,INGCO,,"50pcs/set 50pcs/shrink 105MM(4"")X1.2MM(3/64"")X1 6MM(5/8"") Flat centre Cutting disc for metal and INOX Packed by plastic box",44.44,32.99,,5,2,#ðREF!,#ðREF!,#ðREF!,42.22,0,15,20,15,1.2,,13,14,9,1.2K,,,48.88,5.95,54.834,79.99,10.4,90.39,,,,,,,,,,,,,,
,HIBRIDA-STITCH,INGCO,,TAZA STICH,25.2,14.62,,0,,#ðREF!,#ðREF!,#ðREF!,23.94,0,,,,,,,,,,,,27.72,7.95,35.67,14.99,8.45,23.44,,,,,,,,,,,,,,
,COS35538,INGCO,,"TRONZADORA 14"" 2350w",443.08,397.97,,2,1,#ðREF!,#ðREF!,#ðREF!,420.93,5,31,55,43,18K,,,,,,,6.93E+12,487.39,34.95,522.338,629.99,26.9,656.89,,,,,,,,,,,,,,
,DBC0324102,INGCO,,SINCEL PARA PDB 1700W,65.11,50.01,,1,3,#ðREF!,#ðREF!,#ðREF!,61.85,0,,,,,,,,,,,,71.62,6.9,78.521,99.99,11,110.99,,,,,,,,,,,,,,
,HG200038,INGCO,,CALOR 2000w X4PC,109.39,80.49,,8,5,#ðREF!,#ðREF!,#ðREF!,103.92,1,27,25,9,1.1K,,,,,,,6.93E+12,120.33,11.95,132.279,119.99,11.6,131.59,,,,,,,,,,,,,,
,CRHLI1601,INGCO,,RH 20V rotomartillo,233.16,200.87,,1,1,#ðREF!,#ðREF!,#ðREF!,221.5,2,21,30,8,1.7,,,,,,,6.93E+12,256.48,19.45,275.926,299,16.97,315.97,,,,,,,,,,,,,,
,CSLI1401,INGCO,,sierra circular BAT 20V,229.11,196.17,,3,3,#ðREF!,#ðREF!,#ðREF!,217.65,10,31,28,18,3.1K,,,,,,,6.93E+12,252.02,19.45,271.471,259.99,15.8,275.79,,,,,,,,,,,,,,
,CSDLI0402,INGCO,,4V destornillador ingco usb,57.08,43.01,,4,2,#ðREF!,#ðREF!,#ðREF!,54.23,0,26,20,6,0.5K,,,,,,,6.93E+12,62.79,11.95,74.738,59.99,9.8,69.79,,,,,,,,,,,,,,
,JS400285,INGCO,,CALADORA 400W,128.59,99.28,,15,4,#ðREF!,#ðREF!,#ðREF!,122.16,0,29,23,9,2.5k,,,,,,,6.93E+12,141.45,50.45,191.899,129.99,11.9,141.89,,,,,,,,,,,,,,
,HBV082 ,INGCO,,"MORZA BANCO TamaÏo de la base giratoria: 60 mm Fuerza de sujeci½n mÿx.: 1000 kgs Peso: 1,7 kg",55.1,40.72,,3,2,#ðREF!,#ðREF!,#ðREF!,52.35,0,,,,,,,,,,,,60.61,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,AMFP4002,INGCO,,CHAMPUNERA,26.04,16.29,,96,75,#ðREF!,#ðREF!,#ðREF!,24.74,0,,,,,,,,,,,,28.64,38.9,67.544,34.99,9.05,44.04,,,,,,,,,,,,,,
,HTC04600B,INGCO,,CUCHILLA CORTADOR CERAMICA 60 CM Cortador de azulejos  Material: carburo de tungsteno TamaÏo cuchilla 16 x 6 x 3 mm,10.98,6.37,,12,5,#ðREF!,#ðREF!,#ðREF!,10.43,0,,,,,,,,,,,,12.08,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,FBLIE2001,INGCO,,bat 20v negra,89.45,73.6,,5,2,#ðREF!,#ðREF!,#ðREF!,84.98,0,,,,,,,,,,,,98.39,11.95,110.345,99.99,11,110.99,,,,,,,,,,,,,,
,AG200018,INGCO,,"amoladora 2000w 7"" industrial unica",289.29,248.58,,1,2,#ðREF!,#ðREF!,#ðREF!,274.83,1,53,17,12,5.73K,,,,,,,6.93E+12,318.22,11.95,330.169,349.99,18.5,368.49,,,,,,,,,,,,,,
,CROSLI2001,INGCO,,lijadora 20v ingco rotoorbital,198.55,166.52,,4,2,#ðREF!,#ðREF!,#ðREF!,188.62,9,,,,,,,,,,,,218.41,19.45,237.855,229.99,14.9,244.89,,,,,,,,,,,,,,
,MXLI2001,INGCO,4,MIXER 20V,404.92,353.71,,0,1,#ðREF!,#ðREF!,#ðREF!,384.67,0,,,,,,,,,,,,445.41,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,AG75028,INGCO,,"AG 4 1/2"" 750W SELECT INGCO amoladora",129.94,100.85,,4,4,#ðREF!,#ðREF!,#ðREF!,123.44,20,33,13,10,2.2K,,,,,,,6.93E+12,142.93,11.95,154.884,139.9,12.2,152.1,,,,,,,,,,,,,,
,AG750282,INGCO,,"AG 4"" 100MM 750w",112.45,84.04,,2,4,#ðREF!,#ðREF!,#ðREF!,106.83,1,33,13,10,2.2K,,,,,,,6.93E+12,123.7,11.95,135.645,119.99,11.6,131.59,,,,,,,,,,,,,,
,AKDL11601,INGCO,,"BROCAS LIBRO QUE HAY Brocas HSS: 2, 3, 4, 5, 6, 8 mm Brocas concreto: 4, 5, 6, 8, 10 mm Brocas madera: 4, 5, 6, 8, 10 mm",34.25,23.49,,9,10,#ðREF!,#ðREF!,#ðREF!,32.54,14,31,31,5,0.5K,,,,,,,6.93E+12,37.68,13.9,51.575,59.99,9.8,69.79,,,,,,,,,,,,,,
,MX214008,INGCO,,MIXER 1400W INGCO,367.42,327.61,,1,2,#ðREF!,#ðREF!,#ðREF!,349.05,2,,,,,,,,,,,,404.16,0,404.162,449.99,21.5,471.49,,,,,,,,,,,,,,
,AG220018,INGCO,238,"AG 2200W INGCO 9""",292.62,252.44,,4,2,#ðREF!,#ðREF!,#ðREF!,277.99,0,53,18,13,"44,686.00",,,,,,,6.93E+12,321.88,0,321.882,374.99,19.25,394.24,,,,,,,,,,,,,,
,RGH9028,INGCO,,"rotomartillo 800W INGCO 2,5j",237.21,205.56,,3,4,#ðREF!,#ðREF!,#ðREF!,225.35,10,45,33,13,5.4K,,,,,,,6.93E+12,260.93,19.45,280.381,309.99,17.3,327.29,,,,,,,,,,,,,,
,RGH9028-2,INGCO,,"rotomartillo 800W INGCO 2,5j con chuck ",285.24,243.88,,2,,#ðREF!,#ðREF!,#ðREF!,270.98,-2,,,,,,,,,,,,313.76,19.45,333.214,367.99,19.04,387.03,,,,,,,,,,,,,,
,RS3208,INGCO,,lijadora ROTOORBITAL 320W,163.94,132.17,,3,6,#ðREF!,#ðREF!,#ðREF!,155.74,10,21,13,17,2.6K,,,,,,,6.93E+12,180.33,11.95,192.284,209.99,14.3,224.29,,,,,,,,,,,,,,
,HKISSD12101,INGCO,,"DADOS  ingco 10 Piezas de dados hexagonales de 1/2?: 10, 12, 13, 14, 15, 17, 19, 21, 22, 24 mm 1 Extensi½n: 125 mm 1 Ratchet: 10"" (250 mm)",63.49,48.13,,38,10,#ðREF!,#ðREF!,#ðREF!,60.32,0,40,7,4,1.2K,,,,,,,6.93E+12,69.84,11.95,81.789,77.9,10.34,88.24,,,,,,,,,,,,,,
,HKNS18068,INGCO,,CUTTER NORMAL,3.96,2.3,,1,,#ðREF!,#ðREF!,#ðREF!,3.76,0,,,,,,,,,,,,4.36,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,MC14008,INGCO,,cortadora de MARMOL 1400W MC14008,204.58,173.51,,2,4,#ðREF!,#ðREF!,#ðREF!,194.35,8,22,17,23,"44,715.00",,22x17x23 / 3.6k,16x21x19,,,,,225.04,11.95,236.988,259.99,15.8,275.79,,,,,,,,,,,,,,
,AKD2101,INGCO,,SINCEL BROCAS PARA SDS PLUS,59.06,45.31,,1,2,#ðREF!,#ðREF!,#ðREF!,56.11,8,29,7,6,1.2K,,,,,,,6.93E+12,64.97,6.95,71.916,79.89,10.4,90.29,,,,,,,,,,,,,,
,DBC0314101,INGCO,,PUNTA HEX CHISEL PARA PDB17008 Y PDB17018,65.11,50.01,,0,2,#ðREF!,#ðREF!,#ðREF!,61.85,2,6,6,44,"1,4kg",,,,,,,6.93E+12,71.62,6.95,78.571,99.99,11,110.99,,,,,,,,,,,,,,
,HRCW40231,INGCO,,"LLAVE CRUZ TamaÏo: 16"" 4 piezas 1/2"" dados: 17 mm 19 mm 21 mm 23 mm
Cromo Vanadio",70.24,55.96,,2,4,#ðREF!,#ðREF!,#ðREF!,66.73,1,,,,,,,,,,,,77.26,11.95,89.214,89.99,10.7,100.69,,,,,,,,,,,,,,
,HR104,INGCO,,REMACHADORA 10.5,23.04,13.36,,7,4,#ðREF!,#ðREF!,#ðREF!,21.89,3,,,,,,,,,,,,25.34,0,25.344,24.99,8.75,33.74,,,,,,,,,,,,,,
,HR105,INGCO,,"REMACHADORA 10.5"" ALUMINIO",28.11,18.69,,3,4,#ðREF!,#ðREF!,#ðREF!,26.7,0,,,,,,,,,,,,30.92,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,AKISD1208,INGCO,,JUEGO DESARMADOR ARTICULABLE 13 EN 1,21.6,12.53,,4,4,#ðREF!,#ðREF!,#ðREF!,20.52,17,5,5,17,"0,2kg",,,,,,,6.93E+12,23.76,11.95,35.71,35.99,9.08,45.07,,,,,,,,,,,,,,
,HGCG01-L,INGCO,,GUANTES RESISTENTES A CORTE,20.88,12.11,,0,2,#ðREF!,#ðREF!,#ðREF!,19.84,0,,,,,,,,,,,,22.97,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,HSMT08052,INGCO,,WINCHA DE ACERO 5M*19CM,12.6,7.31,,6,4,#ðREF!,#ðREF!,#ðREF!,11.97,0,,,,,,,,,,,,13.86,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,HFMT8250,INGCO,,WINCHA DE FIBRA DE VIDRIO 50M,45.88,34.66,,4,4,#ðREF!,#ðREF!,#ðREF!,43.59,2,39,25,6,1K,,,,,,,6.93E+12,50.47,0,50.468,59.99,9.8,69.79,,,,,,,,,,,,,,
,HMSL01030,INGCO,,0 NIVEL MINI 225MM MAGNTICO,10.44,6.06,,27,40,#ðREF!,#ðREF!,#ðREF!,9.92,0,,,,,,,,,,,,11.48,11.9,23.384,12.99,8.39,21.38,,,,,,,,,,,,,,
,AG10108,INGCO,,amoladora 1010w 125mm SIN REGULADOR,189.46,155.97,,4,2,#ðREF!,#ðREF!,#ðREF!,179.99,0,40,12,9,"44,714.00",,40x12x9 / 2.6k,33x21x9 ,,,,,208.41,13.45,221.856,209.99,14.3,224.29,,,,,,,,,,,,,,
,AP14008,INGCO,,PULIDORA 1400W,279.21,236.88,,7,4,#ðREF!,#ðREF!,#ðREF!,265.25,9,20,49,10,"44,624.00",,20x49x10 / 4.3k,45x17x10,,,,,307.13,11.95,319.081,299.99,17,316.99,,,,,,,,,,,,,,
,ID8508,INGCO,,850W TALADRO,162.59,130.6,,2,1,#ðREF!,#ðREF!,#ðREF!,154.46,0,,,,,,,,,,,,178.85,11.95,190.799,198.99,13.97,212.96,,,,,,,,,,,,,,
,CIRLI1201,INGCO,,IMPACTO 12V 2 BATER™AS,242.61,211.83,,0,4,#ðREF!,#ðREF!,#ðREF!,230.48,3,,,,,,,,,,,,266.87,11.95,278.821,289.9,16.7,306.6,,,,,,,,,,,,,,
,CSDLI0801,INGCO,,DESARMADOR INALæMBRICO 8V,137.06,107.95,,0,2,#ðREF!,#ðREF!,#ðREF!,130.21,0,,,,,,,,,,,,150.77,5.95,156.716,139.99,12.2,152.19,,,,,,,,,,,,,,
,CDLI200215,INGCO,,20V sin percutor maleta x2 2ah,345.1,301.72,,0,,#ðREF!,#ðREF!,#ðREF!,327.85,0,,,,,,,,,,,,379.61,,,,#ðVALOR!,#ðVALOR!,,,,,,,,,,,,,,
,JS57028,INGCO,,570w caladora,170.15,139.37,,4,5,#ðREF!,#ðREF!,#ðREF!,161.64,0,,,,,,,,,,,,187.16,11.95,199.115,179.99,13.4,193.39,,,,,,,,,,,,,,
,PLM5002,INGCO,,ruteadora 500w INGCO,179.42,150.13,,19,12,#ðREF!,#ðREF!,#ðREF!,170.45,36,23,16,10,2.3k,,23x16x10 ,,,,,,197.36,11.95,209.312,199.99,14,213.99,,,,,,,,,,,,,,
