"","Edad","Genero","Carrera","Ciclo","Participacion","Cantidad","Tipo","Actividades","Horas_Actividades","Satisfaccion","Horas_Estudios","Orden_de_merito","Reprobado","Relación_rendimiento","Nivel_habilidades","Relacion_habilidades","Amistades","Test_Social","Test_Liderazgo"
"16",20,"Masculino","Ingeniería Civil","6","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",5,"Décimo superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",3,5.75,5.75
"17",18,"Femenino","Bioingeniería","3","Sí",1,"Idiomas","Inglés",7,"Medianamente satisfecho",50,"Tercio superior","No","No afectan.","Regular","Si, afectan positivamente.",15,5.6,5.5
"18",19,"Femenino","Ingeniería Ambiental","2","Sí",1,"Artística","Danza",4,"Muy satisfecho",70,"Ninguno","Sí","No afectan.","Regular","No afectan.",2,7,6
"19",18,"Femenino","Ingeniería Industrial","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",56,"Tercio superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",1,8,7.38
"20",19,"Masculino","Ingeniería Mecánica","5","Sí",1,"Artística","Dibujo",4,"Muy satisfecho",55,"Tercio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",4,8.5,8
"21",20,"Masculino","Ingeniería Mecánica","4","Sí",2,"Deportiva, Idiomas","Inglés, Natación",3,"Extremadamente satisfecho",40,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",2,7.5,7
"22",18,"Masculino","Bioingeniería","3","Sí",1,"Académicas","Inglés, Portugués",5,"Medianamente satisfecho",15,"Décimo superior","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",50,9,7.13
"23",18,"Femenino","Ingeniería Mecatrónica","3","Sí",2,"Deportiva, Idiomas","Francés, Natación",13,"Medianamente satisfecho",12,"Medio superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",1,6,6.25
"24",18,"Masculino","Ingeniería Electrónica","3","Sí",3,"Deportiva, Artística","Ajedrez, Dibujo, Fútbol",3,"Medianamente satisfecho",12,"Quinto superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",12,6.25,6.75
"25",22,"Masculino","Ingeniería Civil","4","Sí",4,"Deportiva, Voluntariado, Idiomas, Trabajo","Fútbol, Inglés, Voluntariado",6,"Extremadamente satisfecho",12,"Ninguno","Sí","No afectan.","Regular","Si, afectan positivamente.",100,2.4,4.6
"26",20,"Femenino","Ingeniería Civil","4","Sí",2,"Deportiva, Voluntariado","Fútbol, Inglés",8,"Medianamente satisfecho",9,"Tercio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",7,6,8.63
"27",20,"Masculino","Ingeniería Civil","4","Sí",2,"Académicas, Voluntariado","Ajedrez, Inglés",14,"Muy satisfecho",40,"Quinto superior","Sí","No afectan.","Regular","No afectan.",10,7,7.5
"28",18,"Femenino","Bioingeniería","3","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",7,"Décimo superior","No","No afectan.","Medianamente Alto","Si, afectan positivamente.",0,6.5,7.25
"29",18,"Masculino","Ciencia de la Computación","3","Sí",3,"Artística, Académicas, Voluntariado","Organizaciones estudiantiles",5,"Muy satisfecho",12,"Quinto superior","No","Si, afectan negativamente","Regular","Si, afectan positivamente.",10,5,6
"30",18,"Otro","Ciencia de la Computación","3","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",50,"Medio superior","Sí","Si, afectan negativamente","Medianamente Bajo","No afectan.",0,4,7
"31",19,"Masculino","Ingeniería Ambiental","3","Sí",2,"Académicas, Tecnológica","Ninguna",8,"Muy satisfecho",6,"Ninguno","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",5,7,7
"32",18,"Masculino","Ciencia de la Computación","3","Sí",1,"Deportiva","Tenis",6,"Medianamente satisfecho",8,"Medio superior","No","No afectan.","Bajo","No afectan.",0,4.75,3
"33",18,"Femenino","Administración y Negocios Digitales","3","Sí",1,"Idiomas","Chino mandarín",5,"Muy satisfecho",30,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",10,7.25,7
"34",19,"Femenino","Ingeniería Ambiental","3","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",40,"Ninguno","Sí","No afectan.","Regular","Si, afectan positivamente.",2,5.5,6
"35",19,"Femenino","Ingeniería Civil","4","Sí",1,"Deportiva","Vóley",4,"Muy satisfecho",80,"Tercio superior","Sí","No afectan.","Regular","No afectan.",8,6.25,6.25
"36",20,"Masculino","Ingeniería Industrial","6","Sí",3,"Deportiva, Voluntariado, Idiomas","Fútbol, Inglés, Música",20,"Medianamente satisfecho",60,"Tercio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",10,6.25,8.13
"37",18,"Femenino","Ingeniería Química","3","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",8,"10 primeros puestos","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",0,8,6.25
"38",17,"Masculino","Ingeniería Industrial","1","Sí",2,"Deportiva, Artística","Basquet",2,"Extremadamente satisfecho",20,"Ingresé el 2023-1","No","No afectan.","Regular","No afectan.",10,7.25,6.25
"39",19,"Masculino","Bioingeniería","3","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",16,"Tercio superior","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",10,7.5,7.5
"40",18,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",24,"Tercio superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",0,5,6.5
"41",17,"Otro","Bioingeniería","3","Sí",1,"Voluntariado","Voluntariado (enseñar )",4,"Muy satisfecho",6,"Ninguno","Sí","No afectan.","Regular","Si, afectan positivamente.",3,6,6.25
"42",18,"Masculino","Ingeniería Civil","3","Sí",2,"Deportiva, Académicas, Voluntariado","Fútbol",8,"Muy satisfecho",42,"Tercio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",15,8.25,6.5
"43",19,"Femenino","Ingeniería Ambiental","3","Sí",1,"Artística","Música",2,"Extremadamente satisfecho",24,"Medio superior","Sí","No afectan.","Alto","No afectan.",20,7,6.38
"44",20,"Masculino","Ciencia de la Computación","4","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",63,"Medio superior","Sí","Si, afectan negativamente","Regular","Si, afectan negativamente",10,6,5.38
"45",18,"Masculino","Ingeniería Electrónica","4","Sí",2,"Deportiva, Académicas, Voluntariado","Fútbol, Inglés",5,"Medianamente satisfecho",5,"Décimo superior","No","No afectan.","Medianamente Alto","No afectan.",8,7,7
"46",19,"Femenino","Ingeniería Civil","6","Sí",2,"Académicas","Organizaciones estudiantiles",6,"Muy satisfecho",21,"Quinto superior","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",40,9,5.88
"47",21,"Masculino","Ciencia de la Computación","3","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",20,"Tercio superior","No","No afectan.","Regular","No afectan.",0,6,7
"48",21,"Masculino","Ciencia de la Computación","5","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",10,"Medio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",0,7,6
"49",22,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",15,"Medio superior","Sí","Si, afectan negativamente","Alto","No afectan.",0,8,7.5
"50",22,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",70,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",20,8.25,7.75
"51",22,"Masculino","Ciencia de la Computación","11","Sí",3,"Deportiva, Trabajo","Tenis, Trabajo, pesca",8,"Muy satisfecho",5,"Décimo superior","No","No afectan.","Medianamente Alto","Si, afectan positivamente.",20,8.25,6.25
"52",20,"Masculino","Ingeniería de la Energía","3","Sí",1,"Voluntariado","Trabajo",30,"Extremadamente satisfecho",30,"Ninguno","Sí","Si, afectan negativamente","Alto","No afectan.",15,7,7
"53",19,"Femenino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",30,"Ninguno","Sí","No afectan.","Regular","No afectan.",4,5.25,6
"54",18,"Femenino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",30,"Tercio superior","Sí","No afectan.","Alto","Si, afectan positivamente.",0,10,8.5
"55",17,"Masculino","Ingeniería Civil","3","Sí",1,"Deportiva","Fútbol, Inglés",3,"Medianamente satisfecho",10,"Tercio superior","No","Si, afectan positivamente","Medianamente Bajo","No afectan.",5,4,4
"56",17,"Masculino","Ingeniería Mecatrónica","3","Sí",1,"Académicas","Inglés",7,"Medianamente satisfecho",8,"Décimo superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",2,5.5,6.75
"57",19,"Femenino","Bioingeniería","4","Sí",1,"Deportiva","Basquet, Vóley, Atletismo",3,"Muy satisfecho",5,"Tercio superior","No","No afectan.","Regular","No afectan.",20,7.8,5.63
"58",23,"Masculino","Ingeniería Mecatrónica","3","No",0,"Ninguna","Ninguna",0,"Extremadamente satisfecho",27,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",49,6.5,4.5
"59",18,"Masculino","Bioingeniería","4","Sí",1,"Deportiva","Artes Marciales",4,"Muy satisfecho",8,"Décimo superior","No","No afectan.","Alto","Si, afectan positivamente.",5,7.8,7.2
"60",19,"Masculino","Bioingeniería","4","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",49,"Tercio superior","No","No afectan.","Regular","No afectan.",0,6.7,5.6
"61",20,"Femenino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Poco satisfecho",6,"Quinto superior","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",3,6,10
"62",22,"Masculino","Ingeniería Mecatrónica","9","Sí",3,"Tecnológica","Basquet",12,"Extremadamente satisfecho",12,"Quinto superior","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",20,9,7
"63",21,"Otro","Ingeniería Mecatrónica","9","Sí",2,"Voluntariado","Organización universitaria",4,"Muy satisfecho",16,"Tercio superior","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",15,8,10
"64",20,"Femenino","Ingeniería Civil","4","Sí",3,"Académicas, Voluntariado, Idiomas","Ajedrez, Inglés, Voluntariado",5,"Medianamente satisfecho",20,"Tercio superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",20,6.75,7.13
"65",17,"Masculino","Ingeniería Mecatrónica","3","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",24,"Décimo superior","No","No afectan.","Regular","No afectan.",0,4.5,6.63
"66",21,"Masculino","Ingeniería Industrial","9","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",20,"Décimo superior","Sí","Si, afectan positivamente","Regular","No afectan.",0,6.75,5.75
"67",22,"Masculino","Ingeniería Industrial","8","Sí",1,"Deportiva","Tenis",4,"Extremadamente satisfecho",10,"Medio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",4,7,7
"68",22,"Masculino","Ingeniería Mecánica","7","Sí",1,"Trabajo","Trabajo",35,"Medianamente satisfecho",20,"Tercio superior","Sí","Si, afectan negativamente","Regular","Si, afectan positivamente.",6,5.5,5.75
"69",18,"Femenino","Ingeniería Mecatrónica","3","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",10,"Tercio superior","No","No afectan.","Medianamente Alto","No afectan.",0,2.75,7.38
"70",22,"Masculino","Ingeniería Industrial","9","Sí",1,"Deportiva","Escalada",10,"Muy satisfecho",30,"Ninguno","Sí","Si, afectan negativamente","Regular","Si, afectan positivamente.",20,7,4
"71",18,"Femenino","Ingeniería Civil","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",8,"Tercio superior","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",3,7.75,7.5
"72",21,"Masculino","Bioingeniería","4","Sí",2,"Deportiva, Voluntariado","Basquet, Voluntariado",14,"Muy satisfecho",8,"Ninguno","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",30,7,5.63
"73",18,"Masculino","Ingeniería Química","3","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",9,"Ninguno","Sí","No afectan.","Regular","Si, afectan negativamente",1,8,3
"74",18,"Femenino","Ingeniería Industrial","3","Sí",1,"Deportiva","Artes Marciales",8,"Extremadamente satisfecho",6,"Tercio superior","Sí","No afectan.","Alto","Si, afectan positivamente.",5,8,9
"75",18,"Femenino","Ingeniería Industrial","3","Sí",1,"Deportiva, Académicas","Ciclismo",6,"Medianamente satisfecho",30,"Medio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",4,7,8
"76",19,"Masculino","Ingeniería Civil","4","Sí",1,"Deportiva","Fútbol",4,"Muy satisfecho",20,"Tercio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",40,6,9
"77",16,"Masculino","Ciencia de la Computación","1","Sí",1,"Deportiva","Artes Marciales",1,"Medianamente satisfecho",40,"10 primeros puestos","No","No afectan.","Bajo","Si, afectan positivamente.",13,10,10
"78",18,"Masculino","Ingeniería Industrial","3","Sí",2,"Deportiva, Artística","Música, Entrenamiento",12,"Muy satisfecho",30,"Medio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",12,8,9
"79",19,"Masculino","Ingeniería Civil","4","Sí",1,"Idiomas","Ninguna",12,"Muy satisfecho",16,"Medio superior","Sí","No afectan.","Regular","No afectan.",20,7.5,6.5
"80",19,"Femenino","Ingeniería Mecatrónica","4","Sí",2,"Artística, Idiomas","Inglés, Teatro",10,"Muy satisfecho",45,"Tercio superior","Sí","No afectan.","Alto","Si, afectan positivamente.",15,8,9
"81",21,"Femenino","Ingeniería Civil","1","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",60,"Ingresé el 2023-1","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",0,8,7
"82",19,"Masculino","Bioingeniería","4","Sí",5,"Deportiva, Académicas, Trabajo","Natación, Surf",4,"Muy satisfecho",10,"Ninguno","Sí","No afectan.","Alto","Si, afectan positivamente.",40,10,8.38
"83",25,"Masculino","Ingeniería Mecánica","4","Sí",2,"Deportiva","Fútbol",2,"Muy satisfecho",6,"Ingresé el 2023-1","No","No afectan.","Alto","No afectan.",20,6.25,7
"84",19,"Masculino","Ingeniería Mecatrónica","4","Sí",1,"Idiomas","Inglés",2,"Poco satisfecho",15,"Ninguno","Sí","Si, afectan negativamente","Regular","No afectan.",2,3,6
"85",22,"Femenino","Ingeniería Industrial","8","Sí",2,"Voluntariado, Idiomas","Inglés, Vóley",3,"Muy satisfecho",10,"Quinto superior","Sí","No afectan.","Medianamente Alto","No afectan.",8,5.25,4.25
"86",17,"Masculino","Ingeniería Mecatrónica","1","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",40,"Ingresé el 2023-1","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",4,9.5,8.13
"87",18,"Masculino","Ingeniería Mecánica","3","Sí",2,"Deportiva, Idiomas","Fútbol, Inglés",14,"Muy satisfecho",8,"Ninguno","Sí","Si, afectan positivamente","Medianamente Alto","No afectan.",10,5.75,6.75
"88",18,"Femenino","Ingeniería Química","3","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",5,"Ninguno","Sí","No afectan.","Regular","Si, afectan positivamente.",0,8.75,9.7
"89",18,"Masculino","Bioingeniería","3","Sí",1,"Deportiva, Idiomas","Fútbol, Inglés",4,"Muy satisfecho",9,"Quinto superior","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",20,9.75,7.85
"90",19,"Femenino","Bioingeniería","4","Sí",1,"Voluntariado","Voluntariado",40,"Medianamente satisfecho",50,"Ninguno","Sí","Si, afectan negativamente","Regular","Si, afectan positivamente.",50,2.75,7
"91",19,"Masculino","Bioingeniería","5","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",8,"Ninguno","Sí","No afectan.","Alto","Si, afectan positivamente.",0,5.75,7.88
"92",21,"Femenino","Ingeniería Industrial","6","Sí",3,"Académicas","Danza, Enseñar",20,"Muy satisfecho",25,"10 primeros puestos","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",20,4,6
"93",19,"Masculino","Ingeniería Industrial","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",20,"Décimo superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",0,7.25,5.38
"94",18,"Femenino","Bioingeniería","5","Sí",2,"Deportiva, Artística, Académicas","Artes Marciales, Dibujo",10,"Medianamente satisfecho",70,"Ninguno","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",5,6.75,4.88
"95",18,"Femenino","Bioingeniería","3","Sí",1,"Deportiva","Entrenamiento",10,"Extremadamente satisfecho",25,"Ninguno","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",2,8.5,7
"96",20,"Masculino","Ingeniería Industrial","5","Sí",2,"Deportiva, Académicas","Artes Marciales, Inglés, Vóley",3,"Medianamente satisfecho",5,"Tercio superior","Sí","No afectan.","Medianamente Alto","No afectan.",3,7.5,8.4
"97",19,"Femenino","Bioingeniería","5","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",10,"Tercio superior","No","No afectan.","Medianamente Alto","Si, afectan negativamente",0,7,6.25
"98",18,"Masculino","Bioingeniería","3","Sí",1,"Deportiva","Natación",3,"Extremadamente satisfecho",8,"Quinto superior","No","No afectan.","Medianamente Alto","Si, afectan positivamente.",2,6.25,6.38
"99",18,"Masculino","Ingeniería Industrial","4","Sí",2,"Académicas, Voluntariado","Ninguna",4,"Muy satisfecho",8,"Tercio superior","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",20,1,1
"100",21,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",45,"Medio superior","Sí","No afectan.","Alto","No afectan.",0,7,8
"101",18,"Masculino","Ingeniería Mecatrónica","3","Sí",1,"Artística","Música",3,"Medianamente satisfecho",10,"Medio superior","Sí","Si, afectan negativamente","Medianamente Alto","Si, afectan positivamente.",10,7,6
"102",18,"Masculino","Ingeniería Mecatrónica","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",24,"10 primeros puestos","No","Si, afectan negativamente","Regular","Si, afectan positivamente.",0,5.25,5.5
"103",20,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",48,"Tercio superior","No","Si, afectan negativamente","Regular","Si, afectan positivamente.",0,5,6
"104",29,"Femenino","Ingeniería Civil","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",10,"Medio superior","Sí","No afectan.","Regular","No afectan.",10,8,9
"105",18,"Masculino","Ingeniería Civil","2","Sí",1,"Deportiva","Fútbol",1,"Muy satisfecho",10,"Tercio superior","Sí","No afectan.","Medianamente Bajo","No afectan.",10,8,9
"106",22,"Femenino","Ingeniería Civil","10","Sí",1,"Idiomas","Inglés",2,"Muy satisfecho",8,"Quinto superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",4,6,6
"107",18,"Masculino","Ingeniería Civil","2","Sí",3,"Deportiva, Artística, Académicas, Voluntariado","Ajedrez, Basquet, Danza",6,"Extremadamente satisfecho",9,"10 primeros puestos","Sí","No afectan.","Alto","No afectan.",6,5.75,8.75
"108",19,"Femenino","Bioingeniería","2","Sí",2,"Deportiva, Voluntariado","Atletismo",6,"Medianamente satisfecho",8,"Quinto superior","No","Si, afectan negativamente","Alto","No afectan.",9,5,5
"109",22,"Femenino","Ingeniería Industrial","4","Sí",1,"Idiomas","Inglés",12,"Medianamente satisfecho",56,"Décimo superior","No","Si, afectan negativamente","Regular","No afectan.",2,6,6
"110",19,"Femenino","Ingeniería Ambiental","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",10,"Medio superior","Sí","Si, afectan negativamente","Regular","Si, afectan negativamente",0,4,7
"111",19,"Femenino","Ingeniería Civil","4","Sí",2,"Académicas, Voluntariado","Ninguna",5,"Muy satisfecho",50,"Quinto superior","No","No afectan.","Medianamente Alto","Si, afectan positivamente.",20,9.25,8.5
"112",19,"Masculino","Ingeniería Electrónica","4","Sí",1,"Idiomas","Inglés",8,"Medianamente satisfecho",5,"Medio superior","Sí","Si, afectan negativamente","Regular","Si, afectan positivamente.",10,6,6.38
"113",18,"Femenino","Bioingeniería","2","No",0,"Ninguna","Ninguna",0,"Poco satisfecho",40,"Ninguno","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",7,8.25,9.5
"114",18,"Femenino","Ciencia de la Computación","2","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",45,"Tercio superior","No","No afectan.","Regular","No afectan.",0,8.25,9.5
"115",19,"Masculino","Ingeniería Industrial","2","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",5,"Tercio superior","No","No afectan.","Medianamente Alto","No afectan.",0,1,1
"116",18,"Femenino","Ingeniería Ambiental","4","Sí",1,"Deportiva, Idiomas","Ninguna",2,"Medianamente satisfecho",6,"Medio superior","Sí","No afectan.","Medianamente Alto","No afectan.",5,8.5,9.5
"117",22,"Masculino","Ingeniería Industrial","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",10,"Ninguno","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",2,8.5,9.5
"118",18,"Femenino","Ingeniería Ambiental","2","No",0,"Ninguna","Ninguna",0,"Muy satisfecho",10,"Ninguno","Sí","Si, afectan negativamente","Medianamente Alto","Si, afectan positivamente.",5,6,4
"119",18,"Femenino","Bioingeniería","4","Sí",2,"Artística, Académicas, Voluntariado","Dibujo",6,"Muy satisfecho",8,"Quinto superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",10,8.5,9.5
"120",20,"Femenino","Bioingeniería","4","Sí",1,"Artística","Dibujo",2,"Muy satisfecho",20,"Ninguno","Sí","No afectan.","Regular","Si, afectan positivamente.",2,8.2,8.2
"121",19,"Masculino","Ingeniería Civil","4","Sí",2,"Deportiva, Académicas","Fútbol",4,"Muy satisfecho",36,"Tercio superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",4,5,8
"122",21,"Femenino","Bioingeniería","4","Sí",2,"Académicas, Idiomas","Inglés",8,"Muy satisfecho",48,"Medio superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",5,7.25,6.73
"123",21,"Masculino","Ingeniería Mecánica","4","Sí",2,"Artística, Idiomas","Inglés, Música",12,"Muy satisfecho",30,"Medio superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",7,6.25,5.75
"124",19,"Masculino","Ingeniería Mecánica","5","Sí",2,"Académicas","Organizaciones estudiantiles",3,"Muy satisfecho",6,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",8,7,6.88
"125",19,"Masculino","Ingeniería Mecánica","5","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",35,"Medio superior","Sí","No afectan.","Regular","No afectan.",0,7.25,6
"126",20,"Masculino","Ingeniería Mecánica","7","Sí",2,"Deportiva, Artística","Música, Entrenamiento",6,"Muy satisfecho",24,"Medio superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",5,6.5,4.88
"127",21,"Femenino","Bioingeniería","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",30,"Tercio superior","Sí","Si, afectan negativamente","Medianamente Alto","No afectan.",2,6.25,5.88
"128",18,"Femenino","Ciencia de la Computación","5","Sí",2,"Deportiva, Idiomas","Inglés, Vóley",11,"Muy satisfecho",35,"Ninguno","No","No afectan.","Medianamente Alto","No afectan.",3,4,4.75
"129",18,"Otro","Bioingeniería","3","Sí",1,"Deportiva","Artes Marciales",3,"Muy satisfecho",16,"Ninguno","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",5,6.25,6.63
"130",20,"Masculino","Ingeniería Mecánica","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",24,"Medio superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",10,5.5,6.75
"131",21,"Masculino","Ingeniería Industrial","10","Sí",2,"Deportiva, Trabajo","Trabajo, Entrenamiento",3,"Muy satisfecho",8,"Quinto superior","No","No afectan.","Regular","Si, afectan positivamente.",10,6.5,6.13
