Marca temporal,¿En qué departamento te encuentras? (Ejemplo: Loreto),¿Qué tipo de conexión a internet usas? ,¿Qué empresa es tu distribuidor de internet? ,¿Qué monto en soles pagas por este servicio? (Ejemplo: 50),¿Cuánto es tu ping? (Ejemplo: 2),"¿Cuál es tu velocidad de carga? (En Mbps, ejemplo: 100)","¿Cuál es tu velocidad de descarga? (En Mbps, ejemplo: 20)",¿Cuántas horas utilizas el internet al día? ,¿Cuántas personas utilizan el internet? ,¿Para qué usas el internet? ,¿Qué tan conforme está con su servicio de internet? ,¿Qué problemas ha tenido con su internet? ,"¿Qué velocidad de descarga máxima te ofrece tu plan de Internet? (En Mbps, ejemplo: 100)","¿Qué velocidad de carga máxima te ofrece tu plan de Internet? (En Mbps, ejemplo: 30)"
28/09/2021 23:33:19,Lima,Cable,Movistar,170,10,22.87,119.39,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",200,30
28/09/2021 23:36:04,Lima,Cable,Movistar,60,12,9.8,25.7,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos segundos,30,10
28/09/2021 23:36:19,Lima,Cable,Claro,29,2,47.12,46.09,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",15,5
28/09/2021 23:40:38,Cusco,Wifi,Claro,80,30,3,20,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,Otros,100,30
28/09/2021 23:46:31,Lima,Wifi,Entel ,120,50,1.5,44.31,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,50,15
28/09/2021 23:47:49,Lima,Cable,Movistar,120,10,16.61,43.94,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música, Otros",3,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",100,30
28/09/2021 23:48:30,Lima,Cable,Claro,90,14,23.36,100,De 5 a 8 horas,7,"Clases en línea, Ver videos, Juegos en línea",4,La conexión se pierde por algunos segundos,100,30
28/09/2021 23:57:10,Lima,Wifi,Movistar,300,8,33.35,101.31,Más de 8 horas,6,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,500,250
28/09/2021 23:59:08,Lima,Wifi,MGD,150,1,19.56,23.74,Más de 8 horas,6,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos minutos,70,20
29/09/2021 0:01:07,Cajamarca,Cable,Movistar,100,30,0.57,1.95,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",2,La conexión se pierde por algunos minutos,100,30
29/09/2021 0:01:14,Lima,Wifi,Movistar,85,150,15,30,De 5 a 8 horas,3,"Clases en línea, Redes sociales",3,La conexión se pierde por algunos segundos,50,15
29/09/2021 0:02:07,Apurimac,Cable,Especialista en redes y telecomunicaciones ,50,15,0.75,2,De 5 a 8 horas,3,"Clases en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos minutos, Problemas de audio y video en zoom.",10,5
29/09/2021 0:03:19,Lima,Wifi,Movistar,144,14,4.74,4.74,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos segundos,150,30
29/09/2021 0:03:21,Moquegua,Wifi,Cable club,149,18,32.7,33.89,Más de 8 horas,1,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos segundos,20,10
29/09/2021 0:05:32,Lima,Cable,Movistar,120,11,28,120,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",2,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Otros",100,30
29/09/2021 0:06:12,Lima,Cable,Claro,100,30,15.91,74.6,Más de 8 horas,6,"Clases en línea, Redes sociales, Escuchar música",5,Problemas de audio y video en zoom.,100,30
29/09/2021 0:16:26,Lima,Wifi,Movistar,250,30,90,170,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",500,250
29/09/2021 0:31:05,Lambayeque,Wifi,Movistar,70,21,5.4,25.6,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos segundos,50,15
29/09/2021 0:36:19,Lima,Wifi,Claro,70,14,2.19,9.63,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Escuchar música",2,"La conexión se pierde por algunos minutos, Problemas de audio y video en zoom.",50,15
29/09/2021 0:42:51,Lima,Wifi,Movistar,120,9,9.51,57.45,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea",4,La conexión se pierde por algunos segundos,100,30
29/09/2021 0:55:57,Amazonas ,Wifi,AirWiz,80,3,14.37,19.44,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,La conexión se pierde por algunos segundos,50,15
29/09/2021 1:08:58,Arequipa ,Wifi,Movistar,100,24,23.31,49.53,Más de 8 horas,4,"Clases en línea, Redes sociales, Escuchar música",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",100,30
29/09/2021 1:47:12,Lima,Cable,Win,150,3,12.41,105,Más de 8 horas,4,"Clases en línea, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos segundos,160,30
29/09/2021 1:51:00,Lima,Wifi,Claro,80,50,10,28.4,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,50,15
29/09/2021 2:54:09,Lima,Wifi,Jb,70,13,9.51,46,Más de 8 horas,6,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",50,15
29/09/2021 3:14:07,Lima,Wifi,Fiberpro,70,56,12.51,42.4,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea",5,La conexión se pierde por algunos segundos,50,15
29/09/2021 7:58:59,Lima ,Wifi,Movistar,120,5,28.41,92.32,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,La conexión se pierde por algunos segundos,100,30
29/09/2021 9:29:45,Junin,Wifi,Movistar,90,30,10,30,Más de 8 horas,4,"Clases en línea, Ver videos, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Problemas de audio y video en zoom.",100,30
29/09/2021 9:36:56,Amazonas ,Wifi,Movistar,120,58,2.87,3.19,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales",4,La conexión se pierde por algunos segundos,100,30
29/09/2021 10:20:42,Lima,Wifi,Movistar,140,6,18.48,167.22,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",200,30
29/09/2021 10:27:55,Amazonas,Wifi,Movistar ,80,13,3.82,9.18,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos segundos,50,15
29/09/2021 11:15:12,Lima,Wifi,Claro,100,7,22.21,35.37,Más de 8 horas,6,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,Otros,100,30
29/09/2021 12:00:20,Lima,Cable,Movistar,100,18,15.12,60,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",100,30
29/09/2021 12:25:13,Lima,Wifi,Movistar,100,32,0.29,3.46,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Escuchar música",3,La conexión se pierde por algunos minutos,100,30
29/09/2021 14:40:48,Huánuco,Wifi,CableMax,100,12,15.73,15.75,Más de 8 horas,4,"Clases en línea, Ver videos, Juegos en línea, Escuchar música, Otros",4,La conexión se pierde por algunos segundos,100,30
29/09/2021 15:37:00,Lima ,Cable,Claro ,80,10,8.5,43.14,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,Problemas de audio y video en zoom.,50,15
29/09/2021 15:39:05,Lima,Wifi,Movistar,120,50,25.54,70,De 5 a 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, Problemas de audio y video en zoom.",100,30
29/09/2021 15:41:28,Lima,Wifi,Entel ,74,299,1,4,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",10,5
29/09/2021 15:41:59,Lima provincias,Cable,Econocable,70,6,14.51,48.35,Más de 8 horas,3,"Clases en línea, Redes sociales",4,La conexión se pierde por algunos segundos,50,15
29/09/2021 15:49:54,La Libertad,Wifi,Claro,80,8,5.52,29.87,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Otros",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Problemas de audio y video en zoom.",50,15
29/09/2021 16:41:23,Ancash,Wifi,Red Andina,70,9,12.51,34.15,De 5 a 8 horas,2,"Clases en línea, Escuchar música",4,La conexión se pierde por algunos segundos,50,15
29/09/2021 18:42:32,Lima,Wifi,Movistar,125,37,23.7,45.4,Más de 8 horas,2,"Clases en línea, Redes sociales, Escuchar música",3,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",100,30
29/09/2021 18:46:29,Lima,Wifi,Movistar,150,30,0.3,0.8,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Otros",200,30
29/09/2021 20:57:08,La Libertad,Wifi,Claro,50,9,10.88,14.31,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,"La conexión se pierde por algunos minutos, Problemas de audio y video en zoom.",30,10
30/09/2021 13:35:36,Lima,Wifi,Movistar,180,11,26.94,89.83,De 5 a 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos minutos,200,30
30/09/2021 18:11:57,Lima,Wifi,Winet,175,3,23.69,30.51,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,200,30
25/10/2021 17:46:24,Lima,Cable,Movistar,98,11,10,40,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",2,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",100,30
25/10/2021 23:29:56,Lima,Wifi,Movistar,95.9,10,14.54,41.9,Más de 8 horas,7,"Clases en línea, Ver videos, Redes sociales, Escuchar música, Otros",5,La conexión se pierde por algunos segundos,100,30
2/11/2021 18:50:54,Junin,Wifi,Movistar,89.9,15,16.68,33.8,De 5 a 8 horas,4,"Clases en línea, Juegos en línea",2,"La conexión se pierde por algunos segundos, Otros",100,30
2/11/2021 18:50:55,Amazonas ,Wifi,Movistar ,80,12,9.37,9.58,De 5 a 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",50,15
2/11/2021 18:55:12,Lima,Wifi,CONECTICA,80,3,12.14,50,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,Otros,50,15
2/11/2021 18:59:53,Cajamarca,Wifi,Movistar,150,10,190.5,243,Más de 8 horas,1,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",5,Otros,250,250
2/11/2021 19:03:26,Lima ,Wifi,Movistar,50,10,4.79,7.14,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos minutos,10,5
2/11/2021 19:03:43,Callao,Wifi,Claro,100,11,24.5,96.81,Más de 8 horas,12,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,Otros,100,30
2/11/2021 19:04:30,Lima,Wifi,Movistar,80,10,11.94,36.24,Más de 8 horas,7,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,La conexión se pierde por algunos minutos,50,15
2/11/2021 19:05:21,Moquegua,Cable,Cable club,149,20,19.14,38,Más de 8 horas,1,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,100,30
2/11/2021 19:06:28,Cajamarca,Cable,Movistar,70,21,15,45,De 5 a 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,La conexión se pierde por algunos minutos,50,25
2/11/2021 19:06:29,La Libertad,Wifi,Claro,80,4,7.55,42.04,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos minutos,50,15
2/11/2021 19:09:13,Lima,Wifi,Movistar,120,44,14.09,33.54,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",2,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",100,100
2/11/2021 19:11:13,Cajamarca,Wifi,Movistar ,65,35,4.2,44.1,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",2,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",50,15
2/11/2021 19:12:21,Lima ,Wifi,Claro,50,3,4.15,7.15,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música",3,La conexión se pierde por algunos segundos,10,5
2/11/2021 19:20:18,Lima,Cable,Cable Visión Perú,50,5,4.15,8.99,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,Otros,10,5
2/11/2021 19:22:13,Lima,Wifi,Claro,70,12,14.85,15.61,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Escuchar música",3,Demora excesiva de carga o descarga de archivos,50,20
2/11/2021 19:24:33,Lima,Cable,Movistar,60,10,11,33,De 5 a 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,40,20
2/11/2021 19:25:43,Lima,Cable,Claro,100,2,20,100,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,Otros,110,60
2/11/2021 19:25:47,Lima,Cable,Movistar,299,6,214.51,285,De 5 a 8 horas,6,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,Otros,300,250
2/11/2021 19:30:23,Lima,Wifi,Claro,60,11,8,24.51,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",30,10
2/11/2021 19:34:29,Lima,Wifi,Movistar,100,9,22.36,43.82,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,Problemas de audio y video en zoom.,100,30
2/11/2021 19:43:30,Lima,Wifi,Movistar,100,18,17,58,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,La conexión se pierde por algunos segundos,100,30
2/11/2021 19:48:21,Lima,Datos,Claro,65,21,9.67,13.87,Más de 8 horas,1,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,50,15
2/11/2021 19:52:52,Lima,Wifi,Movistar,60,2,5.14,10,Más de 8 horas,5,"Clases en línea, Ver videos, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",10,10
2/11/2021 19:53:13,Lima,Cable,Movistar,50,9,3.12,9.14,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,Demora excesiva de carga o descarga de archivos,10,5
2/11/2021 19:56:01,Lima,Wifi,Movistar,100,9,33,95,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",120,40
2/11/2021 20:00:20,Lima,Cable,Claro,60,3,7.3,27.4,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música, Otros",4,La conexión se pierde por algunos segundos,30,10
2/11/2021 20:14:30,Ayacucho,Wifi,Claro,120,12,14.44,45.11,De 2 a 5 horas,5,"Clases en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",80,20
2/11/2021 20:18:53,Cusco,Wifi,Claro,80,29,03.04,21.04,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,Otros,30,10
2/11/2021 20:47:43,Ica,Wifi,Claro,500,1,19.85,314.4,Más de 8 horas,7,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,Otros,400,30
2/11/2021 20:52:15,Lima,Cable,una privada,100,20,9.8,15.4,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,"La conexión se pierde por algunos segundos, Otros",100,30
2/11/2021 21:06:58,Lima,Wifi,FIBERPRO,70,3,17.71,41.76,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,50,20
2/11/2021 21:20:37,Lima,Wifi,Latin cable,120,5,39.15,43.15,Más de 8 horas,4,"Clases en línea, Ver videos, Juegos en línea, Escuchar música",4,"La conexión se pierde por algunos segundos, Otros",50,50
2/11/2021 21:27:50,Callao,Cable,Movistar,70,10,5.69,12.05,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, Problemas de audio y video en zoom.",30,15
2/11/2021 22:06:02,Lima,Wifi,Claro,90,11,11.49,33.02,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Escuchar música",5,Problemas de audio y video en zoom.,100,15
2/11/2021 22:27:51,Lima,Cable,FiberPro,150,2,23.88,89.33,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",5,Otros,120,30
2/11/2021 22:54:42,Amazonas,Wifi,Movistar,80,10,8.51,9.72,De 5 a 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",50,15
2/11/2021 22:55:02,Lima,Cable,Claro,150,7,21.51,156.44,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,La conexión se pierde por algunos segundos,200,30
2/11/2021 23:09:19,Lima,Datos,Claro,110,12,25.28,43.06,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música",2,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",100,50
2/11/2021 23:23:50,Lima,Wifi,No se ,70,2,12.51,42.15,Más de 8 horas,5,"Clases en línea, Ver videos, Escuchar música, Otros",3,"La conexión se pierde por algunos minutos, Problemas de audio y video en zoom.",50,15
3/11/2021 2:24:09,Lima,Wifi,Claro,150,10,25.14,82.15,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,Otros,150,50
3/11/2021 7:45:56,Ancash,Cable,Hughesnet,195,726,3.55,33.57,De 5 a 8 horas,2,"Clases en línea, Ver videos, Escuchar música",1,"Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",150,50
3/11/2021 8:41:58,Ica,Wifi,WOW,75,9,18.45,53,De 5 a 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",80,30
3/11/2021 8:57:45,Lima,Wifi,Movistar,115.9,52,24.15,45.14,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,100,30
3/11/2021 10:04:08,Lima,Cable,Movistar,197,9,27.3,112.67,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,La conexión se pierde por algunos segundos,150,40
3/11/2021 11:44:26,Lima,Wifi,Claro,150,2,23.51,51.24,De 5 a 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",100,30
3/11/2021 11:45:22,Lima,Cable,Claro,80,16,2.11,16.78,De 5 a 8 horas,4,"Clases en línea, Redes sociales, Escuchar música",3,La conexión se pierde por algunos segundos,120,35
3/11/2021 12:09:48,Lima,Wifi,Movistar,100,4,15.21,52.01,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,La conexión se pierde por algunos segundos,120,50
3/11/2021 12:53:09,Lima,Wifi,Movistar,150,4,15.48,89.15,De 2 a 5 horas,7,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos minutos, Problemas de audio y video en zoom.",150,50
3/11/2021 13:41:07,Lima,Wifi,Movistar,120,12,26.29,49.01,Más de 8 horas,2,"Clases en línea, Redes sociales, Escuchar música",3,La conexión se pierde por algunos minutos,100,30
3/11/2021 13:47:28,Junin,Wifi,Movistar,120,19,3.26,3.77,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",80,30
3/11/2021 19:36:48,Ancash,Wifi,Claro,129,10,15,54,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",100,50
4/11/2021 9:58:35,Junin,Wifi,Claro ,65.99,30,14.51,34.51,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",50,20
4/11/2021 9:59:53,Lima,Cable,Movistar,150,11,33,125,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos segundos,150,50
4/11/2021 23:47:46,Callao,Wifi,Claro,150,9,12.11,36.78,Más de 8 horas,12,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",5,Otros,150,30
5/11/2021 0:44:32,Lima,Datos,Movistar,30,10,7.15,18.14,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",2,"La conexión se pierde por algunos segundos, Problemas de audio y video en zoom., Otros",20,10
5/11/2021 1:55:46,Lima,Wifi,Movistar,75,21,3.12,2.77,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",50,15
5/11/2021 2:05:38,Junin,Cable,Claro,140,31,22.74,29,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",200,30
