Copa,Año_C,Partido,N_Lanzamiento,Nombre_J,Apellido_J,Posicion,Estatura_J,Edad_J,Tiempo_J,Tiempo_Prev,P.Equipo_P,Pierna,Hinchas_J,Angulo H,Angulo V,Coordenada_X,Coordenada_Y,Resultado_P
Mundial,2014,Holanda_CostaRica,4,Arjen,Robben,Delantero,180,30,130,3,Holanda,Izquierda,Si,-17.033,9.038,0.290,1.830,Gol
Mundial,2014,Holanda_CostaRica,5,Giarcalo,Gonzalez,Defensa,186,26,130,5,CostaRica,Derecha,No,14.232,3.630,6.450,0.720,Gol
Mundial,2014,Holanda_CostaRica,6,Wesley,Sneijder,Mediocampista,170,30,130,4,Holanda,Derecha,Si,-15.110,5.165,0.690,1.030,Gol
Mundial,2014,Holanda_CostaRica,7,Christian,Bolaños,Mediocampista,179,30,130,4,CostaRica,Derecha,No,-11.310,6.207,1.460,1.220,Gol
Mundial,2014,Holanda_CostaRica,8,Dirk,Kuijt,Delantero,184,34,130,4,Holanda,Derecha,Si,-18.169,1.534,0.050,0.310,Gol
Mundial,2014,Holanda_CostaRica,9,Michael,Umaña Corrales,Defensa,178,32,130,7,CostaRica,Derecha,No,9.496,2.208,5.500,0.430,Tapado
Copa_America,2015,Argentina_Colombia,1,James David,Rodríguez Rubio,Mediocampista,180,24,95,4,Colombia,Izquierda,No,-10.002,0.308,1.720,0.060,Gol
Copa_America,2015,Argentina_Colombia,2,Lionel Andres ,Messi Cuccitini,Delantero,169,28,95,5,Argentina,Izquierda,Si,-14.818,6.717,0.750,1.340,Gol
Copa_America,2015,Argentina_Colombia,3,Radamel,Falcao García,Delantero,177,29,21,3,Colombia,Derecha,No,-13.002,8.911,1.120,1.770,Gol
Copa_America,2015,Argentina_Colombia,4,Ezequiel Marcelo,Garay Gonzales,Defensa,188,28,95,6,Argentina,Derecha,Si,-8.531,10.890,2.010,2.140,Gol
Copa_America,2015,Argentina_Colombia,5,Juan Guillermo,Cuadrado Bello,Mediocampista,176,27,95,3,Colombia,Derecha,No,-8.734,10.088,1.970,1.980,Gol
Copa_America,2015,Argentina_Colombia,6,Ever Maximiliano David,Banega Hernández,Mediocampista,175,27,18,3,Argentina,Derecha,Si,11.160,3.063,5.830,0.600,Gol
Copa_America,2015,Argentina_Colombia,7,Luis,Muriel Fruto,Delantero,178,24,10,4,Colombia,Derecha,No,8.123,12.582,5.230,2.480,Fuera
Copa_America,2015,Argentina_Colombia,8,Ezequiel Iván,Lavezzi,Delantero,173,30,8,3,Argentina,Derecha,Si,-18.404,0.148,0.000,0.030,Gol
Copa_America,2015,Argentina_Colombia,9,Edwin Andés,Cardona Bedoya,Mediocampista,182,22,71,5,Colombia,Derecha,No,4.729,0.934,4.570,0.180,Gol
Copa_America,2015,Argentina_Colombia,10,Lucas Rodrigo,Biglia,Mediocampista,178,29,95,4,Argentina,Derecha,Si,20.350,1.123,7.740,0.230,Fuera
Copa_America,2015,Argentina_Colombia,11,Juan Camilo,Zúñiga Mosquera,Defensa,172,29,95,4,Colombia,Derecha,No,-9.090,4.976,1.900,0.970,Tapado
Copa_America,2015,Argentina_Colombia,12,Faustino Marcos,Alberto Rojo,Defensa,187,25,95,3,Argentina,Izquierda,Si,10.103,13.051,5.620,2.590,Fuera
Copa_America,2015,Argentina_Colombia,13,Jeison Fabián,Murillo Cerón,Defensa,184,23,95,3,Colombia,Derecha,No,-3.745,16.999,2.940,3.370,Fuera
Copa_America,2015,Argentina_Colombia,14,Carlos Alberto,Tévez,Delantero,171,31,22,4,Argentina,Derecha,Si,-1.874,6.428,3.300,1.240,Gol
Euro_Copa,2016,Italia_Alemania,1,Lorenzo,Insigne,Delantero,163,25,18,4,Italia,Derecha,Si,13.348,6.810,6.270,1.350,Gol
Euro_Copa,2016,Italia_Alemania,2,Toni,Kroos,Mediocampista,183,26,126,4,Alemania,Derecha,No,-15.400,7.588,0.630,1.520,Gol
Euro_Copa,2016,Italia_Alemania,3,Simone,Zaza,Delantero,186,26,1,5,Italia,Izquierda,Si,17.128,15.767,7.050,3.250,Fuera
Euro_Copa,2016,Italia_Alemania,4,Thomas,Muller,Delantero,185,27,126,4,Alemania,Derecha,No,4.781,1.349,4.580,0.260,Tapado
Euro_Copa,2016,Italia_Alemania,5,Andrea,Barzagli,Defensa,187,36,126,3,Italia,Derecha,Si,3.018,7.652,4.240,1.480,Gol
Euro_Copa,2016,Italia_Alemania,6,Mesut,Ozil,Mediocampista,180,28,126,4,Alemania,Izquierda,No,18.497,6.200,7.340,1.260,Palo
Euro_Copa,2016,Italia_Alemania,7,Graziano,Pellé,Delantero,194,31,126,5,Italia,Derecha,Si,-21.215,0.874,-0.610,0.180,Fuera
Euro_Copa,2016,Italia_Alemania,8,Julian,Draxler,Mediocampista,185,23,54,3,Alemania,Derecha,No,10.758,5.459,5.750,1.070,Gol
Euro_Copa,2016,Italia_Alemania,9,Leonardo ,Bonucci,Defensa,190,29,126,4,Italia,Derecha,Si,-10.758,1.893,1.570,0.370,Tapado
Euro_Copa,2016,Italia_Alemania,10,Bastian,Schweinsteiger,Mediocampista,183,32,110,3,Alemania,Derecha,No,-8.684,17.273,1.980,3.460,Fuera
Euro_Copa,2016,Italia_Alemania,11,Emanuele,Giaccherini,Mediocampista,167,31,126,5,Italia,Derecha,Si,4.263,9.672,4.480,1.880,Gol
Euro_Copa,2016,Italia_Alemania,12,Mats,Hummels,Defensa,191,27,126,3,Alemania,Derecha,No,12.059,6.140,6.010,1.210,Gol
Euro_Copa,2016,Italia_Alemania,13,Marco,Parolo,Mediocampista,184,31,126,2,Italia,Derecha,Si,-0.573,7.765,3.550,1.500,Gol
Euro_Copa,2016,Italia_Alemania,14,Joshua,Kimmich,Mediocampista,177,21,126,5,Alemania,Derecha,No,-16.172,2.000,0.470,0.400,Gol
Euro_Copa,2016,Italia_Alemania,15,Mattia,De Sciglio,Defensa,183,23,126,4,Italia,Derecha,Si,-3.537,12.186,2.980,2.380,Gol
Euro_Copa,2016,Italia_Alemania,16,Jérôme Agyenim,Boateng,Defensa,190,28,126,2,Alemania,Derecha,No,-13.643,5.601,0.990,1.110,Gol
Euro_Copa,2016,Italia_Alemania,17,Matteo,Darmian,Defensa,183,26,40,3,Italia,Derecha,Si,3.952,0.468,4.420,0.090,Tapado
Euro_Copa,2016,Italia_Alemania,18,Jonas Armin ,Hector,Mediocampista,185,26,126,4,Alemania,Izquierda,No,6.740,1.086,4.960,0.210,Gol
Copa_America,2016,Colombia_Peru,1,James David,Rodríguez Rubio,Mediocampista,180,25,95,3,Colombia,Izquierda,No,13.496,0.456,6.300,0.090,Gol
Copa_America,2016,Colombia_Peru,2,Raúl Mario,Ruidíaz Misitich ,Delantero,169,26,18,3,Peru,Derecha,Si,-10.355,8.444,1.650,1.660,Gol
Copa_America,2016,Colombia_Peru,3,Juan Guillermo,Cuadrado Bello,Mediocampista,176,28,95,4,Colombia,Derecha,No,14.379,0.706,6.480,0.140,Gol
Copa_America,2016,Colombia_Peru,4,Renato Fabrizio,Tapia Cortijo,Mediocampista,185,21,95,4,Peru,Derecha,Si,8.836,0.721,5.370,0.140,Gol
Copa_America,2016,Colombia_Peru,5,Dayro Mauricio,Moreno,Delantero,178,31,19,5,Colombia,Derecha,No,0.313,0.521,3.720,0.100,Gol
Copa_America,2016,Colombia_Peru,6,Miguel,Trauco,Defensa,175,24,95,3,Peru,Izquierda,Si,-0.677,3.381,3.530,0.650,Tapado
Copa_America,2016,Colombia_Peru,7,Sebastian,Pérez Cardona,Mediocampista,175,23,15,4,Colombia,Derecha,No,4.833,3.370,4.590,0.650,Gol
Copa_America,2016,Colombia_Peru,8,Christian Alberto ,Cueva Bravo,Mediocampista,169,24,95,6,Peru,Derecha,Si,3.122,16.005,4.260,3.160,Fuera
Copa_America,2016,Chile_Argentina,1,Arturo Erasmo,Vidal Pardo,Mediocampista,180,29,124,3,Chile,Derecha,No,9.445,1.592,5.490,0.310,Tapado
Copa_America,2016,Chile_Argentina,2,Lionel Andres ,Messi Cuccitini,Delantero,169,29,124,4,Argentina,Izquierda,Si,13.446,14.571,6.290,2.940,Fuera
Copa_America,2016,Chile_Argentina,3,Nicolás Ignacio,Castillo Mora,Delantero,177,23,15,5,Chile,Derecha,No,-10.002,9.454,1.720,1.860,Gol
Copa_America,2016,Chile_Argentina,4,Javier Alejandro,Mascherano,Mediocampista,174,32,124,2,Argentina,Derecha,Si,-1.198,8.121,3.430,1.570,Gol
Copa_America,2016,Chile_Argentina,5,Charles Mariano,Aránguiz Sandoval ,Mediocampista,171,27,124,5,Chile,Derecha,No,11.710,6.551,5.940,1.290,Gol
Copa_America,2016,Chile_Argentina,6,Sergio Leonel,Aguero del Castillo,Delantero,173,28,54,5,Argentina,Derecha,Si,89.986,0.000,4.454,0.180,Gol
Copa_America,2016,Chile_Argentina,7,Jean André Emanuel ,Beausejour Coliqueo,Defensa,178,32,124,4,Chile,Izquierda,No,-14.672,7.564,0.780,1.510,Gol
Copa_America,2016,Chile_Argentina,8,Lucas Rodrigo,Biglia,Mediocampista,178,30,124,4,Argentina,Derecha,Si,-10.406,4.142,1.640,0.810,Tapado
Copa_America,2016,Chile_Argentina,9,Francisco Andrés,Silva Gajardo,Mediocampista,178,30,20,3,Chile,Derecha,No,-14.818,1.611,0.750,0.320,Gol
Mundial,2018,España_Rusia,1,Andres,Iniesta Luján,Mediocampista,171,34,63,3,España,Izquierda,Si,14.232,4.785,6.450,0.950,Gol
Mundial,2018,España_Rusia,2,Fiódor Mijáilovich,Smólov,Delantero,187,28,65,4,Rusia,Derecha,No,-11.410,3.925,1.440,0.770,Gol
Mundial,2018,España_Rusia,3,Gerard,Piqué Bernabéu,Defensa,194,31,130,3,España,Derecha,Si,-8.938,1.389,1.930,0.270,Gol
Mundial,2018,España_Rusia,4,Serguéi Nikoláyevich,Ignashévich,Defensa,187,39,130,4,Rusia,Derecha,No,13.348,4.954,6.270,0.980,Gol
Mundial,2018,España_Rusia,5,Jorge,Resurrección Merodio,Mediocampista,178,26,130,4,España,Derecha,Si,-8.734,2.829,1.970,0.550,Tapado
Mundial,2018,España_Rusia,6,Aleksandr Serguéyevich,Golovín,Mediocampista,180,22,130,2,Rusia,Derecha,No,-8.531,0.721,2.010,0.140,Gol
Mundial,2018,España_Rusia,7,Sergio,Ramos García,Defensa,184,32,130,5,España,Derecha,Si,-13.693,6.100,0.980,1.210,Gol
Mundial,2018,España_Rusia,8,Denís Dmítrievich,Chéryshev,Mediocampista,179,34,69,3,Rusia,Izquierda,No,3.745,3.219,4.380,0.620,Gol
Mundial,2018,España_Rusia,9,Iago,Aspas Juncal,Delantero,176,31,50,4,España,Izquierda,Si,7.919,3.092,5.190,0.600,Tapado
Mundial,2018,Colombia_Inglaterra,1,Radamel,Falcao García,Delantero,177,32,133,3,Colombia,Derecha,Si,10.305,8.094,5.660,1.590,Gol
Mundial,2018,Colombia_Inglaterra,2,Harry,Kane,Delantero,188,25,133,4,Inglaterra,Derecha,No,-9.699,1.335,1.780,0.260,Gol
Mundial,2018,Colombia_Inglaterra,3,Juan Guillermo,Cuadrado Bello,Mediocampista,176,30,133,5,Colombia,Derecha,Si,-3.330,6.164,3.020,1.190,Gol
Mundial,2018,Colombia_Inglaterra,4,Marcus,Rashford,Delantero,180,20,20,2,Inglaterra,Derecha,No,-5.039,2.800,2.690,0.540,Gol
Mundial,2018,Colombia_Inglaterra,5,Luis Fernando,Muriel Fruto,Delantero,178,27,45,4,Colombia,Derecha,Si,13.594,0.810,6.320,0.160,Gol
Mundial,2018,Colombia_Inglaterra,6,Jordan Brian,Henderson,Mediocampista,182,28,133,2,Inglaterra,Derecha,No,17.886,1.586,7.210,0.320,Tapado
Mundial,2018,Colombia_Inglaterra,7,Andrés Mateus,Uribe Villa,Mediocampista,180,27,54,3,Colombia,Derecha,Si,16.747,12.087,6.970,2.460,Fuera
Mundial,2018,Colombia_Inglaterra,8,Kieran John,Trippier ,Defensa,173,28,133,3,Inglaterra,Derecha,No,-6.483,7.970,2.410,1.550,Gol
Mundial,2018,Colombia_Inglaterra,9,Carlos Arturo ,Bacca Ahumada,Delantero,181,32,71,4,Colombia,Derecha,Si,-7.304,6.890,2.250,1.340,Tapado
Mundial,2018,Colombia_Inglaterra,10,Eric Jeremy Edgar,Dier,Mediocampista,188,24,52,3,Inglaterra,Derecha,No,-12.009,1.070,1.320,0.210,Gol
Mundial,2018,Rusia_Croacia,1,Fiódor Mijáilovich,Smólov,Delantero,187,28,63,5,Rusia,Derecha,No,3.278,2.910,4.290,0.560,Tapado
Mundial,2018,Rusia_Croacia,2,Marcelo,Brozović,Mediocampista,181,25,68,3,Croacia,Izquierda,Si,15.642,7.579,6.740,1.520,Gol
Mundial,2018,Rusia_Croacia,3,Alán Yelizbárovich,Dzagóyev,Mediocampista,178,28,28,3,Rusia,Derecha,No,13.299,0.558,6.260,0.110,Gol
Mundial,2018,Rusia_Croacia,4,Mateo,Kovačić ,Mediocampista,176,24,42,4,Croacia,Derecha,Si,16.028,0.400,6.820,0.080,Tapado
Mundial,2018,Rusia_Croacia,5,Mário Figueira ,Fernandes,Defensa,189,28,130,4,Rusia,Derecha,No,-19.383,4.413,-0.210,0.900,Fuera
Mundial,2018,Rusia_Croacia,6,Luka,Modrić ,Mediocampista,172,33,130,7,Croacia,Izquierda,Si,-5.814,1.243,2.540,0.240,Gol
Mundial,2018,Rusia_Croacia,7,Serguéi Nikoláyevich,Ignashévich,Defensa,187,39,130,8,Rusia,Derecha,No,-7.356,2.426,2.240,0.470,Gol
Mundial,2018,Rusia_Croacia,8,Domagoj,Vida ,Defensa,184,29,130,3,Croacia,Derecha,Si,-10.506,6.021,1.620,1.180,Gol
Mundial,2018,Rusia_Croacia,9,Daler Adiámovich,Kuziáyev ,Mediocampista,182,25,130,2,Rusia,Derecha,No,-10.204,1.384,1.680,0.270,Gol
Mundial,2018,Rusia_Croacia,10,Ivan,Rakitić,Mediocampista,184,30,130,4,Croacia,Derecha,Si,-11.160,0.664,1.490,0.130,Gol
Copa_America,2019,Paraguay_Brasil,1,Gustavo,Gomez Portillo,Defensa,185,26,99,4,Paraguay,Derecha,No,11.760,3.920,5.950,0.770,Tapado
Copa_America,2019,Paraguay_Brasil,2,Willian ,Borges da Silva,Delantero,175,31,28,4,Brasil,Derecha,Si,8.684,5.849,5.340,1.140,Gol
Copa_America,2019,Paraguay_Brasil,3,Miguel Ángel ,Almirón Rejala,Mediocampista,175,25,99,8,Paraguay,Izquierda,No,-10.758,2.506,1.570,0.490,Gol
Copa_America,2019,Paraguay_Brasil,4,Marcos Aoás,Corrêa,Defensa,183,25,99,5,Brasil,Derecha,Si,11.160,3.725,5.830,0.730,Gol
Copa_America,2019,Paraguay_Brasil,5,Bruno Amílcar,Valdez,Defensa,180,27,38,5,Paraguay,Derecha,No,-11.810,2.191,1.360,0.430,Gol
Copa_America,2019,Paraguay_Brasil,6,Philippe,Coutinho Correia,Mediocampista,172,27,99,5,Brasil,Derecha,Si,-14.036,0.909,0.910,0.180,Gol
Copa_America,2019,Paraguay_Brasil,7,Juan Rodrigo,Rojas Ovelar,Mediocampista,179,31,25,3,Paraguay,Derecha,No,-15.207,10.875,0.670,2.190,Gol
Copa_America,2019,Paraguay_Brasil,8,Roberto,Firmino Barbosa ,Delantero,181,28,99,4,Brasil,Derecha,Si,-23.967,7.571,-1.230,1.600,Fuera
Copa_America,2019,Paraguay_Brasil,9,Derlis Alberto,González Galeano,Delantero,172,25,99,2,Paraguay,Derecha,No,-21.622,1.985,-0.700,0.410,Fuera
Copa_America,2019,Paraguay_Brasil,10,Gabriel Fernando ,de Jesus,Delantero,175,22,99,5,Brasil,Derecha,Si,-11.510,4.076,1.420,0.800,Gol
Copa_America,2019,Uruguay_Peru,1,Luis Alberto,Suárez Díaz,Delantero,182,32,99,3,Uruguay,Derecha,Si,-13.840,2.880,0.950,0.570,Tapado
Copa_America,2019,Uruguay_Peru,2,José Paolo,Guerrero Gonzales,Delantero,185,35,99,5,Peru,Derecha,No,-14.672,4.776,0.780,0.950,Gol
Copa_America,2019,Uruguay_Peru,3,Edinson,Cavani Gómez,Delantero,184,32,99,3,Uruguay,Derecha,Si,-15.691,5.101,0.570,1.020,Gol
Copa_America,2019,Uruguay_Peru,4,Raúl Mario,Ruidíaz Misitich ,Delantero,169,29,14,3,Peru,Derecha,No,-14.720,5.075,0.770,1.010,Gol
Copa_America,2019,Uruguay_Peru,5,Cristhian Ricardo,Stuani Curbelo ,Delantero,184,33,2,4,Uruguay,Derecha,Si,11.460,6.859,5.890,1.350,Gol
Copa_America,2019,Uruguay_Peru,6,Victor Yoshimar,Yotún Flores,Mediocampista,173,29,99,6,Peru,Izquierda,No,15.400,11.204,6.690,2.260,Gol
Copa_America,2019,Uruguay_Peru,7,Rodrigo ,Bentancur Colmán,Mediocampista,187,22,99,4,Uruguay,Derecha,Si,9.293,6.043,5.460,1.180,Gol
Copa_America,2019,Uruguay_Peru,8,Luis Jan Piers ,Advíncula Castrillón,Defensa,178,29,99,7,Peru,Derecha,No,-14.281,5.435,0.860,1.080,Gol
Copa_America,2019,Uruguay_Peru,9,Lucas Sebastián,Torreira di Pascua ,Mediocampista,168,23,42,4,Uruguay,Derecha,Si,10.053,1.077,5.610,0.210,Gol
Copa_America,2019,Uruguay_Peru,10,Edison Michael,Flores Peralta ,Mediocampista,170,25,99,4,Peru,Izquierda,No,0.313,1.198,3.720,0.230,Gol
Euro_Copa,2021,Francia_Suiza,1,Mario,Gavranović,Delantero,175,30,54,2,Suiza,Derecha,Si,-9.395,10.020,1.840,1.970,Gol
Euro_Copa,2021,Francia_Suiza,2,Paul Labile,Pogba,Mediocampista,191,27,127,3,Francia,Derecha,No,-14.232,9.995,0.870,2.000,Gol
Euro_Copa,2021,Francia_Suiza,3,Fabian Lukas ,Schar,Defensa,188,28,30,4,Suiza,Derecha,Si,16.028,7.270,6.820,1.460,Gol
Euro_Copa,2021,Francia_Suiza,4,Olivier Jonathan,Giroud,Delantero,192,34,33,3,Francia,Izquierda,No,13.742,5.598,6.350,1.110,Gol
Euro_Copa,2021,Francia_Suiza,5,Manuel Obafemi ,Akanji,Defensa,187,24,127,3,Suiza,Derecha,Si,-16.364,0.800,0.430,0.160,Gol
Euro_Copa,2021,Francia_Suiza,6,Marcus Lilian,Thuram-Ulien,Delantero,192,23,26,4,Francia,Derecha,No,-12.705,5.320,1.180,1.050,Gol
Euro_Copa,2021,Francia_Suiza,7,Ruben Estephan ,Vargas,Mediocampista,174,21,48,4,Suiza,Derecha,Si,-10.858,6.620,1.550,1.300,Gol
Euro_Copa,2021,Francia_Suiza,8,Presnel ,Kimpembe,Defensa,183,24,127,3,Francia,Izquierda,No,17.650,9.878,7.160,2.010,Gol
Euro_Copa,2021,Francia_Suiza,9,Admir ,Mehmedi,Delantero,183,29,40,4,Suiza,Derecha,Si,11.109,5.604,5.820,1.100,Gol
Euro_Copa,2021,Francia_Suiza,10,Kylian ,Mbappé,Delantero,178,21,127,3,Francia,Derecha,No,-9.039,6.047,1.910,1.180,Tapado
Copa_America,2021,Paraguay_Peru,1,Angel,Romero Villamayor,Delantero,176,29,97,11,Paraguay,Derecha,No,-11.009,0.665,1.520,0.130,Gol
Copa_America,2021,Paraguay_Peru,2,Gianluca,Lapadula Vargas,Delantero,178,31,97,3,Peru,Izquierda,Si,-9.800,0.513,1.760,0.100,Gol
Copa_America,2021,Paraguay_Peru,3,Junior,Alonso,Defensa,185,28,97,5,Paraguay,Izquierda,No,-16.938,4.277,0.310,0.860,Gol
Copa_America,2021,Paraguay_Peru,4,Victor Yoshimar,Yotún Flores,Mediocampista,173,31,97,9,Peru,Izquierda,Si,3.226,6.832,4.280,1.320,Gol
Copa_America,2021,Paraguay_Peru,5,Héctor David,Martínez,Defensa,185,23,97,5,Paraguay,Izquierda,No,4.211,17.558,4.470,3.490,Fuera
Copa_America,2021,Paraguay_Peru,6,Santiago Gabriel,Ormeño Zayas,Delantero,186,27,37,6,Peru,Izquierda,Si,12.656,0.661,6.130,0.130,Tapado
Copa_America,2021,Paraguay_Peru,7,Braian José ,Samudio Segovia ,Delantero,180,25,29,4,Paraguay,Derecha,No,-12.209,19.022,1.280,3.880,Fuera
Copa_America,2021,Paraguay_Peru,8,Renato Fabrizio,Tapia Cortijo,Mediocampista,185,26,97,5,Peru,Derecha,Si,-10.858,4.492,1.550,0.880,Gol
Copa_America,2021,Paraguay_Peru,9,Robert Ayrton,Piris da Motta,Mediocampista,178,27,18,6,Paraguay,Derecha,No,12.209,6.790,6.040,1.340,Gol
Copa_America,2021,Paraguay_Peru,10,Christian Alberto ,Cueva Bravo,Mediocampista,169,29,97,7,Peru,Derecha,Si,-7.970,10.357,2.120,2.030,Tapado
Copa_America,2021,Paraguay_Peru,11,Alberto,Espínola Giménez,Defensa,179,30,97,4,Paraguay,Derecha,No,-12.159,3.712,1.290,0.730,Tapado
Copa_America,2021,Paraguay_Peru,12,Miguel,Trauco,Defensa,175,29,97,4,Peru,Izquierda,Si,18.169,0.445,7.270,0.090,Gol
