"Genero","Edad","Carrera","Ciclo_actual","Promedio_primer_ciclo","Creditos_ciclo_pasado","Promedio_ciclo_pasado","Numero_de_cursos","Rendimiento_academico","Considera_predominancia_masculino","Considera_predominancia_femenino","Factores_eleccion_de_carrera","considero_cambiar_de_carrera","carrera_considero_cambiarse","considero_retirarse_universdad","razones_considero_retirarse_universdad"
"Femenino",20,"7. Ingenieria Civil",4,15,21,13,7,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social","1. Sí","Ingenieria Industrial","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",4,16,21,14.55,6,"3. Regular","7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",4,15,22,16,6,"2. Bueno","4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",4,14.7,20,13.5,6,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 7. Ingenieria Civil","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"9. Bioingeniería",2,14.3,21,14.3,7,"2. Bueno","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",18,"7. Ingenieria Civil",2,14.69,24,14.69,6,"3. Regular","7. Ingenieria Civil","2. Ingenieria Industrial, 9. Bioingeniería","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"4. Ingenieria Mecatrónica",4,14,18,15,6,"2. Bueno","7. Ingenieria Civil","9. Bioingeniería","2. Amigos","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"8. Ingenieria Química",2,14.6,21,14.6,6,"2. Bueno","5. Ingenieria Mecánica, 7. Ingenieria Civil","8. Ingenieria Química, 9. Bioingeniería","4. Vocación","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",4,15.1,24,14.6,7,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",21,"7. Ingenieria Civil",5,15,25,15,6,"2. Bueno","7. Ingenieria Civil","1. Ingenieria Ambiental","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"1. Ingeniería Ambiental",4,17,23,17,7,"2. Bueno","3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 9. Bioingeniería, 11. Ciencia de Datos","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 4. Vocación","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",2,16,20,16,6,"2. Bueno","7. Ingenieria Civil","1. Ingenieria Ambiental","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"7. Ingenieria Civil",4,15.67,21,12.93,7,"3. Regular","4. Ingenieria Mecatrónica","1. Ingenieria Ambiental","1. Entorno Familiar","3. Tal vez","Bioingeniería","2. No","7. No lo he considerado"
"Femenino",18,"2. Ingeniería Industrial",4,14.8,19,13.68,7,"3. Regular","3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación","3. Tal vez","Administración y Negocios Digitales","2. No","7. No lo he considerado"
"Femenino",18,"7. Ingenieria Civil",5,13.22,25,12.85,7,"4. Mal","2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 7. Ingenieria Civil, 8. Ingenieria Química","1. Entorno Familiar","3. Tal vez","Ingenieria Electrónica","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",4,15,21,14,6,"2. Bueno","7. Ingenieria Civil","1. Ingenieria Ambiental","1. Entorno Familiar","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Masculino",19,"12. Ciencia de la Computación",4,16.3,20,14,5,"2. Bueno","7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 9. Bioingeniería","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",17,"2. Ingeniería Industrial",2,10.7,20,10.7,7,"3. Regular","5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 9. Bioingeniería","1. Entorno Familiar","3. Tal vez","Ciencia de la computación","2. No","7. No lo he considerado"
"Masculino",18,"2. Ingeniería Industrial",2,13,20,13,7,"2. Bueno","5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química","1. Entorno Familiar, 2. Amigos","3. Tal vez","Ingenieria de la Energía","2. No","7. No lo he considerado"
"Masculino",20,"10. Administración y Negocios Digitales",5,18,26,18,5,"1. Muy Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 3. Ingenieria de la Energía, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación","1. Sí","Administración y Negocios Digitales","3. Tal vez","3. La carrera no convence al estudiante, 4. Conflicto entre el estudio, la familia y el trabajo"
"Femenino",19,"8. Ingenieria Química",2,16,20,16,6,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 12. Ciencia de la Computación","2. Ingenieria Industrial, 10. Administración y Negocios Digitales","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"2. Ingeniería Industrial",4,17.5,18,16.72,6,"2. Bueno","5. Ingenieria Mecánica","8. Ingenieria Química","3. Entorno Social","1. Sí","Ciencia de la computación","2. No","7. No lo he considerado"
"Masculino",22,"10. Administración y Negocios Digitales",5,15.91,22,14.95,5,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 10. Administración y Negocios Digitales, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","5. Otros","1. Sí","Ciencia de Datos","2. No","7. No lo he considerado"
"Femenino",18,"2. Ingeniería Industrial",2,16.9,20,16.9,6,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación","3. Tal vez","Bioingeniería","2. No","7. No lo he considerado"
"Femenino",19,"1. Ingeniería Ambiental",4,12.58,16,14,6,"4. Mal","2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 6. Ingenieria Electrónica, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"9. Bioingeniería",7,17.29,21,17.76,7,"1. Muy Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","4. Vocación, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",4,17,22,13,6,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Entorno Familiar","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Femenino",22,"7. Ingenieria Civil",4,14.6,21,14,6,"2. Bueno","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos","7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",18,"2. Ingeniería Industrial",2,16.9,20,16.9,6,"2. Bueno","3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social","3. Tal vez","Ingenieria Ambiental","2. No","7. No lo he considerado"
"Femenino",20,"2. Ingeniería Industrial",2,14,21,14,7,"3. Regular","4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social","3. Tal vez","Ingenieria Mecatrónica","2. No","7. No lo he considerado"
"Masculino",19,"2. Ingeniería Industrial",2,17.1,20,17.1,7,"2. Bueno","5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","8. Ingenieria Química, 10. Administración y Negocios Digitales","5. Otros","1. Sí","Ingenieria de la Energía","2. No","7. No lo he considerado"
"Masculino",18,"2. Ingeniería Industrial",2,15,20,15,7,"3. Regular","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"4. Ingenieria Mecatrónica",3,15,16,16,6,"2. Bueno","4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 9. Bioingeniería","2. Amigos, 3. Entorno Social","3. Tal vez","Ingenieria Mecánica","2. No","7. No lo he considerado"
"Femenino",20,"2. Ingeniería Industrial",4,13.45,19,13,5,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","3. Entorno Social","3. Tal vez","Ingenieria Ambiental","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",4,15,20,15.3,6,"2. Bueno","7. Ingenieria Civil","2. Ingenieria Industrial","3. Entorno Social","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"1. Ingeniería Ambiental",3,14,17,14,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación","2. No","No lo he considerado","1. Sí","4. Conflicto entre el estudio, la familia y el trabajo"
"Femenino",22,"10. Administración y Negocios Digitales",5,17.6,22,17.8,6,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 4. Vocación, 5. Otros","1. Sí","Ingenieria Industrial","2. No","7. No lo he considerado"
"Masculino",21,"10. Administración y Negocios Digitales",5,18,19,13.7,7,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social","1. Sí","Administración y Negocios Digitales","2. No","7. No lo he considerado"
"Femenino",20,"12. Ciencia de la Computación",5,15.4,16,11.3,4,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación","1. Sí","Ciencia de Datos","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",4,14.2,18,15.2,6,"2. Bueno","7. Ingenieria Civil","2. Ingenieria Industrial, 8. Ingenieria Química","1. Entorno Familiar, 3. Entorno Social","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",18,"2. Ingeniería Industrial",4,15,19,14.77,6,"3. Regular","4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","2. Ingenieria Industrial","4. Vocación","1. Sí","Administración y Negocios Digitales","2. No","7. No lo he considerado"
"Femenino",21,"2. Ingeniería Industrial",4,16.78,21,16.9,6,"2. Bueno","3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","2. Ingenieria Industrial","4. Vocación","3. Tal vez","Administración y Negocios Digitales","2. No","7. No lo he considerado"
"Femenino",20,"6. Ingenieria Electrónica",4,14.45,23,13.39,5,"3. Regular","5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 12. Ciencia de la Computación","4. Vocación, 5. Otros","3. Tal vez","Ingenieria Mecatrónica","2. No","7. No lo he considerado"
"Femenino",20,"2. Ingeniería Industrial",4,13,20,13,5,"3. Regular","7. Ingenieria Civil","2. Ingenieria Industrial","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"11. Ciencia de datos",5,13.8,11,14.6,2,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"2. Ingeniería Industrial",2,14,20,14,6,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación","3. Tal vez","Bioingeniería","2. No","7. No lo he considerado"
"Femenino",18,"8. Ingenieria Química",3,13,18,14,4,"3. Regular","5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"2. Ingeniería Industrial",3,16.49,20,16.21,6,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar","1. Sí","Ingenieria Química","1. Sí","3. La carrera no convence al estudiante"
"Masculino",18,"12. Ciencia de la Computación",3,15.7,20,14.9,6,"3. Regular","11. Ciencia de Datos, 12. Ciencia de la Computación","8. Ingenieria Química, 9. Bioingeniería","4. Vocación, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"7. Ingenieria Civil",4,14.35,17,14.5,5,"3. Regular","4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar","1. Sí","Ingenieria Ambiental","2. No","7. No lo he considerado"
"Masculino",18,"4. Ingenieria Mecatrónica",2,14.3,21,14.3,5,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","1. Sí","Ingenieria de la Energía","2. No","7. No lo he considerado"
"Masculino",17,"2. Ingeniería Industrial",2,14.3,20,20,5,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","5. Otros","1. Sí","Ingenieria Mecánica","2. No","7. No lo he considerado"
"Femenino",19,"2. Ingeniería Industrial",2,15,20,14,6,"3. Regular","7. Ingenieria Civil","4. Ingenieria Mecatrónica","2. Amigos","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",22,"8. Ingenieria Química",7,15,21,14,6,"3. Regular","4. Ingenieria Mecatrónica","1. Ingenieria Ambiental","1. Entorno Familiar","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",18,"7. Ingenieria Civil",4,14,23,14,6,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Masculino",18,"5. Ingenieria Mecánica",3,14,19,12,6,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros","1. Sí","Ingenieria Mecatrónica","3. Tal vez","2. Pobre preparación escolar, 6. Falta de interacción de calidad con profesores y orientadores"
"Femenino",19,"1. Ingeniería Ambiental",3,15,16,15,6,"2. Bueno","3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social, 4. Vocación","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Femenino",19,"1. Ingeniería Ambiental",2,14.65,20,14.65,6,"3. Regular","4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","5. Otros","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",4,15.07,21,14.85,7,"3. Regular","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 8. Ingenieria Química, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación","1. Sí","Administración y Negocios Digitales","2. No","7. No lo he considerado"
"Masculino",19,"5. Ingenieria Mecánica",3,12.6,15,11.6,4,"3. Regular","5. Ingenieria Mecánica","2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"2. Ingeniería Industrial",5,17.1,24,15.3,6,"3. Regular","7. Ingenieria Civil","9. Bioingeniería","1. Entorno Familiar, 4. Vocación","1. Sí","Ciencia de Datos","2. No","7. No lo he considerado"
"Masculino",18,"11. Ciencia de datos",2,14,20,12.83,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social","1. Sí","Administración y Negocios Digitales","2. No","7. No lo he considerado"
"Femenino",19,"7. Ingenieria Civil",4,15.52,15,14.2,5,"3. Regular","4. Ingenieria Mecatrónica","1. Ingenieria Ambiental, 8. Ingenieria Química","1. Entorno Familiar, 3. Entorno Social","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",3,14,21,14,4,"2. Bueno","2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",3,14,21,20,5,"3. Regular","7. Ingenieria Civil","9. Bioingeniería","1. Entorno Familiar","1. Sí","Ingenieria Mecatrónica","2. No","7. No lo he considerado"
"Masculino",19,"2. Ingeniería Industrial",3,12.8,16,12.8,5,"2. Bueno","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación","3. Tal vez","Ingenieria Civil","2. No","7. No lo he considerado"
