Marca temporal,"                              
Género :
",Edad en años,"
Carrera :
","
Ciclo Académico: 
",Promedio ponderado del primer ciclo (ver sistema académico - notas).,¿Cuántos créditos has llevado el ciclo pasado?  ,Promedio ponderado del ciclo 2022-2 (ver sistema academico - notas),¿Cantidad de cursos que estas llevando?,"
¿Cómo es tu rendimiento académico?
","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género masculino?","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género (Femenino)?","
Factores que influyeron en tu elección de carrera:
",¿Has considerado cambiarte de carrera alguna ves?,¿A que carrera consideraste en cambiarte?,"
¿Consideras retirarte de la universidad? 
","
Razones por las que piensas retirarte de la universidad :"
26/04/2023 8:20:22,Femenino,20,7. Ingenieria Civil,4,14.1,21,15.56,5,3. Regular,7. Ingenieria Civil,2. Ingenieria Industrial,4. Vocación,2. No,Ingenieria Civil,2. No,7. No lo he considerado
26/04/2023 8:21:27,Femenino,20,7. Ingenieria Civil,4,15,21,13,7,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social",1. Sí,Ingenieria Industrial,2. No,
26/04/2023 8:21:34,Masculino,19,7. Ingenieria Civil,4,16,21,14.55,6,3. Regular,7. Ingenieria Civil,"1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",4. Vocación,2. No,,2. No,
26/04/2023 8:25:58,Femenino,20,7. Ingenieria Civil,4,15,22,16,6,2. Bueno,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación",2. No,,2. No,
26/04/2023 8:27:20,Femenino,20,7. Ingenieria Civil,4,14.7,20,13.5,6,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 7. Ingenieria Civil","1. Entorno Familiar, 4. Vocación",2. No,,2. No,7. No lo he considerado
26/04/2023 8:27:48,Femenino,19,9. Bioingeniería,2,14.30,21,14.30,7,2. Bueno,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación, 5. Otros",2. No,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 8:30:55,Femenino,18,7. Ingenieria Civil,2,14.69,24,14.69,6,3. Regular,7. Ingenieria Civil,"2. Ingenieria Industrial, 9. Bioingeniería","1. Entorno Familiar, 4. Vocación",2. No,Ingenieria Civil,2. No,7. No lo he considerado
26/04/2023 8:32:04,Femenino,19,4. Ingenieria Mecatrónica,4,14,18,15,6,2. Bueno,7. Ingenieria Civil,9. Bioingeniería,2. Amigos,2. No,,2. No,7. No lo he considerado
26/04/2023 8:32:50,Masculino,18,8. Ingenieria Química,2,14.6,21,14.6,6,2. Bueno,"5. Ingenieria Mecánica, 7. Ingenieria Civil","8. Ingenieria Química, 9. Bioingeniería",4. Vocación,1. Sí,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 8:33:49,Masculino,20,7. Ingenieria Civil,4,15.1,24,14.6,7,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social",2. No,,2. No,7. No lo he considerado
26/04/2023 8:34:48,Masculino,21,7. Ingenieria Civil,5,15,25,15,6,2. Bueno,7. Ingenieria Civil,1. Ingenieria Ambiental,4. Vocación,2. No,,2. No,7. No lo he considerado
26/04/2023 8:35:18,Femenino,20,1. Ingeniería Ambiental,4,17,23,17,7,2. Bueno,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 9. Bioingeniería, 11. Ciencia de Datos","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 4. Vocación",1. Sí,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 8:37:26,Masculino,20,7. Ingenieria Civil,2,16,20,16,6,2. Bueno,7. Ingenieria Civil,1. Ingenieria Ambiental,4. Vocación,2. No,,2. No,
26/04/2023 8:40:31,Femenino,19,7. Ingenieria Civil,4,15.67,21,12.93,7,3. Regular,4. Ingenieria Mecatrónica,1. Ingenieria Ambiental,1. Entorno Familiar,3. Tal vez,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 8:40:46,Femenino,18,2. Ingeniería Industrial,4,14.8,19,13.68,7,3. Regular,"3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",4. Vocación,3. Tal vez,Administración y Negocios Digitales,2. No,7. No lo he considerado
26/04/2023 8:42:59,Femenino,18,7. Ingenieria Civil,5,13.22,25,12.85,7,4. Mal,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 7. Ingenieria Civil, 8. Ingenieria Química",1. Entorno Familiar,3. Tal vez,Ingenieria Electrónica,2. No,7. No lo he considerado
26/04/2023 8:49:46,Masculino,19,7. Ingenieria Civil,4,15,21,14,6,2. Bueno,7. Ingenieria Civil,1. Ingenieria Ambiental,1. Entorno Familiar,1. Sí,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 8:52:11,Masculino,19,12. Ciencia de la Computación,4,16.3,20,14,5,2. Bueno,"7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 9. Bioingeniería",4. Vocación,2. No,,2. No,7. No lo he considerado
26/04/2023 8:53:53,Femenino,17,2. Ingeniería Industrial,2,10.7,20,10.7,7,3. Regular,"5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 9. Bioingeniería",1. Entorno Familiar,3. Tal vez,Ciencia de la computación,2. No,3. La carrera no convence al estudiante
26/04/2023 8:55:56,Masculino,18,2. Ingeniería Industrial,2,13,20,13,7,2. Bueno,5. Ingenieria Mecánica,"1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química","1. Entorno Familiar, 2. Amigos",3. Tal vez,Ingenieria de la Energía,2. No,7. No lo he considerado
26/04/2023 8:58:22,Masculino,20,10. Administración y Negocios Digitales,5,18,26,18,5,1. Muy Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 3. Ingenieria de la Energía, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería",4. Vocación,1. Sí,Administración y Negocios Digitales,3. Tal vez,"3. La carrera no convence al estudiante, 4. Conflicto entre el estudio, la familia y el trabajo"
26/04/2023 9:03:03,Femenino,19,8. Ingenieria Química,2,16,20,16,6,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 12. Ciencia de la Computación","2. Ingenieria Industrial, 10. Administración y Negocios Digitales",4. Vocación,2. No,,2. No,7. No lo he considerado
26/04/2023 9:03:38,Femenino,19,2. Ingeniería Industrial,4,17.5,18,16.72,6,2. Bueno,5. Ingenieria Mecánica,8. Ingenieria Química,3. Entorno Social,1. Sí,Ciencia de la computación,2. No,"4. Conflicto entre el estudio, la familia y el trabajo"
26/04/2023 9:06:07,Masculino,22,10. Administración y Negocios Digitales,5,15.91,22,14.95,5,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 10. Administración y Negocios Digitales, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería",5. Otros,1. Sí,Ciencia de Datos,2. No,7. No lo he considerado
26/04/2023 9:07:22,Femenino,18,2. Ingeniería Industrial,2,16.9,20,16.9,6,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación",3. Tal vez,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 9:23:49,Femenino,19,1. Ingeniería Ambiental,4,12.58,16,14,6,4. Mal,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 6. Ingenieria Electrónica, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",5. Otros,2. No,,2. No,
26/04/2023 9:30:15,Masculino,20,9. Bioingeniería,7,17.29,21,17.76,7,1. Muy Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","4. Vocación, 5. Otros",2. No,,2. No,
26/04/2023 9:30:53,Masculino,20,7. Ingenieria Civil,4,17,22,13,6,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la computación",1. Entorno Familiar,1. Sí,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 9:35:05,Femenino,22,7. Ingenieria Civil,4,14.6,21,14,6,2. Bueno,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos","7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,2. No,,2. No,
26/04/2023 9:36:58,Femenino,18,2. Ingeniería Industrial,2,16.9,20,16.9,6,2. Bueno,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social",3. Tal vez,Ingenieria Ambiental,2. No,7. No lo he considerado
26/04/2023 9:41:22,Femenino,20,2. Ingeniería Industrial,2,14,21,14,7,3. Regular,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social",3. Tal vez,Ingenieria Mecatrónica,2. No,7. No lo he considerado
26/04/2023 9:43:28,Masculino,19,2. Ingeniería Industrial,2,17.1,20,17.1,7,2. Bueno,"5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","8. Ingenieria Química, 10. Administración y Negocios Digitales",5. Otros,1. Sí,Ingenieria de la Energía,2. No,
26/04/2023 9:44:38,Masculino,18,2. Ingeniería Industrial,2,15,20,15,7,3. Regular,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación",2. No,,2. No,7. No lo he considerado
26/04/2023 9:46:09,Masculino,18,4. Ingenieria Mecatrónica,3,15,16,16,6,2. Bueno,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 9. Bioingeniería","2. Amigos, 3. Entorno Social",3. Tal vez,Ingenieria Mecánica,2. No,7. No lo he considerado
26/04/2023 9:47:40,Femenino,20,2. Ingeniería Industrial,4,13.45,19,13,5,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",3. Entorno Social,3. Tal vez,Ingenieria Ambiental,2. No,7. No lo he considerado
26/04/2023 9:48:05,Masculino,19,7. Ingenieria Civil,4,15,20,15.3,6,2. Bueno,7. Ingenieria Civil,2. Ingenieria Industrial,3. Entorno Social,2. No,,2. No,
26/04/2023 9:56:48,Masculino,18,1. Ingeniería Ambiental,3,14,17,14,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación",2. No,,1. Sí,"4. Conflicto entre el estudio, la familia y el trabajo"
26/04/2023 10:20:05,Femenino,22,10. Administración y Negocios Digitales,5,17.6,22,17.8,6,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 4. Vocación, 5. Otros",1. Sí,Ingenieria Industrial,2. No,7. No lo he considerado
26/04/2023 10:20:44,Femenino,188,2. Ingeniería Industrial,4,15.45,19,16,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",2. No,,2. No,
26/04/2023 10:23:11,Masculino,21,10. Administración y Negocios Digitales,5,18,19,13.7,7,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social",1. Sí,Administración y Negocios Digitales,2. No,7. No lo he considerado
26/04/2023 10:23:19,Femenino,20,12. Ciencia de la Computación,5,15.4,16,11.3,4,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación",1. Sí,Ciencia de Datos,2. No,
26/04/2023 10:24:21,Masculino,19,7. Ingenieria Civil,4,14.2,18,15.2,6,2. Bueno,7. Ingenieria Civil,"2. Ingenieria Industrial, 8. Ingenieria Química","1. Entorno Familiar, 3. Entorno Social",2. No,,2. No,7. No lo he considerado
26/04/2023 10:26:40,Femenino,18,2. Ingeniería Industrial,4,15,19,14.77,6,3. Regular,"4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 7. Ingenieria Civil",2. Ingenieria Industrial,4. Vocación,1. Sí,Administración y Negocios Digitales,2. No,7. No lo he considerado
26/04/2023 10:33:48,Femenino,21,2. Ingeniería Industrial,4,16.78,21,16.9,6,2. Bueno,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica",2. Ingenieria Industrial,4. Vocación,3. Tal vez,Administración y Negocios Digitales,2. No,7. No lo he considerado
26/04/2023 10:44:52,Femenino,20,6. Ingenieria Electrónica,4,14.45,23,13.39,5,3. Regular,"5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 12. Ciencia de la computación","4. Vocación, 5. Otros",3. Tal vez,Ingenieria Mecatrónica,2. No,7. No lo he considerado
26/04/2023 10:46:22,Femenino,20,2. Ingeniería Industrial,4,13,20,13,5,3. Regular,7. Ingenieria Civil,2. Ingenieria Industrial,4. Vocación,2. No,,2. No,
26/04/2023 10:53:39,Masculino,19,11. Ciencia de datos,5,13.8,11,14.6,2,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación",2. No,,2. No,
26/04/2023 11:04:56,Masculino,18,2. Ingeniería Industrial,2,14,20,14,6,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",3. Tal vez,Bioingeniería,2. No,7. No lo he considerado
26/04/2023 11:07:06,Femenino,18,8. Ingenieria Química,3,13,18,14,4,3. Regular,5. Ingenieria Mecánica,"1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",4. Vocación,2. No,Ingenieria Química,2. No,7. No lo he considerado
26/04/2023 11:13:22,Masculino,18,2. Ingeniería Industrial,3,16.49,20,16.21,6,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",1. Entorno Familiar,1. Sí,Ingenieria Química,1. Sí,3. La carrera no convence al estudiante
26/04/2023 11:13:24,Masculino,20,1. Ingeniería Ambiental,4,13.56,20,13.24,6,3. Regular,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación",,3. Entorno Social,2. No,,2. No,7. No lo he considerado
26/04/2023 11:14:05,Masculino,18,12. Ciencia de la Computación,3,15.7,20,14.9,6,3. Regular,"11. Ciencia de Datos, 12. Ciencia de la Computación","8. Ingenieria Química, 9. Bioingeniería","4. Vocación, 5. Otros",2. No,,2. No,
26/04/2023 11:15:21,Femenino,19,7. Ingenieria Civil,4,14.35,17,14.5,5,3. Regular,"4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",1. Entorno Familiar,1. Sí,Ingenieria Ambiental,2. No,7. No lo he considerado
26/04/2023 11:26:00,Masculino,18,4. Ingenieria Mecatrónica,2,14.3,21,14.3,5,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,1. Sí,Ingenieria de la Energía,2. No,7. No lo he considerado
26/04/2023 11:31:49,Masculino,17,2. Ingeniería Industrial,2,14.3,20,20,5,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",5. Otros,1. Sí,Ingenieria Mecánica,2. No,7. No lo he considerado
26/04/2023 11:32:03,Femenino,19,2. Ingeniería Industrial,2,15,20,14,6,3. Regular,7. Ingenieria Civil,4. Ingenieria Mecatrónica,2. Amigos,2. No,Ingenieria Mecánica,2. No,"1. Problemas Financieros, 5. Cuando reprueban las asignaturas constantemente"
26/04/2023 11:32:06,Femenino,17,2. Ingeniería Industrial,1,11,11,11,8,3. Regular,12. Ciencia de la Computación,"1. Ingenieria Ambiental, 9. Bioingeniería",3. Entorno Social,2. No,,3. Tal vez,7. No lo he considerado
26/04/2023 11:33:03,Masculino,17,12. Ciencia de la Computación,1,01,20,01,6,1. Muy Bueno,"4. Ingenieria Mecatrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación",2. No,,2. No,
26/04/2023 11:34:06,Masculino,22,8. Ingenieria Química,7,15,21,14,6,3. Regular,4. Ingenieria Mecatrónica,1. Ingenieria Ambiental,1. Entorno Familiar,2. No,,2. No,
26/04/2023 13:06:46,Femenino,18,7. Ingenieria Civil,4,14,23,14,6,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social",1. Sí,Bioingeniería,2. No,
26/04/2023 13:23:58,Masculino,18,5. Ingenieria Mecánica,3,14,19,12,6,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros",1. Sí,Ingenieria Mecatrónica,3. Tal vez,"2. Pobre preparación escolar, 6. Falta de interacción de calidad con profesores y orientadores"
26/04/2023 14:17:31,Femenino,19,1. Ingeniería Ambiental,3,15,16,15,6,2. Bueno,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social, 4. Vocación",1. Sí,Bioingeniería,2. No,7. No lo he considerado
