Marca temporal,Dirección de correo electrónico,¿Qué ciclo estás cursando este 2023-1?,Edad (años),Peso (Kg),Sexo,Carrera,"Si te encuentras en la universidad. ¿Cuánto tiempo en minutos te demoras en comprar un almuerzo dentro de UTEC? 
Desde que tomas la decisión de almorzar hasta obtener tu almuerzo.","Si te encuentras en la universidad. ¿Cuánto tiempo en minutos te demoras en comprar un almuerzo fuera de UTEC? 
Desde que tomas la decisión de almorzar hasta obtener tu almuerzo.",¿Cuántas veces a la semana compras almuerzos en UTEC? ,¿Cuán satisfecho estas con los almuerzos que compras en UTEC? En caso no consumas coloca la última opción,"¿ Cuánto es lo mínimo de dinero, en soles, que gastas en un almuerzo?
Ejemplo: 10.5","¿ Cuánto es lo máximo de dinero, en soles, que gastas en un almuerzo?
Ejemplo: 15.5",¿Cuál es tu nivel de conocimiento sobre el vegetarianismo? [Nivel],¿Eres vegano o vegetariano?,"¿Cuál es el motivo para adoptar o por el que adoptaste el vegetarianismo a tu vida? 
Si no adoptarías ninguno coloca la última opción ","¿Cuál es la razón principal por la cual no adoptarías una dieta vegetariana? (salud, gusto personal, costo, entre otros)",En caso seas vegano o vegetariano. ¿Hace cuánto tiempo lo eres?,¿Qué tan preocupado estás por la crueldad animal en la producción de alimentos? [Nivel],¿Qué tan importante es para ti la sostenibilidad y el medio ambiente en la elección de alimentos?,"¿Qué tanto conocimiento tienes acerca de las implicaciones ambientales y éticas de la producción de alimentos? (del 1 al 5, donde 1 es muy bajo y 5 es muy alto)","¿Qué tan interesado estarías en aprender más acerca de la dieta vegetariana? 
","¿Qué tan interesado estarías en adoptar una dieta vegetariana en el futuro? (del 1 al 5, donde 1 es nada interesado y 5 es muy interesado)",¿Qué tan fácil es para ti encontrar opciones vegetarianas en UTEC?,"¿Cuánto es lo mínimo de dinero, en soles, que estarías dispuesto a pagar por un almuerzo vegetariano en UTEC?","¿Cuánto es lo máximo de dinero, en soles, que estarías dispuesto a pagar por un almuerzo vegetariano en UTEC?",¿Qué tan fácil es para ti encontrar opciones vegetarianas en UTEC?
30/04/2023 22:08:28,,4,20,64.44,Masculino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,11,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy poco importante,3,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,12.5,16,
30/04/2023 22:10:43,,4,19,78,Masculino,Ingenieria Civil,0,60,1,No compro alimentos en UTEC,15,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Muy importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 22:16:42,,4,20,47.6,Femenino,Ingenieria Civil,0,10,0,Medianamente satisfecho,20,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Bastante,Muy importante,5,Interesado,4,No me importa conseguir alimentos vegetarianos,0,20,
30/04/2023 22:19:33,,5,24,50.3,Femenino,Ingenieria Industrial,6,30,4,Satisfecho,10.5,28.5,Nada,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Poco,No tengo conocimiento sobre su implicancia,1,Muy poco interesado,2,Regular,13.0,20.5,
30/04/2023 22:20:47,,5,19,57,Masculino,Ingenieria Civil,5,20,1,Medianamente satisfecho,10,13,Básico,No,Salud,Gusto personal,0,Regular,Importante,4,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 22:22:31,,5,22,78,Femenino,Ingenieria Industrial,20,0,1,Satisfecho,13,17,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Nada importante,5,Muy interesado,1,No me importa conseguir alimentos vegetarianos,13,18,
30/04/2023 22:22:53,,4,19,60,Masculino,Ingenieria Civil,0,30,0,No compro alimentos en UTEC,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Poco,Muy importante,2,Nada interesado,1,No me importa conseguir alimentos vegetarianos,10,12,
30/04/2023 22:23:16,,4,20,60,Masculino,Ingenieria Civil,8,24,0,No compro alimentos en UTEC,12,16.5,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Muy importante,4,Interesado,4,Regular,13,18,
30/04/2023 22:25:13,,4,18,62.3,Masculino,Bioingenieria,0,30,0,No compro alimentos en UTEC,10,30,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy importante,1,Muy interesado,5,Difícil,14,20,
30/04/2023 22:26:46,,4,20,58.6,Masculino,Ingenieria Civil,0,30,0,No compro alimentos en UTEC,10,18,Nada,No,Salud,Gusto personal,0,Bastante,Muy importante,3,Muy poco interesado,4,No me importa conseguir alimentos vegetarianos,10,15,
30/04/2023 22:27:28,,4,20,59.4,Masculino,Ingenieria Civil,0,20,4,No compro alimentos en UTEC,10,17,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,10,20,
30/04/2023 22:27:37,,4,19,67,Masculino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,10,18,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,2,Interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 22:29:20,,4,19,52,Femenino,Ingenieria Ambiental,15,30,1,Medianamente satisfecho,10,21,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Regular,Importante,4,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,15,18,
30/04/2023 22:29:59,,4,19,69,Masculino,Ingenieria Civil,7,20,2,Medianamente satisfecho,10,13,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Nada,No tengo conocimiento sobre su implicancia,4,Interesado,3,No me importa conseguir alimentos vegetarianos,O,0,
30/04/2023 22:33:12,,5,20,50.1,Femenino,Ingenieria Ambiental,10,30,1,Medianamente satisfecho,11,12.5,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Muy interesado,3,Regular,15.5,20.5,
30/04/2023 22:33:15,,5,19,78.976,Masculino,Ingenieria Civil,0,22,1,Nada satisfecho,10,12,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Muy importante,5,Muy poco interesado,1,No me importa conseguir alimentos vegetarianos,10,12,
30/04/2023 22:34:04,,4,21,60.3,Masculino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,12,17,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,0,Poco,Importante,3,Interesado,3,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 22:35:56,,4,20,82.5,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,12,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,15,
30/04/2023 22:41:41,,4,20,50,Femenino,Ingenieria Civil,10,20,2,Satisfecho,11,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Muy poco interesado,3,Regular,10,13,
30/04/2023 22:41:56,,4,19,60,Masculino,Ingenieria Civil,0,15,0,No compro alimentos en UTEC,10,11,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,Importante,3,Interesado,1,Regular,10,20,
30/04/2023 22:42:16,,5,20,55,Masculino,Ingeniería Mecatrónica,15,30,2,Satisfecho,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,Importante,3,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,10,15,
30/04/2023 22:47:37,,5,19,75.5,Masculino,Ingenieria Electronica,15,20,2,Satisfecho,12,16,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Importante,2,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 22:50:16,,4,21,70,Masculino,Ingenieria Civil,5,40,3,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Poco,Importante,5,Muy poco interesado,2,Difícil,15,18,
30/04/2023 22:51:13,,4,21,80,Masculino,Ingenieria Civil,30,30,5,Satisfecho,10,27,Básico,No,Salud,Gusto personal,0,Bastante,Muy importante,4,Interesado,3,Difícil,12,15,
3/05/2023 14:13:38,,4,20,74,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,10,10,Nada,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Nada importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 22:56:59,,4,19,48.8,Femenino,Ingenieria Ambiental,10,60,5,Satisfecho,14,28,Avanzado,Sí,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,7 meses,Mucho,Muy importante,5,Muy interesado,5,Regular,15,20,
30/04/2023 23:05:20,,5,20,59,Femenino,Ingenieria Electronica,0,0,0,Nada satisfecho,12,15,Básico,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Importante,3,Muy poco interesado,3,Regular,17,13,
30/04/2023 23:05:27,,4,20,76,Masculino,Ingenieria Electronica,5,10,6,Satisfecho,10,28,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Importante,3,Muy interesado,4,Regular,10,15,
30/04/2023 23:13:32,,4,21,75.5,Masculino,Ingenieria Civil,0,14,1,No compro alimentos en UTEC,11,11,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Bastante,Importante,3,Muy poco interesado,1,No me importa conseguir alimentos vegetarianos,10,17,
30/04/2023 23:14:50,,4,19,63.5,Femenino,Ingenieria Civil,10,20,2,Medianamente satisfecho,10,17,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 23:18:44,,4,19,67,Masculino,Ingenieria Civil,8,15,4,Satisfecho,10,18,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Muy poco importante,4,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
30/04/2023 23:21:23,,4,18,45,Femenino,Ingenieria Electronica,20,20,4,Nada satisfecho,10,10,Avanzado,No,Obligación,Gusto personal,0,Regular,Muy poco importante,4,Muy poco interesado,4,Difícil,0,0,
30/04/2023 23:21:50,,4,18,70,Masculino,Ingeniería Mecatrónica,0,0,0,No compro alimentos en UTEC,12,20,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,2,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,12,20,
30/04/2023 23:26:16,,5,21,81,Masculino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,11,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Importante,3,Muy poco interesado,1,No tengo conocimiento sobre alimentos vegetarianos,11,12,
30/04/2023 23:35:49,,4,18,60,Masculino,Ingenieria Electronica,No como en la universidad,30,0,No compro alimentos en UTEC,10,12,Básico,No,Salud,Gusto personal,0,Bastante,Importante,3,Muy poco interesado,3,Difícil,12,15,
30/04/2023 23:42:53,,5,19,50,Femenino,Bioingenieria,0,20,0,No compro alimentos en UTEC,11,20,Avanzado,No,Interés por los derechos de los animales,Gusto personal,0,Regular,Importante,4,Interesado,3,Regular,14,20,
30/04/2023 23:43:06,,4,21,65,Femenino,Ciencias de la computación,0,0,0,No compro alimentos en UTEC,11,11,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,No tengo conocimiento sobre su implicancia,3,Interesado,3,Regular,11,20,
30/04/2023 23:58:17,,5,21,58,Femenino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,15,25,Avanzado,Sí,Salud,Costo,2 años,Regular,Muy importante,5,Muy interesado,5,Difícil,12,15,
1/05/2023 0:05:55,,4,19,56.1,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,11,17,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,0,Bastante,No tengo conocimiento sobre su implicancia,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
1/05/2023 0:11:38,,5,22,60,Femenino,Ingenieria Industrial,18,30,1,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Interesado,3,Difícil,12,15,
1/05/2023 0:20:50,,5,19,46,Femenino,Ingenieria Quimica,10,60,2,Medianamente satisfecho,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
1/05/2023 0:26:35,,4,20,75,Femenino,Ingenieria Civil,10,20,2,Medianamente satisfecho,10,15,Intermedio,"No, pero desearía serlo",Salud,Costo,0,Bastante,Importante,3,Muy interesado,4,Regular,15,20,
1/05/2023 0:34:34,,4,20,59,Masculino,Ingenieria Electronica,0,60,7,No compro alimentos en UTEC,12,15,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
1/05/2023 0:55:28,,4,19,72.5,Masculino,Ingenieria Civil,0,40,5,No compro alimentos en UTEC,10,25,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Regular,Muy importante,2,Muy poco interesado,3,Difícil,12,12,
1/05/2023 1:23:18,,4,19,66,Masculino,Ingenieria Electronica,0,20,0,No compro alimentos en UTEC,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,0,0,
1/05/2023 3:19:39,,4,19,59,Femenino,Ingenieria Civil,45,20,1,Medianamente satisfecho,12,18,Básico,"No, pero desearía serlo",Salud,Sí adoptaría una dieta vegetariana,0,Regular,Muy importante,3,Muy interesado,4,Difícil,15,20,
1/05/2023 6:50:33,,5,23,70.4,Masculino,Ingenieria Industrial,0,0,0,No compro alimentos en UTEC,11,14,Básico,No,No adoptaría el veganismo o el vegetarianismo,Soy vegetariano o vegano,0,Bastante,Muy importante,4,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,0,0,
1/05/2023 8:19:54,,5,22,78,Masculino,Ingenieria Civil,0,15,5,No compro alimentos en UTEC,10,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy poco importante,2,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,11,14,
1/05/2023 8:31:15,,4,19,65,Femenino,Ingeniería Mecatrónica,0,10,0,Nada satisfecho,10,14,Intermedio,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Bastante,Muy importante,4,Muy interesado,4,Difícil,11,15,
1/05/2023 9:27:39,,4,20,56.1,Femenino,Ingenieria Civil,0,40,0,No compro alimentos en UTEC,10,12,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,0,Regular,Muy importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,12,
1/05/2023 9:32:44,,4,18,68,Masculino,Ingeniería Mecatrónica,15,20,5,Satisfecho,10,13,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,10,14,
1/05/2023 10:07:49,,4,20,66,Masculino,Ingenieria Civil,27,20,0,Nada satisfecho,8,16,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,Muy importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,18,15,
1/05/2023 10:29:54,,4,19,50.2,Masculino,Ingenieria Civil,10,25,0,Medianamente satisfecho,12,18,Intermedio,No,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,0,Regular,Importante,3,Interesado,3,Regular,13,20,
1/05/2023 11:06:29,,4,22,60,Masculino,Ingenieria Civil,20,10,0,Medianamente satisfecho,11,17,Básico,Sí,Salud,Gusto personal,2 meses,Regular,Importante,2,Interesado,5,Difícil,13,20,
1/05/2023 11:14:14,,5,22,65,Masculino,Ingenieria Industrial,10,60,0,No compro alimentos en UTEC,15,20,Intermedio,No,Salud,Costo,0,Regular,Importante,3,Interesado,4,Difícil,13,15,
1/05/2023 11:18:55,,5,20,75,Masculino,Ingenieria Quimica,0,25,2,No compro alimentos en UTEC,13,16,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,2,Interesado,2,Regular,13,16,
1/05/2023 11:52:14,,4,20,75,Masculino,Ingeniería Mecatrónica,5,15,2,Medianamente satisfecho,12,15,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Nada,Importante,4,Interesado,5,Difícil,10,13,
1/05/2023 12:54:13,,4,19,80.5,Masculino,Ingeniería Mecatrónica,5,25,1,Medianamente satisfecho,12,16.5,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,2,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,12,
1/05/2023 12:56:05,,4,20,90,Femenino,Ingenieria Civil,0,30,1,No compro alimentos en UTEC,10,35,Básico,No,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,0,Regular,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,20,
1/05/2023 14:13:06,,5,20,63,Femenino,Ingenieria Civil,7,15,0,No compro alimentos en UTEC,10,12.5,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Interesado,2,Regular,12,19,
1/05/2023 14:18:18,,5,20,68,Masculino,Ingenieria Ambiental,0,25,2,No compro alimentos en UTEC,12,13,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,5,Muy interesado,1,No tengo conocimiento sobre alimentos vegetarianos,12,10,
1/05/2023 15:33:38,,4,22,60,Masculino,Ingenieria Civil,0,15,0,No compro alimentos en UTEC,11,16,Básico,No,Interés por los derechos de los animales,Costo,0,Bastante,Muy importante,4,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,15,18,
1/05/2023 16:12:15,,4,19,70,Masculino,Ingenieria Industrial,5,10,5,Completamente satisfecho,13.5,15,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Muy importante,5,Nada interesado,5,Fácil,15,17,
1/05/2023 17:09:36,,5,19,70,Femenino,Ingenieria Civil,20,45,1,Medianamente satisfecho,12,14,Básico,No,Sostenibilidad y medio ambiente,Costo,0,Regular,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,14,
1/05/2023 17:29:04,,4,18,65,Masculino,Ingenieria Industrial,0,15,3,No compro alimentos en UTEC,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
1/05/2023 19:57:50,,4,19,55,Femenino,Ingenieria Ambiental,0,40,2,No compro alimentos en UTEC,12,18,Intermedio,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Bastante,Importante,4,Interesado,4,Regular,12,15,
1/05/2023 20:19:37,,4,20,66,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,10,11,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
1/05/2023 21:06:51,,4,19,60.5,Masculino,Ingeniería Mecatrónica,15,12,0,No compro alimentos en UTEC,10,15,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Importante,4,Muy poco interesado,3,Regular,10,18,
1/05/2023 22:21:38,,4,19,49,Femenino,Ingenieria Civil,0,15,0,No compro alimentos en UTEC,12,15,Básico,No,Salud,Gusto personal,0,Bastante,Muy importante,4,Muy poco interesado,3,Regular,0,0,
1/05/2023 22:41:26,,4,19,49,Femenino,Ingenieria Civil,10,30,2,Medianamente satisfecho,15,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Muy importante,4,Interesado,3,Regular,20,20,
2/05/2023 0:46:33,,4,20,65,Femenino,Ingenieria Quimica,20,15,2,Completamente satisfecho,11,14,Intermedio,No,Salud,Costo,0,Regular,Muy importante,3,Interesado,3,Regular,15,18,
2/05/2023 10:30:53,,5,21,70,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,12,15,Nada,No,Salud,Costo,0,Regular,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,15,12,
2/05/2023 10:37:09,,4,19,58,Masculino,Ingenieria Civil,0,30 min,0,No compro alimentos en UTEC,12,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,No tengo conocimiento sobre su implicancia,2,Muy interesado,4,No tengo conocimiento sobre alimentos vegetarianos,0,0,
2/05/2023 10:54:08,,5,19,55,Masculino,Ingenieria Civil,0,10,0,No compro alimentos en UTEC,11,13,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy poco importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 10:55:41,,4,20,80,Masculino,Ingenieria Civil,14,20,0,Nada satisfecho,15,15,Intermedio,"No, pero desearía serlo",Salud,Gusto personal,0,Bastante,Muy importante,5,Interesado,5,Fácil,15,20,
2/05/2023 11:00:05,,4,20,70,Masculino,Ingenieria Civil,5,20,2,Medianamente satisfecho,13,20,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,4,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,0,0,
2/05/2023 11:00:08,,5,19,60,Masculino,Ingenieria Civil,30,10,4,Satisfecho,10,13,Básico,"No, pero desearía serlo",Salud,Salud,0,Regular,Importante,3,Interesado,4,Regular,14,18,
2/05/2023 11:03:31,,5,20,70,Femenino,Administración y Negocios Digitales,20,23,1,Satisfecho,14,16,Intermedio,No,Entorno familiar y/o social,Gusto personal,7 meses,Regular,Importante,2,Interesado,3,Regular,16,20,
2/05/2023 11:03:46,,5,27,76,Femenino,Administración y Negocios Digitales,8,30,1,Satisfecho,12,15,Básico,No,Interés por los derechos de los animales,Gusto personal,0,Mucho,Muy importante,4,Interesado,4,Regular,15,20,
2/05/2023 11:08:26,,4,19,50,Femenino,Bioingenieria,10,0,1,Satisfecho,13,15,Nada,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Muy importante,3,Interesado,3,Regular,13,15,
