AÑO DE CAMPEONATO,NOMBRE DE EQUIPO,EDAD PROMEDIO DE JUGADORES,PAIS AL QUE PERTENECEN EL CLUB,ETAPA EN EL QUE FUE ELIMINADO,TOTAL DE GOLES POR TORNEO,CANTIDAD DE TARJETAS ROJAS,CANTIDAD DE TARJETAS AMARILLAS,POSESION PROMEDIO DE BALON % POR CAMPEONATO,PROMEDIO DE FALTAS POR CAMPEONATO,CANTIDAD DE PARTIDOS JUGADOS,Prescición de goles a de ocaciones claras,ocaciones claras falladas,ocaciones claras,rendimiento de ocaciones claras
2018,El Nacional,25.8,Ecuador,Previa,5,0,10,47.3,13.8,4,bueno,2,4,50
2018,Boston River,25.7,Uruguay,Previa,5,1,9,42,11.5,4,bueno,1,2,50
2018,Cerro,27.2,Uruguay,Previa,3,0,16,47.5,19.3,4,malo,2,2,0
2018,Nacional Asunción,25.7,Paraguay,Previa,2,0,9,48.8,16.5,4,malo,5,5,0
2018,Sport Huancayo,30.6,Perú,Previa,6,1,7,55,11.8,4,bueno,3,6,50
2018,Peñarol,28.5,Uruguay,Previa,1,0,0,54,5.5,2,malo,1,1,0
2018,Jorge Wilstermann,30.4,Bolivia,Previa,4,0,2,31,15.5,2,bueno,2,5,60
2018,Defensor Sporting,28.6,Uruguay,Previa,0,0,8,36,17.5,2,malo,1,1,0
2018,Deportes Temuco,28.6,Chile,Previa,4,1,7,49.7,14.7,4,malo,8,10,20
2018,Sol de América,29.3,Paraguay,Previa,3,0,10,38.5,14.8,4,bueno,2,4,50
2018,Millonarios,29.8,Colombia,Octavos,5,1,11,53.5,17.5,4,medio,6,11,45.45454545
2018,LDU,26.8,Ecuador,Octavos,8,0,12,50.2,15.8,6,medio,11,17,35.29411765
2018,Colón,27.2,Argentina,Octavos,5,1,11,43.5,15,6,malo,9,10,10
2018,Banfield,27.5,Argentina,Octavos,2,0,10,49.5,15,4,malo,7,9,22.22222222
2018,Botafogo,25.6,Brasil,Octavos,9,0,14,56.2,12,6,medio,13,19,31.57894737
2018,Caracas,26.8,Venezuela,Octavos,9,0,22,37.7,18.8,6,medio,7,13,46.15384615
2018,Deportivo Cuenca,25,Ecuador,Octavos,6,2,12,63.7,14.3,6,medio,6,10,40
2018,San Lorenzo,28.2,Argentina,Octavos,7,1,16,41.4,19.8,6,medio,5,8,37.5
2018,Deportivo Cali,28.1,Colombia,Cuartos,14,2,19,51.4,15.6,8,medio,17,27,37.03703704
2018,Defensa y Justicia,24.6,Argentina,Cuartos,10,0,13,51.9,13.4,8,medio,11,16,31.25
2018,Bahia,27.5,Brasil,Cuartos,11,2,22,47.1,15.8,8,bueno,7,15,53.33333333
2018,Nacional,30.1,Uruguay,Cuartos,5,1,13,53.5,12.3,6,malo,9,11,18.18181818
2018,Independiente Santa Fe,30.1,Colombia,Semis,5,4,19,52.9,18.4,8,medio,6,9,33.33333333
2018,Fluminense,27.2,Brasil,Semis,12,0,24,54.8,14.7,10,bueno,1,4,75
2018,Junior Barranquilla,28.1,Colombia,Final,11,3,21,55.8,12.7,10,medio,13,20,35
2018,Athletico,27,Brasil,Campeon,21,0,21,50.1,14.1,12,medio,16,28,42.85714286
2019,Nacional Potosi,28.8,Bolivia,Previa,1,0,2,73.5,10.0,2,,2,2,0
2019,Sporting Cristal,23.2,Perú,Octavos,9,0,6,63.5,9.8,4,medio,7,10,30
2019,Santos,24.4,Brasil,Previa,1,1,3,74.5,11.0,2,medio,3,4,25
2019,Fluminense,26.8,Brasil,Cuartos,12,0,20,52.9,14.8,8,medio,9,17,47.05882353
2019,Bahia,25,Brasil,Previa,0,0,5,62.5,17.5,2,malo,4,4,0
2019,Atlético Mineiro,26,Brasil,Semis,12,0,15,49.0,13.1,2,medio,15,21,28.57142857
2019,Botafogo,26.6,Brasil,Octavos,9,3,14,49.8,10.8,6,bueno,4,10,60
2019,Universidad Catolica del Ecuador,26.4,Ecuador,Octavos,10,1,13,48.0,10.8,2,bueno,7,14,50
2019,Chapecoense,24.6,Brasil,Previa,1,0,1,44.5,11.0,2,malo,4,4,0
2019,Independiente del Valle,23.6,Ecuador,Campeon,20,1,21,57.6,12.6,11,medio,19,32,40.625
2019,Union,24.6,Argentina,Previa,2,0,5,41.5,12.5,2,medio,4,6,33.33333333
2019,Corinthians,24.7,Brasil,Semis,13,0,23,50.6,11.1,10,medio,16,27,40.74074074
2019,Macará,27.1,Ecuador,Previa,8,0,14,56.5,18.3,4,medio,6,11,45.45454545
2019,Racing Club,26,Argentina,Previa,2,0,5,60.0,14.0,2,malo,1,1,0
2019,Sport Huancayo,29.6,Peru,Previa,1,0,3,49.0,14.5,2,bueno,0,1,100
2019,Colón,26.5,Argentina,Final,17,2,22,51.4,16.2,11,bueno,11,26,57.69230769
2019,Mushuc Runa,27,Ecuador,Previa,2,0,4,49.0,14.5,2,bueno,0,1,100
2019,Argentinos Juniors,23.6,Argentina,Octavos,4,1,16,47.3,17.0,6,medio,6,7,14.28571429
2019,Deportivo La Equidad,27.1,Colombia,Cuartos,10,2,15,59.6,14.5,8,bueno,6,14,57.14285714
2019,Deportivo Cali,24.4,Colombia,Previa,2,0,11,55.5,15.3,4,malo,2,2,0
2019,Zulia FC,26.5,Venezuela,Cuartos,8,2,14,33.6,13.5,8,bueno,3,9,66.66666667
2019,Unión La Calera,25.3,Chile,Previa,2,1,7,50.8,18.5,4,medio,4,5,20
2019,Palestino,25.5,Chile,Previa,1,1,8,70.5,18.5,2,bueno,1,2,50
2019,Independiente,24.6,Argentina,Cuartos,15,1,16,55.9,14.8,2,bueno,11,22,50
2019,Colo Colo,28.6,Chile,Previa,1,0,8,54.0,15.0,2,medio,6,7,14.28571429
2019,Montevideo Wanderes,24.8,Uruguay,Octavos,5,0,14,50.3,10.3,6,medio,6,9,33.33333333
2019,Liverpool UY,22.2,Uruguay,Previa,2,0,12,40.3,11.0,4,bueno,2,6,66.66666667
2019,Independiente FBC,32.3,Paraguay,Previa,0,0,8,31.5,15.5,2,malo,1,1,0
2019,Once Caldas,28,Colombia,Previa,1,0,6,72.0,15.5,2,medio,5,6,16.66666667
2019,Peñarol,23.2,Uruguay,Octavos,5,0,10,48.5,12.5,4,bueno,2,5,60
2019,Oriente Petrolero,25.4,Bolivia,Previa,2,0,5,47.5,18.0,2,bueno,0,1,100
2019,Cerro,27.8,Uruguay,Previa,4,1,8,44.8,16.8,4,medio,5,6,16.66666667
2019,Mineros de Guayana,22.9,Venezuela,Previa,1,0,6,50.5,18.0,2,bueno,1,2,50
2019,Guaraní,26.8,Paraguay,Previa,1,3,4,44.0,12.5,2,malo,0,0,0
2019,Deportivo Lara,26.5,Venezuela,Previa,0,0,5,44.0,12.5,4,malo,2,2,0
2019,Deportivo Santaní,29,Paraguay,Previa,4,2,13,36.5,17.0,4,bueno,1,4,75
2019,Atlético Nacional,24.3,Panamá,Previa,2,0,5,50.0,12.0,2,medio,3,5,40
2019,Rionegro Águilas Doradas,25.3,Colombia,Previa,5,1,10,43.8,18.8,4,medio,4,6,33.33333333
2019,River Plate UY,25.4,Uruguay,Previa,2,1,12,34.3,15.8,4,medio,4,6,33.33333333
2019,Unión Española,24.5,Chile,Previa,2,0,16,46.8,18.3,4,medio,4,6,33.33333333
2019,Monagas,23.8,Venezuela,Previa,3,0,6,54.0,17.0,2,bueno,2,5,60
2019,Deportes Tolima,26.4,Colombia,Previa,0,1,9,55.0,21.5,4,malo,2,2,0
2019,Sol de América,29.8,Paraguay,Previa,1,1,9,43.3,14.0,4,medio,3,4,25
2019,Royal Pari Sion,26.2,Bolivia,Octavos,8,0,19,41.2,18.2,6,bueno,2,7,71.42857143
2019,Defensa y Justicia,23.6,Argentina,Previa,0,0,6,67.5,16.5,2,malo,2,2,0
2019,Caracas,22.8,Venezuela,Octavos,2,0,13,41.5,15.0,6,medio,3,5,40
2019,Estudiantes de Mérida,24.1,Venezuela,Previa,1,1,11,45.0,18.0,2,bueno,0,1,100
2019,Deportivo Municipal,24.7,Perú,Previa,0,0,3,56.5,16.0,2,malo,2,2,0
2019,Antofagasta,25,Chile,Previa,1,0,6,34.0,19.0,2,bueno,1,2,50
2019,Universidad Técnica de Cajamarca,28.1,Perú,Previa,2,0,9,54.0,20.0,2,medio,2,3,33.33333333
2019,Universidad Católica,26.8,Chile,Previa,3,0,3,54.5,17.0,4,malo,2,2,0
2019,Deportivo Binacional,26.5,Perú,Previa,2,0,5,40.5,13.5,2,medio,2,4,50
2019,Melgar,25.3,Perú,Previa,0,1,11,45.0,14.5,4,malo,2,2,0
2019,Guabirá,26.4,Bolivia,Previa,1,0,5,47.5,14.0,2,malo,0,0,0
2020, Liverpool UY,25.1,Uruguay,Previa,9,0,10,53.8,13.5,2,medio,9,16,0
2020,Bahia,28.2,Brasil,Cuartos,13,1,15,49.9,11.5,5,bueno,10,20,0
2020,Defensa y Justicia,26.4,Argentina,Campeon,16,1,17,60.3,14.2,7,bueno,11,22,50
2020,Junior Barranquilla,30.0,Colombia ,Cuartos,6,2,12,58.7,11.7,5,bueno,3,7,57.14285714
2020,Peñarol,28.1,Uruguay,Previa,1,1,10,40.5,10,2,malo,3,4,25
2020,Bolivar,28.0,Bolivia,Octavos,8,1,7,53.8,12.8,3,medio,6,11,45.45454545
2020,Sao Paulo,26.4,Brasil,Previa,6,0,5,64.0,13.5,2,bueno,3,6,50
2020,Fluminense,28.6,Brasil,Previa,1,0,7,60.0,8.5,1,malo,4,5,20
2020,Emelec,27.2,Ecuador,Previa,7,0,10,47.5,12.5,2,bueno,4,9,55.55555556
2020,Vasco,26.7,Brasil,Octavos,3,1,17,49.5,13.3,3,malo,13,15,13.33333333
2020,Audax Italiano,25.8,Chile,Previa,5,0,10,54.3,13.3,2,medio,3,5,40
2020,Deportes Tolima,27.2,Colombia ,Previa,1,0,6,47.5,17.5,2,malo,1,1,0
2020,Unión La Calera,29.4,Chile,Octavos,5,1,16,49.8,16.8,3,medio,5,8,37.5
2020,Independiente,26.5,Argentino,Cuartos,10,1,11,54.3,13.5,5,malo,11,15,26.66666667
2020,Atlético Mineiro,26.2,Brasil,Previa,2,1,3,69.5,13.0,1,malo,4,5,20
2020,Vélez Sarsfield ,25.8,Argentina,Semi Final,14,2,29,58.0,14.0,6,medio,20,30,33.33333333
2020,Sport Huancayo,32.7,Perú,Octavos,4,0,17,50.5,13.0,3,malo,2,2,0
2020,River Plate UY,27.3,Uruguay,Previa,9,1,16,36.5,18.5,3,bueno,3,8,62.5
2020,Always Ready,31.7,Bolivia,Previa,1,0,7,56.5,14.5,1,malo,3,4,25
2020,Lanús,24.2,Argentina,Final,23,1,33,40.5,12.5,7,bueno,13,30,56.66666667
2020,Coquimbo Unido,28.5,Chile,Semi Final,14,2,26,40.0,15.3,6,bueno,4,16,75
2020,Sol de América,28.3,Paraguay,Previa,3,0,13,31.0,17.8,2,bueno,1,4,75
2020,Nacional Potosi,28.8,Bolivia,Previa,2,0,7,43.5,13.5,1,bueno,2,4,50
2020,El Nacional,29.4,Uruguay,Previa,2,1,7,56.5,18.0,1,medio,2,3,33.33333333
2020,Oriente Petrolero,24.8,Bolivia,Previa,0,0,2,48.5,16.5,1,malo,3,3,0
2020,Unión ,27.4,Argentina,Octavos,5,1,22,48.2,16.5,3,malo,12,14,14.28571429
2020,Argentinos Juniors ,28.0,Argentina,Previa,1,0,3,57.5,8.5,1,medio,2,3,33.33333333
2020,Deportivo Cali,28.0,Colombia ,Octavos,9,0,11,58.2,15.8,3,medio,7,11,36.36363636
2020,Universidad Católica,31.2,Chile,Cuartos,7,2,17,60.0,14.7,5,medio,5,9,44.44444444
2020,Fénix,28.5,Uruguay,Octavos,8,2,16,37.8,13.2,3,malo,8,11,27.27272727
2020,Millonarios ,26.4,Colombia ,Previa,5,1,10,44.3,18.8,2,malo,5,6,16.66666667
2020,Atlético Nacional,27.9,Colombia ,Previa,6,1,10,57.8,15.0,2,bueno,3,7,57.14285714
2020,Plaza Colonia,26.1,Uruguay,Previa,3,1,13,34.5,15.8,2,bueno,1,3,66.66666667
2020,Fortaleza,28.5,Brasil,Previa,2,1,3,53.0,10.0,1,malo,7,8,12.5
2020,Mineros de Guayana ,31.7,Venezuela,Previa,4,0,4,62.0,9.0,1,medio,3,5,40
2020,Huachipato,24.8,Chile,Previa,4,0,9,52.5,17.5,2,malo,6,7,14.28571429
2020,Universidad Católica del Ecuador ,31.7,Ecuador,Previa,2,0,3,51.5,11.0,1,malo,3,4,25
2020,Goiás,26.8,Brasil,Previa,0,1,5,68.5,17.0,1,malo,3,4,25
2020,Melgar,28.5,Perú,Previa,3,0,5,51.8,11.8,2,malo,3,4,25
2020,Cusco FC,30.4,Perú,Previa,2,0,3,40.0,13.0,1,malo,5,5,0
2020,Deportivo Pasto,29.7,Colombia ,Previa,0,0,3,60.0,13.5,1,malo,2,2,0
2020,Zamora,28.7,Venezuela,Previa,1,2,8,59.0,23.0,1,malo,1,1,0
2020,Atlético Tucumán,30.3,Argentino,Previa,1,1,4,52.0,18.5,2,malo,3,3,0
2020,Sportivo Luqueño,26.8,Paraguay,Previa,7,3,6,35.8,17.0,2,medio,6,9,33.33333333
2020,Caracas,25.2,Venezuela,Previa,0,1,5,42.5,18.0,2,malo,0,0,0
2020,River Plate de Asunción,28.7,Paraguay,Octavos,9,0,10,36.5,15.0,1,bueno,1,3,66.66666667
2020,Club Atlético Grau,25.7,Perú,previa,1,1,3,57.0,7.0,1,malo,0,0,0
2020,Aucas,28.3,Ecuador,Previa,2,2,7,35.5,18.0,1,bueno,0,1,100
2020,Aragua FC,27.3,Venezuela,Previa,1,2,7,51.5,13.5,1,medio,2,3,33.33333333
2020,Estudiantes de Mérida,28.4,Venezuela,Previa,0,1,5,64.0,15.0,2,malo,4,4,0
2020,Nacional Asunción,30.2,Paraguay,Previa,1,0,5,47.0,13.5,1,malo,3,4,25
2020,Huracán,26.6,Argentino,Previa,1,0,10,43.0,21.0,1,bueno,2,3,33.33333333
2020,Blooming,27.4,Bolivia,Previa,0,0,3,49.0,13.5,1,malo,1,1,0
2020,Llaneros FC,25.5,Venezuela,Previa,0,0,9,41.5,14.5,1,malo,0,0,0
2021,Peñarol,24.8,Uruguay,Semifinal,28,1,31,52.7,14.4,12,bueno,14,33,57.57575758
2021,Gremio,26.4,Brasil,Octavos,23,1,20,54.5,13.6,8,bueno,15,32,53.125
2021,Athletico,23.1,Brasil,Campeon,22,1,33,52.5,12.7,13,medio,16,25,36
2021,Red Bull Bragantino,23.2,Brasil,Final,20,2,29,45.8,13.7,13,medio,20,34,41.17647059
2021,Montevideo City Torque,24.3,Uruguay,Previa,17,2,21,61.3,14.9,6,bueno,12,24,50
2021,Libertad,25.2,Paraguay,Semifinal,16,0,29,44.3,13.2,12,medio,15,26,42.30769231
2021,Rosario Central,25.9,Argentina,Cuartos,16,1,23,53.3,15.1,10,medio,13,24,45.83333333
2021,Emelec,25.6,Ecuador,Previa,13,1,23,53.3,13.6,6,bueno,7,14,50
2021,Corinthians,24.7,Brasil,Previa,12,0,15,64.5,15.3,6,medio,10,17,41.17647059
2021,Independiente,24.6,Argentina,Octavos,12,4,23,46.3,15.6,8,malo,14,19,26.31578947
2021,Melgar ,25.3,Colombia,Previa,12,2,17,47.8,15.9,6,medio,8,14,42.85714286
2021,Aucas,27.3,Ecuador,Previa,12,1,21,51.3,13.5,6,bueno,5,13,61.53846154
2021,River Plate de Asunción,24.1,paraguay,Previa,12,0,28,37.8,17.4,6,medio,12,19,36.84210526
2021,Bahia,25,Brasil,Previa,11,2,14,47.0,14.5,6,medio,11,17,35.29411765
2021,Arsenal de Sarandí,24.6,Argentina,Octavos,11,0,15,46.4,13.6,8,bueno,3,8,62.5
2021,Jorge Wilstermann,27.7,Bolivia ,Previa,9,0,25,49.8,13.0,6,medio,9,14,35.71428571
2021,Deportivo la Equidad,27.1,Colombia,Previa,9,5,26,49.3,19.1,6,malo,10,14,28.57142857
2021,Lanús,26.4,Argentina,Previa,8,0,19,56.8,14.3,6,bueno,1,7,85.71428571
2021,Sport Huancayo,23.6,Perú,Previa,8,2,13,48.3,10.8,6,bueno,4,10,60
2021,Metropolitanos,24.7,Venezuela ,Previa,8,2,24,41.0,15.1,6,bueno,8,16,50
2021,Huachipato,23.6,Chile,Previa,8,1,24,57.4,16.9,6,medio,11,17,35.29411765
2021,Deportes Tolima,26.4,Colombia ,Previa,7,2,29,42.3,19.9,6,medio,8,14,42.85714286
2021,San Lorenzo,23.9,Argentina,Previa,7,0,12,54.3,16.2,6,bueno,3,8,62.5
2021,Talleres,24.6,Argentina,Previa,7,0,18,57.2,15.5,6,medio,8,13,38.46153846
2021,Guabirá,26.4,Bolivia ,Previa,7,2,18,45.5,14.9,6,medio,7,12,41.66666667
2021,Newell's Old Boys,23.2,Argentina,Previa,6,3,22,49.8,17.3,6,malo,5,7,28.57142857
2021,Aragua FC,26.7,Venezuela ,Previa,6,3,17,40.3,11.5,6,medio,7,10,30
2021,Ceará,26.6,Brasil ,Previa,5,0,12,44.8,10.7,6,malo,13,16,18.75
2021,Bolívar,26,Bolivia ,Previa,5,0,19,59.0,10.8,6,malo,7,9,22.22222222
2021,LDU,24.7,Ecuador ,Cuartos,5,0,7,58.3,16.5,10,bueno,2,6,66.66666667
2021,Santos,24.4,Brasil,Cuartos,4,2,10,58.3,14.3,10,medio,4,7,42.85714286
2021,Atlético Goianiense,23.4,Brasil,Previa,4,2,19,49.5,14.5,6,malo,6,8,25
2021,Sporting Cristal,23.2,Perú,Cuartos,4,0,9,57.0,12.8,10,medio,4,7,42.85714286
2021,Junior Barranquilla,27.1,Colombia,Octavos ,4,0,5,66.0,16.0,8,bueno,2,4,50
2021,Palestino,25.5,Chile,Previa,4,3,26,54.3,13.3,6,medio,6,9,33.33333333
2021,Guaireña,27.4,paraguay,Previa,3,0,6,49.0,11.5,6,bueno,1,3,66.66666667
2021,Cerro Largo,25.6,Uruguay,Previa,3,0,10,45.0,14.5,6,bueno,1,2,50
2021,12 de Octubre de Itauguá,29.7,paraguay,Previa,3,1,23,32.6,13.0,6,malo,5,7,28.57142857
2021,Carlos A. Mannucci,27.3,Perú,Previa,3,0,7,47.5,16.0,6,bueno,1,3,66.66666667
2021,Nacional,27.3,Uruguay,Octavos,2,2,5,48.0,16.5,8,bueno,0,1,100
2021,Deportivo Pasto,26.9,Colombia,Previa,2,0,6,42.5,9.5,6,malo,0,0,0
2021,Deportivo Táchira,24.8,Venezuela,Octavos,2,0,2,47.0,14.0,8,malo,7,8,12.5
2021,Nacional Potosí,29.6,Bolivia ,Previa,2,1,8,55.5,18.5,6,malo,3,4,25
2021,Palmaflor de Trópico,25.5,Bolivia ,Previa,2,0,5,50.5,13.5,6,medio,2,3,33.33333333
2021,Macará,27.1,Ecuador,Previa,2,1,7,44.0,21.0,6,bueno,1,2,50
2021,Mineros de Guayana,22.9,Venezuela,Previa,2,1,3,45.0,8.5,6,bueno,1,2,50
2021,Independiente del Valle,23.6,Ecuador,Octavos,1,1,3,56.5,12.5,8,malo,2,2,0
2021,América de Cali,25.3,Colombia ,Octavos,1,1,4,46.0,15.0,8,medio,2,3,33.33333333
2021,Cobresal,28.3,Chile ,Previa,1,1,5,46.0,13.5,6,malo,2,2,0
2021,Guayaquil City,26,Ecuador,Previa,1,1,5,54.0,14.0,6,malo,2,2,0
2021,Deportivo Cali,24.4,Colombia ,Previa,0,1,7,67.5,13.0,6,malo,0,0,0
2021,Nacional Asunción,25.3,Paraguay ,Previa,0,0,5,72.0,14.0,6,malo,1,1,0
2021,Universidad Técnica de Cajamarca,28.1,Perú ,Previa,0,2,7,49.5,22.0,6,malo,1,1,0
2021,Academia Puerto Cabello,25.2,Venezuela ,Previa,0,0,3,60.5,9.0,6,malo,3,3,0
2021,Antofagasta,25,Chile ,Previa,0,1,4,49.5,12.0,6,malo,3,3,0
2021,Fénix,26.5,Argentina,Previa,0,0,5,36.5,18.5,6,malo,3,3,0
2022,Ceará,26.4,Brasil,cuartos,4,2,28,53.4,11.2,10,medio,22,38,42.10526316
2022,Independiente,24.6,Argentina,previa,4,1,19,59.2,13.5,6,bueno,5,11,54.54545455
2022,Everton de Viña del Mar,27.3,Chile,previa,4,0,8,56.3,15,6,medio,10,15,33.33333333
2022,Racing Club,25.8,Argentina,previa,5,1,18,65.8,14,6,medio,11,14,21.42857143
2022,Independiente del Valle,23.4,Ecuador,campeon,2,2,10,53.1,9.9,7,medio,11,20,45
2022,Atletico Goianiense,23.5,Brasil,semifinal,10,2,34,47,12,12,medio,13,23,43.47826087
2022,Ñublense,26.2,Chile,previa,2,0,1,50.5,9,2,medio,5,6,16.66666667
2022,LDU,24.7,Ecuador,previa,10,0,21,56.3,12.1,6,bueno,2,9,77.77777778
2022,Internacional,26.1,Brasil,cuartos ,8,2,18,56.8,10.6,10,medio,12,17,29.41176471
2022,Fluminense,26.8,Brasil,previa,5,1,20,59.5,14.2,6,bueno,5,13,61.53846154
2022,Olimpia ,27.3,Paraguay,octavos,2,0,7,41.5,16,2,medio,3,5,40
2022,Unión,24.6,Argentina,octavos,6,3,21,46.1,13.8,8,medio,6,11,45.45454545
2022,Barcelona SC,25,Ecuador,previa,8,0,14,48.2,9.7,6,medio,10,16,37.5
2022,América de Cali,25.3,Colombia,previa,3,0,1,55,13,2,bueno,1,3,66.66666667
2022,Sao Paulo,24.4,Brasil,final,13,6,32,56.6,12.8,14,bueno,11,23,52.17391304
2022,Lanús ,26.1,Argentina,octavos,6,0,21,52.1,13,8,medio,7,11,36.36363636
2022,Melgar,25,Perú,semifinal,14,1,33,53,12.4,12,medio,20,31,35.48387097
2022,Cienciano,26.6,Perú,previa,2,0,8,45.5,11,2,medio,2,2,0
2022,Santos,24.6,Brasil,octavos,7,3,22,48.3,12.8,8,medio,10,16,37.5
2022,Union Española,24.3,Chile,previa,2,0,4,60,12,2,medio,2,3,33.33333333
2022,Montevideo Wanderes,24.8,Uruguay,previa,8,1,18,48.1,10.6,6,bueno,5,12,58.33333333
2022,Universidad Católica del Ecuador,26.7,Ecuador,previa,8,1,15,55.3,12.2,6,medio,5,9,44.44444444
2022,Nacional Asunción,25.3,Paraguay,previa,1,0,5,67.5,15,2,medio,2,2,0
2022,Junior Barranquilla,28.9,Barranquilla,previa,9,1,27,53,16,6,medio,10,19,47.36842105
2022,Unión La calera,25.3,Chile,previa,5,1,23,48.9,15,6,medio,7,11,36.36363636
2022,Independiente Medellin,25.7,Colombia,previa,14,1,15,55.4,13.8,6,medio,11,16,31.25
2022,Metropolitanos,24.9,Venezuela,previa,6,3,22,50.1,14,6,medio,8,13,38.46153846
2022,Defensa y Justicia,23.6,Argentina,previa,11,0,15,56.7,10.7,2,medio,8,13,38.46153846
2022,River Plate UY,25.4,Uruguay,previa,8,1,23,37.8,11.1,6,medio,8,13,38.46153846
2022,Ayacucho,22.3,Ayacucho,previa,11,2,24,39.1,15,6,medio,13,20,35
2022,Guaireña,27.7,Paraguay,previa,8,1,25,31.5,13.8,6,medio,12,19,36.84210526
2022,Cuiabá,25.1,Brasil,previa,10,0,14,46.2,11.2,6,bueno,3,9,66.66666667
2022,Deportivo La Guaira,23.5,Venezuela,previa,15,0,18,48.5,10.6,6,bueno,2,5,60
2022,Banfield,26.2,Argentina,previa,6,4,16,49.3,14.8,6,medio,6,6,0
2022,CD Hermanos Colmenarez,25.2,Venezuela,previa,3,0,4,44.5,8,2,medio,3,5,40
2022,Delfín,24.2,Ecuador,previa,3,0,5,54.5,12,2,bueno,1,2,50
2022,Antofagasta,25.2,Chile,previa,13,2,30,40.3,16.4,6,medio,8,14,42.85714286
2022,Nacional ,24.1,Paraguay,cuartos,5,0,11,55,11.8,6,medio,5,6,16.66666667
2022,Cerro Largo,26,Uruguay,previa,3,0,8,44,14.5,2,bueno,1,2,50
2022,Sport Boys,27.2,Perú,previa,4,1,4,62,12.5,2,bueno,1,3,66.66666667
2022,Guabirá,26.2,Bolivia,previa,4,0,4,42.5,16,2,bueno,2,4,50
2022,Jorge Wilstermann,27.4,Bolivia,previa,14,1,19,43.6,11.1,2,medio,10,14,28.57142857
2022,9 de Octubre,26.6,Ecuador,previa,16,1,25,47.3,12.4,6,bueno,4,9,55.55555556
2022,Deportivo La Equidad,26.7,Colombia,previa,3,0,7,49,18.5,2,medio,0,0,0
2022,Liverpool UY,22.2,Uruguay,previa,3,3,5,58,13,2,medio,6,6,0
2022,General Caballero ,24.8,Paraguay,previa,16,0,24,38.9,13.8,8,medio,4,7,42.85714286
