,,Edad,Sexo,Ciclo ,Carrera,¿Su familia posee alguna empresa en la que usted pueda trabajar en un futuro?,¿Tiene pensado trabajar en una empresa o formar su propia empresa?,¿Planeas trabajar en el país o ir al extranjero?,¿En qué sector laboral esperas trabajar ? ,¿Estás interesado en llevar una especialización en empresas?,¿Cuál es su expectativa salarial teniendo como mínimo S/.1025 y como máximo S/.6500 soles? (coloque su respuesta solo números ejemplo: 2500)
,,18,Masculino,3,Ingeniería Química,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,3500
,,18,Masculino,3,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,3500
,,19,Masculino,4,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,3000
,,20,Masculino,3,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4500
,,19,Masculino,4,Ingeniería Civil,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,21,Masculino,7,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,3000
,,20,Masculino,7,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,3000
,,18,Masculino,3,Ingeniería Civil,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4000
,,18,Masculino,2,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,3500
,,22,Masculino,5,Ingeniería Electrónica,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,1800
,,19,Femenino,3,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,4000
,,18,Masculino,1,Ingeniería Mecánica,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,20,Masculino,4,Ciencia de la Computación,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,19,Masculino,3,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4000
,,18,Masculino,3,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,19,Femenino,5,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,3650
,,21,Masculino,9,Ingeniería Química,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,4600
,,19,Masculino,5,Ciencia de Datos,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,5555
,,20,Femenino,6,Bioingeniería,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),Sí,3550
,,22,Femenino,9,Ingeniería Ambiental,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,3200
,,20,Femenino,5,Administración & Negocios Digitales,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,3000
,,20,Masculino,3,Ingeniería Mecánica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,3500
,,19,Femenino,5,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4320
,,20,Masculino,7,Ingeniería Electrónica,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,3400
,,18,Femenino,1,Ingeniería Civil,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,4000
,,20,Masculino,5,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,3600
,,18,Masculino,1,Ingeniería de la Energía,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,4000
,,19,Femenino,5,Ingeniería Ambiental,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,3800
,,22,Masculino,8,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,4600
,,21,Femenino,8,Administración & Negocios Digitales,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,3950
,,22,Masculino,10,Administración & Negocios Digitales,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6200
,,19,Masculino,5,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5500
,,21,Femenino,9,Ingeniería Química,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4300
,,19,Femenino,4,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,2600
,,18,Masculino,2,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,2400
,,19,Femenino,4,Ciencia de Datos,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4500
,,18,Femenino,3,Ingeniería de la Energía,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,3900
,,20,Masculino,7,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,6300
,,18,Masculino,3,Ingeniería Civil,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4200
,,18,Femenino,3,Administración & Negocios Digitales,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5600
,,19,Masculino,4,Ingeniería Electrónica,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,3600
,,20,Femenino,8,Bioingeniería,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),No,6000
,,19,Femenino,5,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,17,Masculino,1,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,6000
,,20,Femenino,8,Bioingeniería,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4000
,,18,Masculino,4,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4200
,,19,Femenino,6,Ingeniería Química,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,2600
,,17,Femenino,2,Administración & Negocios Digitales,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,3900
,,20,Femenino,8,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),No,5200
,,19,Masculino,6,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),No,6000
,,21,Masculino,8,Bioingeniería,"No, no tenemos una empresa",Formar empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,6400
,,18,Femenino,3,Ingeniería de la Energía,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5600
,,20,Masculino,7,Ciencia de Datos,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,6500
,,20,Masculino,7,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5000
,,21,Femenino,7,Bioingeniería,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,6200
,,22,Masculino,10,Ingeniería Electrónica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5800
,,17,Masculino,1,Ciencia de Datos,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4800
,,18,Femenino,3,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,3500
,,18,Masculino,1,Ingeniería Electrónica,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,5900
,,24,Femenino,7,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,3200
,,20,Femenino,5,Ingeniería Química,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,2800
,,21,Femenino,8,Bioingeniería,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,4500
,,20,Femenino,5,Bioingeniería,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,22,Femenino,6,Ingeniería Civil,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5500
,,23,Femenino,8,Ingeniería de la Energía,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),Sí,6000
,,23,Femenino,9,Ingeniería Electrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,20,Femenino,7,Ingeniería Industrial,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6500
,,19,Femenino,4,Ingeniería Electrónica,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,4500
,,17,Femenino,2,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,3500
,,21,Femenino,5,Bioingeniería,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),Sí,4000
,,20,Femenino,5,Ingeniería Ambiental,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),Sí,4500
,,21,Femenino,3,Ingeniería Mecánica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4750
,,20,Femenino,5,Ingeniería Química,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,4800
,,22,Masculino,4,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),No,6500
,,25,Masculino,8,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),Sí,6500
,,22,Femenino,4,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,19,Masculino,5,Ingeniería de la Energía,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,2350
,,18,Femenino,3,Ingeniería Química,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),Sí,3200
,,18,Femenino,2,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6000
,,21,Masculino,8,Ingeniería Mecatrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4500
,,20,Masculino,6,Ingeniería Electrónica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4500
,,22,Masculino,9,Ingeniería Industrial,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6500
,,"18,5",Femenino,4,Bioingeniería,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,3200
,,21,Masculino,4,Ingeniería Mecánica,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5400
,,20,Femenino,5,Bioingeniería,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6300
,,21,Masculino,5,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,17,Masculino,1,Ingeniería Química,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,3000
,,18,Femenino,3,Ingeniería Civil,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,1025
,,22,Masculino,10,Ingeniería Mecatrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,5400
,,19,Masculino,4,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5600
,,20,Masculino,6,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,6200
,,19,Masculino,5,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4800
,,25,Femenino,7,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6500
,,19,Masculino,4,Ingeniería Civil,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,19,Femenino,4,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,3800
,,18,Masculino,4,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6000
,,17,Masculino,1,Ingeniería Civil,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6000
,,19,Femenino,6,Ingeniería Ambiental,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,5500
,,22,Masculino,10,Ingeniería Mecatrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,4500
,,21,Masculino,3,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,4577
,,19,Masculino,1,Ingeniería Ambiental,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,6000
,,18,Femenino,4,Ciencia de la Computación,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,5000
,,20,Masculino,6,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),No,6200
,,21,Masculino,2,Ingeniería Mecánica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,6400
,,24,Femenino,10,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6500
,,18,Masculino,2,Ingeniería de la Energía,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4500
,,19,Masculino,6,Ingeniería Mecatrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6500
,,21,Masculino,2,Ingeniería Civil,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4567
,,22,Masculino,3,Ingeniería Electrónica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,2222
,,20,Masculino,6,Bioingeniería,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,3500
,,20,Masculino,3,Ingeniería Electrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,17,Masculino,1,Ingeniería de la Energía,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,3000
,,18,Femenino,1,Ingeniería Electrónica,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,18,Femenino,3,Ingeniería Química,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,5000
,,18,Femenino,3,Ingeniería Mecatrónica,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6000
,,22,Masculino,7,Ciencia de la Computación,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6500
,,18,Masculino,2,Administración & Negocios Digitales,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,25,Masculino,10,Ingeniería Mecánica,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,5600
,,21,Femenino,8,Ingeniería Mecatrónica,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,6500
,,17-22,Masculino,2,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,4500
,,19,Masculino,3,Ingeniería Química,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6500
,,19,Masculino,7,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4500
,,18,Masculino,3,Ingeniería Industrial,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4500
,,20,Femenino,6,Ingeniería de la Energía,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),Sí,6300
,,19,Femenino,5,Ingeniería Civil,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6500
,,21,Masculino,6,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,4500
,,24,Masculino,9,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6250
,,18,Masculino,1,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4900
,,20,Masculino,6,Ingeniería Industrial,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5200
,,19,Femenino,3,Ingeniería Ambiental,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6000
,,18,Masculino,2,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4500
,,23,Masculino,7,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),No,6500
,,20,Femenino,4,Ingeniería Electrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,25,Femenino,7,Ingeniería Ambiental,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,6500
,,25,Femenino,9,Ingeniería Ambiental,"No, no tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Público (Empresas Públicas / Ministerios),Sí,6500
,,17,Femenino,1,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,3800
,,18,Masculino,1,Ciencia de Datos,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4200
,,19,Femenino,5,Bioingeniería,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4800
,,23,Masculino,9,Ciencia de la Computación,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6200
,,20,Masculino,8,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6500
,,18,Masculino,2,Ingeniería Civil,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4900
,,21,Masculino,7,Administración & Negocios Digitales,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,3900
,,21,Masculino,5,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,6300
,,24,Femenino,9,Ingeniería Química,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6500
,,21,Masculino,7,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6500
,,19,Masculino,4,Ingeniería Mecánica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4600
,,20,Masculino,5,Ciencia de la Computación,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6300
,,21,Femenino,7,Ingeniería Electrónica,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,5000
,,23,Masculino,9,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,6400
,,20,Masculino,6,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,3500
,,17,Femenino,1,Bioingeniería,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,20,Masculino,6,Ingeniería Industrial,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6200
,,25,Masculino,9,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,21,Femenino,7,Ingeniería Ambiental,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4800
,,19,Femenino,5,Ingeniería Civil,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,4900
,,20,Masculino,5,Ciencia de la Computación,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,6500
,,21,Masculino,6,Administración & Negocios Digitales,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),Sí,5800
,,17,Masculino,2,Administración & Negocios Digitales,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,3200
,,20,Femenino,5,Ingeniería Ambiental,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4900
,,21,Masculino,5,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4950
,,18,Femenino,3,Ciencia de la Computación,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,5000
,,20,Femenino,5,Ciencia de la Computación,"No, no tenemos una empresa",Formar empresa,Perú,Sector Público (Empresas Públicas / Ministerios),No,6300
,,19,Femenino,4,Ciencia de la Computación,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6200
,,18,Masculino,2,Ingeniería Electrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6300
,,20,Masculino,5,Ciencia de la Computación,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6000
,,20,Femenino,5,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6400
,,20,Masculino,4,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,6500
,,18,Masculino,2,Ingeniería Electrónica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,4800
,,20,Masculino,5,Ciencia de la Computación,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4900
,,23,Masculino,9,Ingeniería Industrial,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,5900
,,18,Femenino,2,Administración & Negocios Digitales,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4900
,,21,Masculino,3,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6500
,,21,Masculino,4,Ingeniería Civil,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,5600
,,18,Masculino,3,Ingeniería Mecatrónica,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,4700
,,18,Femenino,2,Administración & Negocios Digitales,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,4900
,,19,Masculino,3,Administración & Negocios Digitales,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6200
