,Marca temporal,Sexo,Edad,Ciclo académico que se encuentra cursando,Carrera,¿Cómo sueles sentirte en verano?,¿Cómo sueles sentirte en otoño?,¿Cómo sueles sentirte en invierno?,¿Cómo sueles sentirte en primavera?,Preferencia climática,¿Consideras que el clima afecta tu rendimiento académico?,¿Prefieres estudiar en un ambiente más cálido o más frío?,¿Cuál fue tu promedio ponderado del ciclo regular 2022-1? Colocar respuesta en decimales. Usa punto decimal(.),¿Cuál fue tu promedio ponderado del ciclo regular 2022-2? Colocar respuesta en decimales. Usa punto decimal(.),"¿Has considerado cambiar tu rutina de estudio en función de las condiciones climáticas?
",¿Realizas alguna actividad específica para adaptarte al clima y poder estudiar con mayor comodidad?,¿Estudiaste en la Universidad durante verano?,¿Cuál fue tu promedio ponderado en el ciclo verano? Colocar respuesta en decimales. Usa punto decimal(.),¿Cuántas horas sueles estudiar en un día soleado?,¿Cuántas horas sueles estudiar en un día lluvioso?,¿Cuántas horas sueles estudiar en un día templado?,¿Cuántas horas sueles estudiar en un día frío?,¿Cómo sueles estar de humor en un día lluvioso?,¿Cómo sueles estar de humor en un día frío?,¿Cómo sueles estar de humor en un día templado?,¿Cómo sueles estar de humor en un día soleado?,¿Qué actividad deportiva realizas mas en temporadas primaveral-soleado?,¿Qué actividad deportiva realizas más en temporadas templados-frios ?,¿Que actividad recreativa realizas mas en temporadas primaveral-soleado?,¿Que actividad recreativa realizas mas en temporadas templados-frio?,¿Crees que la universidad debería tomarle importancia al impacto del climatico en el bienestar académico y emocional de sus estudiantes?
,5/2/23 13:14,F(Femenino),21,5,Ciencia de la computación,Alegre,Calmado,Triste,Calmado,Templado,Si,Calido,,,Sí,No,no,,2,0,3,0,4,4,5,2,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/2/23 13:17,F(Femenino),17,3,Ciencia de Datos,Alegre,Calmado,Alegre,Alegre,Templado,Si,Frio,"16,34","14,78",Sí,Sí,si,"17,36",1,4,5,5,4,4,5,1,Natación,Otros,Otros,Monopoly,Sí
,5/2/23 13:43,M( Masculino),18,5,Ciencia de la computación,Alegre,Calmado,Calmado,Alegre,Tropical,Si,Frio,"15,01","14,01",Sí,Sí,no,,Más de 5,Más de 5,Más de 5,Más de 5,5,3,4,5,No hago deporte,No hago deporte,Juegos de cartas,Ajedrez,Sí
,5/2/23 13:49,M( Masculino),20,6,Ciencia de la computación,Calmado,Alegre,Alegre,Calmado,Templado,Si,Frio,"13,5",15,Sí,Sí,no,,1,2,2,2,4,4,5,2,No hago deporte,No hago deporte,Futbolito,Futbolito,Sí
,5/2/23 13:54,M( Masculino),17,1,Ingeniería civil,Calmado,Calmado,Calmado,Calmado,Frio,No,Frio,15,15,No,No,no,,2,3,3,3,3,3,4,3,Natación,Ciclismo,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/2/23 13:56,M( Masculino),18,1,Ingeniería mecánica,Alegre,Calmado,Calmado,Alegre,Templado,No,Calido,18,20,Sí,Sí,si,16,3,4,4,2,4,3,5,3,Basket,Atletismo,Otros,Futbolito,Sí
,5/2/23 13:58,F(Femenino),17,3,Bioingenieria,Triste,Triste,Triste,Triste,Frio,No,Frio,"12,26","12,5",Sí,No,no,,3,4,4,5,3,5,4,1,Natación,No hago deporte,No realizo actividad recreativa,Monopoly,Sí
,5/2/23 13:59,M( Masculino),17,1,Ingeniería civil,Enfadado,Triste,Alegre,Alegre,Frio,Si,Frio,,,Sí,Sí,no,,0,4,1,4,5,5,1,1,Fútbol,Fútbol,Futbolito,Futbolito,Sí
,5/2/23 14:31,M( Masculino),16,4,Ingeniería industrial,Calmado,Calmado,Alegre,Alegre,Frio,No,Frio,"12,7","13,2",Sí,Sí,si,"12,4",2,4,2,4,4,4,3,3,Otros,Otros,Otros,Otros,Sí
,5/2/23 14:57,M( Masculino),18,5,Ciencia de la computación,Alegre,Calmado,Calmado,Alegre,Templado,No,Calido,"17,2","16,5",No,No,no,,2,4,3,3,3,3,5,3,Natación,Natación,Juegos de cartas,Juegos de cartas,Sí
,5/2/23 14:58,M( Masculino),20,7,Ingeniería de la energía,Triste,Calmado,Alegre,Calmado,Frio,Si,Frio,"14,4","14,8",No,No,si,14,2,2,2,2,3,4,4,2,Artes marciales,Artes marciales,Futbolito,Futbolito,No
,5/2/23 15:02,M( Masculino),18,3,Ciencia de la computación,Triste,Triste,Alegre,Alegre,Frio,Si,Frio,17,"17,5",No,Sí,no,,1,2,1,2,4,4,4,2,Atletismo,Atletismo,Ajedrez,Ajedrez,Sí
,5/2/23 15:02,M( Masculino),19,3,Ciencia de la computación,Alegre,Enfadado,Triste,Calmado,Templado,Si,Calido,15,"15,17",No,No,no,,1,4,3,1,3,3,4,5,Basket,Fútbol,No realizo actividad recreativa,Monopoly,No
,5/2/23 15:04,M( Masculino),19,3,Ciencia de la computación,Enfadado,Calmado,Alegre,Calmado,Frio,Si,Frio,"12,3","12,5",Sí,Sí,si,15,4,Más de 5,3,Más de 5,5,5,3,2,Basket,Basket,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/2/23 15:04,M( Masculino),21,7,Ciencia de la computación,Calmado,Triste,Alegre,Alegre,Frio,Si,Frio,14,13,Sí,Sí,no,,3,5,3,5,5,4,3,3,Natación,Basket,Otros,Ajedrez,Sí
,5/2/23 15:07,M( Masculino),21,8,Ingeniería civil,Calmado,Triste,Triste,Calmado,Seco,Si,Calido,"14,9",0,Sí,No,no,,3,3,3,3,3,2,3,3,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/2/23 15:14,M( Masculino),18,3,Ciencia de la computación,Calmado,Alegre,Triste,Alegre,Frio,No,Frio,"15,8","13,4",Sí,Sí,no,,2,3,3,3,2,4,2,2,No hago deporte,No hago deporte,Ajedrez,Bingo,Sí
,5/2/23 15:29,F(Femenino),18,2,Ingeniería industrial,Triste,Calmado,Alegre,Triste,Frio,Si,Frio,,"14,3",Sí,Sí,si,13,1,3,0,4,5,5,3,1,Natación,Atletismo,Bingo,Futbolito,Sí
,5/2/23 16:17,M( Masculino),19,6,Ingeniería civil,Calmado,Calmado,Calmado,Calmado,Templado,Si,Frio,"14,5",15,No,No,no,,1,1,1,1,3,3,3,3,No hago deporte,No hago deporte,Otros,No realizo actividad recreativa,Sí
,5/2/23 16:36,F(Femenino),23,4,Ciencia de la computación,Alegre,Alegre,Alegre,Alegre,Frio,No,Frio,,,No,Sí,no,,5,Más de 5,Más de 5,Más de 5,5,5,5,4,No hago deporte,Atletismo,Juegos de cartas,Juegos de cartas,Sí
,5/2/23 16:45,F(Femenino),23,4,Ingeniería industrial,Alegre,Calmado,Calmado,Calmado,Templado,Si,Calido,14,"13,5",Sí,No,si,16,4,4,3,2,5,3,5,2,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/2/23 18:31,M( Masculino),18,3,Ciencia de Datos,Calmado,Calmado,Calmado,Calmado,Templado,No,Calido,"12,8","14,8",No,No,si,"14,66",2,4,Más de 5,3,4,3,5,3,Otros,Otros,Ajedrez,Ajedrez,Sí
,5/2/23 20:21,M( Masculino),22,7,Ingeniería civil,Calmado,Calmado,Calmado,Calmado,Templado,Si,Frio,"14,23","15,64",Sí,Sí,no,,4,5,Más de 5,5,5,4,5,3,Otros,Otros,Otros,Otros,Sí
,5/2/23 23:33,F(Femenino),20,6,Bioingenieria,Alegre,Triste,Alegre,Enfadado,Templado,Si,Calido,"11,5","15,8",Sí,Sí,no,,3,5,5,5,4,2,4,4,Basket,Atletismo,Ajedrez,Puzzles,Sí
,5/3/23 1:55,M( Masculino),19,4,Ciencia de Datos,Alegre,Enfadado,Alegre,Calmado,Tropical,Si,Calido,"14,5","11,6",Sí,Sí,no,,2,5,Más de 5,3,5,4,5,4,Natación,Basket,No realizo actividad recreativa,Monopoly,Sí
,5/3/23 9:12,M( Masculino),19,5,Ciencia de la computación,Enfadado,Enfadado,Enfadado,Enfadado,Frio,Si,Frio,"19,9","19,9",Sí,Sí,no,,Más de 5,Más de 5,Más de 5,Más de 5,1,1,1,1,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 10:39,M( Masculino),19,3,Ciencia de Datos,Enfadado,Calmado,Calmado,Alegre,Templado,Si,Frio,"16,5","14,7",No,Sí,si,16,3,5,5,5,3,3,4,2,Fútbol,Fútbol,Otros,Otros,Sí
,5/3/23 10:40,F(Femenino),21,7,Ingeniería industrial,Enfadado,Alegre,Calmado,Alegre,Templado,Si,Frio,"17,5","17,83",No,No,no,,2,4,5,5,4,4,4,3,Natación,Otros,Ajedrez,Otros,Sí
,5/3/23 10:44,M( Masculino),20,3,Ciencia de la computación,Calmado,Calmado,Calmado,Calmado,Frio,Si,Frio,"15,24","14,65",Sí,No,si,"15,87",2,5,4,4,5,4,4,1,Natación,Tenis,Futbolito,Juegos de cartas,Sí
,5/3/23 10:46,M( Masculino),18,3,Ciencia de la computación,Enfadado,Alegre,Alegre,Alegre,Frio,Si,Frio,13,13,Sí,Sí,no,,2,5,3,Más de 5,5,5,4,1,Natación,Atletismo,Otros,Otros,Sí
,5/3/23 10:48,M( Masculino),18,3,Ciencia de la computación,Enfadado,Triste,Alegre,Alegre,Frio,Si,Frio,13,13,Sí,No,si,13,1,3,3,5,4,5,3,1,Natación,Atletismo,Futbolito,Futbolito,Sí
,5/3/23 11:05,M( Masculino),22,3,Ingeniería electrónica,Calmado,Triste,Alegre,Calmado,Frio,Si,Frio,"13,5","14,3",Sí,No,no,,2,4,3,5,3,4,3,2,Otros,Fútbol,Futbolito,Puzzles,Sí
,5/3/23 11:09,M( Masculino),20,4,Ciencia de Datos,Alegre,Alegre,Alegre,Alegre,Templado,No,Frio,"14,8","14,3",No,No,si,16,3,3,4,3,4,4,5,4,Tenis,Tenis,Ajedrez,Ajedrez,No
,5/3/23 11:13,F(Femenino),19,4,Ingeniería civil,Alegre,Alegre,Alegre,Alegre,Templado,Si,Calido,"14,45","13,34",Sí,No,no,,4,4,5,5,4,4,5,3,Ciclismo,No hago deporte,Ajedrez,No realizo actividad recreativa,Sí
,5/3/23 11:38,F(Femenino),18,3,Bioingenieria,Alegre,Calmado,Calmado,Calmado,Templado,No,Frio,"18,1","18,3",No,No,si,19,1,2,2,3,4,4,5,3,Otros,Otros,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 11:40,F(Femenino),21,8,Ingeniería industrial,Calmado,Alegre,Alegre,Calmado,Frio,Si,Frio,"14,5","15,5",Sí,Sí,si,"15,1",3,Más de 5,4,Más de 5,5,5,4,3,No hago deporte,Otros,Otros,Otros,Sí
,5/3/23 11:40,M( Masculino),18,3,Ciencia de la computación,Calmado,Calmado,Alegre,Alegre,Templado,No,Frio,15,"14,5",No,No,si,19,2,4,3,3,5,4,5,3,Fútbol,Fútbol,Otros,Otros,Sí
,5/3/23 11:42,M( Masculino),20,9,Ingeniería mecánica,Enfadado,Alegre,Alegre,Calmado,Frio,Si,Frio,15,12,No,No,no,,2,3,2,5,4,5,3,1,Natación,Natación,Otros,Otros,Sí
,5/3/23 11:43,F(Femenino),23,10,Ciencia de la computación,Enfadado,Alegre,Triste,Alegre,Templado,Si,Frio,"19,27","19,12",Sí,Sí,no,,2,5,3,5,4,3,5,2,No hago deporte,Otros,Juegos de cartas,No realizo actividad recreativa,Sí
,5/3/23 11:43,M( Masculino),21,9,Ingeniería mecatrónica,Alegre,Calmado,Calmado,Calmado,Templado,No,Frio,14,15,No,No,no,,3,3,3,3,4,4,4,4,Natación,Fútbol,Otros,Otros,Sí
,5/3/23 11:48,M( Masculino),18,4,Ingeniería electrónica,Alegre,Alegre,Alegre,Alegre,Templado,No,Calido,"15,5","16,5",Sí,Sí,si,16,4,4,4,4,5,5,5,5,Natación,Natación,Ajedrez,Juegos de Dominó,Sí
,5/3/23 11:52,F(Femenino),20,2,Ingeniería industrial,Calmado,Calmado,Calmado,Alegre,Tropical,No,Calido,0,"15,68",No,No,no,,Más de 5,Más de 5,Más de 5,Más de 5,3,3,3,3,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,No
,5/3/23 11:53,F(Femenino),18,2,Ingeniería industrial,Calmado,Alegre,Alegre,Alegre,Templado,Si,Calido,,17,No,No,no,,4,2,2,4,4,3,3,3,No hago deporte,No hago deporte,Juegos de Dominó,Juegos de cartas,Sí
,5/3/23 11:54,M( Masculino),18,3,Ciencia de Datos,Calmado,Enfadado,Alegre,Alegre,Templado,Si,Calido,"15,4","14,3",Sí,No,si,"15,3",Más de 5,5,5,4,4,4,4,4,Fútbol,Fútbol,Monopoly,Juegos de cartas,Sí
,5/3/23 12:01,M( Masculino),18,3,Ingeniería industrial,Alegre,Calmado,Alegre,Calmado,Frio,Si,Frio,15,"12,5",Sí,Sí,si,13,4,3,4,5,3,4,4,3,Otros,Otros,Ajedrez,Ajedrez,Sí
,5/3/23 12:02,M( Masculino),17,3,Ciencia de Datos,Calmado,Calmado,Calmado,Alegre,Frio,No,Frio,"13,21","15,68",No,No,si,"14,3",1,2,3,4,4,5,3,2,Artes marciales,Otros,Otros,Otros,Sí
,5/3/23 12:06,F(Femenino),22,4,Ingeniería ambiental,Alegre,Calmado,Triste,Alegre,Templado,No,Frio,"14,74","14,45",No,Sí,no,,3,5,Más de 5,3,4,3,3,3,Atletismo,Atletismo,Juegos de cartas,Bingo,No
,5/3/23 12:08,F(Femenino),19,5,Ciencia de la computación,Calmado,Calmado,Triste,Alegre,Tropical,No,Calido,14,14,Sí,No,no,,4,4,4,4,3,3,3,3,Natación,Otros,Monopoly,Puzzles,Sí
,5/3/23 12:09,F(Femenino),20,4,Ciencia de la computación,Enfadado,Alegre,Alegre,Triste,Frio,Si,Frio,0,0,Sí,No,no,,0,4,0,Más de 5,5,5,3,1,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 12:11,M( Masculino),20,4,Ingeniería Química,Alegre,Alegre,Triste,Alegre,Frio,No,Frio,"16,05","15,85",No,No,si,"16,95",3,3,3,3,4,4,4,4,Artes marciales,Artes marciales,Juegos de cartas,Juegos de Dominó,Sí
,5/3/23 12:16,F(Femenino),20,4,Ingeniería civil,Alegre,Alegre,Alegre,Alegre,Frio,No,Frio,"15,45","16,45",No,No,no,,4,4,4,4,5,5,5,3,Otros,Tenis,Otros,Otros,Sí
,5/3/23 12:17,M( Masculino),21,4,Ingeniería civil,Alegre,Alegre,Alegre,Calmado,Templado,Si,Calido,"15,33","14,28",Sí,No,no,,5,5,Más de 5,3,5,3,5,2,Otros,Otros,Juegos de cartas,Otros,Sí
,5/3/23 12:35,M( Masculino),21,6,Ingeniería mecánica,Alegre,Alegre,Alegre,Alegre,Frio,No,Calido,14,16,Sí,Sí,si,18,4,4,4,4,4,4,4,4,Fútbol,Fútbol,Otros,Ajedrez,Sí
,5/3/23 12:45,M( Masculino),18,3,Ciencia de la computación,Alegre,Triste,Triste,Calmado,Tropical,Si,Calido,13,11,No,No,no,,4,2,5,1,3,1,4,5,Tenis,Atletismo,Monopoly,Monopoly,Sí
,5/3/23 13:15,M( Masculino),18,3,Ciencia de la computación,Enfadado,Alegre,Calmado,Alegre,Frio,Si,Frio,"14,8","15,93",No,No,si,"12,6",1,3,1,2,5,5,4,1,Natación,Natación,Otros,Otros,Sí
,5/3/23 14:01,F(Femenino),18,3,Ingeniería Química,Alegre,Enfadado,Triste,Alegre,Tropical,No,Calido,14,14,No,Sí,si,15,4,3,2,1,1,2,3,3,Fútbol,Fútbol,Bingo,Ajedrez,Sí
,5/3/23 15:00,F(Femenino),18,3,Ciencia de la computación,Alegre,Alegre,Alegre,Alegre,Frio,Si,Frio,"17,55","17,25",Sí,Sí,si,"17,5",2,4,3,4,5,5,5,4,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 15:01,M( Masculino),20,2,Ingeniería ambiental,Triste,Triste,Triste,Triste,Frio,Si,Frio,,"14,6",Sí,Sí,si,19,4,Más de 5,5,Más de 5,5,5,2,2,No hago deporte,No hago deporte,Juegos de cartas,Juegos de cartas,Sí
,5/3/23 15:01,M( Masculino),20,3,Ciencia de la computación,Calmado,Calmado,Calmado,Calmado,Templado,No,Frio,"18,75","18,01",No,No,si,"19,2",2,3,3,3,3,3,3,3,Fútbol,Fútbol,Futbolito,Futbolito,Sí
,5/3/23 15:02,M( Masculino),18,3,Ciencia de la computación,Calmado,Calmado,Alegre,Calmado,Frio,Si,Frio,"14,5",15,Sí,Sí,si,16,2,4,4,4,4,4,4,2,No hago deporte,No hago deporte,Otros,Otros,Sí
,5/3/23 15:02,M( Masculino),mas de 24,3,Ciencia de la computación,Enfadado,Calmado,Alegre,Alegre,Frio,Si,Frio,18,"17,88",No,Sí,si,18,0,Más de 5,5,Más de 5,5,5,5,1,No hago deporte,No hago deporte,Otros,Otros,Sí
,5/3/23 15:02,M( Masculino),18,3,Administración y negocios digitales,Alegre,Alegre,Triste,Calmado,Templado,No,Calido,15,14,Sí,Sí,si,12,1,4,2,3,3,3,3,2,Otros,Otros,Juegos de Dominó,Otros,Sí
,5/3/23 15:02,F(Femenino),18,3,Bioingenieria,Triste,Triste,Triste,Triste,Frio,No,Frio,"13,5","12,3",No,No,no,,1,3,2,4,3,4,4,1,No hago deporte,No hago deporte,Otros,Otros,Sí
,5/3/23 15:04,F(Femenino),18,3,Bioingenieria,Enfadado,Calmado,Alegre,Calmado,Frio,No,Frio,"13,45","14,34",No,No,si,"13,45",4,4,3,5,5,5,3,2,Artes marciales,Artes marciales,Otros,Otros,Sí
,5/3/23 15:06,M( Masculino),18,2,Ingeniería mecatrónica,Alegre,Calmado,Calmado,Calmado,Templado,Si,Calido,0,"15,5",No,No,no,,2,4,3,2,3,3,3,2,Basket,No hago deporte,Juegos de cartas,Futbolito,No
,5/3/23 15:09,F(Femenino),19,2,Ingeniería civil,Enfadado,Alegre,Alegre,Calmado,Frio,Si,Frio,0,"17,45",Sí,No,no,,1,4,3,4,5,5,4,1,No hago deporte,Ciclismo,No realizo actividad recreativa,Juegos de cartas,Sí
,5/3/23 15:10,F(Femenino),19,4,Ingeniería industrial,Alegre,Alegre,Triste,Alegre,Frio,No,Frio,"16,75",15,No,No,no,,3,Más de 5,3,4,4,4,4,3,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 15:17,M( Masculino),23,7,Ingeniería de la energía,Calmado,Calmado,Calmado,Calmado,Frio,Si,Frio,"14,9","14,98",No,No,si,0,2,2,2,2,5,5,5,5,Otros,Otros,Otros,Otros,Sí
,5/3/23 15:19,F(Femenino),20,6,Ingeniería civil,Enfadado,Alegre,Alegre,Calmado,Frio,No,Frio,"16,79","15,1",No,No,si,"17,5",5,5,5,5,5,5,5,2,No hago deporte,No hago deporte,Monopoly,,No
,5/3/23 15:19,M( Masculino),20,6,Ingeniería civil,Enfadado,Triste,Triste,Triste,Frio,Si,Frio,"15,74","14,62",No,Sí,si,16,2,5,5,3,3,3,3,3,Basket,Basket,Futbolito,Futbolito,Sí
,5/3/23 15:20,F(Femenino),20,4,Ingeniería ambiental,Enfadado,Alegre,Alegre,Calmado,Frio,No,Frio,15,14,No,No,no,,3,3,2,2,3,4,4,1,No hago deporte,No hago deporte,Juegos de cartas,Bingo,Sí
,5/3/23 15:23,F(Femenino),20,4,Ingeniería industrial,Alegre,Triste,Enfadado,Alegre,Seco,Si,Calido,14,14,No,Sí,no,,Más de 5,4,Más de 5,3,2,3,3,4,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 16:03,M( Masculino),21,4,Ingeniería industrial,Alegre,Alegre,Alegre,Alegre,Tropical,No,Calido,"14,3","13,6",Sí,No,si,"13,6",4,4,4,3,4,3,3,3,No hago deporte,No hago deporte,Otros,Otros,Sí
,5/3/23 16:08,F(Femenino),20,4,Ingeniería industrial,Calmado,Alegre,Alegre,Alegre,Templado,Si,Calido,14,13,Sí,No,si,"15,67",3,2,4,3,3,4,5,2,Fútbol,No hago deporte,Monopoly,Otros,Sí
,5/3/23 16:16,M( Masculino),21,7,Ingeniería civil,Calmado,Alegre,Calmado,Alegre,Templado,No,Calido,"14,6","13,3",No,Sí,no,,3,2,3,2,3,4,4,3,No hago deporte,No hago deporte,Ajedrez,Ajedrez,Sí
,5/3/23 16:17,M( Masculino),23,10,Ingeniería civil,Alegre,Triste,Triste,Alegre,Tropical,Si,Calido,"14,5","15,6",Sí,Sí,si,17,3,2,4,3,2,2,4,5,Otros,No hago deporte,Futbolito,Futbolito,Sí
,5/3/23 16:18,M( Masculino),21,7,Ciencia de la computación,Alegre,Calmado,Calmado,Alegre,Frio,No,Frio,"13,5",12,No,No,si,14,3,3,4,2,4,3,4,3,Otros,Otros,Otros,Otros,No
,5/3/23 16:23,F(Femenino),19,4,Ingeniería industrial,Calmado,Calmado,Calmado,Calmado,Frio,No,Frio,14,14,No,No,no,,Más de 5,Más de 5,Más de 5,Más de 5,5,5,5,4,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 16:25,F(Femenino),18,3,Ciencia de la computación,Alegre,Enfadado,Enfadado,Alegre,Tropical,No,Calido,15,"13,4",No,No,si,"13,4",2,3,2,2,3,3,3,3,Basket,Natación,Futbolito,Juegos de cartas,Sí
,5/3/23 16:25,M( Masculino),18,3,Ciencia de Datos,Alegre,Calmado,Calmado,Calmado,Templado,No,Frio,"13,8","15,6",No,Sí,si,"16,7",2,3,2,2,3,3,3,3,Basket,Fútbol,Juegos de cartas,Juegos de cartas,No
,5/3/23 16:29,M( Masculino),23,9,Ingeniería mecánica,Calmado,Calmado,Alegre,Alegre,Frio,Si,Frio,13,14,No,No,si,16,0,0,4,4,4,5,5,2,Artes marciales,Artes marciales,Otros,Otros,Sí
,5/3/23 16:39,M( Masculino),18,3,Ciencia de la computación,Alegre,Alegre,Alegre,Alegre,Tropical,No,Calido,16,"15,5",No,No,si,15,4,4,4,4,3,3,3,3,Basket,Basket,Juegos de cartas,Juegos de cartas,No
,5/3/23 16:45,F(Femenino),20,2,Ingeniería Química,Enfadado,Alegre,Alegre,Calmado,Templado,Si,Frio,0,"14,1",Sí,No,no,,2,3,3,2,4,4,5,5,No hago deporte,No hago deporte,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/3/23 16:45,F(Femenino),18,2,Ingeniería civil,Calmado,Calmado,Calmado,Alegre,Templado,No,Frio,"13,68","13,68",No,No,si,"16,89",3,3,4,3,3,3,4,3,Natación,Otros,Otros,Otros,Sí
,5/3/23 16:47,M( Masculino),20,2,Ingeniería civil,Alegre,Alegre,Alegre,Alegre,Templado,No,Calido,0,16,No,Sí,si,0,4,3,4,4,4,4,4,4,Natación,Fútbol,Futbolito,Bingo,Sí
,5/3/23 16:47,M( Masculino),19,3,Ciencia de la computación,Calmado,Calmado,Alegre,Alegre,Frio,No,Frio,"12,88","15,79",No,No,no,,Más de 5,Más de 5,Más de 5,Más de 5,5,5,5,4,Basket,Basket,Ajedrez,Ajedrez,Sí
,5/3/23 16:47,F(Femenino),22,8,Ingeniería industrial,Alegre,Calmado,Calmado,Alegre,Templado,No,Frio,"14,88","18,45",Sí,No,si,18,2,3,4,4,5,5,5,4,No hago deporte,Fútbol,Juegos de cartas,Juegos de cartas,Sí
