Nombre del proyecto,Universidad,Área de aplicación,Número de carreras involucradas,Año de inicio,En desarrollo o culminado,Financiado por CONCYTEC/FONDYTEC,Cantidad financiada por parte de CONCYTEC/FONDYTEC,Financiado por privados,Cantidad de financiacion por privados,Financiado por universidad,Cantidad financiada por universidad,Autofinanciamiento,Total financiado,Objetivo cumplido,1-4 qué tanto se cumplieron los objetivos,AREA DE APLICACION 1,AREA DE APLICACION 2,AREA DE APLICACION 3,AREA DE APLICACION 4,AREA DE APLICACION 5,CANTIDAD DE AREAS RELACIONADAS
Optimización del diámetro de taladros en el sostenimiento de macizos rocosos con pernos de roca y sus efectos ambientales,UNMSM,Ingeniería,4,2014,Culminado,SI,987000,NO,0,SI,645200,NO,1632200,SI,4,ING. GEOLOGICA,ING. MINERA,ING. METALURGICA,ING. GEOGRAFICA,,4
Diseño de sostenimiento dinámico para mitigar los estallidos de rocas,UNMSM,Ingeniería,4,2016,Culminado,NO,0,SI,756300,SI,56230,NO,812530,SI,4,ING. GEOLOGICA,ING. MINERA,ING. METALURGICA,ING. GEOGRAFICA,,4
Identificación de precursores de hollín en procesos de combustión turbulenta por medio de modelamiento numérico para reducir el impacto del hollín en la salud y el medio ambiente,PUCP,Ingeniería,1,2020,En desarrollo,SI,349550.12,NO,0,NO,0,NO,349550.12,,,ING. MECANICA,,,,,1
Producción y caracterización electroquímica de fotoelectrodos a base de carburo de silicio amorfo hidrogenado para la producción de hidrógeno usando luz solar,PUCP,Ciencias,1,2018,Culminado,SI,400000,NO,0,NO,0,NO,400000,SI,4,FISICA,,,,,1
Síntesis de hidrogeles termosensibles a partir de surfactantes poliméricos y N-isopropilacrilamida,PUCP,Ciencias,1,2017,Culminado,NO,0,NO,0,SI,24750,NO,24750,SI,4,QUIMICA,,,,,1
"Determinacion del grosor del hueso palatino en adultos segun patron vertical, sagital y discrepancia transversal del maxilar mediante tomografia computarizada ONE-BEAM",UNMSM,Medicina,4,2020,Culminado,NO,0,NO,0,SI,294000,NO,294000,SI,4,BIOLOGIA,MEDICINA,ODONTOLOGIA,ORTODONCIA,,4
Optimización en la recuperación de zinc de minerales polimétalicos mediante el proceso de flotación en la empresa Mines and Metals Trading Perú - Huancavelica,UNMSM,Ingeniería,4,2018,Culminado,NO,0,NO,0,NO,0,SI,0,SI,3,INGENIERIA,GEOLOGIA,,,,2
Propuesta metodológica para la determinación de factores de emisión y el consumo real de combustible de vehículos livianos a gasolina bajo condiciones de manejo en Lima Metropolitana.,PUCP,Ingeniería,1,2019,En desarrollo,NO,0,NO,0,NO,0,SI,0,,,ING. AMBIENTAL,,,,,1
Desarrollo de un sensor nanoaptamérico rápido y dual para la detección del marcador tumoral CEA: un paso más hacia el diagnóstico temprano del cáncer,PUCP,Ciencias,1,2019,En desarrollo,NO,0,NO,0,NO,0,SI,0,,,ING. QUIMICA,,,,,1
Percepciones de los profesionales de salud del primer nuvel de atencion sobre las directivas y normas de manejo de anemia en menores de 3 años,UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,28000,NO,28000,NO,1,MEDICINA,,,,,1
Evaluación del potencial de desarrollo de proyectos de inyección geológica de CO2 en el Perú mediante opciones reales,PUCP,Ingeniería,3,2018,Culminado,SI,297387.4,NO,0,SI,11400,NO,308787.4,SI,4,BIOINGENIERIA,QUIMICA,ING AMBIENTAL,,,3
GeoBloque: Desarrollo de bloques de construcción ultraligeros con geopolímeros,PUCP,Ingeniería,1,2018,Culminado,SI,300000,NO,0,NO,0,NO,300000,SI,4,ING. CIVIL,,,,,1
"Polímeros bioactivos naturales con potenciales aplicaciones para apósitos con actividad antibacteriana, antiinflamatoria, cicatrizante para tratamiento de heridas y regeneración de la pie",PUCP,Ciencias,8,2018,Culminado,SI,399200,NO,0,NO,0,NO,399200,SI,3,BIOINGENIERIA,QUIMICA,,,,2
¿Cómo cerrará mañana la Bolsa de Valores de Lima? Investigando una respuesta con técnicas contemporáneas de Inteligencia Artificial basadas en Redes Bayesianas,PUCP,Ingeniería,1,2019,Culminado,NO,0,NO,0,SI,150000,NO,150000,SI,4,FINANZAS,,,,,1
"Desarrollo y evaluación de un preparado fermentado de passiflora tripartita ""Tumbo serrano"" con efecto inhibitorio sobre las enzimas Alfa-Glucosidasa y Alfa-Amilasa",UNMSM,Medicina,3,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,SI,4,QUIMICA,,,,,1
Cuantificación de la tasa de deformación tectónica de la cuenca de Huancayo para una mejor evaluación del peligro sísmico de fallas tectónicas activas,PUCP,Ingeniería,1,2018,En desarrollo,NO,0,NO,0,SI,135000,NO,135000,,,GEOLOGIA,,,,,1
Nuevos materiales bidimensionales: síntesis de carburos 2D 'MXenos' con propiedades ajustables para aplicaciones en energía y medioambiente,PUCP,Ciencias,3,2019,Culminado,NO,0,NO,0,SI,50000,NO,50000,SI,4,MATEMATICA,FISICA,QUIMICA,,,3
Análisis numérico y validación experimental de la vibración inducida por flujo en una tubería horizontal que transporta flujo bifásico agua - aire,PUCP,Ingeniería,1,2018,Culminado,NO,0,NO,0,SI,135000,NO,135000,SI,4,ING. MECANICA,,,,,1
"Preparacion y caracterizacion de un aposito antiinflamatorio y cicatrizante a partir de un residuo de la industria pesquera(""Pluma de pota"")",UNMSM,Ingeniería,2,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,SI,3,QUIMICA,INGENIERÍA DE ALIMENTOS,,,,2
Variación temporal y espacial de las concentraciones de radón y torón en gases del suelo y su asociación con la actividad sísmica y terremotos,PUCP,Ciencias,3,2018,Culminado,NO,0,NO,0,SI,21420,NO,21420,SI,3,MATEMATICA APLICADA A INGENIERIA,GEOLOGIA,MECANICA,,,3
Desarrollo e implementación de técnicas radiométricas para la caracterización radiológica de suelos y materiales de construcción,PUCP,Ciencias,1,2018,Culminado,NO,0,NO,0,SI,132957,NO,132957,SI,4,MATEMATICA APLICADA A INGENIERIA,GEOLOGIA,MECANICA,,,3
"Tratamiento de aguas grises provenientes de lavadoras domesticas con quitosano para uso en riego de vegetales, segun el ECA 3",UNMSM, Ingeniería,2,2020,En desarrollo,NO,0,NO,0,SI,29000,NO,29000,SI,4,QUIMICA,GEOLOGIA,MECANICA,ING. POLIMEROS,,4
A low-cost simple measurement system validated with a high precisión positioning parallel robot for clinical test of balance,PUCP,Ingeniería,3,2018,,NO,0,NO,0,SI,162000,NO,162000,SI,3,FISICA,ING. ELECTRICA,ING. ENERGETICA,,,3
"Diseño, síntesis y caracterización de cuatro compuestos de coordinación de cobre (II) con ligandos derivados del estilbeno, afines a placas amiloides, con potencial como agentes de radiodiagnóstico del Alzheimer",PUCP,Ciencias,3,2019,,NO,0,NO,0,SI,50000,NO,50000,SI,4,BIOLOGIA,QUIMICA,ING.QUIMICA,,,3
Desarrollo de un proceso tecnológico de conversión de los residuos de cosecha de caña de azúcares en bio-carbones y su empleo como combustible y agente reductor en la producción de pellets de hierro esponja,PUCP,Ingeniería,3,2018,,NO,0,NO,0,SI,134946,NO,134946,SI,4,BIOINGENIERIA,ING.QUIMICA,ING.AMBIENTAL,,,3
"Patrimonio virtual: Herramienta interactiva de realidad virtual y aumentada para la difusión científica, educacional y turística del patrimonio edificado que conforma la ruta del barroco andino en Cusco",PUCP,Ingeniería,6,2018,,NO,0,NO,0,SI,135000,NO,135000,SI,4,ING. SISTEMAS,ING. COMERCIAL,,,,2
How much plastic do we throw into the sea? Developing a methodology for mapping and quantifying marine plastics in Peru,PUCP,Ingeniería,3,2019,Culminado,NO,0,NO,0,SI,149800,NO,149800,SI,2,ECOLOGIA,ING. DE ALIMENTOS,,,,2
"Implementacion de un modelo de gestion para el manejo de residuos solidos en la facultad de ingenieria geologica, minera, metalurgica y geografica",UNMSM,Ingeniería,4,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,3
Teoría geométrica de los campos vectoriales bidimensionales,PUCP,Ciencias,6,2018,Culminado,NO,0,NO,0,SI,135000,NO,135000,NO,1,BIOINGENIERIA,MATEMATICAS,FISICA,,,3
"Análisis de idoneidades en procesos de enseñanza y aprendizaje de las funciones afines y lineales, diseñados e implementados por profesores de secundaria en ejercicio.",PUCP,Ingeniería,1,2018,Culminado,NO,0,NO,0,SI,135000,NO,135000,SI,4,ING. MECANICA,,,,,1
Estandarización de los procesos de mix y batido para mejorar la eficiencia de una planta de producción de helados,UNMSM,Ingeniería,1,2020,En desarrollo,NO,0,NO,0,NO,0,SI,0,SI,4,QUIMICA,ING. QUIMICA,,,,2
Robot Móvil con Sistema de Inteligencia Artificial para Telemarketing y Atención al Cliente,PUCP,Ingeniería,1,2018,Culminado,NO,0,SI,15000,SI,134980.5,NO,149980.5,SI,4,ING. MECATRONICA,,,,,1
Optimizacion de la malla de perforacion en canteras para obtener bloques de roca para enrocados y construccion de espigones,UNMSM,Ingeniería,6,2020,Culminado,NO,0,NO,0,SI,29100,NO,29100,SI,4,MATEMATICAS,,,,,1
Aplicación del concepto de economía circular al ciclo urbano del agua en la ciudad de Lima: mitigación de impactos ambientales y de vulnerabilidad hídrica,PUCP,Ingeniería,1,2018,Culminado,NO,0,NO,0,SI,135000,NO,135000,SI,3,ING. COMERCIAL,,,,,1
Geotecnologías libres como apoyo en la toma de decisiones en la gestión técnica de la red pública de agua y alcantarillado. Caso: distrito de Ventanilla,UNMSM,Ingeniería,4,2017,Culminado,NO,0,NO,0,NO,0,SI,0,SI,4,GEOLOGIA,ING. CIVIL,,,,2
Irregular Sasakian Structures and Torus actions,PUCP,Ciencias,1,2019,Culminado,NO,0,NO,0,SI,50000,NO,50000,NO,1,BIOLOGIA,,,,,1
Estudio experimental de la presipitacion termica del arseniato a partir de epluentes de la biolixiviacion de los minerales arsenicales,UNMSM,Ingeniería,4,2020,Culminado,NO,0,NO,0,SI,30000,NO,30000,SI,4,ING. QUIMICA,ING. MECANICA,ING. CIVIL,METALURGIA,,4
Mejoramiento de la óptica y de la mecánica de binoculares: Desarrollo integral de los lentes del objetivo y prismas,PUCP,Ciencias,6,2018,Culminado,NO,0,NO,0,SI,131400,NO,131400,SI,4,MATEMATICAS,FISICA,ECOLOGIA,GEOLOGIA,MECANICA,5
Primer elipsómetro espectral de ángulo variable en el Perú para la caracterización de materiales multifuncionales,PUCP,Ciencias,3,2018,Culminado,SI,1272940,NO,0,NO,0,NO,1272940,SI,3,FISICA,QUIMICA,GEOLOGIA,,,3
"Determinación de la capacidad de carga productiva para el cultivo de trucha mediante la aplicación del modelo de 0-dimensiones basado en la concentración óptima de oxígeno (CCO), orientado a lagunas ubicadas en la puna tropical (desde los 3800 M.S.N.M.). Caso de la laguna Paucarocha en la comunidad de la Tanta, provincia de Yauyos, Lima.",PUCP,Ingeniería,3,2018,Culminado,NO,0,SI,609785,SI,56010,NO,665795,SI,3,ING. AMBIENTAL,ING. QUIMICA,,,,2
Extracion de patrones para la deteccion del acoso a la mujer en las redes sociales del peru usando mineria de texto,UNMSM,Ingeniería,1,2020,En desarrollo,NO,0,NO,0,SI,22000,NO,22000,SI,3,ING. MINERA,,,,,1
"Optimización de la fusión de mineral, en el análisis cuantitativo del oro con determinación gravimétrica de un mineral sulfurado",UNMSM,Ingeniería,1,2018,Culminado,NO,0,SI,854632,NO,0,NO,854632,SI,4,ING. QUIMICA,,,,,1
Desarrollo de una plataforma de argumentacion participatica on-line orientada a la toma de desiciones para la generacion de conceptos constitucionalizantes que permita mejorar el proceso constituyente en la ciudad de ayacucho,UNMSM,Ingeniería,2,2020,En desarrollo,NO,0,NO,0,SI,18100,NO,18100,SI,3,ECOLOGIA,,,,,1
Spatial-temporal bayesian models: extensions and applications,PUCP,Ciencias,3,2019,,NO,0,NO,0,SI,50000,NO,50000,SI,3,FISICA,,,,,1
Factores para implementar prácticas para el alineamiento estratégico de TI en el sector público: un enfoque desde el gobierno de TI,UNMSM,Ingeniería,2,2018,Culminado,SI,645750,NO,0,SI,70000,NO,715750,SI,3,INGENIERÍA METALÚRGIA,GEOLOGÍA,,,,2
"Numba Wachokkeri: Empowering indigenous peoples
to protect their forests with cutting-edge technology",PUCP,Ingeniería,3,2018,Culminado,NO,0,SI,134040,NO,0,NO,134040,SI,4,QUIMICA,,,,,1
FCE-STI-Factores criticos que influyen en el exito de una start-up de tecnologia de la informacion,UNMSM,Ingeniería,1,2020,En desarrollo,NO,0,NO,0,SI,25000,NO,25000,SI,3,INGENIERÍA INDUSTRIAL,,,,,1
"Caracterización, modelado y estudio del comportamiento de diferentes generaciones de tecnologías fotovoltaicas frente a las condiciones climáticas del Perú",PUCP,Ciencias,,2019,,SI,350000,NO,0,NO,0,NO,350000,,,,,,,,
"Modelo computacional de extracción automática de
información de cuerpos de agua para la evaluación del daño
provocado por desastre de inundaciones y huaycos mediante
el análisis por visión artificial de imágenes satelitales
multitemporales",PUCP,Ingeniería,2,2019,Culminado,SI,200000,NO,0,SI,55000,NO,255000,SI,4,MATEMÁTICAS APLICADA A INGENIERÍA,CS,,,,1
"San Marcos Smart City: Plataforma de modelamiento y desarrollo de una ciudad inteligente para lima, basado en el estandar ISO37120:2018(Fase 1)",UNMSM,Ingeniería,2,2020,En desarrollo,NO,0,NO,0,SI,29000,NO,29000,,,,,,,,
Desarrollo de un sistema de monitoreo de calidad del aire en zonas urbanas con módulos de medición de bajo costo en tiempo real y técnicas de Inteligencia Artificial,PUCP,Ingeniería,,2019,,SI,349996,NO,0,NO,0,NO,349996,,,,,,,,2
Depuración fotoquímica- electroquímica de compuestos orgánicos persistentes en agua residual sintética de la industria textil Puente Piedra-Lima,UNMSM,Ingeniería,4,2015,Culminado,SI,1547840,NO,0,NO,0,NO,1547840,,,,,,,,2
Diagnóstico de fallas raras de protección de medio ambiente y recursoso para sistemas de transporte de hidrocarburos,PUCP,Ingeniería,,2019,,SI,350000,NO,0,NO,0,NO,350000,,,,,,,,
Extendiendo el familograma con informacion genetica en el contexto de la ficha familiar del minsa,UNMSM,Ingeniería,1,2020,Culminado,NO,0,NO,0,SI,30000,NO,30000,SI,4,CS,,,,,1
Sistema de mitigación de polvo de mineral de hierro en la planta chancadora del área San Nicolás - Marcona,UNMSM,Ingeniería,4,2016,Culminado,SI,564000,NO,0,NO,0,NO,564000,,,,,,,,
Diseño y fabricación de una minilavadora para fibra de vicuña de 5kg/h,PUCP,Ingeniería,,2019,,SI,350000,NO,0,NO,0,NO,350000,,,,,,,,
"Determinación de concentraciones de pulpas minerales que
reducen el consumo de energía en procesos de molienda de
plantas concentradoras por medio de modelamiento
numérico y pruebas experimentales",PUCP,Ingeniería,2,2019,Culminado,SI,349750,NO,0,NO,0,NO,349750,SI,4,BIOLOGÍA,QUÍMICA,,,,2
Clima de seguridad laboral y conductas de seguridad en una empresa de la industria del acero en el Perú,UNMSM,Ingeniería,1,2017,Culminado,NO,0,NO,0,NO,0,SI,0,,,,,,,,
Preparacion de un oligosacarido con capacidad antioxidante y quelante de hierro a partir de almidon de papa nativa,UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
"Innovación para el ecoturismo sostenible: planeamiento
adaptativo y dinamización de sistemas de innovación para el
valle de huyro-cusco como destino ecoturístico",PUCP,Ingeniería,2,2019,Culminado,SI,363960,NO,0,NO,0,NO,363960,SI,4,FÍSICA,ECOLOGÍA,,,,2
"La contaminación del aire por material particulado y su relación con las enfermedades de tipo respiratorio en la población de Cerro de Pasco, 2010 y 2016",UNMSM,Ingeniería,4,2016,Culminado,SI,780000,NO,0,SI,951000,NO,1731000,SI,3,ECOLOGIA,ING. QUIMICA,ING. AMBIENTAL,,,3
Relacion entre la variante poliformica R230C del gen ABCA1 con el perfil lipidico y antropometrico en personas adultas de la ciudad de Lima,UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
Resucitador manual que evita lesiones pulmonares o barotrauma,PUCP,Ingeniería,,2019,,SI,350000,NO,0,NO,0,NO,350000,,,,,,,,
Corrector ortográfico morfológicamente informado para lenguas aglutinantes peruanas: una contribución a la consolidación de programas de educación intercultural bilingüe en el contexto amazónico,PUCP,Ingeniería,,2019,,SI,349888.5,NO,0,NO,0,NO,349888.5,,,,,,,,
Producción de grafeno a partir de desechos forestales amazónicos,PUCP,Ingeniería,,2019,,SI,350000,NO,0,NO,0,NO,350000,,,,,,,,
Almacenamiento de carbono de tres especies forestales presentes en áreas verdes de la ciudad de Lima,UNMSM,Ingeniería,4,2013,Culminado,NO,0,NO,0,NO,0,SI,0,,,,,,,,
Efecto del extracto acuoso de las hojas de moringa oleifera LAM y BENCIL ISOTIOCIANATO sobre el cancer de mama inducido por DIMETILBENZ[A]ANTRACENO en ratas,UNMSM,Medicina,2,2020,En desarrollo,NO,0,NO,0,SI,30000,SI,30000,,,,,,,,
Desarrollo de software inteligente de diseño mecánico con miras a incrementar la competitividad de la empresa metalmecánica nacional y orientado a la satisfacción de demandas de la industria minera: aplicación en cajas reductoras de velocidad,PUCP,Ingeniería,,2019,,SI,354952,NO,0,NO,0,NO,354952,,,,,,,,
Evaluación energética y técnico-económica de la generación de energía eléctrica renovable con nuevas tecnologías fotovoltaicas en diferentes zonas climáticas del Perú.,PUCP,Ciencias,4,2019,Culminado,SI,500000,NO,0,NO,0,NO,500000,SI,3,FISICA,ENERGIA SOLAR FOTOVOLTAICA,,,,2
"Evaluacion de componentes bioactivos, capacidad antioxidante y efecto antiflamatorio de extractos lipofilico e hidrofilico del PERICARPIO DE PASSIFLORA TRIPARTITA VAR MOLLISIMA ""Tumbo Serrano"" en dos estadios de maduracion",UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,SI,2,INGENIERÍA AMBIENTAL,,,,,1
Utilización del modelo K en la gestión de una cadena de suministros para favorecer el crecimiento en puntos de venta en negocios retail de calzado,UNMSM,Ingeniería,1,2020,En desarrollo,SI,875410,NO,0,NO,0,NO,875410,,,,,,,,
Aprovechamiento de la semilla de Lúcuma (Pouteria lucuma) para la extracción del aceite funcional por CO2 supercrítico y el aislamiento de polímeros para el desarrollo de una resina biodegradable,PUCP,Ingeniería,1,2019,,SI,200000,NO,0,NO,0,NO,200000,SI,,,,,,,
"Estandarización de los procesos en la empresa IntelliProcess Solution SAC para incrementar su rentabilidad, bajo el enfoque de gestión por procesos",UNMSM,Ingeniería,1,2018,Culminado,NO,0,SI,875600,SI,56000,NO,931600,,,,,,,,
Restauración y conservación de piezas arqueológicas usando aprendizaje profundo y autoencoders convolucionales sobre grafos,PUCP,Ingeniería,1,2019,,SI,347538,NO,0,NO,0,NO,347538,,,,,,,,
"Respuesta Inmunomoduladora del extracto etanolico de CHUQUIRAGA SPINOSA
(HUAMANPINTA) mas extracto acuoso de moringa oleifera (MORINGA) en prevencion de la neoplastica inducida en ratas",UNMSM,Medicina,2,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,SI,4,BIOLOGÍA,QUÍMICA,,,,2
Plataforma avanzada para el estudio in vitro de parámetros toxicológicos de antibióticos de uso en pollos de engorde como alternativa humanitaria y de menor costo de los modelos in vivo,PUCP,Ingeniería,3,2019,Culminado,SI,370000,NO,0,NO,0,NO,370000,SI,3,MATEMÁTICAS APLICADAS A INGENIERÍA,INGENIERÍA MECATRÓNICA,INGENIERÍA ELECTRÓNICA,,,3
Caracterización biomecánica del gesto técnico de recepción en el voleibol puesta al servicio del entrenamiento deportivo mediante el desarrollo de un aplicativo móvil integrado a un sistema de captura de movimiento low-cost,PUCP,Ingeniería,3,2019,Culminado,SI,267716,NO,0,NO,0,NO,267716,SI,4,BIOINGENIERIA,MECANICA,CS,,,3
Implementación de Procedimientos de BBDD para alimentar el Sistema Web de Publicación de Listas de Padrón Inicial en un proceso electoral,UNMSM,Ingeniería,2,2018,Culminado,SI,645800,NO,0,SI,65000,NO,710800,,,,,,,,
Evaluación y diferenciación de la calidad del pisco en concordancia con la denominación de origen del pisco peruano empleando una nariz ele,PUCP,Ingeniería,2,2019,Culminado,SI,199648,NO,0,NO,0,NO,199648,SI,4,ING. QUÍMICA,ING. AMBIENTAL,,,,2
Influencia del estres y del estimulo masticatorio continuo/discontinuo sobre el dolor periferico y el nivel serico de interleuquina 1 beta en ratones albinos BALB/C,UNMSM,Medicina,3,2020,En desarrollo,NO,0,NO,0,SI,28900,NO,28900,SI,3,NEUROCIENCIA,,,,,1
"Asociacion entre las caracteristicas clinicas maternas, los hallazgos ecograficos fetales y las caracteristicas perinatales con la mortalidad y supervivencia de fetos con hidropesia fetal no inmune, en centros hospitalarios de latinoamerica",UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,17850,NO,17850,SI,4,CITOGENETICA,,,,,1
Pre factibilidad para la implementación de un aplicativo móvil como guía turística para viajeros en el Perú,UNMSM,Ingeniería,1,2018,Culminado,SI,0,NO,0,NO,0,SI,103000,SI,4,TURISMO,ING INDUSTRIAL,CS,,,3
Tratamiento de relaves de cianuración de concentrados refractarios para la recuperación de oro y plata en la zona de Calpa - Arequipa,UNMSM,Ingeniería,4,2018,Culminado,NO,0,SI,859450,NO,0,NO,859450,SI,4,ING. MECÁNICA,ING. QUÍMICA,,,,2
El desarrollo de los conceptos de la teoria sociobiologica informacional en la obra temprana de Pedro Ortiz Cabanillas(1974-1994),UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,28650,NO,28650,SI,4,NEUROLOGIA,SOCIOBIOLOGIA,,,,2
Desarrollo e implementación de un sistema de control de acceso a redes inalámbricas mediante RADIUS,UNMSM,Ingeniería,2,2018,Culminado,SI,751600,NO,0,SI,65700,NO,817300,SI,3,ING. ELÉCTRICA,ING. ELECTRÓNICA,,,,2
Actividad del CANNABIDIOL (CBD) en la circulacion cerebral y periferica: Estudio farmacologico in vitro en ratas normotensas e hipertensas,UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
"Influencia de la aplicación de buenas prácticas de manufactura, en la calidad del queso tipo fresco, en plantas procesadoras de lácteos en la provincia de Chimborazo, Ecuador",UNMSM,Ingeniería,1,2018,Culminado,SI,670100,NO,0,SI,34500,NO,704600,,,,,,,,
Estudio de mutaciones y genotipos de CAMPYLOBACTER aisladas de una poblacion pediatrica y su relacion con la resistencia a ERITROMICIA,UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
"Geometría no conmutativa: Ecuación de Yang-Baxter, productos torcidos, cohomología y conjetura del Jacobiano.",PUCP,Ciencias,1,2019,,NO,0,NO,0,SI,50000,NO,50000,SI,3,MATEMATICA,,,,,1
Monitoreo de balances hídricos usando redes de sensores inalámbricos para estimaciones de productividad primaria en bosque amazónico y cultivos leñosos perennes costeros,PUCP,Ciencias,2,2019,Culminado,SI,500000,NO,0,NO,0,NO,500000,SI,4,ING. AMBIENTAL,ING. QUÍMICA,,,,2
Sistema de visualización y simulación de inundaciones para mejora de la gestión de riesgos en zonas vulnerables a huaycos,PUCP,Ingeniería,1,2019,Culminado,SI,221722,NO,0,SI,35384,NO,257106,SI,4,MATEMÁTICAS,,,,,2
Doctoral CRP on Advances in Radiotherapy Techniques,PUCP,Ciencias,,2019,,NO,0,SI,107400,NO,0,NO,107400,,,,,,,,
"Estudio de diversidad genetica de poblaciones peruanas mediante marcadores moleculares, su implicancia en los estudios geneticos de enfermedades",UNMSM,Medicina,1,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
Aplicación del modelo Servqual en los servicios de transporte público urbano en el distrito de Lurigancho para medir la calidad del servicio,UNMSM,Ingeniería,1,2018,Culminado,SI,654100,NO,0,NO,0,NO,654100,SI,4,GEOLOGÍA,ING. CIVIL,,,,2
Propuesta de implementacion de un sistema de costos ABC para mejorar la retabilidad de los productos mas comercializados en una empresa de confecciones,UNMSM,Ingeniería,1,2021,En desarrollo,NO,0,NO,0,NO,0,SI,0,,,,,,,,
BTC Ensamble: Implementación de lineamientos para la construcción de edificaciones con bloques ensamblables de tierra comprimida que sirvan como una solución de construcción económica y segura para las viviendas localizadas en regiones de alta sismicidad,PUCP,Ingeniería,3,2019,Culminado,SI,249801.48,NO,0,SI,62458.52,NO,312260,SI,3,ECOLOGÍA,GEOLOGÍA,ING. CIVIL,,,3
Aplicación de RFID para la optimización en el registro de ingresos de lotes de celulares a un centro de distribución,UNMSM,Ingeniería,1,2018,Culminado,NO,,SI,684500,SI,98700,NO,783200,,,,,,,,
Sistema de procesamiento de imágenes adaptable y de alta velocidad para clasificar papa andina,PUCP,Ingeniería,,2019,,SI,499876,NO,0,NO,0,NO,499876,,,,,,,,
Sobre el número de Tjurina de una foliación,PUCP,Ciencias,1,2019,,NO,0,NO,0,SI,50000,NO,50000,,,,,,,,
