"Marca temporal","Género","Edad","¿En qué universidad estudias?","¿Qué carrera estudias?","¿Cuánto es tu promedio ponderado general? (Utilice el punto decimal)","¿Te consideras un 'GAMER'?","¿A qué edad dirías que empezaste a jugar videojuegos?","¿En qué plataformas juegas videojuegos regularmente?","¿Cuál es tu género de videojuego favorito?","¿Cuánto dinero has invertido en videojuegos? ","¿Cuántas horas semanales dirías que jugabas videojuegos al inicio de la pandemia?","¿Cuántas horas semanales dirías que juegas videojuegos actualmente?","¿Cuántas horas le dedicas al estudio semanalmente?","En la escala del 1 al 5, ¿cuánto crees que jugar videojuegos ha afectado a tus estudios?"
"2022/06/12 9:36:26 p. m. GMT-5","Masculino","19","UTEC","Ingeniería Industrial ","17.5","No","8","PC","Shooters","Entre S/.0 y S/.100","25","10","70","2"
"2022/06/12 9:36:42 p. m. GMT-5","Masculino","19","Otra","Mecatronica Industrial ","17.5","No","25","PC","Shooters","Entre S/.5000 y S/.10000","5","5","10","2"
"2022/06/12 9:38:38 p. m. GMT-5","Masculino","21","UPC","Ingeniería Civil","17.87","No","16","Playstation","Deportivo","Entre S/.100 y S/.1000","6 ","2","45","3"
"2022/06/12 9:39:23 p. m. GMT-5","Masculino","19","Otra","Medicina ","17","Sí","11","Playstation","Shooters","Entre S/.1000 y S/.2000","7","23","54","3"
"2022/06/12 9:40:05 p. m. GMT-5","Masculino","19","UPC","Ing. Gestión Minera","14.177","Sí","5","Playstation","Shooters","Más de S/.10000","21","16","8","5"
"2022/06/12 9:40:16 p. m. GMT-5","Masculino","19","UTEC","Ingeniería de la energía","13.4","Sí","16","Playstation","Deportivo","Entre S/.0 y S/.100","30","23","15","3"
"2022/06/12 9:45:13 p. m. GMT-5","Femenino","23","UPCH","Ingeniería ambiental ","14.8","No","18","Otro","Deportivo","Entre S/.0 y S/.100","4","6","56","3"
"2022/06/12 9:47:01 p. m. GMT-5","Masculino","18","UTEC","Ingeniería Industrial","15.3","No","8","Playstation","Carreras","Entre S/.1000 y S/.2000","5","3","8","3"
"2022/06/12 9:49:16 p. m. GMT-5","Masculino","18","UTP","Ingeniería de Sistemas","18.81","No","8","Playstation","Survival","Entre S/.100 y S/.1000","10","5","10","2"
"2022/06/12 9:50:04 p. m. GMT-5","Masculino","19","UTEC","Ingeniería Industrial","15","Sí","8","Playstation","Shooters","Entre S/.100 y S/.1000","35","15","7","5"
"2022/06/12 9:50:41 p. m. GMT-5","Femenino","20","UTEC","Ingenieria Industrial ","13.5","No","16","Dispositivo móvil","Casino","S/.0","6","0","10","2"
"2022/06/12 9:53:18 p. m. GMT-5","Femenino","18","Otra","Enfermería ","16","No","10","Playstation","Deportivo","S/.0","0","0","0","1"
"2022/06/12 9:57:26 p. m. GMT-5","Masculino","18","UTEC","Ingenieria mecatrónica","11","No","14","Dispositivo móvil","Carreras","S/.0","10","10","36","4"
"2022/06/12 9:58:16 p. m. GMT-5","Femenino","21","UTEC","Ingenieria Industrial","14","No","13","PC","Carreras","S/.0","1","0","100","2"
"2022/06/12 9:59:52 p. m. GMT-5","Masculino","18","Otra","Ingeniería química","15.8","No","7","Dispositivo móvil","Deportivo","S/.0","7","4","5","2"
"2022/06/12 10:00:24 p. m. GMT-5","Masculino","21","UTEC","ing civil","14.33","No","15","Dispositivo móvil","Carreras","Entre S/.1000 y S/.2000","16","5","82","3"
"2022/06/12 10:04:28 p. m. GMT-5","Masculino","17","ULima","Economía ","14.7","No","11","PC","Carreras","S/.0","10","2","3","3"
"2022/06/12 10:10:45 p. m. GMT-5","Femenino","18","UTEC","Ingeniería Industrial","16.1","Sí","17","Dispositivo móvil","Carreras","S/.0","14","3","30","2"
"2022/06/12 10:12:30 p. m. GMT-5","Femenino","18","Otra","Ciencias de la comunicación ","16","No","8","Playstation","Carreras","S/.0","4","4","10","1"
"2022/06/12 10:21:44 p. m. GMT-5","Femenino","17","Otra","Ingeniería de sistemas","19.59","Sí","6","PC","Estrategia","Entre S/.0 y S/.100","2 ","1","12","3"
"2022/06/12 10:24:25 p. m. GMT-5","Masculino","22","UPCH","Ing. Ambiental ","14.2","No","16","Dispositivo móvil","Carreras","S/.0","2 ","1 ","12","1"
"2022/06/12 11:04:24 p. m. GMT-5","Masculino","21","UPCH","ING ambiental","15.6","No","10","Playstation","Deportivo","Entre S/.1000 y S/.2000","20","5","50","4"
"2022/06/12 11:12:55 p. m. GMT-5","Femenino","22","UPC","Ing. Industrial","17.9","Sí","8","Playstation","Carreras","Entre S/.1000 y S/.2000","30","10","45","2"
"2022/06/13 12:18:15 a. m. GMT-5","Masculino","22","UPN","Danza","11","Sí","12","Otro","Estrategia","Entre S/.0 y S/.100","8","2","80","5"
"2022/06/13 12:44:47 a. m. GMT-5","Masculino","20","UTEC","Ingeniería Industrial","16.41","Sí","9","PC","Estrategia","Entre S/.2000 y S/.5000","30","10","15","4"
"2022/06/13 12:47:28 a. m. GMT-5","Masculino","18","ULima","Administración","17.2","Sí","8","PC","Survival","Entre S/.5000 y S/.10000","15","7","10","2"
"2022/06/13 12:51:27 a. m. GMT-5","Femenino","17","UP","Negocios Internacionales","14.","No","12","Playstation","Shooters","Entre S/.100 y S/.1000","20","5","20","1"
"2022/06/13 12:53:47 a. m. GMT-5","Masculino","17","UPC","Arquitectura","17.6","No","11","Dispositivo móvil","Estrategia","S/.0","5","2","20","1"
"2022/06/13 1:15:02 a. m. GMT-5","Masculino","21","UTEC","Ingeniería Mecatrónica","16.71","No","9","Nintendo","Ritmo","Entre S/.100 y S/.1000","10","5","16","3"
"2022/06/13 1:18:17 a. m. GMT-5","Masculino","19","UTEC","Ingeniería de la Energía","13.95","Sí","7","PC","Shooters","Más de S/.10000","50","25","10","4"
"2022/06/13 1:30:10 a. m. GMT-5","Femenino","17","UP","negocios internacionales ","15","No","10","Playstation","Estrategia","Entre S/.0 y S/.100","29","7","35","2"
"2022/06/13 1:34:06 a. m. GMT-5","Femenino","20","ULima","Ciencias de la Computación","16.2","Sí","10","Playstation","Platformer","Entre S/.0 y S/.100","30","18","21","4"
"2022/06/13 1:36:59 a. m. GMT-5","Masculino","18","UTEC","cs","17","No","5","PC","Deportivo","Entre S/.2000 y S/.5000","0","4","6","1"
"2022/06/13 3:39:31 a. m. GMT-5","Femenino","19","Otra","Sexo","17","No","5","Playstation","Deportivo","Entre S/.1000 y S/.2000","3","4","5","1"
"2022/06/13 8:30:04 a. m. GMT-5","Femenino","19","Otra","Ingeniería Industrial","14","No","12","Dispositivo móvil","Ritmo","S/.0","3","0","18","1"
"2022/06/13 9:54:38 a. m. GMT-5","Masculino","19","UPC","ADMIN","12","No","7","Nintendo","Survival","Entre S/.0 y S/.100","0","0","1","1"
"2022/06/13 10:04:43 a. m. GMT-5","Masculino","20","UTEC","Ingeniería Mecatrónica","15","Sí","13","PC","Shooters","Entre S/.100 y S/.1000","28","4","25","1"
"2022/06/13 11:01:32 a. m. GMT-5","Femenino","17","UP","Administración ","09","No","07","Nintendo","Estrategia","Entre S/.100 y S/.1000","10 ","0","4","3"
"2022/06/13 11:07:37 a. m. GMT-5","Otro","69","Otra","personal shoper","6.9","Sí","2","Otro","Ninguno","Más de S/.10000","69","69","6.9","3"
"2022/06/13 9:09:40 p. m. GMT-5","Masculino","18","Otra","...","14.45","Sí","12","PC","Shooters","Entre S/.1000 y S/.2000","6","1","8 ","5"
"2022/06/13 11:15:07 p. m. GMT-5","Femenino","17","UTEC","Ingenieria Industrial ","14.00","No","15","PC","Carreras","S/.0","3","12","10","3"
"2022/06/13 11:40:09 p. m. GMT-5","Masculino","18","UTEC","ingenieria mecanica","14.67","Sí","8","PC","MOBA","Entre S/.100 y S/.1000","35","0","10","5"
"2022/06/17 7:41:20 p. m. GMT-5","Femenino","21","UPC","Ingeniería industrial","12","Sí","15","Playstation","Deportivo","Entre S/.1000 y S/.2000","16","5","4","4"
"2022/06/18 12:34:53 p. m. GMT-5","Masculino","20","ULima","Ingeniería  Civil","12","No","16","Playstation","Carreras","Entre S/.100 y S/.1000","16","5","6","4"
"2022/06/18 2:04:19 p. m. GMT-5","Femenino","20","UTEC","Ingeniería Industrial","15","Sí","16","Playstation","Carreras","Entre S/.100 y S/.1000","27","5","7","3"
"2022/06/19 3:05:53 p. m. GMT-5","Femenino","18","UTEC","Ciencias de la computación","15","No","14","Dispositivo móvil","Shooters","Entre S/.1000 y S/.2000","6","2","10","3"
"2022/06/19 3:07:25 p. m. GMT-5","Femenino","17","Otra","Música","16","No","13","Dispositivo móvil","Ninguno","Entre S/.0 y S/.100","3","3","12","2"
"2022/06/19 3:12:24 p. m. GMT-5","Masculino","18","UTEC","Ingeniería industrial","13","No","8","Playstation","Carreras","Entre S/.2000 y S/.5000","12","5","10","3"
"2022/06/19 3:15:22 p. m. GMT-5","Masculino","21","UTEC","Ingeniería de la energía","14","No","11","PC","Deportivo","Entre S/.1000 y S/.2000","7","4","15","2"
"2022/06/20 6:57:19 p. m. GMT-5","Masculino","19","UPC","Comunicacion audiovisual","17.46","No","14","Playstation","Estrategia","Entre S/.5000 y S/.10000","60","15","12","2"
"2022/06/20 6:58:25 p. m. GMT-5","Femenino","17","ULima","Derecho ","18.75","No","15","Dispositivo móvil","Estrategia","Entre S/.100 y S/.1000","10","1","70","1"
"2022/06/20 6:59:31 p. m. GMT-5","Masculino","21","UTP","Ingenieria Biomedica ","13.23","Sí","10","PC","Shooters","Entre S/.100 y S/.1000","70","40","50","4"
"2022/06/20 7:25:59 p. m. GMT-5","Masculino","20","UTEC","Ingenieria Civil","14.84","Sí","10","PC","Survival","Entre S/.2000 y S/.5000","80","60","40","3"
"2022/06/20 7:28:05 p. m. GMT-5","Masculino","18","ULima","Arquitectura","16.67","No","16","PC","Estrategia","Entre S/.0 y S/.100","25","7","40","1"
"2022/06/20 7:28:58 p. m. GMT-5","Femenino","18","ULima","Arquitectura","17.57","No","16","Dispositivo móvil","Ninguno","S/.0","10","1","60","1"
"2022/06/20 7:31:20 p. m. GMT-5","Masculino","22","UP","Derecho","14.89","No","15","PC","Ninguno","S/.0","10","1","30","1"
"2022/06/20 9:15:59 p. m. GMT-5","Femenino","18","UPC","Ingeniería civil","13.4","Sí","10","PC","MOBA","Entre S/.2000 y S/.5000","30","10","40","3"
"2022/06/20 9:17:26 p. m. GMT-5","Masculino","19","UPC","Ingeniería informática ","16.4","No","8","Nintendo","MMO RPG","Entre S/.2000 y S/.5000","40","15","30","3"
"2022/06/20 9:22:53 p. m. GMT-5","Femenino","20","ULima","Ingeniería industrial ","14.45","Sí","10","Nintendo","MMO RPG","Entre S/.100 y S/.1000","60","10","40","2"
"2022/06/20 9:26:57 p. m. GMT-5","Femenino","20","ULima","Arquitectura","16.5","No","7","Playstation","Carreras","Entre S/.0 y S/.100","70","5","30","1"
"2022/06/20 9:28:50 p. m. GMT-5","Masculino","21","UPC","Economía ","15","No","8","Xbox","Estrategia","Entre S/.0 y S/.100","50","4","70","1"
"2022/06/20 9:29:57 p. m. GMT-5","Masculino","23","UPC","Ingeniería civil","14.3","Sí","12","PC","MMO RPG","Entre S/.1000 y S/.2000","30","4","40","1"
"2022/06/20 9:31:36 p. m. GMT-5","Femenino","13","ULima","Psicología ","15.07","No","14","Nintendo","Carreras","Entre S/.2000 y S/.5000","40","20","40","1"
"2022/06/20 9:33:33 p. m. GMT-5","Femenino","20","ULima","Derecho","17","No","13","Dispositivo móvil","Ritmo","Entre S/.0 y S/.100","50","10","40","2"
"2022/06/20 9:38:43 p. m. GMT-5","Femenino","21","UPC","Ingeniería ambiental","14.03","No","12","Playstation","Shooters","Entre S/.100 y S/.1000","30","9","15","1"
"2022/06/20 9:40:27 p. m. GMT-5","Femenino","22","UPC","Ingeniería industrial ","17","No","11","Nintendo","Estrategia","Entre S/.100 y S/.1000","15","3","18","2"
"2022/06/20 9:41:25 p. m. GMT-5","Femenino","23","ULima","Derecho","13.04","No","8","Playstation","Deportivo","Entre S/.100 y S/.1000","30","10","60","1"
"2022/06/20 9:42:37 p. m. GMT-5","Femenino","18","UPC","Ingeniería ambiental ","16.9","No","13","PC","Casino","Entre S/.100 y S/.1000","70","10","40","1"
"2022/06/20 9:43:44 p. m. GMT-5","Femenino","20","UPC","Ingeniería civil","17.04","No","11","Xbox","Estrategia","Entre S/.0 y S/.100","30","9","40","1"
"2022/06/20 9:45:39 p. m. GMT-5","Femenino","20","UPC","Ingeniería ambiental ","16.8","No","12","Playstation","Estrategia","Entre S/.0 y S/.100","30","3","75","1"
"2022/06/20 9:46:50 p. m. GMT-5","Femenino","21","ULima","Ingeniería industrial","14.45","No","10","Xbox","Deportivo","Entre S/.0 y S/.100","30","4","45","1"
"2022/06/20 9:53:34 p. m. GMT-5","Femenino","20","UPC","Derecho","14.7","No","13","Dispositivo móvil","Ritmo","Entre S/.0 y S/.100","80","30","30","1"
"2022/06/20 9:57:04 p. m. GMT-5","Femenino","21","ULima","Ingeniería civil","13","Sí","9","Nintendo","MOBA","Entre S/.2000 y S/.5000","80","30","60","2"
"2022/06/20 9:59:11 p. m. GMT-5","Femenino","18","ULima","Ingeniería industrial","17","Sí","13","Nintendo","Deportivo","Entre S/.2000 y S/.5000","90","30","50","1"
"2022/06/20 10:05:59 p. m. GMT-5","Masculino","18","UPC","Ingeniería ambiental","16.8","No","11","Playstation","Estrategia","Entre S/.100 y S/.1000","50","6","40","1"
"2022/06/20 10:06:50 p. m. GMT-5","Masculino","19","UPC","Administración","18.79","No","18","Playstation","Casino","Más de S/.10000","30","10","40","1"
"2022/06/20 10:07:45 p. m. GMT-5","Femenino","18","UTEC","Ingeniería biomedica","15.06","No","12","Playstation","Carreras","Entre S/.100 y S/.1000","40","7","70","1"
"2022/06/20 10:09:09 p. m. GMT-5","Femenino","17","UPC","Medicina","18","No","10","Playstation","Carreras","Entre S/.0 y S/.100","60","30","60","1"
"2022/06/20 10:10:58 p. m. GMT-5","Femenino","19","ULima","Derecho","14.45 ","No","10","Playstation","Carreras","Entre S/.0 y S/.100","15","3","50","1"
"2022/06/20 10:12:36 p. m. GMT-5","Femenino","21","UPCH","Negocios internacionales","17.46","No","16","Playstation","Deportivo","Entre S/.100 y S/.1000","35","14","37","3"
"2022/06/20 10:12:42 p. m. GMT-5","Femenino","21","UPC","Ingeniería civil","14.6","Sí","7","Nintendo","Estrategia","Entre S/.100 y S/.1000","30","7","40","1"
"2022/06/20 10:13:44 p. m. GMT-5","Otro","20","UPC","Medicina","13.68","No","13","PC","Survival","Entre S/.2000 y S/.5000","45","10","60","4"
"2022/06/20 10:13:48 p. m. GMT-5","Femenino","23","UPC","Ingeniería ambiental ","13.8","No","9","Playstation","Roguelike","Entre S/.1000 y S/.2000","60","20","50","2"
"2022/06/20 10:15:37 p. m. GMT-5","Femenino","20","UPC","Ingeniería industrial ","12.8","No","7","Dispositivo móvil","Deportivo","Entre S/.1000 y S/.2000","20","6","70","2"
"2022/06/20 10:16:22 p. m. GMT-5","Masculino","19","UPC","Artes escenicas ","16.45","No","16","Dispositivo móvil","Estrategia","Entre S/.0 y S/.100","20","2","6","1"
"2022/06/20 10:17:43 p. m. GMT-5","Masculino","22","UPC","Información Informática ","16","No","6","Xbox","Platformer","Entre S/.1000 y S/.2000","70","6","80","2"
"2022/06/20 10:20:05 p. m. GMT-5","Masculino","19","ULima","Economía ","15.08","No","13","Playstation","Platformer","Entre S/.1000 y S/.2000","60","10","90","3"
"2022/06/20 10:27:42 p. m. GMT-5","Masculino","19","UTEC","Ingeniería Mecánica","14.21","No","7","Playstation","MMO RPG","Entre S/.0 y S/.100","4","0","17","5"
"2022/06/20 10:29:48 p. m. GMT-5","Masculino","19","UTP","Derecho","00","Sí","5","PC","MMO RPG","Entre S/.100 y S/.1000","18","16","35","1"
"2022/06/20 10:31:55 p. m. GMT-5","Masculino","20","UTEC","Ingenieria Mecanica","14.44","Sí","10","Playstation","Deportivo","Entre S/.1000 y S/.2000","10","5","10","2"
"2022/06/20 10:32:48 p. m. GMT-5","Masculino","19","UTEC","Ingeniería de la energía ","13","Sí","12","PC","Deportivo","Entre S/.0 y S/.100","40","20","15","3"
"2022/06/20 10:33:40 p. m. GMT-5","Masculino","20","UTEC","Ciencias de la computación","15.1","Sí","10","PC","Survival","Entre S/.1000 y S/.2000","8","8","10","2"
"2022/06/20 10:34:44 p. m. GMT-5","Masculino","21","UTEC","Ciencia de la computación","14.8","Sí","10","PC","MOBA","Entre S/.5000 y S/.10000","6","15","5","4"
"2022/06/20 10:35:04 p. m. GMT-5","Masculino","21","UTEC","Bioingeniería ","14","Sí","9","PC","MOBA","Entre S/.1000 y S/.2000","28","36","30","5"
"2022/06/20 10:46:11 p. m. GMT-5","Femenino","22","ULima","Marketing","17.6","No","17","Dispositivo móvil","Casino","S/.0","2","1","20","1"
"2022/06/20 11:20:54 p. m. GMT-5","Femenino","19","UTEC","ig mecatronica","11","Sí","16","PC","MOBA","S/.0","20","1","10","3"
"2022/06/20 11:46:19 p. m. GMT-5","Masculino","19","ULima","Economia","13.5","Sí","14","PC","MOBA","Más de S/.10000","30","20","5","3"
"2022/06/20 11:47:54 p. m. GMT-5","Masculino","23","ULima","Marketing","17.38","No","15","Nintendo","Deportivo","S/.0","30","10","50","2"
"2022/06/20 11:54:14 p. m. GMT-5","Masculino","20","UTEC","CS","14.74","No","8","PC","Roguelike","Entre S/.5000 y S/.10000","25","20","7","3"
"2022/06/20 11:57:41 p. m. GMT-5","Masculino","17","UPCH","Medicina","14.7","No","13","Playstation","MOBA","Entre S/.0 y S/.100","20","2","40","1"
"2022/06/20 11:57:59 p. m. GMT-5","Masculino","25","UTEC","Ingenieria civil ","15.34","Sí","13","PC","Survival","Entre S/.5000 y S/.10000","70","40","60","4"
"2022/06/20 11:58:34 p. m. GMT-5","Femenino","20","Otra","Derecho","15","No","11","Dispositivo móvil","Ninguno","Entre S/.1000 y S/.2000","9","4","13","2"
"2022/06/21 12:00:20 a. m. GMT-5","Masculino","21","UTEC","Ingeniería electrónica ","13.45","Sí","8","PC","Estrategia","Entre S/.5000 y S/.10000","95","30","70","4"
"2022/06/21 12:00:39 a. m. GMT-5","Femenino","18","UTEC","Ingeniería Mecatrónica","12","Sí","10","PC","MOBA","Entre S/.1000 y S/.2000","23","13","12","4"
"2022/06/21 12:01:03 a. m. GMT-5","Femenino","18","UTEC","Bioingenieria ","17.69","Sí","14","PC","Estrategia","Más de S/.10000","80","50","65","2"
"2022/06/21 12:03:00 a. m. GMT-5","Masculino","22","UTEC","Ingeniería mecánica ","13.4","Sí","9","PC","MMO RPG","Entre S/.5000 y S/.10000","30","4","40","4"
"2022/06/21 12:05:29 a. m. GMT-5","Masculino","18","UTEC","Ciencia de la computación ","16","Sí","7","PC","Roguelike","Más de S/.10000","20","8","30","2"
"2022/06/21 12:05:31 a. m. GMT-5","Masculino","22","UTEC","Mecatronica","13.46","Sí","7","PC","MOBA","Entre S/.5000 y S/.10000","36","28","4","3"
"2022/06/21 12:05:45 a. m. GMT-5","Femenino","19","UTEC","Ingeniería Ambiental","14","No","8","Dispositivo móvil","Survival","Entre S/.1000 y S/.2000","12","10","15","2"
"2022/06/21 12:09:32 a. m. GMT-5","Femenino","18","UTEC","Ingeniería química ","15","No","8","Playstation","MOBA","Entre S/.100 y S/.1000","20","7","30","1"
"2022/06/21 12:13:04 a. m. GMT-5","Masculino","19","UTEC","Ingenieria electronica ","13.5","Sí","16","Playstation","MMO RPG","Entre S/.5000 y S/.10000","100","45","60","4"
"2022/06/21 12:13:09 a. m. GMT-5","Masculino","23","UTEC","Ingeniería de la energía ","14.7","No","8","PC","Estrategia","Entre S/.100 y S/.1000","30","3","40","1"
"2022/06/21 12:16:07 a. m. GMT-5","Femenino","24","UTEC","Ingeniería electrónica ","14.3","No","12","PC","Roguelike","Entre S/.100 y S/.1000","12","7","40","1"
"2022/06/21 12:17:45 a. m. GMT-5","Femenino","22","UTEC","Ingeniería industrial ","15.4","No","13","PC","MMO RPG","Entre S/.0 y S/.100","12","3","30","1"
"2022/06/21 12:19:48 a. m. GMT-5","Masculino","20","UTEC","Ingeniería mecánica ","15.4","Sí","9","PC","Estrategia","Más de S/.10000","18","3","30","1"
"2022/06/21 12:19:55 a. m. GMT-5","Femenino","19","UTEC","Administración y negocios digitales","17.78","No","12","PC","Shooters","Entre S/.1000 y S/.2000","70","20","70","3"
"2022/06/21 12:21:38 a. m. GMT-5","Masculino","20","UTEC","Ingenieria civil","14.66","Sí","10","Nintendo","Platformer","Entre S/.5000 y S/.10000","40","15","10","4"
"2022/06/21 12:22:16 a. m. GMT-5","Femenino","17","UTEC","Ingeniería electrónica ","14.45 ","No","9","Nintendo","Carreras","Entre S/.0 y S/.100","14","4","30","1"
"2022/06/21 12:24:03 a. m. GMT-5","Femenino","21","UTEC","Ingeniería Ambiental","16","Sí","8","PC","Survival","Entre S/.5000 y S/.10000","40","20","11","4"
"2022/06/21 12:24:15 a. m. GMT-5","Masculino","21","UTEC","Ciencias de la computación ","15.4 ","Sí","12","Xbox","MMO RPG","Más de S/.10000","30","9","40","1"
"2022/06/21 12:27:00 a. m. GMT-5","Masculino","18","UTEC","Ingeniería ambiental","14.7 ","Sí","12","Dispositivo móvil","Roguelike","Entre S/.5000 y S/.10000","19","8","29","1"
"2022/06/21 12:29:01 a. m. GMT-5","Masculino","18","UTEC","Ingeniería mecatronica","17.04 ","Sí","9","Playstation","MMO RPG","Más de S/.10000","20","4","30","1"
"2022/06/21 12:31:39 a. m. GMT-5","Femenino","24","UPN","Ingeniería Mecatrónica","12","Sí","10","PC","MOBA","Entre S/.2000 y S/.5000","22","10","12","4"
"2022/06/21 12:32:17 a. m. GMT-5","Masculino","17","UTEC","Ingeniería Mecatrónica","14.7","Sí","9","PC","Shooters","Entre S/.2000 y S/.5000","30","10","14","4"
"2022/06/21 12:32:32 a. m. GMT-5","Masculino","19","UTEC","Bioingenieria","16.3","Sí","12","Nintendo","Roguelike","Más de S/.10000","20","3","10","1"
"2022/06/21 12:35:47 a. m. GMT-5","Masculino","20","UTP","Ingeniera Electronica","16","Sí","13","Playstation","Deportivo","Entre S/.1000 y S/.2000","17","8","8","4"
"2022/06/21 12:35:55 a. m. GMT-5","Masculino","22","UTEC","Ingeniería industrial","14.45 ","Sí","13","Xbox","MOBA","Entre S/.5000 y S/.10000","13","5","18","2"
"2022/06/21 12:38:18 a. m. GMT-5","Femenino","18","UTEC","Ingeniería Ambiental","15","No","12","Dispositivo móvil","Platformer","Entre S/.100 y S/.1000","10","4","15","1"
"2022/06/21 12:39:35 a. m. GMT-5","Femenino","23","UTEC","Ingeniería mecatronica","14.45 ","Sí","12","Playstation","Estrategia","Más de S/.10000","13","11","20","2"
"2022/06/21 12:40:58 a. m. GMT-5","Masculino","20","UTEC","ingenieria ambiental","14.57","Sí","15","PC","Roguelike","Entre S/.100 y S/.1000","65","34","76","3"
"2022/06/21 12:43:14 a. m. GMT-5","Femenino","17","UTEC","Ingeniería de la energía ","14.45 ","Sí","11","PC","MMO RPG","Más de S/.10000","14","5","20","2"
"2022/06/21 12:43:21 a. m. GMT-5","Masculino","20","UTEC","Ingeniería Industrial","17.1","Sí","11","Xbox","Roguelike","Entre S/.1000 y S/.2000","35","25","15","3"
"2022/06/21 12:45:39 a. m. GMT-5","Masculino","22","UTEC","Bioingenieria","16.3","Sí","13","PC","Roguelike","Más de S/.10000","13","3","20","2"
"2022/06/21 12:45:47 a. m. GMT-5","Masculino","16","UTEC","Ingeniería Ambiental","17.87","No","8","Dispositivo móvil","Ninguno","S/.0","5","5","21","1"
"2022/06/21 12:47:11 a. m. GMT-5","Otro","20","UTEC","Ingenieria de la energia ","14.6","No","14","Playstation","Carreras","Entre S/.100 y S/.1000","56","46","70","4"
"2022/06/21 12:47:23 a. m. GMT-5","Femenino","18","UTEC","Ingeniería química ","14.45 ","No","12","Playstation","Deportivo","Entre S/.0 y S/.100","13","2","15","1"
"2022/06/21 12:48:02 a. m. GMT-5","Masculino","16","UTEC","Ciencias de la Computación","16.9","Sí","10","Playstation","Survival","Entre S/.1000 y S/.2000","21","14","21","3"
"2022/06/21 12:49:19 a. m. GMT-5","Femenino","21","UTEC","Ingeniería ambiental ","14.7 ","No","9","Playstation","Estrategia","Entre S/.100 y S/.1000","16","3","30","1"
"2022/06/21 12:51:37 a. m. GMT-5","Masculino","19","UTEC","Ciencias de la Computación","15.1","Sí","8","PC","Survival","Más de S/.10000","50","30","20","5"
"2022/06/21 12:51:55 a. m. GMT-5","Masculino","19","UPN","Ingeniería ambiental","13","Sí","18","PC","Estrategia","Entre S/.2000 y S/.5000","17","8","7","5"
"2022/06/21 12:53:02 a. m. GMT-5","Masculino","20","UTEC","Ingeniería de la Energía","12","Sí","8","Playstation","Deportivo","Más de S/.10000","12","15","15","3"
"2022/06/21 12:53:21 a. m. GMT-5","Femenino","21","UP","Ingeniería Civil ","15","No","15","Dispositivo móvil","Deportivo","Entre S/.1000 y S/.2000","21","15","10","5"
