"Sexo","Edad","Universidad","Carrera","Promedio_ponderado","Gamer","Edad_videojuegos","Plataforma","Genero_favorito","Dinero","Horas_pandemia","Horas_actuales","Horas_estudio","Afecta"
"Masculino",20,"UTEC","Ingenieria Industrial",17.1,"Si",11,"Xbox","Roguelike","1000-2000",35,25,15,3
"Masculino",22,"UTEC","Bioingenieria",16.3,"Si",13,"PC","Roguelike","10000+",13,3,20,2
"Masculino",16,"UTEC","Ingenieria Ambiental",17.87,"No",8,"Dispositivo movil","Ninguno","0",5,5,21,1
"Otro",20,"UTEC","Ingenieria De La Energia",14.6,"No",14,"Playstation","Carreras","100-1000",56,46,70,4
"Femenino",18,"UTEC","Ingenieria Quimica",14.45,"No",12,"Playstation","Deportivo","0-100",13,2,15,1
"Masculino",16,"UTEC","Ciencias De La Computacion",16.9,"Si",10,"Playstation","Survival","1000-2000",21,14,21,3
"Femenino",21,"UTEC","Ingenieria Ambiental",14.7,"No",9,"Playstation","Estrategia","100-1000",16,3,30,1
"Masculino",19,"UTEC","Ciencias De La Computacion",15.1,"Si",8,"PC","Survival","10000+",50,30,20,5
"Masculino",19,"UPN","Ingenieria Ambiental",13,"Si",18,"PC","Estrategia","2000-5000",17,8,7,5
"Masculino",20,"UTEC","Ingenieria De La Energia",12,"Si",8,"Playstation","Deportivo","10000+",12,15,15,3
"Femenino",21,"UP","Ingenieria Civil",15,"No",15,"Dispositivo movil","Deportivo","1000-2000",21,15,10,5
"Masculino",21,"UTEC","Ingenieria De La Energia",14.32,"No",7,"Dispositivo movil","Ritmo","0",2,2,20,1
"Femenino",16,"UP","Negocios Internacionales",16.1,"No",11,"Nintendo","Estrategia","0-100",10,4,20,1
"Masculino",19,"UTEC","Ingenieria Quimica",16.46,"Si",10,"Playstation","MOBA","5000-10000",76,20,50,3
"Masculino",20,"UP","Economia",13.5,"Si",7,"Playstation","Deportivo","2000-5000",40,15,30,4
"Masculino",20,"UTEC","Ingenieria De La Energia",14.45,"Si",8,"PC","MOBA","10000+",15,3,19,3
"Masculino",19,"ULima","Ingenieria Industrial",14,"No",15,"Playstation","Deportivo","1000-2000",16,10,8,4
"Masculino",18,"UPCH","Derecho",15.6,"Si",14,"Playstation","MMO RPG","5000-10000",60,15,68,4
"Masculino",16,"UTEC","Ciencias De La Computacion",14.3,"Si",8,"PC","Casino","10000+",30,20,23,4
"Masculino",20,"UTEC","Ingenieria Industrial",12,"Si",10,"PC","Platformer","5000-10000",12,12,15,3
"Femenino",18,"UTEC","Ciencias De La Computacion",16,"Si",10,"Dispositivo movil","Casino","10000+",30,27,25,3
"Masculino",22,"UTEC","Ingenieria Ambiental",14.45,"Si",6,"PC","Estrategia","10000+",14,13,30,2
"Masculino",21,"ULima","Ingenieria Industrial",12,"Si",14,"Playstation","Carreras","5000-10000",15,15,16,3
"Masculino",22,"ULima","Biologia",13.69,"Si",10,"Xbox","Survival","2000-5000",56,32,80,4
"Masculino",22,"UTEC","Ingenieria Civil",14.7,"Si",9,"PC","MOBA","10000+",18,12,19,1
"Femenino",19,"ULima","Comunicaciones",14.7,"Si",13,"PC","Casino","5000-10000",38,25,12,5
"Masculino",22,"UTEC","Ingenieria Civil",14.7,"Si",7,"PC","Estrategia","10000+",15,7,19,1
"Otro",18,"ULima","Ingenieria Mecatronica",12,"Si",7,"PC","MOBA","1000-2000",22,20,14,5
"Masculino",22,"UTEC","Ingenieria Ambiental",16.8,"Si",8,"PC","Carreras","10000+",17,12,18,2
"Femenino",19,"ULima","Economia",18.75,"Si",9,"Playstation","MMO RPG","2000-5000",32,65,43,5
"Masculino",22,"UTEC","Ciencias De La Computacion",16.4,"Si",17,"Nintendo","Platformer","10000+",50,25,17,4
"Femenino",17,"ULima","Administracion",16.09,"Si",10,"PC","Shooters","5000-10000",85,56,87,3
"Femenino",24,"UPC","Medicina",14.57,"No",14,"PC","Estrategia","1000-2000",45,10,80,2
"Masculino",23,"UTEC","Ingenieria Ambiental",14.45,"Si",12,"PC","Carreras","5000-10000",12,4,17,1
"Masculino",22,"UTEC","Ingenieria Mecatronica",15.28,"Si",15,"Playstation","Carreras","10000+",70,35,40,3
"Masculino",20,"ULima","Ingenieria Industrial",15.9,"Si",10,"PC","MOBA","5000-10000",35,28,25,4
"Masculino",19,"UTEC","Ingenieria Industrial",14,"Si",5,"PC","Estrategia","100-1000",12,6,3,2
"Femenino",18,"ULima","Ingenieria Mecatronica",15.5,"Si",7,"Playstation","Shooters","2000-5000",29,10,14,3
"Masculino",17,"ULima","Ingenieria Civil",16.56,"Si",13,"PC","Platformer","5000-10000",65,25,40,3
"Masculino",18,"UTEC","Ingenieria Industrial",16.8,"Si",13,"PC","Estrategia","10000+",13,11,18,2
"Masculino",21,"UTEC","Ciencias De La Computacion",13.07,"Si",10,"PC","MMO RPG","5000-10000",12,13,12,3
"Masculino",22,"UPC","Ingenieria Civil",13.4,"Si",13,"PC","Carreras","5000-10000",18,3,20,1
"Masculino",21,"UTEC","Ingenieria Ambiental",13.89,"Si",12,"Playstation","Carreras","10000+",35,32,10,4
"Femenino",22,"UTEC","Ingenieria Civil",12.76,"Si",10,"PC","MMO RPG","10000+",75,35,20,5
"Femenino",18,"UTP","Marketing",13.2,"Si",9,"Dispositivo movil","Estrategia","1000-2000",55,35,8,5
"Masculino",21,"UTEC","Ingenieria Ambiental",17.04,"Si",11,"PC","Estrategia","5000-10000",18,3,20,2
"Masculino",22,"UTEC","Ingenieria Mecanica",16.8,"Si",9,"Playstation","Estrategia","5000-10000",16,3,19,2
"Masculino",17,"ULima","Comunicaciones",12.1,"Si",8,"Playstation","Shooters","10000+",42,28,15,4
"Masculino",22,"UTEC","Ingenieria Ambiental",17.04,"Si",12,"Playstation","MOBA","5000-10000",17,12,20,1
"Masculino",19,"Otra","Arte",17.2,"Si",10,"PC","Shooters","100-1000",35,25,20,2
"Otro",17,"UPC","Gastronomia",15.46,"Si",15,"PC","Deportivo","2000-5000",40,30,40,3
"Masculino",20,"UTEC","Ciencias De La Computacion",16.5,"Si",7,"Playstation","Shooters","5000-10000",40,29,26,4
"Masculino",23,"UTEC","Ingenieria Mecatronica",16.8,"Si",11,"PC","Carreras","10000+",20,2,24,2
"Masculino",24,"UTEC","Ingenieria Industrial",13.46,"Si",6,"PC","Shooters","10000+",48,40,5,3
"Masculino",17,"ULima","Ingenieria Industrial",14.8,"Si",11,"Dispositivo movil","Estrategia","1000-2000",45,30,22,4
"Femenino",21,"UPC","Arquitectura",18.1,"No",14,"Dispositivo movil","Estrategia","0-100",20,5,25,1
"Masculino",17,"ULima","Arquitectura",16.54,"Si",13,"Playstation","Shooters","2000-5000",68,25,35,5
"Masculino",16,"UTEC","Ingenieria Mecatronica",16.6,"Si",9,"PC","Roguelike","10000+",50,35,30,5
"Femenino",23,"UTEC","Ingenieria Industrial",16.67,"Si",14,"Playstation","Survival","2000-5000",69,25,60,3
"Masculino",19,"UTEC","Ingenieria Quimica",15.29,"Si",5,"Playstation","Shooters","10000+",28,4,20,2
"Masculino",16,"ULima","Ciencias De La Computacion",15,"Si",9,"PC","Shooters","2000-5000",45,25,16,3
"Masculino",21,"ULima","Ingenieria Civil",12,"Si",16,"Playstation","Carreras","1000-2000",18,14,7,5
"Masculino",21,"UTEC","Ingenieria Industrial",14.6,"Si",14,"PC","Platformer","10000+",17,13,19,1
