Nombre de la evaluación,Componente ambiental,Matriz,Submatriz,Nombre del punto,Este,Norte,Zona,Datum,Altitud,Descripción de ubicación,Tipo de muestra,Fecha,Acidez,Aceites y grasas,Alcalinidad Total,Aluminio,Aluminio disuelto,Amoniaco,Antimonio,Antimonio disuelto,Arsénico,Arsénico disuelto,Bario,Bario disuelto,Berilio,Berilio disuelto,Bicarbonatos,Bismuto,Bismuto disuelto,Boro,Boro disuelto,Cadmio,Cadmio disuelto,Calcio,Calcio disuelto,Carbonatos,Carbono Orgánico Total,Caudal,Cianuro libre,Cianuro Total,Cianuro Wad,Cerio,Cerio disuelto,Cianuro Total,Cianuro Wad,Clorofila,Cloruros,Cobalto,Cobalto disuelto,Cobre,Cobre disuelto,Conductividad,Cromo,Cromo disuelto,Cromo Hexavalente,Cromo Hexavalente Total,Cromo Total,Demanda Bioquímica de Oxígeno,Demanda Química de Oxígeno (DQO),Estaño,Estaño disuelto,Estroncio,Estroncio disuelto,Fluoruros,Fosfato como P,Fosfatos,Fósforo,Fósforo disuelto,Fósforo Total,Hidrocarburos totales de petróleo (C10-C40),Hidrocarburos totales de petróleo (C6-C10),Hidrocarburos totales de petróleo (C6-C40),Hidrocarburos totales de petroleo (C8-C40),Hidrocarburos totales de petróleo,Hierro,Hierro disuelto,Litio,Litio disuelto,Magnesio,Magnesio disuelto,Manganeso,Manganeso disuelto,Material Particulado PM10,Mercurio,Mercurio disuelto,Mercurio Total,Molibdeno,Molibdeno disuelto,Níquel,Níquel disuelto,Nitratos (NO3-N),Nitratos(como N),Nitratos (NO3-N) + Nitritos (NO2-N),Nitritos (como N),Nitritos (NO2-N),Nitrógeno Amoniacal,Nitrógeno Total,Oxígeno Disuelto,PCB,pH,Plata,Plata disuelto,Plomo,Plomo disuelto,Potasio,Potasio disuelto,Potencial de hidrógeno,Potencial de Neutralización Sobek,Potencial redox,Potencial de óxido reducción (ORP),Selenio,Selenio disuelto,Silicatos,Silicio,Silicio disuelto,Sodio,Sodio disuelto,Sólidos Disueltos Totales (SDT),Sólidos Suspendidos Totales,Sólidos Totales Disueltos,Sulfato Total,Sulfatos,Sulfuro Total,Sulfuros,Talio,Talio disuelto,Temperatura,Titanio,Titanio disuelto,Torio,Torio disuelto,Turbidez,Uranio,Uranio disuelto,Vanadio,Vanadio disuelto,Wolframio disuelto,Wolframio,Zinc,Zinc disuelto,4-4῾DDD,4-4῾DDE,4-4῾DDT,4-4῾DDD2,4-4῾DDE3,4-4῾DDT4,Albicarb (parental),Albicarb sulfona,Albicarb sulfóxido,Aldrín,Alfa-BHC (Hexacloruro de Benceno),Beta-BHC (Hexacloruro de Benceno),Chlordane,Coliformes termotolerantes,Delta-BHC (Hexacloruro de Benceno),Dieldrin,Dimethoate,Disulfoton,Endosulfan I,Endosulfan Ii,Endosulfan Sulfate,Endrin,Endrin Aldehyde,Endrin Ketone,EPN (Ethyl p-nitrophenyl),Famphur (Famophos),Gamma-BHC (Lindano),Heptaclor,Heptaclor Epoxide,Malathion,Methoxychlor,Methyl Parathion,"O,O,O-Triethyphosphoticate",Parathion,Phorate,Sulfotep,Thionazin
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,MANA-24,798603,9228578,17 Sur,WGS84,3733,"Afloramiento El Poto, ubicado aproximadamente a 940 m al norte de la laguna Muyoc, en el caserío Santa Rosa de Milpo.",Simple,43172,,,,0.027 mg/L,<0.002 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.0006 mg/L,0.00049 mg/L,0.007 mg/L,0.007 mg/L,<0.00002 mg/L,<0.00002 mg/L,264.8 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,81.34 mg/L,79.49 mg/L,-,,0.023 L/s,- mg CN- Libre/L,,,,,-,-,-,0.064 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00059 mg/L,<0.00003 mg/L,383 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0743 mg/L,0.0743 mg/L,,,-,0.084 mg/L,<0.015 mg/L,,,,,,,0.0287 mg/L,<0.0004 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.3 mg/L,1.3 mg/L,0.00212 mg/L,0.00212 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.668 mg NO3-/L,,,,,-,-,6.39 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.14 mg/L,0.08 mg/L,7.55 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.153 mg/L,0.153 mg/L,,<2 mg/L,248 mg/L,-,0.824 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,11 °C,<0.0002 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,MANA-25,798806,9227609,17 Sur,WGS84,3691,Afloramiento ubicado aproximadamente a 300 m al noreste de la descarga de la laguna Muyoc.,Simple,43172,,,,0.064 mg/L,<0.002 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00099 mg/L,0.00074 mg/L,0.0144 mg/L,0.013 mg/L,<0.00002 mg/L,<0.00002 mg/L,326.6 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,100.6 mg/L,97.16 mg/L,-,,0.0185 L/s,- mg CN- Libre/L,,,,,-,-,-,0.335 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00043 mg/L,<0.00003 mg/L,503 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.1222 mg/L,0.1159 mg/L,,,-,0.065 mg/L,<0.015 mg/L,,,,,,,0.1207 mg/L,0.014 mg/L,<0.0001 mg/L,<0.0001 mg/L,3.192 mg/L,2.996 mg/L,0.01397 mg/L,0.00946 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.359 mg NO3-/L,,,,,-,-,3.17 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0004 mg/L,<0.0002 mg/L,0.21 mg/L,0.14 mg/L,7 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.278 mg/L,0.278 mg/L,,14 mg/L,340 mg/L,-,1.699 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,12.3 °C,0.0014 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,MANA-26,798670,9228494,17 Sur,WGS84,3741,"Afloramiento Los Chugures I, ubicado aproximadamente a 750 m al norte de la laguna Muyoc, en el caserío Santa Rosa de Milpo.",Simple,43172,,,,0.025 mg/L,0.014 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00044 mg/L,0.00044 mg/L,0.0059 mg/L,0.0059 mg/L,<0.00002 mg/L,<0.00002 mg/L,229.4 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,71.92 mg/L,67.11 mg/L,-,,0.0207 L/s,- mg CN- Libre/L,,,,,-,-,-,0.064 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00054 mg/L,0.00054 mg/L,334 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0668 mg/L,0.0632 mg/L,,,-,0.101 mg/L,0.022 mg/L,,,,,,,0.0277 mg/L,0.0076 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.252 mg/L,1.169 mg/L,0.00213 mg/L,0.00149 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,0.0006 mg/L,<0.0002 mg/L,0.522 mg NO3-/L,,,,,-,-,6.87 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0007 mg/L,<0.0002 mg/L,0.2 mg/L,0.14 mg/L,7.53 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.141 mg/L,0.141 mg/L,,<2 mg/L,232 mg/L,-,0.744 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,10 °C,0.0013 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,MANA-28,798688,9228134,17 Sur,WGS84,3713,"Afloramiento Los Chugures II, ubicado aproximadamente a 380 m al norte de la laguna Muyoc, en el caserío Santa Rosa de Milpo.",Simple,43172,,,,0.048 mg/L,<0.002 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00088 mg/L,0.00072 mg/L,0.0067 mg/L,0.0067 mg/L,<0.00002 mg/L,<0.00002 mg/L,249.5 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,80.26 mg/L,80.26 mg/L,-,,0.055 L/s,- mg CN- Libre/L,,,,,-,-,-,0.107 mg/L,<0.00001 mg/L,<0.00001 mg/L,<0.00003 mg/L,<0.00003 mg/L,368 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0859 mg/L,0.0859 mg/L,,,-,0.101 mg/L,<0.015 mg/L,,,,,,,0.1135 mg/L,0.0052 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.26 mg/L,1.26 mg/L,0.00413 mg/L,0.00096 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,1.124 mg NO3-/L,,,,,-,-,6.6 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.16 mg/L,0.11 mg/L,7.59 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.152 mg/L,0.152 mg/L,,8 mg/L,254 mg/L,-,1.569 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,10.2 °C,<0.0002 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,MANA-30,798722,9228072,17 Sur,WGS84,3710,"Afloramiento Sagosacha, ubicado aproximadamente a 365 m al norte de la laguna Muyoc, en el caserío Santa Rosa de Milpo.",Simple,43172,,,,0.183 mg/L,0.008 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00131 mg/L,0.00086 mg/L,0.0074 mg/L,0.0063 mg/L,<0.00002 mg/L,<0.00002 mg/L,254.1 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,88.82 mg/L,81.25 mg/L,-,,-,- mg CN- Libre/L,,,,,-,-,-,0.134 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00049 mg/L,<0.00003 mg/L,386 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0902 mg/L,0.085 mg/L,,,-,0.161 mg/L,<0.015 mg/L,,,,,,,0.2226 mg/L,<0.0004 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.199 mg/L,1.137 mg/L,0.01434 mg/L,0.00071 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.699 mg NO3-/L,,,,,-,-,6.94 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0014 mg/L,<0.0002 mg/L,0.19 mg/L,<0.04 mg/L,8.45 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.163 mg/L,0.163 mg/L,,16 mg/L,252 mg/L,-,1.337 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,10.3 °C,0.0037 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,MANA-32,798871,9227734,17 Sur,WGS84,3721,"Afloramiento Los Corrales, ubicado aproximadamente a 80 m al este de la laguna Muyoc.",Simple,43172,,,,0.295 mg/L,<0.002 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00171 mg/L,0.00113 mg/L,0.0059 mg/L,0.0055 mg/L,<0.00002 mg/L,<0.00002 mg/L,261.5 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,87.66 mg/L,87.66 mg/L,-,,0.0243 L/s,- mg CN- Libre/L,,,,,-,-,-,0.08 mg/L,<0.00001 mg/L,<0.00001 mg/L,<0.00003 mg/L,<0.00003 mg/L,393 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.086 mg/L,0.086 mg/L,,,-,0.118 mg/L,<0.015 mg/L,,,,,,,0.1531 mg/L,<0.0004 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.133 mg/L,1.133 mg/L,0.01418 mg/L,0.00283 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,0.0008 mg/L,<0.0002 mg/L,0.266 mg NO3-/L,,,,,-,-,6.89 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0017 mg/L,<0.0002 mg/L,0.15 mg/L,<0.04 mg/L,8.5 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.154 mg/L,0.154 mg/L,,<2 mg/L,258 mg/L,-,1.314 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,10.4 °C,0.0013 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,QMilp1,797272,9227648,17 Sur,WGS84,3761,"Quebrada Milpo, aproximadamente a 60 m de la descarga de la laguna del mismo nombre en el caserío Santa Rosa de Milpo.",Simple,43172,,,,0.213 mg/L,0.169 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.0005 mg/L,0.00049 mg/L,0.0052 mg/L,0.005 mg/L,<0.00002 mg/L,<0.00002 mg/L,4.8 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,0.005 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.47 mg/L,0.47 mg/L,-,,0.112 L/s,- mg CN- Libre/L,,,,,-,-,-,0.105 mg/L,0.00065 mg/L,<0.00001 mg/L,0.0736 mg/L,0.06476 mg/L,26 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0045 mg/L,0.0045 mg/L,,,-,0.049 mg/L,<0.015 mg/L,,,,,,,0.1411 mg/L,0.0981 mg/L,<0.0001 mg/L,<0.0001 mg/L,0.153 mg/L,0.153 mg/L,0.01592 mg/L,0.01581 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,0.0006 mg/L,<0.0002 mg/L,<0.009 mg NO3-/L,,,,,-,-,6.78 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0005 mg/L,<0.0002 mg/L,0.5 mg/L,0.44 mg/L,4.61 Unidad de pH,-,,258.2 mV,<0.0004 mg/L,<0.0004 mg/L,,,,0.4 mg/L,0.4 mg/L,,<2 mg/L,15 mg/L,-,4.205 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,12.3 °C,<0.0002 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LMuy5,798661,9227649,17 Sur,WGS84,3678,"Laguna Muyoc, aproximadamente a 120 m de la orilla sur (interior de la laguna).",Simple,43173,,,,0.037 mg/L,0.015 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00146 mg/L,0.00111 mg/L,0.0072 mg/L,0.0066 mg/L,<0.00002 mg/L,<0.00002 mg/L,212.9 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,66.06 mg/L,64.77 mg/L,-,,-,- mg CN- Libre/L,,,,,-,-,0.007 mg/L,0.438 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00064 mg/L,<0.00003 mg/L,310 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0877 mg/L,0.0856 mg/L,,,<0.004 mg/L,0.078 mg/L,<0.015 mg/L,,,,,,,0.2619 mg/L,0.0383 mg/L,<0.0001 mg/L,<0.0001 mg/L,2.242 mg/L,2.162 mg/L,0.03876 mg/L,0.03295 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,<0.009 mg NO3-/L,,,,,-,0.117 mg N/L,7.99 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0018 mg/L,<0.0002 mg/L,0.47 mg/L,0.41 mg/L,8.47 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.451 mg/L,0.447 mg/L,,<2 mg/L,222 mg/L,-,2.047 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,15.7 °C,<0.0002 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LMuy6,798556,9227584,17 Sur,WGS84,3678,"Laguna Muyoc, aproximadamente a 60 m de la descarga (interior de la laguna).",Simple,43173,,,,0.036 mg/L,0.023 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00151 mg/L,0.00121 mg/L,0.0089 mg/L,0.0083 mg/L,<0.00002 mg/L,<0.00002 mg/L,211.6 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,65.57 mg/L,65.57 mg/L,-,,-,- mg CN- Libre/L,,,,,-,-,0.003 mg/L,0.623 mg/L,<0.00001 mg/L,<0.00001 mg/L,<0.00003 mg/L,<0.00003 mg/L,314 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0915 mg/L,0.0915 mg/L,,,<0.004 mg/L,0.067 mg/L,<0.015 mg/L,,,,,,,0.2441 mg/L,0.0351 mg/L,<0.0001 mg/L,<0.0001 mg/L,2.134 mg/L,2.108 mg/L,0.05513 mg/L,0.04739 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,<0.009 mg NO3-/L,,,,,-,0.181 mg N/L,8.33 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.48 mg/L,0.39 mg/L,8.54 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.497 mg/L,0.497 mg/L,,<2 mg/L,208 mg/L,-,2.158 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,16.6 °C,<0.0002 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LMuy7,798528,9227728,17 Sur,WGS84,3678,"Laguna Muyoc, aproximadamente a 55 m de la orilla este (interior de la laguna).",Simple,43173,,,,0.055 mg/L,0.024 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00149 mg/L,0.00114 mg/L,0.0079 mg/L,0.0069 mg/L,<0.00002 mg/L,<0.00002 mg/L,219.3 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,66.76 mg/L,64.12 mg/L,-,,-,- mg CN- Libre/L,,,,,-,-,0.006 mg/L,0.335 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00093 mg/L,<0.00003 mg/L,321 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0891 mg/L,0.0832 mg/L,,,<0.004 mg/L,0.078 mg/L,<0.015 mg/L,,,,,,,0.3885 mg/L,0.0665 mg/L,<0.0001 mg/L,<0.0001 mg/L,2.199 mg/L,2.091 mg/L,0.04968 mg/L,0.04226 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,0.00045 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,<0.009 mg NO3-/L,,,,,-,0.132 mg N/L,7.71 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0004 mg/L,<0.0002 mg/L,0.53 mg/L,0.41 mg/L,8.44 Unidad de pH,-,,-,<0.0004 mg/L,<0.0004 mg/L,,,,0.464 mg/L,0.442 mg/L,,<2 mg/L,224 mg/L,-,1.196 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,16.8 °C,<0.0002 mg/L,<0.0002 mg/L,,,,0.00032 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LMuy1,798497,9227767,17 Sur,WGS84,3678,"Laguna Muyoc, aproximadamente a 65 m del aporte fluvial de la quebrada Muyoc.",Simple,43174,,,,0.05 mg/L,0.025 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00157 mg/L,0.00115 mg/L,0.0064 mg/L,0.0046 mg/L,<0.00002 mg/L,<0.00002 mg/L,212.7 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,65.71 mg/L,61.9 mg/L,-,,-,- mg CN- Libre/L,,,,,-,-,0.007 mg/L,0.149 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00076 mg/L,0.00042 mg/L,304 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.087 mg/L,0.083 mg/L,,,<0.004 mg/L,0.08 mg/L,<0.015 mg/L,,,,,,,0.4714 mg/L,0.092 mg/L,<0.0001 mg/L,<0.0001 mg/L,2.186 mg/L,2.088 mg/L,0.05947 mg/L,0.04645 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,0.0007 mg/L,<0.0002 mg/L,<0.009 mg NO3-/L,,,,,-,0.168 mg N/L,12.67 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0004 mg/L,<0.0002 mg/L,0.41 mg/L,0.31 mg/L,8.71 Unidad de pH,-,,47.4 mV,<0.0004 mg/L,<0.0004 mg/L,,,,0.42 mg/L,0.42 mg/L,,4 mg/L,206 mg/L,-,1.075 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,13.4 °C,<0.0002 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LMuy2,798648,9227497,17 Sur,WGS84,3678,"Laguna Muyoc, aproximadamente a 130 m al este de la descarga.",Simple,43174,,,,0.204 mg/L,0.046 mg/L,-,<0.00004 mg/L,<0.00004 mg/L,0.00157 mg/L,0.00114 mg/L,0.0099 mg/L,0.0071 mg/L,<0.00002 mg/L,<0.00002 mg/L,209.3 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,62.82 mg/L,61.54 mg/L,-,,-,- mg CN- Libre/L,,,,,-,-,0.005 mg/L,0.353 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00048 mg/L,0.00039 mg/L,308 uS/cm,<0.0001 mg/L,<0.0001 mg/L,-,,,,- mg O2/L,<0.00003 mg/L,<0.00003 mg/L,0.0864 mg/L,0.0825 mg/L,,,<0.004 mg/L,0.094 mg/L,<0.015 mg/L,,,,,,,0.414 mg/L,0.0763 mg/L,<0.0001 mg/L,<0.0001 mg/L,2.258 mg/L,2.206 mg/L,0.06661 mg/L,0.05027 mg/L,,<0.00003 mg/L,<0.00003 mg/L,-,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,<0.009 mg NO3-/L,,,,,-,0.133 mg N/L,9.89 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0004 mg/L,<0.0002 mg/L,0.54 mg/L,0.43 mg/L,8.58 Unidad de pH,-,,63.4 mV,<0.0004 mg/L,<0.0004 mg/L,,,,0.499 mg/L,0.499 mg/L,,7 mg/L,202 mg/L,-,1.186 mg SO4-2/L,-,-,<0.00002 mg/L,<0.00002 mg/L,15.4 °C,0.0016 mg/L,<0.0002 mg/L,,,,0.000304 mg/L,0.00028 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
