"","HORA","DEPARTAMENTO","CODE_VIA","KILOMETRO","MODALIDAD","FALLECIDOS","HERIDOS","LATITUD","LONGITUD","ANNO","MES","DIA"
"81",18.5,"MOQUEGUA","PE-1S",1136,"DESPISTE",0,0,-16.81,-69.07,"2020","ENERO","05"
"82",17,"PUNO","PE-3S",1258,"DESPISTE",0,5,-14.16,-69.98,"2020","ENERO","05"
"83",10.33,"AREQUIPA","PE-34E",1300,"CHOQUE",0,0,-15.6,-70.47,"2020","ENERO","05"
"84",15.67,"LIMA","PE-22",10,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","06"
"85",6,"LA LIBERTAD","PE-5N",20,"DESPISTE",0,7,-80.57,-77.53,"2020","ENERO","06"
"86",23.67,"AYACUCHO","PE-28B",28,"DESPISTE",0,0,-12.84,-73.78,"2020","ENERO","06"
"87",22.5,"PUNO","PE-30A",75,"CHOQUE",1,0,-14.16,-69.98,"2020","ENERO","06"
"88",16,"ICA","PE-30A",118,"DESPISTE",0,0,-13.93,-74.27,"2020","ENERO","06"
"89",13.75,"HUANCAVELICA","PE-3S",135,"ATROPELLO",1,0,-11.22,-73.03,"2020","ENERO","06"
"90",2.5,"ICA","PE-1S",196,"ATROPELLO",1,0,-13.93,-74.27,"2020","ENERO","06"
"91",11.33,"ICA","PE-1S",273,"ATROPELLO",1,0,-13.93,-74.27,"2020","ENERO","06"
"92",0.33,"AREQUIPA","PE-1S",571,"CHOQUE",16,46,-15.6,-70.47,"2020","ENERO","06"
"93",12.5,"AREQUIPA","PE-1S",902,"DESPISTE",0,1,-15.6,-70.47,"2020","ENERO","06"
"94",14.33,"AREQUIPA","PE-1S",988,"CHOQUE",2,5,-15.6,-70.47,"2020","ENERO","06"
"95",15,"LIMA","PE-1S",29,"CHOQUE",0,1,-11.96,-76.96,"2020","ENERO","07"
"96",11.5,"HUANUCO","PE-18A",111,"DESPISTE",0,0,-98.8,-75.76,"2020","ENERO","07"
"97",4.5,"HUANCAVELICA","PE-28A",124,"ESPECIAL",0,2,-11.22,-73.03,"2020","ENERO","07"
"98",16.5,"AREQUIPA","PE-34A",151,"DESPISTE",0,1,-15.6,-70.47,"2020","ENERO","07"
"99",5,"CUSCO","PE-3S",155,"CHOQUE",1,0,-12.47,-70.04,"2020","ENERO","07"
"100",6.25,"ANCASH","PE-1N",246,"DESPISTE",0,3,-92.75,-76.44,"2020","ENERO","07"
"101",19.5,"APURIMAC","PE-30A",283,"DESPISTE",0,6,-13.95,NA,"2020","ENERO","07"
"102",17.25,"ANCASH","PE-1N",287,"DESPISTE",0,1,-92.75,-76.44,"2020","ENERO","07"
"103",3.25,"ICA","PE-1S",315,"DESPISTE",0,1,-13.93,-74.27,"2020","ENERO","07"
"104",8.17,"ANCASH","PE-3N",629,"CHOQUE",0,2,-92.75,-76.44,"2020","ENERO","07"
"105",13,"CUSCO","PE-3S",870,"CHOQUE",0,1,-12.47,-70.04,"2020","ENERO","07"
"106",16.5,"AREQUIPA","PE-1S",872,"DESPISTE",0,0,-15.6,-70.47,"2020","ENERO","07"
"107",6,"CUSCO","PE-3S",1063,"CHOQUE",0,0,-12.47,-70.04,"2020","ENERO","07"
"108",11.58,"JUNIN","PE-22",15,"DESPISTE",0,1,-10.85,-74.01,"2020","ENERO","08"
"109",16.5,"AREQUIPA","PE-34E",23,"DESPISTE",2,4,-15.6,-70.47,"2020","ENERO","08"
"110",7.58,"JUNIN","PE-22",37,"DESPISTE",0,1,-10.85,-74.01,"2020","ENERO","08"
"111",21,"LIMA","PE-1N",48,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","08"
"112",15.33,"CAJAMARCA","PE-3N",50,"DESPISTE",0,0,-70.39,-77.49,"2020","ENERO","08"
"113",3.5,"PIURA","PE-1N",61,"CHOQUE",0,0,-50.22,-79.35,"2020","ENERO","08"
"114",21,"HUANCAVELICA","PE-28A",80,"CHOQUE",1,0,-11.22,-73.03,"2020","ENERO","08"
"115",14.67,"AREQUIPA","PE-34A",141,"DESPISTE",0,2,-15.6,-70.47,"2020","ENERO","08"
"116",10,"PUNO","PE-34A",205,"DESPISTE",0,2,-14.16,-69.98,"2020","ENERO","08"
"117",11.5,"HUANUCO","PE-3N",272,"DESPISTE",0,2,-98.8,-75.76,"2020","ENERO","08"
"118",4.33,"ICA","PE-1S",331,"CHOQUE",2,5,-13.93,-74.27,"2020","ENERO","08"
"119",5.5,"ANCASH","PE-1N",416,"ATROPELLO",1,0,-92.75,-76.44,"2020","ENERO","08"
"120",12.33,"ANCASH","PE-12B",8,"DESPISTE",0,25,-92.75,-76.44,"2020","ENERO","09"
"121",5.5,"LA LIBERTAD","PE-1NF",9,"DESPISTE",0,0,-80.57,-77.53,"2020","ENERO","09"
"122",15.42,"CAJAMARCA","PE-06B",11,"CHOQUE",0,3,-70.39,-77.49,"2020","ENERO","09"
"123",18.33,"AREQUIPA","PE-34A",88,"CHOQUE",0,1,-15.6,-70.47,"2020","ENERO","09"
"124",21.5,"LAMBAYEQUE","PE-1N",89,"CHOQUE",0,1,-66.81,-78.1,"2020","ENERO","09"
"125",22.25,"AREQUIPA","PE-34A",120,"CHOQUE",0,4,-15.6,-70.47,"2020","ENERO","09"
"126",7.33,"JUNIN","PE-22",135,"CHOQUE",0,0,-10.85,-74.01,"2020","ENERO","09"
"127",23,"ANCASH","PE-1N",432,"ESPECIAL",0,1,-92.75,-76.44,"2020","ENERO","09"
"128",6.5,"SAN MARTIN","PE-5N",634,"ESPECIAL",0,1,-71.56,-75.18,"2020","ENERO","09"
"129",9.67,"LA LIBERTAD","PE-1N",655,"DESPISTE",0,5,-80.57,-77.53,"2020","ENERO","09"
"130",10.5,"AREQUIPA","PE-1S",823,"ATROPELLO",1,0,-15.6,-70.47,"2020","ENERO","09"
"131",20.17,"CUSCO","PE-3S",1067,"DESPISTE",0,2,-12.47,-70.04,"2020","ENERO","09"
"132",23.83,"TACNA","PE-1SD",28,"CHOQUE",0,0,-18,-69.76,"2020","ENERO","10"
"133",23.25,"LIMA","PE-1S",70,"DESPISTE",0,5,-11.96,-76.96,"2020","ENERO","10"
"134",12,"ICA","PE-30A",71,"DESPISTE",2,0,-13.93,-74.27,"2020","ENERO","10"
"135",20.5,"CAJAMARCA","PE-06B",79,"CHOQUE",0,2,-70.39,-77.49,"2020","ENERO","10"
"136",23.5,"LIMA","PE-1S",91,"ATROPELLO",1,0,-11.96,-76.96,"2020","ENERO","10"
"137",19.83,"JUNIN","PE-3N",94,"CHOQUE",0,0,-10.85,-74.01,"2020","ENERO","10"
"138",16.67,"LIMA","PE-1S",101,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","10"
"139",17.42,"LIMA","PE-1S",129,"DESPISTE",0,1,-11.96,-76.96,"2020","ENERO","10"
"140",17,"LAMBAYEQUE","PE-06A",167,"DESPISTE",0,2,-66.81,-78.1,"2020","ENERO","10"
"141",5,"AREQUIPA","PE-34A",179,"DESPISTE",1,4,-15.6,-70.47,"2020","ENERO","10"
"142",6.75,"ICA","PE-1S",195,"CHOQUE",0,1,-13.93,-74.27,"2020","ENERO","10"
"143",2.5,"AMAZONAS","PE-5N",264,"DESPISTE",0,6,-50.85,-77.89,"2020","ENERO","10"
"144",17.67,"LA LIBERTAD","PE-1N",506,"ESPECIAL",0,0,-80.57,-77.53,"2020","ENERO","10"
"145",6.5,"LA LIBERTAD","PE-1N",620,"CHOQUE",0,4,-80.57,-77.53,"2020","ENERO","10"
"146",17.67,"ANCASH","AN-110",3,"CHOQUE",0,0,-92.75,-76.44,"2020","ENERO","11"
"147",17.5,"AREQUIPA","PE-34E",20,"CHOQUE",0,10,-15.6,-70.47,"2020","ENERO","11"
"148",11,"LIMA","PE-1N",22,"ATROPELLO",0,2,-11.96,-76.96,"2020","ENERO","11"
"149",10.75,"LIMA","PE-1N",75,"ESPECIAL",0,2,-11.96,-76.96,"2020","ENERO","11"
"150",3.33,"LIMA","PE-22",87,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","11"
"151",7.67,"CAJAMARCA","PE-3N",94,"CHOQUE",0,2,-70.39,-77.49,"2020","ENERO","11"
"152",7.77,"LIMA","PE-22",100,"CHOQUE",0,5,-11.96,-76.96,"2020","ENERO","11"
"153",3.75,"CUSCO","PE-28B",101,"DESPISTE",0,0,-12.47,-70.04,"2020","ENERO","11"
"154",23.67,"JUNIN","PE-3S",124,"CHOQUE",0,0,-10.85,-74.01,"2020","ENERO","11"
"155",14.33,"PUNO","PE-34H",131,"CHOQUE",0,0,-14.16,-69.98,"2020","ENERO","11"
"156",22.17,"JUNIN","PE-22",160,"DESPISTE",0,0,-10.85,-74.01,"2020","ENERO","11"
"157",6.75,"ICA","PE-1S",187,"CHOQUE",0,1,-13.93,-74.27,"2020","ENERO","11"
"158",20.5,"LA LIBERTAD","PE-1N",518,"CHOQUE",0,0,-80.57,-77.53,"2020","ENERO","11"
"159",17.08,"AREQUIPA","PE-1S",587,"DESPISTE",0,0,-15.6,-70.47,"2020","ENERO","11"
"160",20.5,"LAMBAYEQUE","PE-1N",768,"CHOQUE",0,1,-66.81,-78.1,"2020","ENERO","11"
"161",0.5,"PIURA","PE-1N",971,"CHOQUE",0,1,-50.22,-79.35,"2020","ENERO","11"
"162",5,"AREQUIPA","PE-1S",987,"CHOQUE",0,0,-15.6,-70.47,"2020","ENERO","11"
"163",1.5,"CUSCO","PE-3S",993,"CHOQUE",1,0,-12.47,-70.04,"2020","ENERO","11"
"164",4.5,"CUSCO","PE-3S",1106,"CHOQUE",0,2,-12.47,-70.04,"2020","ENERO","11"
"165",11.67,"MOQUEGUA","PE-1S",1261,"CHOQUE",0,1,-16.81,-69.07,"2020","ENERO","11"
"166",19.75,"PUNO","PE-34H",6,"CHOQUE",1,0,-14.16,-69.98,"2020","ENERO","12"
"167",4.17,"LAMBAYEQUE","PE-08",9,"CHOQUE",1,1,-66.81,-78.1,"2020","ENERO","12"
"168",15.5,"ANCASH","AN-111",20,"DESPISTE",0,1,-92.75,-76.44,"2020","ENERO","12"
"169",0.5,"LIMA","PE-1N",43,"CHOQUE",0,1,-11.96,-76.96,"2020","ENERO","12"
"170",1.17,"LIMA","PE-22",60,"CHOQUE",0,2,-11.96,-76.96,"2020","ENERO","12"
"171",16.5,"LIMA","PE-1N",63,"DESPISTE",0,5,-11.96,-76.96,"2020","ENERO","12"
"172",6.67,"LIMA","PE-1S",66,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","12"
"173",23.33,"UCAYALI","PE-18C",96,"CHOQUE",2,0,-97.75,NA,"2020","ENERO","12"
"174",7.5,"LIMA","PE-22",98,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","12"
"175",16.83,"AREQUIPA","PE-1SD",119,"DESPISTE",0,2,-15.6,-70.47,"2020","ENERO","12"
"176",14.5,"JUNIN","PE-3S",137,"CHOQUE",0,3,-10.85,-74.01,"2020","ENERO","12"
"177",1.92,"LIMA","PE-1N",159,"CHOQUE",1,27,-11.96,-76.96,"2020","ENERO","12"
"178",8.92,"ICA","PE-1S",199,"DESPISTE",0,2,-13.93,-74.27,"2020","ENERO","12"
"179",21.5,"ICA","PE-1S",225,"CHOQUE",0,0,-13.93,-74.27,"2020","ENERO","12"
"180",17.33,"AMAZONAS","PE-08B",277,"DESPISTE",0,0,-50.85,-77.89,"2020","ENERO","12"
"181",14.83,"ANCASH","PE-1N",320,"ESPECIAL",0,0,-92.75,-76.44,"2020","ENERO","12"
"182",3.75,"MADRE DE DIOS","PE-30C",329,"DESPISTE",0,1,-10.24,-69.19,"2020","ENERO","12"
"183",4.33,"ICA","PE-1S",357,"CHOQUE",5,6,-13.93,-74.27,"2020","ENERO","12"
"184",6.33,"SAN MARTIN","PE-5N",390,"DESPISTE",0,0,-71.56,-75.18,"2020","ENERO","12"
"185",17.5,"MADRE DE DIOS","PE-30C",460,"DESPISTE",1,3,-10.24,-69.19,"2020","ENERO","12"
"186",13.17,"LA LIBERTAD","PE-1N",521,"CHOQUE",0,3,-80.57,-77.53,"2020","ENERO","12"
"187",15,"AREQUIPA","PE-1S",576,"CHOQUE",0,1,-15.6,-70.47,"2020","ENERO","12"
"188",18.58,"LA LIBERTAD","PE-1N",656,"DESPISTE",0,6,-80.57,-77.53,"2020","ENERO","12"
"189",18.17,"AREQUIPA","PE-1S",688,"DESPISTE",0,0,-15.6,-70.47,"2020","ENERO","12"
"190",9,"PUNO","PE-3S",1300,"CHOQUE",0,1,-14.16,-69.98,"2020","ENERO","12"
"191",4.42,"CAJAMARCA","PE-3N",1814,"CHOQUE",0,2,-70.39,-77.49,"2020","ENERO","12"
"192",15.33,"AMAZONAS","PE-5N",12,"CHOQUE",0,0,-50.85,-77.89,"2020","ENERO","13"
"193",19,"JUNIN","PE-5S",12,"DESPISTE",0,0,-10.85,-74.01,"2020","ENERO","13"
"194",17.67,"JUNIN","PE-3S",46,"CHOQUE",0,0,-10.85,-74.01,"2020","ENERO","13"
"195",13.33,"JUNIN","PE-3S",46,"CHOQUE",0,1,-10.85,-74.01,"2020","ENERO","13"
"196",20.33,"HUANUCO","PE-18A",50,"DESPISTE",0,0,-98.8,-75.76,"2020","ENERO","13"
"197",15.58,"PUNO","PE-34H",55,"DESPISTE",0,0,-14.16,-69.98,"2020","ENERO","13"
"198",22,"AREQUIPA","PE-34A",76,"DESPISTE",0,0,-15.6,-70.47,"2020","ENERO","13"
"199",18.83,"LAMBAYEQUE","PE-06A",92,"CHOQUE",1,0,-66.81,-78.1,"2020","ENERO","13"
"200",16.33,"AMAZONAS","PE-5N",135,"DESPISTE",0,3,-50.85,-77.89,"2020","ENERO","13"
"201",15.83,"LA LIBERTAD","PE-1N",561,"ATROPELLO",0,1,-80.57,-77.53,"2020","ENERO","13"
"202",13.17,"TACNA","PE-1S",1235,"DESPISTE",0,1,-18,-69.76,"2020","ENERO","13"
"203",11.67,"LIMA","PE-1S",24,"CHOQUE",1,0,-11.96,-76.96,"2020","ENERO","14"
"204",16.5,"LIMA","PE-1SJ",32,"CHOQUE",0,2,-11.96,-76.96,"2020","ENERO","14"
"205",13.58,"LIMA","PE-1N",75,"CHOQUE",0,1,-11.96,-76.96,"2020","ENERO","14"
"206",13.92,"PUNO","PE-34H",86,"CHOQUE",0,2,-14.16,-69.98,"2020","ENERO","14"
"207",18,"HUANCAVELICA","PE-28A",114,"DESPISTE",0,1,-11.22,-73.03,"2020","ENERO","14"
"208",16.5,"LIMA","PE-1S",125,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","14"
"209",13.5,"JUNIN","PE-22",145,"DESPISTE",0,0,-10.85,-74.01,"2020","ENERO","14"
"210",2.67,"LIMA","PE-1N",201,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","14"
"211",15,"ANCASH","PE-1N",331,"DESPISTE",1,5,-92.75,-76.44,"2020","ENERO","14"
"212",12.5,"APURIMAC","PE-3S",828,"DESPISTE",0,3,-13.95,NA,"2020","ENERO","14"
"213",2.5,"CUSCO","PE-3S",970,"DESPISTE",0,3,-12.47,-70.04,"2020","ENERO","14"
"214",19.17,"CUSCO","PE-3S",1009,"CHOQUE",0,2,-12.47,-70.04,"2020","ENERO","14"
"215",18,"LIMA","PE-20A",6,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","15"
"216",21.5,"AMAZONAS","PE-5N",7,"DESPISTE",0,1,-50.85,-77.89,"2020","ENERO","15"
"217",21.58,"PIURA","PE-02A",8,"DESPISTE",1,0,-50.22,-79.35,"2020","ENERO","15"
"218",7.83,"LIMA","PE-1S",32,"DESPISTE",0,1,-11.96,-76.96,"2020","ENERO","15"
"219",3,"JUNIN","PE-3S",37,"CHOQUE",0,8,-10.85,-74.01,"2020","ENERO","15"
"220",17.67,"JUNIN","PE-3S",62,"DESPISTE",0,1,-10.85,-74.01,"2020","ENERO","15"
"221",17.67,"JUNIN","PE-3S",62,"DESPISTE",0,1,-10.85,-74.01,"2020","ENERO","15"
"222",20.25,"LIMA","PE-1N",81,"ATROPELLO",1,1,-11.96,-76.96,"2020","ENERO","15"
"223",3.5,"JUNIN","PE-22",152,"DESPISTE",0,0,-10.85,-74.01,"2020","ENERO","15"
"224",16,"PIURA","PE-1NJ",154,"DESPISTE",0,6,-50.22,-79.35,"2020","ENERO","15"
"225",7.5,"CAJAMARCA","PE-06B",155,"DESPISTE",1,1,-70.39,-77.49,"2020","ENERO","15"
"226",9.5,"HUANUCO","PE-14A",203,"DESPISTE",0,0,-98.8,-75.76,"2020","ENERO","15"
"227",11.92,"ICA","PE-1S",208,"DESPISTE",0,2,-13.93,-74.27,"2020","ENERO","15"
"228",6.83,"LIMA","PE-1N",217,"DESPISTE",0,2,-11.96,-76.96,"2020","ENERO","15"
"229",18,"ICA","PE-1S",268,"DESPISTE",0,3,-13.93,-74.27,"2020","ENERO","15"
"230",8.5,"AMAZONAS","PE-5N",273,"DESPISTE",0,0,-50.85,-77.89,"2020","ENERO","15"
"231",15.78,"ICA","PE-1S",283,"ATROPELLO",0,1,-13.93,-74.27,"2020","ENERO","15"
"232",17,"AYACUCHO","PE-28A",313,"DESPISTE",0,0,-12.84,-73.78,"2020","ENERO","15"
"233",7.75,"ANCASH","PE-1N",342,"CHOQUE",0,0,-92.75,-76.44,"2020","ENERO","15"
"234",22.17,"ANCASH","PE-1N",343,"DESPISTE",0,2,-92.75,-76.44,"2020","ENERO","15"
"235",14.33,"CUSCO","PE-3S",985,"ATROPELLO",1,0,-12.47,-70.04,"2020","ENERO","15"
"236",12.83,"PUNO","PE-3S",1280,"DESPISTE",0,1,-14.16,-69.98,"2020","ENERO","15"
"237",18.33,"LORETO","LO-103",11,"CHOQUE",0,2,-41.68,-73.79,"2020","ENERO","16"
"238",16.5,"CUSCO","PE-28B",14,"ATROPELLO",0,1,-12.47,-70.04,"2020","ENERO","16"
"239",21.75,"LIMA","PE-1NA",20,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","16"
"240",3.73,"CAJAMARCA","PE-06B",32,"DESPISTE",0,7,-70.39,-77.49,"2020","ENERO","16"
"241",17.25,"AREQUIPA","PE-34F",38,"DESPISTE",0,0,-15.6,-70.47,"2020","ENERO","16"
"242",5.5,"LIMA","PE-22",40,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","16"
"243",4,"LIMA","PE-20A",45,"DESPISTE",1,3,-11.96,-76.96,"2020","ENERO","16"
"244",19,"HUANUCO","PE-18A",49,"DESPISTE",0,0,-98.8,-75.76,"2020","ENERO","16"
"245",15,"AREQUIPA","PE-34A",53,"CHOQUE",0,3,-15.6,-70.47,"2020","ENERO","16"
