Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Lectura,Medida Promedio en Matemática
010523,AMAZONAS,LUYA,TRITA,100.0,100.0,555,580
010601,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLAS,100.0,98.2,612,627
010602,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,100.0,97.7,543,542
010603,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,100.0,87.5,787,868
010604,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,100.0,94.7,583,571
010605,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,100.0,100.0,531,544
010606,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,100.0,87.5,653,665
010607,AMAZONAS,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,100.0,100.0,584,623
010608,AMAZONAS,RODRÍGUEZ DE MENDOZA,MILPUC,100.0,84.6,552,493
010609,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,100.0,92.5,554,564
010610,AMAZONAS,RODRÍGUEZ DE MENDOZA,SANTA ROSA,100.0,100.0,565,521
010612,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,100.0,93.8,565,587
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,100.0,96.1,591,599
010702,AMAZONAS,UTCUBAMBA,CAJARURO,100.0,94.5,584,600
010703,AMAZONAS,UTCUBAMBA,CUMBA,100.0,98.1,570,597
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,100.0,89.0,559,597
010705,AMAZONAS,UTCUBAMBA,JAMALCA,100.0,97.6,532,535
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,100.0,96.3,563,568
010707,AMAZONAS,UTCUBAMBA,YAMON,100.0,92.9,564,593
020101,ÁNCASH,HUARAZ,HUARAZ,100.0,97.2,613,602
020102,ÁNCASH,HUARAZ,COCHABAMBA,100.0,98.3,504,472
020104,ÁNCASH,HUARAZ,HUANCHAY,100.0,96.8,482,472
020105,ÁNCASH,HUARAZ,INDEPENDENCIA,100.0,96.3,607,586
020106,ÁNCASH,HUARAZ,JANGAS,100.0,98.6,550,560
020107,ÁNCASH,HUARAZ,LA LIBERTAD,100.0,96.6,526,497
020108,ÁNCASH,HUARAZ,OLLEROS,100.0,94.1,516,504
020109,ÁNCASH,HUARAZ,PAMPAS,100.0,94.1,472,412
020110,ÁNCASH,HUARAZ,PARIACOTO,100.0,98.1,505,497
020111,ÁNCASH,HUARAZ,PIRA,100.0,100.0,486,454
020112,ÁNCASH,HUARAZ,TARICA,100.0,99.0,571,565
020201,ÁNCASH,AIJA,AIJA,100.0,90.5,566,547
020202,ÁNCASH,AIJA,CORIS,100.0,95.2,537,527
020203,ÁNCASH,AIJA,HUACLLAN,100.0,100.0,543,540
020204,ÁNCASH,AIJA,LA MERCED,100.0,96.9,530,530
020205,ÁNCASH,AIJA,SUCCHA,100.0,93.3,588,650
020301,ÁNCASH,ANTONIO RAIMONDI,LLAMELLIN,100.0,100.0,555,549
020302,ÁNCASH,ANTONIO RAIMONDI,ACZO,100.0,100.0,521,488
020303,ÁNCASH,ANTONIO RAIMONDI,CHACCHO,100.0,96.3,561,505
020304,ÁNCASH,ANTONIO RAIMONDI,CHINGAS,100.0,100.0,515,492
020305,ÁNCASH,ANTONIO RAIMONDI,MIRGAS,100.0,100.0,491,481
020306,ÁNCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,100.0,100.0,490,495
020401,ÁNCASH,ASUNCIÓN,CHACAS,100.0,98.9,601,604
020402,ÁNCASH,ASUNCIÓN,ACOCHACA,100.0,100.0,535,559
020501,ÁNCASH,BOLOGNESI,CHIQUIAN,100.0,100.0,622,569
020503,ÁNCASH,BOLOGNESI,ANTONIO RAYMONDI,100.0,100.0,575,591
020504,ÁNCASH,BOLOGNESI,AQUIA,100.0,100.0,584,593
020505,ÁNCASH,BOLOGNESI,CAJACAY,100.0,100.0,540,482
020507,ÁNCASH,BOLOGNESI,COLQUIOC,100.0,91.7,609,593
020508,ÁNCASH,BOLOGNESI,HUALLANCA,100.0,96.0,582,578
020509,ÁNCASH,BOLOGNESI,HUASTA,100.0,100.0,583,550
020510,ÁNCASH,BOLOGNESI,HUAYLLACAYAN,100.0,100.0,480,434
020512,ÁNCASH,BOLOGNESI,MANGAS,100.0,100.0,618,585
020513,ÁNCASH,BOLOGNESI,PACLLON,100.0,100.0,555,608
020515,ÁNCASH,BOLOGNESI,TICLLOS,100.0,100.0,563,487
020601,ÁNCASH,CARHUAZ,CARHUAZ,100.0,97.5,561,547
020602,ÁNCASH,CARHUAZ,ACOPAMPA,100.0,95.2,593,619
020603,ÁNCASH,CARHUAZ,AMASHCA,100.0,100.0,488,489
020604,ÁNCASH,CARHUAZ,ANTA,100.0,92.3,554,470
020605,ÁNCASH,CARHUAZ,ATAQUERO,100.0,96.4,498,493
020606,ÁNCASH,CARHUAZ,MARCARA,100.0,97.6,548,555
020607,ÁNCASH,CARHUAZ,PARIAHUANCA,100.0,87.5,527,485
020608,ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,100.0,96.3,538,565
020609,ÁNCASH,CARHUAZ,SHILLA,100.0,100.0,564,571
020610,ÁNCASH,CARHUAZ,TINCO,100.0,98.0,540,530
020611,ÁNCASH,CARHUAZ,YUNGAR,100.0,98.2,502,484
020701,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN LUIS,100.0,98.8,584,594
020702,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN NICOLAS,100.0,98.6,498,466
020703,ÁNCASH,CARLOS FERMÍN FITZCARRAL,YAUYA,100.0,100.0,513,547
020801,ÁNCASH,CASMA,CASMA,100.0,94.6,600,592
020802,ÁNCASH,CASMA,BUENA VISTA ALTA,100.0,97.6,535,518
020803,ÁNCASH,CASMA,COMANDANTE NOEL,100.0,94.1,567,570
020804,ÁNCASH,CASMA,YAUTAN,100.0,95.3,569,568
020901,ÁNCASH,CORONGO,CORONGO,100.0,100.0,567,547
020903,ÁNCASH,CORONGO,BAMBAS,100.0,100.0,480,507
020904,ÁNCASH,CORONGO,CUSCA,100.0,94.6,528,537
020905,ÁNCASH,CORONGO,LA PAMPA,100.0,95.2,580,606
020906,ÁNCASH,CORONGO,YANAC,100.0,87.5,518,553
020907,ÁNCASH,CORONGO,YUPAN,100.0,100.0,478,458
021001,ÁNCASH,HUARI,HUARI,100.0,98.8,550,557
021002,ÁNCASH,HUARI,ANRA,100.0,97.4,475,431
021003,ÁNCASH,HUARI,CAJAY,100.0,100.0,524,539
021004,ÁNCASH,HUARI,CHAVIN DE HUANTAR,100.0,99.4,534,512
021005,ÁNCASH,HUARI,HUACACHI,100.0,96.2,529,549
021006,ÁNCASH,HUARI,HUACCHIS,100.0,96.8,561,556
021007,ÁNCASH,HUARI,HUACHIS,100.0,96.1,486,495
021008,ÁNCASH,HUARI,HUANTAR,100.0,93.0,525,507
021009,ÁNCASH,HUARI,MASIN,100.0,82.6,551,534
021010,ÁNCASH,HUARI,PAUCAS,100.0,94.0,499,481
021011,ÁNCASH,HUARI,PONTO,100.0,94.7,560,590
021012,ÁNCASH,HUARI,RAHUAPAMPA,100.0,86.7,586,611
021013,ÁNCASH,HUARI,RAPAYAN,100.0,96.4,529,529
021014,ÁNCASH,HUARI,SAN MARCOS,100.0,99.1,563,565
021015,ÁNCASH,HUARI,SAN PEDRO DE CHANA,100.0,100.0,554,580
021016,ÁNCASH,HUARI,UCO,100.0,96.3,494,459
021101,ÁNCASH,HUARMEY,HUARMEY,100.0,97.6,611,588
021102,ÁNCASH,HUARMEY,COCHAPETI,100.0,100.0,486,474
021103,ÁNCASH,HUARMEY,CULEBRAS,100.0,93.9,570,528
021104,ÁNCASH,HUARMEY,HUAYAN,100.0,100.0,594,626
021105,ÁNCASH,HUARMEY,MALVAS,100.0,100.0,521,563
021201,ÁNCASH,HUAYLAS,CARAZ,100.0,93.8,560,546
021202,ÁNCASH,HUAYLAS,HUALLANCA,100.0,93.8,497,461
021203,ÁNCASH,HUAYLAS,HUATA,100.0,100.0,486,438
021204,ÁNCASH,HUAYLAS,HUAYLAS,100.0,84.6,618,644
021205,ÁNCASH,HUAYLAS,MATO,100.0,86.4,506,445
021206,ÁNCASH,HUAYLAS,PAMPAROMAS,100.0,98.0,479,454
021207,ÁNCASH,HUAYLAS,PUEBLO LIBRE,100.0,98.5,502,485
021208,ÁNCASH,HUAYLAS,SANTA CRUZ,100.0,97.2,499,459
021209,ÁNCASH,HUAYLAS,SANTO TORIBIO,100.0,100.0,523,482
021210,ÁNCASH,HUAYLAS,YURACMARCA,100.0,96.4,544,536
021302,ÁNCASH,MARISCAL LUZURIAGA,CASCA,100.0,97.0,541,512
021303,ÁNCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,100.0,96.8,439,409
021304,ÁNCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,100.0,100.0,495,492
021305,ÁNCASH,MARISCAL LUZURIAGA,LLAMA,100.0,100.0,512,453
021306,ÁNCASH,MARISCAL LUZURIAGA,LLUMPA,100.0,100.0,480,499
021307,ÁNCASH,MARISCAL LUZURIAGA,LUCMA,100.0,98.0,487,470
021401,ÁNCASH,OCROS,OCROS,100.0,95.2,549,519
021402,ÁNCASH,OCROS,ACAS,100.0,100.0,560,551
021405,ÁNCASH,OCROS,COCHAS,100.0,83.3,596,519
021406,ÁNCASH,OCROS,CONGAS,100.0,93.3,607,685
021409,ÁNCASH,OCROS,SAN PEDRO,100.0,90.0,529,549
021410,ÁNCASH,OCROS,SANTIAGO DE CHILCAS,100.0,83.3,536,505
021501,ÁNCASH,PALLASCA,CABANA,100.0,97.4,598,597
021502,ÁNCASH,PALLASCA,BOLOGNESI,100.0,95.2,553,552
021503,ÁNCASH,PALLASCA,CONCHUCOS,100.0,95.3,557,556
021504,ÁNCASH,PALLASCA,HUACASCHUQUE,100.0,100.0,595,629
021505,ÁNCASH,PALLASCA,HUANDOVAL,100.0,100.0,551,511
021507,ÁNCASH,PALLASCA,LLAPO,100.0,85.7,598,609
021508,ÁNCASH,PALLASCA,PALLASCA,100.0,89.8,526,513
021509,ÁNCASH,PALLASCA,PAMPAS,100.0,98.7,563,580
021510,ÁNCASH,PALLASCA,SANTA ROSA,100.0,100.0,583,627
021511,ÁNCASH,PALLASCA,TAUCA,100.0,95.8,592,689
021601,ÁNCASH,POMABAMBA,POMABAMBA,95.2,63.2,-,-
021602,ÁNCASH,POMABAMBA,HUAYLLAN,100.0,93.9,489,483
021603,ÁNCASH,POMABAMBA,PAROBAMBA,100.0,96.9,475,452
021604,ÁNCASH,POMABAMBA,QUINUABAMBA,100.0,98.2,444,417
021701,ÁNCASH,RECUAY,RECUAY,100.0,98.5,599,614
021702,ÁNCASH,RECUAY,CATAC,100.0,98.7,590,616
021703,ÁNCASH,RECUAY,COTAPARACO,100.0,100.0,476,448
021704,ÁNCASH,RECUAY,HUAYLLAPAMPA,100.0,100.0,620,521
021705,ÁNCASH,RECUAY,LLACLLIN,100.0,100.0,573,608
021706,ÁNCASH,RECUAY,MARCA,100.0,83.3,525,522
021707,ÁNCASH,RECUAY,PAMPAS CHICO,100.0,100.0,531,525
021708,ÁNCASH,RECUAY,PARARIN,100.0,71.4,-,-
021709,ÁNCASH,RECUAY,TAPACOCHA,100.0,100.0,491,514
021710,ÁNCASH,RECUAY,TICAPAMPA,100.0,93.5,605,668
021801,ÁNCASH,SANTA,CHIMBOTE,100.0,93.6,609,598
021802,ÁNCASH,SANTA,CACERES DEL PERU,100.0,98.7,520,494
021803,ÁNCASH,SANTA,COISHCO,100.0,90.1,583,558
021804,ÁNCASH,SANTA,MACATE,100.0,100.0,511,465
021805,ÁNCASH,SANTA,MORO,100.0,98.4,552,547
021806,ÁNCASH,SANTA,NEPEÑA,100.0,92.1,585,576
021807,ÁNCASH,SANTA,SAMANCO,100.0,93.0,605,597
021808,ÁNCASH,SANTA,SANTA,100.0,91.9,592,575
021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,100.0,93.1,617,594
021901,ÁNCASH,SIHUAS,SIHUAS,100.0,97.7,602,608
021902,ÁNCASH,SIHUAS,ACOBAMBA,100.0,100.0,505,490
021903,ÁNCASH,SIHUAS,ALFONSO UGARTE,100.0,100.0,612,568
021904,ÁNCASH,SIHUAS,CASHAPAMPA,100.0,97.4,540,551
021905,ÁNCASH,SIHUAS,CHINGALPO,100.0,100.0,584,617
021906,ÁNCASH,SIHUAS,HUAYLLABAMBA,100.0,100.0,475,459
021907,ÁNCASH,SIHUAS,QUICHES,100.0,100.0,542,545
021908,ÁNCASH,SIHUAS,RAGASH,100.0,95.1,540,537
021909,ÁNCASH,SIHUAS,SAN JUAN,100.0,96.5,543,527
022001,ÁNCASH,YUNGAY,YUNGAY,100.0,97.2,560,546
022002,ÁNCASH,YUNGAY,CASCAPARA,100.0,100.0,494,486
022003,ÁNCASH,YUNGAY,MANCOS,100.0,97.6,519,520
022004,ÁNCASH,YUNGAY,MATACOTO,100.0,100.0,511,484
022005,ÁNCASH,YUNGAY,QUILLO,100.0,96.6,501,502
022006,ÁNCASH,YUNGAY,RANRAHIRCA,100.0,100.0,576,581
022007,ÁNCASH,YUNGAY,SHUPLUY,100.0,96.8,481,471
022008,ÁNCASH,YUNGAY,YANAMA,100.0,96.7,542,531
030101,APURÍMAC,ABANCAY,ABANCAY,100.0,97.2,612,594
030102,APURÍMAC,ABANCAY,CHACOCHE,100.0,96.4,566,559
030104,APURÍMAC,ABANCAY,CURAHUASI,100.0,95.5,529,513
030105,APURÍMAC,ABANCAY,HUANIPACA,100.0,100.0,540,549
030106,APURÍMAC,ABANCAY,LAMBRAMA,100.0,100.0,477,440
030108,APURÍMAC,ABANCAY,SAN PEDRO DE CACHORA,100.0,100.0,540,527
030109,APURÍMAC,ABANCAY,TAMBURCO,100.0,92.2,621,598
030201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,100.0,94.7,593,571
030202,APURÍMAC,ANDAHUAYLAS,ANDARAPA,100.0,100.0,539,525
030203,APURÍMAC,ANDAHUAYLAS,CHIARA,100.0,100.0,523,523
030204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,100.0,89.4,591,564
030205,APURÍMAC,ANDAHUAYLAS,HUANCARAY,100.0,98.1,584,570
030206,APURÍMAC,ANDAHUAYLAS,HUAYANA,100.0,75.0,-,-
030207,APURÍMAC,ANDAHUAYLAS,KISHUARA,100.0,95.6,546,531
030208,APURÍMAC,ANDAHUAYLAS,PACOBAMBA,100.0,100.0,517,516
030209,APURÍMAC,ANDAHUAYLAS,PACUCHA,100.0,96.7,529,516
030210,APURÍMAC,ANDAHUAYLAS,PAMPACHIRI,100.0,100.0,525,489
030211,APURÍMAC,ANDAHUAYLAS,POMACOCHA,100.0,94.7,555,502
030213,APURÍMAC,ANDAHUAYLAS,SAN JERONIMO,100.0,98.2,564,545
030214,APURÍMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,100.0,91.2,486,453
030215,APURÍMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,100.0,95.4,516,487
030216,APURÍMAC,ANDAHUAYLAS,TALAVERA,100.0,97.3,565,555
030218,APURÍMAC,ANDAHUAYLAS,TURPO,100.0,100.0,563,589
030219,APURÍMAC,ANDAHUAYLAS,KAQUIABAMBA,100.0,100.0,506,486
030220,APURÍMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,100.0,96.6,510,483
030301,APURÍMAC,ANTABAMBA,ANTABAMBA,100.0,100.0,571,545
030302,APURÍMAC,ANTABAMBA,EL ORO,100.0,100.0,511,483
030303,APURÍMAC,ANTABAMBA,HUAQUIRCA,100.0,100.0,529,536
030304,APURÍMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,100.0,96.6,592,623
030305,APURÍMAC,ANTABAMBA,OROPESA,100.0,98.3,566,557
030306,APURÍMAC,ANTABAMBA,PACHACONAS,100.0,100.0,524,500
030307,APURÍMAC,ANTABAMBA,SABAINO,100.0,100.0,608,589
030401,APURÍMAC,AYMARAES,CHALHUANCA,100.0,90.9,594,597
030402,APURÍMAC,AYMARAES,CAPAYA,100.0,100.0,519,473
030403,APURÍMAC,AYMARAES,CARAYBAMBA,100.0,100.0,513,497
030404,APURÍMAC,AYMARAES,CHAPIMARCA,100.0,93.8,532,501
030405,APURÍMAC,AYMARAES,COLCABAMBA,100.0,100.0,531,503
030406,APURÍMAC,AYMARAES,COTARUSE,100.0,97.8,597,614
030408,APURÍMAC,AYMARAES,JUSTO APU SAHUARAURA,100.0,100.0,505,477
030409,APURÍMAC,AYMARAES,LUCRE,100.0,100.0,544,530
030411,APURÍMAC,AYMARAES,SAN JUAN DE CHACÑA,100.0,91.7,545,522
030412,APURÍMAC,AYMARAES,SAÑAYCA,100.0,100.0,509,438
030413,APURÍMAC,AYMARAES,SORAYA,100.0,100.0,521,516
030414,APURÍMAC,AYMARAES,TAPAIRIHUA,100.0,92.0,609,637
030415,APURÍMAC,AYMARAES,TINTAY,100.0,100.0,566,569
030416,APURÍMAC,AYMARAES,TORAYA,100.0,100.0,641,661
030501,APURÍMAC,COTABAMBAS,TAMBOBAMBA,100.0,96.6,537,522
030502,APURÍMAC,COTABAMBAS,COTABAMBAS,100.0,100.0,534,512
030503,APURÍMAC,COTABAMBAS,COYLLURQUI,100.0,95.3,553,560
030504,APURÍMAC,COTABAMBAS,HAQUIRA,100.0,96.6,511,479
030505,APURÍMAC,COTABAMBAS,MARA,100.0,100.0,494,465
030506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,100.0,96.6,556,532
030601,APURÍMAC,CHINCHEROS,CHINCHEROS,100.0,94.6,524,523
030602,APURÍMAC,CHINCHEROS,ANCO_HUALLO,100.0,97.8,592,604
030603,APURÍMAC,CHINCHEROS,COCHARCAS,100.0,94.1,478,405
030604,APURÍMAC,CHINCHEROS,HUACCANA,100.0,97.1,540,519
030605,APURÍMAC,CHINCHEROS,OCOBAMBA,100.0,98.9,517,514
030606,APURÍMAC,CHINCHEROS,ONGOY,100.0,88.9,448,422
030607,APURÍMAC,CHINCHEROS,URANMARCA,100.0,100.0,492,461
030608,APURÍMAC,CHINCHEROS,RANRACANCHA,100.0,100.0,525,521
030701,APURÍMAC,GRAU,CHUQUIBAMBILLA,100.0,96.2,564,559
030702,APURÍMAC,GRAU,CURPAHUASI,100.0,91.7,485,475
030703,APURÍMAC,GRAU,GAMARRA,100.0,100.0,510,486
030704,APURÍMAC,GRAU,HUAYLLATI,100.0,96.9,491,472
030705,APURÍMAC,GRAU,MAMARA,100.0,91.7,707,716
030706,APURÍMAC,GRAU,MICAELA BASTIDAS,100.0,100.0,577,581
030707,APURÍMAC,GRAU,PATAYPAMPA,100.0,100.0,668,740
030708,APURÍMAC,GRAU,PROGRESO,100.0,93.9,473,448
030709,APURÍMAC,GRAU,SAN ANTONIO,100.0,100.0,552,472
030710,APURÍMAC,GRAU,SANTA ROSA,100.0,100.0,525,552
030711,APURÍMAC,GRAU,TURPAY,100.0,100.0,619,603
030712,APURÍMAC,GRAU,VILCABAMBA,100.0,95.7,629,639
030713,APURÍMAC,GRAU,VIRUNDO,100.0,85.7,561,542
030714,APURÍMAC,GRAU,CURASCO,100.0,100.0,518,466
040101,AREQUIPA,AREQUIPA,AREQUIPA,100.0,97.1,648,606
040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,100.0,95.6,619,594
040103,AREQUIPA,AREQUIPA,CAYMA,100.0,96.0,642,619
040104,AREQUIPA,AREQUIPA,CERRO COLORADO,100.0,96.2,625,601
040105,AREQUIPA,AREQUIPA,CHARACATO,100.0,98.3,646,618
040106,AREQUIPA,AREQUIPA,CHIGUATA,100.0,96.0,557,513
040107,AREQUIPA,AREQUIPA,JACOBO HUNTER,100.0,95.7,623,580
040108,AREQUIPA,AREQUIPA,LA JOYA,100.0,96.9,606,595
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,100.0,94.9,622,593
040110,AREQUIPA,AREQUIPA,MIRAFLORES,100.0,94.3,633,604
040111,AREQUIPA,AREQUIPA,MOLLEBAYA,100.0,87.0,531,514
040112,AREQUIPA,AREQUIPA,PAUCARPATA,100.0,93.7,635,613
040114,AREQUIPA,AREQUIPA,POLOBAYA,100.0,90.0,630,595
040115,AREQUIPA,AREQUIPA,QUEQUEÑA,100.0,100.0,631,593
040116,AREQUIPA,AREQUIPA,SABANDIA,100.0,90.3,563,555
040117,AREQUIPA,AREQUIPA,SACHACA,100.0,97.0,651,623
040118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,100.0,92.3,565,558
040119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,100.0,100.0,560,516
040121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,100.0,95.8,580,570
040122,AREQUIPA,AREQUIPA,SOCABAYA,100.0,96.5,630,606
040123,AREQUIPA,AREQUIPA,TIABAYA,100.0,95.7,627,625
040124,AREQUIPA,AREQUIPA,UCHUMAYO,100.0,93.7,600,551
040125,AREQUIPA,AREQUIPA,VITOR,100.0,91.4,632,639
040126,AREQUIPA,AREQUIPA,YANAHUARA,100.0,95.6,659,624
040127,AREQUIPA,AREQUIPA,YARABAMBA,100.0,92.9,607,611
040128,AREQUIPA,AREQUIPA,YURA,100.0,96.2,622,606
040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,100.0,95.1,642,616
040201,AREQUIPA,CAMANÁ,CAMANA,100.0,95.4,644,655
040202,AREQUIPA,CAMANÁ,JOSE MARIA QUIMPER,100.0,91.4,545,558
040203,AREQUIPA,CAMANÁ,MARIANO NICOLAS VALCARCEL,100.0,84.7,591,581
040204,AREQUIPA,CAMANÁ,MARISCAL CACERES,100.0,100.0,595,585
040205,AREQUIPA,CAMANÁ,NICOLAS DE PIEROLA,100.0,89.7,613,617
040206,AREQUIPA,CAMANÁ,OCOÑA,100.0,97.3,616,627
040207,AREQUIPA,CAMANÁ,QUILCA,100.0,100.0,593,581
040208,AREQUIPA,CAMANÁ,SAMUEL PASTOR,100.0,96.2,633,616
040301,AREQUIPA,CARAVELÍ,CARAVELI,100.0,96.6,665,680
040302,AREQUIPA,CARAVELÍ,ACARI,100.0,100.0,607,597
040303,AREQUIPA,CARAVELÍ,ATICO,100.0,90.3,586,581
040304,AREQUIPA,CARAVELÍ,ATIQUIPA,100.0,80.0,559,602
040305,AREQUIPA,CARAVELÍ,BELLA UNION,100.0,88.5,558,522
040306,AREQUIPA,CARAVELÍ,CAHUACHO,100.0,85.7,663,513
040307,AREQUIPA,CARAVELÍ,CHALA,100.0,85.4,562,533
040308,AREQUIPA,CARAVELÍ,CHAPARRA,100.0,96.6,569,544
040309,AREQUIPA,CARAVELÍ,HUANUHUANU,100.0,100.0,593,558
040310,AREQUIPA,CARAVELÍ,JAQUI,100.0,95.0,553,508
040311,AREQUIPA,CARAVELÍ,LOMAS,100.0,100.0,592,617
040312,AREQUIPA,CARAVELÍ,QUICACHA,100.0,100.0,642,644
040313,AREQUIPA,CARAVELÍ,YAUCA,100.0,100.0,589,558
040401,AREQUIPA,CASTILLA,APLAO,100.0,95.6,634,614
040402,AREQUIPA,CASTILLA,ANDAGUA,100.0,100.0,605,594
