Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Lectura,Medida Promedio en Matemática
010612,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,100.0,94.2,548,601
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,100.0,96.3,581,624
010702,AMAZONAS,UTCUBAMBA,CAJARURO,100.0,97.2,576,622
010703,AMAZONAS,UTCUBAMBA,CUMBA,100.0,97.6,552,598
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,100.0,92.1,524,529
010705,AMAZONAS,UTCUBAMBA,JAMALCA,100.0,95.4,557,589
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,100.0,95.4,591,651
010707,AMAZONAS,UTCUBAMBA,YAMON,100.0,94.0,547,574
020101,ÁNCASH,HUARAZ,HUARAZ,100.0,97.8,596,604
020102,ÁNCASH,HUARAZ,COCHABAMBA,100.0,96.9,495,492
020104,ÁNCASH,HUARAZ,HUANCHAY,100.0,100.0,604,624
020105,ÁNCASH,HUARAZ,INDEPENDENCIA,97.7,98.2,588,590
020106,ÁNCASH,HUARAZ,JANGAS,100.0,100.0,558,576
020107,ÁNCASH,HUARAZ,LA LIBERTAD,100.0,92.0,500,472
020108,ÁNCASH,HUARAZ,OLLEROS,100.0,100.0,523,526
020109,ÁNCASH,HUARAZ,PAMPAS GRANDE,100.0,100.0,505,459
020110,ÁNCASH,HUARAZ,PARIACOTO,100.0,95.6,513,491
020111,ÁNCASH,HUARAZ,PIRA,100.0,100.0,490,466
020112,ÁNCASH,HUARAZ,TARICA,100.0,99.0,543,532
020201,ÁNCASH,AIJA,AIJA,100.0,100.0,556,608
020202,ÁNCASH,AIJA,CORIS,100.0,89.7,484,485
020203,ÁNCASH,AIJA,HUACLLAN,100.0,100.0,555,475
020204,ÁNCASH,AIJA,LA MERCED,100.0,100.0,474,450
020205,ÁNCASH,AIJA,SUCCHA,100.0,90.9,566,620
020301,ÁNCASH,ANTONIO RAIMONDI,LLAMELLIN,100.0,98.1,551,557
020302,ÁNCASH,ANTONIO RAIMONDI,ACZO,100.0,100.0,542,557
020303,ÁNCASH,ANTONIO RAIMONDI,CHACCHO,100.0,100.0,515,526
020304,ÁNCASH,ANTONIO RAIMONDI,CHINGAS,100.0,94.9,542,571
020305,ÁNCASH,ANTONIO RAIMONDI,MIRGAS,100.0,100.0,498,496
020306,ÁNCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,100.0,100.0,516,515
020401,ÁNCASH,ASUNCIÓN,CHACAS,100.0,95.4,558,587
020402,ÁNCASH,ASUNCIÓN,ACOCHACA,100.0,94.4,555,610
020501,ÁNCASH,BOLOGNESI,CHIQUIAN,100.0,97.6,574,598
020503,ÁNCASH,BOLOGNESI,ANTONIO RAYMONDI,100.0,100.0,564,546
020504,ÁNCASH,BOLOGNESI,AQUIA,100.0,96.4,554,487
020505,ÁNCASH,BOLOGNESI,CAJACAY,100.0,100.0,542,596
020507,ÁNCASH,BOLOGNESI,COLQUIOC,100.0,94.4,567,596
020508,ÁNCASH,BOLOGNESI,HUALLANCA,100.0,98.2,574,618
020509,ÁNCASH,BOLOGNESI,HUASTA,100.0,96.2,551,554
020510,ÁNCASH,BOLOGNESI,HUAYLLACAYAN,100.0,100.0,534,594
020511,ÁNCASH,BOLOGNESI,LA PRIMAVERA,100.0,100.0,501,460
020512,ÁNCASH,BOLOGNESI,MANGAS,100.0,100.0,601,584
020513,ÁNCASH,BOLOGNESI,PACLLON,100.0,100.0,554,537
020514,ÁNCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,100.0,100.0,545,524
020515,ÁNCASH,BOLOGNESI,TICLLOS,100.0,100.0,513,513
020601,ÁNCASH,CARHUAZ,CARHUAZ,100.0,98.9,558,557
020602,ÁNCASH,CARHUAZ,ACOPAMPA,100.0,94.3,636,664
020603,ÁNCASH,CARHUAZ,AMASHCA,100.0,100.0,536,562
020604,ÁNCASH,CARHUAZ,ANTA,100.0,91.2,542,573
020605,ÁNCASH,CARHUAZ,ATAQUERO,100.0,89.3,477,481
020606,ÁNCASH,CARHUAZ,MARCARA,100.0,98.7,520,523
020607,ÁNCASH,CARHUAZ,PARIAHUANCA,100.0,90.5,530,523
020608,ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,100.0,96.4,520,529
020609,ÁNCASH,CARHUAZ,SHILLA,100.0,100.0,555,632
020610,ÁNCASH,CARHUAZ,TINCO,100.0,97.8,475,458
020611,ÁNCASH,CARHUAZ,YUNGAR,100.0,92.9,536,562
020701,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN LUIS,100.0,98.2,547,583
020702,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN NICOLAS,100.0,98.5,502,522
020703,ÁNCASH,CARLOS FERMÍN FITZCARRAL,YAUYA,100.0,98.1,501,475
020801,ÁNCASH,CASMA,CASMA,100.0,93.1,581,598
020802,ÁNCASH,CASMA,BUENA VISTA ALTA,100.0,90.9,542,546
020803,ÁNCASH,CASMA,COMANDANTE NOEL,100.0,85.7,553,515
020804,ÁNCASH,CASMA,YAUTAN,100.0,89.1,556,583
020901,ÁNCASH,CORONGO,CORONGO,100.0,97.2,603,627
020903,ÁNCASH,CORONGO,BAMBAS,100.0,100.0,501,497
020904,ÁNCASH,CORONGO,CUSCA,100.0,100.0,526,558
020905,ÁNCASH,CORONGO,LA PAMPA,100.0,100.0,508,513
020906,ÁNCASH,CORONGO,YANAC,100.0,100.0,501,483
020907,ÁNCASH,CORONGO,YUPAN,100.0,100.0,520,490
021001,ÁNCASH,HUARI,HUARI,100.0,99.1,575,599
021002,ÁNCASH,HUARI,ANRA,100.0,100.0,477,464
021003,ÁNCASH,HUARI,CAJAY,100.0,96.8,515,541
021004,ÁNCASH,HUARI,CHAVIN DE HUANTAR,100.0,99.2,550,559
021005,ÁNCASH,HUARI,HUACACHI,100.0,92.9,558,555
021006,ÁNCASH,HUARI,HUACCHIS,100.0,96.2,550,589
021007,ÁNCASH,HUARI,HUACHIS,100.0,96.5,499,501
021008,ÁNCASH,HUARI,HUANTAR,100.0,100.0,505,516
021009,ÁNCASH,HUARI,MASIN,100.0,80.8,548,525
021010,ÁNCASH,HUARI,PAUCAS,100.0,93.0,482,465
021011,ÁNCASH,HUARI,PONTO,100.0,100.0,511,486
021012,ÁNCASH,HUARI,RAHUAPAMPA,100.0,100.0,577,579
021013,ÁNCASH,HUARI,RAPAYAN,100.0,93.3,529,524
021014,ÁNCASH,HUARI,SAN MARCOS,100.0,98.3,549,552
021015,ÁNCASH,HUARI,SAN PEDRO DE CHANA,100.0,98.8,499,501
021016,ÁNCASH,HUARI,UCO,100.0,100.0,544,625
021101,ÁNCASH,HUARMEY,HUARMEY,100.0,98.0,581,583
021103,ÁNCASH,HUARMEY,CULEBRAS,100.0,96.6,550,544
021104,ÁNCASH,HUARMEY,HUAYAN,100.0,100.0,574,587
021105,ÁNCASH,HUARMEY,MALVAS,100.0,100.0,594,506
021201,ÁNCASH,HUAYLAS,CARAZ,100.0,94.7,538,531
021202,ÁNCASH,HUAYLAS,HUALLANCA,100.0,100.0,470,414
021203,ÁNCASH,HUAYLAS,HUATA,100.0,97.0,539,557
021204,ÁNCASH,HUAYLAS,HUAYLAS,100.0,100.0,618,691
021205,ÁNCASH,HUAYLAS,MATO,100.0,96.8,500,487
021206,ÁNCASH,HUAYLAS,PAMPAROMAS,100.0,95.4,489,483
021207,ÁNCASH,HUAYLAS,PUEBLO LIBRE,100.0,97.7,498,500
021208,ÁNCASH,HUAYLAS,SANTA CRUZ,100.0,92.3,487,482
021209,ÁNCASH,HUAYLAS,SANTO TORIBIO,100.0,100.0,547,564
021210,ÁNCASH,HUAYLAS,YURACMARCA,100.0,95.7,495,460
021302,ÁNCASH,MARISCAL LUZURIAGA,CASCA,100.0,100.0,463,439
021303,ÁNCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,100.0,97.6,484,474
021304,ÁNCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,100.0,100.0,473,476
021306,ÁNCASH,MARISCAL LUZURIAGA,LLUMPA,100.0,100.0,492,480
021307,ÁNCASH,MARISCAL LUZURIAGA,LUCMA,100.0,97.3,499,479
021401,ÁNCASH,OCROS,OCROS,100.0,92.3,544,530
021402,ÁNCASH,OCROS,ACAS,100.0,100.0,482,428
021405,ÁNCASH,OCROS,COCHAS,100.0,73.7,-,-
021406,ÁNCASH,OCROS,CONGAS,100.0,100.0,484,450
021407,ÁNCASH,OCROS,LLIPA,100.0,100.0,462,448
021408,ÁNCASH,OCROS,SAN CRISTOBAL DE RAJAN,100.0,100.0,570,630
021501,ÁNCASH,PALLASCA,CABANA,100.0,94.6,605,659
021502,ÁNCASH,PALLASCA,BOLOGNESI,100.0,100.0,519,514
021503,ÁNCASH,PALLASCA,CONCHUCOS,100.0,96.4,567,592
021504,ÁNCASH,PALLASCA,HUACASCHUQUE,100.0,92.9,531,531
021505,ÁNCASH,PALLASCA,HUANDOVAL,100.0,92.3,619,669
021506,ÁNCASH,PALLASCA,LACABAMBA,100.0,100.0,570,633
021507,ÁNCASH,PALLASCA,LLAPO,100.0,90.0,583,641
021508,ÁNCASH,PALLASCA,PALLASCA,100.0,100.0,547,562
021509,ÁNCASH,PALLASCA,PAMPAS,100.0,97.1,564,596
021510,ÁNCASH,PALLASCA,SANTA ROSA,100.0,100.0,527,570
021511,ÁNCASH,PALLASCA,TAUCA,100.0,98.2,606,625
021601,ÁNCASH,POMABAMBA,POMABAMBA,100.0,96.5,532,530
021602,ÁNCASH,POMABAMBA,HUAYLLAN,100.0,100.0,454,461
021603,ÁNCASH,POMABAMBA,PAROBAMBA,100.0,96.6,476,481
021604,ÁNCASH,POMABAMBA,QUINUABAMBA,100.0,100.0,437,452
021701,ÁNCASH,RECUAY,RECUAY,100.0,100.0,600,664
021702,ÁNCASH,RECUAY,CATAC,100.0,97.8,577,607
021703,ÁNCASH,RECUAY,COTAPARACO,100.0,91.7,566,603
021705,ÁNCASH,RECUAY,LLACLLIN,100.0,100.0,509,504
021706,ÁNCASH,RECUAY,MARCA,100.0,80.0,493,456
021708,ÁNCASH,RECUAY,PARARIN,100.0,100.0,546,522
021710,ÁNCASH,RECUAY,TICAPAMPA,100.0,97.7,643,702
021801,ÁNCASH,SANTA,CHIMBOTE,100.0,94.9,588,585
021802,ÁNCASH,SANTA,CACERES DEL PERU,100.0,94.5,534,516
021803,ÁNCASH,SANTA,COISHCO,100.0,92.5,567,561
021804,ÁNCASH,SANTA,MACATE,100.0,96.3,511,514
021805,ÁNCASH,SANTA,MORO,100.0,94.6,531,518
021806,ÁNCASH,SANTA,NEPEÑA,100.0,95.5,588,628
021807,ÁNCASH,SANTA,SAMANCO,100.0,97.2,592,618
021808,ÁNCASH,SANTA,SANTA,100.0,95.3,572,577
021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,100.0,95.2,593,598
021901,ÁNCASH,SIHUAS,SIHUAS,100.0,100.0,601,623
021902,ÁNCASH,SIHUAS,ACOBAMBA,100.0,95.8,497,492
021903,ÁNCASH,SIHUAS,ALFONSO UGARTE,100.0,100.0,505,550
021904,ÁNCASH,SIHUAS,CASHAPAMPA,100.0,96.8,527,552
021905,ÁNCASH,SIHUAS,CHINGALPO,100.0,100.0,503,477
021906,ÁNCASH,SIHUAS,HUAYLLABAMBA,100.0,97.2,486,456
021907,ÁNCASH,SIHUAS,QUICHES,100.0,100.0,524,528
021908,ÁNCASH,SIHUAS,RAGASH,100.0,100.0,519,541
021909,ÁNCASH,SIHUAS,SAN JUAN,100.0,97.7,496,486
022001,ÁNCASH,YUNGAY,YUNGAY,100.0,94.7,549,569
022002,ÁNCASH,YUNGAY,CASCAPARA,100.0,100.0,477,471
022003,ÁNCASH,YUNGAY,MANCOS,100.0,98.8,530,534
022004,ÁNCASH,YUNGAY,MATACOTO,100.0,100.0,568,563
022005,ÁNCASH,YUNGAY,QUILLO,100.0,97.4,492,485
022006,ÁNCASH,YUNGAY,RANRAHIRCA,100.0,97.7,543,523
022007,ÁNCASH,YUNGAY,SHUPLUY,100.0,96.8,475,452
022008,ÁNCASH,YUNGAY,YANAMA,100.0,98.6,525,532
030101,APURÍMAC,ABANCAY,ABANCAY,100.0,98.0,613,642
030102,APURÍMAC,ABANCAY,CHACOCHE,100.0,100.0,599,615
030103,APURÍMAC,ABANCAY,CIRCA,100.0,100.0,552,611
030104,APURÍMAC,ABANCAY,CURAHUASI,100.0,97.1,522,519
030105,APURÍMAC,ABANCAY,HUANIPACA,100.0,97.1,570,631
030106,APURÍMAC,ABANCAY,LAMBRAMA,100.0,90.9,497,516
030107,APURÍMAC,ABANCAY,PICHIRHUA,100.0,100.0,489,495
030108,APURÍMAC,ABANCAY,SAN PEDRO DE CACHORA,100.0,95.5,497,500
030109,APURÍMAC,ABANCAY,TAMBURCO,100.0,98.9,595,619
030201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,100.0,98.2,590,630
030202,APURÍMAC,ANDAHUAYLAS,ANDARAPA,100.0,98.1,507,522
030204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,100.0,96.2,564,580
030205,APURÍMAC,ANDAHUAYLAS,HUANCARAY,100.0,100.0,499,485
030206,APURÍMAC,ANDAHUAYLAS,HUAYANA,100.0,100.0,544,517
030207,APURÍMAC,ANDAHUAYLAS,KISHUARA,100.0,98.9,494,471
030208,APURÍMAC,ANDAHUAYLAS,PACOBAMBA,100.0,100.0,501,538
030209,APURÍMAC,ANDAHUAYLAS,PACUCHA,100.0,95.6,550,597
030210,APURÍMAC,ANDAHUAYLAS,PAMPACHIRI,100.0,95.0,474,454
030211,APURÍMAC,ANDAHUAYLAS,POMACOCHA,100.0,85.7,565,587
030212,APURÍMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,100.0,100.0,435,444
030213,APURÍMAC,ANDAHUAYLAS,SAN JERONIMO,100.0,98.7,582,619
030214,APURÍMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,100.0,97.0,512,543
030215,APURÍMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,100.0,98.3,525,548
030216,APURÍMAC,ANDAHUAYLAS,TALAVERA,100.0,97.6,586,621
030218,APURÍMAC,ANDAHUAYLAS,TURPO,100.0,98.2,529,557
030219,APURÍMAC,ANDAHUAYLAS,KAQUIABAMBA,100.0,100.0,536,557
030220,APURÍMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,100.0,100.0,536,579
030301,APURÍMAC,ANTABAMBA,ANTABAMBA,100.0,98.8,566,622
030302,APURÍMAC,ANTABAMBA,EL ORO,100.0,88.9,514,549
030303,APURÍMAC,ANTABAMBA,HUAQUIRCA,100.0,100.0,528,542
030304,APURÍMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,100.0,97.3,590,615
030305,APURÍMAC,ANTABAMBA,OROPESA,100.0,97.6,479,470
030306,APURÍMAC,ANTABAMBA,PACHACONAS,100.0,100.0,518,526
030307,APURÍMAC,ANTABAMBA,SABAINO,100.0,100.0,546,604
030401,APURÍMAC,AYMARAES,CHALHUANCA,100.0,95.0,602,680
030403,APURÍMAC,AYMARAES,CARAYBAMBA,100.0,100.0,591,693
030404,APURÍMAC,AYMARAES,CHAPIMARCA,100.0,96.4,524,560
030405,APURÍMAC,AYMARAES,COLCABAMBA,100.0,100.0,537,566
030406,APURÍMAC,AYMARAES,COTARUSE,100.0,97.4,553,595
030408,APURÍMAC,AYMARAES,JUSTO APU SAHUARAURA,100.0,100.0,480,471
030409,APURÍMAC,AYMARAES,LUCRE,100.0,100.0,533,558
030411,APURÍMAC,AYMARAES,SAN JUAN DE CHACÑA,100.0,100.0,632,737
030412,APURÍMAC,AYMARAES,SAÑAYCA,100.0,100.0,494,509
030413,APURÍMAC,AYMARAES,SORAYA,100.0,100.0,542,536
030414,APURÍMAC,AYMARAES,TAPAIRIHUA,100.0,100.0,508,511
030415,APURÍMAC,AYMARAES,TINTAY,100.0,100.0,517,592
030417,APURÍMAC,AYMARAES,YANACA,100.0,85.7,564,543
030501,APURÍMAC,COTABAMBAS,TAMBOBAMBA,100.0,97.1,513,545
030502,APURÍMAC,COTABAMBAS,COTABAMBAS,100.0,85.4,556,592
030503,APURÍMAC,COTABAMBAS,COYLLURQUI,100.0,97.3,540,566
030504,APURÍMAC,COTABAMBAS,HAQUIRA,100.0,96.9,522,529
030505,APURÍMAC,COTABAMBAS,MARA,100.0,100.0,535,515
030506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,100.0,99.0,531,519
030601,APURÍMAC,CHINCHEROS,CHINCHEROS,100.0,91.8,577,628
030602,APURÍMAC,CHINCHEROS,ANCO_HUALLO,100.0,98.2,589,644
030603,APURÍMAC,CHINCHEROS,COCHARCAS,100.0,100.0,554,586
030604,APURÍMAC,CHINCHEROS,HUACCANA,100.0,100.0,527,564
030605,APURÍMAC,CHINCHEROS,OCOBAMBA,100.0,96.9,536,563
030606,APURÍMAC,CHINCHEROS,ONGOY,100.0,94.1,517,500
030607,APURÍMAC,CHINCHEROS,URANMARCA,100.0,100.0,523,524
030608,APURÍMAC,CHINCHEROS,RANRACANCHA,100.0,100.0,524,544
030609,APURÍMAC,CHINCHEROS,ROCCHACC,100.0,100.0,502,539
030701,APURÍMAC,GRAU,CHUQUIBAMBILLA,100.0,98.9,584,662
030702,APURÍMAC,GRAU,CURPAHUASI,100.0,100.0,515,512
030703,APURÍMAC,GRAU,GAMARRA,100.0,100.0,471,453
030704,APURÍMAC,GRAU,HUAYLLATI,100.0,100.0,578,570
030705,APURÍMAC,GRAU,MAMARA,100.0,100.0,597,625
030706,APURÍMAC,GRAU,MICAELA BASTIDAS,100.0,100.0,583,567
030707,APURÍMAC,GRAU,PATAYPAMPA,100.0,95.2,529,593
030708,APURÍMAC,GRAU,PROGRESO,100.0,98.0,554,575
030709,APURÍMAC,GRAU,SAN ANTONIO,100.0,100.0,505,554
030710,APURÍMAC,GRAU,SANTA ROSA,100.0,100.0,505,544
030711,APURÍMAC,GRAU,TURPAY,100.0,100.0,542,541
030712,APURÍMAC,GRAU,VILCABAMBA,100.0,100.0,588,709
030713,APURÍMAC,GRAU,VIRUNDO,100.0,100.0,607,673
030714,APURÍMAC,GRAU,CURASCO,100.0,100.0,505,482
040101,AREQUIPA,AREQUIPA,AREQUIPA,100.0,98.5,629,629
040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,100.0,97.4,604,604
040103,AREQUIPA,AREQUIPA,CAYMA,100.0,98.0,614,624
040104,AREQUIPA,AREQUIPA,CERRO COLORADO,100.0,96.7,605,610
040105,AREQUIPA,AREQUIPA,CHARACATO,100.0,100.0,571,572
040106,AREQUIPA,AREQUIPA,CHIGUATA,100.0,92.9,539,536
040107,AREQUIPA,AREQUIPA,JACOBO HUNTER,100.0,97.5,602,596
040108,AREQUIPA,AREQUIPA,LA JOYA,100.0,96.7,582,585
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,100.0,96.0,614,618
040110,AREQUIPA,AREQUIPA,MIRAFLORES,100.0,96.7,610,605
040111,AREQUIPA,AREQUIPA,MOLLEBAYA,100.0,90.5,534,534
040112,AREQUIPA,AREQUIPA,PAUCARPATA,100.0,97.5,609,609
040114,AREQUIPA,AREQUIPA,POLOBAYA,100.0,85.7,537,472
040115,AREQUIPA,AREQUIPA,QUEQUEÑA,100.0,100.0,617,618
040116,AREQUIPA,AREQUIPA,SABANDIA,100.0,92.9,610,655
040117,AREQUIPA,AREQUIPA,SACHACA,100.0,98.3,614,615
040118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,100.0,100.0,581,567
040119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,100.0,100.0,556,544
040120,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,100.0,88.9,570,582
040121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,100.0,98.5,593,606
040122,AREQUIPA,AREQUIPA,SOCABAYA,100.0,97.0,610,603
040123,AREQUIPA,AREQUIPA,TIABAYA,100.0,98.2,611,617
040124,AREQUIPA,AREQUIPA,UCHUMAYO,100.0,95.5,590,567
040125,AREQUIPA,AREQUIPA,VITOR,100.0,97.8,581,614
040126,AREQUIPA,AREQUIPA,YANAHUARA,100.0,97.4,623,621
040127,AREQUIPA,AREQUIPA,YARABAMBA,100.0,84.0,619,616
040128,AREQUIPA,AREQUIPA,YURA,100.0,99.2,595,617
040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,100.0,98.5,618,614
040201,AREQUIPA,CAMANÁ,CAMANA,100.0,98.4,610,633
040202,AREQUIPA,CAMANÁ,JOSE MARIA QUIMPER,100.0,97.3,584,630
040203,AREQUIPA,CAMANÁ,MARIANO NICOLAS VALCARCEL,100.0,96.3,588,606
040204,AREQUIPA,CAMANÁ,MARISCAL CACERES,100.0,100.0,607,626
040205,AREQUIPA,CAMANÁ,NICOLAS DE PIEROLA,100.0,97.0,599,597
040206,AREQUIPA,CAMANÁ,OCOÑA,100.0,98.2,577,597
040207,AREQUIPA,CAMANÁ,QUILCA,100.0,91.7,594,609
040208,AREQUIPA,CAMANÁ,SAMUEL PASTOR,100.0,94.4,615,641
040301,AREQUIPA,CARAVELÍ,CARAVELI,100.0,95.9,628,666
040302,AREQUIPA,CARAVELÍ,ACARI,100.0,100.0,610,609
040303,AREQUIPA,CARAVELÍ,ATICO,100.0,96.3,594,614
040304,AREQUIPA,CARAVELÍ,ATIQUIPA,100.0,66.7,-,-
040305,AREQUIPA,CARAVELÍ,BELLA UNION,100.0,95.0,547,519
040306,AREQUIPA,CARAVELÍ,CAHUACHO,100.0,100.0,499,460
040307,AREQUIPA,CARAVELÍ,CHALA,100.0,97.0,598,596
040308,AREQUIPA,CARAVELÍ,CHAPARRA,100.0,98.3,599,610
040309,AREQUIPA,CARAVELÍ,HUANUHUANU,100.0,100.0,582,572
040310,AREQUIPA,CARAVELÍ,JAQUI,100.0,100.0,615,597
040311,AREQUIPA,CARAVELÍ,LOMAS,100.0,100.0,588,570
040312,AREQUIPA,CARAVELÍ,QUICACHA,100.0,95.7,579,598
040313,AREQUIPA,CARAVELÍ,YAUCA,100.0,100.0,595,622
040401,AREQUIPA,CASTILLA,APLAO,100.0,96.8,630,665
040402,AREQUIPA,CASTILLA,ANDAGUA,100.0,100.0,488,457
040404,AREQUIPA,CASTILLA,CHACHAS,100.0,100.0,531,534
040405,AREQUIPA,CASTILLA,CHILCAYMARCA,100.0,100.0,567,644
040407,AREQUIPA,CASTILLA,HUANCARQUI,100.0,100.0,638,701
040408,AREQUIPA,CASTILLA,MACHAGUAY,100.0,100.0,579,553
040409,AREQUIPA,CASTILLA,ORCOPAMPA,100.0,97.4,608,609
040410,AREQUIPA,CASTILLA,PAMPACOLCA,100.0,94.6,595,615
