Marca temporal,Edad (Años cumplidos)  Ejemplo.- 18 ,Género ,Nivel de instrucción ,Lugar de residencia,¿Actualmente vives con tus padres? ,¿Qué dentífrico utilizas con más frecuencia?,¿Realizas personalmente la compra de tu dentífrico? ,¿Cuáles son los motivos que predominan al momento de decidir que dentífrico comprar?,¿Cuál es el costo del dentífrico que usas?(ejemplo: S/. 1),¿Cuántas veces al día te cepillas los dientes?  ,¿En algún momento cambiaste o consideraste cambiar de dentífrico? 
25/04/2022 22:42:39,24,Masculino,Superior Universitario completo,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,10.50,2,Sí
25/04/2022 22:43:11,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,El costo del dentífrico,1.5,3,No
25/04/2022 22:43:35,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,La propaganda y el marketing,15.90,3,Sí
25/04/2022 22:48:28,18,Femenino,Superior Universitario incompleto,Callao,No,Colgate,Si,La recomendación de conocidos,4.50,3,Sí
25/04/2022 22:53:57,18,Femenino,Superior Universitario incompleto,Lima este,Si,Colgate,No,El costo del dentífrico,2,3,Tal vez
25/04/2022 23:01:19,18,Femenino,Superior Universitario incompleto,Lima norte,Si,Colgate,No,La recomendación de conocidos,4.7,3,Sí
25/04/2022 23:09:42,19,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,Decisiones familiares,6.20,3,Tal vez
25/04/2022 23:10:21,18,Masculino,Secundaria completa,Lima sur,Si,Colgate,Si,El costo del dentífrico,2.5,2,Tal vez
25/04/2022 23:34:18,18,Masculino,Secundaria completa,Lima moderna,Si,Colgate,No,El costo del dentífrico,5,2,Sí
26/04/2022 1:34:36,20,Masculino,Superior Universitario incompleto,Lima este,No,Colgate,Si,La recomendación de conocidos,3.50,3,Sí
26/04/2022 7:16:39,28,Masculino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,Decisiones familiares,5,3,No
26/04/2022 10:56:08,18,Masculino,Superior Universitario incompleto,Lima este,Si,Colgate,Si,La recomendación de conocidos,3.30,4,Tal vez
26/04/2022 11:35:10,20,Masculino,Superior Universitario incompleto,Callao,Si,Colgate,Si,La propaganda y el marketing,17,3,Sí
26/04/2022 11:36:30,19,Femenino,Secundaria completa,Lima moderna,No,Colgate,Si,La propaganda y el marketing,12,2,No
26/04/2022 11:51:19,18,Masculino,Superior Universitario incompleto,Callao,Si,Colgate,No,Decisiones familiares,3.40,3,Sí
26/04/2022 11:53:10,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,8,3,No
26/04/2022 11:54:43,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Oral B,No,La recomendación de conocidos,7,3,No
26/04/2022 12:01:41,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,Cantidad de fluoruro en el dentífrico,5,2,Sí
26/04/2022 12:31:25,18,Femenino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,La recomendación de conocidos,3.5,2,Tal vez
26/04/2022 12:50:36,18,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,15,3,Tal vez
26/04/2022 13:01:22,20,Femenino,Superior Universitario incompleto,Lima sur,Si,Colgate,No,El costo del dentífrico,3,2,No
26/04/2022 14:44:19,20,Femenino,Secundaria completa,Lima este,Si,Colgate,Si,La recomendación de conocidos,2.00,3,Sí
26/04/2022 19:08:26,18,Masculino,Superior Universitario incompleto,Lima este,Si,Colgate,No,Decisiones familiares,3,2,Sí
26/04/2022 19:19:34,18,Femenino,Secundaria completa,Lima moderna,No,Colgate,Si,Decisiones familiares,16,2,Tal vez
26/04/2022 19:31:40,18,Femenino,Superior Universitario incompleto,Lima sur,Si,Colgate,Si,La recomendación de conocidos,5,2,Sí
26/04/2022 19:36:05,21,Femenino,Superior Universitario incompleto,Lima moderna,No,Colgate,Si,La recomendación de conocidos,4,3,Tal vez
26/04/2022 19:36:12,18,Femenino,Secundaria completa,Lima moderna,Si,Colgate,Si,Decisiones familiares,3.50,3,Sí
26/04/2022 19:41:41,20,Masculino,Secundaria completa,Lima sur,Si,Colgate,No,Decisiones familiares,6,1,No
26/04/2022 20:02:49,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,Odontólogo,7,4,Tal vez
26/04/2022 20:06:24,18,Masculino,Superior Universitario completo,Lima sur,Si,Colgate,No,La recomendación de conocidos,6.20,3,No
26/04/2022 20:06:48,19,Femenino,Superior Universitario incompleto,Lima moderna,Si,Natura,Si,Decisiones familiares,75,3,No
26/04/2022 20:20:51,20,Masculino,Superior Universitario incompleto,Lima este,Si,Oral B,Si,La propaganda y el marketing,5,2,Sí
26/04/2022 20:43:13,18,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,Sabor,15,1,No
26/04/2022 21:12:14,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,El costo del dentífrico,3.5,3,Tal vez
26/04/2022 21:42:11,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,8,3,No
26/04/2022 21:49:41,18,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,La recomendación de conocidos,10,2,Sí
26/04/2022 23:46:57,19,Masculino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,El costo del dentífrico,2.50,3,Tal vez
27/04/2022 9:01:54,18,Femenino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,La recomendación de conocidos,4.5,2,Tal vez
29/04/2022 0:03:46,19,Masculino,Secundaria completa,Lima este,Si,Dento,Si,Decisiones familiares,3,3,Tal vez
29/04/2022 0:03:53,21,Femenino,Superior Universitario incompleto,Lima este,Si,Colgate,Si,La propaganda y el marketing,15,3,Sí
29/04/2022 0:23:00,18,Femenino,Superior Universitario incompleto,Lima sur,No,Oral B,Si,Decisiones familiares,8,3,Tal vez
1/05/2022 17:46:24,18,Masculino,Secundaria completa,Lima moderna,Si,Oral B,No,El costo del dentífrico,20,3,Sí
1/05/2022 18:46:50,18,Masculino,Secundaria completa,Lima este,Si,Colgate,No,La propaganda y el marketing,7,3,Sí
1/05/2022 18:53:17,18,Masculino,Superior Universitario incompleto,Lima este,Si,Colgate,Si,La recomendación de conocidos,3.5,5,Tal vez
1/05/2022 18:54:49,18,Femenino,Secundaria completa,Lima moderna,Si,Colgate,Si,El costo del dentífrico,15,3,Tal vez
1/05/2022 18:58:05,20,Femenino,Superior Universitario incompleto,Callao,Si,Oral B,No,Decisiones familiares,5.50,4,Sí
1/05/2022 21:51:27,18,Femenino,Secundaria completa,Lima antigua,Si,Colgate,No,El costo del dentífrico,3,3,Sí
2/05/2022 20:28:08,20,Femenino,Superior Universitario incompleto,Lima sur,No,Kolynos,Si,El costo del dentífrico,9,2,Sí
2/05/2022 20:38:22,21,Masculino,Superior Universitario incompleto,Lima moderna,Si,Corega,Si,Decisiones familiares,7.9,3,Tal vez
2/05/2022 20:39:32,20,Femenino,Secundaria completa,Lima este,Si,Deliplus,Si,La recomendación de conocidos,6,1,No
2/05/2022 20:40:47,22,Femenino,Superior Técnico incompleto,Lima este,Si,Deliplus,Si,La recomendación de conocidos,6.5,2,No
2/05/2022 20:42:26,20,Femenino,Superior Universitario incompleto,Lima moderna,Si,Dento,No,Decisiones familiares,6,2,Sí
2/05/2022 20:43:15,18,Femenino,Secundaria completa,Lima antigua,No,Deliplus,Si,La recomendación de conocidos,5,2,Tal vez
2/05/2022 20:45:13,25,Masculino,Superior Universitario completo,Lima norte,No,Oral B,Si,Decisiones familiares,15,3,No
2/05/2022 20:46:31,22,Masculino,Superior Universitario incompleto,Lima este,Si,Deliplus,Si,La recomendación de conocidos,8,2,Tal vez
2/05/2022 20:49:29,26,Masculino,Superior Universitario completo,Lima norte,Si,Kolynos,Si,Decisiones familiares,12,2,Tal vez
2/05/2022 20:50:57,19,Femenino,Superior Universitario incompleto,Lima antigua,Si,Colgate,Si,Decisiones familiares,14,2,Tal vez
2/05/2022 20:52:49,18,Femenino,Superior Universitario incompleto,Lima sur,Si,Colgate,Si,La propaganda y el marketing,14,2,Tal vez
2/05/2022 20:53:55,28,Masculino,Superior Universitario incompleto,Lima moderna,Si,Kolynos,No,La propaganda y el marketing,12,3,Tal vez
2/05/2022 20:58:14,20,Femenino,Superior Universitario incompleto,Callao,Si,Binaca,Si,La recomendación de conocidos,15.5,3,No
2/05/2022 21:00:13,23,Femenino,Secundaria completa,Lima este,Si,Oral B,Si,El costo del dentífrico,8,3,No
2/05/2022 21:01:37,25,Femenino,Superior Universitario incompleto,Lima sur,Si,Dento,Si,La propaganda y el marketing,13.5,2,No
2/05/2022 21:03:15,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,Decisiones familiares,20,3,Sí
2/05/2022 21:04:03,20,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,La propaganda y el marketing,19.5,2,Tal vez
2/05/2022 21:04:48,18,Masculino,Superior Universitario incompleto,Lima moderna,Si,Dento,No,Decisiones familiares,16,3,Tal vez
2/05/2022 21:05:59,19,Femenino,Secundaria completa,Lima este,No,Oral B,Si,Decisiones familiares,18,3,Sí
2/05/2022 21:06:58,20,Masculino,Superior Técnico incompleto,Lima norte,No,Binaca,Si,El costo del dentífrico,10,3,Sí
2/05/2022 21:08:05,21,Femenino,Superior Universitario incompleto,Lima moderna,Si,Dento,Si,La recomendación de conocidos,20,3,Sí
2/05/2022 21:09:00,19,Femenino,Superior Técnico incompleto,Lima antigua,Si,Deliplus,Si,El costo del dentífrico,12,2,Sí
2/05/2022 21:10:12,20,Femenino,Superior Universitario incompleto,Lima este,No,Corega,Si,Decisiones familiares,15,2,Sí
2/05/2022 21:18:38,19,Masculino,Secundaria completa,Lima este,Si,Deliplus,Si,El costo del dentífrico,10,2,Sí
2/05/2022 21:19:49,18,Masculino,Superior Universitario incompleto,Lima antigua,Si,Kolynos,Si,La recomendación de conocidos,14,2,Tal vez
2/05/2022 21:20:28,20,Femenino,Superior Universitario incompleto,Lima norte,Si,Oral B,Si,El costo del dentífrico,12,2,Tal vez
2/05/2022 21:21:13,18,Femenino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,La recomendación de conocidos,16,3,No
2/05/2022 21:25:26,19,Femenino,Superior Universitario completo,Lima antigua,Si,Kolynos,Si,La recomendación de conocidos,10,3,No
2/05/2022 21:26:18,24,Masculino,Superior Universitario completo,Lima antigua,Si,Colgate,Si,La propaganda y el marketing,18,2,Sí
2/05/2022 21:28:24,20,Masculino,Superior Universitario incompleto,Callao,Si,Kolynos,Si,La propaganda y el marketing,16,2,Tal vez
2/05/2022 21:29:08,19,Masculino,Superior Universitario incompleto,Lima norte,Si,Oral B,Si,La propaganda y el marketing,17.5,2,Sí
2/05/2022 21:30:48,19,Femenino,Superior Universitario incompleto,Lima norte,Si,Natura,Si,Decisiones familiares,18,2,Tal vez
2/05/2022 21:31:16,19,Femenino,Superior Universitario incompleto,Lima moderna,Si,Corega,Si,La recomendación de conocidos,14,1,Tal vez
2/05/2022 21:32:09,18,Femenino,Superior Universitario incompleto,Lima norte,Si,Kolynos,Si,La propaganda y el marketing,14,1,Tal vez
2/05/2022 21:34:01,20,Femenino,Superior Universitario incompleto,Lima antigua,No,Colgate 12,Si,La propaganda y el marketing,14,2,Tal vez
2/05/2022 21:34:41,23,Femenino,Superior Universitario incompleto,Lima moderna,Si,Kolynos,Si,Decisiones familiares,16,2,Sí
2/05/2022 21:35:17,21,Femenino,Superior Universitario incompleto,Lima norte,Si,Oral B,Si,La propaganda y el marketing,12,1,Sí
2/05/2022 21:37:56,23,Masculino,Superior Universitario incompleto,Callao,Si,Binaca,Si,La propaganda y el marketing,14,1,Sí
2/05/2022 21:38:33,24,Femenino,Superior Universitario incompleto,Lima norte,Si,Oral B,Si,La propaganda y el marketing,16,2,Sí
2/05/2022 21:39:28,18,Femenino,Superior Universitario incompleto,Callao,Si,Colgate,Si,La recomendación de conocidos,14,2,Sí
2/05/2022 21:41:45,20,Femenino,Superior Universitario incompleto,Lima este,Si,Colgate,Si,El costo del dentífrico,8,2,Sí
2/05/2022 21:42:54,19,Masculino,Superior Universitario incompleto,Lima antigua,Si,Oral B,Si,La recomendación de conocidos,12,2,Sí
2/05/2022 21:45:59,21,Femenino,Superior Universitario incompleto,Lima antigua,Si,Oral B,Si,La recomendación de conocidos,12,2,No
2/05/2022 21:46:47,19,Femenino,Secundaria completa,Lima sur,Si,Colgate,No,La propaganda y el marketing,9,2,Tal vez
2/05/2022 21:48:34,22,Masculino,Superior Técnico completo,Lima este,No,Dento,No,Decisiones familiares,15,3,Sí
2/05/2022 21:49:11,21,Masculino,Superior Técnico incompleto,Callao,No,Binaca,No,La recomendación de conocidos,12,2,No
2/05/2022 21:50:25,23,Masculino,Superior Técnico completo,Callao,Si,Deliplus,No,El costo del dentífrico,10,1,Tal vez
2/05/2022 21:51:12,21,Masculino,Superior Técnico incompleto,Lima este,Si,Colgate,No,La recomendación de conocidos,14,2,Tal vez
2/05/2022 21:52:08,18,Masculino,Superior Universitario incompleto,Lima antigua,Si,Colgate,Si,La recomendación de conocidos,16,4,Sí
2/05/2022 21:52:41,20,Masculino,Superior Universitario incompleto,Lima sur,No,Oral B,Si,La recomendación de conocidos,18,4,Sí
2/05/2022 21:53:41,26,Femenino,Superior Universitario completo,Lima este,No,Oral B,Si,La propaganda y el marketing,19.5,2,Sí
2/05/2022 21:55:06,21,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,Decisiones familiares,16,2,Sí
2/05/2022 21:55:43,22,Femenino,Superior Técnico incompleto,Lima este,Si,Oral B,Si,La recomendación de conocidos,16,2,Sí
2/05/2022 21:56:29,21,Femenino,Superior Universitario incompleto,Lima moderna,Si,Kolynos,Si,El costo del dentífrico,8,2,Tal vez
2/05/2022 21:57:26,19,Femenino,Superior Universitario incompleto,Lima moderna,No,Oral B,Si,Decisiones familiares,17,2,Tal vez
2/05/2022 21:58:00,21,Femenino,Superior Técnico incompleto,Lima este,Si,Deliplus,Si,La propaganda y el marketing,13,2,Sí
2/05/2022 21:58:32,23,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La propaganda y el marketing,12,2,Tal vez
2/05/2022 21:59:53,19,Femenino,Superior Universitario completo,Lima moderna,Si,Colgate,Si,La propaganda y el marketing,16,3,No
2/05/2022 22:00:25,19,Femenino,Superior Universitario incompleto,Callao,No,Kolynos,No,Decisiones familiares,25,2,Sí
2/05/2022 22:01:00,25,Femenino,Superior Universitario completo,Lima moderna,Si,Oral B,Si,La recomendación de conocidos,15,3,Tal vez
2/05/2022 22:01:28,20,Masculino,Superior Universitario completo,Lima norte,Si,Colgate,Si,El costo del dentífrico,8,2,Tal vez
2/05/2022 22:02:01,24,Masculino,Superior Universitario completo,Lima norte,No,Dento,Si,La recomendación de conocidos,18,2,Tal vez
2/05/2022 22:02:37,21,Masculino,Superior Técnico completo,Lima este,Si,Deliplus,No,El costo del dentífrico,17,2,Tal vez
2/05/2022 22:03:10,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,La recomendación de conocidos,16,2,No
2/05/2022 22:03:47,20,Masculino,Superior Universitario incompleto,Lima sur,Si,Oral B,Si,La propaganda y el marketing,14,2,Sí
2/05/2022 22:04:23,21,Femenino,Superior Universitario incompleto,Lima moderna,No,Oral B,No,La recomendación de conocidos,14,2,Tal vez
2/05/2022 22:05:05,26,Masculino,Superior Universitario completo,Callao,Si,Colgate,Si,La propaganda y el marketing,12,2,Sí
2/05/2022 22:06:35,22,Masculino,Superior Universitario incompleto,Lima moderna,No,Deliplus,Si,La recomendación de conocidos,24,2,Sí
2/05/2022 22:08:51,23,Femenino,Superior Universitario incompleto,Lima este,No,Kolynos,Si,Sabor,14,3,Tal vez
2/05/2022 22:09:39,22,Femenino,Superior Universitario incompleto,Lima moderna,No,Corega,Si,Sabor,13,2,Tal vez
2/05/2022 22:15:21,19,Masculino,Secundaria completa,Lima sur,Si,Oral B,Si,La propaganda y el marketing,8,2,Tal vez
2/05/2022 22:36:14,19,Masculino,Superior Técnico incompleto,Lima moderna,Si,Oral B,Si,La recomendación de conocidos,15,2,Sí
2/05/2022 22:36:46,20,Masculino,Superior Universitario incompleto,Lima moderna,Si,Dento,Si,La propaganda y el marketing,16,2,Tal vez
2/05/2022 22:37:23,20,Masculino,Superior Universitario incompleto,Lima moderna,No,Dento,Si,La recomendación de conocidos,20,2,Tal vez
2/05/2022 22:37:59,18,Femenino,Superior Universitario incompleto,Lima norte,Si,Oral B,Si,La propaganda y el marketing,25,2,Tal vez
2/05/2022 22:38:37,19,Femenino,Superior Universitario incompleto,Lima sur,No,Oral B,Si,Decisiones familiares,14,2,Sí
2/05/2022 22:39:16,20,Femenino,Superior Universitario incompleto,Lima sur,No,Colgate,Si,El costo del dentífrico,6,2,Tal vez
2/05/2022 22:39:56,21,Masculino,Superior Técnico incompleto,Lima este,Si,Kolynos,Si,Sabor,20,2,Tal vez
2/05/2022 22:40:34,18,Femenino,Superior Universitario incompleto,Lima antigua,Si,Corega,Si,Decisiones familiares,6,1,Tal vez
3/05/2022 17:53:49,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,14.99,2,Sí
3/05/2022 17:55:52,19,Femenino,Superior Universitario incompleto,Lima antigua,No,Deliplus,Si,La propaganda y el marketing,12.99,1,Tal vez
3/05/2022 17:56:56,20,Femenino,Superior Técnico incompleto,Lima este,Si,Kolynos,No,Decisiones familiares,16.99,3,Tal vez
3/05/2022 17:57:32,21,Femenino,Superior Universitario incompleto,Lima moderna,Si,Corega,Si,Decisiones familiares,24,3,Tal vez
3/05/2022 17:58:29,22,Masculino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,El costo del dentífrico,8,2,Tal vez
3/05/2022 17:59:34,26,Masculino,Superior Universitario incompleto,Lima moderna,Si,Kolynos,Si,El costo del dentífrico,16,3,Sí
3/05/2022 18:00:22,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Dento,Si,Decisiones familiares,15,1,Tal vez
3/05/2022 18:01:09,18,Femenino,Secundaria completa,Lima norte,Si,Deliplus,No,El costo del dentífrico,9.99,2,Tal vez
3/05/2022 18:02:37,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,Decisiones familiares,3,2,Tal vez
3/05/2022 18:03:42,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,Decisiones familiares,3,2,Tal vez
3/05/2022 18:04:24,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,Sabor,14.99,2,Tal vez
3/05/2022 18:07:15,20,Femenino,Superior Universitario incompleto,Lima este,Si,Dento,Si,Decisiones familiares,20,3,Tal vez
3/05/2022 18:09:39,21,Femenino,Superior Universitario incompleto,Lima moderna,No,Corega,Si,La recomendación de conocidos,19.99,2,Sí
3/05/2022 18:10:40,22,Masculino,Superior Técnico incompleto,Lima sur,Si,Kolynos,Si,El costo del dentífrico,10,2,Tal vez
3/05/2022 18:11:34,23,Femenino,Superior Universitario incompleto,Lima moderna,Si,Natura,No,Calidad,10,2,Tal vez
3/05/2022 18:12:12,19,Femenino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,Calidad,16,2,Tal vez
3/05/2022 18:13:34,20,Femenino,Superior Universitario incompleto,Lima moderna,No,Dento,No,El costo del dentífrico,12,2,Tal vez
3/05/2022 18:25:55,20,Femenino,Superior Universitario incompleto,Lima moderna,No,Kolynos,Si,El costo del dentífrico,20,1,Sí
3/05/2022 18:28:10,21,Femenino,Superior Universitario incompleto,Callao,Si,Dento,Si,La recomendación de conocidos,15,2,Sí
3/05/2022 18:28:49,19,Masculino,Superior Universitario incompleto,Lima norte,Si,Oral B,Si,Decisiones familiares,18,2,Tal vez
3/05/2022 18:29:49,21,Femenino,Superior Universitario incompleto,Lima antigua,Si,Oral B,Si,La recomendación de conocidos,16,3,Tal vez
3/05/2022 18:51:01,20,Femenino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,Decisiones familiares,18,3,Tal vez
3/05/2022 18:52:13,21,Masculino,Superior Universitario incompleto,Lima moderna,Si,Deliplus,No,Dureza,15,3,No
3/05/2022 18:53:25,19,Femenino,Superior Universitario incompleto,Lima norte,No,Kolynos,Si,El costo del dentífrico,8,2,Tal vez
3/05/2022 18:55:26,21,Masculino,Superior Técnico completo,Lima este,No,Dento,No,La propaganda y el marketing,10,2,Tal vez
3/05/2022 18:56:10,21,Femenino,Superior Técnico incompleto,Lima moderna,Si,Oral B,Si,Decisiones familiares,14.99,2,Tal vez
3/05/2022 18:56:55,23,Femenino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,El costo del dentífrico,11.99,2,No
3/05/2022 18:58:19,19,Femenino,Superior Técnico incompleto,Lima sur,Si,Oral B,Si,Decisiones familiares,12,1,Tal vez
3/05/2022 18:58:57,20,Masculino,Superior Universitario incompleto,Lima moderna,No,Kolynos,Si,La recomendación de conocidos,16,2,Tal vez
3/05/2022 19:00:33,19,Femenino,Superior Universitario incompleto,Lima este,Si,Oral B,Si,Decisiones familiares,8,2,Tal vez
3/05/2022 19:01:46,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,Decisiones familiares,18,2,No
3/05/2022 19:02:32,21,Femenino,Superior Universitario incompleto,Lima moderna,Si,Kolynos,No,El costo del dentífrico,19,2,Tal vez
3/05/2022 19:03:07,23,Masculino,Superior Técnico incompleto,Lima moderna,Si,Dento,Si,Decisiones familiares,16,2,Tal vez
3/05/2022 19:03:43,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Dento,Si,La propaganda y el marketing,12,2,Tal vez
3/05/2022 19:04:15,19,Femenino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,La propaganda y el marketing,16,2,Tal vez
3/05/2022 19:05:58,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Oral B,Si,La recomendación de conocidos,16,2,Tal vez
3/05/2022 19:06:31,19,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,14.99,3,Tal vez
3/05/2022 19:07:24,19,Femenino,Secundaria completa,Lima moderna,Si,Binaca,Si,La recomendación de conocidos,11,2,Tal vez
3/05/2022 19:08:02,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Deliplus,Si,La recomendación de conocidos,16,2,Tal vez
3/05/2022 19:09:02,25,Femenino,Superior Universitario completo,Lima sur,No,Oral B,Si,La recomendación de conocidos,16,3,Tal vez
3/05/2022 19:09:36,20,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La propaganda y el marketing,18,16,Sí
3/05/2022 19:10:30,22,Femenino,Superior Universitario incompleto,Lima sur,No,Dento,Si,La recomendación de conocidos,15,3,Tal vez
3/05/2022 19:11:02,20,Femenino,Superior Universitario incompleto,Lima este,No,Binaca,Si,La propaganda y el marketing,6,2,Tal vez
3/05/2022 19:11:52,18,Femenino,Secundaria completa,Lima moderna,Si,Deliplus,Si,La recomendación de conocidos,18,1,No
3/05/2022 19:12:24,19,Femenino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,Decisiones familiares,16,2,No
3/05/2022 19:13:03,19,Femenino,Superior Técnico incompleto,Lima norte,Si,Kolynos,Si,El costo del dentífrico,10,2,No
3/05/2022 19:13:31,22,Masculino,Superior Universitario incompleto,Lima norte,Si,Kolynos,Si,Decisiones familiares,16,2,Sí
3/05/2022 19:14:31,20,Masculino,Superior Universitario incompleto,Lima moderna,Si,Kolynos,Si,La propaganda y el marketing,12,3,Tal vez
3/05/2022 19:15:12,23,Femenino,Superior Técnico completo,Lima moderna,Si,Corega,Si,La recomendación de conocidos,18,2,Tal vez
3/05/2022 19:15:50,19,Masculino,Superior Universitario incompleto,Lima moderna,Si,Dento,Si,El costo del dentífrico,8,2,Tal vez
