Año,País,Equipo,Vía de Clasificación,Valor de mercado (millones de Euros),Partidos Jugados,Partidos Ganados,Partidos Empatados,Partidos Perdidos,Fase Final,Edad Promedio
2016,Uruguay,River Plate (Uru),Mejor equipo ubicado en la tabla anual del Campeonato Uruguayo 2014-15,13.20,6,0,3,3,1,23.03
2016,Venezuela,Deportivo Táchira,Campeón de la Primera División Venezolana 2014-15,2.58,8,4,0,4,2,23.92
2016,Venezuela,Trujillanos,Subcampeón de la Primera División Venezolana 2014-15,0.825,6,1,1,4,1,24.69
2016,Venezuela,Caracas,Mejor equipo ubicado en la tabla acumulada de la Primera División Venezolana 2014-15,0.925 ,,,,,,23.84
2017,Argentina,Lanús,Campeón del Campeonato de Primera División 2016,42.7,14,7,2,5,5,24.90
2017,Argentina,San Lorenzo,Subcampeón del Campeonato de Primera División 2016,61.58,10,5,1,4,3,25.35
2017,Argentina,Estudiantes (LP),3.º puesto del Campeonato de Primera División 2016,49.48,6,3,0,3,1,22.68
2017,Argentina,Godoy Cruz,4.º puesto del Campeonato de Primera División 2016,22.45,8,3,2,3,2,24.74
2017,Argentina,River Plate,Campeón de la Copa Argentina 2015-16,98.75,12,7,2,3,4,24.58
2017,Argentina,Atlético Tucumán,5.º puesto de la tabla general del Campeonato de Primera División 2016,22.63,6,2,1,3,1,26.00
2017,Bolivia,Sport Boys,Campeón del Torneo Apertura 2015,4.7,6,0,2,4,1,28.19
2017,Bolivia,Jorge Wilstermann,Campeón del Torneo Clausura 2016,4.0,10,5,1,4,3,26.75
2017,Bolivia,The Strongest,Mejor equipo ubicado en la tabla acumulada del Campeonato de Primera División 2015-16,3.95,8,2,4,2,2,27.05
2017,Bolivia,Universidad de Sucre,2.º mejor equipo ubicado en la tabla acumulada del Campeonato de Primera División 2015-16,0.675,,,,,,28.33
2017,Brasil,Chapecoense,Campeón de la Copa Sudamericana 2016,35.15,6,2,1,3,1,26.02
2017,Brasil,Palmeiras,Campeón del Campeonato Brasileño de Serie A 2016,78,8,5,1,2,2,25.02
2017,Brasil,Gremio,Campeón de la Copa de Brasil 2016,60.2,14,10,2,2,6,22.96
2017,Brasil,Santos,Subcampeón del Campeonato Brasileño de Serie A 2016,68.05,10,5,4,1,3,22.70
2017,Brasil,Flamengo,3.º puesto del Campeonato Brasileño de Serie A 2016,74.95,6,3,0,3,1,24.51
2017,Brasil,Atlético Mineiro,4.º puesto del Campeonato Brasileño de Serie A 2016,71.98,8,4,2,2,2,23.42
2017,Brasil,Botafogo,5.º puesto del Campeonato Brasileño de Serie A 2016,31.15,10,5,2,3,3,23.67
2017,Brasil,Atlético Paranaense,6.º puesto del Campeonato Brasileño de Serie A 2016,46,8,3,1,4,2,22.69
2017,Chile,Universidad Católica,Campeón del Torneo Clausura 2016 y del Torneo Apertura 2016,23.8,6,1,2,3,1,24.92
2017,Chile,Deportes Iquique,Subcampeón del Torneo Apertura 2016,9.58,6,3,1,2,1,24.15
2017,Chile,Colo Colo,Campeón de la Copa Chile 2016,23.6,,,,,,24.55
2017,Chile,Unión Española,Ganador del Duelo de Subcampeones 2016,12.8,,,,,,23.86
2017,Colombia,Atlético Nacional,Campeón de la Copa Libertadores 2016,38.35,6,2,0,4,1,22.64
2017,Colombia,Independiente Medellín,Campeón del Torneo Apertura 2016,25.65,6,3,0,3,1,23.67
2017,Colombia,Santa Fe ,Campeón del Torneo Finalización 2016,27.13,6,2,2,2,1,23.95
2017,Colombia,Millonarios,Mejor equipo ubicado en la Reclasificación 2016,20.15,,,,,,25.84
2017,Colombia,Junior,2.º mejor equipo ubicado en la Reclasificación 2016,29.38,,,,,,24.67
2017,Ecuador,Barcelona,Campeón del Campeonato Ecuatoriano de Serie A 2016,24.68,12,6,2,4,4,24.19
2017,Ecuador,Emelec,Mejor equipo ubicado en la tabla acumulada del Campeonato Ecuatoriano de Serie A 2016,21.7,8,4,1,3,2,25.65
2017,Ecuador,El Nacional,2.º mejor equipo ubicado en la tabla acumulada del Campeonato Ecuatoriano de Serie A 2016,9.75,,,,,,22.32
2017,Ecuador,Independiente del Valle,3.º mejor equipo ubicado en la tabla acumulada del Campeonato Ecuatoriano de Serie A 2016,16.95,,,,,,20.62
2017,Paraguay,Libertad,Campeón en la temporada 2016 con mayor puntaje acumulado,9.18,6,1,3,2,1,26.08
2017,Paraguay,Guaraní,Campeón en la temporada 2016 con menor puntaje acumulado,7.43,8,3,3,2,2,27.05
2017,Paraguay,Olimpia,Mejor equipo ubicado en la tabla acumulada de la temporada 2016,16.7,,,,,,25.23
2017,Paraguay,Deportivo Capiatá,2.º mejor equipo ubicado en la tabla acumulada de la temporada 2016,2.3,,,,,,29.78
2017,Perú,Sporting Cristal,Campeón del Campeonato Descentralizado 2016,9.45,6,0,2,4,1,23.28
2017,Perú,Melgar,Subcampeón del Campeonato Descentralizado 2016,10,6,1,0,5,1,24.40
2017,Perú,Universitario,3.º puesto del Campeonato Descentralizado 2016,8.98,,,,,,22.73
2017,Perú,Deportivo Municipal,4.º puesto del Campeonato Descentralizado 2016,7.88,,,,,,23.91
2017,Uruguay,Peñarol,Campeón del Campeonato Uruguayo 2015-16,36.83,6,2,0,4,1,24.36
2017,Uruguay,Nacional,Subcampeón del Campeonato Uruguayo 2015-16 y campeón del Campeonato Uruguayo 2016,25.08,8,2,2,4,2,24.59
2017,Uruguay,Cerro Largo,3.º puesto de la tabla anual del Campeonato Uruguayo 2015-16,6.08,,,,,,25.44
2017,Uruguay,Montevideo Wanderers,5.º puesto de la tabla anual del Campeonato Uruguayo 2015-16 y subcampeón del Campeonato Uruguayo 2016,9.95,,,,,,22.86
2017,Venezuela,Zamora,Campeón de la Primera División 2016,10.85,6,0,0,6,1,23.28
2017,Venezuela,Zulia,Subcampeón de la Primera División 2016,8.23,6,1,2,3,1,21.44
2017,Venezuela,Carabobo,Mejor equipo ubicado en la tabla acumulada de la Primera División 2016,7.63,,,,,,23.40
2017,Venezuela,Deportivo Táchira,2.º mejor equipo ubicado en la tabla acumulada de la Primera División 2016,12.80,,,,,,23.36
2018,Argentina,Independiente,Campeón de la Copa Sudamericana 2017,50.80,10,4,3,3,3,24.96
2018,Argentina,Boca Juniors,Campeón del Campeonato de Primera División 2016-17,86.43,14,6,6,2,5,23.69
2018,Argentina,River Plate,Subcampeón del Campeonato de Primera División 2016-17 y campeón de la Copa Argentina 2016-17,98.75,14,7,6,1,6,24.52
2018,Argentina,Atlético Tucumán,Subcampeón de la Copa Argentina 2016-17,22.63,10,4,1,5,3,25.13
2018,Argentina,Estudiantes (LP),3.º puesto del Campeonato de Primera División 2016-17,49.48,8,3,2,3,2,24.33
2018,Argentina,Racing Club,4.º puesto del Campeonato de Primera División 2016-17,66.53,8,3,3,2,2,25.61
2018,Argentina,Banfield,5.º puesto del Campeonato de Primera División 2016-17,17.65,,,,,,24.74
2018,Bolivia,The Strongest,Campeón del Torneo Apertura 2016,3.95,6,1,0,5,1,26.67
2018,Bolivia,Bolívar,Campeón del Torneo Apertura 2017 y del Torneo Clausura 2017,6.85,6,2,2,2,1,26.00
2018,Bolivia,Jorge Wilstermann,3.º puesto del Torneo Clausura 2017,4.00,,,,,,28.35
2018,Bolivia,Oriente Petrolero,Mejor equipo ubicado en la tabla acumulada del Campeonato de Primera División 2016-17,2.88,,,,,,23.57
2018,Brasil,Gremio,Campeón de la Copa Libertadores 2017,110.20,12,8,2,2,4,23.02
2018,Brasil,Corinthians,Campeón del Campeonato Brasileño de Serie A 2017,86.48,8,4,1,3,2,23.37
2018,Brasil,Cruzeiro,Campeón de la Copa de Brasil 2017,14.05,10,4,3,3,3,24.14
2018,Brasil,Palmeiras,Subcampeón del Campeonato Brasileño de Serie A 2017,78.00,12,8,2,2,4,25.07
2018,Brasil,Santos,3.º puesto del Campeonato Brasileño de Serie A 2017,68.05,8,3,2,3,2,23.52
2018,Brasil,Flamengo,6.º puesto del Campeonato Brasileño de Serie A 2017,74.95,8,3,4,1,2,24.24
2018,Brasil,Vasco da Gama,7.º puesto del Campeonato Brasileño de Serie A 2017,34.58,6,1,2,3,1,24.52
2018,Brasil,Chapecoense,8.º puesto del Campeonato Brasileño de Serie A 2017,35.15,,,,,,23.92
2018,Chile,Universidad de Chile,Campeón del Torneo Clausura 2017,19.18,6,1,2,3,1,23.91
2018,Chile,Colo Colo,Campeón del Torneo Transición 2017,23.60,10,3,2,5,3,23.26
2018,Chile,Santiago Wanderers,Campeón de la Copa Chile 2017,10.85,,,,,,23.80
2018,Chile,Universidad de Concepción,Ganador del Duelo de Subcampeones 2017,10.73,,,,,,24.93
2018,Colombia,Atlético Nacional,Campeón del Torneo Apertura 2017,38.35,8,4,1,3,2,24.02
2018,Colombia,Millonarios,Campeón del Torneo Finalización 2017,20.15,6,2,2,2,1,25.38
2018,Colombia,Santa Fe,Mejor equipo ubicado en la Reclasificación 2017,27.13,6,1,4,1,1,25.42
2018,Colombia,Junior,Campeón de la Copa Colombia 2017,29.38,6,2,1,3,1,25.60
2018,Ecuador,Emelec,Campeón del Campeonato Ecuatoriano de Serie A 2017,21.70,6,0,1,5,1,24.44
2018,Ecuador,Delfín,Subcampeón del Campeonato Ecuatoriano de Serie A 2017,11.30,6,2,1,3,1,24.25
2018,Ecuador,Independiente del Valle,Mejor equipo ubicado en la tabla acumulada del Campeonato Ecuatoriano de Serie A 2017,16.95,,,,,,22.66
2018,Ecuador,Macará,2.º mejor equipo ubicado en la tabla acumulada del Campeonato Ecuatoriano de Serie A 2017,8.60,,,,,,24.90
2018,Paraguay,Cerro Porteño,Campeón en la temporada 2017 con mayor puntaje acumulado,12.30,8,5,1,2,2,25.06
2018,Paraguay,Libertad,Campeón en la temporada 2017 con menor puntaje acumulado,9.18,8,4,1,3,2,25.26
2018,Paraguay,Guaraní,Mejor equipo ubicado en la tabla acumulada de la temporada 2017,7.43,,,,,,27.03
2018,Paraguay,Olimpia,2.º mejor equipo ubicado en la tabla acumulada de la temporada 2017,16.70,,,,,,25.75
2018,Perú,Alianza Lima,Campeón del Campeonato Descentralizado 2017,6.90,6,0,1,5,1,23.42
2018,Perú,Real Garcilaso,Subcampeón del Campeonato Descentralizado 2017,8.13,6,1,3,2,1,24.08
2018,Perú,Melgar,Campeón del Torneo de Verano 2017,10.00,,,,,,24.34
2018,Perú,Universitario,Mejor equipo ubicado en la tabla acumulada del Campeonato Descentralizado 2017,8.98,,,,,,23.67
2018,Uruguay,Peñarol,Campeón del Campeonato Uruguayo de 2017,36.83,6,3,0,3,1,24.07
2018,Uruguay,Defensor Sporting,Subcampeón del Campeonato Uruguayo de 2017,10.50,6,1,1,4,1,22.89
2018,Uruguay,Nacional (Uru),Mejor equipo ubicado en la tabla anual del Campeonato Uruguayo de 2017,25.08,6,2,2,2,1,24.41
2018,Uruguay,Montevideo Wanderers,2.º mejor equipo ubicado en la tabla anual del Campeonato Uruguayo de 2017,9.95,,,,,,22.78
2018,Venezuela,Monagas,Campeón de la Primera División 2017,8.20,6,1,0,5,1,23.63
2018,Venezuela,Deportivo Lara,Subcampeón de la Primera División 2017,7.95,6,2,0,4,1,24.22
2018,Venezuela,Carabobo,Mejor equipo ubicado en la tabla acumulada de la Primera División 2017,7.63,,,,,,23.28
2018,Venezuela,Deportivo Táchira,2.º mejor equipo ubicado en la tabla acumulada de la Primera División 2017,12.80,,,,,,24.11
2019,Argentina,River Plate,Campeón de la Copa Libertadores 2018,107.65,13,4,7,2,5,24.49
2019,Argentina,Boca Juniors,Campeón de la Superliga Argentina 2017-18,122.00,12,7,3,2,4,24.04
2019,Argentina,Godoy Cruz,Subcampeón de la Superliga Argentina 2017-18,41.60,8,2,4,2,2,22.86
2019,Argentina,Rosario Central,Campeón de la Copa Argentina 2017-18,33.28,6,1,2,3,1,24.30
2019,Argentina,San Lorenzo,3.º puesto de la Superliga Argentina 2017-18,48.95,8,3,2,3,2,25.55
2019,Argentina,Huracán,4.º puesto de la Superliga Argentina 2017-18,36.18,6,1,1,4,1,27.85
2019,Argentina,Talleres,5.º puesto de la Superliga Argentina 2017-18,41.70,,,,,,23.00
2019,Bolivia,Jorge Wilstermann,Campeón del Torneo Apertura 2018,3.00,6,1,2,3,1,27.74
2019,Bolivia,San José,Campeón del Torneo Clausura 2018,2.00,6,1,1,4,1,29.00
2019,Bolivia,The Strongest,Subcampeón del Torneo Clausura 2018,3.23,,,,,,25.32
2019,Bolivia,Bolívar,4.º puesto de la Tabla acumulada de la División Profesional 2018,7.53,,,,,,26.96
2019,Brasil,Athletico Paranaense,Campeón de la Copa Sudamericana 2018,40.70,8,3,0,5,2,23.98
2019,Brasil,Palmeiras,Campeón del Campeonato Brasileño de Fútbol Serie A 2018,92.43,10,8,0,2,3,24.69
2019,Brasil,Cruzeiro,Campeón de la Copa de Brasil 2018,60.85,8,5,2,1,2,24.04
2019,Brasil,Flamengo,Subcampeón del Campeonato Brasileño Serie A 2018,122.13,13,7,3,3,6,23.73
2019,Brasil,Internacional,3.º puesto del Campeonato Brasileño Serie A 2018,55.85,10,6,3,1,3,24.72
2019,Brasil,Gremio,4.º puesto del Campeonato Brasileño Serie A 2018,90.75,12,6,2,4,4,24.49
2019,Brasil,Sao Paulo,5.º puesto del Campeonato Brasileño Serie A 2018,78.00,,,,,,23.08
2019,Brasil,Atlético Mineiro,6.º puesto del Campeonato Brasileño Serie A 2018,59.55,6,2,0,4,1,23.06
2019,Chile,Universidad Católica,Campeón de la Primera División de Chile 2018,12.65,6,2,1,3,1,23.00
2019,Chile,Universidad de Concepción,Subcampeón de la Primera División de Chile 2018,11.55,6,1,3,2,1,25.64
2019,Chile,Universidad de Chile,3.º puesto de la Primera División de Chile 2018,19.35,,,,,,25.57
2019,Chile,Palestino,Campeón de la Copa Chile 2018,9.18,6,2,1,3,1,23.68
2019,Colombia,Deportes Tolima,Campeón del Torneo Apertura 2018,22.88,6,2,2,2,1,24.82
2019,Colombia,Junior,Campeón del Torneo Finalización 2018,29.85,6,1,0,5,1,24.40
2019,Colombia,Independiente Medellín,1.º puesto de la Tabla de reclasificación de la Categoría Primera A 2018,22.80,,,,,,23.44
2019,Colombia,Atlético Nacional,Campeón de la Copa Colombia 2018,29.30,,,,,,24.03
2019,Ecuador,Liga de Quito,Campeón del Campeonato Ecuatoriano Serie A 2018,17.25,10,4,3,3,3,23.48
2019,Ecuador,Emelec,Subcampeón del Campeonato Ecuatoriano Serie A 2018,23.90,8,3,3,2,2,25.20
2019,Ecuador,Barcelona,2.º puesto de la Tabla acumulada del Campeonato Ecuatoriano Serie A 2018,23.95,,,,,,24.82
2019,Ecuador,Delfín,4.º puesto de la Tabla acumulada del Campeonato Ecuatoriano Serie A 2018,13.25,,,,,,25.69
2019,Paraguay,Olimpia,Campeón del Torneo Apertura 2018 y Torneo Clausura 2018,12.38,8,2,4,2,2,27.05
2019,Paraguay,Cerro Porteño,2.º puesto de la Tabla acumulada del Campeonato de Primera División 2018,12.15,10,5,3,2,3,26.89
2019,Paraguay,Libertad,3.º puesto de la Tabla acumulada del Campeonato de Primera División 2018,7.90,8,4,1,3,2,27.47
2019,Paraguay,Nacional (Par),4.º puesto de la Tabla acumulada del Campeonato de Primera División 2018,2.40,,,,,,25.67
2019,Perú,Sporting Cristal,Campeón del Campeonato Descentralizado 2018,6.98,6,2,1,3,1,23.13
2019,Perú,Alianza Lima,Subcampeón del Campeonato Descentralizado 2018,9.23,6,0,1,5,1,23.65
2019,Perú,Melgar,3.º puesto del Campeonato Descentralizado 2018,9.55,6,2,1,3,1,23.57
2019,Perú,Real Garcilaso,4.º puesto del Campeonato Descentralizado 2018,10.35,,,,,,23.85
2019,Uruguay,Peñarol,Campeón del Campeonato Uruguayo de Primera División 2018,18.18,6,3,1,2,1,24.00
2019,Uruguay,Nacional (Uru),Subcampeón del Campeonato Uruguayo de Primera División 2018,25.75,8,4,1,3,2,24.74
2019,Uruguay,Danubio,3.º puesto de la Tabla anual del Campeonato Uruguayo de Primera División 2018,10.35,,,,,,22.19
2019,Uruguay,Defensor Sporting,4.º puesto de la Tabla anual del Campeonato Uruguayo de Primera División 2018,11.23,,,,,,23.06
2019,Venezuela,Zamora,Campeón de la Primera División 2018,6.53,6,1,0,5,1,21.49
2019,Venezuela,Deportivo Lara,Subcampeón de la Primera División 2018,8.30,6,1,2,3,1,23.02
2019,Venezuela,Caracas,2.º puesto de la Tabla acumulada de la Primera División 2018,8.75,,,,,,21.98
2019,Venezuela,Deportivo La Guaira,3.º puesto de la Tabla acumulada de la Primera División 2018,7.65,,,,,,21.34
2020,Argentina,Racing Club,Campeón de la Superliga Argentina 2018-19,79.23,10,6,2,2,3,24.56
2020,Argentina,Defensa y Justicia,Subcampeón de la Superliga Argentina 2018-19,59.83,6,2,0,4,1,24.89
2020,Argentina,River Plate,Campeón de la Copa Argentina 2018-19,148.58,12,8,2,2,4,24.34
2020,Argentina,Tigre,Campeón de la Copa de la Superliga 2019,25.88,6,0,1,5,1,26.65
2020,Argentina,Boca Juniors,3.º puesto de la Superliga Argentina 2018-19,201.25,12,6,3,3,4,23.88
2020,Argentina,Atlético Tucumán,5.º puesto de la Superliga Argentina 2018-19,21.90,,,,,,26.6
2020,Bolivia,Bolívar,Campeón del Torneo Apertura 2019,6.38,6,1,1,4,1,26.75
2020,Bolivia,Jorge Wilstermann,Campeón del Torneo Clausura 2019,4.40,8,3,1,4,2,26.96
2020,Bolivia,The Strongest,2.º puesto de la Tabla acumulada de la División Profesional 2019,4.65,,,,,,27.00
2020,Bolivia,San José,4.º puesto de la Tabla acumulada de la División Profesional 2019,4.03,,,,,,29.42
2020,Brasil,Flamengo,Campeón de la Copa Libertadores 2019 y del Campeonato Brasileño Serie A 2019,120.05,8,5,2,1,2,23.78
2020,Brasil,Athletico Paranaense,Campeón de la Copa de Brasil 2019,45.25,8,3,2,3,2,22.76
2020,Brasil,Santos,Subcampeón del Campeonato Brasileño Serie A 2019,107.05,13,8,3,2,5,23.47
2020,Brasil,Palmeiras,3.º puesto del Campeonato Brasileño Serie A 2019,138.85,13,10,2,1,6,26.15
2020,Brasil,Gremio,4.º puesto del Campeonato Brasileño Serie A 2019,106.60,10,5,3,2,3,23.55
2020,Brasil,Sao Paulo,6.º puesto del Campeonato Brasileño Serie A 2019,97.00,6,2,1,3,1,22.74
2020,Brasil,Internacional,7.º puesto del Campeonato Brasileño Serie A 2019,69.50,8,3,2,3,2,24.72
2020,Brasil,Corinthians,8.º puesto del Campeonato Brasileño Serie A 2019,94.85,,,,,,23.65
2020,Chile,Universidad Católica,Campeón de la Primera División de Chile 2019,19.65,6,2,1,3,1,24.79
2020,Chile,Colo Colo,Subcampeón de la Primera División de Chile 2019 y campeón de la Copa Chile 2019,14.70,6,2,0,4,1,25.13
2020,Chile,Palestino,3.º puesto de la Primera División de Chile 2019,10.03,,,,,,23.76
2020,Chile,Universidad de Chile,Subcampeón de la Copa Chile 2019,16.20,,,,,,24.94
2020,Colombia,Junior,Campeón del Torneo Apertura 2019,31.43,6,2,0,4,1,25.14
2020,Colombia,América de Cali,Campeón del Torneo Finalización 2019,26.73,6,1,3,2,1,22.88
2020,Colombia,Deportes Tolima,3.º puesto de la Tabla de reclasificación de la Categoría Primera A 2019,28.70,,,,,,24.67
2020,Colombia,Independiente Medellín,Campeón de la Copa Colombia 2019,26.43,6,2,0,4,1,23.34
2020,Ecuador,Independiente del Valle,Campeón de la Copa Sudamericana 2019,11.55,8,4,2,2,2,21.66
2020,Ecuador,Delfín,Campeón de la Serie A de Ecuador 2019,11.20,8,2,1,5,2,25.28
2020,Ecuador,Liga de Quito,Subcampeón de la Serie A de Ecuador 2019,25.65,8,5,0,3,2,23.09
2020,Ecuador,Macará,1.º puesto de la Tabla general de la Serie A de Ecuador 2019,11.60,,,,,,24.28
2020,Ecuador,Barcelona,2.º puesto de la Tabla general de la Serie A de Ecuador 2019,26.45,6,1,0,5,1,24.74
2020,Paraguay,Olimpia,Campeón del Torneo Apertura 2019 y del Torneo Clausura 2019,20.50,6,1,2,3,1,27.09
2020,Paraguay,Libertad,2.º puesto de la Tabla acumulada del Campeonato de Primera División 2019,14.15,10,4,2,4,3,24.08
2020,Paraguay,Cerro Porteño,3.º puesto de la Tabla acumulada del Campeonato de Primera División 2019,17.88,,,,,,25.22
2020,Paraguay,Guaraní,4.º puesto de la Tabla acumulada del Campeonato de Primera División 2019,5.73,8,4,1,3,2,24.76
2020,Perú,Deportivo Binacional,Campeón de la Liga 1 2019,5.95,6,1,0,5,1,26.03
2020,Perú,Alianza Lima,Subcampeón de la Liga 1 2019,13.70,6,0,1,5,1,24.44
2020,Perú,Sporting Cristal,Semifinalista de la Liga 1 2019,11.43,,,,,,22.15
2020,Perú,Universitario,4.º puesto de la Tabla acumulada de la Liga 1 2019,10.23,,,,,,23.84
2020,Uruguay,Nacional (Uru),Campeón del Campeonato Uruguayo de Primera División 2019,18.50,10,5,2,3,3,24.33
2020,Uruguay,Peñarol,Subcampeón del Campeonato Uruguayo de Primera División 2019,25.20,6,3,0,3,1,23.74
2020,Uruguay,Cerro Largo,3.º puesto de la Tabla anual del Campeonato Uruguayo de Primera División 2019,7.13,,,,,,23.85
2020,Uruguay,Progreso,4.º puesto de la Tabla anual del Campeonato Uruguayo de Primera División 2019,5.93,,,,,,24.51
2020,Venezuela,Caracas,Campeón de la Primera División 2019,10.08,6,2,1,3,1,22.69
2020,Venezuela,Estudiantes de Mérida,Subcampeón de la Primera División 2019,5.48,6,1,1,4,1,24.25
2020,Venezuela,Deportivo Táchira,1.º puesto de la Tabla acumulada de la Primera División 2019,10.70,,,,,,23.88
2020,Venezuela,Carabobo,3.º puesto de la Tabla acumulada de la Primera División 2019,5.75,,,,,,22.89
