"Edad","Sexo","Ciclo","Frecuencia_de_uso","Tiempo_tareas_sin_ChatGPT","Rendimiento_academico_SIN_ChatGPT","Nota_promedio_TAREAS_SIN_ChatGPT","Notas_CON_ChatGPT","Nota_promedio_CON_ChatGPT","Aprendizaje_CON_ChatGPT","Carrera_cor","Conocimiento_ChatGPT_cor","Obtencion_respuestas_cor","Tiempo_tareas_CON_ChatGPT_cor","Horas_uso_diario_cor"
18,"Mujer","4to ciclo","Nunca","2 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",15,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","1","A veces","No uso","1"
18,"Mujer","3er ciclo","Regular","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",13,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","1 hora","2"
18,"Mujer","3er ciclo","Regular","Más de 3 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Bioingeniería","2","A veces","Más de 3 horas","2"
18,"Hombre","2do ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","3","Sí","1 hora","2"
25,"Mujer","10mo ciclo","Nunca","Menos de 1 hora","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","1"
19,"Mujer","4to ciclo","Regular","2 horas","Tenia muy buenas notas, estaba muy bien.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","3","Sí","1 hora","1"
18,"Hombre","3er ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecánica","2","Sí","2 horas","2"
21,"Hombre","3er ciclo","A veces","1 hora","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Bioingeniería","2","A veces","1 hora","1"
20,"Hombre","4to ciclo","Siempre","1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","3","Sí","1 hora","1"
18,"Hombre","3er ciclo","Regular","3 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ciencia de Datos (CS)","3","A veces","2 horas","5"
19,"Hombre","2do ciclo","Regular","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",19,"Me va muy bien, hago mis tareas rápida y eficazmente.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","Sí","1 hora","1"
19,"Hombre","4to ciclo","Nunca","Menos de 1 hora","Mis notas eran muy malas, no entrega tareas a tiempo.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"Nunca intento mis tareas por mi cuenta, ChatGPT lo hace todo. Al final, la cosa es aprobar los cursos.","Ingeniería Industrial","1","Sí","1 hora","1"
17,"Mujer","3er ciclo","Nunca","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","2","A veces","1 hora","1"
22,"Mujer","8vo ciclo","A veces","3 horas","Tenia muy buenas notas, estaba muy bien.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Bioingeniería","2","A veces","1 hora","1"
20,"Mujer","4to ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería ambiental","2","No","1 hora","1"
17,"Mujer","2do ciclo","Nunca","2 horas","Mis notas eran regulares, hacia lo que podia.",19,"Me va casi igual de antes que existiera, no hay mucha diferencia.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","1","No","No uso","1"
18,"Hombre","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","3","A veces","1 hora","4"
18,"Mujer","2do ciclo","Regular","2 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","2","A veces","Más de 3 horas","1"
17,"Hombre","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
17,"Mujer","3er ciclo","Regular","2 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va muy bien, hago mis tareas rápida y eficazmente.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Química","3","A veces","1 hora","1"
20,"Mujer","4to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"Nunca intento mis tareas por mi cuenta, ChatGPT lo hace todo. Al final, la cosa es aprobar los cursos.","Ingeniería Industrial","1","A veces","1 hora","1"
18,"Mujer","5to ciclo","Regular","3 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","2","A veces","1 hora","3"
18,"Hombre","3er ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","2","A veces","1 hora","1"
21,"Hombre","4to ciclo","Nunca","Menos de 1 hora","Mis notas eran regulares, hacia lo que podia.",19,"Me va muy bien, hago mis tareas rápida y eficazmente.",19,"Nunca intento mis tareas por mi cuenta, ChatGPT lo hace todo. Al final, la cosa es aprobar los cursos.","Ingeniería Civil","1","A veces","No uso","1"
21,"Mujer","4to ciclo","Nunca","3 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",0,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Química","1","No","No uso","1"
22,"Hombre","4to ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","5"
18,"Hombre","3er ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Bioingeniería","2","A veces","1 hora","1"
22,"Hombre","5to ciclo","A veces","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","No","1 hora","1"
18,"Hombre","3er ciclo","Nunca","2 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","1","No","No uso","0"
18,"Mujer","3er ciclo","Regular","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","Sí","1 hora","2"
21,"Hombre","3er ciclo","Nunca","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",17,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","1","A veces","1 hora","0"
18,"Mujer","3er ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","2","A veces","2 horas","1"
20,"Hombre","7mo ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",13,"Me va igual de mal.",13,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecánica","2","A veces","1 hora","1"
23,"Hombre","10mo ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","2","A veces","1 hora","1"
18,"Mujer","3er ciclo","Regular","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",10,"Me va casi igual de antes que existiera, no hay mucha diferencia.",12,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","No","Más de 3 horas","1"
20,"Mujer","3er ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",13,"Me va muy bien, hago mis tareas rápida y eficazmente.",15,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","2","A veces","1 hora","1"
18,"Mujer","3er ciclo","Regular","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","No","1 hora","1"
18,"Mujer","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","A veces","1 hora","1"
18,"Hombre","3er ciclo","A veces","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","A veces","1 hora","1"
19,"Mujer","4to ciclo","Nunca","3 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",11,"Me va casi igual de antes que existiera, no hay mucha diferencia.",12,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","1","No","1 hora","0"
18,"Mujer","2do ciclo","Nunca","2 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"Nunca intento mis tareas por mi cuenta, ChatGPT lo hace todo. Al final, la cosa es aprobar los cursos.","Ingeniería Mecánica","1","No","No uso","0"
20,"Hombre","3er ciclo","Regular","Más de 3 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Bioingeniería","3","A veces","2 horas","3"
18,"Mujer","3er ciclo","A veces","Menos de 1 hora","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","2","A veces","1 hora","1"
21,"Hombre","1er ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",19,"Me va casi igual de antes que existiera, no hay mucha diferencia.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","1","No","1 hora","1"
17,"Hombre","3er ciclo","Regular","1 hora","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","3","No","1 hora","1"
21,"Hombre","3er ciclo","Nunca","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","1","A veces","No uso","0"
18,"Hombre","5to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",20,"Me va casi igual de antes que existiera, no hay mucha diferencia.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Química","2","A veces","1 hora","1"
20,"Mujer","4to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","1","A veces","2 horas","1"
18,"Hombre","3er ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","2","Sí","1 hora","1"
19,"Hombre","4to ciclo","Nunca","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",20,"Me va muy bien, hago mis tareas rápida y eficazmente.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","1","No","No uso","0"
23,"Mujer","10mo ciclo","Nunca","2 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",0,"Nunca intento mis tareas por mi cuenta, ChatGPT lo hace todo. Al final, la cosa es aprobar los cursos.","Ingeniería Industrial","1","No","No uso","0"
19,"Mujer","3er ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","1","A veces","1 hora","1"
19,"Mujer","3er ciclo","Nunca","1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",15,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","1","A veces","1 hora","0"
19,"Mujer","4to ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","2 horas","1"
18,"Hombre","3er ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Química","3","A veces","1 hora","3"
17,"Hombre","1er ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","A veces","1 hora","0"
23,"Hombre","7mo ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","3","A veces","1 hora","1"
