"Marca temporal","¿Cual es su edad? (ej. 31)","Sexo","Aproximadamente cuantas horas de ejercicio/deporte hace semanalmente (ej. 3)","¿Qué tipo de proteína es de su preferencia diaria?","¿Consume algún tipo de suplemento proteico? (Proteína en polvo, barras de proteína, ensure, etc.)","Aproximadamente cuantos soles gasta a la semana en compras de víveres y comida (ej. 200)","¿Del 1 al 10, qué tan dispuesto estarías a consumir productos derivados de insectos? Siendo 1 nada dispuesto y 10 muy dispuesto. ","¿Aproximadamente qué precio le darías a 1 kg de insectos como grillos procesados y criados para consumo humano? (en soles ej. 10.00)","¿Cuántos productos de insectos o derivados de insectos has probado? (ej. 2)","¿Cuál producto derivado de insectos estarías más dispuesto a probar tomando en cuenta que todos son aptos para consumo?"
"2021/05/16 7:26:14 p. m. GMT-5","21","Hombre","8","Carne, pollo,chancho, pescado","Si","250","10","30.00","0","Harina de insecto"
"2021/05/16 7:28:01 p. m. GMT-5","22","Hombre","4","Carne, pollo,chancho, pescado","No","350","4","6","3","Piqueos varios"
"2021/05/16 7:28:48 p. m. GMT-5","22","Hombre","5","Carne, pollo,chancho, pescado","Si","300","9","12","1","Barras proteicas"
"2021/05/16 7:31:28 p. m. GMT-5","20","Hombre","3","Carne, pollo,chancho, pescado","No","100","1","5","0","Barras proteicas"
"2021/05/16 7:31:48 p. m. GMT-5","20","Hombre","4","Carne, pollo,chancho, pescado","No","600","6","10","0","Pastas o panes"
"2021/05/16 7:31:52 p. m. GMT-5","53","Mujer","0","Carne, pollo,chancho, pescado","No","150","1","10","0","Nada"
"2021/05/16 7:32:00 p. m. GMT-5","50","Hombre","10 a 15 horas","Huevo, lácteos, derivados varios","No","300","5","5","0","Barras proteicas"
"2021/05/16 7:33:22 p. m. GMT-5","20","Hombre","5","Carne, pollo,chancho, pescado","No","150","10","1","0","Harina de insecto"
"2021/05/16 7:35:19 p. m. GMT-5","20","Hombre","8","Carne, pollo,chancho, pescado","No","","4","5","0","Barras proteicas"
"2021/05/16 7:35:56 p. m. GMT-5","21","Hombre","3","Carne, pollo,chancho, pescado","No","5000","1","1","0","Harina de insecto"
"2021/05/16 7:36:31 p. m. GMT-5","18","Hombre","28 horas semanales ","Huevo, lácteos, derivados varios","Si","Nada, todo me lo da el PAD ","5","7.60","Ninguno ","Barras proteicas"
"2021/05/16 7:36:36 p. m. GMT-5","19","Mujer","0","Carne, pollo,chancho, pescado","No","300","1","3","0","Ninguno "
"2021/05/16 7:38:01 p. m. GMT-5","20","Hombre","6","Carne, pollo,chancho, pescado","Si","400","5","5","0","Barras proteicas"
"2021/05/16 7:38:31 p. m. GMT-5","20","Hombre","0","Carne, pollo,chancho, pescado","No","50","1","1","0",""
"2021/05/16 7:40:09 p. m. GMT-5","19","Mujer","4","Carne, pollo,chancho, pescado","No","150","2","3","1","Piqueos varios"
"2021/05/16 7:40:10 p. m. GMT-5","60","Mujer","1","Carne, pollo,chancho, pescado","No","400","1","15","Ninguno","Hamburguesas"
"2021/05/16 7:41:00 p. m. GMT-5","20","Hombre","6","Carne, pollo,chancho, pescado","No","400","1","","0","Piqueos varios"
"2021/05/16 7:42:58 p. m. GMT-5","20","Hombre","4","Carne, pollo,chancho, pescado","Si","50","8","3","2","Piqueos varios"
"2021/05/16 7:43:59 p. m. GMT-5","19","Hombre","0","Carne, pollo,chancho, pescado","No","200","7","7","0","Barras proteicas"
"2021/05/16 7:44:35 p. m. GMT-5","20","Hombre","4","Carne, pollo,chancho, pescado","No","300","1","10","0","Barras proteicas"
"2021/05/16 7:45:09 p. m. GMT-5","19","Mujer","0","Huevo, lácteos, derivados varios","No","200","10","17","0","Piqueos varios"
"2021/05/16 7:45:46 p. m. GMT-5","21","Hombre","4","Carne, pollo,chancho, pescado","No","300","7","17.00","0","Salchicha"
"2021/05/16 7:45:57 p. m. GMT-5","62","Mujer","3 horas ","Carne, pollo,chancho, pescado","No","500","1","","16","No la consumiría "
"2021/05/16 7:46:07 p. m. GMT-5","21","Hombre","3","Carne, pollo,chancho, pescado","No","190","3","3","0","Barras proteicas"
"2021/05/16 7:46:36 p. m. GMT-5","120","Hombre","8","Carne, pollo,chancho, pescado","Si","900","1","3","0","Barras proteicas"
"2021/05/16 7:46:41 p. m. GMT-5","20","Hombre","4","Carne, pollo,chancho, pescado","No","600","6","10","0","Pastas o panes"
"2021/05/16 7:46:59 p. m. GMT-5","21","Mujer","8 ","Carne, pollo,chancho, pescado","Si","200","5","9","1","Barras proteicas"
"2021/05/16 7:47:50 p. m. GMT-5","49","Mujer","6","Carne, pollo,chancho, pescado","No","600","3","10.00","ninguno","Harina de insecto"
"2021/05/16 7:48:06 p. m. GMT-5","19","Mujer","3","Carne, pollo,chancho, pescado","No","350","10","20.00","0","Piqueos varios"
"2021/05/16 7:48:08 p. m. GMT-5","22","Hombre","1","Carne, pollo,chancho, pescado","No","150","3","10","0","Barras proteicas"
"2021/05/16 7:48:57 p. m. GMT-5","51","Mujer","2","Huevo, lácteos, derivados varios","No","300","5","10","0","Harina de insecto"
"2021/05/16 7:50:17 p. m. GMT-5","20","Hombre","6","Carne, pollo,chancho, pescado","No","300","1","5","0","Harina de insecto"
"2021/05/16 7:51:09 p. m. GMT-5","41","Hombre","5","Carne, pollo,chancho, pescado","Si","200","10","10","0","Barras proteicas"
"2021/05/16 7:52:34 p. m. GMT-5","20","Hombre","7-8","Carne, pollo,chancho, pescado","Si","100","4","6 soles","0","Barras proteicas"
"2021/05/16 7:53:20 p. m. GMT-5","24","Mujer","4","Carne, pollo,chancho, pescado","No","200","1","6","0","Barras proteicas"
"2021/05/16 7:54:46 p. m. GMT-5","34","Hombre","0","Carne, pollo,chancho, pescado","Si","r","8","","e","Harina de insecto"
"2021/05/16 7:55:28 p. m. GMT-5","18","Mujer","5","Carne, pollo,chancho, pescado","No","800","4","7.60","Ninguno ",""
"2021/05/16 8:00:13 p. m. GMT-5","20","Hombre","4","Carne, pollo,chancho, pescado","Si","300","10","5.00","3","Barras proteicas"
"2021/05/16 8:03:42 p. m. GMT-5","21","Hombre","4:30","Huevo, lácteos, derivados varios","No","100","3","10 soles","0","Harina de insecto"
"2021/05/16 8:04:08 p. m. GMT-5","22","Hombre","3","Carne, pollo,chancho, pescado","No","300","6","6","0","Barras proteicas"
"2021/05/16 8:11:17 p. m. GMT-5","49","Mujer","10","Carne, pollo,chancho, pescado","No","400","5","20 soles","1","Miel de abejas"
"2021/05/16 8:13:56 p. m. GMT-5","20","Hombre","5","Huevo, lácteos, derivados varios","No","500","2","10","0","Barras proteicas"
"2021/05/16 8:14:28 p. m. GMT-5","19","Mujer","1","Carne, pollo,chancho, pescado","No","200","1","2","1","Barras proteicas"
"2021/05/16 8:18:31 p. m. GMT-5","20","Hombre","1","Carne, pollo,chancho, pescado","No","200","8","10","0","Barras proteicas"
"2021/05/16 8:19:31 p. m. GMT-5","55","Hombre","0","Carne, pollo,chancho, pescado","No","1000","1","3.00","0","Ninguno"
"2021/05/16 8:21:30 p. m. GMT-5","19","Mujer","3","Carne, pollo,chancho, pescado","No","350","10","20.00","0","Piqueos varios"
"2021/05/16 8:22:56 p. m. GMT-5","20","Hombre","2 horas GAAAAA","Carne, pollo,chancho, pescado","Si","300 - 400","7","6.00","0, creo","Hamburguesas"
"2021/05/16 8:28:28 p. m. GMT-5","18","Hombre","2","Carne, pollo,chancho, pescado","No","80","1","10","0","Barras proteicas"
"2021/05/16 8:29:08 p. m. GMT-5","56","Hombre","8 horas ","Carne, pollo,chancho, pescado","No","259 ","1","0","0",""
"2021/05/16 8:32:32 p. m. GMT-5","20","Hombre","10","Carne, pollo,chancho, pescado","Si","60","3","","1","Harina de insecto"
"2021/05/16 8:36:06 p. m. GMT-5","52","Mujer","8","Carne, pollo,chancho, pescado","Si","600","8","5.00","Ninguno","Barras proteicas"
"2021/05/16 8:38:25 p. m. GMT-5","19","Mujer","5h","Vegetales","Si","350-400","2","8","0","Piqueos varios"
"2021/05/16 8:39:11 p. m. GMT-5","52","Mujer","3","Carne, pollo,chancho, pescado","No","700","1","5","0","No se"
"2021/05/16 8:41:30 p. m. GMT-5","18","Mujer","1/2 hora ","Carne, pollo,chancho, pescado","No","","3","5-6 ","0","Hamburguesas"
"2021/05/16 8:43:58 p. m. GMT-5","17","Hombre","4","Carne, pollo,chancho, pescado","No","","3","5","0","Barras proteicas"
"2021/05/16 8:49:20 p. m. GMT-5","19","Mujer","3","Carne, pollo,chancho, pescado","No","500","7","20","0","Piqueos varios"
"2021/05/16 8:51:32 p. m. GMT-5","52","Mujer","3:00","Vegetales","No","150","2","5.00","0","Barras proteicas"
"2021/05/16 8:54:17 p. m. GMT-5","19","Mujer","0","Huevo, lácteos, derivados varios","Si","200","5","4.60","1","Piqueos varios"
"2021/05/16 8:57:45 p. m. GMT-5","59","Hombre","4 ","Carne, pollo,chancho, pescado","No","150","1","5","0","Barras proteicas"
"2021/05/16 8:58:49 p. m. GMT-5","54","Hombre","5","Huevo, lácteos, derivados varios","Si","500","1","3","0","Ninguna "
"2021/05/16 9:06:41 p. m. GMT-5","61","","10","Huevo, lácteos, derivados varios","No","200","1","20","0","Ninguno"
"2021/05/16 9:12:13 p. m. GMT-5","56","Mujer","Nada","Carne, pollo,chancho, pescado","Si","500","1","5","Cero ","Harina de insecto"
"2021/05/16 9:13:07 p. m. GMT-5","48","Mujer","5","Carne, pollo,chancho, pescado","Si","400","4","5","0","Piqueos varios"
"2021/05/16 9:17:43 p. m. GMT-5","","Hombre","2","Carne, pollo,chancho, pescado","No","200","6","5","Ninguno ","Pastas o panes"
"2021/05/16 9:31:15 p. m. GMT-5","57","Mujer","7 hrs","Carne, pollo,chancho, pescado","No","500","9","7 soles","1","Barras proteicas"
"2021/05/16 9:43:12 p. m. GMT-5","62","Mujer","3 horas ","Carne, pollo,chancho, pescado","No","500","1","","16","No la consumiría "
"2021/05/16 9:43:15 p. m. GMT-5","49","Mujer","3","Carne, pollo,chancho, pescado","No","600","1","5.00","0","Ninguno"
"2021/05/16 9:49:50 p. m. GMT-5","54","Hombre","30","Carne, pollo,chancho, pescado","No","500","2","5","Ninguno","Barras proteicas"
"2021/05/16 10:01:14 p. m. GMT-5","49","Mujer","2 horas","Carne, pollo,chancho, pescado","No","800","9","5 soles","Nada","Nada"
"2021/05/16 10:17:59 p. m. GMT-5","50","","2","Carne, pollo,chancho, pescado","Si","400","1","5","Ninguno",""
"2021/05/16 10:21:08 p. m. GMT-5","19","Hombre","10","Carne, pollo,chancho, pescado","No","500","1","3","0","Harina de insecto"
"2021/05/16 10:26:19 p. m. GMT-5","49","Mujer","1","Carne, pollo,chancho, pescado","No","700","1","1","0","Ninguno"
"2021/05/16 10:27:27 p. m. GMT-5","56","Mujer","Nada","Carne, pollo,chancho, pescado","Si","500","1","5","Cero ","Harina de insecto"
"2021/05/16 10:33:38 p. m. GMT-5","53","Mujer","4","Huevo, lácteos, derivados varios","No","250","2","20 sokes","0","Hamburguesas"
"2021/05/16 11:37:11 p. m. GMT-5","48","Mujer","4","Carne, pollo,chancho, pescado","No","800","2","4","Cero","Pastas o panes"
"2021/05/17 12:01:40 a. m. GMT-5","20","Hombre","1","Carne, pollo,chancho, pescado","No","200","8","10","0","Barras proteicas"
"2021/05/17 12:19:24 a. m. GMT-5","20","Hombre","6","Carne, pollo,chancho, pescado","No","150","1","2","0","Barras proteicas"
"2021/05/17 1:03:01 a. m. GMT-5","19","Mujer","25","Carne, pollo,chancho, pescado","No","300","3","5.00","1","Hamburguesas"
"2021/05/17 1:04:32 a. m. GMT-5","20","Hombre","5 ","Carne, pollo,chancho, pescado","Si","400","1","8.00","0","Harina de insecto"
"2021/05/17 1:27:33 a. m. GMT-5","19","Hombre","8","Carne, pollo,chancho, pescado","No","50-100 soles","7","25","Un par","Barras proteicas"
"2021/05/17 1:55:32 a. m. GMT-5","50","Hombre","3","Carne, pollo,chancho, pescado","Si","200","2","5","0","Barras proteicas"
"2021/05/17 2:20:59 a. m. GMT-5","21","Hombre","4:30","Huevo, lácteos, derivados varios","No","100","3","10 soles","0","Harina de insecto"
"2021/05/17 5:36:10 a. m. GMT-5","","Hombre","2","Carne, pollo,chancho, pescado","No","200","6","5","Ninguno ","Pastas o panes"
"2021/05/17 6:41:19 a. m. GMT-5","58","Mujer","6","Huevo, lácteos, derivados varios","No","150","1","7","0","Ninguno"
"2021/05/17 7:14:45 a. m. GMT-5","50","Hombre","12","Carne, pollo,chancho, pescado","No","400","10","","1","Harina de insecto"
"2021/05/17 7:25:21 a. m. GMT-5","21","Hombre","4","Carne, pollo,chancho, pescado","No","300","7","17.00","0","Salchicha"
"2021/05/17 7:50:45 a. m. GMT-5","50","Hombre","12","Carne, pollo,chancho, pescado","No","400","10","","1","Harina de insecto"
"2021/05/17 8:04:06 a. m. GMT-5","50","Mujer","3","Carne, pollo,chancho, pescado","Si","350","7","5","1","Barras proteicas"
"2021/05/17 8:07:42 a. m. GMT-5","57","Hombre","No","Carne, pollo,chancho, pescado","Si","250 soles ","6","10 soles ","Ninguna ","Piqueos varios"
"2021/05/17 9:27:34 a. m. GMT-5","52","Mujer","2","Huevo, lácteos, derivados varios","No","500","4","7","0","Piqueos varios"
"2021/05/17 9:34:41 a. m. GMT-5","52","Mujer","45","Huevo, lácteos, derivados varios","No","700","1","20","0","Ninguna "
"2021/05/17 10:17:57 a. m. GMT-5","70","Mujer","Dos a tres horas","Huevo, lácteos, derivados varios","No","400","2","3 soles","Ninguno","Pastas o panes"
"2021/05/17 10:19:57 a. m. GMT-5","66","Mujer","6 horas","","No","150","2","7,00soles","Ninguno","Piqueos varios"
"2021/05/17 10:29:56 a. m. GMT-5","20","Hombre","6","Carne, pollo,chancho, pescado","No","400","1","","0","Piqueos varios"
"2021/05/17 10:29:57 a. m. GMT-5","65","Mujer","2","Carne, pollo,chancho, pescado","No","250","1","000","Ninguno ","Ninguno "
"2021/05/17 10:30:18 a. m. GMT-5","20","Hombre","6","Carne, pollo,chancho, pescado","No","400","1","","0","Piqueos varios"
"2021/05/17 10:46:38 a. m. GMT-5","77años","Mujer","4","Vegetales","No","300","1","Nada","Ninguno","Ninguno"
"2021/05/17 12:09:42 p. m. GMT-5","74","Mujer","3horas","Carne, pollo,chancho, pescado","Si","250","3","12 soles","Uno","Barras proteicas"
"2021/05/17 12:11:58 p. m. GMT-5","65","Mujer","2 horas ","Carne, pollo,chancho, pescado","Si","250","2","No sé ","Ninguno ","Piqueos varios"
"2021/05/17 12:19:29 p. m. GMT-5","65","Mujer","2","","No","300","1","2 soles","Ninguna","Harina de insecto"
"2021/05/17 12:27:07 p. m. GMT-5","57","Hombre","No","Carne, pollo,chancho, pescado","Si","250 soles ","6","10 soles ","Ninguna ","Piqueos varios"
"2021/05/17 1:10:24 p. m. GMT-5","81","","Carnes","","","120 soles","1","No lo se","","Harina de insecto"
"2021/05/17 1:23:27 p. m. GMT-5","78","Hombre","3 horas.0.3 min diarios","Carne, pollo,chancho, pescado","No","360","1","O.00","O.","Ninguno"
"2021/05/17 3:14:38 p. m. GMT-5","48","Hombre","4","Carne, pollo,chancho, pescado","No","500","1","No consumiría ","0","Ninguno"
"2021/05/17 4:33:07 p. m. GMT-5","20","Hombre","1","Carne, pollo,chancho, pescado","No","200","8","10","0","Barras proteicas"
"2021/05/17 8:15:54 p. m. GMT-5","74","Mujer","1","Carne, pollo,chancho, pescado","Si","500","1","7 soles","Ninguna ","Harina de insecto"
"2021/05/18 9:17:50 a. m. GMT-5","19","Mujer","3","Carne, pollo,chancho, pescado","No","600","5","10","0","Harina de insecto"
"2021/05/18 10:11:45 a. m. GMT-5","19","Mujer","25","Carne, pollo,chancho, pescado","No","300","3","5.00","1","Hamburguesas"
"2021/05/18 10:55:40 a. m. GMT-5","45","Mujer","4","Carne, pollo,chancho, pescado","No","250","1","0","0","Ninguno"
"2021/05/18 11:06:27 a. m. GMT-5","48","Hombre","4","Carne, pollo,chancho, pescado","No","500","1","No consumiría ","0","Ninguno"
"2021/05/18 4:55:07 p. m. GMT-5","48","Mujer","5","otros","No","200","5","7","0","Harina de insecto"
"2021/05/18 7:48:37 p. m. GMT-5","19","Mujer","3","Carne, pollo,chancho, pescado","No","600","5","10","0","Harina de insecto"
"2021/05/18 9:15:12 p. m. GMT-5","50","Mujer","3","Carne, pollo,chancho, pescado","Si","350","7","5","1","Barras proteicas"
"2021/05/19 12:01:06 p. m. GMT-5","73","Mujer"," No hago ejerciciom","Carne, pollo,chancho, pescado","No","250","1","","No he probado insectos","Piqueos varios"
"2021/05/19 8:22:27 p. m. GMT-5","20","Mujer","5","Carne, pollo,chancho, pescado","No","200","8","20","0","Piqueos varios"
"2021/05/19 8:29:00 p. m. GMT-5","20","Mujer","27","Carne, pollo,chancho, pescado","Si","no se","1","10","1","Barras proteicas"
"2021/05/19 8:42:39 p. m. GMT-5","49","Mujer","1","Carne, pollo,chancho, pescado","No","700","1","1","0","Ninguno"
"2021/05/20 11:42:18 a. m. GMT-5","17","Hombre","3","Carne, pollo,chancho, pescado","No","200","5","15.00","0","Barras proteicas"
"2021/05/20 4:41:29 p. m. GMT-5","17","Mujer","7","Carne, pollo,chancho, pescado","No","300","7","20","0","Hamburguesas"
"2021/05/20 4:47:37 p. m. GMT-5","19","Mujer","2","Carne, pollo,chancho, pescado","No","200","4","40","0","Harina de insecto"
