Periodo de ingreso ,Sexo ,Edad ,Carrera,Horas de sueño diarias ,Deporte,Videojuegos,Servicios de streaming,Actividades artísticas,¿Cuántos cursos llevas normalmente?,¿Beca o crédito educativo?,Horas de estudio fuera de la clase,Redes sociales ,Horas académicas semanales
2019.2,Masculino,19,Ing. Mecánica,6,3,5,2,7,7,Sin beca o crédito,5,10,28
2020.1,Masculino,18,Bioingenieria,7,5,2,10,2,7,Sin beca o crédito,4,5,30
2020.1,Femenino,17,Bioingenieria,8,2,0,1,0,5,Sin beca o crédito,4,4,24
2020.1,Masculino,20 años ,Bioingenieria,6,6,0,4,4,6,Beca,5,4,22
2020.1,Masculino,18,Ing. Mecatrónica,7,1,0,4,0,7,Sin beca o crédito,3,5,25
201920022,Femenino,19,Ciencia de la Computación,6,0,4,1,0,5,Beca,2,6,30
2019.2,Masculino,19,Ciencia de la Computación,6,1,3,0,2,6,Beca,12,2,20
2018.1,Masculino,19,Ciencia de la Computación,5,8,6,0,0,5,Sin beca o crédito,4,10,18
2020.2,Masculino,19,Bioingenieria,7 horas,2,2,1,1,7,Beca,7,1,15
2019.1,Masculino,23,Ciencia de la Computación,6,0,10,10,0,6,Sin beca o crédito,3,10,24
2020.2,Masculino,23,Ing. Civil,6,1,1,0,0,7,Beca,4,1,28
2019.2,Masculino,19,Ciencia de la Computación,8,0,7,0,0,6,Crédito educativo,5,4,27
2020.1,Femenino,18,Bioingenieria,6,2,0,3,1,6,Crédito educativo,4,2,23
2019.1,Masculino,18,Ciencia de la Computación,7 horas,0,3,2,1,8,Sin beca o crédito,4,6,35
2019.2,Masculino,18,Ing. Mecatrónica,7,0,0,0,4,8,Beca,12,8,32
2020.2,Masculino,18 años ,Ing. Mecatrónica,8h a 7h ,1,1,0,2,5,Beca,2,2,19 horas 
2020.1,Masculino,18,Bioingenieria,7,6,1,5,0,6,Sin beca o crédito,6,10,24
2020.1,Femenino,30,Ing. Electrónica,5 horas,2,0,1,0,5,Sin beca o crédito,5,4,27
2020.2,Masculino,17,Bioingenieria,6,3,3,4,7,6,Beca,6,3,27
2020.1,Femenino,18,Ing. Electrónica,5,0,2,6,1,7,Crédito educativo,7,8,29
2019-2,Masculino,19,Ciencia de la Computación,6,2,1,0,0,6,Sin beca o crédito,8,2,6
2020.1,Femenino,18,Bioingenieria,5,2,2,5,3,6,Sin beca o crédito,8,5,25
2019.2,Femenino,19,Bioingenieria,7,0,2,5,1,5,Sin beca o crédito,4,2,23
2020.2,Masculino,17,Ing. Mecatrónica,6,0,3,0,1,6,Beca,4,4,25
2021.1,Masculino,17 años,Bioingenieria,7,4,10,2,0,6,Sin beca o crédito,1,5,23-27
2019.2,Masculino,19,Ing. Civil,8,10,6,0,5,6,Sin beca o crédito,2,8,30
2020.1,Femenino,18 años,Ing. Industrial,6 horas,2,0,1,2,6,Sin beca o crédito,4,1,25
2020.1,Masculino,18,Ing. Mecatrónica,8,0,2,0,0,7,Sin beca o crédito,12,1,20
2020.1,Masculino,18,Ing. Mecatrónica,6,2,10,0,0,6,Crédito educativo,1,5,22
2020-2,Masculino,19,Ing. Civil,6,0,5,5,2,5,Beca,7,5,26
2020-1,Masculino,19,Ing. Química,6,2,2,2,1,7,Sin beca o crédito,4,2,20
2020-1,Femenino,18,Ing. Industrial,6,1,0,1,1,5,Beca,6,3,29
2021.1,Masculino,18,Ing. Mecatrónica,5 horas,0,5,2,2,6,Sin beca o crédito,2,8,27
2020.1,Masculino,18 años,Ing. Mecatrónica,8 horas,2,10,2,5,9,Beca,4,7,7
2018.2,Masculino,21,Ing. Química,6,0,0,3,1,5,Sin beca o crédito,3,10,25
2019.1,Femenino,20,Ing. Mecánica,8,0,7,4,4,4,Sin beca o crédito,2,7,16
2020.2,Femenino,18,Ing. Civil,4-6 horas,0,0,3,1,7,Beca,4,2,28
20211472,Masculino,29,Ing. Industrial,6,2,0,0,0,5,Sin beca o crédito,4,4,22
2019.2,Masculino,22,Ing. Civil,4,1,1,0,1,7,Beca,10,1,26
2019.1,Femenino,19,Ciencia de la Computación,6,3,0,10,4,6,Sin beca o crédito,2,10,21
2020.1,Femenino,18,Ing. Electrónica,7,1,0,2,0,5,Sin beca o crédito,3,1,25
2019.2,Masculino,20,Ing. Civil,6,3,1,1,2,7,Beca,4,10,30
2020.1,Femenino,18,Ing. Civil,6,1,1,2,0,6,Sin beca o crédito,4,4,24
2017.1,Masculino,21,Ing. Industrial,8,1,1,3,1,7,Sin beca o crédito,3,5,22
2018.1,Masculino,20 años,Ing. Mecatrónica,7 horaa,3,2,3,2,5,Crédito educativo,4,5,22 horas y media
2018.1,Masculino,23,Ciencia de la Computación,6,8,0,4,1,4,Sin beca o crédito,5,8,23
2017.2,Femenino,20,Ing. Ambiental,6,2,0,1,0,5,Beca,6,3,20
2020.1,Masculino,17,Ing. Electrónica,6-7,2,8,3,1,5,Sin beca o crédito,5,5,24
2020.1,Femenino,18,Ing. Industrial,5 horas,0,1,1,0,6,Sin beca o crédito,3,2,27
2020.1,Masculino,18,Ing. Mecatrónica,7,0,0,0,0,6,Crédito educativo,12,10,15
2020-1,Masculino,18,Ing. De la Energía,5,3,0,0,2,8,Sin beca o crédito,4,2,32
2020.1,Masculino,18,Ing. Mecatrónica,7,0,0,4,0,6,Beca,5,4,25
2020.1,Masculino,17,Ing. Industrial,7,1,6,5,5,7,Sin beca o crédito,4,3,24
202010613,Femenino,21,Bioingenieria,6,2,1,1,0,6,Sin beca o crédito,4,2,18
2020.1,Masculino,20,Ciencia de la Computación,6,10,2,2,0,6,Crédito educativo,3,2,24
2019.2,Masculino,22,Ing. Mecánica,4 horas,2,2,1,1,5,Sin beca o crédito,8,1,23
2020.1,Femenino,20,Ing. Mecánica,8,2,0,9,3,5,Crédito educativo,6,6,18
2019.1,Femenino,20,Ciencia de la Computación,7,4,0,3,1,5,Sin beca o crédito,1,7,22
2020.1,Masculino,19,Ing. Ambiental,4,1,0,2,2,7,Beca,1,10,22
2019.2,Masculino,20,Ing. Civil,7,2,6,0,1,7,Beca,5,2,26
2020.1,Masculino,20,Ing. Mecatrónica,8,5,6,4,0,6,Beca,2,3,22
2020.1,Masculino,18,Ing. Electrónica,7,0,0,5,0,7,Sin beca o crédito,4,4,7
2020-1,Masculino,19,Ing. Industrial,6,0,1,2,1,6,Sin beca o crédito,4,3,26
2020-1,Masculino,18,Ciencia de la Computación,7,6,8,10,0,5,Sin beca o crédito,3,10,21
2020.1,Masculino,18,Ing. Mecatrónica,4,0,3,4,1,7,Crédito educativo,1,10,19
2020.1,Masculino,17,Ing. Mecatrónica,8,0,10,0,0,7,Sin beca o crédito,4,7,23
2019.1,Masculino,19,Ciencia de la Computación,6,2,4,1,1,6,Sin beca o crédito,6,10,16
2020.1,Masculino,18,Ciencia de la Computación,8,2,8,1,8,6,Beca,3,6,23
2020.2,Masculino,18,Ciencia de la Computación,5,0,2,1,1,6,Sin beca o crédito,7,1,27
2020.2,Masculino,18,Ciencia de la Computación,6,0,2,1,4,6,Sin beca o crédito,4,4,23
2019.1,Masculino,21,Ciencia de la Computación,8,0,5,0,5,4,Sin beca o crédito,1,1,10
2018.1,Masculino,19,Ing. Mecatrónica,6,0,0,0,0,7,Sin beca o crédito,5,2,28
2019.1,Masculino,19,Ing. Mecatrónica,6,2,6,3,1,7,Sin beca o crédito,2,2,28
2019.1,Masculino,19,Ing. Mecatrónica,7,0,1,2,0,7,Sin beca o crédito,8,1,22
2020.1,Masculino,18,Ing. Industrial,8,0,10,1,3,6,Sin beca o crédito,3,4,20
2020.1,Masculino,19,Ciencia de la Computación,7,0,4,2,2,6,Crédito educativo,4,10,23
2020.1,Femenino,18,Ing. Industrial,7,0,0,7,7,7,Beca,4,7,29
2020.1,Masculino,18,Ing. Industrial,8,3,4,3,0,6,Beca,4,4,25
2020.1,Masculino,18,Ing. Electrónica,5,0,10,9,5,5,Crédito educativo,3,10,10
2019.1,Femenino,18,Ing. Ambiental,8,0,0,2,0,5,Sin beca o crédito,5,3,12
2020.1,Masculino,17,Ing. Ambiental,7,3,1,10,1,7,Sin beca o crédito,10,10,25
2020.1,Masculino,20,Ing. Química,6,0,10,3,2,7,Beca,1,7,21
2019.1,Femenino,19,Ing. Industrial,6,10,0,5,1,4,Sin beca o crédito,3,8,36
2018.1,Femenino,19,Ing. Industrial,6,4,0,1,4,4,Sin beca o crédito,5,4,18
2020.1,Femenino,17,Ing. Civil,6,0,0,3,1,6,Beca,6,2,26
2020.2,Femenino,19,Bioingenieria,6,0,0,1,1,6,Crédito educativo,6,1,22
2020.2,Femenino,18,Ing. Química,7,0,3,0,1,7,Beca,2,6,28
2020.2,Masculino,18,Ing. Mecatrónica,6,7,7,4,3,7,Beca,2,6,21
2019.1,Masculino,19,Ing. Industrial,7,0,3,9,5,5,Sin beca o crédito,2,9,17
2020.2,Masculino,19,Ing. Civil,7,1,7,1,1,8,Beca,3,6,34
2020.2,Femenino,19,Ing. Civil,6,1,0,2,2,7,Beca,5,2,25
2020.2,Masculino,18,Ing. Mecatrónica,6,0,5,1,0,9,Beca,2,9,34
2020.2,Femenino,18,Ing. Civil,5,0,0,3,1,6,Beca,6,1,27
2020.1,Masculino,18,Ing. Mecatrónica,7,8,1,2,0,7,Sin beca o crédito,4,8,22
2020.2,Femenino,18,Ing. Ambiental,5,0,0,0,5,7,Beca,3,5,20
2020.2,Masculino,18,Ing. Mecatrónica,7,0,1,0,1,8,Sin beca o crédito,2,4,31
2020.2,Masculino,18,Ing. Mecatrónica,7,0,2,2,0,7,Crédito educativo,7,2,31
2019.2,Masculino,18,Ing. Química,6,0,4,1,1,8,Beca,3,3,21
2020.1,Femenino,18,Bioingenieria,4,0,0,3,6,6,Sin beca o crédito,5,6,25
2016.1,Masculino,22,Ing. Industrial,8,8,7,8,0,6,Sin beca o crédito,3,10,19
2016.1,Femenino,22,Ing. Industrial,7,1,2,1,3,5,Sin beca o crédito,10,10,24
2020.2,Masculino,20,Bioingenieria,7,0,6,1,1,7,Beca,2,2,31
2020.1,Masculino,17,Ciencia de la Computación,8,1,5,3,5,5,Sin beca o crédito,7,8,19
2020.1,Masculino,19,Bioingenieria,3,2,2,1,2,7,Sin beca o crédito,4,3,13
2020.1,Femenino,19,Bioingenieria,6,4,0,5,4,6,Sin beca o crédito,9,9,23
2018.2,Masculino,20,Ing. Mecánica,7,1,1,3,0,5,Sin beca o crédito,3,3,18
2020.1,Masculino,18,Ing. Mecatrónica,8,0,3,2,0,6,Sin beca o crédito,3,2,20
2018.1,Masculino,19,Ing. Mecatrónica,7,0,10,5,1,8,Beca,8,10,25
2020.1,Masculino,18,Ing. Mecatrónica,6,1,0,2,1,7,Sin beca o crédito,6,2,22
2019.1,Femenino,19,Ing. Mecatrónica,7,3,2,5,6,7,Crédito educativo,6,7,22
2020.1,Masculino,20,Ing. Civil,5,1,3,3,2,6,Sin beca o crédito,8,3,14
2020.1,Masculino,18,Ciencia de la Computación,6,1,1,2,2,5,Sin beca o crédito,10,4,23
2020.1,Masculino,18,Ing. Mecatrónica,6,2,4,3,1,6,Sin beca o crédito,1,4,20
2018.1,Masculino,20,Administración y negocios digitales,7,0,10,1,1,6,Crédito educativo,2,9,21
2017.1,Masculino,23,Ing. Mecatrónica,7,0,10,0,0,5,Crédito educativo,12,3,22
