Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Lucuma Beltran,5,6,,4,Kilogramo,1,3.47,3.45,3.45,Marzo,MMF2,
Lucuma De Seda,3,5,,4,Kilogramo,1,3.4,3.38,3.37,Marzo,MMF2,
Lulo,4,3,,3,Cajon,10,30,29.25,30.88,Marzo,MMF2,
Mamey,4,6,,5,Kilogramo,1,3.17,3.13,3.05,Marzo,MMF2,
Mandarina Satsuma,106,111,76,64,Kilogramo,1,1.83,1.73,1.85,Marzo,MMF2,
Mandarina Tangerina,14,17,,19,Jaba,16,21.25,20.25,20.47,Marzo,MMF2,
Mango Chato,7,9,,13,Kilogramo,1,2.2,2.13,2.08,Marzo,MMF2,
Mango Criollo,12,14,,23,Kilogramo,1,2.47,2.45,2.39,Marzo,MMF2,
Mango Edward,7,7,,15,Kilogramo,1,3.7,3.88,3.59,Marzo,MMF2,
Mango Haden /Hayde,11,12,8,12,Kilogramo,1,2.6,2.75,2.52,Marzo,MMF2,
Mango Kafro,9,11,10,16,Kilogramo,1,1.8,1.75,1.79,Marzo,MMF2,
Mango Kent,36,23,30,43,Kilogramo,1,2.25,2.25,2.06,Marzo,MMF2,
Mango Rosado,10,20,,18,Kilogramo,1,1.9,1.85,1.9,Marzo,MMF2,
Manzana Cte/Para Agua,15,37,22,26,Cajon,24,23.25,22.5,23.43,Marzo,MMF2,
Manzana Delicia,83,94,56,65,Cajon,24,53.75,52.25,53.29,Marzo,MMF2,
Manzana Golden,17,9,,8,Kilogramo,1,1.85,1.85,1.77,Marzo,MMF2,
Manzana Importada,16,16,,12,Caja,20,96,96.25,97,Marzo,MMF2,
Manzana Israel,49,32,26,29,Kilogramo,1,1.53,1.45,1.51,Marzo,MMF2,
Manzana Winter,9,10,,9,Cajon,24,46.67,46.75,45.77,Marzo,MMF2,
Maracuya,8,14,9,12,Kilogramo,1,1.6,1.58,1.55,Marzo,MMF2,
Melocoton Blanquillo,30,13,19,19,Cajon,12,32.75,32.5,32.96,Marzo,MMF2,
Melocoton Durazno Huayco,36,17,28,40,Cajon,12,32.25,31.5,33.18,Marzo,MMF2,
Melon Coquito,35,27,28,45,Bandeja,12,15.75,15.75,14.07,Marzo,MMF2,
Membrillo Criollo,9,11,,9,Kilogramo,1,2.5,2.48,2.5,Marzo,MMF2,
Membrillo Serrano,13,20,,16,Cajon,24,61,60.75,60.82,Marzo,MMF2,
Naranja Primavera,17,14,15,20,Kilogramo,1,1.65,1.65,1.63,Marzo,MMF2,
Naranja Tangelo Selva,34,39,,47,Jaba,22,51.75,50.25,51.14,Marzo,MMF2,
Naranja Valencia,139,137,,122,Jaba,24,31.25,28.75,29.39,Marzo,MMF2,
Naranja Washington Naval,13,16,13,17,Kilogramo,1,3.48,3.45,3.44,Marzo,MMF2,
Noni,7,7,,5,Kilogramo,1,1.97,1.93,1.94,Marzo,MMF2,
Pacae Criollo,5,3,,4,Kilogramo,1,4.4,4.38,4.46,Marzo,MMF2,
Pacae De Seda,5,3,,3,Kilogramo,1,4.35,4.33,4.31,Marzo,MMF2,
Palta Antillana,4,7,,6,Cajon,12,25.33,25.25,24.62,Marzo,MMF2,
Palta Choquete,6,8,,5,Cajon,12,25.33,25.25,25.22,Marzo,MMF2,
Palta Collin Red,6,6,,6,Cajon,12,25,24.5,25.65,Marzo,MMF2,
Palta Criolla,8,12,,11,Cajon,12,23.75,23.75,23.35,Marzo,MMF2,
Palta Dedo,1,3,,2,Kilogramo,1,4.7,4.65,4.51,Marzo,MMF2,
Palta Fuerte,31,32,29,37,Kilogramo,1,5.83,5.83,5.16,Marzo,MMF2,
Palta Hall,7,11,,11,Cajon,12,24,23.75,23.9,Marzo,MMF2,
Palta Hass,7,4,,5,Kilogramo,1,4.3,4.25,4.26,Marzo,MMF2,
Palta Linda,6,5,,9,Cajon,12,34,33.75,33.74,Marzo,MMF2,
Papaya (Costa),11,13,,11,Cajon,12,23,23.25,20.75,Marzo,MMF2,
Papaya (Selva),162,143,107,161,Cajon,12,24.75,24.75,22.71,Marzo,MMF2,
Pepino Rayado O Melon,9,11,8,19,Kilogramo,1,3.23,3.25,3.11,Marzo,MMF2,
Pera Agua Criolla,4,3,,10,Jaba,16,41.33,41.75,40.42,Marzo,MMF2,
Pera Agua Italiana,5,5,,11,Jaba,16,46.5,46.75,45.46,Marzo,MMF2,
Pera Agua Packam Importado,15,16,,13,Caja,20,96.5,96.5,97.36,Marzo,MMF2,
Pina Criolla (Selva),31,40,,39,Cajon,12,23,20.75,20.85,Marzo,MMF2,
Pina Golden,52,50,,60,Bandeja,12,42,40.75,38.67,Marzo,MMF2,
Pina Hawaiana,37,40,,40,Kilogramo,1,1.93,1.53,1.89,Marzo,MMF2,
Pitahaya,5,5,,5,Kilogramo,1,7.67,7.25,8.47,Marzo,MMF2,
Platano Bellaco,67,50,,73,Ciento,35,67,67,64.57,Marzo,MMF2,
Platano Bizcocho,69,58,,68,Bandeja,14,16.5,16.5,16.43,Marzo,MMF2,
Platano Isla,76,85,,77,Ciento,25,62,62,59.32,Marzo,MMF2,
Platano Manzano,16,17,,17,Jaba,16,18,17.75,18.86,Marzo,MMF2,
Platano Morado,10,11,,10,Cajon,12,36,35.75,34.89,Marzo,MMF2,
Platano Palillo,40,49,,55,Ciento,35,66,65.5,63.43,Marzo,MMF2,
Platano Seda Congo,63,67,,82,Ciento,20,42.75,40.75,40.96,Marzo,MMF2,
Platano Seda (Selva),23,16,,20,Ciento,25,41,40,39.18,Marzo,MMF2,
Sandia,70,95,,79,Kilogramo,1,0.88,0.88,0.91,Marzo,MMF2,
Sanki,4,7,,6,Kilogramo,1,5.4,5.38,5.4,Marzo,MMF2,
Tamarindo (Con Cascara),,1,,,Kilogramo,1,4.75,4.75,4.81,Marzo,MMF2,
Tamarindo (Sin Cascara),,,,,Kilogramo,1,6.1,6.25,5.99,Marzo,MMF2,
Toronja Costa,11,16,,13,Kilogramo,1,2.53,2.55,2.55,Marzo,MMF2,
Toronja Selva,16,11,,9,Cajon,12,23.33,23.5,23.39,Marzo,MMF2,
Tumbo,3,2,,3,Kilogramo,1,2.5,2.53,2.5,Marzo,MMF2,
Tuna Amarilla,10,13,10,9,Kilogramo,1,1.9,1.85,1.89,Marzo,MMF2,
Tuna Blanca,15,5,8,12,Kilogramo,1,1.95,1.98,1.99,Marzo,MMF2,
Tuna Morada/Rosada,10,13,8,10,Kilogramo,1,1.83,1.88,1.89,Marzo,MMF2,
Uva Alfonso Lavalett,10,13,,12,Jaba,12,28.5,28.75,29.75,Marzo,MMF2,
Uva Arra,6,,,10,Jaba,12,32.33,,32.55,Marzo,MMF2,
Uva Borgoña,4,3,,5,Jaba,12,26.33,25.75,26.05,Marzo,MMF2,
Uva Italia,10,11,9,10,Jaba,12,22,21.5,22.39,Marzo,MMF2,
Uva Magenta,7,6,,9,Jaba,12,27,26.75,27.32,Marzo,MMF2,
Uva Palestina,6,16,,8,Jaba,12,33,32.75,33.29,Marzo,MMF2,
Uva Pirovano,8,14,,8,Jaba,12,33,32.5,32.46,Marzo,MMF2,
Uva Quebranta/Moscatel,4,4,,3,Jaba,12,26.33,25.5,26.37,Marzo,MMF2,
Uva Red Globe,32,34,31,36,Jaba,12,23.75,23.75,23.32,Marzo,MMF2,
Uva Rosada,8,6,,6,Jaba,12,33,33.25,33.07,Marzo,MMF2,
Uva Sultanina,6,5,,6,Cajon,12,33,32.5,32.82,Marzo,MMF2,
Uva Superior,13,12,,9,Jaba,12,43,43.75,44.25,Marzo,MMF2,
Uva Zafiro,11,,,8,Jaba,12,28,,27.9,Marzo,MMF2,
Yacon (Llacon),3,4,,3,Kilogramo,1,4,3.98,3.97,Marzo,MMF2,
Zapote,7,5,,5,Cajon,10,24,23.5,22.63,Marzo,MMF2,
