Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,5,3,5,4,Bandeja,10,35.75,37.5,35.32,Abril,MMF2,23
Platano Seda Congo,93,73,79,93,Ciento,20,34.75,34.75,35.32,Abril,MMF2
Platano Seda (Selva),26,17,19,18,Ciento,25,33.75,33.75,34.5,Abril,MMF2
Rambután,4,3,4,,Kilogramo,1,12.75,13.25,12.89,Abril,MMF2
Sandia,96,129,86,87,Kilogramo,1,0.85,0.85,0.85,Abril,MMF2
Sanki,4,5,,,Kilogramo,1,5.08,5,5.28,Abril,MMF2
Tamarindo (Con Cascara),1,1,,,Kilogramo,1,4.75,4.65,4.65,Abril,MMF2
Tamarindo (Sin Cascara),,,,,Kilogramo,1,6.25,6.15,6.17,Abril,MMF2
Toronja Costa,28,32,,17,Kilogramo,1,2.53,2.58,2.56,Abril,MMF2
Toronja Selva,21,16,15,13,Cajon,12,22.75,23.25,23.25,Abril,MMF2
Tumbo,3,9,4,3,Kilogramo,1,2.45,2.38,2.47,Abril,MMF2
Tuna Amarilla,16,7,13,11,Kilogramo,1,2.23,2.08,2.23,Abril,MMF2
Tuna Blanca,4,6,9,9,Kilogramo,1,2.38,2.38,2.38,Abril,MMF2
Tuna Morada/Rosada,8,9,11,10,Kilogramo,1,2.23,2.28,2.24,Abril,MMF2
Uva Alfonso Lavalett,13,16,10,12,Jaba,12,22.75,21.75,25.57,Abril,MMF2
Uva Italia,33,34,21,22,Jaba,12,23.25,21.75,23.86,Abril,MMF2
Uva Palestina,6,16,11,8,Jaba,12,32.75,32.75,32.96,Abril,MMF2
Uva Red Globe,25,24,37,47,Jaba,12,23.75,23.5,23.11,Abril,MMF2
Uva Rosada,14,13,8,7,Jaba,12,28.75,28.75,28.54,Abril,MMF2
Uva Superior,12,17,,8,Jaba,12,41.75,42.25,43.89,Abril,MMF2
Yacon (Llacon),3,4,2,3,Kilogramo,1,3.33,3.18,3.23,Abril,MMF2
Zapote,5,4,5,6,Cajon,10,25.75,27.25,25.46,Abril,MMF2
