Marca temporal,Edad. Ingresar el valor en años cumplidos. Ejemplo: 19,Carrera,Ciclo,Respecto al último ciclo académico ¿Cuál fue tu promedio ponderado? Usar como separador decimal el punto ( . ). Redondear su respuesta a un decimal. Ejemplo: 15.5,Respecto al último ciclo académico (2022-1)  ¿Cuantos cursos llevaste?,Respecto al último ciclo académico ¿Reprobaste algún curso?,Laptop,Celular,Tablet,Tableta grafica,PC,De la siguiente lista de dispositivos electrónicos ¿Cuál utiliza con fines académicos?,Apple,Huawei,HP,Acer,ZTE,Xiaomi,Asus,Lenovo,MSI,Motorola,Omen,Wacom,Dell,LG,XP-Pen,Razer-Blade,HTC,Samsung,Marcas que dispone,Memoria RAM,Aspecto,Tarjeta de video,Otro,Camara,Duracion de bateria,Marca,Tarjeta grafica,Procesador,Precio,¿Cuál fue el principal factor que considero al momento de adquirir este dispositivo?,"¿Cuántas horas usas por lo menos 1 dispositivo con fines académicos? (Al día, poner solo números enteros. Ejemplo: 5)","¿Cuánto invirtió, en soles, para adquirir sus dispositivos? Usar números enteros (Ejemplo: 3000)",Notion,Otros,No utilizo ninguna,Evernote,Good Notes,OneNote,Anki,Google Calendar,¿Cuál/cuales de las siguientes herramientas/aplicaciones utilizas?,¿Qué tan satisfecho te encuentras con tus dispositivos electrónicos?,¿Consideras que tus dispositivos electrónicos influyen en tu desempeño académico? ,¿Qué tan satisfecho estás con el internet de la universidad?
9/22/2022 18:28:24,20,Ingeniería Mecatrónica,4,"13,00",4,Sí,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Apple,No,No,No,No,No,No,Sí,No,No,No,Marca,3,12000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",5,5,5
9/22/2022 18:33:20,19,Bioingeniería,3,"15,00",6,Sí,Sí,Sí,Sí,Sí,No,"Laptop, Celular, Tableta gráfica",No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,Sí,No,No,No,"Xiaomi, Acer, XP-Pen",Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,"Precio, Memoria RAM, Tarjeta gráfica, Duración de la batería, Cámara",6,4000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",5,4,3
9/22/2022 18:40:33,17,Ciencia de datos,2,"16,70",6,No,Sí,Sí,No,No,No,"Laptop, Celular",Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Apple, Acer",Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Tarjeta de video, Procesador, Tarjeta gráfica, Cámara",6,6000,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",5,5,3
9/22/2022 18:41:17,19,Bioingeniería,6,"14,30",6,Sí,Sí,No,Sí,No,No,"Laptop, Tablet",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Apple,No,No,No,No,No,Sí,No,No,Sí,No,"Procesador, Duración de la batería",2,4000,Sí,No,No,Sí,Sí,No,No,Sí,"Notion, Google Calendar, Good Notes, Evernote",5,5,4
9/22/2022 18:53:44,19,Ingeniería Mecatrónica,6,"14,53",5,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,Sí,"Samsung, Xiaomi, LG",Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,"Precio, Memoria RAM, Tarjeta de video, Procesador, Tarjeta gráfica",5,5000,No,No,Sí,No,No,No,No,No,No utilizo ninguna,5,5,4
9/22/2022 19:10:45,20,Ingeniería Mecatrónica,8,"15,00",5,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Asus",No,No,No,No,Sí,No,Sí,No,Sí,Sí,"Precio, Procesador, Marca, Cámara",8,6000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",5,5,4
9/22/2022 19:10:51,18,Bioingeniería,3,"13,30",7,Sí,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Asus",Sí,Sí,No,No,No,Sí,No,No,Sí,No,"Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Procesador, Duración de la batería",4,6000,No,No,No,No,No,No,No,Sí,Google Calendar,4,5,4
9/22/2022 19:16:08,18,Ingeniería Electrónica,4,"11,30",5,Sí,Sí,Sí,No,No,No,"Laptop, Celular",No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, HP",No,No,No,No,No,No,No,No,Sí,No,Procesador,6,5900,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",5,5,3
9/22/2022 19:33:29,20,Ingeniería Mecatrónica,5,"14,70",7,No,Sí,No,Sí,No,No,"Laptop, Tablet",Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Apple, Huawei",Sí,No,Sí,No,No,Sí,No,Sí,Sí,Sí,"Precio, Memoria RAM, Tarjeta de video, Procesador, Tarjeta gráfica, Duración de la batería",4,7000,Sí,No,No,No,Sí,No,No,Sí,"Notion, Google Calendar, Good Notes",4,2,3
9/22/2022 19:38:28,20,Ingeniería Ambiental,6,"18,12",5,No,Sí,Sí,Sí,Sí,No,"Laptop, Tablet, Celular, Tableta gráfica",Sí,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,"Apple, Lenovo, Wacom",Sí,No,No,No,No,No,No,Sí,Sí,Sí,"Precio, Memoria RAM, Procesador, Tarjeta gráfica",10,12000,No,No,No,No,No,No,No,Sí,Google Calendar,4,4,1
9/22/2022 19:40:39,19,Ingeniería Industrial,6,"16,30",7,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Lenovo",Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Tarjeta de video, Procesador, Tarjeta gráfica, Duración de la batería",4,11000,No,Sí,No,No,No,Sí,No,No,"OneNote, Samsung notes",5,5,3
9/22/2022 19:48:13,19,Ingeniería Industrial,6,"14,70",6,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,"Samsung, MSI",No,No,Sí,No,No,No,No,No,Sí,Sí,"Precio, Tarjeta de video, Procesador",4,5000,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",5,5,5
9/23/2022 8:09:33,18,Ciencias de la computación,3,"12,30",6,No,No,Sí,No,No,Sí,"Celular, Computadora de escritorio",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Apple,No,No,No,Sí,No,No,No,No,No,No,"No me gustan los modelos pasados el 8, muy grande",2,2700,No,No,No,No,No,No,Sí,No,Anki,5,1,3
9/23/2022 8:22:15,18,Ingeniería Mecánica,4,"11,30",6,Sí,Sí,Sí,No,No,No,"Laptop, Celular",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Apple,No,No,No,No,No,Sí,No,No,No,Sí,"Precio, Duración de la batería",5,4000,No,No,No,No,No,No,No,Sí,Google Calendar,3,3,2
9/23/2022 8:26:16,20,Ciencia de datos,3,"14,50",6,No,Sí,Sí,No,No,No,"Laptop, Celular",Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"HP, Apple",No,Sí,No,No,Sí,No,No,Sí,No,No,"Aspecto (Tamaño, peso, color, luces RBG), Tarjeta gráfica, Cámara",7,12800,No,Sí,No,No,No,No,No,Sí,"Google Calendar, Drive",5,5,2
9/23/2022 8:36:49,17,Bioingeniería,2,"16,00",7,No,No,Sí,Sí,No,No,"Tablet, Celular",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Samsung,Sí,Sí,No,No,Sí,No,No,No,No,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Cámara",8,5000,No,No,No,No,No,No,No,Sí,Google Calendar,4,5,5
9/23/2022 8:48:21,19,Ingeniería Química,3,"14,00",6,Sí,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,"Apple, Motorola",Sí,No,Sí,No,Sí,Sí,No,No,No,Sí,"Precio, Memoria RAM, Tarjeta de video, Duración de la batería, Cámara",7,1000,Sí,No,No,No,No,Sí,No,Sí,"Notion, Google Calendar, OneNote",4,5,3
9/23/2022 8:51:46,17,Ingeniería Industrial,2,"14,00",7,Sí,Sí,Sí,No,No,No,"Laptop, Celular",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Apple,No,Sí,No,No,No,No,No,No,No,No,"Aspecto (Tamaño, peso, color, luces RBG)",5,6500,No,No,No,No,Sí,No,No,Sí,"Google Calendar, Good Notes",4,2,1
9/23/2022 9:54:42,18,Bioingeniería,4,"14,94",7,Sí,Sí,Sí,No,No,No,"Laptop, Celular",Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,"Apple, LG",Sí,No,No,No,No,Sí,No,No,No,Sí,"Precio, Memoria RAM, Duración de la batería",10,2800,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",4,4,3
9/23/2022 10:00:20,18,Ingeniería Mecatrónica,2,"14,20",7,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,"HP, Motorola",Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,"Precio, Memoria RAM, Procesador, Duración de la batería, Cámara",8,3000,No,No,No,No,No,No,No,Sí,Google Calendar,4,4,4
9/23/2022 10:19:19,19,Bioingeniería,4,"11,00",4,Sí,Sí,Sí,No,No,No,"Laptop, Celular",No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"HP, Xiaomi",Sí,No,No,No,No,Sí,No,No,Sí,Sí,"Precio, Memoria RAM, Procesador, Duración de la batería",20,7000,No,No,No,No,No,No,No,Sí,Google Calendar,5,4,2
9/23/2022 10:33:21,19,Ingeniería de la Energía,6,"14,70",7,No,Sí,No,No,No,No,Laptop,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Acer,Sí,No,No,No,No,No,No,No,Sí,No,"Memoria RAM, Procesador",7,3000,Sí,No,No,No,No,Sí,No,Sí,"Notion, Google Calendar, OneNote",5,4,4
9/23/2022 10:41:11,17,Ingeniería Industrial,2,"16,50",6,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,"Motorola, Omen",Sí,No,No,No,No,No,No,No,Sí,No,"Memoria RAM, Procesador",7,3500,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",5,2,4
9/23/2022 10:41:22,19,Bioingeniería,4,"15,83",5,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,"Xiaomi, Acer, Wacom",Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,"Precio, Memoria RAM, Procesador, Tarjeta gráfica, Duración de la batería, Cámara",15,5000,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",5,5,4
9/23/2022 10:41:47,18,Bioingeniería,4,"13,50",4,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,"Apple, Lenovo, Huawei",No,No,No,No,No,No,No,No,No,Sí,Precio,15,5000,Sí,Sí,No,No,No,No,No,Sí,"Notion, Google Calendar, Pdf expert",5,5,2
9/23/2022 11:41:29,18,Ingeniería Mecatrónica,3,"14,80",7,Sí,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Lenovo, Huawei",No,Sí,No,No,Sí,Sí,No,No,No,Sí,"Precio, Aspecto (Tamaño, peso, color, luces RBG), Duración de la batería, Cámara",8,6000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",5,4,4
9/23/2022 13:58:50,20,Ingeniería Industrial,3,"14,70",6,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Lenovo",No,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,"Precio, Tarjeta de video, Procesador, Marca, Tarjeta gráfica, Duración de la batería",10,4000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",4,5,5
9/23/2022 14:37:56,19,Ciencias de la computación,2,"17,90",6,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,"Apple, Xiaomi, Asus",Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Tarjeta de video, Procesador, Marca, Tarjeta gráfica, Duración de la batería",12,4000,No,No,No,No,No,No,No,Sí,Google Calendar,5,5,1
9/23/2022 15:22:39,17,Ingeniería Ambiental,2,"17,00",7,No,Sí,No,No,No,No,Laptop,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HP,Sí,No,No,No,No,No,Sí,No,No,Sí,"Precio, Memoria RAM, Marca",7,2500,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",4,5,4
9/23/2022 15:41:37,26,Ingeniería Mecánica,2,"15,00",7,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"HP, Xiaomi",Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,"Precio, Memoria RAM, Tarjeta de video, Procesador, Tarjeta gráfica, Duración de la batería, Cámara",8,5000,No,No,No,No,No,No,No,Sí,Google Calendar,5,5,5
9/23/2022 15:47:31,16,Ingeniería Mecatrónica,2,"17,00",7,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,"Lenovo, Xiaomi",Sí,No,Sí,No,No,No,No,No,Sí,Sí,"Precio, Memoria RAM, Tarjeta de video, Procesador",10,3800,No,No,No,No,No,No,No,Sí,Google Calendar,3,5,3
9/23/2022 15:51:15,18,Ingeniería Mecatrónica,2,"15,00",7,No,Sí,No,No,No,No,Laptop,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HP,Sí,No,Sí,No,No,No,No,No,Sí,No,"Memoria RAM, Tarjeta de video, Procesador",4,6000,Sí,Sí,No,No,No,Sí,Sí,No,"Notion, Anki, OneNote, Focus to do",5,5,5
9/23/2022 15:59:49,24,Ciencias de la computación,8,"14,40",4,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"HP, Apple",Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,"Precio, Memoria RAM, Tarjeta de video, Procesador, Tarjeta gráfica",14,5700,Sí,No,No,No,No,No,No,No,Notion,5,5,4
9/23/2022 16:01:33,17,Ingeniería Química,2,"15,20",7,No,Sí,Sí,No,No,No,"Laptop, Celular",No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Huawei,Sí,No,No,No,No,No,No,No,No,No,Memoria RAM,8,3500,No,No,No,No,No,No,No,Sí,Google Calendar,5,5,5
9/23/2022 16:19:38,22,Ingeniería Química,8,"15,30",6,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,"Apple, Huawei, Dell",Sí,Sí,No,No,No,Sí,No,No,No,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Duración de la batería",10,7000,Sí,Sí,No,No,Sí,Sí,No,Sí,"Notion, Google Calendar, OneNote, Good Notes, Drive, trello",4,5,4
9/23/2022 16:23:36,17,Ingeniería Química,2,"16,00",7,Sí,Sí,No,Sí,No,No,"Laptop, Tablet",Sí,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Apple, Lenovo",Sí,No,No,No,No,No,Sí,No,Sí,Sí,"Precio, Memoria RAM, Procesador, Marca",6,5000,No,No,No,No,No,No,No,Sí,Google Calendar,4,3,4
9/23/2022 16:33:33,20,Ingeniería Química,2,"15,00",7,No,Sí,No,No,No,No,Laptop,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Apple",No,No,No,No,No,No,No,No,No,Sí,Precio,7,2000,No,No,No,No,No,No,No,Sí,Google Calendar,5,5,5
9/23/2022 16:40:33,22,Ingeniería Industrial,10,"17,00",3,Sí,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Xiaomi, Asus",Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,No,"Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Procesador, Tarjeta gráfica, Duración de la batería, Cámara",10,4000,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",4,5,5
9/23/2022 17:21:56,21,Ingeniería Química,8,"16,00",7,No,Sí,Sí,No,No,No,"Laptop, Celular",No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"HP, Huawei",Sí,No,No,No,No,No,No,No,Sí,No,"Memoria RAM, Procesador",5,3000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",4,3,4
9/23/2022 18:18:10,22,Ingeniería Electrónica,5,"12,50",7,Sí,Sí,Sí,No,No,No,"Laptop, Celular",No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, HP",Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Procesador, Marca, Duración de la batería, Cámara",4,2500,No,No,No,No,No,No,No,Sí,Google Calendar,4,4,4
9/23/2022 18:51:49,19,Ingeniería Electrónica,2,"14,80",6,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,No,"Lenovo, LG",No,No,No,Sí,No,No,No,No,No,No,"No lo adquiri yo, me lo compraron",4,5500,No,No,Sí,No,No,No,No,No,No utilizo ninguna,5,3,4
9/23/2022 19:25:34,20,Ingeniería Civil,2,"15,70",7,Sí,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,"Xiaomi, Asus",Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,"Precio, Memoria RAM, Procesador, Tarjeta gráfica, Cámara",4,3500,No,Sí,No,No,No,No,No,Sí,"Google Calendar, Zoom- Word - Chrome ",4,4,4
9/23/2022 19:46:58,21,Ingeniería Ambiental,5,"11,00",4,No,Sí,No,No,No,No,Laptop,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Asus",Sí,No,No,No,No,Sí,No,Sí,Sí,No,"Memoria RAM, Procesador, Tarjeta gráfica, Duración de la batería",5,2000,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",4,4,3
9/23/2022 19:48:26,16,Ingeniería Industrial,2,"17,70",7,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,No,Sí,"Samsung, Xiaomi, Dell",Sí,No,No,No,No,No,No,No,No,Sí,"Precio, Memoria RAM",7,5000,No,No,No,No,No,No,No,Sí,Google Calendar,4,5,3
9/23/2022 19:48:32,21,Ciencias de la computación,3,"17,40",6,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Acer,No,No,Sí,No,No,No,No,No,No,Sí,"Precio, Tarjeta de video",10,4000,No,No,No,No,No,No,No,Sí,Google Calendar,5,5,4
9/23/2022 19:50:20,17,Administración y negocios digitales,2,"13,80",7,No,No,Sí,No,No,No,Celular,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Xiaomi,Sí,No,No,No,No,Sí,No,No,No,Sí,"Precio, Memoria RAM, Duración de la batería",7,2000,No,No,Sí,No,No,No,No,No,No utilizo ninguna,4,3,1
9/23/2022 19:53:14,19,Ingeniería Industrial,4,"13,30",5,No,No,Sí,No,No,No,Celular,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, HP",Sí,No,No,No,No,No,No,No,Sí,No,"Memoria RAM, Procesador",4,2000,No,No,No,No,No,No,No,Sí,Google Calendar,3,3,3
9/23/2022 20:01:48,21,Ingeniería Industrial,9,"14,40",6,Sí,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Lenovo, Xiaomi",Sí,No,No,No,No,Sí,No,No,No,Sí,"Precio, Memoria RAM, Duración de la batería",3,5000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",4,4,3
9/23/2022 20:08:31,18,Ingeniería Química,4,"14,00",4,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Motorola,Sí,No,No,No,No,No,No,No,No,Sí,"Precio, Memoria RAM",6,2050,Sí,No,No,No,No,No,No,Sí,"Notion, Google Calendar",5,5,4
