Código modular,Código de local,Nombre de IE,Nivel / Modalidad,Forma,Gestión / Dependencia,Dirección de IE,Departamento,Provincia,Distrito,Alumnos (2015),Docentes (2015),Secciones (2015)
0797100,070130,CAYLLOMA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON CAYLLOMA S/N,Arequipa,Caylloma,Caylloma,3,1,2
0797092,069829,CABANACONDE,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA AREQUIPA S/N,Arequipa,Caylloma,Cabanaconde,2,1,2
0797084,069966,CALLALLI,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SANTA BARBARA S/N,Arequipa,Caylloma,Callalli,17,2,9
0679084,069711,HONORIO DELGADO ESPINOZA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SIGLO XX S/N,Arequipa,Caylloma,Chivay,6,1,6
0309153,055460,NUESTRA SEÑORA DEL PILAR,Educación Especial,Escolarizado,Pública - En convenio,AVENIDA ZAMACOLA 120,Arequipa,Arequipa,Arequipa,45,19,12
0589028,058996,CRIP SAN JUAN DE DIOS,Educación Especial,Escolarizado,Pública - En convenio,AVENIDA EJERCITO 1020,Arequipa,Arequipa,Cayma,25,14,10
0723213,058982,NUESTRA SRA. DE LA CANDELARIA,Educación Especial,Escolarizado,Pública - En convenio,AVENIDA CHACHAN 307,Arequipa,Arequipa,Cayma,45,6,9
0745695,057280,UNAMONOS,Educación Especial,Escolarizado,Privada - Instituciones Benéficas,CALLE SANTA MARTA 111,Arequipa,Arequipa,Arequipa,84,18,12
0899344,059726,PAUL HARRIS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE 9 MZ P,Arequipa,Arequipa,Cerro Colorado,42,15,10
1031749,058680,PRITE ALDEA INFANTIL SAGRADA FAMILIA,Educación Especial,No escolarizado,Pública - Sector Educación,PLAZA PRINCIPAL,Arequipa,Arequipa,Cayma,18,4,5
1032457,059627,PRITE SEMI RURAL PACHACUTEC,Educación Especial,No escolarizado,Pública - Sector Educación,ESQ M GRAU CON REP DEL PERU,Arequipa,Arequipa,Cerro Colorado,17,4,4
1117050,065077,VIVENCIAS - MARIANNE FROSTIG,Educación Especial,Escolarizado,Privada - Particular,CALLE CARLOS BACA FLOR 133,Arequipa,Arequipa,Arequipa,32,8,8
1273614,057440,SAMUEL ORTON,Educación Especial,Escolarizado,Privada - Particular,CALLE MIGUEL DE CERVANTES 110,Arequipa,Arequipa,Arequipa,4,1,2
1333251,546109,CERCIA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE EMMEL 216,Arequipa,Arequipa,Yanahuara,60,8,7
0309138,055417,CEBE POLIVALENTE,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA ALFONSO UGARTE S/N,Arequipa,Arequipa,Arequipa,34,12,10
0894436,058147,SANTA LUCIA,Educación Especial,Escolarizado,Privada - Instituciones Benéficas,CALLE SAN JUAN DE DIOS 656,Arequipa,Arequipa,Arequipa,32,4,3
0894493,055752,NUEVA ESPERANZA,Educación Especial,Escolarizado,Privada - Parroquial,CALLE 28 DE JULIO 609,Arequipa,Arequipa,Arequipa,32,7,5
0516468,061847,PILOTO MIRAFLORES,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE PUENTE ARNAO 2004,Arequipa,Arequipa,Miraflores,13,2,7
0619148,058053,AUVERGNE PERU-FRANCIA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA ROOSEVELT 408,Arequipa,Arequipa,Alto Selva Alegre,47,10,8
0619239,062955,SANTA ANA,Educación Especial,Escolarizado,Pública - En convenio,PASAJE CEMENTERIO S/N,Arequipa,Arequipa,Paucarpata,30,5,9
0619262,062917,NUESTRA SRA.DEL PERPETUO SOCORRO,Educación Especial,Escolarizado,Pública - En convenio,CALLE ANGAMOS ZONA B S/N,Arequipa,Arequipa,Paucarpata,17,3,7
0695551,061456,SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Pública - En convenio,PASAJE LOS PINOS S/N,Arequipa,Arequipa,Mariano Melgar,25,2,7
0794537,060292,MARIA DE LA ESPERANZA,Educación Especial,Escolarizado,Pública - En convenio,CALLE PRINCIPAL S/N,Arequipa,Arequipa,Characato,8,1,6
0899385,062012,SAN MARTIN DE PORRES,Educación Especial,Escolarizado,Pública - En convenio,CALLE JUNIN S/N,Arequipa,Arequipa,Miraflores,21,3,6
1030196,060598,NUESTRA SRA.DE LA CONSOLACION,Educación Especial,Escolarizado,Pública - En convenio,CALLE BOLOGNESI D-19,Arequipa,Arequipa,Jacobo Hunter,21,3,9
1030352,064285,MARIA DE LOS REMEDIOS,Educación Especial,Escolarizado,Pública - En convenio,PASAJE LA RONDA S/N,Arequipa,Arequipa,Socabaya,23,3,8
0688333,394634,STELLA MARIS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON MAQUEGUA CUADRA 11,Madre de Dios,Tambopata,Tambopata,47,10,8
0614925,396992,MARIA AUXILIADORA,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE AMANCAES P 9 - URB- PRIMAVERA P-9,Moquegua,Mariscal Nieto,Moquegua,31,9,10
0567818,399820,CORAZON DE JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE VILLA DEL MAR S/N,Moquegua,Ilo,Ilo,65,15,6
1547249,760284,PRITE ILO,Educación Especial,No escolarizado,Pública - Sector Educación,JOSE CARLOS MARIATEGUI MZ M LOTE 20,Moquegua,Ilo,Ilo,42,5,5
1276088,081242,ANDREE RENATO SANCHEZ SOTO,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA BOLIVAR S/N,Moquegua,Mariscal Nieto,Moquegua,38,6,4
0309161,488388,FELIX Y CAROLINA DE REPETTI,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA INDUSTRIAL S/N,Tacna,Tacna,Pocollay,106,24,16
0843292,487341,NUESTRA SEÑORA DEL ROSARIO,Educación Especial,Escolarizado,Privada - Particular,CALLE GIL DE HERRERA 02,Tacna,Tacna,Tacna,25,5,6
1215987,808525,BEATA ANA ROSA GATTORNO,Educación Especial,Escolarizado,Pública - Sector Educación,FORTUNATO ZORA CARBAJAL,Tacna,Tacna,Coronel Gregorio Albarracin Lanchipa,53,10,9
0830760,495794,REVERENDO PADRE SANTIAGO CASTRO LUCINI,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON 28 DE JULIO 400,Ucayali,Coronel Portillo,Calleria,81,22,12
0922815,495119,ESPECIAL 4 REFUGIO DE ESPERANZA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LLOQUE YUPANQUI S/N,Ucayali,Coronel Portillo,Calleria,117,41,16
1600485,813579,PRITE MARIA GUADALUPE,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON AGUAYTIA 605,Ucayali,Coronel Portillo,Yarinacocha,27,3,3
0666461,574927,ATALAYA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON TENIENTE MEJIA S/N MZ 46-A LOTE 05,Ucayali,Atalaya,Raymondi,18,2,9
0666453,502539,AGUAYTIA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON LAS ORQUIDEAS MZ 142,Ucayali,Padre Abad,Padre Abad,14,4,5
0478974,000062,MONSEÑOR OCTAVIO ORTIZ ARRIETA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA SALAMANCA 495,Amazonas,Chachapoyas,Chachapoyas,24,8,12
0585505,002607,001,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON PIURA S/N,Amazonas,Bagua,Bagua,28,10,8
1250323,002754,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,Educación Especial,Escolarizado,Pública - En convenio,AVENIDA CAJAMARCA S/N,Amazonas,Bagua,La Peca,7,2,4
0657346,008459,POR LOS NIÑOS DE LUYA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON BLAS VALERA 451,Amazonas,Luya,Luya,3,1,2
0568279,515117,LAMUD,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON PNP CRUZ SANTIAGO VALQUI S/N,Amazonas,Luya,Lamud,8,1,5
0767459,518390,17805 HOGAR DE CRISTO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE PUEBLO NUEVO,Amazonas,Utcubamba,Bagua Grande,53,6,7
0576314,044914,CEE ANDAHUAYLAS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON JUAN ANTONIO TRELLES 605,Apurimac,Andahuaylas,Andahuaylas,25,3,8
1088178,047540,TALAVERA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON LIMA 242,Apurimac,Andahuaylas,Talavera,26,3,8
1205152,047007,SAN JERONIMO,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON ALFONSO UGARTE 700,Apurimac,Andahuaylas,San Jeronimo,18,2,5
0929554,055115,10 VILCABAMBA,Educación Especial,Escolarizado,Pública - Sector Educación,JAHUAPAMPA,Apurimac,Grau,Vilcabamba,9,1,6
0929521,053951,04 CHUQUIBAMBILLA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON CHUQUIBAMBILLA S/N,Apurimac,Grau,Chuquibambilla,6,1,4
0521971,074449,SAN JUAN DE DIOS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA INDEPENDENCIA 461,Ayacucho,Huamanga,Ayacucho,74,10,11
1160068,509989,PRITE I,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA INDEPENDENCIA 461,Ayacucho,Huamanga,Ayacucho,32,5,5
1347558,560553,EDUCACION ESPECIAL CANGALLO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA PEDRO C CARDENAS S/N,Ayacucho,Cangallo,Cangallo,5,1,3
0670844,079946,DIVINO NIÑO JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON GERVACIO SANTILLANA 8VA CUADRA,Ayacucho,Huanta,Huanta,34,6,8
1163153,080718,LURICOCHA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON DELFINO LUDEÑA VEGA S/N,Ayacucho,Huanta,Luricocha,47,3,8
0592006,084472,IMMANUEL KANT PUQUIO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA MARIANO SALAS 719,Ayacucho,Lucanas,Puquio,22,9,7
0660100,596788,25506,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON BOLIVAR 408 MZ D LOTE 1A,Ayacucho,Parinacochas,Coracora,15,3,7
0660118,088385,25507,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON LIMA S/N,Ayacucho,Parinacochas,Chumpi,20,2,6
0660209,568323,PAUSA,Educación Especial,Escolarizado,Pública - Sector Educación,CARRETERA HUAMPO,Ayacucho,Paucar Del Sara Sara,Pausa,6,1,4
1141423,091284,ESPECIAL SORAS,Educación Especial,Escolarizado,Pública - Sector Educación,PARQUE PLAZA PRINCIPAL S/N,Ayacucho,Sucre,Soras,3,1,2
1141829,090487,ESPECIAL QUEROBAMBA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON ALFONSO UGARTE 803,Ayacucho,Sucre,Querobamba,4,1,2
0209569,142575,SAN ANTONIO,Educación Especial,Escolarizado,Pública - Sector Educación,MZ Q-4 LOTE 58,Callao,Callao,Bellavista,167,45,15
0555789,143476,VIRGEN DEL CARMEN,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LOPEZ PAZOS 851,Callao,Callao,Carmen de La Legua Reynoso,157,30,18
0601021,143749,LA PERLA,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE JUAN XXIII 143,Callao,Callao,La Perla,80,17,12
1221837,142245,SILVIA PAOLA DIAZ,Educación Especial,Escolarizado,Privada - Particular,CALLE LOS CISNES 109,Callao,Callao,Callao,36,10,11
0597195,142580,SANTA TERESA DE COUDERC,Educación Especial,Escolarizado,Pública - Otro Sector Público,AVENIDA VENEZUELA S/N,Callao,Callao,Bellavista,119,54,17
1382506,594869,DIVINO JESUS E.I.R.L.,Educación Especial,Escolarizado,Privada - Particular,AVENIDA MIGUEL GRAU 1145,Callao,Callao,Callao,17,2,5
1384320,140374,APLICACION DEL ISPPEE,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA ALEJANDRO BERTELLO CUADRA 5 S/N,Callao,Callao,Callao,71,6,12
0236018,149001,DON JOSE DE SAN MARTIN,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA JORGE CHAVEZ MZ D LOTE 3,Cusco,Cusco,Wanchaq,209,31,23
0671503,147101,SAN FRANCISCO DE ASIS,Educación Especial,Escolarizado,Privada - Parroquial,CALLE WUAYNAPATA 331,Cusco,Cusco,Cusco,17,6,7
1060524,146516,SAN JUAN DE DIOS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA MANZANARES 264,Cusco,Cusco,Cusco,44,7,10
0519884,147785,NUESTRA SEÑORA DEL CARMEN,Educación Especial,Escolarizado,Pública - En convenio,CALLE SAN FRANCISCO DE ASIS S/N,Cusco,Cusco,San Jeronimo,67,20,9
1386473,599334,PRITE SAN JUAN DE DIOS,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA MANZANARES 264,Cusco,Cusco,Cusco,8,1,2
1386481,599348,PRITE HOSPITAL REGIONAL,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA DE LA CULTURA S/N,Cusco,Cusco,Cusco,59,6,7
1386499,599353,PRITE BELENPAMPA,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON 21 DE MAYO S/N,Cusco,Cusco,Santiago,18,1,4
0586578,155365,ESPECIAL SAN MIGUEL,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA MANUEL PRADO AV ERNESTO MONTAGNE 135,Cusco,Canchis,Sicuani,85,21,14
1397918,610751,MAGIE DELLE ANDE,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SAN MARTIN S/N,Cusco,Quispicanchi,Huaro,25,4,9
0932269,170337,ARCO IRIS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON GRAU S/N,Cusco,Urubamba,Urubamba,14,2,6
0801589,183293,35007,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LOS ANGELES S/N,Huancavelica,Huaytara,Huaytara,16,2,7
0688036,251258,35002,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON MOORE NO 494,Huancavelica,Tayacaja,Pampas,16,3,5
1407543,620533,PRITE 03,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON ZAVALA S/N,Huancavelica,Tayacaja,Pampas,16,2,4
0553628,210734,DIVINO NIÑO JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA TUPAC AMARU - LA PALMA S/N,Ica,Ica,Ica,63,20,11
1118199,634295,ANN SULLIVAN,Educación Especial,Escolarizado,Privada - Particular,AVENIDA CONDE DE NIEVA 435,Ica,Ica,Ica,33,5,7
0275875,214256,CENTRO PILOTO DE EDUCACION ESPECIAL - CHINCHA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE COLON 699,Ica,Chincha,Chincha Alta,38,19,11
1219666,214831,SANTA CECILIA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE ROSARIO 173,Ica,Chincha,Chincha Alta,32,5,8
0564336,216793,FRANCISCO VASQUEZ GORRIO,Educación Especial,Escolarizado,Pública - Sector Educación,TARAPACA,Ica,Nazca,Nazca,47,14,10
0714303,217274,FRANCISCO BOLOGNESI,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LAS PETUNIAS S/N,Ica,Nazca,Marcona,12,1,5
0636761,217735,CENTRO DE EDUCACION BASICA ESPECIAL,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SAN ISIDRO S/N,Ica,Palpa,Palpa,17,2,6
1142116,219584,22471,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA TUPAC AMARU S/N,Ica,Pisco,Tupac Amaru Inca,24,6,6
0714261,219447,22468 MARIA PARADO DE BELLIDO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA MIRAFLORES 609,Ica,Pisco,San Clemente,15,3,2
0517912,218382,PISCO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE COMERCIO CUADRA 10 S/N,Ica,Pisco,Pisco,57,14,11
0679571,639575,22517 ROSA DE SANTA MARIA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE MANUEL SCORZA 2 CUADRA,Ica,Pisco,San Clemente,9,2,7
1171602,250174,TRUJILLO,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE PROLONGACION RENATO DESCARTES S/N,La Libertad,Trujillo,Trujillo,115,18,13
0588921,250188,TULIO HERRERA LEON,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE GARCILAZO DE LA VEGA 199,La Libertad,Trujillo,Trujillo,86,12,12
1166107,252979,SANTA ROSA,Educación Especial,Escolarizado,Privada - Parroquial,JIRON CAPIRONA 1807-1809,La Libertad,Trujillo,El Porvenir,37,5,10
1170182,253304,SANTO TORIBIO,Educación Especial,Escolarizado,Privada - Parroquial,AVENIDA CESAR VALLEJO 1590,La Libertad,Trujillo,Florencia de Mora,157,16,17
0702498,254153,SAGRADA FAMILIA,Educación Especial,Escolarizado,Privada - Parroquial,CALLE LOS CEDROS - S/N MZ 2 LOTE 19,La Libertad,Trujillo,La Esperanza,73,13,12
0395004,252111,CARLOS A MANUCCI,Educación Especial,Escolarizado,Privada - Particular,CALLE ELVIRA GARCIA Y GARCIA 684,La Libertad,Trujillo,Trujillo,102,15,11
0733261,252842,LA ALEGRIA DEL SEÑOR,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON OLLANTAY 505,La Libertad,Trujillo,El Porvenir,17,3,8
1252501,510921,PRITE TRUJILLO,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA MANSICHE 795,La Libertad,Trujillo,Trujillo,86,6,6
1187483,255237,SALAVERRY,Educación Especial,Escolarizado,Pública - Municipalidad,JIRON PACASMAYO 136,La Libertad,Trujillo,Salaverry,30,8,7
1167667,566159,PAIJAN,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA AA.HH. LOS CEDROS MZ J LOTE 5,La Libertad,Ascope,Paijan,21,3,5
0570655,257482,LACHE,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE ISLAY S/N,La Libertad,Ascope,Casa Grande,32,5,10
0508465,257316,CARTAVIO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA SANTA ELENA 09,La Libertad,Ascope,Santiago de Cao,45,5,6
1449339,256543,80046,Educación Especial,Escolarizado,Pública - Sector Educación,MAGDALENA DE CAO,La Libertad,Ascope,Magdalena de Cao,8,1,3
1449164,567979,DIVINO NIÑO DEL MILAGRO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE AV. PROLONGACION TACNA S/N,La Libertad,Ascope,Razuri,22,3,5
1156512,259075,CHEPEN,Educación Especial,Escolarizado,Pública - Sector Educación,MZ E LOTE 6,La Libertad,Chepen,Chepen,27,9,9
1450956,259787,ESPECIAL PUEBLO NUEVO,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE SANTA ROSA S/N,La Libertad,Chepen,Pueblo Nuevo,11,4,4
1230697,516598,OTUZCO,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE ALFREDO GUTIERREZ S/N,La Libertad,Otuzco,Otuzco,12,2,6
1166578,264294,USQUIL,Educación Especial,Escolarizado,Pública - Sector Educación,USQUIL,La Libertad,Otuzco,Usquil,4,1,3
1452465,665499,MARIA MONTESSORI,Educación Especial,Escolarizado,Privada - Particular,CALLE PROGRESO 633,La Libertad,Otuzco,Otuzco,1,1,1
0702506,651746,CEBE - SAN PEDRO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE TRANSVERSAL ANCASH S/N MZ 51 LOTE 8,La Libertad,Pacasmayo,San Pedro de Lloc,17,2,6
0803056,265095,DEJAD QUE LOS NIÑOS VENGAN A MI,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON GUADALUPE S/N,La Libertad,Pacasmayo,Guadalupe,24,5,8
0634741,265439,PACASMAYO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE LARCO HERRERA 516,La Libertad,Pacasmayo,Pacasmayo,18,3,7
1165612,266354,SOR MARIA DEL SAGRADO CORAZON,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON ENRIQUE MARQUINA S/N,La Libertad,Pataz,Tayabamba,16,1,8
0802801,269121,SANTA ANA - SAN FRANCISCO DE ASIS,Educación Especial,Escolarizado,Privada - Parroquial,CALLE PONCE DE LEON S/N,La Libertad,Sanchez Carrion,Huamachuco,24,6,4
0574814,281769,SAN JUDAS TADEO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA AGUSTO B LEGUIA 699,Lambayeque,Ferreñafe,Ferreñafe,37,10,10
0574632,283787,SAN PEDRO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE MELCHOR SEVILLA 801,Lambayeque,Lambayeque,Lambayeque,41,9,11
0600023,353600,003 DIVINO JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE FRANCIA S/N,Lima,Cañete,Mala,40,10,10
0599878,353054,04,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON HUANCAYO CDRA. 7,Lima,Cañete,Imperial,74,12,11
"1022482,352016,05 SAN MARCELINO CHAMPAGNAT,Educación Especial,Escolarizado,Pública - Sector Educación,""CALLE LAS MAGNOLIAS MZ 5, LOTE 5"",Lima,Cañete,San Vicente de Cañete,2,3,1"
0702290,522453,ESPECIAL CHILCA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON PUNO S/N,Lima,Cañete,Chilca,20,2,7
0523027,359107,01 SAN JUDAS TADEO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE MARIN S/N,Lima,Huaura,Huacho,41,20,11
1020262,508598,02 SAN FRANCISCO DE ASIS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE 5 S/N,Lima,Huaura,Huaura,61,24,11
0702332,361054,03,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE LOS EMPLEADOS S/N,Lima,Huaura,Sayan,34,13,10
1519453,732413,SANTA ROSA DE LOS HUACOS,Educación Especial,Escolarizado,Privada - Parroquial,CALLE PEDRO REYES SUAREZ S/N,Lima,Huaura,Hualmay,30,7,10
1519958,732615,PRITE VIRGEN MARIA,Educación Especial,No escolarizado,Pública - Sector Educación,CALLE 30 DE AGOSTO S/N MZ C LOTE 24 ETAPA II,Lima,Huaura,Huacho,63,6,8
1076918,736067,ESPECIAL CANTA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON INDEPENDENCIA S/N,Lima,Canta,Canta,25,3,5
0751024,736487,YAUYOS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE JORGE CHAVEZ 306,Lima,Yauyos,Yauyos,6,1,3
1187715,361662,ESPECIAL OYON,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA CAJATAMBO S/N,Lima,Oyon,Oyon,4,1,4
1187756,737279,ESPECIAL CHURIN,Educación Especial,Escolarizado,Pública - Sector Educación,CARRETERA LARCO HERRERA S/N,Lima,Oyon,Pachangara,6,1,2
0770917,356825,PAUL HARRIS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LA FLORIDA S/N,Lima,Huarochiri,Matucana,20,5,8
0905331,358297,SAN MATEO DE HUANCHOR,Educación Especial,Escolarizado,Pública - Sector Educación,CARRETERA CENTRAL KM. 94.5 SECTOR DAZA,Lima,Huarochiri,San Mateo,20,3,10
0904912,510799,DIVINO PASTOR,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA SAN MARTIN 004,Lima,Huarochiri,Santa Eulalia,30,3,7
0702340,349024,FERNANDO CARBAJAL SEGURA,Educación Especial,Escolarizado,Pública - Sector Educación,SAN ILDEFONSO MZ I LOTE 01,Lima,Barranca,Barranca,69,14,11
0523126,349552,SAN MARTIN DE PORRAS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA ALFONSO OLIVERA VIDAL S/N,Lima,Barranca,Paramonga,32,8,10
1183656,350300,NIÑO JESUS DE PRAGA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA RAFAEL CHANGA ALDAVE S/N,Lima,Barranca,Supe,27,5,8
0266932,366971,IQUITOS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE BERMUDEZ 1170,Loreto,Maynas,Iquitos,102,24,10
0635375,376673,BONIFACIO ALVARADO PAREDES,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE ESQUINA IQUITOS/15 DE AGOSTO,Loreto,Alto Amazonas,Yurimaguas,53,9,8
0685156,740516,TENIENTE MANUEL CLAVERO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE IQUITOS - PANAMA S/N,Loreto,Maynas,Punchana,40,17,9
1149814,388548,MANOS UNIDAS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE MARTIRES DEL PETROLEO S/N,Loreto,Requena,Requena,42,11,11
