Marca temporal,Código de alumno:,Carrera:,Ciclo:,Edad:,¿Usas lentes?,¿Juegas videojuegos?,¿Perteneces o perteneciste a algún club de programación?,¿Programas exclusivamente dentro de tu ciclo universitario o lo haces de manera recreativa incluso en vacaciones/tiempo libre?,¿Puedes tipear correctamente sin mirar tu teclado? ,"Por favor, entra a este link y realiza el test de tipeo para luego colocar tu resultado en palabras por minuto(WPM). (Ej. -> 76.8)              ",¿Cuántos años llevas programando? Ingrese su respuesta en años.,¿Cuál sistema operativo usas?,¿Cuál ambiente de programación usas?,¿Cuántos lenguajes de programación dominas?,¿En qué lenguaje te gusta programar más? ,¿Programas en PC o Laptop?,¿Cuánta RAM tiene tu PC/Laptop?,¿Has participado en algo relacionado a programación competitiva?,¿En cuántos proyectos de programación has participado?,¿Te gusta programar en equipo o prefieres en solitario?,¿Cuántas librerías conoces?,¿Cuántas horas al día pasas delante del monitor programando? ,"Por favor, entra al link. Es un test de velocidad de reacción. Solo ingresa el numero que te aparece."
19/05/2021 19:21:58,202110138,Ingeniería Mecatrónica,1,17,Si,No,No,Unicamente en mis ciclos universitarios,Si,44,0,MAC OS,JetBrains,1,Python,Laptop,8 GB,No,0,En equipo,0-5,3,285
19/05/2021 19:29:05,201910184,Ingeniería Mecatrónica,5,18,No,Si,No,En cualquier momento,No,40,5,Windows,JetBrains,8,C++,Laptop,16 GB,Si,3,En equipo,11-15,4,348
19/05/2021 19:32:49,201910016,Ingeniería Civl,5,18,Si,No,No,Unicamente en mis ciclos universitarios,No,40,1,Windows,Visual Studio,3,Lenguaje de programación R,Laptop,8 GB,Si,1,En equipo,0-5,1,385
19/05/2021 19:45:49,201810385,Ingeniería Mecatrónica,4,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,45,2,"Windows, MAC OS",JetBrains,2,Python,Laptop,16 GB,No,2,Solitario,6-10,3,295
19/05/2021 19:51:12,201910038,Ciencia de la Computación,5,19,Si,Si,No,En cualquier momento,Si,44,2,"Windows, Linux",Visual Studio,7,JavaScript,Laptop,16 GB,Si,9,Solitario,16-20,6,218
19/05/2021 20:06:32,201910129,Ciencia de la Computación,5,19,Si,Si,Si,En cualquier momento,Si,57,2,"Windows, Linux",JetBrains,4,C++,Laptop,8 GB,No,5,Solitario,0-5,4,314
19/05/2021 20:11:35,202110137,Ingeniería Mecatrónica,1,16,Si,Si,No,Unicamente en mis ciclos universitarios,Si,60,0,Windows,Visual Studio,1,Python,Laptop,8 GB,No,0,Solitario,0-5,2,187
19/05/2021 20:16:35,201610279,Ingeniería Mecatrónica,8,21,Si,Si,No,En cualquier momento,No,34,5,Windows,Visual Studio,4,C++,Laptop,8 GB,No,5,Solitario,0-5,4,252
19/05/2021 20:20:54,202110127,Ingeniería Mecatrónica,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,45,0,Windows,JetBrains,0,Python,Laptop,4 GB,No,0,Solitario,0-5,1,231
19/05/2021 20:29:34,202110556,Ciencia de la Computación,1,18,No,Si,No,Unicamente en mis ciclos universitarios,Si,55,1,Windows,Visual Studio,1,Python,PC,16 GB,No,0,Solitario,0-5,2,270
19/05/2021 20:33:42,201910206,Bioingeniería,5,20,Si,Si,No,En cualquier momento,Si,55,3,Windows,Visual Studio,4,Python,Laptop,16 GB,No,1,En equipo,0-5,1,266
19/05/2021 20:40:20,201910331,Ciencia de la Computación,5,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,60,3,"Windows, Linux",Visual Studio,2,C++,Laptop,16 GB,No,2,En equipo,6-10,5,246
19/05/2021 20:57:03,201910003,Ingeniería Ambiental,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,No,47,2,MAC OS,Visual Studio,2,C++,Laptop,8 GB,No,2,En equipo,6-10,3,485
19/05/2021 21:51:22,202020046,Ingeniería Civl,2,17,Si,No,No,Unicamente en mis ciclos universitarios,Si,39,1,Windows,JetBrains,2,Python,Laptop,16 GB,No,0,Solitario,6-10,3,289
19/05/2021 22:14:32,201910118,Ingeniería Mecánica,5,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,70,2,Windows,JetBrains,2,C++,PC,16 GB,No,1,En equipo,6-10,1,261
19/05/2021 22:14:46,201910224,Ingeniería Mecatrónica,5,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,29,2,Windows,Visual Studio,2,Python,Laptop,16 GB,No,1,Solitario,0-5,4,361
19/05/2021 22:17:31,202020154,Ingeniería Civl,2,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,36,1,Windows,JetBrains,1,C++,Laptop,8 GB,No,0,Solitario,0-5,3,209
19/05/2021 22:32:44,201910140,Ingeniería Mecatrónica,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,No,27,2,Windows,JetBrains,2,C++,Laptop,8 GB,No,5,Solitario,0-5,2,276
19/05/2021 22:52:40,201910111,Ciencia de la Computación,5,19,No,Si,Si,En cualquier momento,Si,44,5,Linux,JetBrains,4,C++,Laptop,16 GB,Si,2,En equipo,6-10,6,493
19/05/2021 23:38:08,201810067,Ingeniería Mecatrónica,6,20,Si,Si,No,En cualquier momento,Si,76.8,0,Windows,Visual Studio,1,Python,PC,4 GB,No,0,Solitario,0-5,1,392
19/05/2021 23:46:16,202010387,Ciencia de la Computación,3,18,No,Si,Si,En cualquier momento,Si,48,5,"Windows, Linux",Visual Studio,3,Python,PC,16 GB,No,0,En equipo,16-20,4,300
20/05/2021 7:57:29,201910098,Ciencia de la Computación,5,18,Si,Si,Si,En cualquier momento,Si,53,2,"Windows, Linux",Visual Studio,1,C++,Laptop,16 GB,No,2,Solitario,11-15,5,267
20/05/2021 8:16:24,201910336,Ciencia de la Computación,5,18,No,Si,Si,En cualquier momento,Si,58.3,2,"Windows, Linux",JetBrains,5,C++,Laptop,16 GB,No,2,Solitario,0-5,6,301
20/05/2021 9:18:40,201810649,Ciencia de la Computación,7,23,Si,No,Si,En cualquier momento,Si,56,5,Linux,Visual Studio,0,C++,PC,16 GB,Si,3,Solitario,0-5,2,250
20/05/2021 10:03:23,201910290,Ciencia de la Computación,5,18,No,No,No,En cualquier momento,Si,40,2,Linux,Visual Studio,2,Python,Laptop,8 GB,No,8,Solitario,6-10,3,268
20/05/2021 10:49:48,201910168,Ciencia de la Computación,5,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,55,2,"Windows, Linux",Visual Studio,2,Python,PC,32 GB,No,5,En equipo,6-10,3,164
20/05/2021 14:56:32,202110443,Ciencia de la Computación,1,16,No,No,Si,En cualquier momento,Si,41,0,"Windows, Linux",Visual Studio,3,Python,Laptop,8 GB,No,0,Solitario,0-5,2,429
20/05/2021 15:35:37,201810605,Ciencia de la Computación,7,20,Si,Si,No,Unicamente en mis ciclos universitarios,Si,55,2,"Windows, Linux",Visual Studio,3,Python,Laptop,16 GB,No,1,En equipo,11-15,2,699
20/05/2021 20:46:52,201910437,Ciencia de la Computación,5,19,Si,Si,No,En cualquier momento,No,47,1,MAC OS,Visual Studio,2,Python,Laptop,8 GB,No,0,Solitario,0-5,2,272
20/05/2021 22:02:19,202010287,Ingeniería Mecatrónica,3,18,Si,Si,No,En cualquier momento,Si,50,1,Windows,JetBrains,2,C++,PC,8 GB,No,0,Solitario,6-10,3,249
21/05/2021 10:03:31,201920100,Ciencia de la Computación,3,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,35,1,Windows,JetBrains,0,C++,Laptop,8 GB,No,0,Solitario,6-10,1,356
23/05/2021 23:12:34,201910275,Bioingeniería,5,18,No,No,No,En cualquier momento,No,42,2,Windows,JetBrains,1,Python,Laptop,32 GB,No,2,Solitario,6-10,1,257
24/05/2021 17:03:08,201910255,Bioingeniería,3,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,53,3,"Windows, Linux, MAC OS",Visual Studio,3,C++,PC,64 GB,No,3,Solitario,11-15,2,301
30/05/2021 11:11:07,202010415,Ingeniería Mecatrónica,3,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,50,1,Windows,JetBrains,2,C++,PC,16 GB,No,2,Solitario,11-15,1,180
30/05/2021 12:02:42,201710114,Ingeniería Mecatrónica,9,21,No,Si,No,Unicamente en mis ciclos universitarios,No,31,4,Windows,JetBrains,2,Python,Laptop,8 GB,No,7,En equipo,6-10,1,281
30/05/2021 12:12:51,201910001,Ingeniería Mecatrónica,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,52,1,Windows,Visual Studio,2,Python,PC,4 GB,No,2,En equipo,6-10,1,180
30/05/2021 13:46:21,201810113,Ingeniería Mecatrónica,7,20,No,No,No,En cualquier momento,No,54.3,3,"Windows, Linux, MAC OS",Visual Studio,7,PHP,Laptop,8 GB,No,4,En equipo,16-20,3,473
30/05/2021 20:46:58,202010085,Ingeniería Mecatrónica,3,18,No,Si,No,Unicamente en mis ciclos universitarios,No,39,1,MAC OS,JetBrains,2,Lenguaje de programación R,Laptop,8 GB,No,1,Solitario,6-10,3,272
30/05/2021 20:54:05,202010125,Ingeniería Civl,3,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,19,1,Windows,JetBrains,3,C++,Laptop,16 GB,No,0,Solitario,6-10,1,277
31/05/2021 21:24:08,201810465,Ingeniería Mecatrónica,7,20,Si,Si,No,Unicamente en mis ciclos universitarios,Si,57,3,"Windows, Linux",Gedit,3,Python,Laptop,8 GB,No,1,En equipo,0-5,2,291
1/06/2021 8:52:18,202010356,Bioingeniería,3,18,Si,Si,No,En cualquier momento,No,70,1,Windows,JetBrains,0,Python,Laptop,8 GB,No,1,Solitario,0-5,1,517
1/06/2021 8:54:30,201620030,Ingeniería Mecánica,4,24,Si,Si,No,Unicamente en mis ciclos universitarios,Si,50,1,Windows,Visual Studio,1,C#,Laptop,8 GB,No,3,En equipo,0-5,1,215
1/06/2021 8:55:08,201920033,Ingeniería Civl,4,22,No,Si,No,Unicamente en mis ciclos universitarios,No,76,3,Windows,JetBrains,2,Python,Laptop,4 GB,No,0,En equipo,0-5,4,2422
1/06/2021 8:58:49,202110121,Ingeniería Mecatrónica,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,33,2,Windows,Visual Studio,1,Python,Laptop,8 GB,No,2,En equipo,0-5,6,294
1/06/2021 9:15:32,202110124,Ingeniería Mecatrónica,1,17,No,Si,No,Unicamente en mis ciclos universitarios,No,34,0,Windows,JetBrains,0,Python,PC,8 GB,No,0,En equipo,0-5,3,231
1/06/2021 9:16:54,202110128,Ingeniería Mecatrónica,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,Si,74,0,Windows,Visual Studio,1,Python,PC,16 GB,No,0,En equipo,0-5,1,263
1/06/2021 9:38:34,201910203,Ingeniería Mecatrónica,5,19,No,No,Si,En cualquier momento,Si,60,2,Windows,Visual Studio,3,C++,PC,8 GB,No,2,Solitario,6-10,2,264
1/06/2021 9:55:07,201820141,Ingeniería Ambiental,4,21,No,Si,No,Unicamente en mis ciclos universitarios,No,35,2,Windows,JetBrains,1,C++,Laptop,4 GB,No,1,Solitario,6-10,2,355
1/06/2021 9:57:18,201810519,Ingeniería Mecatrónica,7,21,No,No,Si,En cualquier momento,Si,55,3,"Windows, Linux",Visual Studio,5,Python,Laptop,16 GB,No,2,Solitario,16-20,2,228
1/06/2021 10:10:56,74128399,Ingeniería Electrónica,7,20,No,Si,Si,En cualquier momento,Si,57,2,"Windows, Linux, MAC OS",Visual Studio,2,Python,Laptop,8 GB,No,7,En equipo,16-20,4,319
1/06/2021 10:25:54,201820108,Ingeniería Ambiental,6,23,No,Si,No,Unicamente en mis ciclos universitarios,Si,26,1,Windows,Visual Studio,1,C++,Laptop,16 GB,No,1,En equipo,6-10,1,318
1/06/2021 10:29:21,201910335,Ingeniería Mecatrónica,5,19,No,Si,Si,En cualquier momento,Si,110,4,"Windows, Linux",JetBrains,4,Python,PC,32 GB,No,3,Solitario,6-10,6,185
1/06/2021 10:33:10,201910449,Ingeniería Industrial,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,No,11,3,Windows,Visual Studio,3,C++,Laptop,4 GB,No,3,En equipo,11-15,2,288
1/06/2021 10:35:50,201910139,Ingeniería Mecatrónica,5,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,48,2,Windows,JetBrains,2,C++,Laptop,16 GB,No,1,En equipo,6-10,2,240
1/06/2021 10:39:19,202020209,Ingeniería Mecánica,2,19,Si,No,No,Unicamente en mis ciclos universitarios,No,1,1,Windows,JetBrains,1,C++,Laptop,4 GB,No,0,Solitario,6-10,1,295
1/06/2021 11:01:03,201710515,Ingeniería Mecatrónica,8,23,Si,Si,Si,En cualquier momento,Si,60,2,Windows,Visual Studio,2,C++,PC,16 GB,No,4,En equipo,6-10,1,234
1/06/2021 11:03:51,201910407,Ingeniería Química,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,12,2,Windows,Visual Studio,3,Lenguaje de programación R,Laptop,16 GB,No,0,En equipo,11-15,3,265
1/06/2021 11:06:10,201910409,Ingeniería Mecánica,5,19,Si,No,No,Unicamente en mis ciclos universitarios,No,33,2,Windows,JetBrains,2,C++,Laptop,4 GB,No,2,En equipo,0-5,1,359
1/06/2021 11:10:54,201910496,Ingeniería Mecatrónica,5,21,Si,Si,Si,En cualquier momento,No,50,1,Linux,Visual Studio,3,Python,Laptop,8 GB,No,4,Solitario,6-10,2,277
1/06/2021 11:27:42,201810441,Ingeniería Mecatrónica,7,19,No,Si,No,En cualquier momento,Si,45,3,"Windows, Linux",Sublime Text,3,C,Laptop,16 GB,No,5,Solitario,6-10,2,260
1/06/2021 11:33:39,201910182,Ingeniería Civl,5,19,No,Si,No,Unicamente en mis ciclos universitarios,No,60.7,0,Windows,JetBrains,1,Python,Laptop,4 GB,No,1,En equipo,0-5,1,359
1/06/2021 11:34:27,201810282,Ingeniería Mecatrónica,7,19,Si,Si,Si,En cualquier momento,Si,43,4,Windows,JetBrains,5,Python,Laptop,8 GB,No,5,Solitario,6-10,5,242
1/06/2021 11:38:45,201910325,Ingeniería Mecatrónica,5,18,Si,Si,Si,En cualquier momento,Si,53,2,Windows,Visual Studio,3,C++,Laptop,16 GB,No,1,Solitario,11-15,1,208
1/06/2021 11:42:31,201910233,Bioingeniería,5,19,Si,Si,No,En cualquier momento,No,42,1,Windows,JetBrains,2,C++,Laptop,8 GB,No,0,En equipo,0-5,1,288
1/06/2021 13:10:20,201910249,Ingeniería de la Energía,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,35,1,Windows,Sublime Text,2,Python,Laptop,8 GB,No,2,En equipo,6-10,1,206
1/06/2021 13:15:57,202010505,Ingeniería Mecatrónica,2,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,41,1,Windows,JetBrains,2,C++,Laptop,16 GB,No,2,Solitario,6-10,2,321
1/06/2021 13:20:28,201910277,Ciencia de la Computación,5,19,No,No,No,En cualquier momento,Si,1,3,Windows,JetBrains,6,C++,Laptop,8 GB,No,9,En equipo,16-20,5,794
1/06/2021 13:31:00,201920042,Ingeniería Mecatrónica,4,19,Si,No,No,Unicamente en mis ciclos universitarios,Si,96,2,Windows,Sublime Text,3,Python,Laptop,16 GB,No,2,Solitario,6-10,2,228
1/06/2021 15:21:21,201910343,Ingeniería Química,5,19,Si,No,No,Unicamente en mis ciclos universitarios,No,47,2,"Windows, MAC OS",JetBrains,2,Python,PC,8 GB,No,0,Solitario,6-10,1,154
1/06/2021 15:47:58,202110562,Ingeniería Mecatrónica,1,18,Si,No,No,Unicamente en mis ciclos universitarios,No,50,0,Windows,JetBrains,0,Python,Laptop,8 GB,No,0,En equipo,0-5,1,1079
1/06/2021 16:27:00,202110235,Ciencia de la Computación,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,37,0,Windows,JetBrains,0,Python,PC,16 GB,No,0,Solitario,0-5,1,230
1/06/2021 16:29:45,202110793,Ingeniería Mecatrónica,1,20,No,Si,No,Unicamente en mis ciclos universitarios,Si,35,0,Windows,Sublime Text,0,Python,PC,16 GB,No,0,En equipo,0-5,1,234
1/06/2021 16:30:30,202110115,Ingeniería Electrónica,1,19,Si,Si,No,En cualquier momento,Si,15,0,Windows,JetBrains,1,Python,Laptop,8 GB,No,0,En equipo,0-5,1,1900
1/06/2021 16:32:29,201810278,Ingeniería de la Energía,7,20,Si,Si,No,Unicamente en mis ciclos universitarios,Si,70,3,Windows,JetBrains,1,Python,Laptop,4 GB,No,1,En equipo,6-10,1,270
1/06/2021 16:37:00,201920035,Ingeniería Mecatrónica,4,20,No,No,No,Unicamente en mis ciclos universitarios,Si,60,2,Windows,Visual Studio,2,Python,Laptop,32 GB,No,2,En equipo,6-10,1,97
1/06/2021 16:40:13,201810146,Ciencia de la Computación,3,21,Si,Si,No,Unicamente en mis ciclos universitarios,No,29,4,"Windows, Linux",JetBrains,3,Python,Laptop,4 GB,No,2,En equipo,6-10,2,255
1/06/2021 17:14:43,202020193,Ingeniería Mecatrónica,2,18,Si,Si,No,En cualquier momento,No,38,0,Windows,JetBrains,2,C++,Laptop,4 GB,No,1,En equipo,0-5,1,290
1/06/2021 18:09:27,202020129,Ciencia de la Computación,2,19,Si,Si,No,En cualquier momento,Si,44,1,Windows,JetBrains,1,Python,Laptop,8 GB,No,0,En equipo,6-10,2,260
1/06/2021 18:15:03,201710524,Ciencia de la Computación,9,22,Si,Si,Si,Unicamente en mis ciclos universitarios,Si,98,4,"Windows, Linux, MAC OS",Visual Studio,2,C++,PC,32 GB,Si,5,Solitario,21-25,6,200
1/06/2021 18:21:00,202110190,Ingeniería Electrónica,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,Si,40,1,Windows,Visual Studio,1,Python,PC,16 GB,No,0,En equipo,0-5,1,214
2/06/2021 0:06:17,201810169,Ingeniería Industrial,6,20,Si,No,No,Unicamente en mis ciclos universitarios,Si,98,3,Windows,JetBrains,2,Python,Laptop,4 GB,No,4,Solitario,6-10,4,508
2/06/2021 2:34:30,201910373,Ingeniería Electrónica,3,10,Si,No,No,En cualquier momento,No,23,2,Windows,Notepad++,2,Lenguaje de programación R,Laptop,8 GB,No,0,Solitario,6-10,1,255
2/06/2021 14:20:58,202010405,Ingeniería Civl,3,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,74.2,1,Windows,JetBrains,1,Python,Laptop,4 GB,No,0,En equipo,0-5,2,609
2/06/2021 14:40:46,201920055,Ingeniería Industrial,4,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,36,2,"Windows, MAC OS",Visual Studio,3,Python,Laptop,16 GB,No,3,En equipo,6-10,2,369
4/06/2021 10:48:21,201910412,Ingeniería Mecánica,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,42,2,Windows,LiveCode,2,Python,Laptop,16 GB,No,2,Solitario,0-5,2,366
4/06/2021 10:53:36,201810150,Ingeniería Mecatrónica,7,20,Si,No,No,En cualquier momento,Si,55,2,MAC OS,Visual Studio,2,C++,Laptop,8 GB,No,1,En equipo,0-5,1,229
4/06/2021 12:03:17,202110792,Ciencia de la Computación,1,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,1,0,Windows,Visual Studio,1,Python,Laptop,16 GB,No,0,Solitario,0-5,2,143
4/06/2021 12:51:23,202110402,Administración y negocios digitales,01,17,Si,No,No,Unicamente en mis ciclos universitarios,No,37,0,Windows,Sublime Text,1,Python,Laptop,32 GB,No,0,En equipo,0-5,1,308
4/06/2021 15:01:04,202020163,Ingeniería Civl,2,18,Si,No,No,Unicamente en mis ciclos universitarios,No,45,0,Windows,JetBrains,1,Python,Laptop,8 GB,No,1,En equipo,0-5,1,265
4/06/2021 15:42:52,202110468,Ingeniería Civl,1,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,72,0,Windows,LiveCode,3,Python,Laptop,8 GB,No,0,Solitario,0-5,2,36
4/06/2021 16:23:30,202020062,Ingeniería Química,2,18,Si,Si,No,En cualquier momento,No,30,1,Windows,Visual Studio,2,Java,Laptop,8 GB,No,0,Solitario,0-5,4,329
4/06/2021 16:35:22,202010209,Bioingeniería,3,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,48,1,Windows,Visual Studio,1,Python,PC,8 GB,No,1,Solitario,6-10,1,263
6/06/2021 0:46:47,201820039,Ingeniería Civl,4,23,Si,No,No,Unicamente en mis ciclos universitarios,Si,87,1,Windows,LiveCode,1,C++,Laptop,32 GB,No,1,Solitario,6-10,2,25
8/06/2021 0:23:31,202110301,Bioingeniería,1,17,Si,No,No,Unicamente en mis ciclos universitarios,Si,52,0,Windows,Visual Studio,0,Python,Laptop,4 GB,No,0,Solitario,6-10,2,352
8/06/2021 12:35:30,202110421,Administración y negocios digitales,1,19,Si,No,No,Unicamente en mis ciclos universitarios,Si,50,0,Windows,Visual Studio,1,Python,Laptop,16 GB,No,0,En equipo,0-5,1,5
8/06/2021 12:49:14,20211019,Ciencia de la Computación,1,17,Si,Si,Si,En cualquier momento,No,26.6 ,2,Windows,Visual Studio,3,JavaScript,Laptop,16 GB,No,1,En equipo,6-10,2,216
8/06/2021 12:50:41,202110285,Ciencia de la Computación,1,18,Si,No,No,En cualquier momento,Si,65,0,MAC OS,Visual Studio,1,Python,Laptop,64 GB,No,0,Solitario,11-15,2,235
8/06/2021 12:54:04,202110310,Ciencia de la Computación,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,Si,50,0,Windows,Visual Studio,0,Python,PC,16 GB,No,0,Solitario,0-5,2,263
8/06/2021 12:55:34,202110229,Ciencia de la Computación,1,17,No,Si,No,Unicamente en mis ciclos universitarios,Si,42,1,Windows,JetBrains,1,Python,Laptop,16 GB,No,0,En equipo,0-5,2,205
8/06/2021 12:56:55,202110066,Ciencia de la Computación,1,16,No,Si,No,En cualquier momento,Si,44,1,"Windows, Linux",Visual Studio,3,Python,Laptop,16 GB,No,0,En equipo,0-5,2,250
8/06/2021 13:19:27,202110204,Ciencia de la Computación,1,17,No,Si,Si,En cualquier momento,No,30,1,Windows,Visual Studio,1,Python,PC,16 GB,No,0,Solitario,0-5,2,203
