Edad,Ciclo,Carrera,Sexo,Frecuencia,Razones,TipoComida,Gasto,MPago,Entrada,Postre,Bebida,Tiempo,Satisfaccion
18,2,INGENIERÍA CIVIL,Masculino,5,No tengo tiempo,Criolla,13,Efectivo,A veces,No,Refrescos,25,Sí
18,3,CIENCIA DE DATOS,Masculino,5,Otros,Criolla,10,Efectivo,Sí,No,Refrescos,60,Sí
18,3,INGENIERÍA MECATRÓNICA,Masculino,4,No tengo tiempo,Criolla,18,Billeteras Digitales,Sí,Sí,Gaseosas,40,Sí
21,4,INGENIERÍA QUÍMICA,Femenino,5,No tengo tiempo,Criolla,13,Efectivo,Sí,A veces,Refrescos,25,Sí
22,9,INGENIERÍA AMBIENTAL,Femenino,3,Vivo solo,Criolla,13,Billeteras Digitales,Sí,Sí,Refrescos,60,No
18,3,BIOINGENIERÍA,Masculino,1,Para salir con mi familia,Comida rápida,40,Efectivo,A veces,A veces,Gaseosas,40,Sí
18,2,INGENIERÍA CIVIL,Femenino,3,No tengo tiempo,Comida rápida,20,Tarjeta,A veces,No,Jugos,20,Sí
20,4,INGENIERÍA MECÁNICA,Femenino,5,No quiero llevar mi almuerzo,Criolla,10,Tarjeta,Sí,Sí,Refrescos,25,Sí
20,4,CIENCIA DE LA COMPUTACIÓN,Masculino,7,Vivo solo,Criolla,13,Efectivo,No,Sí,Refrescos,25,Sí
19,4,CIENCIA DE LA COMPUTACIÓN,Masculino,3,Otros,Criolla,10,Billeteras Digitales,Sí,No,Refrescos,10,Sí
19,4,INGENIERÍA CIVIL,Femenino,5,Vivo solo,Comidas típicas,15,Billeteras Digitales,Sí,A veces,Refrescos,25,No
19,4,INGENIERÍA CIVIL,Masculino,3,No tengo tiempo,Criolla,11,Billeteras Digitales,Sí,A veces,Refrescos,25,Sí
22,4,BIOINGENIERÍA,Masculino,2,Para salir con mi familia,Comida rápida,20,Tarjeta,A veces,A veces,Otros,25,Sí
19,2,INGENIERÍA CIVIL,Masculino,3,Vivo solo,Comida rápida,25,Efectivo,A veces,A veces,Agua,25,Sí
18,2,INGENIERÍA MECATRÓNICA,Masculino,5,Otros,Criolla,10,Efectivo,Sí,No,Refrescos,25,Sí
17,1,INGENIERÍA CIVIL,Femenino,3,Otros,Comidas típicas,13,Efectivo,A veces,A veces,Refrescos,25,No
16,1,INGENIERÍA CIVIL,Masculino,1,Otros,Criolla,15,Efectivo,Sí,Sí,Refrescos,20,Sí
18,2,INGENIERÍA QUÍMICA,Femenino,4,No tengo tiempo,Criolla,10,Efectivo,A veces,No,Refrescos,10,No
20,5,INGENIERÍA INDUSTRIAL,Masculino,2,No tengo tiempo,Criolla,10,Billeteras Digitales,Sí,No,Refrescos,25,Sí
19,4,INGENIERÍA AMBIENTAL,Femenino,2,No quiero llevar mi almuerzo,Criolla,15,Billeteras Digitales,Sí,Sí,Refrescos,20,No
20,3,INGENIERÍA QUÍMICA,Femenino,2,Otros,Comida rápida,15,Tarjeta,No,Sí,Gaseosas,20,No
20,4,BIOINGENIERÍA,Femenino,3,No tengo tiempo,Comidas típicas,20,Billeteras Digitales,Sí,Sí,Agua,10,Sí
18,4,INGENIERÍA MECATRÓNICA,Masculino,5,No tengo tiempo,Criolla,11,Efectivo,A veces,Sí,Refrescos,20,Sí
18,3,INGENIERÍA ELECTRÓNICA,Masculino,3,No tengo tiempo,Marina,10,Efectivo,Sí,Sí,Refrescos,40,Sí
19,4,INGENIERÍA CIVIL,Femenino,2,No tengo tiempo,Comidas típicas,13,Efectivo,No,No,Gaseosas,20,Sí
20,3,CIENCIA DE LA COMPUTACIÓN,Femenino,7,Vivo solo,Criolla,15,Efectivo,A veces,A veces,Refrescos,10,No
20,3,INGENIERÍA MECÁNICA,Masculino,4,Otros,Criolla,13,Efectivo,Sí,A veces,Refrescos,20,No
19,4,INGENIERÍA CIVIL,Masculino,7,Vivo solo,Criolla,10,Efectivo,Sí,No,Refrescos,10,Sí
18,3,INGENIERÍA MECATRÓNICA,Masculino,3,No tengo tiempo,Criolla,25,Tarjeta,Sí,A veces,Refrescos,40,Sí
20,4,INGENIERÍA MECÁNICA,Masculino,3,No quiero llevar mi almuerzo,Oriental,30,Efectivo,Sí,No,Agua,25,No
18,3,INGENIERÍA MECATRÓNICA,Femenino,4,No tengo tiempo,Comida rápida,16,Efectivo,A veces,A veces,Gaseosas,25,Sí
20,4,CIENCIA DE LA COMPUTACIÓN,Masculino,1,Otros,Comidas típicas,14,Efectivo,A veces,No,Agua,20,No
18,3,INGENIERÍA MECATRÓNICA,Femenino,2,No tengo tiempo,Comidas típicas,24,Tarjeta,A veces,A veces,Refrescos,10,Sí
21,4,INGENIERÍA CIVIL,Masculino,5,No quiero llevar mi almuerzo,Criolla,14,Efectivo,A veces,No,Refrescos,20,Sí
21,3,CIENCIA DE LA COMPUTACIÓN,Masculino,1,Otros,Marina,10,Billeteras Digitales,A veces,No,Agua,10,No
19,4,INGENIERÍA INDUSTRIAL,Masculino,6,Vivo solo,Criolla,17,Tarjeta,Sí,A veces,Refrescos,25,Sí
21,4,INGENIERÍA AMBIENTAL,Masculino,1,Vivo solo,Comida rápida,10,Tarjeta,No,Sí,Ninguna,20,Sí
23,4,INGENIERÍA DE LA ENERGÍA,Masculino,5,No tengo tiempo,Comidas típicas,16,Efectivo,Sí,Sí,Jugos,25,Sí
22,5,BIOINGENIERÍA,Masculino,4,No tengo tiempo,Criolla,13,Efectivo,Sí,No,Refrescos,25,Sí
19,2,INGENIERÍA INDUSTRIAL,Masculino,5,Vivo solo,Comida rápida,30,Efectivo,Sí,Sí,Gaseosas,60,Sí
23,2,INGENIERÍA MECÁNICA,Masculino,4,Para salir con mi familia,Marina,15,Tarjeta,Sí,A veces,Refrescos,25,Sí
19,2,INGENIERÍA INDUSTRIAL,Femenino,3,Vivo solo,Criolla,14,Efectivo,No,No,Jugos,20,Sí
18,2,INGENIERÍA INDUSTRIAL,Femenino,2,Otros,Criolla,12,Tarjeta,Sí,Sí,Refrescos,40,No
20,7,INGENIERÍA CIVIL,Masculino,4,No quiero llevar mi almuerzo,Comidas típicas,14,Tarjeta,Sí,Sí,Refrescos,25,Sí
22,7,INGENIERÍA CIVIL,Femenino,3,Otros,Criolla,15,Tarjeta,Sí,No,Refrescos,25,Sí
20,6,INGENIERÍA CIVIL,Masculino,1,No tengo tiempo,Criolla,10,Efectivo,Sí,A veces,Refrescos,25,No
21,7,INGENIERÍA ELECTRÓNICA,Otros,6,No sé cocinar,Oriental,30,Billeteras Digitales,NA,Sí,Gaseosas,25,Sí
20,5,BIOINGENIERÍA,Femenino,6,No tengo tiempo,Criolla,16,Tarjeta,Sí,Sí,Agua,25,Sí
19,2,INGENIERÍA ELECTRÓNICA,Masculino,7,Vivo solo,Criolla,15,Billeteras Digitales,A veces,A veces,Agua,20,Sí
21,7,BIOINGENIERÍA,Masculino,2,Otros,Comida rápida,30,Tarjeta,Sí,Sí,Refrescos,25,Sí
19,4,INGENIERÍA MECÁNICA,Masculino,4,No sé cocinar,Criolla,12,Efectivo,Sí,A veces,Refrescos,20,Sí
18,5,INGENIERÍA MECATRÓNICA,Femenino,3,No quiero llevar mi almuerzo,Criolla,20,Tarjeta,Sí,Sí,Gaseosas,40,Sí
23,8,INGENIERÍA ELECTRÓNICA,Femenino,5,No tengo tiempo,Comida rápida,15,Billeteras Digitales,A veces,A veces,Refrescos,10,No
18,3,BIOINGENIERÍA,Masculino,5,No quiero llevar mi almuerzo,Criolla,10,Tarjeta,Sí,Sí,Refrescos,25,Sí
19,3,BIOINGENIERÍA,Femenino,6,No sé cocinar,Comida rápida,18,Billeteras Digitales,Sí,A veces,Refrescos,20,Sí
20,3,BIOINGENIERÍA,Femenino,2,No quiero llevar mi almuerzo,Comidas típicas,13,Tarjeta,Sí,Sí,Refrescos,20,Sí
19,3,INGENIERÍA INDUSTRIAL,Masculino,2,No tengo tiempo,Criolla,10,Efectivo,Sí,A veces,Refrescos,20,Sí
19,2,BIOINGENIERÍA,Femenino,3,Vivo solo,Criolla,15,Tarjeta,Sí,Sí,Refrescos,40,Sí
21,3,INGENIERÍA CIVIL,Masculino,4,No tengo tiempo,Comidas típicas,13,Efectivo,Sí,Sí,Refrescos,25,No
19,2,INGENIERÍA INDUSTRIAL,Masculino,7,No sé cocinar,Criolla,14,Efectivo,Sí,A veces,Refrescos,20,Sí
18,5,INGENIERÍA AMBIENTAL,Femenino,2,No tengo tiempo,Criolla,15,Efectivo,Sí,No,Refrescos,20,No
19,2,BIOINGENIERÍA,Femenino,6,No tengo tiempo,Criolla,14,Billeteras Digitales,Sí,No,Jugos,20,Sí
20,2,INGENIERÍA MECATRÓNICA,Femenino,2,No tengo tiempo,Criolla,13,Efectivo,Sí,Sí,Jugos,10,No
22,4,INGENIERÍA MECATRÓNICA,Masculino,1,Para salir con mi familia,Oriental,10,Tarjeta,Sí,No,Refrescos,10,Sí
18,2,INGENIERÍA MECATRÓNICA,Masculino,7,No sé cocinar,Oriental,10,Efectivo,Sí,Sí,Jugos,20,Sí
19,4,BIOINGENIERÍA,Femenino,1,Otros,Criolla,11,Efectivo,A veces,A veces,Refrescos,25,Sí
18,4,INGENIERÍA CIVIL,Femenino,3,Vivo solo,Criolla,10,Billeteras Digitales,Sí,A veces,Refrescos,10,Sí
21,2,INGENIERÍA ELECTRÓNICA,Masculino,2,No tengo tiempo,Criolla,13,Efectivo,Sí,No,Refrescos,20,Sí
19,4,INGENIERÍA ELECTRÓNICA,Masculino,5,Vivo solo,Criolla,12,Efectivo,Sí,A veces,Otros,20,Sí
18,3,CIENCIA DE LA COMPUTACIÓN,Masculino,3,No quiero llevar mi almuerzo,Oriental,35,Billeteras Digitales,No,No,Refrescos,40,Sí
19,4,INGENIERÍA CIVIL,Masculino,7,No quiero llevar mi almuerzo,Criolla,13,Efectivo,Sí,Sí,Jugos,40,No
19,5,INGENIERÍA QUÍMICA,Femenino,3,No sé cocinar,Criolla,12,Billeteras Digitales,Sí,Sí,Refrescos,40,Sí
18,4,INGENIERÍA AMBIENTAL,Femenino,1,No quiero llevar mi almuerzo,Comidas típicas,16,Billeteras Digitales,A veces,A veces,Gaseosas,20,No
18,3,CIENCIA DE LA COMPUTACIÓN,Femenino,4,No tengo tiempo,Criolla,14,Efectivo,Sí,Sí,Jugos,40,Sí
18,3,CIENCIA DE LA COMPUTACIÓN,Masculino,3,No tengo tiempo,Criolla,15,Tarjeta,Sí,Sí,Refrescos,25,Sí
18,3,CIENCIA DE LA COMPUTACIÓN,Masculino,1,Para salir con mi familia,Criolla,20,Tarjeta,A veces,No,Refrescos,20,Sí
18,3,CIENCIA DE LA COMPUTACIÓN,Masculino,1,No tengo tiempo,Comida rápida,18,Tarjeta,Sí,No,Jugos,25,Sí
19,6,INGENIERÍA CIVIL,Femenino,2,No tengo tiempo,Criolla,10,Efectivo,Sí,NA,Otros,20,No
22,5,ADMINISTRACIÓN Y NEGOCIOS DIGITALES,Femenino,2,No tengo tiempo,Criolla,50,Tarjeta,A veces,A veces,Agua,40,Sí
20,7,INGENIERÍA CIVIL,Femenino,3,No tengo tiempo,Criolla,13,Tarjeta,Sí,No,Refrescos,10,Sí
17,1,INGENIERÍA CIVIL,Femenino,3,Para salir con mi familia,Comida rápida,20,Efectivo,Sí,No,Agua,25,Sí
21,4,INGENIERÍA QUÍMICA,Femenino,2,No sé cocinar,Criolla,10,Efectivo,Sí,No,Refrescos,20,Sí
