"","Edad","Carrera","Ciclo","DProcedencia","CAVerdes","CADiscapacidad","CALugarCentrico","CAMasLugaresEstudio","CADeportivas","Escala","CEconomica","GDiarioTransporte","CantTransportes","TVivienda","TimeTrans","DSede","DResidencia"
"47",17,"Ing. Mecánica",3,"Provincia",5,4,4,4,4,"E","Becado (beca 18, beca utec, etc.)",3,1,"Alquilado (compartido)",15,"barranco","miraflores"
"48",23,"Ing. Civil",5,"Lima Metropolitana o Callao",4,5,5,5,4,"E","Becado (beca 18, beca utec, etc.)",10,2,"Casa propia",45,"san borja","la molina"
"49",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",5,4,4,5,5,"E","Regular (sin apoyo alguno)",15,1,"Casa propia",120,"san isidro","san martin de porres"
"50",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",5,5,3,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)",15,"san isidro","barranco"
"51",17,"Ciencias de la computación",1,"Provincia",5,5,5,5,5,"D","Regular (sin apoyo alguno)",7,2,"Alquilado (compartido)",80,"san isidro","san miguel"
"52",17,"Ciencias de la computación",1,"Lima Metropolitana o Callao",4,4,5,4,5,"C","Regular (sin apoyo alguno)",6,1,"Casa propia",60,"san isidro","lince"
"53",17,"Ing. Química",1,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Regular (sin apoyo alguno)",10,2,"Casa de mis padres",100,"pueblo libre","san martin de porres"
"54",17,"Ing. Mecatrónica",1,"Lima Metropolitana o Callao",4,4,3,4,4,"E","Con credito (ayuda financiera de UTEC)",30,2,"Casa propia",45,"san isidro","surquillo"
"55",17,"Ing. Mecatrónica",1,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",12,3,"Vivienda de un familiar",90,"san borja","el agustino"
"56",19,"Bioingeniería",5,"Lima Metropolitana o Callao",5,5,5,5,5,"B","Regular (sin apoyo alguno)",0,1,"Casa propia",100,"surco","santiago de surco"
"57",20,"Ing. Ambiental",3,"Lima Metropolitana o Callao",4,4,4,5,5,"D","Regular (sin apoyo alguno)",0,1,"Casa propia",80,"san isidro","magdalena del mar"
"58",17,"Ing. Mecánica",1,"Lima Metropolitana o Callao",5,5,5,5,5,"C","Becado (beca 18, beca utec, etc.)",30,1,"Alquilado (compartido)",80,"santiago de surco","santiago de surco"
"59",19,"Ing. Mecatrónica",5,"Lima Metropolitana o Callao",3,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",6,2,"Alquilado (compartido)",140,"pueblo libre","callao"
"60",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",4,4,3,5,4,"E","Regular (sin apoyo alguno)",3,1,"Casa propia",90,"la molina","san miguel"
"61",20,"Ing. Ambiental",4,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Becado (beca 18, beca utec, etc.)",6,3,"Casa propia",130,"jesús maría","san juan de lurigancho"
"62",19,"Ing. Mecánica",2,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Regular (sin apoyo alguno)",10,4,"Casa propia",140,"san borja","ate"
"63",21,"Ing. Ambiental",8,"Lima Metropolitana o Callao",3,4,4,5,4,"A","Regular (sin apoyo alguno)",16,2,"Alquilado (compartido)",120,"san borja","santiago de surco"
"64",21,"Ing. Ambiental",2,"Lima Metropolitana o Callao",5,5,4,5,4,"E","Becado (beca 18, beca utec, etc.)",7,2,"Casa propia",180,"puente piedra","puente piedra"
"65",17,"Ing. Mecatrónica",1,"Lima Metropolitana o Callao",5,5,4,4,5,"D","Regular (sin apoyo alguno)",20,1,"Casa propia",70,"san borja","la molina"
"66",20,"Ing. Industrial",4,"Lima Metropolitana o Callao",5,5,3,5,5,"E","Becado (beca 18, beca utec, etc.)",6,3,"Alquilado (compartido)",90,"jesús maría","san juan de lurigancho"
"67",21,"Ing. Mecánica",3,"Provincia",5,5,5,5,4,"E","Con credito (ayuda financiera de UTEC)",2,1,"Alquilado (solo)",120,"san borja","san juan de miraflores"
"68",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",4,2,3,5,4,"E","Regular (sin apoyo alguno)",14,2,"Casa propia",50,"pueblo libre","san martin de porres"
"69",20,"Ing. Ambiental",5,"Lima Metropolitana o Callao",5,5,3,5,5,"D","Becado (beca 18, beca utec, etc.)",2.5,2,"Casa propia",180,"jesús maría","puente piedra"
"70",22,"Ing. Civil",4,"Provincia",5,3,3,4,3,"E","Becado (beca 18, beca utec, etc.)",20,11,"Alquilado (solo)",120,"san isidro","ate"
"71",20,"Ing. Civil",4,"Provincia",5,5,4,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)",20,"pueblo libre","barranco"
"72",20,"Ing. Ambiental",3,"Lima Metropolitana o Callao",3,2,4,4,4,"E","Regular (sin apoyo alguno)",6,2,"Casa propia",80,"san borja","san juan de lurigancho"
"73",18,"Ciencias de datos",2,"Lima Metropolitana o Callao",4,4,4,5,5,"E","Regular (sin apoyo alguno)",60,1,"Casa propia",70,"san borja","santiago de surco"
"74",18,"Ciencias de la computación",3,"Provincia",2,3,1,1,5,"E","Con credito (ayuda financiera de UTEC)",2,1,"Alquilado (solo)",45,"jesús maría","chorrillos"
"75",18,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",5,5,5,5,5,"D","Becado (beca 18, beca utec, etc.)",5.5,2,"Alquilado (solo)",100,"comas","comas"
"76",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",4,4,5,5,4,"B","Regular (sin apoyo alguno)",5,2,"Casa propia",90,"san borja","la molina"
"77",19,"Ciencias de la computación",1,"Provincia",5,5,4,3,5,"E","Regular (sin apoyo alguno)",2.5,1,"Alquilado (solo)",70,"jesús maría","breña"
"78",20,"Ing. Mecatrónica",6,"Provincia",4,3,3,4,3,"E","Regular (sin apoyo alguno)",3,1,"Alquilado (compartido)",80,"surco","santiago de surco"
"79",17,"Ing. Mecánica",1,"Lima Metropolitana o Callao",2,2,4,4,5,"E","Regular (sin apoyo alguno)",47,1,"Casa propia",60,"san isidro","san miguel"
"80",19,"Ing. Industrial",4,"Lima Metropolitana o Callao",5,5,3,5,5,"E","Regular (sin apoyo alguno)",2,1,"Casa propia",100,"san borja","carabayllo"
"81",25,"Ing. Industrial",8,"Lima Metropolitana o Callao",2,2,2,3,1,"B","Regular (sin apoyo alguno)",30,2,"Alquilado (solo)",100,"jesús maría","la victoria"
"82",19,"Ing. de Energía",2,"Lima Metropolitana o Callao",4,5,2,5,5,"E","Becado (beca 18, beca utec, etc.)",14,4,"Casa propia",120,"san borja","villa maria del triunfo"
"83",18,"Ing. Civil",2,"Provincia",3,4,3,3,3,"E","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)",20,"san isidro","barranco"
"84",17,"Bioingeniería",2,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",4,1,"Alquilado (solo)",15,"barranco","barranco"
"85",19,"Ing. Industrial",2,"Provincia",5,4,4,4,4,"E","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)",45,"san borja","chorrillos"
"86",19,"Ing. de Energía",3,"Lima Metropolitana o Callao",3,2,3,5,5,"E","Regular (sin apoyo alguno)",7,2,"Depa de mis viejos",70,"barranco","san miguel"
"87",20,"Ing. Civil",3,"Lima Metropolitana o Callao",5,2,2,2,4,"E","Con credito (ayuda financiera de UTEC)",20,2,"Casa propia",120,"pueblo libre","los olivos"
"88",22,"Ing. Mecánica",6,"Lima Metropolitana o Callao",4,4,3,5,5,"C","Regular (sin apoyo alguno)",7,3,"Casa propia",70,"san borja","la molina"
"89",21,"Ciencias de la computación",2,"Lima Metropolitana o Callao",5,1,5,5,5,"A","Regular (sin apoyo alguno)",10,1,"Casa propia",60,"jesús maría","santiago de surco"
"90",22,"Ing. Mecatrónica",4,"Lima Metropolitana o Callao",5,5,5,4,5,"E","Regular (sin apoyo alguno)",2,1,"Casa propia",80,"san borja","jesús maría"
"91",19,"Ciencias de la computación",4,"Lima Metropolitana o Callao",5,2,5,5,5,"C","Regular (sin apoyo alguno)",2,3,"Alquilado (compartido)",100,"san borja","santiago de surco"
"92",23,"Ing. de Energía",4,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",10,2,"Casa propia",120,"san borja","comas"
"93",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",4,4,3,4,5,"E","Regular (sin apoyo alguno)",2,1,"Alquilado (compartido)",40,"san isidro","surquillo"
"94",21,"Ciencias de la computación",4,"Lima Metropolitana o Callao",4,3,3,2,2,"C","Becado (beca 18, beca utec, etc.)",3,0,"Alquilado (compartido)",40,"jesús maría","surquillo"
"95",20,"Ing. Química",7,"Lima Metropolitana o Callao",5,4,4,4,4,"B","Regular (sin apoyo alguno)",0,0,"Casa propia",20,"san borja","barranco"
"96",20,"Ing. Industrial",4,"Lima Metropolitana o Callao",4,5,3,5,5,"E","Becado (beca 18, beca utec, etc.)",5,2,"Casa propia",150,"san borja","san juan de lurigancho"
"97",22,"Ing. Industrial",4,"Provincia",5,4,4,4,4,"E","Becado (beca 18, beca utec, etc.)",10,2,"Casa propia",180,"san borja","puente piedra"
"98",18,"Ing. Industrial",3,"Lima Metropolitana o Callao",4,5,5,5,5,"E","Regular (sin apoyo alguno)",10,2,"Alquilado (compartido)",140,"san borja","comas"
"99",18,"Ing. Industrial",4,"Lima Metropolitana o Callao",5,5,5,5,5,"D","Regular (sin apoyo alguno)",10,2,"Casa propia",100,"san isidro","rímac"
"100",19,"Ing. Industrial",4,"Lima Metropolitana o Callao",3,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",25,2,"Casa propia",120,"san isidro","san juan de lurigancho"
"101",18,"Ing. Mecatrónica",3,"Provincia",3,2,3,3,3,"D","Regular (sin apoyo alguno)",0,0,"Casa propia",10,"san isidro","barranco"
"102",21,"Ing. Civil",4,"Provincia",3,2,5,2,1,"E","Becado (beca 18, beca utec, etc.)",4,1,"Alquilado (solo)",40,"san borja","chorrillos"
"103",20,"Ing. de Energía",3,"Lima Metropolitana o Callao",4,4,4,5,4,"B","Regular (sin apoyo alguno)",40,1,"Casa propia",100,"barranco","santiago de surco"
"104",19,"Ing. Civil",5,"Provincia",5,3,3,5,5,"D","Regular (sin apoyo alguno)",0,0,"Alquilado (solo)",15,"san borja","barranco"
"105",18,"Ing. Civil",5,"Lima Metropolitana o Callao",4,4,2,5,5,"D","Regular (sin apoyo alguno)",6,2,"Casa propia",30,"san isidro","chorrillos"
"106",20,"Ing. Civil",4,"Lima Metropolitana o Callao",5,3,3,5,5,"D","Becado (beca 18, beca utec, etc.)",10,3,"Alquilado (compartido)",10,"san isidro","barranco"
"107",20,"Ing. Mecatrónica",6,"Lima Metropolitana o Callao",5,5,4,5,5,"A","Regular (sin apoyo alguno)",0,2,"Casa propia",60,"san borja","san borja"
"108",19,"Bioingeniería",5,"Lima Metropolitana o Callao",4,4,4,4,3,"B","Regular (sin apoyo alguno)",20,2,"Casa propia",80,"san isidro","santiago de surco"
"109",19,"Ing. Mecánica",4,"Lima Metropolitana o Callao",4,3,3,4,3,"D","Con credito (ayuda financiera de UTEC)",2.5,2,"Alquilado (solo)",100,"los olivos","los olivos"
"110",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",3,4,4,4,3,"E","Regular (sin apoyo alguno)",5,2,"Alquilado (compartido)",150,"san borja","ate"
"111",20,"Bioingeniería",2,"Lima Metropolitana o Callao",5,5,5,4,5,"E","Becado (beca 18, beca utec, etc.)",3,1,"Alquilado (compartido)",90,"san isidro","san isidro"
"112",23,"Bioingeniería",5,"Provincia",5,5,4,4,5,"D","Becado (beca 18, beca utec, etc.)",7,2,"Casa propia",60,"san borja","villa maria del triunfo"
"113",19,"Ing. Ambiental",3,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Con credito (ayuda financiera de UTEC)",5,4,"Casa propia",120,"san isidro","comas"
"114",20,"Ing. Ambiental",8,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",0,1,"Casa propia",120,"san isidro","santa anita"
"115",21,"Ing. Civil",8,"Lima Metropolitana o Callao",5,5,1,5,5,"E","Regular (sin apoyo alguno)",11,1,"Casa propia",70,"barranco","santiago de surco"
"116",20,"Ing. Civil",2,"Lima Metropolitana o Callao",5,5,3,5,5,"E","Becado (beca 18, beca utec, etc.)",3,2,"Casa propia",100,"san isidro","comas"
"117",18,"Bioingeniería",2,"Provincia",5,5,5,5,5,"D","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)",130,"san isidro","santiago de surco"
"118",18,"Ing. Electrónica",4,"Provincia",3,3,3,3,3,"E","Becado (beca 18, beca utec, etc.)",20,1,"Alquilado (compartido)",40,"chorrillos","chorrillos"
"119",20,"Ing. Electrónica",4,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",3,3,"Casa propia",70,"san isidro","jesús maría"
"120",20,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",5,3,5,5,4,"E","Becado (beca 18, beca utec, etc.)",15,3,"Casa propia",90,"san isidro","lurigancho"
"121",19,"Bioingeniería",2,"Provincia",5,5,5,4,4,"D","Becado (beca 18, beca utec, etc.)",1.5,1,"Alquilado (solo)",15,"pueblo libre","miraflores"
"122",19,"Ing. Civil",5,"Provincia",4,5,4,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (compartido)",10,"miraflores","barranco"
"123",21,"Ing. Ambiental",4,"Lima Metropolitana o Callao",5,4,4,5,4,"E","Becado (beca 18, beca utec, etc.)",6,2,"Casa propia",60,"pueblo libre","carabayllo"
"124",22,"Ing. Civil",5,"Provincia",5,3,4,4,3,"D","Regular (sin apoyo alguno)",5,2,"Alquilado (solo)",70,"san isidro","breña"
"125",19,"Ing. Ambiental",6,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Becado (beca 18, beca utec, etc.)",10,3,"Casa propia",80,"san borja","san juan de lurigancho"
"126",19,"Ing. Mecánica",4,"Lima Metropolitana o Callao",3,5,3,5,5,"C","Regular (sin apoyo alguno)",0,0,"Casa propia",15,"jesús maría","miraflores"
"127",20,"Ciencias de la computación",3,"Lima Metropolitana o Callao",4,5,4,5,4,"E","Regular (sin apoyo alguno)",7,1,"Alquilado (compartido)",90,"barranco","san martin de porres"
"128",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",4,5,5,5,5,"D","Regular (sin apoyo alguno)",2,1,"departamento",120,"san isidro","santiago de surco"
"129",19,"Ciencias de la computación",3,"Lima Metropolitana o Callao",5,5,3,5,3,"B","Regular (sin apoyo alguno)",3,1,"Casa propia",67,"san borja","surquillo"
"130",20,"Ing. Mecatrónica",5,"Lima Metropolitana o Callao",3,3,2,3,4,"E","Con credito (ayuda financiera de UTEC)",10,3,"Casa propia",25,"santa anita","santa anita"
"131",21,"Ing. Química",7,"Lima Metropolitana o Callao",4,4,5,5,3,"D","Regular (sin apoyo alguno)",5,2,"Alquilado (solo)",15,"san borja","san juan de lurigancho"
"132",18,"Ing. Civil",2,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)",30,"san isidro","surquillo"
"133",23,"Ing. Electrónica",7,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Regular (sin apoyo alguno)",7,2,"Casa propia",34,"ate","santa anita"
"134",18,"Ing. Química",2,"Lima Metropolitana o Callao",3,2,4,5,5,"C","Regular (sin apoyo alguno)",2,1,"Casa propia",150,"san borja","villa maria del triunfo"
"135",18,"Ing. Química",2,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",10,2,"Alquilado (solo)",34,"pueblo libre","san miguel"
"136",20,"Ciencias de datos",5,"Lima Metropolitana o Callao",3,4,5,4,5,"E","Regular (sin apoyo alguno)",10,3,"Casa propia",95,"san isidro","san isidro"
"137",16,"Ing. Mecatrónica",1,"Provincia",5,5,3,5,5,"E","Regular (sin apoyo alguno)",50,2,"Alquilado (compartido)",90,"san isidro","jesús maría"
"138",19,"Ing. Mecánica",5,"Lima Metropolitana o Callao",4,3,2,4,5,"E","Regular (sin apoyo alguno)",5,2,"Casa propia",34,"san borja","ate"
"139",21,"Ciencias de la computación",6,"Lima Metropolitana o Callao",2,4,3,3,4,"D","Regular (sin apoyo alguno)",10,1,"Casa propia",51,"chorrillos","villa el salvador"
"140",19,"Ing. Mecánica",5,"Provincia",3,3,3,3,3,"D","Regular (sin apoyo alguno)",2,1,"Casa propia",74,"san isidro","miraflores"
"141",23,"Ing. Mecánica",5,"Provincia",5,5,5,5,5,"D","Regular (sin apoyo alguno)",12,1,"Alquilado (compartido)",63,"san borja","santiago de surco"
"142",18,"Ing. Industrial",1,"Lima Metropolitana o Callao",5,5,5,5,5,"D","Regular (sin apoyo alguno)",8,3,"Casa propia",95,"surco","santiago de surco"
"143",18,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",5,5,5,5,4,"D","Regular (sin apoyo alguno)",3,1,"Casa propia",55,"san isidro","chorrillos"
"144",19,"Administración y negocios digitales",5,"Lima Metropolitana o Callao",5,4,5,5,3,"E","Con credito (ayuda financiera de UTEC)",5,1,"Casa propia",45,"pueblo libre","santiago de surco"
"145",20,"Administración y negocios digitales",5,"Lima Metropolitana o Callao",4,4,5,5,5,"D","Con credito (ayuda financiera de UTEC)",2,1,"Casa propia",20,"jesús maría","miraflores"
"146",20,"Ing. Civil",4,"Lima Metropolitana o Callao",5,5,3,4,4,"C","Becado (beca 18, beca utec, etc.)",6,2,"Casa propia",40,"san isidro","santa anita"
"147",18,"Ing. Civil",4,"Lima Metropolitana o Callao",3,3,4,4,4,"E","Becado (beca 18, beca utec, etc.)",7.5,2,"Casa propia",109,"san isidro","independencia"
"148",20,"Ing. Ambiental",5,"Lima Metropolitana o Callao",5,5,5,5,3,"E","Regular (sin apoyo alguno)",6,2,"Casa propia",120,"san borja","santa anita"
"149",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",3,4,4,4,1,"D","Regular (sin apoyo alguno)",30,1,"Casa propia",65,"pueblo libre","pueblo libre"
"150",17,"Ciencias de la computación",2,"Lima Metropolitana o Callao",5,3,3,4,5,"B","Regular (sin apoyo alguno)",5,2,"Casa propia",60,"surco","santiago de surco"
