FECHA,REGION,MODALIDAD,FALLECIDOS,HERIDOS
20200116,JUNIN,DESPISTE,0,0
20200116,ICA,ATROPELLO,0,2
20200116,ANCASH,DESPISTE,0,0
20200116,AREQUIPA,CHOQUE,2,0
20200117,JUNIN,DESPISTE,0,0
20200117,ANCASH,DESPISTE,1,0
20200117,AREQUIPA,DESPISTE,1,9
20200117,LIMA,DESPISTE,0,0
20200118,JUNIN,DESPISTE,0,0
20200118,LAMBAYEQUE,CHOQUE,0,1
20200118,LIMA,DESPISTE,0,0
20200118,JUNIN,DESPISTE,0,4
20200118,AREQUIPA,DESPISTE,0,0
20200118,LIMA,CHOQUE,0,1
20200118,LA LIBERTAD,CHOQUE,0,1
20200118,LIMA,DESPISTE,0,0
20200118,LIMA,ESPECIAL,0,0
20200118,PUNO,DESPISTE,0,0
20200118,PUNO,DESPISTE,0,0
20200119,LA LIBERTAD,CHOQUE,0,14
20200119,PUNO,CHOQUE,0,3
20200119,PIURA,DESPISTE,0,1
20200119,AREQUIPA,CHOQUE,0,4
20200119,ICA,DESPISTE,0,1
20200119,LIMA,DESPISTE,0,0
20200119,LA LIBERTAD,CHOQUE,0,1
20200120,JUNIN,DESPISTE,0,3
20200120,ANCASH,CHOQUE,0,0
20200120,LAMBAYEQUE,ATROPELLO,0,1
20200120,LA LIBERTAD,CHOQUE,1,0
20200120,LIMA,CHOQUE,0,0
20200120,AREQUIPA,DESPISTE,0,0
20200120,LIMA,DESPISTE,0,0
20200120,AREQUIPA,DESPISTE,1,5
20200120,LIMA,DESPISTE,0,7
20200120,JUNIN,DESPISTE,0,0
20200120,PIURA,ATROPELLO,0,1
20200120,ICA,ATROPELLO,1,0
20200120,ICA,ATROPELLO,1,0
20200120,AREQUIPA,DESPISTE,0,0
20200121,JUNIN,DESPISTE,0,1
20200121,LIMA,CHOQUE,0,0
20200121,LIMA,CHOQUE,0,2
20200121,ANCASH,DESPISTE,0,1
20200121,JUNIN,ATROPELLO,0,1
20200121,ANCASH,CHOQUE,0,0
20200121,ICA,ATROPELLO,0,1
20200121,ICA,ATROPELLO,0,1
20200121,ANCASH,DESPISTE,0,3
20200121,ANCASH,DESPISTE,0,4
20200121,ANCASH,DESPISTE,0,1
20200121,LAMBAYEQUE,CHOQUE,0,9
20200122,JUNIN,DESPISTE,0,1
20200122,JUNIN,CHOQUE,2,8
20200122,JUNIN,DESPISTE,0,1
20200122,LIMA,DESPISTE,0,0
20200122,LIMA,ESPECIAL,0,2
20200122,LIMA,CHOQUE,0,0
20200122,AREQUIPA,DESPISTE,0,2
20200122,ICA,CHOQUE,0,5
20200122,ICA,DESPISTE,0,0
20200122,ANCASH,CHOQUE,1,2
20200122,LA LIBERTAD,ESPECIAL,0,0
20200122,ANCASH,DESPISTE,0,1
20200122,AREQUIPA,DESPISTE,0,0
20200122,AREQUIPA,DESPISTE,4,18
20200122,MOQUEGUA,CHOQUE,0,1
20200123,LIMA,CHOQUE,0,2
20200123,AREQUIPA,CHOQUE,0,0
20200123,AREQUIPA,CHOQUE,0,2
20200123,LIMA,DESPISTE,0,0
20200123,LIMA,CHOQUE,0,3
20200123,LIMA,CHOQUE,0,0
20200123,AREQUIPA,CHOQUE,0,1
20200123,LIMA,DESPISTE,0,1
20200123,JUNIN,DESPISTE,0,0
20200123,PUNO,DESPISTE,0,0
20200123,PUNO,DESPISTE,0,1
20200123,ANCASH,CHOQUE,0,3
20200123,AREQUIPA,DESPISTE,0,0
20200123,PIURA,DESPISTE,3,16
20200123,LIMA,ESPECIAL,0,1
20200124,JUNIN,DESPISTE,0,1
20200124,LIMA,DESPISTE,1,0
20200124,LIMA,CHOQUE,0,1
20200124,JUNIN,DESPISTE,0,0
20200124,JUNIN,CHOQUE,0,1
20200124,JUNIN,DESPISTE,0,4
20200124,AREQUIPA,CHOQUE,0,5
20200124,ICA,CHOQUE,0,1
20200124,ICA,CHOQUE,0,0
20200124,LA LIBERTAD,CHOQUE,1,0
20200124,PUNO,CHOQUE,0,1
20200125,LIMA,DESPISTE,0,0
20200125,LIMA,CHOQUE,0,1
20200125,JUNIN,DESPISTE,0,0
20200125,JUNIN,DESPISTE,0,0
20200125,LIMA,DESPISTE,0,0
20200125,LA LIBERTAD,CHOQUE,0,1
20200125,LAMBAYEQUE,DESPISTE,0,1
20200125,LIMA,CHOQUE,0,4
20200125,JUNIN,CHOQUE,0,0
20200125,PUNO,CHOQUE,0,0
20200125,ANCASH,CHOQUE,0,0
20200125,ANCASH,CHOQUE,0,0
20200125,LAMBAYEQUE,ATROPELLO,0,1
20200126,JUNIN,CHOQUE,0,1
20200126,JUNIN,CHOQUE,0,5
20200126,AREQUIPA,DESPISTE,0,0
20200126,PUNO,DESPISTE,0,2
20200126,LIMA,CHOQUE,0,1
20200126,AREQUIPA,CHOQUE,0,0
20200126,LIMA,CHOQUE,0,2
20200126,LIMA,ATROPELLO,1,0
20200126,ANCASH,DESPISTE,0,0
20200126,ANCASH,DESPISTE,0,1
20200126,ANCASH,DESPISTE,0,2
20200126,ANCASH,DESPISTE,0,0
20200126,ANCASH,DESPISTE,0,0
20200126,AREQUIPA,CHOQUE,0,0
20200126,PIURA,CHOQUE,0,0
20200127,AREQUIPA,DESPISTE,0,0
20200127,JUNIN,DESPISTE,0,0
20200127,JUNIN,DESPISTE,0,0
20200127,LIMA,CHOQUE,0,1
20200127,LIMA,DESPISTE,0,0
20200127,LIMA,CHOQUE,0,1
20200127,LIMA,DESPISTE,0,4
20200127,LIMA,DESPISTE,0,1
20200127,LIMA,CHOQUE,0,0
20200127,ANCASH,DESPISTE,1,3
20200127,AREQUIPA,DESPISTE,0,0
20200127,PUNO,CHOQUE,0,1
20200128,AREQUIPA,DESPISTE,0,2
20200128,AREQUIPA,DESPISTE,0,1
20200128,LIMA,CHOQUE,0,2
20200128,JUNIN,DESPISTE,0,2
20200128,LIMA,DESPISTE,0,0
20200128,JUNIN,DESPISTE,0,0
20200128,JUNIN,DESPISTE,0,0
20200128,LIMA,CHOQUE,0,2
20200128,LIMA,CHOQUE,0,1
20200128,LIMA,CHOQUE,0,6
20200128,LIMA,DESPISTE,0,0
20200128,JUNIN,DESPISTE,0,1
20200128,JUNIN,DESPISTE,0,0
20200128,ICA,CHOQUE,0,4
20200128,AREQUIPA,DESPISTE,0,0
20200128,AREQUIPA,CHOQUE,0,3
20200128,PUNO,CHOQUE,1,7
20200129,AREQUIPA,VOLCADURA,0,0
20200129,LIMA,CHOQUE,0,0
20200129,LIMA,CHOQUE,0,0
20200129,JUNIN,CHOQUE,0,0
20200129,ICA,CHOQUE,0,1
20200129,PIURA,CHOQUE,0,2
20200129,PUNO,CHOQUE,0,1
20200130,LIMA,CHOQUE,1,2
20200130,PUNO,DESPISTE,1,2
20200130,PIURA,DESPISTE,0,2
20200130,PUNO,DESPISTE,0,2
20200130,ICA,CHOQUE,0,0
20200130,ICA,CHOQUE,0,0
20200130,AREQUIPA,CHOQUE,0,0
20200130,LAMBAYEQUE,CHOQUE,0,0
20200130,MOQUEGUA,DESPISTE,0,3
20200130,PUNO,DESPISTE,0,0
20200130,PUNO,DESPISTE,0,11
20200131,LIMA,CHOQUE,0,0
20200131,LIMA,CHOQUE,0,2
20200131,JUNIN,CHOQUE,0,1
20200131,LIMA,DESPISTE,0,0
20200131,LIMA,CHOQUE,0,2
20200131,LIMA,DESPISTE,0,1
20200131,LIMA,CHOQUE,0,0
20200131,LIMA,ESPECIAL,0,0
20200131,ICA,CHOQUE,0,4
20200131,PUNO,DESPISTE,0,0
20200131,AREQUIPA,CHOQUE,0,0
20200131,PIURA,ESPECIAL,0,0
20200201,JUNIN,DESPISTE,0,1
20200201,JUNIN,ATROPELLO,1,2
20200201,LIMA,DESPISTE,0,0
20200201,MOQUEGUA,CHOQUE,0,1
20200201,ICA,CHOQUE,1,6
20200201,ICA,DESPISTE,0,2
20200201,AREQUIPA,DESPISTE,0,1
20200202,LA LIBERTAD,CHOQUE,0,6
20200202,LIMA,CHOQUE,0,1
20200202,JUNIN,DESPISTE,0,2
20200202,AREQUIPA,CHOQUE,2,2
20200202,LIMA,DESPISTE,0,1
20200202,LIMA,CHOQUE,0,3
20200202,LIMA,CHOQUE,0,12
20200202,LIMA,CHOQUE,0,1
20200202,JUNIN,CHOQUE,0,5
20200202,LIMA,CHOQUE,0,2
20200202,JUNIN,ATROPELLO,1,0
20200202,LIMA,DESPISTE,0,0
20200202,JUNIN,CHOQUE,0,4
20200202,MOQUEGUA,DESPISTE,0,0
20200202,ANCASH,CHOQUE,0,0
20200202,AREQUIPA,DESPISTE,0,1
20200202,AREQUIPA,DESPISTE,0,1
20200203,JUNIN,DESPISTE,0,0
20200203,PIURA,DESPISTE,0,2
20200203,LIMA,DESPISTE,0,1
20200203,LIMA,DESPISTE,1,20
20200203,LIMA,DESPISTE,1,0
20200203,LIMA,CHOQUE,0,1
20200203,ICA,DESPISTE,0,0
20200203,ANCASH,DESPISTE,0,0
20200203,LA LIBERTAD,CHOQUE,0,2
20200203,AREQUIPA,CHOQUE,0,7
20200203,PIURA,CHOQUE,0,1
20200204,MOQUEGUA,CHOQUE,0,8
20200204,LIMA,DESPISTE,0,2
20200204,LIMA,ESPECIAL,0,0
20200204,ICA,ATROPELLO,1,0
20200204,PUNO,ATROPELLO,0,1
20200204,PUNO,DESPISTE,0,1
20200204,ANCASH,DESPISTE,1,2
20200204,PUNO,ATROPELLO,1,0
20200204,ICA,ATROPELLO,1,1
20200204,LAMBAYEQUE,DESPISTE,0,2
20200204,PIURA,CHOQUE,0,1
20200204,PUNO,ATROPELLO,1,0
20200205,LIMA,ATROPELLO,1,0
20200205,LIMA,CHOQUE,0,1
20200205,JUNIN,DESPISTE,0,0
20200205,LIMA,DESPISTE,0,2
20200205,LAMBAYEQUE,DESPISTE,0,6
20200205,AREQUIPA,CHOQUE,7,5
20200205,PIURA,DESPISTE,0,1
20200205,PUNO,DESPISTE,0,2
20200206,PIURA,DESPISTE,0,1
20200206,LIMA,DESPISTE,1,0
20200206,JUNIN,CHOQUE,0,2
20200206,JUNIN,CHOQUE,0,9
20200206,AREQUIPA,CHOQUE,0,1
20200206,ICA,CHOQUE,0,1
20200206,PUNO,DESPISTE,0,1
20200206,AREQUIPA,CHOQUE,0,0
20200207,LA LIBERTAD,CHOQUE,2,2
20200207,ANCASH,CHOQUE,1,0
20200207,JUNIN,CHOQUE,0,0
20200207,ANCASH,DESPISTE,0,0
20200207,AREQUIPA,DESPISTE,0,3
20200207,LIMA,DESPISTE,0,0
20200207,AREQUIPA,CHOQUE,0,0
20200207,LIMA,DESPISTE,0,0
20200207,JUNIN,ATROPELLO,1,0
20200207,ANCASH,CHOQUE,0,4
20200207,MOQUEGUA,CHOQUE,0,0
20200207,LIMA,ATROPELLO,1,0
20200207,ICA,CHOQUE,0,2
20200207,ANCASH,CHOQUE,0,1
20200208,PIURA,CHOQUE,0,2
20200208,AREQUIPA,CHOQUE,0,0
20200208,LIMA,DESPISTE,0,0
20200208,LIMA,CHOQUE,0,1
20200208,LIMA,DESPISTE,0,0
20200208,JUNIN,CHOQUE,0,0
20200208,LIMA,ATROPELLO,0,1
20200208,LIMA,CHOQUE,0,0
20200208,LIMA,CHOQUE,0,0
20200208,JUNIN,DESPISTE,0,4
20200208,JUNIN,CHOQUE,1,2
20200208,LIMA,DESPISTE,0,0
20200208,PUNO,DESPISTE,0,0
20200208,ANCASH,CHOQUE,0,0
20200208,AREQUIPA,DESPISTE,0,0
20200208,AREQUIPA,CHOQUE,0,3
20200208,LAMBAYEQUE,CHOQUE,0,1
20200208,AREQUIPA,DESPISTE,0,1
20200209,PIURA,DESPISTE,0,2
20200209,LIMA,CHOQUE,0,1
20200209,LIMA,DESPISTE,0,2
20200209,LIMA,ATROPELLO,0,1
20200209,LIMA,CHOQUE,0,3
20200209,AREQUIPA,CHOQUE,0,1
20200209,LIMA,DESPISTE,0,1
20200209,LIMA,CHOQUE,1,0
20200209,AREQUIPA,CHOQUE,0,4
20200209,MOQUEGUA,DESPISTE,0,2
20200209,LIMA,CHOQUE,0,2
20200209,ICA,ESPECIAL,0,0
20200209,ANCASH,DESPISTE,1,1
20200209,LAMBAYEQUE,CHOQUE,0,0
20200210,AREQUIPA,CHOQUE,0,0
20200210,LIMA,CHOQUE,1,16
20200210,LIMA,ATROPELLO,0,1
20200210,LIMA,DESPISTE,0,1
20200210,LIMA,DESPISTE,0,3
20200210,LIMA,CHOQUE,0,3
20200210,AREQUIPA,DESPISTE,0,3
20200210,PUNO,DESPISTE,1,2
20200210,AREQUIPA,CHOQUE,0,2
20200211,LIMA,CHOQUE,0,0
20200211,AREQUIPA,DESPISTE,0,0
20200211,LIMA,CHOQUE,0,1
20200211,AREQUIPA,CHOQUE,0,2
20200211,LIMA,CHOQUE,0,3
20200211,ICA,CHOQUE,0,4
20200211,ANCASH,DESPISTE,0,0
20200211,LAMBAYEQUE,CHOQUE,0,1
20200211,PUNO,CHOQUE,0,1
20200212,JUNIN,DESPISTE,0,3
20200212,ICA,DESPISTE,0,1
20200212,PUNO,DESPISTE,0,0
20200212,ICA,DESPISTE,0,2
20200212,PUNO,DESPISTE,0,0
20200212,AREQUIPA,DESPISTE,0,0
20200213,JUNIN,DESPISTE,0,1
20200213,PIURA,DESPISTE,0,0
20200213,ANCASH,CHOQUE,0,2
20200213,LIMA,CHOQUE,0,0
20200213,LIMA,ATROPELLO,1,0
20200213,JUNIN,CHOQUE,3,3
20200213,MOQUEGUA,DESPISTE,0,1
20200213,ICA,CHOQUE,0,1
20200213,ANCASH,DESPISTE,0,1
20200213,ICA,DESPISTE,1,3
20200213,LAMBAYEQUE,CHOQUE,0,1
20200213,PIURA,CHOQUE,0,1
20200214,LIMA,DESPISTE,0,0
20200214,ANCASH,CHOQUE,0,9
20200214,LIMA,CHOQUE,0,4
20200214,ANCASH,DESPISTE,0,1
20200214,LIMA,ATROPELLO,1,0
20200214,LIMA,DESPISTE,0,0
20200214,LIMA,CHOQUE,0,3
20200214,ANCASH,DESPISTE,0,0
20200214,LIMA,CHOQUE,0,0
20200214,JUNIN,CHOQUE,0,0
20200214,JUNIN,ATROPELLO,0,1
20200214,ICA,CHOQUE,0,0
20200214,ANCASH,CHOQUE,0,2
20200214,AREQUIPA,CHOQUE,0,0
20200214,AREQUIPA,CHOQUE,0,1
20200214,PIURA,CHOQUE,0,1
20200214,MOQUEGUA,CHOQUE,0,0
20200215,MOQUEGUA,DESPISTE,0,0
20200215,LIMA,ATROPELLO,0,1
20200215,LIMA,DESPISTE,1,1
20200215,LIMA,CHOQUE,0,0
20200215,PIURA,DESPISTE,6,42
20200215,ANCASH,DESPISTE,0,4
20200215,ICA,DESPISTE,0,15
20200215,ANCASH,DESPISTE,0,1
20200215,LA LIBERTAD,CHOQUE,1,9
20200215,LA LIBERTAD,ESPECIAL,0,1
20200216,LIMA,CHOQUE,1,0
20200216,AREQUIPA,DESPISTE,0,0
20200216,LAMBAYEQUE,DESPISTE,2,3
20200216,LIMA,CHOQUE,0,1
20200216,AREQUIPA,DESPISTE,0,1
20200216,LIMA,DESPISTE,0,0
20200216,LIMA,DESPISTE,0,8
20200216,LIMA,CHOQUE,0,2
20200216,LIMA,ATROPELLO,0,1
20200216,ICA,CHOQUE,0,1
20200216,ICA,DESPISTE,0,1
20200216,ICA,CHOQUE,0,1
20200216,ANCASH,ATROPELLO,1,0
20200216,ANCASH,CHOQUE,0,1
20200216,LA LIBERTAD,DESPISTE,0,4
20200216,LAMBAYEQUE,CHOQUE,0,6
20200216,PUNO,CHOQUE,0,1
20200216,PUNO,DESPISTE,0,2
20200217,LIMA,CHOQUE,0,0
20200217,AREQUIPA,CHOQUE,0,0
20200217,LIMA,DESPISTE,0,0
20200217,JUNIN,DESPISTE,0,0
20200217,PUNO,CHOQUE,0,0
20200217,JUNIN,DESPISTE,0,5
20200217,ANCASH,CHOQUE,0,2
20200217,MOQUEGUA,CHOQUE,0,6
20200217,JUNIN,DESPISTE,0,0
20200217,PUNO,DESPISTE,0,4
20200217,ANCASH,DESPISTE,0,0
20200217,AREQUIPA,DESPISTE,0,1
20200217,AREQUIPA,CHOQUE,1,4
20200217,PUNO,CHOQUE,0,4
20200218,ANCASH,CHOQUE,0,0
20200218,LIMA,DESPISTE,0,1
20200218,LIMA,CHOQUE,0,0
20200218,AREQUIPA,DESPISTE,0,1
20200218,AREQUIPA,CHOQUE,0,3
20200219,LAMBAYEQUE,DESPISTE,0,4
20200219,ANCASH,DESPISTE,0,0
20200219,LIMA,CHOQUE,0,2
20200219,JUNIN,CHOQUE,0,11
20200219,ANCASH,DESPISTE,0,1
20200219,ANCASH,CHOQUE,0,2
20200219,AREQUIPA,CHOQUE,0,2
20200219,AREQUIPA,CHOQUE,0,1
20200220,AREQUIPA,DESPISTE,0,0
20200220,AREQUIPA,DESPISTE,0,3
20200220,AREQUIPA,DESPISTE,0,0
20200220,LIMA,CHOQUE,0,1
20200220,LIMA,CHOQUE,0,0
20200220,LIMA,ATROPELLO,1,0
20200220,ANCASH,DESPISTE,0,4
20200220,AREQUIPA,DESPISTE,0,0
20200220,AREQUIPA,DESPISTE,0,0
20200221,AREQUIPA,CHOQUE,0,0
20200221,LIMA,DESPISTE,0,0
20200221,LAMBAYEQUE,DESPISTE,0,1
20200221,JUNIN,CHOQUE,0,0
20200221,AREQUIPA,CHOQUE,0,0
20200221,JUNIN,CHOQUE,0,1
20200221,ICA,DESPISTE,2,1
20200221,AREQUIPA,CHOQUE,0,1
20200221,ANCASH,DESPISTE,1,2
20200221,AREQUIPA,DESPISTE,0,0
20200221,PIURA,DESPISTE,0,0
20200222,PUNO,DESPISTE,0,1
20200222,LIMA,DESPISTE,0,0
20200222,ANCASH,DESPISTE,0,1
20200222,JUNIN,CHOQUE,0,8
20200222,LAMBAYEQUE,CHOQUE,1,3
20200222,JUNIN,ATROPELLO,1,1
20200222,JUNIN,CHOQUE,0,0
20200222,JUNIN,CHOQUE,0,1
20200222,AREQUIPA,CHOQUE,0,2
20200222,LIMA,CHOQUE,0,0
20200222,LIMA,ESPECIAL,0,0
20200222,PUNO,DESPISTE,0,0
20200222,JUNIN,CHOQUE,2,9
20200222,JUNIN,DESPISTE,0,0
20200222,ANCASH,DESPISTE,0,3
20200222,ICA,DESPISTE,0,1
20200222,ANCASH,DESPISTE,0,0
20200222,PUNO,DESPISTE,0,2
20200223,ICA,DESPISTE,0,8
20200223,LIMA,DESPISTE,0,2
20200223,JUNIN,DESPISTE,0,0
20200223,AREQUIPA,DESPISTE,0,0
20200223,MOQUEGUA,CHOQUE,0,2
20200223,JUNIN,CHOQUE,0,3
20200223,LIMA,DESPISTE,0,3
20200223,AREQUIPA,DESPISTE,0,0
20200223,LIMA,DESPISTE,0,2
20200223,JUNIN,DESPISTE,0,3
20200223,AREQUIPA,CHOQUE,0,1
20200223,ICA,DESPISTE,2,0
20200223,ICA,CHOQUE,0,2
20200223,LIMA,DESPISTE,0,2
20200223,LA LIBERTAD,CHOQUE,0,0
20200223,ANCASH,CHOQUE,0,1
20200223,AREQUIPA,CHOQUE,0,1
20200223,PUNO,DESPISTE,0,1
20200223,PUNO,CHOQUE,0,2
20200223,PUNO,CHOQUE,2,20
20200224,AREQUIPA,CHOQUE,9,71
20200224,LIMA,DESPISTE,0,0
20200224,JUNIN,CHOQUE,0,3
20200224,JUNIN,CHOQUE,1,0
20200224,PUNO,DESPISTE,0,11
20200224,JUNIN,CHOQUE,0,0
20200224,PIURA,DESPISTE,0,0
20200224,PUNO,DESPISTE,0,0
20200225,JUNIN,DESPISTE,0,0
20200225,LIMA,DESPISTE,0,2
20200225,LIMA,DESPISTE,0,0
20200225,PIURA,DESPISTE,1,1
20200225,LIMA,CHOQUE,0,2
20200225,JUNIN,DESPISTE,0,0
20200225,JUNIN,DESPISTE,0,0
