"Marca temporal","Edad (años)","Sexo","Carrera","¿Qué tipo de dispositivo usas con mayor  frecuencia?","¿Cuánto tiempo, en promedio, usas tu celular al día? En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto dura, en promedio, la batería de tu celular?  En minutos (Recordar: 1 hora = 60 minutos)","¿A qué edad usaste tu primer celular? En años (Ejemplo: 18)","Después de que se descarga tu celular, ¿por cuánto tiempo, en promedio, lo dejas cargando? En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto tiempo, en promedio, le dedicas a las redes sociales al día? En minutos  (Recordar: 1 hora = 60 minutos)","¿Por cuánto tiempo, en promedio, dejas de usar tu celular al día? En minutos.  ","Nivel de angustia sin celular: 1 nada angustiado y 5 muy angustiado.","¿Qué tan angustiado te sientes al ver tu celular con baja bateria?  1 Nada angustiado y 5 Muy angustiado.","¿Qué nivel de importancia tiene usar tu celular para tus estudios?  1 Nada importante y 5 Muy importante.","¿Con qué frecuencia juegas videojuegos? 1 Nada frecuente y 5 Muy frecuente.","¿En qué lugar usas mayormente tu celular?","¿Cuántos minutos esperas para volver a usar tu celular luego de dejarlo cargando? (en minutos)","¿Cuánto tiempo usaste tu celular desde la última carga, segun tu celular? (en minutos)","¿Cuánto tiempo de duración tiene tu batería desde tu ultima carga, segun tu celular?  En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto tiempo no usas tu celular en el día, segun tu celular? (en minutos)",""
"2022/11/12 7:06:33 p. m. GMT-5","20","Masculino","Ingeniería Ambiental","Celular","420","950","16","150","180","30","4","5","5","2","En los medios de transporte","180","220","200","180",""
"2022/11/12 7:09:42 p. m. GMT-5","21","Masculino","Ingeniería Civil","Laptop","250","1000","12","100","50","200","5","5","5","5","Pasillos de UTEC","200","180","300","250",""
"2022/11/12 7:11:03 p. m. GMT-5","25","Masculino","Bioingeniería","Celular","450","950","15","200","180","50","4","4","4","5","Pasillos de UTEC","50","100","200","150",""
"2022/11/12 7:12:19 p. m. GMT-5","22","Femenino","Bioingeniería","Celular","300","1020","10","200","220","55","4","5","5","2","Ambientes del piso 6","45","100","200","250",""
"2022/11/12 7:14:20 p. m. GMT-5","20","Femenino","Administración y Negocios Digitales","Laptop","250","955","13","160","180","55","5","5","4","1","Ambientes del piso 6","190","220","200","150",""
"2022/11/12 7:17:19 p. m. GMT-5","20","Femenino","Ingeniería Industrial","Celular","300","1020","15","200","220","45","5","5","5","5","Ambientes del piso 6","45","240","200","180",""
"2022/11/12 7:18:59 p. m. GMT-5","21","Femenino","Ingeniería Industrial","Celular","250","1000","11","300","210","45","5","4","5","3","Pasillos de UTEC","55","190","280","240",""
"2022/11/12 7:21:56 p. m. GMT-5","20","Masculino","Ingeniería Civil","Celular","270","950","13","280","180","120","4","5","4","2","Casa","230","210","290","220",""
"2022/11/12 7:24:04 p. m. GMT-5","22","Masculino","Ciencia de la Computación","Celular","300","930","12","180","200","220","5","4","4","5","Casa","50","190","320","290",""
"2022/11/12 7:25:36 p. m. GMT-5","21","Masculino","Ciencia de la Computación","Laptop","450","1050","10","300","290","220","5","5","5","5","Casa","55","210","350","150",""
"2022/11/12 7:28:23 p. m. GMT-5","22","Femenino","Ingeniería Ambiental","Celular","280","1020","12","300","210","120","5","4","5","4","Casa","50","210","200","180",""
"2022/11/12 7:30:07 p. m. GMT-5","19","Masculino","Ciencia de la Computación","Celular","300","950","25","180","200","50","5","5","5","5","Casa","60","220","320","200",""
"2022/11/12 8:47:07 p. m. GMT-5","19","Masculino","Ingeniería Mecatrónica","Laptop","490","990","11","290","180","500","2","3","2","3","Casa","45","120","280","200",""
"2022/11/12 10:01:36 p. m. GMT-5","18","Masculino","Ingeniería Mecánica","Celular","330","1030","13","200","100","470","3","2","3","3","En los medios de transporte","34","92","283","185",""
"2022/11/12 10:15:34 p. m. GMT-5","19","Masculino","Administración y Negocios Digitales","Pc","340","970","14","210","90","460","2","2","2","4","En los medios de transporte","20","160","310","194",""
"2022/11/12 10:36:20 p. m. GMT-5","17","Masculino","Ingeniería de la Energía","Celular","420","930","12","340","170","210","5","3","5","3","Sala de estudios","19","170","277","176",""
"2022/11/12 10:53:10 p. m. GMT-5","18","Masculino","Ingeniería de la Energía","Celular","480","900","14","330","210","270","5","3","4","4","Sala de estudios","14","172","274","171",""
"2022/11/12 11:07:21 p. m. GMT-5","17","Femenino","Ingeniería Mecánica","Celular","480","930","11","360","240","180","5","5","5","1","Sala de estudios","10","233","186","129",""
"2022/11/12 11:19:52 p. m. GMT-5","19","Masculino","Ingeniería Química","Celular","420","960","14","330","210","210","5","2","5","3","Sala de estudios","10","188","266","163",""
"2022/11/12 11:40:01 p. m. GMT-5","19","Masculino","Ingeniería Electrónica","Laptop","390","930","14","270","150","480","5","5","5","5","Sala de estudios","25","123","292","251",""
"2022/11/13 11:43:14 a. m. GMT-5","19","Femenino","Ingeniería Mecatrónica","Celular","360","900","15","180","120","360","4","3","3","2","Pasillos de UTEC","60","178","305","179",""
"2022/11/13 11:57:55 a. m. GMT-5","19","Masculino","Bioingeniería","Celular","360","900","15","180","120","360","4","3","3","2","En los medios de transporte","30","183","293","184",""
"2022/11/13 12:15:54 p. m. GMT-5","20","Femenino","Ingeniería Civil","Celular","360","900","15","180","120","360","4","3","3","2","En los medios de transporte","30","179","299","181",""
"2022/11/13 12:53:53 p. m. GMT-5","21","Masculino","Ingeniería Electrónica","Celular","360","900","15","120","120","360","4","3","4","2","Pasillos de UTEC","60","117","301","181",""
"2022/11/13 1:21:13 p. m. GMT-5","18","Masculino","Ciencia de Datos","Celular","360","900","15","120","120","360","4","3","4","2","Pasillos de UTEC","30","180","299","176",""
"2022/11/13 1:44:44 p. m. GMT-5","18","Masculino","Bioingeniería","Celular","420","960","15","90","60","420","4","3","4","1","En los medios de transporte","30","178","305","188",""
"2022/11/13 2:30:26 p. m. GMT-5","20","Femenino","Ingeniería Industrial","Celular","420","900","15","90","60","420","4","3","4","2","Pasillos de UTEC","30","186","300","240",""
"2022/11/13 2:46:58 p. m. GMT-5","17","Masculino","Ciencia de la Computación","Tablet","700","240","10","280","30","100","2","2","4","2","Salón de clase","60","120","360","350",""
"2022/11/13 2:50:38 p. m. GMT-5","18","Femenino","Ingeniería Industrial","Celular","700","450","13","120","150","100","3","2","3","4","Ambientes del piso 6","50","165","278","100",""
"2022/11/13 2:53:11 p. m. GMT-5","22","Femenino","Ingeniería Química","Laptop","500","250","12","368","200","120","4","3","4","3","Pasillos de UTEC","80","30","360","60",""
"2022/11/13 2:55:06 p. m. GMT-5","21","Masculino","Ciencia de la Computación","Celular","420","900","15","90","120","420","4","3","4","1","En los medios de transporte","30","180","300","237",""
"2022/11/13 2:55:30 p. m. GMT-5","19","Masculino","Ingeniería Ambiental","Laptop","400","500","17","120","100","170","4","4","4","3","Salón de clase","60","120","100","60",""
"2022/11/13 3:03:33 p. m. GMT-5","20","Femenino","Bioingeniería","Laptop","560","1050","10","135","155","120","4","4","5","4","Sala de estudios","25","200","190","100",""
"2022/11/13 3:07:16 p. m. GMT-5","18","Masculino","Administración y Negocios Digitales","Laptop","200","900","13","120","40","200","4","3","5","3","Ambientes del piso 6","50","205","193","276",""
"2022/11/13 3:09:37 p. m. GMT-5","19","Masculino","Ingeniería Ambiental","Tablet","240","905","11","110","200","60","3","4","5","2","Salón de clase","35","200","207","203",""
"2022/11/13 3:12:08 p. m. GMT-5","20","Femenino","Ingeniería Electrónica","Celular","400","1020","10","120","200","100","3","2","4","1","Ambientes del piso 6","22","103","192","55",""
"2022/11/13 3:14:54 p. m. GMT-5","22","Masculino","Ciencia de la Computación","Laptop","240","950","11","120","200","100","5","5","5","5","Sala de estudios","30","125","212","205",""
"2022/11/13 3:17:07 p. m. GMT-5","18","Femenino","Ingeniería Civil","Celular","250","900","12","150","20","150","3","2","3","3","Pasillos de UTEC","50","65","360","120",""
"2022/11/13 3:20:26 p. m. GMT-5","19","Femenino","Bioingeniería","Celular","250","950","12","120","100","90","3","2","4","3","Sala de estudios","25","120","258","135",""
"2022/11/13 3:22:27 p. m. GMT-5","23","Masculino","Ingeniería de la Energía","Celular","300","1020","10","160","150","120","3","2","4","4","Ambientes del piso 6","35","208","189","123",""
"2022/11/13 3:24:01 p. m. GMT-5","22","Femenino","Ingeniería Civil","Tablet","260","900","13","150","50","65","4","4","5","3","Ambientes del piso 6","60","188","262","60",""
"2022/11/13 3:25:35 p. m. GMT-5","20","Femenino","Ingeniería Ambiental","Celular","300","930","14","140","200","120","3","3","4","2","Sala de estudios","30","183","100","73",""
"2022/11/13 3:31:39 p. m. GMT-5","21","Masculino","Ciencia de la Computación","Celular","360","960","15","90","120","360","4","3","4","2","En los medios de transporte","15","180","300","180",""
"2022/11/13 4:05:16 p. m. GMT-5","21","Masculino","Ingeniería Industrial","Celular","360","960","15","90","120","360","1","1","4","1","En los medios de transporte","15","180","300","179",""
"2022/11/13 4:14:54 p. m. GMT-5","21","Masculino","Ingeniería Civil","Celular","250","900","12","110","90","100","3","2","2","1","Ambientes del piso 6","50","199","200","130",""
"2022/11/13 4:17:49 p. m. GMT-5","20","Femenino","Administración y Negocios Digitales","Laptop","300","1000","17","100","50","130","3","5","4","3","Pasillos de UTEC","20","180","274","175",""
"2022/11/13 4:19:59 p. m. GMT-5","22","Masculino","Ingeniería Electrónica","Laptop","300","980","11","150","50","90","5","4","4","3","Cubículo","30","200","243","154",""
"2022/11/13 4:23:33 p. m. GMT-5","19","Masculino","Ingeniería Mecatrónica","Tablet","305","1000","10","150","100","50","4","3","4","1","Cubículo","20","188","305","100",""
"2022/11/13 4:25:47 p. m. GMT-5","23","Masculino","Ingeniería de la Energía","Celular","360","1054","16","160","60","80","3","4","4","2","Pasillos de UTEC","60","267","305","145",""
"2022/11/13 4:28:26 p. m. GMT-5","17","Femenino","Ingeniería Mecánica","Tablet","343","1004","12","125","30","100","4","3","4","3","Cubículo","25","254","301","104",""
"2022/11/13 4:32:03 p. m. GMT-5","19","Masculino","Ingeniería de la Energía","Celular","300","1043","15","120","45","130","5","4","5","2","Ambientes del piso 6","20","183","243","154",""
"2022/11/13 4:32:26 p. m. GMT-5","21","Masculino","Ingeniería Mecánica","Celular","360","960","15","90","60","420","4","3","3","2","En los medios de transporte","15","240","300","240",""
"2022/11/13 4:34:50 p. m. GMT-5","20","Femenino","Ingeniería Civil","Celular","240","980","13","150","45","80","3","4","4","1","Ambientes del piso 6","30","283","195","100",""
"2022/11/13 4:37:21 p. m. GMT-5","18","Femenino","Bioingeniería","Celular","350","908","13","200","90","230","4","5","4","1","Pasillos de UTEC","20","252","345","198",""
"2022/11/13 4:39:53 p. m. GMT-5","23","Masculino","Administración y Negocios Digitales","Laptop","340","930","9","180","240","120","2","4","5","3","Sala de estudios","10","282","351","120",""
"2022/11/13 4:42:22 p. m. GMT-5","22","Femenino","Ingeniería Civil","Celular","230","900","15","130","120","120","5","4","5","1","Cubículo","60","180","276","195",""
"2022/11/13 4:44:14 p. m. GMT-5","21","Femenino","Ingeniería Ambiental","Celular","200","1030","12","240","45","125","5","5","5","3","Salón de clase","60","276","190","205",""
"2022/11/13 4:46:10 p. m. GMT-5","18","Femenino","Ingeniería Electrónica","Tablet","360","1080","16","250","120","360","4","3","3","2","Salón de clase","45","199","254","293",""
"2022/11/13 4:49:31 p. m. GMT-5","23","Femenino","Ingeniería Mecánica","Laptop","260","1000","16","120","90","360","2","3","4","2","Ambientes del piso 6","60","254","341","300",""
"2022/11/13 4:51:04 p. m. GMT-5","21","Masculino","Ciencia de la Computación","Celular","420","960","14","90","30","420","4","3","2","1","En los medios de transporte","15","182","298","240",""
"2022/11/13 4:56:11 p. m. GMT-5","20","Masculino","Administración y Negocios Digitales","Celular","300","1050","12","180","20","180","4","4","4","1","Sala de estudios","35","184","243","254",""
"2022/11/13 5:01:50 p. m. GMT-5","23","Femenino","Ingeniería de la Energía","Celular","300","980","5","126","40","500","3","4","2","1","Pasillos de UTEC","300","45","200","160",""
"2022/11/13 5:07:25 p. m. GMT-5","24","Masculino","Ingeniería Mecánica","Celular","350","905","13","200","60","450","2","3","2","3","Laboratorios","45","30","180","290",""
"2022/11/13 5:37:39 p. m. GMT-5","20","Masculino","Ingeniería Electrónica","Celular","300","100","10","200","200","300","2","1","2","1","Sala de estudios","45","150","200","300",""
"2022/11/13 5:41:36 p. m. GMT-5","20","Femenino","Ciencia de Datos","Celular","300","990","15","200","230","400","2","3","4","2","Casa","40","80","300","160",""
"2022/11/13 5:43:00 p. m. GMT-5","20","Masculino","Ciencia de Datos","Celular","300","1000","10","200","140","500","2","4","2","2","Casa","40","60","400","250",""
"2022/11/13 5:44:37 p. m. GMT-5","19","Femenino","Ingeniería Mecánica","Celular","300","1080","15","200","48","400","2","2","2","2","Casa","45","80","280","250",""
"2022/11/13 6:06:06 p. m. GMT-5","21","Masculino","Ingeniería Mecatrónica","Celular","420","960","14","90","60","420","4","2","3","1","En los medios de transporte","15","177","297","183",""
"2022/11/13 6:42:03 p. m. GMT-5","21","Masculino","Ingeniería Mecatrónica","Celular","330","930","14","150","60","420","4","3","3","1","En los medios de transporte","30","172","297","184",""
"2022/11/13 7:15:08 p. m. GMT-5","21","Masculino","Ingeniería Química","Celular","420","930","14","90","30","480","1","1","3","2","En los medios de transporte","40","244","478","297",""
"2022/11/13 7:51:13 p. m. GMT-5","21","Masculino","Ingeniería de la Energía","Celular","480","990","14","90","90","600","4","2","3","1","En los medios de transporte","40","239","480","298",""
"2022/11/13 8:26:44 p. m. GMT-5","21","Masculino","Ingeniería Industrial","Celular","360","990","15","150","150","420","4","3","3","1","Salón de clase","45","214","454","296",""
"2022/11/13 9:17:17 p. m. GMT-5","21","Masculino","Ingeniería Industrial","Celular","480","1050","15","240","210","450","1","1","1","2","Casa","30","243","477","264",""
"2022/11/13 9:42:26 p. m. GMT-5","23","Femenino","Ingeniería Química","Laptop","270","1080","17","360","30","600","1","1","1","1","Casa","60","23","480","298",""
"2022/11/13 10:03:33 p. m. GMT-5","24","Masculino","Ciencia de la Computación","Laptop","240","1020","17","330","40","570","1","1","1","5","Baños","47","35","464","286",""
"2022/11/13 10:19:42 p. m. GMT-5","18","Femenino","Administración y Negocios Digitales","Celular","450","900","11","120","240","180","5","5","5","1","Salón de clase","1","236","183","124",""
"2022/11/13 10:48:09 p. m. GMT-5","25","Masculino","Ingeniería Mecatrónica","Laptop","330","1020","19","270","90","450","2","2","2","4","Laboratorios","37","111","363","236",""
"2022/11/14 12:08:57 a. m. GMT-5","19","Femenino","Ingeniería Ambiental","Celular","456","918","14","120","145","50","3","3","4","1","Casa","30","180","255","150",""
"2022/11/14 12:22:29 a. m. GMT-5","22","Femenino","Bioingeniería","Celular","420","960","17","180","180","330","4","2","4","2","Ambientes del piso 6","20","157","279","174",""
"2022/11/14 1:34:45 a. m. GMT-5","21","Femenino","Ciencia de Datos","Laptop","360","1050","16","240","150","390","2","1","3","3","En los medios de transporte","30","132","334","217",""
"2022/11/14 5:35:48 p. m. GMT-5","20","Femenino","Bioingeniería","Celular","480","930","14","150","210","240","3","1","3","1","En los medios de transporte","20","213","207","131",""
"2022/11/14 6:07:35 p. m. GMT-5","21","Femenino","Administración y Negocios Digitales","Tablet","300","1050","13","210","90","450","2","1","1","2","En los medios de transporte","40","103","375","259",""
"2022/11/14 6:17:54 p. m. GMT-5","19","Masculino","Ingeniería Electrónica","Celular","390","990","16","300","45","420","2","2","2","4","En los medios de transporte","35","94","377","193",""
"2022/11/14 6:39:44 p. m. GMT-5","22","Femenino","Ingeniería Ambiental","Celular","420","960","15","300","180","240","4","3","3","1","Pasillos de UTEC","20","188","157","162",""
"2022/11/14 6:46:28 p. m. GMT-5","23","Masculino","Ingeniería de la Energía","Laptop","210","1020","18","360","30","480","1","1","1","5","En los medios de transporte","60","37","466","281",""
"2022/11/15 12:13:01 a. m. GMT-5","21","Masculino","Ciencia de Datos","Celular","120","360","15","40","120","240","3","4","4","3","Ambientes del piso 6","30","15","360","540",""
"2022/11/15 12:14:51 a. m. GMT-5","22","Femenino","Ingeniería Ambiental","Celular","243","1050","13","350","70","500","3","4","3","4","Salón de clase","45","130","220","130",""
"2022/11/15 12:16:10 a. m. GMT-5","22","Masculino","Ingeniería Industrial","Celular","244","1051","14","351","71","501","3","4","3","4","Salón de clase","46","131","221","131",""
"2022/11/15 12:18:32 a. m. GMT-5","22","Masculino","Ingeniería Electrónica","Tablet","480","480","13","360","240","360","2","3","4","2","Cubículo","40","20","480","600",""
"2022/11/15 12:21:57 a. m. GMT-5","23","Masculino","Ingeniería Civil","Celular","240","1080","10","200","200","200","5","4","3","4","Pasillos de UTEC","50","200","200","200",""
