Soy,¿Cuál es tu sexo?,"Aproximadamente, ¿Cuánto es tu promedio académico actualmente?.",¿Cuál es tu edad?,¿Cómo calificarías a tu progreso académico durante la virtualidad?,¿Qué tan dinámicas crees que son tus clases virtuales?,¿En qué universidad estudias?,¿Cuánto tiempo de receso te brinda el docente en una clase? (considerando 2 horas por clase),¿Cuánto tiempo de receso consideras que se debería dar en cada clase? (considerando 2 horas por clase),¿Consideras que el tiempo que te dan de receso influye positivamente en tu concentración?,¿Cuántos dispositivos tecnológicos usas?,¿Cuánto tiempo tienes enseñando a nivel universitario?,¿Cuántos cursos llevaste relacionado con técnicas didácticas de aprendizaje?,¿Has llevado algún curso de competencias digitales?,¿En qué universidad enseñas?,¿Cuál de las herramientas de comunicación que usan tus docentes consideras que es la mejor?,¿Cuántas herramientas de comunicación usan tus docentes para tu aprendizaje?," ¿Cuántas horas llevaste en este tipo de cursos de competencias digitales?  ( ""0"" si en la respuesta anterior marcaste No)",¿Cuál de estas técnicas didácticas que utilizan tus docentes complementan mejor tu aprendizaje?,¿Cuántas técnicas didácticas usan tus docentes para complementar mejor tu aprendizaje?,¿Consideras que las mallas curriculares de los cursos fomentan el uso de herramientas didácticas?,¿Cuántas horas académicas en total llevaste o estás llevando en cursos relacionados a técnicas didácticas de aprendizaje ?,¿Cuál de las técnicas didácticas que empleas en clase consideras que refuerza mejor la enseñanza del estudiante universitario?
Universitario,Masculino,15,20,3,2,Universidad del Pacífico,10,10,Sí,2,,,,,Discord,4,,Casos Grupales,4,,,
Universitario,Masculino,9,19,3,1,UTEC,10,15,Sí,3,,,,,Videoconferencias,2,,Kahoots,3,,,
Universitario,Femenino,13,20,2,3,Universidad de Lima,15,14,Sí,3,,,,,Telegram,3,,Kahoots,4,,,
Universitario,Masculino,12,18,4,4,UTEC,10,10,Sí,2,,,,,Whatsapp,3,,Quizzes,4,,,
Docente,Masculino,,,,,,,,,,15,2,Si,Universidad de Lima,,,180,,,Sí,15,Kahoots
Docente,Masculino,,,,,,,,,,15,2,Si,Universidad de Lima,,,360,,,Sí,0,Discusiones en grupo
Universitario,Femenino,14,18,4,3,otros,10,15,Sí,4,,,,,Discord,3,,Discusiones en grupo,4,,,
Universitario,Masculino,14,19,3,2,Universidad del Pacífico,10,10,Sí,2,,,,,Canvas foro,3,,Páginas web didácticas,4,,,
Docente,Masculino,,,,,,,,,,19,4,Si,Universidad del Pacífico,,,120,,,Sí,60,Casos Grupales
Universitario,Masculino,15,20,2,2,Universidad de Lima,10,10,Sí,3,,,,,Correo electrónico,4,,Discusiones en grupo,4,,,
Universitario,Masculino,15,20,2,2,Universidad de Lima,10,15,Sí,4,,,,,Videoconferencias,3,,Casos Grupales,4,,,
Universitario,Masculino,13,20,2,2,Universidad de Lima,10,15,Sí,2,,,,,Correo electrónico,3,,Casos Grupales,4,,,
Universitario,Masculino,14,20,1,1,UTEC,10,15,Sí,2,,,,,Telegram,4,,Casos Individuales,3,,,
Universitario,Femenino,13,20,1,1,Universidad del Pacífico,10,15,Sí,2,,,,,Videoconferencias,3,,Discusiones en grupo,4,,,
Docente,Masculino,,,,,,,,,,19,5,Si,Universidad de Lima,,,240,,,Sí,25,Casos Individuales
Universitario,Masculino,15,20,1,2,Universidad de Lima,10,10,Sí,2,,,,,Telegram,4,,Discusiones en grupo,5,,,
Universitario,Masculino,15,25,2,1,UTEC,10,10,Sí,2,,,,,Correo electrónico,3,,Casos Grupales,4,,,
Universitario,Femenino,15,19,5,4,otros,15,15,No,2,,,,,Whatsapp,3,,Discusiones en grupo,4,,,
Universitario,Masculino,15,20,2,1,Universidad de Lima,10,10,Sí,1,,,,,Videoconferencias,3,,Casos Individuales,4,,,
Universitario,Masculino,13,22,3,2,Universidad del Pacífico,10,10,Sí,2,,,,,Correo electrónico,3,,Casos Grupales,4,,,
Docente,Femenino,,,,,,,,,,19,4,Si,Universidad del Pacífico,,,240,,,Sí,25,Exposición
Universitario,Femenino,13,20,2,2,Universidad del Pacífico,10,10,Sí,2,,,,,Correo electrónico,3,,Casos Grupales,4,,,
Docente,Femenino,,,,,,,,,,15,3,Si,Universidad de Lima,,,180,,,Sí,20,Discusiones en grupo
Universitario,Masculino,13,18,2,2,PUCP,10,15,Sí,2,,,,,Videoconferencias,3,,Exposición,4,,,
Universitario,Femenino,15,17,2,3,UTEC,10,15,Sí,3,,,,,Discord,3,,Casos Grupales,4,,,
Universitario,Femenino,15,19,4,2,UTEC,10,15,Sí,3,,,,,Videoconferencias,3,,Kahoots,4,,,
Universitario,Masculino,15,18,4,2,UTEC,10,15,Sí,3,,,,,Whatsapp,4,,Casos Grupales,5,,,
Universitario,Femenino,15,18,3,3,UTEC,10,15,Sí,2,,,,,Correo electrónico,3,,Casos Grupales,4,,,
Universitario,Masculino,15,20,2,2,UTEC,10,10,Sí,3,,,,,Telegram,4,,Exposición,4,,,
Universitario,Femenino,15,20,1,2,UTEC,10,10,Sí,1,,,,,Canvas foro,3,,Casos Grupales,4,,,
Universitario,Masculino,13,23,2,2,UTEC,10,10,Sí,1,,,,,Telegram,3,,Quizzes,4,,,
Universitario,Masculino,13,21,1,1,UTEC,10,10,Sí,1,,,,,Discord,3,,Casos Individuales,4,,,
Universitario,Masculino,13,22,4,3,Universidad de Lima,10,15,Sí,2,,,,,Videoconferencias,3,,Kahoots,4,,,
Universitario,Masculino,13,17,5,3,UTEC,10,10,Sí,3,,,,,Discord,3,,Kahoots,4,,,
Universitario,Masculino,13,17,4,3,UTEC,10,15,No,2,,,,,Correo electrónico,3,,Kahoots,4,,,
Universitario,Femenino,13,18,3,3,UTEC,10,15,Sí,2,,,,,Discord,3,,Discusiones en grupo,4,,,
Universitario,Masculino,13,19,3,3,UTEC,10,10,Sí,2,,,,,Telegram,3,,Discusiones en grupo,4,,,
Universitario,Masculino,16,18,4,3,UTEC,10,15,No,2,,,,,Correo electrónico,5,,Casos Grupales,4,,,
Universitario,Femenino,15,18,3,3,UTEC,10,15,Sí,2,,,,,Discord,3,,Casos Individuales,4,,,
Universitario,Femenino,15,20,5,4,UTEC,10,10,No,2,,,,,Whatsapp,3,,Casos Grupales,4,,,
Universitario,Femenino,16,20,5,5,otros,15,15,No,2,,,,,Canvas foro,4,,Talleres,4,,,
Universitario,Masculino,15,25,5,4,Universidad del Pacífico,15,20,Sí,2,,,,,Canvas foro,4,,Páginas web didácticas,4,,,
Universitario,Femenino,15,18,3,3,UTEC,10,15,Sí,2,,,,,Correo electrónico,4,,Kahoots,4,,,
Universitario,Masculino,15,24,5,5,UPC,20,20,Sí,1,,,,,Whatsapp,3,,Quizzes,4,,,
Universitario,Masculino,15,20,4,4,UTEC,5,15,Sí,2,,,,,Telegram,3,,Casos Grupales,3,,,
Universitario,Masculino,15,20,3,3,otros,10,15,No,2,,,,,Whatsapp,3,,Exposición,3,,,
Universitario,Femenino,15,20,4,4,otros,15,20,Sí,2,,,,,Videoconferencias,3,,Discusiones en grupo,3,,,
Universitario,Masculino,13,17,5,4,UTEC,5,15,Sí,2,,,,,Telegram,3,,Quizzes,3,,,
Universitario,Femenino,15,19,4,4,UTEC,5,15,Sí,3,,,,,Correo electrónico,4,,Páginas web didácticas,3,,,
Universitario,Femenino,15,17,4,4,UTEC,10,10,Sí,2,,,,,Discord,4,,Exposición,3,,,
Universitario,Masculino,15,17,3,4,UTEC,10,15,Sí,2,,,,,Discord,4,,Páginas web didácticas,3,,,
Universitario,Masculino,13,18,4,2,UTEC,10,10,Sí,2,,,,,Whatsapp,3,,Quizzes,4,,,
Universitario,Masculino,15,21,5,4,otros,20,10,Sí,1,,,,,Whatsapp,4,,Kahoots,4,,,
Universitario,Femenino,15,18,4,3,UTEC,10,15,Sí,2,,,,,Correo electrónico,3,,Casos Grupales,4,,,
Universitario,Femenino,15,18,4,3,otros,5,20,Sí,1,,,,,Canvas foro,3,,Páginas web didácticas,4,,,
Universitario,Femenino,14,19,3,3,UTP,10,15,Sí,1,,,,,Canvas foro,3,,Discusiones en grupo,4,,,
Universitario,Masculino,15,17,3,2,UTEC,5,15,Sí,4,,,,,Discord,3,,Casos Individuales,3,,,
Universitario,Masculino,15,19,3,3,UTEC,10,10,No,2,,,,,Correo electrónico,4,,Kahoots,3,,,
Universitario,Femenino,14,17,3,2,UTEC,10,10,Sí,2,,,,,Telegram,3,,Discusiones en grupo,3,,,
Universitario,Masculino,15,18,4,3,otros,10,20,No,2,,,,,Videoconferencias,4,,Talleres,4,,,
Universitario,Masculino,9,18,3,3,UTEC,10,15,Sí,3,,,,,Telegram,2,,Discusiones en grupo,5,,,
Universitario,Masculino,13,17,4,4,UTEC,10,10,Sí,2,,,,,Discord,3,,Kahoots,5,,,
Universitario,Masculino,14,18,3,2,UNI,20,20,No,2,,,,,Correo electrónico,4,,Casos Grupales,4,,,
Universitario,Masculino,15,20,4,4,UTEC,5,10,Sí,2,,,,,Canvas foro,4,,Exposición,3,,,
Universitario,Femenino,15,17,3,4,UTEC,5,10,No,2,,,,,Correo electrónico,4,,Quizzes,4,,,
Universitario,Masculino,16,17,5,4,UTEC,5,10,Sí,2,,,,,Whatsapp,5,,Casos Individuales,5,,,
Universitario,Masculino,16,19,3,3,UTEC,10,10,Sí,2,,,,,Videoconferencias,5,,Exposición,5,,,
Universitario,Masculino,13,18,3,3,otros,5,20,Sí,2,,,,,Videoconferencias,3,,Exposición,3,,,
Universitario,Femenino,16,18,4,3,UTEC,10,10,Sí,2,,,,,Discord,4,,Exposición,4,,,
Universitario,Masculino,16,17,4,3,UTP,10,10,Sí,3,,,,,Canvas foro,4,,Talleres,4,,,
Universitario,Masculino,12,26,3,3,UTP,5,10,Sí,3,,,,,Canvas foro,2,,Casos Individuales,3,,,
Universitario,Masculino,17,18,4,3,UTP,15,20,Sí,2,,,,,Correo electrónico,5,,Kahoots,5,,,
Universitario,Femenino,11,21,4,3,UTEC,15,15,Sí,4,,,,,Correo electrónico,2,,Casos Grupales,4,,,
Universitario,Masculino,15,17,3,4,UTEC,10,20,No,2,,,,,Discord,4,,Exposición,3,,,
Universitario,Masculino,15,18,4,5,UTEC,10,10,No,2,,,,,Correo electrónico,4,,Casos Grupales,4,,,
Universitario,Femenino,15,18,3,3,UTP,15,15,Sí,1,,,,,Teams,4,,Casos Grupales,4,,,
Universitario,Femenino,18,19,4,4,UTEC,10,15,Sí,4,,,,,Telegram,5,,Discusiones en grupo,5,,,
Universitario,Masculino,11,18,3,3,otros,10,10,Sí,2,,,,,Correo electrónico,2,,Kahoots,3,,,
Universitario,Femenino,14,17,3,3,UTEC,5,10,Sí,2,,,,,Videoconferencias,3,,Discusiones en grupo,4,,,
Universitario,Femenino,17,18,3,4,UTEC,5,15,Sí,1,,,,,Canvas foro,5,,Páginas web didácticas,4,,,
Universitario,Femenino,16,18,3,4,UTP,10,10,No,2,,,,,Correo electrónico,4,,Talleres,3,,,
Universitario,Femenino,14,18,4,4,UTEC,5,15,Sí,2,,,,,Whatsapp,3,,Discusiones en grupo,4,,,
Docente,Femenino,,,,,,,,,,3,6,Si,UTEC,,,120,,,Sí,20,Kahoots
Universitario,Femenino,12,17,3,2,UTEC,5,15,Sí,2,,,,,Canvas foro,2,,Casos Individuales,3,,,
Universitario,Masculino,12,17,4,4,UTEC,10,15,Sí,2,,,,,Whatsapp,2,,Discusiones en grupo,3,,,
Universitario,Femenino,11,18,3,3,UTEC,5,15,Sí,3,,,,,Discord,2,,Quizzes,3,,,
Universitario,Masculino,13,17,3,3,otros,10,20,Sí,3,,,,,Correo electrónico,2,,Casos Grupales,3,,,
Universitario,Femenino,12,18,3,4,UTEC,10,15,Sí,2,,,,,Correo electrónico,3,,Casos Grupales,3,,,
Universitario,Femenino,16,18,4,3,UTEC,5,15,No,3,,,,,Discord,4,,Kahoots,4,,,
Universitario,Femenino,16,18,4,4,UTEC,15,15,No,2,,,,,Discord,4,,Casos Grupales,3,,,
Universitario,Masculino,19,18,2,3,UTEC,10,15,Sí,2,,,,,Videoconferencias,5,,Exposición,5,,,
Universitario,Femenino,15,21,5,3,UTEC,5,10,No,2,,,,,Correo electrónico,3,,Casos Grupales,3,,,
Universitario,Masculino,11,20,3,3,UTEC,10,15,Sí,2,,,,,Correo electrónico,2,,Casos Grupales,3,,,
Universitario,Femenino,11,18,4,4,UTEC,10,15,Sí,2,,,,,Telegram,2,,Kahoots,3,,,
Universitario,Femenino,14,17,3,3,otros,10,10,Sí,4,,,,,Teams,3,,Casos Individuales,3,,,
Universitario,Masculino,14,20,4,3,UTP,15,15,Sí,3,,,,,Whatsapp,3,,Talleres,3,,,
Universitario,Femenino,12,17,4,3,UTEC,10,20,No,2,,,,,Videoconferencias,3,,Quizzes,3,,,
Universitario,Femenino,9,17,3,4,UTEC,10,10,Sí,2,,,,,Discord,2,,Casos Grupales,2,,,
Universitario,Femenino,14,17,4,4,UTEC,10,10,No,2,,,,,Discord,3,,Casos Grupales,1,,,
Universitario,Masculino,12,17,2,3,otros,15,20,No,2,,,,,Correo electrónico,3,,Discusiones en grupo,3,,,
Universitario,Masculino,13,18,3,3,Universidad de Lima,10,20,No,2,,,,,Correo electrónico,3,,Quizzes,2,,,
Universitario,Femenino,14,17,3,3,UTEC,10,10,Sí,2,,,,,Telegram,3,,Kahoots,2,,,
Universitario,Masculino,17,18,4,4,UPC,10,12,No,2,,,,,Whatsapp,5,,Talleres,5,,,
Universitario,Femenino,15,18,4,4,UPC,10,15,Sí,2,,,,,Canvas foro,4,,Quizzes,4,,,
Universitario,Masculino,14,18,4,3,UTEC,10,15,Sí,2,,,,,Canvas foro,4,,Discusiones en grupo,3,,,
Universitario,Masculino,12,18,2,3,UTEC,5,10,No,3,,,,,Whatsapp,3,,Exposición,3,,,
Universitario,Masculino,16,19,4,3,UTEC,5,5,No,2,,,,,Discord,4,,Quizzes,3,,,
Universitario,Masculino,14,17,4,3,UTEC,0,10,No,2,,,,,Correo electrónico,3,,Quizzes,3,,,
Universitario,Masculino,15,17,4,4,UTEC,10,10,Sí,1,,,,,Discord,4,,Casos Individuales,2,,,
Universitario,Femenino,15,18,4,3,UTEC,0,10,Sí,2,,,,,Whatsapp,4,,Casos Grupales,4,,,
Universitario,Femenino,13,19,4,4,UTEC,10,15,No,2,,,,,Whatsapp,3,,Kahoots,5,,,
Universitario,Masculino,15,17,4,4,UTEC,10,20,Sí,2,,,,,Discord,4,,Casos Grupales,4,,,
Universitario,Masculino,16,22,3,3,UNMSM,15,30,Sí,2,,,,,Videoconferencias,5,,Exposición,5,,,
Universitario,Femenino,14,17,4,4,UTEC,5,5,Sí,2,,,,,Videoconferencias,3,,Casos Grupales,4,,,
Universitario,Femenino,16,19,3,3,UNMSM,0,5,No,2,,,,,Correo electrónico,5,,Exposición,3,,,
Universitario,Masculino,16,18,3,1,UTEC,10,10,No,2,,,,,Canvas foro,4,,Casos Grupales,5,,,
Universitario,Femenino,14,17,2,3,UTEC,5,10,No,1,,,,,Whatsapp,4,,Casos Grupales,5,,,
Universitario,Femenino,16,17,4,4,UTEC,10,10,No,3,,,,,Discord,5,,Quizzes,5,,,
Universitario,Masculino,18,18,3,3,UTEC,5,10,No,2,,,,,Canvas foro,5,,Casos Individuales,5,,,
Universitario,Femenino,15,18,4,2,UTEC,10,10,Sí,2,,,,,Whatsapp,4,,Páginas web didácticas,4,,,
Universitario,Masculino,16,23,4,3,otros,0,20,Sí,2,,,,,Teams,5,,Discusiones en grupo,5,,,
Universitario,Femenino,15,18,3,3,otros,15,30,Sí,2,,,,,Whatsapp,4,,Exposición,4,,,
Universitario,Masculino,16,18,2,2,UTEC,0,10,No,1,,,,,Discord,5,,Quizzes,4,,,
Universitario,Femenino,16,17,3,3,UTEC,10,15,Sí,3,,,,,Whatsapp,5,,Casos Grupales,5,,,
Universitario,Masculino,15,19,4,3,UTEC,10,10,No,2,,,,,Telegram,4,,Quizzes,3,,,
Universitario,Masculino,15,19,4,4,UTEC,10,15,No,2,,,,,Telegram,4,,Casos Grupales,3,,,
Universitario,Masculino,18,17,5,5,UTEC,15,15,Sí,4,,,,,Whatsapp,5,,Casos Grupales,3,,,
Universitario,Femenino,11,18,2,2,UTEC,10,15,Sí,2,,,,,Discord,3,,Quizzes,3,,,
Universitario,Femenino,14,18,3,2,Universidad Peruana Cayetano Heredia,0,10,No,2,,,,,Videoconferencias,4,,Talleres,4,,,
Universitario,Femenino,15,18,3,3,otros,15,20,Sí,1,,,,,Whatsapp,4,,Kahoots,4,,,
Universitario,Masculino,15,22,4,2,Universidad de Lima,5,10,No,2,,,,,Canvas foro,4,,Casos Grupales,5,,,
Docente,Femenino,,,,,,,,,,11,5,Si,Universidad del Pacífico,,,180,,,Sí,100,Quizzes
Universitario,Masculino,16,21,3,4,Universidad del Pacífico,5,10,Sí,2,,,,,Canvas foro,5,,Quizzes,5,,,
Docente,Masculino,,,,,,,,,,19,7,Si,Universidad del Pacífico,,,180,,,Sí,120,Quizzes
Docente,Masculino,,,,,,,,,,15,4,Si,UTEC,,,180,,,Sí,120,Casos Grupales
Universitario,Femenino,16,22,4,3,UTEC,5,10,No,1,,,,,Correo electrónico,5,,Casos Individuales,5,,,
Universitario,Femenino,15,17,3,3,UTEC,5,15,Sí,2,,,,,Whatsapp,4,,Casos Grupales,4,,,
Docente,Femenino,,,,,,,,,,11,6,Si,UTEC,,,120,,,Sí,40,Casos Grupales
Universitario,Masculino,11,18,2,2,UTEC,10,15,Sí,3,,,,,Telegram,2,,Kahoots,4,,,
Docente,Femenino,,,,,,,,,,7,10,Si,UTEC,,,120,,,Sí,60,Desmos
Docente,Masculino,,,,,,,,,,8,6,Si,UPCH,,,120,,,Sí,40,Casos Grupales
Docente,Masculino,,,,,,,,,,7,7,Si,UNI,,,110,,,Sí,60,Quizzes
Docente,Femenino,,,,,,,,,,11,7,Si,PUCP,,,100,,,Sí,80,Kahoots
Docente,Masculino,,,,,,,,,,15,9,Si,USIL,,,180,,,Sí,100,Casos Grupales
Docente,Femenino,,,,,,,,,,20,10,Si,UNMSM,,,200,,,Sí,120,Casos Grupales
Universitario,Femenino,15,18,3,3,UTEC,10,10,No,3,,,,,Whatsapp,4,,Discusiones en grupo,4,,,
Universitario,Masculino,18,20,4,4,UPC,15,10,Sí,3,,,,,Telegram,5,,Kahoots,4,,,Quizzes
