"","Universidad","Genero","Edad","Num_dispositivos","Horas","Vcalificaion","Plataforma","Medios","Concentracion","Acceso","Aplicaciones","Resultados","Frecuencia","Curso_linea","Efectividad","Ponderado","Cursos_avanzados","Participacion","Reconocimiento","Presentaciones","Practicas","Actividades","Mejoramiento","Motivacion","Ciclo","Nota_max","Nota_min"
"11","UTEC","Masculino",19,2,4,6,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","Si","Casi siempre","De acuerdo","Casi nunca","No","Si",15,"No","Nunca","No","No","No","No",7,7,2,20,4
"12","UTEC","Masculino",19,2,4,2,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","Ni de acuerdo ni en desacuerdo","A veces","No","Si",14,"No","Aveces","No","No","No","No",4,4,2,20,2
"13","UTEC","Masculino",18,2,10,6,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","A veces","Si","No",13.35,"Si","Nunca","Si","No","No","No",10,10,2,20,2
"14","UTEC","Femenino",18,2,10,8,"Biblioteca virtual, Canvas","Siempre","Si","Si","Siempre","Ni de acuerdo ni en desacuerdo","Siempre","Si","Si",15,"Si","Aveces","Si","No","No","Si",5,6,2,20,8
"15","UTEC","Femenino",20,2,5,8,"Aula virtual, Biblioteca virtual","Siempre","No","Si","A veces","Totalmente en desacuerdo","Casi nunca","No","Si",14,"No","Nunca","No","No","No","Si",9,10,2,18,11
"16","UTEC","Femenino",19,5,8,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","Siempre","Si","Si",18,"Si","Casi siempre","Si","Si","No","No",8,10,3,20,15
"17","UTEC","Femenino",19,2,8,6,"Aula virtual, Biblioteca virtual","Aveces","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","Si","No",15,"No","Aveces","No","No","No","No",7,8,2,20,11
"18","UTEC","Masculino",18,2,10,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","A veces","De acuerdo","Casi nunca","Si","No",15.15,"Si","Aveces","Si","Si","No","Si",10,10,2,20,8
"19","UTEC","Femenino",18,2,10,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","De acuerdo","A veces","Si","Si",15,"Si","Aveces","No","Si","No","No",10,9,2,20,3
"20","UTEC","Femenino",20,2,4,7,"Repositorios virtuales, Biblioteca virtual, Canvas","Aveces","Si","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",12.8,"No","Nunca","No","No","No","Si",6,6,4,20,5
"21","UTEC","Femenino",18,2,3,7,"Biblioteca virtual","Aveces","No","Si","Casi siempre","Totalmente de acuerdo","Casi nunca","Si","Si",16.9,"Si","Aveces","Si","No","No","No",10,10,2,20,15
"22","UTEC","Masculino",18,2,8,6,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Aveces","Si","Si","A veces","De acuerdo","A veces","Si","No",14,"No","Nunca","No","No","No","No",6,6,3,17,9
"23","UTEC","Masculino",20,3,5,6,"Aula virtual, Repositorios virtuales, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","Casi nunca","Si","Si",13.2,"Si","Casi nunca","No","No","Si","No",6,7,7,20,0.5
"24","UTEC","Femenino",25,3,1,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","De acuerdo","Casi nunca","Si","Si",14.56,"Si","Casi nunca","Si","Si","Si","Si",7,7,10,20,0
"25","UTEC","Masculino",18,3,6,10,"Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","A veces","Si","Si",13.4,"No","Nunca","No","No","No","Si",9,10,3,20,10
"26","UTEC","Femenino",18,2,10,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","A veces","Si","Si",18.3,"No","Nunca","No","No","No","No",6,9,2,20,17
"27","UTEC","Masculino",19,2,10,1,"Canvas","Siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","A veces","No","Si",13,"Si","Casi nunca","Si","No","No","Si",2,3,2,20,0
"28","UTEC","Masculino",18,4,5,8,"Aula virtual, Biblioteca virtual, Canvas","Siempre","No","Si","A veces","De acuerdo","A veces","Si","No",13.8,"Si","Casi nunca","No","Si","No","No",9,9,2,18,9
"29","UTEC","Femenino",20,3,4,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","Casi nunca","Si","No",17.95,"No","Nunca","Si","No","No","No",10,10,7,20,7
"30","UTEC","Femenino",19,2,8,7,"Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",14.5,"Si","Casi nunca","Si","Si","No","No",8,8,4,19,10
"31","UTEC","Masculino",18,5,1,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Aveces","Si","Si","Casi siempre","Ni de acuerdo ni en desacuerdo","Casi nunca","No","Si",14.15,"No","Nunca","No","No","No","No",7,5,3,20,5
"32","UTEC","Femenino",20,2,6,7,"Biblioteca virtual, Canvas","Siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",14.87,"No","Nunca","No","No","No","Si",9,9,4,20,8
"33","UTEC","Masculino",20,2,4,6,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","No","Si","A veces","De acuerdo","Casi siempre","No","Si",15,"No","Nunca","No","No","No","No",7,8,2,20,2
"34","UTEC","Masculino",19,5,4,10,"Aula virtual, Canvas","Siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",14.54,"Si","Aveces","No","Si","No","Si",9,8,4,20,10
"35","UTEC","Femenino",19,3,4,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","Totalmente de acuerdo","Casi siempre","Si","Si",17.86,"Si","Aveces","Si","Si","No","Si",9,9,4,20,9.4
"36","UTEC","Femenino",18,3,5,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Siempre","De acuerdo","Casi siempre","Si","Si",16.28,"No","Aveces","No","No","No","Si",9,8,4,20,4
"37","UTEC","Masculino",20,4,3,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",13.79,"No","Casi nunca","No","No","No","Si",8,7,5,20,12
"38","UTEC","Femenino",19,5,4,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Siempre","Totalmente en desacuerdo","Siempre","Si","Si",17.06,"Si","Casi siempre","Si","Si","No","Si",9,10,4,20,10
"39","UTEC","Masculino",19,3,3,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",13.79,"Si","Aveces","No","No","No","No",7,6,4,20,5
"40","UTEC","Femenino",20,2,8,6,"Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","Totalmente de acuerdo","Casi nunca","Si","Si",15.89,"No","Casi nunca","No","No","No","Si",9,6,4,20,9
"41","UTEC","Femenino",19,2,8,8,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","No","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","No","No",14,"No","Nunca","No","No","No","Si",8,8,4,19,12
"42","UTEC","Femenino",18,2,4,9,"Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","Siempre","De acuerdo","Casi nunca","Si","No",14.39,"No","Nunca","No","No","No","No",9,8,3,20,0
"43","UTEC","Masculino",21,8,2,6,"Biblioteca virtual, Canvas","Siempre","Si","Si","Casi siempre","Ni de acuerdo ni en desacuerdo","A veces","Si","Si",17,"No","Nunca","No","Si","No","Si",6,8,9,20,11
"44","UTEC","Masculino",17,3,3,10,"Canvas","Casi siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","A veces","No","No",13.2,"No","Nunca","No","No","No","No",3,3,3,19,3
"45","UTEC","Masculino",19,3,6,7,"Canvas","Siempre","Si","Si","A veces","De acuerdo","A veces","Si","Si",16.9,"No","Aveces","Si","No","No","Si",8,10,2,20,8
"46","UTEC","Masculino",20,2,10,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","A veces","No","Si",16.33,"No","Nunca","No","No","No","No",7,8,4,19,12
"47","UTEC","Femenino",19,3,2,7,"Canvas","Siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","Si","Si",16.8,"No","Casi siempre","Si","Si","No","Si",8,8,4,20,1
"48","UTEC","Masculino",20,3,4,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","De acuerdo","Casi siempre","No","Si",15.04,"No","Nunca","No","No","No","No",10,10,4,20,5
"49","UTEC","Femenino",19,2,5,6,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Aveces","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",17.9,"No","Aveces","Si","No","No","Si",7,7,2,20,13
"50","UNMSM","Femenino",17,3,5,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual","Siempre","No","Si","Casi siempre","Totalmente de acuerdo","Casi siempre","No","Si",16,"Si","Casi siempre","Si","No","No","Si",7,10,3,20,8
"51","UTEC","Femenino",17,3,5,9,"Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Casi siempre","Totalmente de acuerdo","A veces","No","Si",15,"Si","Aveces","No","No","No","Si",7,10,2,20,8
"52","UNMSM","Masculino",20,3,3,3,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",14.78,"No","Casi nunca","No","No","No","No",9,5,5,20,10
"53","UTEC","Masculino",18,2,1,8,"Canvas","Aveces","No","Si","Casi siempre","Totalmente de acuerdo","A veces","Si","Si",13.8,"No","Nunca","No","No","No","No",5,7,3,20,0
"54","UTEC","Femenino",20,3,7,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","Casi siempre","Si","Si",11,"No","Casi nunca","Si","Si","No","No",7,10,2,20,5.5
"55","UTEC","Masculino",19,3,10,10,"Repositorios virtuales, Biblioteca virtual, Canvas","Casi nunca","No","Si","Casi siempre","Totalmente de acuerdo","A veces","Si","Si",15.62,"No","Nunca","No","No","No","No",9,10,3,19,12
"56","UTEC","Masculino",20,3,4,6,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","Casi siempre","De acuerdo","Casi nunca","Si","Si",15.86,"No","Casi nunca","No","No","No","No",7,7,2,18,13
"57","UTEC","Masculino",20,3,4,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Aveces","Si","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",15.46,"Si","Casi nunca","No","No","No","Si",7,6,4,20,0
"58","UNMSM","Masculino",17,2,4,5,"Aula virtual","Siempre","Si","Si","Casi siempre","Ni de acuerdo ni en desacuerdo","Casi nunca","No","No",12.5,"No","Casi nunca","No","No","No","No",5,6,2,20,7
"59","UTEC","Femenino",22,4,8,6,"Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Casi siempre","De acuerdo","A veces","Si","Si",15.6,"No","Nunca","No","No","No","No",8,7,2,17,14
"60","UNMSM","Femenino",18,2,8,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","Siempre","Totalmente de acuerdo","Casi siempre","Si","No",17.4,"Si","Aveces","No","Si","No","Si",9,9,3,20,15
"61","UNMSM","Masculino",22,4,3,8,"Aula virtual","Siempre","Si","Si","A veces","De acuerdo","Siempre","Si","No",15.4,"No","Casi nunca","No","No","Si","Si",7,9,9,20,2
"62","UTEC","Femenino",19,2,8,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","Siempre","No","No",16.44,"Si","Aveces","No","Si","No","Si",10,6,5,20,8
"63","UTEC","Femenino",20,2,6,7,"Aula virtual","Casi siempre","Si","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",15.56,"Si","Casi nunca","No","No","No","No",8,8,4,20,5
"64","UNMSM","Femenino",17,2,6,3,"Aula virtual, ","Casi siempre","Si","Si","Casi siempre","Totalmente de acuerdo","Casi siempre","Si","No",16,"No","Casi nunca","No","No","No","Si",8,8,2,18,13
"65","UTEC","Femenino",17,3,10,7,"Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","Siempre","No","Si",14,"Si","Nunca","No","No","No","No",9,10,2,17,9
"66","UTEC","Femenino",17,3,5,5,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi nunca","No","Si","A veces","De acuerdo","A veces","Si","Si",13,"No","Aveces","No","Si","No","No",5,8,2,20,2
"67","UTEC","Masculino",22,1,7,5,"Canvas","Aveces","Si","Si","Muy poco","De acuerdo","A veces","Si","Si",14,"No","Casi nunca","Si","No","No","No",10,10,2,20,8
"68","UTEC","Masculino",20,3,5,8,"Aula virtual, Canvas","Siempre","No","Si","Casi siempre","Totalmente de acuerdo","Casi nunca","Si","Si",16.5,"No","Nunca","No","No","No","No",8,8,2,20,13
"69","UNMSM","Femenino",23,2,2,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","No",16.13,"Si","Casi nunca","No","No","No","No",7,7,7,18,9
"70","UNMSM","Femenino",21,3,6,9,"Aula virtual","Siempre","No","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",17.4,"Si","Nunca","Si","No","No","Si",8,9,7,20,14
"71","UNMSM","Femenino",22,3,10,8,"Biblioteca virtual","Siempre","Si","Si","Siempre","Totalmente de acuerdo","A veces","Si","No",18.5,"No","Aveces","Si","No","Si","Si",10,10,7,20,12
"72","UNMSM","Femenino",22,2,3,7,"Biblioteca virtual","Siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",15.78,"No","Nunca","Si","Si","No","Si",7,7,7,20,4
"73","UNMSM","Femenino",21,2,5,1,"Aula virtual, Biblioteca virtual","Siempre","Si","Si","Poco","Ni de acuerdo ni en desacuerdo","Casi siempre","Si","No",15.7,"No","Nunca","No","No","No","Si",5,5,7,20,8
"74","UNMSM","Masculino",21,2,6,3,"Aula virtual, Repositorios virtuales","Casi siempre","Si","Si","A veces","De acuerdo","Casi nunca","Si","Si",13.16,"No","Casi nunca","No","No","No","No",7,9,7,20,9
"75","UNMSM","Femenino",21,2,2,7,"Aula virtual, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",16.72,"Si","Casi nunca","No","Si","No","No",8,8,7,20,9
"76","UNMSM","Masculino",22,2,10,7,"Aula virtual","Siempre","No","Si","Casi siempre","Totalmente de acuerdo","Casi nunca","Si","Si",14,"No","Aveces","No","Si","Si","Si",10,10,7,20,6
"77","UNMSM","Masculino",27,3,6,7,"Aula virtual, Repositorios virtuales","Siempre","No","Si","Casi siempre","De acuerdo","Casi siempre","No","No",16.74,"No","Casi siempre","No","No","No","Si",7,7,3,19,12
"78","UNMSM","Masculino",23,3,3,5,"Aula virtual","Casi nunca","Si","Si","Poco","En desacuerdo","A veces","Si","Si",14.5,"Si","Nunca","Si","Si","Si","Si",5,4,5,20,10
"79","UNMSM","Masculino",22,2,8,7,"Repositorios virtuales, Biblioteca virtual","Casi siempre","No","Si","A veces","De acuerdo","A veces","Si","No",17.51,"Si","Casi nunca","No","No","No","Si",7,7,7,20,10
"80","UNMSM","Masculino",21,4,7,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual","Casi siempre","Si","Si","A veces","En desacuerdo","Casi siempre","No","No",16.34,"No","Nunca","No","No","No","Si",6,1,8,20,5
"81","UNMSM","Masculino",18,2,3,8,"Aula virtual, Biblioteca virtual","Casi siempre","Si","Si","Casi siempre","De acuerdo","Casi nunca","Si","Si",15.35,"No","Casi nunca","No","No","No","Si",7,7,3,20,12
"82","UNMSM","Femenino",20,2,6,5,"Aula virtual, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","No",15.25,"No","Casi nunca","No","Si","No","No",7,9,3,20,9
"83","UNMSM","Masculino",18,3,2,8,"Aula virtual, Biblioteca virtual","Siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","Si","No",14.78,"No","Aveces","Si","Si","No","No",7,6,3,19,8.75
"84","UNMSM","Masculino",21,2,8,7,"Biblioteca virtual","Siempre","No","Si","Casi siempre","De acuerdo","A veces","Si","No",15,"No","Casi nunca","No","No","No","No",7,8,3,19,7
"85","UNMSM","Masculino",18,3,5,8,"Aula virtual, Biblioteca virtual","Siempre","Si","Si","A veces","De acuerdo","Casi nunca","Si","No",14.79,"Si","Nunca","Si","No","No","No",7,8,3,20,12
"86","UNMSM","Femenino",20,2,8,7,"Aula virtual","Siempre","Si","Si","A veces","De acuerdo","A veces","Si","Si",14.71,"No","Nunca","No","No","No","Si",6,6,3,19,13
"87","UNMSM","Masculino",21,2,4,10,"Aula virtual, Biblioteca virtual","Casi siempre","No","Si","Casi siempre","Ni de acuerdo ni en desacuerdo","A veces","Si","Si",15.68,"Si","Aveces","No","No","No","No",7,9,3,20,8.5
"88","UTEC","Femenino",18,3,5,6,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","Si","Casi siempre","Ni de acuerdo ni en desacuerdo","Casi nunca","Si","Si",17,"No","Nunca","No","No","No","No",8,9,2,20,11
"89","UNMSM","Femenino",20,2,8,7,"Aula virtual","Siempre","Si","Si","A veces","De acuerdo","Casi nunca","Si","No",14.71,"No","Nunca","No","No","No","Si",6,6,3,19,13
"90","UNMSM","Masculino",17,2,2,6,"Aula virtual, Repositorios virtuales, Biblioteca virtual","Aveces","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","A veces","Si","Si",13,"No","Aveces","Si","No","Si","Si",6,6,3,18,11
"91","UNMSM","Masculino",19,4,3,8,"Aula virtual, Biblioteca virtual","Siempre","No","Si","A veces","De acuerdo","A veces","Si","No",15.51,"No","Casi siempre","No","Si","No","Si",8,9,3,19,3
"92","UNMSM","Femenino",19,2,8,6,"Aula virtual","Casi siempre","No","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","Si","No",14,"No","Nunca","No","No","No","Si",7,7,3,18,5
"93","UNMSM","Masculino",17,2,3,2,"Canvas, ","Casi siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","No","No",15.45,"No","Aveces","No","No","No","No",6,4,3,19,11
"94","UNMSM","Femenino",21,2,3,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual","Siempre","No","Si","A veces","De acuerdo","A veces","No","No",16.93,"No","Nunca","No","No","No","Si",7,6,7,20,11
"95","UNMSM","Femenino",21,2,5,7,"Aula virtual","Casi siempre","Si","Si","Poco","En desacuerdo","A veces","Si","Si",17.02,"No","Nunca","No","No","No","No",5,5,5,19,14
"96","UNMSM","Femenino",22,3,6,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual","Siempre","No","Si","A veces","De acuerdo","Siempre","Si","Si",17.5,"No","Aveces","No","Si","No","Si",7,6,7,20,15
"97","UNMSM","Masculino",22,3,6,4,"Repositorios virtuales","Casi siempre","Si","Si","Muy poco","De acuerdo","Casi nunca","Si","No",15,"No","Aveces","No","No","No","Si",7,7,3,20,7
"98","UNMSM","Masculino",18,4,1,2,"Aula virtual","Aveces","Si","Si","Poco","De acuerdo","Casi nunca","Si","No",13,"No","Casi nunca","No","No","No","No",7,7,3,20,5
"99","UTEC","Masculino",19,3,5,5,"Canvas","Casi siempre","Si","Si","Casi siempre","Totalmente de acuerdo","Casi siempre","Si","Si",14.92,"No","Casi nunca","No","No","No","No",8,8,4,20,7
"100","UNMSM","Femenino",25,2,8,5,"Aula virtual, Biblioteca virtual","Siempre","Si","Si","A veces","De acuerdo","Casi siempre","Si","Si",16.41,"Si","Nunca","No","No","No","Si",8,8,9,20,5
"101","UTEC","Masculino",20,2,5,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","Totalmente de acuerdo","A veces","Si","Si",14.23,"Si","Nunca","No","No","No","No",5,8,7,18,8
"102","UTEC","Femenino",20,4,4,6,"Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","De acuerdo","A veces","Si","Si",12.98,"No","Aveces","No","No","No","No",8,7,4,18,10
"103","UTEC","Masculino",22,1,5,7,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","De acuerdo","A veces","Si","No",13.69,"No","Nunca","No","No","No","No",7,7,4,17,9
"104","UTEC","Femenino",18,2,6,7,"Biblioteca virtual","Casi siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","No","Si",16,"Si","Aveces","Si","No","No","No",7,5,4,20,0
"105","UTEC","Masculino",19,2,4,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","De acuerdo","Casi nunca","Si","No",17,"Si","Aveces","Si","No","No","No",9,9,4,20,10
"106","UTEC","Femenino",19,3,6,7,"Aula virtual, Repositorios virtuales, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",15,"Si","Casi nunca","No","No","No","Si",6,6,4,19,12
"107","UTEC","Femenino",22,3,6,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","De acuerdo","A veces","Si","Si",14,"No","Casi nunca","No","No","No","Si",7,6,4,18,10
"108","UTEC","Femenino",19,2,10,5,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas, ","Siempre","Si","Si","Siempre","Totalmente de acuerdo","Casi siempre","Si","Si",15,"No","Nunca","No","No","No","No",10,10,4,18,11
"109","UTEC","Femenino",18,3,3,8,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","De acuerdo","A veces","Si","Si",14.45,"No","Nunca","No","No","No","Si",8,9,3,17,11
"110","UTEC","Femenino",19,2,4,7,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",15,"No","Casi nunca","No","No","No","No",7,7,4,20,8
"111","UTEC","Femenino",19,4,8,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Aveces","No","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","No","Si",18,"No","Casi siempre","Si","Si","No","No",10,10,3,18,15
"112","UTEC","Masculino",23,5,10,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","De acuerdo","A veces","Si","Si",13.88,"Si","Aveces","No","Si","No","No",8,5,4,20,0
"113","UTEC","Masculino",19,2,5,6,"Biblioteca virtual","Aveces","Si","Si","A veces","De acuerdo","A veces","Si","Si",16.7,"No","Aveces","Si","No","No","No",7,6,2,17,10
"114","UTEC","Masculino",19,2,8,6,"Aula virtual, Repositorios virtuales, Biblioteca virtual","Casi siempre","Si","Si","A veces","De acuerdo","Casi siempre","Si","Si",13.32,"No","Casi nunca","No","No","No","Si",8,9,3,20,7
"115","UNMSM","Femenino",19,2,4,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","A veces","Si","No",14.56,"No","Aveces","No","No","No","Si",8,8,3,18,0
"116","UNMSM","Femenino",19,2,5,8,"Aula virtual, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","De acuerdo","A veces","Si","No",14.96,"No","Aveces","No","No","No","Si",9,10,3,19,5
"117","UNMSM","Femenino",19,3,5,9,"Aula virtual, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","De acuerdo","Casi nunca","Si","Si",16.19,"Si","Casi nunca","Si","Si","No","No",10,10,3,20,0
"118","UNMSM","Femenino",20,2,4,6,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","De acuerdo","Casi nunca","Si","No",13.28,"No","Nunca","No","No","No","Si",7,8,3,18,0
"119","UNMSM","Masculino",21,3,5,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","Totalmente de acuerdo","Casi nunca","Si","Si",15.23,"No","Nunca","No","No","No","Si",9,9,3,20,4
"120","UNMSM","Masculino",20,4,6,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Siempre","De acuerdo","Casi nunca","Si","Si",16.05,"No","Nunca","No","No","No","Si",9,8,4,20,0
"121","UNMSM","Femenino",18,3,5,6,"Aula virtual, Biblioteca virtual","Siempre","Si","Si","A veces","De acuerdo","Casi nunca","No","No",14.35,"No","Nunca","No","No","No","Si",7,7,3,19,0
