genero,edad,universidad,carrera,Ciclo,plataforma,idioma,horas_libres,horas_al_curso,gasto,utilidad,tema_interes,tema_desinteres,promedio,llamativo,cantidad,sincronia,trimestre,dispositivo
Hombre,21,Universidad San Ignacio de Loyola,Social,8,Domestika,Español,2,1,18,Si,Programacion,Marketing Digital,15,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,21,Universidad San Ignacio de Loyola,Social,8,Domestika,Español,3,NA,0,Si,Programacion,Cocina,15.2,Contenido,Grupal,Asincronas,1er,Celular
Hombre,20,Universidad San Ignacio de Loyola,Social,8,Crehana,Ingles,2,1,50,Si,Cocina,Programacion,16,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,25,Universidad de Ingenieria y Tecnologia,Ingenieria,5,Udemy,Español,3,1,0,Si,Ciencia,Desarrollo personal,16,Acreditación(Peso del curso online),Grupal,Asincronas,4to,Laptop
Hombre,19,Universidad de Lima,Ingenieria,4,Youtube,Español,6,6,3000,Si,Ciencia,Marketing Digital,16,Contenido,Personalizado,Sincronas,3er,Laptop
Hombre,19,Universidad de Lima,Social,4,Youtube,Español,4,NA,25,Si,Desarrollo personal,Ciencia,17,Contenido,Personalizado,Asincronas,1er,Laptop
Mujer,25,Universidad de Ingenieria y Tecnologia,Ingenieria,4,EdX,Español,3,NA,0,Si,Programacion,Desarrollo personal,NA,Precio,Grupal,Sincronas,1er,Laptop
Mujer,19,Universidad Nacional Mayor de San Marcos,Ciencia,2,Khan Academy,Español,5,4,200,Si,Desarrollo personal,Programacion,15,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,20,Universidad de Ingenieria y Tecnologia,Ingenieria,5,Crehana,Español,3,NA,0,Si,Idiomas,Programacion,15,Contenido,Grupal,Sincronas,1er,Laptop
Mujer,21,Universidad de Ingenieria y Tecnologia,Ingenieria,5,Crehana,Español,2,2,0,Si,Programacion,Cocina,14.58,Acreditación(Peso del curso online),Grupal,Sincronas,1er,Laptop
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Youtube,Ingles,2,1,100,Si,Idiomas,Marketing Digital,18,Apreciación de los usuarios,Grupal,Sincronas,1er,PC
Hombre,21,Universidad San Ignacio de Loyola,Social,8,Youtube,Español,3,3,0,Si,Programacion,Cocina,15,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,PC
Mujer,28,Universidad San Ignacio de Loyola,Social,8,Youtube,Español,4,2,100,Si,Programacion,Programacion,16,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,EdX,Español,3,1,500,No,Programacion,Cocina,17,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Hombre,20,Universidad de Ingenieria y Tecnologia,Ingenieria,8,EdX,Ingles,NA,0.1,0,Si,Programacion,Cocina,16,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,21,Universidad de Ingenieria y Tecnologia,Ingenieria,8,Coursera,Ingles,6,1,0,Si,Programacion,Marketing Digital,16.25,Contenido,Grupal,Asincronas,1er,Laptop
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Youtube,Ingles,6,2,20,Si,Programacion,Desarrollo personal,13,Contenido,Personalizado,Asincronas,1er,Laptop
Mujer,20,Universidad de Ingenieria y Tecnologia,Ingenieria,6,EdX,Ingles,7,1,0,Si,Programacion,Marketing Digital,17.330000000000002,Acreditación(Peso del curso online),Grupal,Asincronas,1er,Laptop
Hombre,18,Universidad de Lima,Ingenieria,4,Youtube,Español,4,1,0,Si,Marketing Digital,Programacion,16,Contenido,Personalizado,Sincronas,1er,PC
Hombre,20,Universidad de Lima,Social,6,Youtube,Español,8,2,0,Si,Marketing Digital,Programacion,15,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,18,Universidad de Lima,Ingenieria,4,Khan Academy,Español,5,2,2000,Si,Ciencia,Idiomas,16,Número de estudiantes,Personalizado,Sincronas,2do,PC
Mujer,18,Universidad de Ingenieria y Tecnologia,Ciencia,2,Youtube,Español,2,1,20,Si,Desarrollo personal,Ciencia,15,Contenido,Grupal,Sincronas,2do,Laptop
Hombre,19,Universidad de Ingenieria y Tecnologia,Ingenieria,6,EdX,Español,4,1,0,Si,Ciencia,Marketing Digital,16.84,Contenido,Grupal,Asincronas,1er,Laptop
Hombre,NA,Universidad Ricardo Palma,Ingenieria,10 a más,Youtube,Español,2,2,200,Si,Ciencia,Cocina,18,Acreditación(Peso del curso online),Grupal,Sincronas,3er,Laptop
Mujer,21,Pontificia Universidad Catolica del Peru,Social,6,EdX,Ingles,4,2,46.7,Si,Marketing Digital,Cocina,15.8,Apreciación de los usuarios,Grupal,Sincronas,3er,Tablet
Hombre,20,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Platzi,Español,7,4,30.75,Si,Programacion,Marketing Digital,16.87,Contenido,Personalizado,Sincronas,2do,PC
Hombre,18,Universidad de Lima,Social,2,Khan Academy,Ingles,5,1,13.6,Si,Marketing Digital,Ciencia,14.9,Apreciación de los usuarios,Personalizado,Asincronas,1er,Laptop
Hombre,19,Universidad Peruana Cayetano Heredia,Social,4,Crehana,Español,3,1,20,Si,Idiomas,Cocina,15.8,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Youtube,Español,6,NA,0,Si,Idiomas,Desarrollo personal,14.06,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,21,Universidad Nacional Hermilio Valdizán,Ingenieria,8,Youtube,Español,3,2,0,Si,Marketing Digital,Cocina,15,Contenido,Personalizado,Asincronas,1er,Laptop
Mujer,18,Universidad de Ingenieria y Tecnologia,Ingenieria,3,EdX,Ingles,2,1,150,Si,Programacion,Cocina,17,Acreditación(Peso del curso online),Personalizado,Asincronas,1er,Laptop
Hombre,23,Universidad de Ingenieria y Tecnologia,Ingenieria,3,EdX,Español,1.3,1.3,0,No,Ciencia,Programacion,13.8,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,22,Universidad San Ignacio de Loyola,Ciencia,10 a más,Youtube,Español,4,NA,400,Si,Marketing Digital,Idiomas,16,Apreciación de los usuarios,Grupal,Sincronas,3er,Laptop
Mujer,20,Universidad San Ignacio de Loyola,Social,7,Domestika,Español,2,1,50,Si,Idiomas,Programacion,15,Contenido,Personalizado,Asincronas,1er,Laptop
Hombre,23,Universidad San Ignacio de Loyola,Social,8,Youtube,Español,4,4,100,Si,Idiomas,Ciencia,16,Apreciación de los usuarios,Grupal,Sincronas,4to,Celular
Hombre,24,Universidad San Ignacio de Loyola,Ingenieria,8,Youtube,Ingles,3,1,20,Si,Marketing Digital,Cocina,14,Acreditación(Peso del curso online),Grupal,Sincronas,1er,Laptop
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,3,Udemy,Ingles,4,1.5,15.5,Si,Programacion,Marketing Digital,17.75,Contenido,Personalizado,Asincronas,1er,PC
Hombre,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Youtube,Ingles,6,NA,0,Si,Programacion,Marketing Digital,15.450000000000001,Apreciación de los usuarios,Personalizado,Asincronas,1er,PC
Hombre,17,Universidad de Lima,Social,2,Domestika,Español,4,NA,400,No,Ciencia,Idiomas,15,Contenido,Personalizado,Sincronas,3er,Laptop
Hombre,17,Universidad de Ingenieria y Tecnologia,Ingenieria,2,Youtube,Ingles,5,2,3200,Si,Programacion,Marketing Digital,NA,Contenido,Personalizado,Sincronas,1er,PC
Mujer,19,Universidad de Ingenieria y Tecnologia,Ciencia,2,Platzi,Español,1,1,111,Si,Programacion,Cocina,16,Contenido,Personalizado,Asincronas,1er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Udemy,Español,2,1,0,Si,Ciencia,Programacion,15.46,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Hombre,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Domestika,Español,3,NA,10,Si,Programacion,Desarrollo personal,17.810000000000002,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,18,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Crehana,Español,3,1,0,Si,Programacion,Marketing Digital,16.52,Contenido,Personalizado,Asincronas,1er,Laptop
Hombre,22,Universidad de Ingenieria y Tecnologia,Ingenieria,7,Youtube,Español,4,2,0,Si,Idiomas,Cocina,17.419999999999998,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Mujer,18,Universidad de Ingenieria y Tecnologia,Ingenieria,5,EdX,Ingles,4,1,0,Si,Ciencia,Cocina,18,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,27,Universidad ESAN,Ciencia,10 a más,Crehana,Español,6,3,300,Si,Marketing Digital,Cocina,16,Apreciación de los usuarios,Grupal,Asincronas,3er,Laptop
Hombre,19,Universidad de Ingenieria y Tecnologia,Ingenieria,6,EdX,Ingles,1,NA,0,Si,Ciencia,Marketing Digital,15.629999999999999,Contenido,Grupal,Asincronas,1er,Laptop
Hombre,22,Pontificia Universidad Catolica del Peru,Social,6,Udemy,Español,6,2,23.5,Si,Marketing Digital,Cocina,17.5,Acreditación(Peso del curso online),Personalizado,Asincronas,4to,Laptop
Mujer,22,Universidad Peruana de Ciencias A Aplicadas,Social,4,Khan Academy,Español,4,1,0,Si,Ciencia,Programacion,13,Contenido,Personalizado,Asincronas,3er,Laptop
Hombre,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,EDTeam,Ingles,9,3,20,Si,Programacion,Desarrollo personal,16.45,Apreciación de los usuarios,Personalizado,Asincronas,1er,Laptop
Hombre,18,Universidad de Lima,Social,2,Youtube,Ingles,4,2,0,Si,Marketing Digital,Cocina,15.78,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,20,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Platzi,Español,5,1,15,Si,Idiomas,Cocina,15.34,Acreditación(Peso del curso online),Personalizado,Asincronas,1er,Laptop
Mujer,18,Universidad San Ignacio de Loyola,Ingenieria,2,Khan Academy,Ingles,4,1,25.99,Si,Marketing Digital,Cocina,17.43,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,17,Pontificia Universidad Catolica del Peru,Ciencia,1,Udemy,Español,2,1,0,Si,Idiomas,Desarrollo personal,16.32,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,3,Udemy,Ingles,6,1,0,Si,Programacion,Idiomas,14.67,Número de estudiantes,Grupal,Sincronas,1er,Laptop
Hombre,24,Universidad de Lima,Social,6,Youtube,Ingles,10,NA,0,Si,Marketing Digital,Ciencia,15.76,Precio,Personalizado,Sincronas,1er,Tablet
Hombre,17,Universidad San Ignacio de Loyola,Ingenieria,1,Udemy,Español,6,NA,0,Si,Marketing Digital,Cocina,14.54,Número de estudiantes,Personalizado,Sincronas,1er,PC
Mujer,19,Universidad San Martin de Porres,Social,4,Udemy,Español,6,2,0,Si,Idiomas,Cocina,18.3,Número de estudiantes,Personalizado,Sincronas,1er,Laptop
Hombre,20,Universidad Nacional de Ingeniera,Ingenieria,4,Youtube,Español,1,NA,0,Si,Idiomas,Desarrollo personal,14.4,Contenido,Personalizado,Sincronas,1er,PC
Mujer,19,Universidad Nacional de Ingeniera,Ingenieria,6,Platzi,Español,2.5,1.5,0,Si,Programacion,Desarrollo personal,17.459999999999997,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Hombre,21,Universidad San Ignacio de Loyola,Social,8,Domestika,Español,2,NA,1,Si,Programacion,Marketing Digital,15,Número de estudiantes,Grupal,Sincronas,1er,Laptop
Mujer,26,Universidad Peruana de Ciencias A Aplicadas,Social,7,Udemy,Español,6,1,254.73,Si,Idiomas,Cocina,17.43,Apreciación de los usuarios,Grupal,Sincronas,3er,Celular
Hombre,23,Universidad San Martin de Porres,Social,5,Youtube,Ingles,3,1,0,Si,Idiomas,Desarrollo personal,16.5,Contenido,Personalizado,Sincronas,4to,PC
Hombre,20,Universidad San Ignacio de Loyola,Social,7,Crehana,Español,1,1,35,Si,Idiomas,Cocina,16,Acreditación(Peso del curso online),Grupal,Sincronas,3er,Laptop
Mujer,26,Pontificia Universidad Catolica del Peru,Social,7,EDTeam,Ingles,8,NA,0,Si,Marketing Digital,Cocina,15.4,Contenido,Personalizado,Sincronas,1er,Tablet
Mujer,24,Instituto San Ignacio de Loyola,Social,7,Udemy,Español,4,1,12.3,Si,Marketing Digital,Cocina,16.3,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Hombre,18,Universidad de Lima,Social,4,Udemy,Español,14,2,20,Si,Idiomas,Cocina,18.34,Número de estudiantes,Personalizado,Sincronas,4to,Celular
Mujer,19,Universidad Daniel Alcides Carrión,Ingenieria,7,Coursera,Español,3,1,0,Si,Idiomas,Cocina,17.32,Contenido,Grupal,Asincronas,1er,Laptop
Mujer,20,Universidad de Ingenieria y Tecnologia,Ingenieria,2,Udemy,Ingles,4,1,0,No,Ciencia,Cocina,15.34,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,18,Universidad de Lima,Ingenieria,4,EdX,Ingles,5,3,50,Si,Programacion,Cocina,18.6,Acreditación(Peso del curso online),Grupal,Sincronas,1er,Laptop
Hombre,19,Universidad Peruana Cayetano Heredia,Social,4,Platzi,Ingles,4,1,250,Si,Idiomas,Ciencia,14.32,Número de estudiantes,Personalizado,Sincronas,1er,Laptop
Hombre,18,Universidad Nacional Mayor de San Marcos,Ciencia,5,Udemy,Español,NA,4,300,Si,Idiomas,Cocina,15.8,Número de estudiantes,Personalizado,Sincronas,1er,Tablet
Hombre,19,Pontificia Universidad Catolica del Peru,Ingenieria,4,Udemy,Español,3,2,32,Si,Programacion,Cocina,16.89,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,25,Universidad de Lima,Social,8,EDTeam,Ingles,5,2,17.45,Si,Idiomas,Programacion,13.4,Número de estudiantes,Grupal,Asincronas,1er,Laptop
Hombre,19,Universidad de Ingenieria y Tecnologia,Ingenieria,6,EdX,Ingles,2,2,0,Si,Ciencia,Marketing Digital,16.8,Contenido,Grupal,Asincronas,1er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,EdX,Ingles,2,NA,500,Si,Ciencia,Cocina,17,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Mujer,18,Universidad Daniel Alcides Carrión,Social,8,Youtube,Español,3,1,0,Si,Ciencia,Desarrollo personal,18.23,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Hombre,22,Universidad Nacional Daniel Alcides Carrión,Social,5,Platzi,Español,4,2,0,Si,Desarrollo personal,Ciencia,15.450000000000001,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Hombre,22,Universidad Nacional Daniel Alcides Carrión,Ciencia,7,Udemy,Español,3,1,0,Si,Marketing Digital,Cocina,16.72,Contenido,Grupal,Sincronas,1er,Laptop
Mujer,21,Universidad Nacional Daniel Alcides Carrión,Ciencia,8,Crehana,Español,4,2,0,Si,Ciencia,Marketing Digital,18.52,Número de estudiantes,Personalizado,Sincronas,1er,Laptop
Hombre,21,Universidad Nacional Daniel Alcides Carrión,Ingenieria,9,Coursera,Español,4,1,0,Si,Ciencia,Desarrollo personal,14.229999999999999,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,19,Universidad Nacional Daniel Alcides Carrión,Social,4,Crehana,Español,3,1,0,Si,Ciencia,Cocina,17.45,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Mujer,21,Universidad Nacional Daniel Alcides Carrión,Social,6,Youtube,Español,2,1,0,Si,Ciencia,Programacion,18.24,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,21,Universidad Nacional Daniel Alcides Carrión,Social,7,Khan Academy,Español,4,1,0,Si,Desarrollo personal,Cocina,15.44,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,19,Universidad Nacional Daniel Alcides Carrión,Social,4,Udemy,Español,3,1,0,Si,Ciencia,Cocina,18.23,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,19,Universidad Nacional Daniel Alcides Carrión,Ciencia,8,Youtube,Español,5,2,0,Si,Desarrollo personal,Programacion,13.25,Acreditación(Peso del curso online),Grupal,Asincronas,1er,Laptop
Mujer,19,Universidad Nacional Daniel Alcides Carrión,Ciencia,6,Youtube,Español,3,1,0,Si,Ciencia,Marketing Digital,15.629999999999999,Apreciación de los usuarios,Grupal,Asincronas,1er,Laptop
Mujer,25,Universidad Nacional Daniel Alcides Carrión,Ingenieria,9,EDTeam,Español,2,1,0,Si,Ciencia,Desarrollo personal,14.33,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,24,Universidad Nacional Daniel Alcides Carrión,Social,3,Platzi,Español,4,1,0,Si,Desarrollo personal,Cocina,15.209999999999999,Contenido,Grupal,Asincronas,1er,Tablet
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,2,Udemy,Ingles,3,1,14,Si,Programacion,Desarrollo personal,13,Apreciación de los usuarios,Personalizado,Asincronas,1er,Laptop
Hombre,20,Universidad Peruana de Ciencias A Aplicadas,Social,6,Youtube,Español,4,2,0,Si,Ciencia,Cocina,17,Contenido,Personalizado,Asincronas,2do,PC
Hombre,19,Universidad Nacional de Ingeniera,Ingenieria,5,Crehana,Español,3,2,20,Si,Ciencia,Cocina,15,Contenido,Personalizado,Asincronas,1er,Laptop
Mujer,17,Universidad de Ingenieria y Tecnologia,Ingenieria,2,EdX,Ingles,4,1,45,Si,Programacion,Marketing Digital,16.7,Acreditación(Peso del curso online),Grupal,Asincronas,1er,Tablet
Hombre,20,Universidad César Vallejo,Social,3,Youtube,Español,4,2,0,Si,Ciencia,Idiomas,17.3,Profesores,Personalizado,Asincronas,4to,PC
Mujer,23,Universidad de Ingenieria y Tecnologia,Ingenieria,5,Coursera,Español,2,1,0,Si,Ciencia,Programacion,15,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,21,Pontificia Universidad Catolica del Peru,Ciencia,8,Youtube,Ingles,5,NA,100,Si,Desarrollo personal,Cocina,14,Contenido,Grupal,Asincronas,4to,Celular
Mujer,22,Universidad de Ingenieria y Tecnologia,Ingenieria,2,Udemy,Español,4,2,0,Si,Ciencia,Cocina,16.53,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Hombre,21,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Khan Academy,Español,3,1,0,Si,Ciencia,Marketing Digital,15.639999999999999,Contenido,Grupal,Asincronas,3er,Laptop
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Youtube,Español,3,NA,0,Si,Desarrollo personal,Programacion,13,Precio,Personalizado,Asincronas,3er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,9,Crehana,Español,4,2,0,Si,Ciencia,Desarrollo personal,18.34,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,21,Universidad de Ingenieria y Tecnologia,Ingenieria,4,EdX,Español,5,2,100,Si,Programacion,Marketing Digital,19,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Mujer,23,Pontificia Universidad Catolica del Peru,Ingenieria,10 a más,Khan Academy,Español,2,2,0,Si,Marketing Digital,Cocina,13,Precio,Grupal,Sincronas,1er,Laptop
Mujer,21,Universidad de Ingenieria y Tecnologia,Ingenieria,8,Khan Academy,Español,4,1,0,Si,Ciencia,Cocina,15.209999999999999,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Youtube,Español,2,NA,0,No,Programacion,Marketing Digital,15.78,Apreciación de los usuarios,Grupal,Asincronas,4to,Laptop
Hombre,22,Pontificia Universidad Catolica del Peru,Ingenieria,10 a más,Coursera,Ingles,3,1,0,Si,Ciencia,Programacion,14,Acreditación(Peso del curso online),Personalizado,Asincronas,1er,Laptop
Hombre,20,Universidad de Lima,Ciencia,5,Khan Academy,Español,4,1,0,Si,Idiomas,Programacion,15,Acreditación(Peso del curso online),Personalizado,Asincronas,1er,Laptop
Mujer,23,Universidad de Lima,Ingenieria,3,Udemy,Español,2,NA,0,Si,Desarrollo personal,Idiomas,16.6,Contenido,Personalizado,Asincronas,1er,Laptop
Hombre,20,Universidad Peruana Cayetano Heredia,Social,6,Udemy,Español,4,2,0,Si,Ciencia,Cocina,14.34,Contenido,Grupal,Sincronas,1er,PC
Hombre,20,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Khan Academy,Ingles,1.5,0.1,0,Si,Ciencia,Marketing Digital,15.06,Acreditación(Peso del curso online),Personalizado,Asincronas,2do,Laptop
Mujer,20,Pontificia Universidad Catolica del Peru,Ingenieria,5,Khan Academy,Español,2.5,1,50,Si,Programacion,Marketing Digital,15.6,Contenido,Grupal,Sincronas,1er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,EdX,Ingles,4,3,350,Si,Programacion,Ciencia,17,Profesores,Grupal,Asincronas,1er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,7,Youtube,Español,3,1,0,Si,Ciencia,Cocina,15.139999999999999,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,20,Universidad de Lima,Ciencia,6,EdX,Ingles,3,NA,0,Si,Marketing Digital,Ciencia,15.41,Profesores,Personalizado,Sincronas,1er,Laptop
Mujer,19,Universidad Peruana Cayetano Heredia,Social,4,Youtube,Ingles,4,1,0,Si,Idiomas,Cocina,16.22,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,22,Pontificia Universidad Catolica del Peru,Social,8,Udemy,Ingles,4,2,70,Si,Marketing Digital,Ciencia,17,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Mujer,18,Universidad de Ingenieria y Tecnologia,Ingenieria,5,Youtube,Español,4,2,0,Si,Ciencia,Programacion,13.18,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Hombre,23,Universidad San Martin de Porres,Ciencia,6,Udemy,Español,4,2,123.86,Si,Marketing Digital,Idiomas,18.9,Apreciación de los usuarios,Grupal,Sincronas,4to,Tablet
Hombre,24,Universidad de Ingenieria y Tecnologia,Ingenieria,7,Khan Academy,Español,3,1,0,Si,Ciencia,Marketing Digital,12.350000000000001,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,19,Universidad Peruana Cayetano Heredia,Ingenieria,4,EdX,Ingles,3,1,500,Si,Idiomas,Cocina,17.479999999999997,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,2,Khan Academy,Ingles,10,2,29.99,Si,Programacion,Marketing Digital,15.55,Contenido,Personalizado,Sincronas,4to,PC
Hombre,24,Universidad de Ingenieria y Tecnologia,Ingenieria,9,EdX,Español,4,1,0,Si,Ciencia,Desarrollo personal,13.219999999999999,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,24,Universidad de Ingenieria y Tecnologia,Ingenieria,9,Youtube,Español,3,1,0,Si,Programacion,Cocina,16.330000000000002,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,19,Universidad de Ingenieria y Tecnologia,Ingenieria,5,Khan Academy,Español,3,1,0,Si,Programacion,Desarrollo personal,15.61,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
