ciclo,n_cursos,carrera,sexo,promedio,horas_sueno_dia,horas_deporte_dia,horas_videojuegos_dia,dias_desayuna,dias_almuerza,dias_cena,toma_apuntes_ciencias,toma_apuntes_humanidades,tecnica_preferida_ciencias,horas_tecnica_preferida_ciencias,tecnica_preferida_humanidades,horas_tecnica_preferida_humanidades,horas_estudio_dia,utiliza_repeticion_espaciada,utiliza_recuperacion_activa,considera_curso_ayuda
9,1,Ingeniería Química,NA,16,8,NA,NA,NA,NA,NA,TRUE,TRUE,Reescribir,6,Reescribir,2,8,FALSE,FALSE,NA
2,7,Ingeniería Química,NA,15,5,NA,NA,NA,NA,NA,TRUE,FALSE,Reescribir,4,Leer,1,5,FALSE,FALSE,NA
9,4,Ingeniería Industrial,NA,14.92,6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,2,Ninguna,0,2,FALSE,FALSE,NA
6,7,Ingeniería Industrial,NA,17.15,7,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,3,Leer,2,3,FALSE,FALSE,NA
7,5,Bioingeniería,NA,16,8,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,0.5,Ninguna,0,1,FALSE,FALSE,NA
2,5,Ingeniería Industrial,NA,15,5,NA,NA,NA,NA,NA,TRUE,TRUE,Leer,5,Resaltar,5,5,FALSE,FALSE,NA
2,6,Ingeniería Industrial,NA,14.5,7,NA,NA,NA,NA,NA,FALSE,FALSE,Reescribir,2,Leer,2,6,FALSE,FALSE,NA
2,7,Ingeniería Mecatrónica,NA,17.3,8,NA,NA,NA,NA,NA,FALSE,FALSE,Problemas,1,Problemas,1,1,FALSE,FALSE,NA
1,5,Ciencia de Datos,NA,14,7,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,2,Ninguna,2,6,TRUE,TRUE,NA
2,7,Ingeniería Industrial,NA,16,6,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,2,Resaltar,2,4,FALSE,TRUE,NA
5,6,Bioingeniería,NA,15.7,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,2,Reescribir,2,4,TRUE,FALSE,NA
2,6,Ingeniería Civil,NA,16,7,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,4,Flashcards,3,7,TRUE,TRUE,NA
2,7,Bioingeniería,NA,17.01,5,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,6,Ninguna,1,10,FALSE,FALSE,NA
9,3,Ingeniería Electrónica,NA,15,7,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,4,Flashcards,2,4,TRUE,TRUE,NA
4,7,Ingeniería Civil,NA,14,6,NA,NA,NA,NA,NA,TRUE,TRUE,Reescribir,4,Leer,1,4,FALSE,TRUE,NA
6,7,Bioingeniería,NA,15.17,6.5,NA,NA,NA,NA,NA,TRUE,FALSE,Grupo,3,Grupo,0,3,TRUE,TRUE,NA
5,5,Ingeniería Ambiental,NA,15,5,NA,NA,NA,NA,NA,TRUE,TRUE,Ninguna,1.5,Ninguna,0.5,2,FALSE,FALSE,NA
7,6,Ciencia de la Computación,NA,16.6,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,1,Reescribir,1,4,FALSE,FALSE,NA
2,7,Ingeniería Industrial,NA,15.9,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,5,Resaltar,4,5,FALSE,FALSE,NA
3,7,Ciencia de la Computación,NA,15.65,6,NA,NA,NA,NA,NA,TRUE,FALSE,Leer,2,Reescribir,1,3.5,FALSE,FALSE,NA
7,5,Ciencia de la Computación,NA,15,8,NA,NA,NA,NA,NA,TRUE,FALSE,Reescribir,4,Ninguna,0,6,FALSE,FALSE,NA
4,5,Bioingeniería,NA,14,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,4,Leer,4,3,FALSE,FALSE,NA
2,6,Ingeniería Industrial,NA,17.75,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,4,Resaltar,2,4,TRUE,TRUE,NA
7,6,Ingeniería Mecatrónica,NA,17.64,7,NA,NA,NA,NA,NA,FALSE,FALSE,NA,3,NA,1,3,TRUE,FALSE,NA
2,7,Ingeniería Industrial,NA,14,5,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,3,Leer,1,4,TRUE,TRUE,NA
2,7,Ingeniería Ambiental,NA,13,4,NA,NA,NA,NA,NA,TRUE,FALSE,Leer,3,Leer,3,5,TRUE,TRUE,NA
2,7,Ingeniería Industrial,NA,13.9,7,NA,NA,NA,NA,NA,TRUE,FALSE,Reescribir,6,Resaltar,2,7,TRUE,FALSE,NA
6,3,Ingeniería Mecánica,NA,13.9,6,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,4,Grupo,1,5,FALSE,TRUE,NA
8,4,Ingeniería Química,NA,14,7,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,2,Leer,2,2,FALSE,FALSE,NA
3,6,Ingeniería Mecatrónica,NA,15,8,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,2,Resaltar,1,5,FALSE,TRUE,NA
2,6,Ciencia de la Computación,NA,16.8,7,NA,NA,NA,NA,NA,TRUE,TRUE,Grupo,4,Resaltar,1,4,TRUE,TRUE,NA
2,7,Bioingeniería,NA,15,6,NA,NA,NA,NA,NA,TRUE,FALSE,Grupo,2,Resaltar,2,4,FALSE,TRUE,NA
7,5,Ingeniería Mecatrónica,NA,16.02,8,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,4,Reescribir,0.5,4,FALSE,FALSE,NA
7,6,Ingeniería Mecánica,NA,14,5,NA,NA,NA,NA,NA,TRUE,TRUE,NA,6,NA,1,7,FALSE,FALSE,NA
2,7,Ingeniería Ambiental,NA,11,5,NA,NA,NA,NA,NA,FALSE,FALSE,Leer,2,Reescribir,4,5,TRUE,TRUE,NA
7,6,Ingeniería Mecánica,NA,15.17,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,4,Resaltar,2,3,FALSE,TRUE,NA
3,5,Administración & Negocios Digitales,NA,17,6,1,0,NA,NA,NA,TRUE,TRUE,Reescribir,3,Resaltar,2,5,FALSE,FALSE,NA
2,6,Ciencia de la Computación,NA,14,6,0,2,NA,NA,NA,TRUE,FALSE,Problemas,3,Leer,2,4,FALSE,TRUE,NA
3,6,Ciencia de la Computación,NA,17.85,7,0,4,7,6,6,FALSE,FALSE,Problemas,1,Leer,1,6,FALSE,FALSE,FALSE
9,5,Ingeniería Mecatrónica,M,13.14,7,0.5,4,7,7,7,TRUE,TRUE,Grupo,2,NA,1,3,FALSE,FALSE,TRUE
6,5,Ingeniería Mecánica,M,13,7,0.42,1,7,7,7,TRUE,TRUE,Problemas,1,Leer,0.5,3,FALSE,FALSE,TRUE
10,4,Ingeniería Industrial,M,14,7,1,1,7,7,2,TRUE,TRUE,Problemas,2,Flashcards,2,5,TRUE,TRUE,TRUE
2,7,Bioingeniería,M,13,6,1,0,1,1,1,TRUE,TRUE,Leer,1,Leer,0,1,FALSE,FALSE,TRUE
3,6,Ingeniería Mecatrónica,M,18.32,7,0,3,5,7,7,TRUE,FALSE,Problemas,3,Leer,1,4,TRUE,FALSE,FALSE
2,7,Ingeniería Industrial,M,15.2,8,0,1,7,7,7,TRUE,TRUE,Leer,4,Leer,4,4,TRUE,TRUE,TRUE
2,7,Ingeniería Civil,F,14.08,5,0,0,6,6,6,TRUE,FALSE,Problemas,4,Reescribir,1,5,FALSE,TRUE,TRUE
2,7,Ingeniería Civil,F,15.25,5,1,2,6,5,3,TRUE,FALSE,Leer,3,Resaltar,2,5,FALSE,FALSE,TRUE
3,4,Ingeniería Mecatrónica,F,16,9,0.5,1,6,7,5,TRUE,FALSE,Reescribir,2,Ninguna,0,2,FALSE,FALSE,TRUE
7,5,Ingeniería Industrial,M,12,8,0,0,4,7,7,TRUE,TRUE,Grupo,3,Flashcards,3,6,TRUE,TRUE,TRUE
5,5,Ingeniería Mecánica,M,11.29,5,0,0,3,7,5,TRUE,FALSE,Problemas,2,Ninguna,0,2,FALSE,FALSE,TRUE
2,7,Bioingeniería,F,15.87,5,0,0,7,6,6,TRUE,TRUE,Flashcards,4,Leer,1,5,FALSE,FALSE,TRUE
3,5,Ingeniería Civil,M,14.6,7,1,0,7,7,7,TRUE,FALSE,Reescribir,5,NA,1,5,FALSE,FALSE,TRUE
2,7,Ingeniería Industrial,M,17.24,7,0,0,7,7,7,TRUE,TRUE,Problemas,2,Ninguna,0,7,FALSE,FALSE,TRUE
7,6,Ingeniería Mecatrónica,M,16.89,8,2,0,7,7,7,TRUE,FALSE,Problemas,13,Ninguna,0,7,TRUE,FALSE,TRUE
2,7,Ingeniería Civil,M,14,5,0,0,6,7,7,TRUE,FALSE,Reescribir,3,Leer,1,6,FALSE,TRUE,TRUE
3,5,Ingeniería Civil,M,15.83,7,0,4,7,7,7,TRUE,FALSE,NA,1,Ninguna,0,1,FALSE,FALSE,TRUE
4,7,Ingeniería Mecatrónica,M,13.64,7,0,1,7,7,7,TRUE,FALSE,Problemas,1.5,Ninguna,0,2,FALSE,TRUE,TRUE
5,5,Bioingeniería,F,14.3,7,0,0,5,7,4,TRUE,FALSE,Reescribir,2,Leer,0,2,FALSE,FALSE,TRUE
3,6,Ingeniería Mecánica,M,15,7,15,0,7,7,7,TRUE,TRUE,Problemas,2,Resaltar,1,3,FALSE,FALSE,TRUE
8,6,Ingeniería de la Energía,M,13.5,8,1,1,7,7,7,TRUE,TRUE,Leer,4,Leer,1,5,FALSE,FALSE,TRUE
7,6,Ingeniería Electrónica,M,15.8,7,1,1,5,7,7,TRUE,FALSE,Grupo,2,Resaltar,2,4,FALSE,FALSE,FALSE
2,6,Ciencia de Datos,F,12,8,1,0,6,7,5,TRUE,TRUE,Problemas,3,Leer,2,2,TRUE,TRUE,TRUE
2,6,Ingeniería Civil,F,16.01,7,1,0,7,7,7,TRUE,FALSE,Reescribir,5,Reescribir,2,5,FALSE,FALSE,TRUE
10,2,Ingeniería Industrial,F,19,5,0.5,0,2,5,3,FALSE,FALSE,Grupo,3,Ninguna,0.5,5,TRUE,FALSE,FALSE
7,5,Ingeniería Mecatrónica,M,15,6,1,0,7,7,2,TRUE,TRUE,Reescribir,3,Reescribir,3,5,TRUE,TRUE,TRUE
4,6,Ingeniería Mecatrónica,M,15,7,1,0,7,7,7,TRUE,FALSE,NA,4,Leer,1,4,FALSE,FALSE,TRUE
6,5,Ingeniería Mecatrónica,M,14.7,7,2,0,7,7,7,FALSE,FALSE,Grupo,0.2,Leer,0.2,0.4,FALSE,FALSE,TRUE
2,7,Ingeniería Ambiental,F,15.95,5,0,0,2,5,7,TRUE,TRUE,Problemas,2,Resaltar,2,4,FALSE,FALSE,TRUE
3,6,Bioingeniería,F,17.61,7,0,0.5,7,7,7,TRUE,FALSE,Problemas,6,Leer,0.5,6,TRUE,TRUE,FALSE
6,8,Ingeniería Ambiental,M,17.17,5,2,1,6,7,6,TRUE,TRUE,Reescribir,2,Reescribir,1,3,FALSE,FALSE,TRUE
2,7,Ingeniería Mecatrónica,M,14.9,6,0,0.3,7,7,7,TRUE,FALSE,Problemas,2,Resaltar,1,4,FALSE,FALSE,TRUE
3,8,Ingeniería Mecatrónica,M,11,8,0,1,2,7,7,TRUE,TRUE,Problemas,6,Leer,2,8,FALSE,TRUE,TRUE
2,6,Ciencia de la Computación,M,15,8,1,2,7,7,7,TRUE,TRUE,Problemas,1,Leer,1,2,TRUE,TRUE,TRUE
2,7,Ingeniería Civil,M,10.35,6,0,1,7,7,7,TRUE,TRUE,Reescribir,1,Ninguna,1,3,FALSE,FALSE,TRUE
5,6,Ingeniería Industrial,M,14.61,8,1,0,7,7,7,TRUE,TRUE,Problemas,2,NA,0,2,FALSE,TRUE,TRUE
2,6,Ingeniería Industrial,F,14,6,0,0,7,7,7,TRUE,TRUE,Problemas,2,Leer,1,1,TRUE,FALSE,TRUE
6,5,Ingeniería Industrial,M,14.75,6,1,0.5,4,5,7,TRUE,TRUE,Resaltar,2,Leer,1,2,FALSE,FALSE,TRUE
4,5,Ingeniería Mecánica,M,14,6,1,1,6,7,6,TRUE,TRUE,Problemas,3,Leer,2,2,FALSE,FALSE,TRUE
2,6,Ingeniería Mecánica,F,17.05,7,1,0,7,7,7,TRUE,TRUE,Problemas,5,Resaltar,2,10,TRUE,FALSE,TRUE
5,5,Ingeniería Electrónica,M,14.5,6,0,2,7,7,0,TRUE,FALSE,Reescribir,4,Ninguna,0,6,FALSE,FALSE,TRUE
5,5,Ciencia de la Computación,M,17.53,8,1,2,7,7,7,TRUE,TRUE,Problemas,3,NA,1,4,TRUE,FALSE,TRUE
2,7,Ingeniería Mecatrónica,F,14.79,6,0,0,7,7,7,TRUE,TRUE,Problemas,3,Resaltar,2,5,TRUE,FALSE,TRUE
7,5,Ingeniería Química,M,15,8,1,3,7,7,7,TRUE,FALSE,Leer,1,Ninguna,0,1,TRUE,TRUE,TRUE
6,4,Ingeniería Mecatrónica,M,11.5,6,0,2,3,7,4,TRUE,TRUE,Problemas,2,Problemas,2,2,FALSE,FALSE,TRUE
5,4,Ingeniería Mecánica,F,12.5,8,0,3,4,7,6,FALSE,FALSE,Reescribir,2,Resaltar,1,2,FALSE,FALSE,TRUE
3,6,Ciencia de la Computación,M,14.07,6,1,0,5,5,4,TRUE,FALSE,Problemas,2,Ninguna,0,2,TRUE,TRUE,TRUE
4,6,Bioingeniería,M,16.8,5,0,4,6,7,6,FALSE,FALSE,Reescribir,3,Ninguna,0,3,FALSE,TRUE,TRUE
5,7,Ingeniería Industrial,F,16.26,9,0,1,7,7,2,TRUE,TRUE,Leer,2,Leer,1,3,FALSE,FALSE,TRUE
8,7,Bioingeniería,M,15.73,7,1,4,6,7,7,FALSE,FALSE,Grupo,0,Problemas,0,16,FALSE,FALSE,FALSE
3,6,Ciencia de la Computación,F,14,7,0,0,7,7,7,TRUE,TRUE,Leer,2,Resaltar,2,2,FALSE,FALSE,TRUE
5,5,Ingeniería Química,M,15,6,0,2,2,7,3,TRUE,FALSE,Ninguna,2,NA,0,2,FALSE,FALSE,TRUE
3,6,Ingeniería Mecatrónica,M,15.6,5,1,2,7,7,7,TRUE,FALSE,Reescribir,5,Leer,1,1,TRUE,FALSE,TRUE
2,6,Ingeniería Industrial,M,15,6,2,0.5,7,7,7,TRUE,FALSE,Problemas,6,Reescribir,3,8,FALSE,FALSE,TRUE
4,4,Ingeniería Mecánica,M,13,7,3,0,7,7,7,TRUE,TRUE,Problemas,3,Reescribir,3,4,TRUE,FALSE,TRUE
5,6,Ingeniería de la Energía,F,17,6,0,0,7,7,7,TRUE,FALSE,Problemas,4,Resaltar,2,6,FALSE,FALSE,FALSE
2,6,Ingeniería Civil,M,14,7,1,0,7,7,7,TRUE,TRUE,Reescribir,5,Flashcards,3,3,FALSE,TRUE,TRUE
5,6,Ingeniería Mecatrónica,M,16.77,6,0,3,7,7,7,TRUE,TRUE,Problemas,3,Reescribir,1,4,FALSE,FALSE,TRUE
7,5,Ingeniería Mecatrónica,M,13.5,6,0,0.8,4,5,6,TRUE,FALSE,Problemas,3,NA,1,5,TRUE,TRUE,TRUE
7,6,Ingeniería Industrial,M,16,8,1,0,6,7,7,FALSE,FALSE,Leer,1,Leer,0,1,TRUE,FALSE,FALSE
2,7,Ingeniería Civil,M,9,7,0,0,7,7,7,TRUE,TRUE,Reescribir,3,Resaltar,2,4,FALSE,TRUE,TRUE
1,7,Ingeniería Electrónica,F,17.3,6,0,2,2,3,0,TRUE,FALSE,Grupo,3,Leer,1,6,FALSE,FALSE,TRUE
2,7,Ingeniería Mecatrónica,M,15,4,0,1,0,4,0,TRUE,FALSE,Problemas,13,Leer,3,13,FALSE,TRUE,TRUE
7,7,Ingeniería Mecánica,M,13.89,6,1,0,4,7,7,TRUE,TRUE,Leer,5,Problemas,1,6,FALSE,FALSE,TRUE
2,6,Ingeniería Ambiental,F,12,5,1,0,7,7,7,TRUE,FALSE,Flashcards,2,Reescribir,1,2,FALSE,FALSE,TRUE
2,7,Ingeniería Civil,M,17,5,1,0,7,7,7,TRUE,TRUE,Problemas,11,Resaltar,4,13,TRUE,TRUE,TRUE
9,5,Ingeniería Civil,M,15.45,7,1.5,1,7,7,6,TRUE,FALSE,Problemas,2,Leer,1,3,FALSE,FALSE,TRUE
6,5,Ingeniería Electrónica,M,14,6,1,3,6,7,7,TRUE,TRUE,Problemas,2,Resaltar,0.5,3,FALSE,FALSE,TRUE
4,4,Ciencia de la Computación,F,13.23,7,0,2,2,7,6,TRUE,FALSE,Reescribir,6,Leer,1,7,FALSE,FALSE,TRUE
6,6,Ingeniería Mecatrónica,M,16.04,7.5,0.5,0,7,7,7,TRUE,TRUE,Grupo,4,Reescribir,1,4,FALSE,FALSE,TRUE
2,6,Ingeniería Mecatrónica,M,14,7,1,1,7,7,3,TRUE,FALSE,Flashcards,4,Leer,3,6,FALSE,FALSE,TRUE
2,6,Ingeniería Civil,M,14,6,0.5,1,7,5,4,TRUE,TRUE,Problemas,5,Leer,3,3,FALSE,FALSE,TRUE
2,6,Ingeniería Civil,M,15.2,8,8,3,7,7,7,FALSE,FALSE,Problemas,6,Leer,6,6,FALSE,TRUE,TRUE
7,5,Ingeniería Mecánica,M,12,6,4,0,7,7,7,TRUE,FALSE,Problemas,5,Grupo,2,6,TRUE,TRUE,TRUE
6,5,Ciencia de la Computación,M,12,6,0,0,7,7,5,TRUE,FALSE,Reescribir,2,Flashcards,0,6,FALSE,FALSE,FALSE
3,5,Ingeniería Mecatrónica,M,13,10,1,2,7,7,7,TRUE,FALSE,Flashcards,4,Flashcards,2,8,FALSE,TRUE,TRUE
7,6,Ingeniería Industrial,F,17,4,1,0,7,7,7,TRUE,TRUE,Reescribir,2,Reescribir,1,1,TRUE,TRUE,TRUE
9,5,Ingeniería Industrial,M,16.85,6,0,3,0,7,7,FALSE,FALSE,Grupo,3,Resaltar,3,2,FALSE,FALSE,FALSE
8,4,Ingeniería Electrónica,M,13,6,0,1,3,7,6,TRUE,FALSE,Problemas,4,Grupo,3,5,TRUE,FALSE,FALSE
9,3,Ingeniería Mecatrónica,M,15.85,8,2,1,7,7,7,TRUE,FALSE,Ninguna,2,Ninguna,0,2,TRUE,FALSE,TRUE
6,7,Ingeniería Industrial,M,14,6,2,0.5,7,7,0,TRUE,TRUE,Problemas,1,Resaltar,0.5,4,FALSE,FALSE,TRUE
3,5,Bioingeniería,M,13,8,0,2,0,7,7,TRUE,FALSE,Problemas,2,NA,1,5,FALSE,TRUE,TRUE
4,7,Ingeniería Química,M,16.5,8,0,0,7,7,7,FALSE,TRUE,Grupo,1,Leer,1,2,FALSE,FALSE,TRUE
2,6,Ingeniería Química,M,13.5,5,0,1,7,7,7,FALSE,FALSE,NA,2,Leer,1,2,FALSE,FALSE,FALSE
7,6,Ingeniería Industrial,F,14,6,0,0,7,7,7,TRUE,TRUE,Problemas,3,Resaltar,2,6,TRUE,FALSE,TRUE
5,5,Ingeniería Electrónica,M,14.6,4,0.5,2,7,7,7,TRUE,FALSE,Reescribir,8,Ninguna,1,9,TRUE,TRUE,TRUE
2,7,Ingeniería Ambiental,F,15,7,0,0,7,7,7,TRUE,FALSE,Reescribir,2,Resaltar,2,2,FALSE,TRUE,TRUE
3,6,Ingeniería Industrial,F,16,6,0,2,7,7,7,TRUE,FALSE,Problemas,2,Resaltar,1,1,FALSE,FALSE,FALSE
6,7,Ingeniería Electrónica,M,14.5,7,2,3,5,6,5,TRUE,FALSE,Problemas,3,Grupo,2,5,TRUE,TRUE,TRUE
2,7,Ingeniería Ambiental,F,15.05,6,0,1,1,6,7,TRUE,TRUE,Problemas,1,Grupo,1,2,FALSE,TRUE,TRUE
7,6,Ingeniería Ambiental,M,17.45,6,0,0,7,7,7,TRUE,TRUE,Problemas,4,Resaltar,2,4,FALSE,FALSE,TRUE
2,7,Ingeniería Civil,M,16,8,1,0,7,7,7,TRUE,TRUE,Problemas,3,Leer,2,5,TRUE,FALSE,TRUE
2,7,Ingeniería Industrial,M,15.9,8,0,0,7,7,7,TRUE,TRUE,Reescribir,3,Reescribir,3,5,TRUE,FALSE,TRUE
3,4,Ciencia de la Computación,M,13,8,1,4,7,7,7,TRUE,TRUE,Problemas,2,Leer,2,4,FALSE,FALSE,TRUE
2,5,Ingeniería Electrónica,M,13.4,7,0.5,3,5,7,7,TRUE,FALSE,Problemas,3,Leer,1,4,FALSE,FALSE,TRUE
2,7,Ingeniería Civil,M,16.15,7,1,1,7,7,7,FALSE,TRUE,Problemas,5,Resaltar,1,6,FALSE,TRUE,TRUE
2,7,Ingeniería Industrial,F,15.35,9,0,0,7,7,6,TRUE,FALSE,Grupo,5,Resaltar,1,5,FALSE,TRUE,TRUE
2,6,Ingeniería Civil,F,12,6,0,0,3,7,6,TRUE,TRUE,Reescribir,4,Resaltar,2,5,TRUE,FALSE,TRUE
3,5,Ingeniería Civil,M,14.999999,4,0,3,7,7,7,TRUE,FALSE,Problemas,10,Resaltar,5,7,FALSE,FALSE,FALSE
7,5,Ingeniería Electrónica,M,15,6,1,1,5,7,5,TRUE,TRUE,Problemas,4,Resaltar,0,4,TRUE,TRUE,TRUE
3,5,Ingeniería Industrial,M,15,6,0,4,6,7,6,TRUE,FALSE,Problemas,1,Leer,0.5,1.5,FALSE,FALSE,TRUE
6,5,Ingeniería Mecánica,F,14,6,0,0,6,7,5,TRUE,FALSE,Leer,4,Ninguna,0,6,FALSE,FALSE,TRUE
2,6,Ingeniería Civil,M,15,6,0,0,7,7,7,TRUE,TRUE,Leer,6,Resaltar,3,12,TRUE,TRUE,TRUE
5,6,Bioingeniería,M,13,7,1,3,7,7,5,TRUE,FALSE,Grupo,3,Leer,2,5,TRUE,TRUE,TRUE
6,5,Ingeniería Mecatrónica,M,14.7,5,0,5,7,7,7,TRUE,TRUE,Flashcards,3,Resaltar,1,5,TRUE,TRUE,TRUE
5,7,Ingeniería Mecatrónica,M,16.7,8,0,3,7,7,7,FALSE,TRUE,Problemas,3,Reescribir,1,4,TRUE,FALSE,TRUE
5,6,Ingeniería Industrial,F,15.6,10,0,0,6,7,4,TRUE,FALSE,Problemas,5,Leer,3,4,FALSE,TRUE,TRUE
6,7,Ingeniería Mecánica,M,14,8,5,2,7,7,3,TRUE,FALSE,Reescribir,2,Ninguna,0,2,TRUE,TRUE,TRUE
3,7,Ingeniería Química,F,11.1,8,1,0,5,7,7,TRUE,TRUE,Reescribir,10,Reescribir,10,12,FALSE,TRUE,TRUE
6,6,Ingeniería Química,F,14,6,0,0,3,7,3,TRUE,FALSE,Problemas,3,Leer,0.5,4,FALSE,FALSE,TRUE
2,4,Ingeniería Industrial,M,14.2,7,0,2,5,7,5,TRUE,TRUE,Problemas,3,Resaltar,2,5,FALSE,FALSE,TRUE
8,7,Ingeniería Mecatrónica,M,14,8,1,0,7,7,7,TRUE,TRUE,Problemas,6,Reescribir,4,4,TRUE,TRUE,TRUE
6,10,Ingeniería Industrial,M,14,6,0,4,3,7,7,TRUE,FALSE,Problemas,2,Reescribir,1,2,FALSE,FALSE,FALSE
4,8,Ingeniería Civil,F,15.68,8,0,0,7,7,7,TRUE,TRUE,Problemas,2,Leer,1,4,TRUE,TRUE,TRUE
4,7,Ingeniería Electrónica,M,15,5,1,2,5,7,4,TRUE,FALSE,Reescribir,4,Ninguna,0,3,FALSE,FALSE,TRUE
4,6,Ingeniería Civil,M,17.6,6,1,0,4,7,7,TRUE,TRUE,Leer,2,NA,2,3,TRUE,TRUE,FALSE
