Marca temporal,Ciclo académico,Carrera,Indícanos tu sexo y si haces algún deporte u actividad física,¿Qué actividad o deporte realizas?,Motivo por el que realizas actividad física,¿Cuántos días de la semana entrena?,Días en los que generalmente entrena,¿Cuántas horas a la semana entrenas? (Fuera de clases),¿Cuántos días de la semana estudias?(Clases virtuales o presenciales de la universidad),¿Cuántas horas a la semana estudias? (Fuera de clases),¿Entrenas los mismos días que tienes clases?,¿Entrenas antes o después de clases?,¿Te sientes cansado después de entrenar y haber tenido clases el mismo día?,¿Te sientes satisfecho con tus resultados físicos y académicos?,¿Cuál es la nota más alta de todos los cursos?(Nota global del curso),¿Cuál es la nota más baja de todos los cursos? (Nota global del curso),¿Te gustaría realizar algún tipo de actividad física?,¿Por qué?,¿Cuál es tu promedio ponderado del ciclo anterior?,¿Cuál es la nota más baja de todos los cursos? (Nota global del curso)
5/05/2023 18:49:01,2,Ingeniería Electrónica,Masculino - Sí hago,Gimnasio,Hobby,3,"Martes, Sábado, Domingo",6,6,De 10 a más,Sí,Entreno cuando no tengo clase,Si,Si,18,12.5,Sí,Porque me relaja al hacer que mi mente no piense en el estudio durante todo el día.,18,12.5
5/05/2023 18:51:57,3,Ingeniería Mecatrónica,Masculino - Sí hago,Gimnasio,Hobby,4,"Lunes, Jueves, Viernes, Sábado",8,5,De 7 a 9,Sí,Después,No,Si,20,9,Sí,Me desestresa,20,9
5/05/2023 18:53:20,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,porque me gustaria practicar aquel deporte,16,11
5/05/2023 18:54:37,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Para mi salud y estética,15,9
5/05/2023 18:55:03,2,Ingeniería Industrial,Femenino  - Sí hago,Gimnasio,Hobby,5,Martes,1,4,De 10 a más,No,,,Solo académicos,12,11,Sí,Para mi salud ,18,12
5/05/2023 19:11:35,3,Ingeniería Civil,Masculino - Sí hago,Gimnasio,Hobby,5,"Lunes, Miércoles, Jueves, Viernes, Domingo",10,5,De 4 a 6,Sí,Antes y después,Si,Solo académicos,20,04,Sí,Para ayudarme a desestresar ,20,04
5/05/2023 19:20:45,2,Ingeniería Ambiental,Femenino - No hago,,,,,,,,,,,,,,Sí,Porque es bueno para la salud.,18,13
5/05/2023 20:06:44,3,Ingeniería Civil,Masculino - No hago,,,,,,,,,,,,,,Sí,Diversión ,18,11
5/05/2023 21:15:56,3,Ingeniería Civil,Femenino  - Sí hago,Gimnasio,Hobby,3,"Lunes, Miércoles, Sábado",2,6,De 4 a 6,Sí,Después,Si,Si,17,11,,,,
5/05/2023 21:21:05,3,Ingeniería Civil,Masculino - Sí hago,Futbol,Hobby,2,"Sábado, Domingo",3,5,De 4 a 6,No,,,Si,20,10,,,,
5/05/2023 21:56:12,4,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,Para sentirme mejor en el ámbito de salud,18,10
6/05/2023 0:42:13,2,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,Te ayuda a combatir el estrés ,17,14
6/05/2023 11:43:54,2,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,No,Para mejorar mi salud,20,08
6/05/2023 13:05:32,10,Ingeniería Mecatrónica,Femenino - No hago,,,,,,,,,,,,,,No,Incomodo,15.04,12.666.666.666
6/05/2023 14:38:41,2,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,Para estar en forma :) ,18,13
6/05/2023 14:40:57,2,Ingeniería Industrial,Masculino - Sí hago,"Deporte de contacto(Ej: Judo, Karate, Taekwondo, etc)",Hobby,2,Miércoles,2,2,De 4 a 6,No,,,Si,13,15,,,,
7/05/2023 4:19:44,4,Ingeniería Industrial,Masculino - Sí hago,Calistenia,Hobby,2,"Martes, Sábado",1,5,De 4 a 6,Sí,Entreno cuando no tengo clase,Si,No,17,9,Sí,Me gusta,12.6,
11/05/2023 10:01:04,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Para ponerme en forma,12,
11/05/2023 10:06:26,3,Ingeniería Mecatrónica,Masculino - Sí hago,Fútbol,Profesional,4,"Lunes, Miércoles, Viernes, Sábado",3,4,De 1 a 3,Sí,Después,Si,No,15,10.4,Sí,,13,
16/05/2023 23:17:46,8,Ingeniería Industrial,Masculino - Sí hago,Calistenia,Hobby,3,"Lunes, Jueves, Viernes",2,5,De 4 a 6,Sí,Antes,No,Si,13,11,No,No dispongo del tiempo adicional para realizar otras actividades,12.93,
16/05/2023 23:18:31,3,Administraciones y Negocios Digitales,Masculino - Sí hago,Gimnasio,Hobby,5,"Lunes, Martes, Miércoles, Jueves, Viernes",2,4,De 1 a 3,Sí,Después,Si,Solo fisicos,19,9,Sí,"estar bien salud
",14,
16/05/2023 23:21:06,7,Ingeniería Ambiental,Femenino  - Sí hago,Volley,Beneficio físico y mental ,1,Sábado,2,5,De 10 a más,No,,,Si,20,11,Sí,Para mantenerme bien física y mentalmente ,18,
16/05/2023 23:28:12,5,Ingeniería Mecatrónica,Masculino - Sí hago,Fútbol,Hobby,1,"Sábado, Domingo",2,6,De 1 a 3,No,,,No,17,10,Sí,Para mejorar mi estado físico,13.37,
16/05/2023 23:30:26,7,Ciencias de la computación,Masculino - Sí hago,Gimnasio,Hobby,4,"Lunes, Martes, Miércoles, Viernes",8,6,De 7 a 9,Sí,Antes,Si,No,16,11,Sí,,14.45,
16/05/2023 23:32:04,6,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,porque me gusta estar en movimiento,11,
16/05/2023 23:37:35,4,Bioingeniería,Femenino - No hago,,,,,,,,,,,,,,Sí,para mejorar mi salud,13,
16/05/2023 23:53:13,3,Ingeniería Mecatrónica,Masculino - Sí hago,Gimnasio,Hobby,7,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",1,6,De 1 a 3,Sí,Entreno cuando no tengo clase,Si,Si,19,6,Sí,Para mejorar mi estado físico,15,
17/05/2023 0:07:35,5,Bioingeniería,Masculino - Sí hago,Gimnasio,Hobby,4,"Lunes, Martes, Jueves, Viernes",5,5,De 7 a 9,Sí,Entreno cuando no tengo clase,Si,Si,17,12,Sí,,15.05,
17/05/2023 0:07:45,5,Ingeniería Electrónica,Masculino - Sí hago,Fútbol,Hobby,1,Domingo,1,5,De 1 a 3,No,,,Si,18,11,Sí,Porque es bueno hacer actividad física para la creación de más neuronas,15.45,
17/05/2023 0:08:29,6,Ingeniería Mecatrónica,Masculino - Sí hago,Gimnasio,Hobby,3,"Lunes, Miércoles, Viernes",2,5,De 4 a 6,No,,,Si,16,10,Sí,Porque es saludable.,12.38,
17/05/2023 0:10:25,3,Ingeniería Industrial,Femenino  - Sí hago,Gimnasio,Hobby,5,"Lunes, Martes, Miércoles, Jueves, Viernes",1,7,De 10 a más,Sí,Entreno cuando no tengo clase,No,Si,18,15,Sí,,18,
17/05/2023 0:15:39,5,Ingeniería Química,Masculino - No hago,,,,,,,,,,,,,,Sí,Por salud,14.35,
17/05/2023 0:16:15,5,Ingeniería Química,Masculino - No hago,,,,,,,,,,,,,,Sí,Por salud,14.34,
17/05/2023 0:22:50,5,Ingeniería Industrial,Masculino - Sí hago,Fútbol,Hobby,2,"Viernes, Domingo",3,5,De 10 a más,No,,,Solo académicos,20,14,Sí,,17.68,
17/05/2023 0:28:42,5,Administraciones y Negocios Digitales,Masculino - Sí hago,Gimnasio,Hobby,5,"Lunes, Miércoles, Jueves, Viernes, Sábado",2,6,De 1 a 3,Sí,Antes y después,No,Si,17,10,Sí,Es importante para nuestra salud física y mental,15.48,
17/05/2023 0:53:21,1,Ciencias de la computación,Masculino - Sí hago,Fútbol,Hobby,1,Domingo,2,5,De 1 a 3,No,,,No,16,04,Sí,Me gusta mucho el deporte,1,
17/05/2023 1:11:29,1,Ciencias de la computación,Masculino - Sí hago,Atletismo,Hobby,5,"Lunes, Martes, Miércoles, Jueves, Viernes",2,5,De 10 a más,Sí,Antes y después,No,Solo fisicos,16,10,Sí,Siempre me ha gustado realizar ejercicio ,1,
17/05/2023 1:31:21,3,Ingeniería Mecatrónica,Masculino - Sí hago,Natación,Hobby,3,"Martes, Jueves, Sábado",2,5,De 1 a 3,No,,,Solo académicos,18,11,Sí,Mejoraría mi salud ,14.65,
17/05/2023 5:40:42,6,Ingeniería Mecánica,Masculino - Sí hago,Gimnasio,Hobby,4,"Miércoles, Jueves, Viernes, Sábado",1,5,De 1 a 3,Sí,Después,Si,Solo fisicos,20,04,Sí,Me siento bien ,12.3,
17/05/2023 7:39:12,5,Bioingeniería,Femenino - No hago,,,,,,,,,,,,,,Sí,Considero que ayuda a aliviar el estrés y a mantenerte saludable y en forma,14.43,
17/05/2023 8:29:56,4,Ingeniería Mecánica,Femenino  - Sí hago,Natación,Hobby,2,"Sábado, Domingo",4,5,De 4 a 6,No,,,Si,17,11,Sí,Para activar los músculos.,13,
17/05/2023 8:49:57,5,Administraciones y Negocios Digitales,Femenino  - Sí hago,Natación,Hobby,3,"Lunes, Viernes, Sábado",4:30,4,De 1 a 3,Sí,Después,Si,No,19,09,Sí,,12.30,
17/05/2023 9:12:11,7,Bioingeniería,Femenino - No hago,,,,,,,,,,,,,,Sí,,12.11,
17/05/2023 9:18:05,4,Ingeniería Industrial,Masculino - Sí hago,Fútbol,Hobby,2,"Viernes, Sábado",4,5,De 4 a 6,No,,,No,16,6,Sí,Entretenimiento y desestresarme,12.4,
17/05/2023 9:26:55,5,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,Sí,"En ocasiones el estrés me desconcentra. En esos casos no puedo exigirle a mi cuerpo mas de lo necesario, y me gustaría tener el control. Hace tiempo hacia actividad fisica y no tenia este problema, pero tengo problemas para retomar esa rutina.",15,
17/05/2023 9:56:02,5,Ingeniería de la Energía,Femenino - No hago,,,,,,,,,,,,,,Sí,,13,
17/05/2023 10:25:08,10,Ingeniería Civil,Masculino - Sí hago,Basquet,Hobby,3,"Lunes, Viernes, Sábado",6,4,De 7 a 9,Sí,Antes,Si,Si,16,11,No,Ya realizo uno que me gusta,15,
17/05/2023 10:28:55,6,Ingeniería Mecánica,Masculino - Sí hago,Calistenia,Hobby,3,"Lunes, Viernes, Domingo",2,7,De 10 a más,Sí,Antes y después,No,Solo académicos,20,11,Sí,,14.8,
17/05/2023 10:54:02,4,Ingeniería de la Energía,Masculino - Sí hago,Calistenia,Para quitarme el estrés,5,"Lunes, Martes, Jueves, Viernes",2,6,De 4 a 6,Sí,Después,No,Solo fisicos,17,14,Sí,,14.45,
17/05/2023 11:07:04,6,Ingeniería Civil,Femenino - No hago,,,,,,,,,,,,,,No,,16.54,
17/05/2023 12:09:22,5,Bioingeniería,Masculino - No hago,,,,,,,,,,,,,,No,Por el tiempo que requiere,14.4,
17/05/2023 12:43:36,3,Ciencias de la computación,Masculino - Sí hago,Fútbol,Hobby,1,Domingo,3,6,De 7 a 9,No,,,Si,19,11,Sí,peso alto,14.07,
17/05/2023 12:47:49,3,Ciencia de Datos,Masculino - No hago,,,,,,,,,,,,,,Sí,Porque quiero mejorar mi condicion fisica y apariencia,16.2,
17/05/2023 15:11:50,6,Bioingeniería,Femenino  - Sí hago,Yoga,Hobby,3,"Lunes, Miércoles, Viernes",3,3,De 4 a 6,Sí,Antes,No,No,20,3,Sí,Quiero hacer mas cardio,1.,
17/05/2023 16:05:11,5,Ingeniería Mecatrónica,Masculino - Sí hago,Ciclismo,Hobby,2,"Viernes, Domingo",1,6,De 1 a 3,No,,,Si,20,3,Sí,"Para mantener mi mente despejada, sin ningún tipo de estrés o inconveniente",15,
17/05/2023 16:18:02,6,Ingeniería Química,Masculino - Sí hago,Gimnasio,Hobby,3,"Lunes, Martes, Sábado",1,3,De 4 a 6,Sí,Antes,Si,No,17,6,Sí,Para construir un mejor fisico y sentirme a gusto.,13,
17/05/2023 17:43:06,7,Bioingeniería,Femenino  - Sí hago,Ciclismo,Hobby,3,"Lunes, Miércoles, Viernes",1,4,De 1 a 3,Sí,Antes y después,No,Solo fisicos,17,11,Sí,Me hace sentir bien,14.4,
17/05/2023 18:02:42,6,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,Sí,Para tener buena salud,13.2,
17/05/2023 18:27:16,8,Ingeniería Ambiental,Femenino - No hago,,,,,,,,,,,,,,Sí,Es importante tener un balance,16.5,
17/05/2023 20:40:07,6,Ingeniería Industrial,Masculino - Sí hago,Basquet,Hobby,1,"Viernes, Sábado, Domingo",2,4,De 4 a 6,No,,,Solo académicos,18,9.6,Sí,"Me relaja y despeja mi mente de precupaciones, generalmente relacionadas con el estudio.",10.7,
17/05/2023 21:09:16,5,Ingeniería Mecatrónica,Masculino - Sí hago,Fútbol,Hobby,1,Domingo,2,5,De 10 a más,No,,,No,19,13,Sí,Es saludable,17,
18/05/2023 19:40:04,4,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,Porque considero que es una forma de mejorar la salud fisica,16.9,
20/05/2023 10:18:33,5,Ingeniería Ambiental,Femenino - No hago,,,,,,,,,,,,,,No,Uwu,12,
24/05/2023 18:44:15,8,Bioingeniería,Masculino - Sí hago,Surf y skate,Hobby,3,"Lunes, Miércoles, Viernes",6,4,De 4 a 6,Sí,Antes y después,Si,Si,19,13,Sí,Para desestresarme,15.7,
24/05/2023 18:47:43,4,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,Sí,Por que es bueno,17,
24/05/2023 18:47:58,3,Ingeniería Mecatrónica,Femenino  - Sí hago,Baile,Hobby,2,"Lunes, Sábado",4,5,De 10 a más,No,,,No,19,7,Sí,Quita el estrés ,14.7,
24/05/2023 18:48:35,8,Ciencias de la computación,Femenino  - Sí hago,Crossfit,Recomendación de la psicóloga ,2,"Martes, Jueves",1,6,De 10 a más,Sí,Después,Si,No,19,7,Sí,,14.5,
24/05/2023 18:54:35,5,Ciencia de Datos,Femenino - No hago,,,,,,,,,,,,,,Sí,Hacer ejercicio es saludable ,14.33,
24/05/2023 18:55:45,5,Ciencias de la computación,Femenino  - Sí hago,Gimnasio,Hobby,4,"Lunes, Miércoles, Viernes, Domingo",1,5,De 4 a 6,Sí,Después,No,Si,19,11,Sí,,14.3,
24/05/2023 18:57:08,4,Ciencias de la computación,Femenino - No hago,,,,,,,,,,,,,,No,Pq no me gusta mucho hacer ejercicio ,13.45,
24/05/2023 18:57:43,4,Ciencias de la computación,Femenino  - Sí hago,Gimnasio,Hobby,3,"Lunes, Martes, Miércoles",1,2,De 7 a 9,Sí,Antes,Si,Si,18,11,Sí,es bueno ,14,
24/05/2023 19:00:51,1,Ingeniería Mecánica,Masculino - Sí hago,Fútbol,Hobby,1,Sábado,2,5,De 7 a 9,No,,,No,16,06,Sí,Por Salud,001,
24/05/2023 19:02:39,1,Ingeniería Mecánica,Masculino - Sí hago,Fútbol,Hobby,2,"Sábado, Domingo",1,7,De 4 a 6,No,,,Si,20,02,Sí,Desde pequeño me han influenciado al deporte,01,
24/05/2023 19:06:40,3,Bioingeniería,Femenino - No hago,,,,,,,,,,,,,,No,Para estar más saludable ,12.3,
24/05/2023 19:07:17,3,Ingeniería Mecatrónica,Masculino - Sí hago,Basquet,Hobby,5,"Lunes, Martes, Miércoles, Jueves, Viernes",2,4,De 4 a 6,Sí,Después,Si,Si,17,10,No,Porq ya no puedo,12,
24/05/2023 19:09:22,3,Bioingeniería,Femenino  - Sí hago,"Deporte de contacto(Ej: Judo, Karate, Taekwondo, etc)",Hobby,2,"Viernes, Sábado",4,5,De 4 a 6,Sí,Después,Si,Solo fisicos,16,12,Sí,Porque me relaja y me mantiene sana,14.25,
24/05/2023 19:12:52,1,Bioingeniería,Masculino - Sí hago,Basquet,Hobby,3,"Lunes, Viernes, Sábado",4,3,De 1 a 3,Sí,Antes y después,Si,Si,20,5,Sí,Para relajarme,15,
24/05/2023 19:12:53,1,Ingeniería Industrial,Femenino  - Sí hago,Atletismo ,Hobby,2,"Sábado, Domingo",3,6,De 4 a 6,No,,,Si,20,11,Sí,Porque me gusta hacer algo que me mantenga activa físicamente. ,16,
24/05/2023 19:17:23,4,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,Es bueno para la salud ,13,
24/05/2023 19:17:47,4,Ingeniería de la Energía,Masculino - Sí hago,Fútbol,Hobby,2,"Viernes, Sábado",3,5,De 4 a 6,No,,,Si,16,13,Sí,Relaja ,15,
24/05/2023 19:18:02,3,Administraciones y Negocios Digitales,Masculino - No hago,,,,,,,,,,,,,,Sí,Para poder relajarme y mejorar mi físico ,14,
24/05/2023 19:18:11,3,Administraciones y Negocios Digitales,Femenino - No hago,,,,,,,,,,,,,,Sí,,14.6,
24/05/2023 19:19:46,4,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Para bajar de peso,10.5,
24/05/2023 19:20:23,3,Administraciones y Negocios Digitales,Masculino - Sí hago,Basquet,Hobby,1,"Viernes, Sábado",3,5,De 4 a 6,Sí,Entreno cuando no tengo clase,Si,Solo académicos,19,14,Sí,Porque creo que es bueno para la salud,16.4,
24/05/2023 19:21:12,4,Ingeniería Industrial,Masculino - No hago,,,,,,,,,,,,,,Sí,Porque ayudaría con la salud ,13.2,
24/05/2023 19:23:02,4,Ingeniería Industrial,Masculino - Sí hago,"Deporte de contacto(Ej: Judo, Karate, Taekwondo, etc)",Hobby,2,"Martes, Jueves",4,5,De 4 a 6,Sí,Después,Si,Si,20,10,Sí,Por qué es bueno para la salud,14.7,
24/05/2023 19:25:29,5,Ingeniería Electrónica,Femenino  - Sí hago,Gimnasio,Hobby,5,"Lunes, Martes, Jueves, Viernes, Sábado",2,5,De 1 a 3,Sí,Antes y después,Si,Solo fisicos,16,11,Sí,Pq es bueno,13,
24/05/2023 19:28:30,3,Ingeniería Industrial,Masculino - Sí hago,Fútbol,Hobby,3,"Lunes, Miércoles, Viernes",2,5,De 4 a 6,Sí,tengo clase y falto,Si,Si,17,12,No,Porque ya entreno,15.36,
24/05/2023 19:28:48,4,Ingeniería Mecatrónica,Masculino - Sí hago,Gimnasio,Meta personal de estar físicamente saludable,3,"Jueves, Viernes, Domingo",3,5,De 10 a más,Sí,Antes,Si,Solo fisicos,17,9.7,Sí,Mantenerme saludable,13.7,
24/05/2023 19:30:38,1,Ingeniería de la Energía,Femenino - No hago,,,,,,,,,,,,,,Sí,Porque cansa ,1,
24/05/2023 19:30:43,1,Ingeniería Electrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Salud,1,
24/05/2023 19:35:39,5,Ingeniería Industrial,Masculino - No hago,,,,,,,,,,,,,,Sí,Mejoras tu condición fisica ,14,
24/05/2023 19:35:48,4,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,Porque quisiera tener una forma de distracción ,15.8,
24/05/2023 19:35:58,4,Ingeniería Ambiental,Femenino  - Sí hago,Correr,Hobby,3,"Lunes, Miércoles, Viernes, Sábado, Domingo",6,6,De 4 a 6,Sí,Antes,No,Solo fisicos,18,11,Sí,Porqué es bueno para la salud y para tu mente,13,
24/05/2023 19:36:06,2,Ingeniería Industrial,Masculino - Sí hago,Fútbol,Hobby,3,"Martes, Sábado, Domingo",3,3,De 7 a 9,Sí,Entreno cuando no tengo clase,Si,Si,15,13,Sí,Por qué es saludable ,15,
24/05/2023 19:36:45,4,Ingeniería Ambiental,Femenino  - Sí hago,Ejercicios en casa y salir a correr.,Hobby,5,"Lunes, Miércoles, Viernes, Sábado, Domingo",6,7,De 4 a 6,Sí,Antes,No,Si,19,11,Sí,Porque es bueno para mi vida ,15,
24/05/2023 19:36:49,4,Ingeniería Industrial,Femenino  - Sí hago,Gimnasio,Hobby,3,"Lunes, Sábado, Domingo",6,6,De 10 a más,No,,,Si,18,11,Sí,Por salud y pasatiempo ,15,
24/05/2023 19:40:41,5,Administraciones y Negocios Digitales,Femenino  - Sí hago,Natación,Hobby,3,"Lunes, Viernes, Sábado",1:30,4,De 1 a 3,Sí,Después,Si,Si,19,09,Sí,,12.3,
24/05/2023 19:42:18,1,Bioingeniería,Masculino - No hago,,,,,,,,,,,,,,Sí,Siento que desestreza ,1,
24/05/2023 19:46:58,7,Ingeniería Civil,Femenino - No hago,,,,,,,,,,,,,,Sí,Me relaja ,17,
24/05/2023 19:47:04,7,Ingeniería Civil,Femenino - No hago,,,,,,,,,,,,,,Sí,Para tener una vida saludable,16.71,
24/05/2023 19:47:30,7,Ingeniería Civil,Masculino - No hago,,,,,,,,,,,,,,Sí,"Me divierte, es bueno para la salud",16,
24/05/2023 19:49:09,4,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,Sí,"Porque me gusta realizar deporte, pero no he tenido el tiempo necesario.",16,
24/05/2023 19:49:17,4,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,Sí,Es saludable,13.76,
24/05/2023 19:49:44,4,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,Sí,Para mejorar mi salud,16.6,
24/05/2023 19:50:21,4,Ciencias de la computación,Femenino  - Sí hago,Basquet,Hobby,4,"Lunes, Miércoles, Sábado, Domingo",3,7,De 4 a 6,No,,,Si,20,11,Sí,,16.73,
24/05/2023 19:51:26,4,Ingeniería Ambiental,Femenino  - Sí hago,Gimnasio,Hobby,1,Jueves,2,3,De 1 a 3,No,,,Si,18,11,Sí,Porque me balancearia con los estudios ,15,
24/05/2023 19:52:57,5,Ciencias de la computación,Masculino - No hago,,,,,,,,,,,,,,No,Me da flojera,15.23,
24/05/2023 19:54:09,4,Ciencias de la computación,Femenino  - Sí hago,Natación y marinera,Hobby,5,"Martes, Miércoles, Jueves, Viernes, Sábado",6,3,De 4 a 6,Sí,Antes y después,Si,Solo fisicos,17,9,Sí,,13,
24/05/2023 19:54:48,5,Ciencias de la computación,Femenino  - Sí hago,Voley,Hobby,2,"Martes, Sábado",5,6,De 4 a 6,No,,,Si,19,13,Sí,Creo que sirve para eliminar el estrés generado en la universidad,15,
24/05/2023 19:58:14,2,Ingeniería Industrial,Masculino - No hago,,,,,,,,,,,,,,Sí,Para tener una mejor salud ,13.5,
24/05/2023 19:58:21,2,Ingeniería Industrial,Femenino  - Sí hago,Fútbol,Hobby,2,Domingo,2,5,De 7 a 9,No,,,Si,17,11,Sí,Porque me ayuda a lidiar con el estrés academico,15,
25/05/2023 15:09:18,3,Ingeniería Civil,Masculino - No hago,,,,,,,,,,,,,,No,Pq soy vago,16,
25/05/2023 15:15:39,8,Ingeniería Mecánica,Femenino - No hago,,,,,,,,,,,,,,Sí,Porque quiero tener un buen fisico ,12,
25/05/2023 15:17:42,5,Ingeniería Civil,Masculino - Sí hago,Basquet,Hobby,2,"Miércoles, Viernes",2,5,De 4 a 6,Sí,Después,Si,Si,17,13,Sí,Ayuda a mi desarrollo y liberar estres,16,
25/05/2023 15:19:15,2,Ingeniería Química,Femenino - No hago,,,,,,,,,,,,,,No,No me gusta ,5,
25/05/2023 15:20:48,9,Ingeniería Ambiental,Masculino - Sí hago,Gimnasio,Hobby,3,"Lunes, Jueves, Domingo",4,5,De 10 a más,Sí,Antes y después,Si,Si,19,10,Sí,Por qué si,15,
25/05/2023 15:30:04,8,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,Porque es bueno para la salud,16,
25/05/2023 15:31:46,5,Ingeniería Química,Masculino - Sí hago,Fútbol,Hobby,2,"Sábado, Domingo",1,6,De 10 a más,No,,,Si,16,13,Sí,Salud,15,
25/05/2023 15:34:33,10,Bioingeniería,Femenino  - Sí hago,Gimnasio,Hobby,3,Miércoles,3,3,De 4 a 6,No,,,Si,20,15,Sí,Porque si ,1,
25/05/2023 15:34:46,5,Ingeniería Mecatrónica,Masculino - Sí hago,Fútbol,Hobby,4,"Lunes, Miércoles, Viernes, Sábado",3,4,De 1 a 3,Sí,Después,Si,Si,18,15,Sí,Es importante para la salud ,18.45,
25/05/2023 17:58:24,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Salud,16.41,
27/05/2023 14:30:33,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,No,Falta de tiempo,11,
27/05/2023 14:33:47,2,Ingeniería Industrial,Masculino - No hago,,,,,,,,,,,,,,No,No quiero,17,
