Ciclo,Edad,Número_de_tarjetas,Número_de_cuentas,Veces_en_la_semana_que_va_al_cajero,Tiempo_de_demora,Dinero_retirado,Dinero_retirado_semanalmente,Bancos,Titular,Frecuencia_de_retiro_cerca_de_UTEC,Frecuencia_de_depósito_cerca_de_UTEC,Frecuencia_de_retiro_en_otro_lugar,Frecuencia_de_depósito_en_otro_lugar,Horario_para_ir_al_cajero_más_cercano,Razón_del_horario,Seguridad,Deseo_de_la_opción_de_retiro_o_deposito,Deseo_de_un_cajero_automático
3,17,1,1,4,10,60,180,Banco de la nación,Mi padre/madre,Siempre,Nunca,Muy seguido,Muy seguido,Tarde,Cubrir gastos,5,5,4
4,20,2,1,4,25,70,200,"BCP, Banco de la nación",Yo,A veces,Nunca,A veces,Rara vez,Tarde,Seguridad,5,5,4
4,19,1,1,3,30,100,200,Banco de la nación,Yo,Casi siempre,Casi siempre,Siempre,Siempre,Tarde,Comodidad,5,5,5
4,19,1,1,1,20,100,150,"BCP, Banco de la nación",Yo,Rara vez,Nunca,A veces,Casi Nunca,Tarde,Seguridad,5,5,5
6,22,3,2,3,15,400,570,"BCP, Interbank, Banco de la nación",Yo,Siempre,A veces,Muy seguido,A veces,Mañana,Seguridad,3,4,4
3,18,1,1,1,20,50,50,BCP,Yo,Casi Nunca,Casi Nunca,Casi Nunca,Casi Nunca,Tarde,Seguridad,1,2,1
3,17,1,1,2,20,10,20,BCP,Mi padre/madre,A veces,Nunca,Muy seguido,Nunca,Mañana,Seguridad,5,5,5
2,18,1,1,2,30,50,120,BCP,Mi padre/madre,A veces,Rara vez,A veces,A veces,Tarde,Comodidad,5,5,5
1,20,1,1,5,30,100,250,Scotiabank,Mi padre/madre,A veces,Nunca,Muy seguido,Nunca,Mañana,Cubrir gastos,5,5,4
5,21,3,1,1,15,50,50,"BCP, Interbank, Scotiabank",Yo,A veces,Nunca,Casi siempre,Casi siempre,Mañana,Comodidad,5,5,5
4,19,2,1,4,30,20,80,"BCP, Scotiabank",Yo,Siempre,A veces,Siempre,A veces,Tarde,Comodidad,4,5,5
4,20,2,2,1,30,100,150,BCP,Yo,A veces,Casi Nunca,A veces,Casi Nunca,Mañana,Seguridad,5,5,4
5,30,4,1,1,20,500,100,BCP,Yo,Casi Nunca,A veces,Casi Nunca,A veces,Tarde,Mayor privacidad,3,3,1
3,18,2,1,1,40,10,10,"BCP, Scotiabank",Yo,Casi Nunca,Casi Nunca,Rara vez,Casi Nunca,Tarde,Seguridad,5,5,4
4,19,1,1,1,30,50,50,Banco de la nación,Yo,Casi Nunca,Casi Nunca,A veces,Rara vez,Mañana,Comodidad,4,5,4
4,18,2,1,1,15,50,50,BCP,Yo,Rara vez,Casi Nunca,A veces,Rara vez,Tarde,Mayor privacidad,5,5,5
1,16,1,1,1,0,0,0,No válido,Mi padre/madre,Nunca,Nunca,Nunca,Nunca,Noche,No válido,1,5,5
1,18,1,1,3,35,20,60,BCP,Yo,A veces,Casi Nunca,A veces,A veces,Tarde,Comodidad,4,5,5
4,20,4,1,2,30,70,180,"BCP, Interbank, BBVA, Banco de la nación",Yo,A veces,Rara vez,Casi siempre,Siempre,Tarde,Seguridad,5,5,4
7,19,1,1,1,30,50,200,BCP,Yo,A veces,Casi Nunca,Casi Nunca,Casi siempre,Tarde,Mayor privacidad,5,4,4
3,18,2,1,6,25,20,100,"BBVA, Banco de la nación",Mi padre/madre,A veces,A veces,A veces,A veces,Tarde,Comodidad,5,5,5
7,24,2,2,4,25,100,200,"BCP, Interbank",Yo,A veces,A veces,Siempre,Siempre,Tarde,Seguridad,5,5,5
5,21,2,1,3,10,100,400,"BCP, Banco de la nación",Yo,A veces,Casi Nunca,Muy seguido,Casi siempre,Tarde,Comodidad,4,4,5
4,18,2,2,1,30,20,20,"BCP, Banco de la nación",Yo,A veces,A veces,A veces,A veces,Tarde,Mayor privacidad,3,3,3
5,21,2,2,1,20,30,30,"BCP, Interbank",Yo,Casi Nunca,Casi Nunca,Casi siempre,Casi siempre,Mañana,Comodidad,3,5,4
3,18,1,1,1,20,25,25,BCP,Mi padre/madre,Casi Nunca,A veces,Rara vez,A veces,Noche,Mayor privacidad,3,4,4
5,20,2,1,2,15,50,100,"Interbank, Banco de la nación",Yo,A veces,Rara vez,A veces,A veces,Tarde,Mayor privacidad,5,5,4
4,19,3,1,1,20,100,100,"BCP, Interbank, BBVA, Banco de la nación",Yo,Rara vez,Rara vez,Rara vez,Rara vez,Tarde,Comodidad,5,5,5
10,21,3,2,1,10,10,10,BCP,Yo,Nunca,Nunca,Nunca,Nunca,Tarde,Comodidad,5,5,4
4,20,2,1,1,20,30,100,"BCP, Banco de la nación",Yo,Muy seguido,Muy seguido,Casi siempre,Casi siempre,Tarde,Cubrir gastos,5,5,5
3,18,1,1,1,30,40,40,BCP,Yo,Rara vez,Casi Nunca,Casi Nunca,Casi Nunca,Tarde,Comodidad,5,5,3
3,18,2,1,2,20,40,50,"BCP, No válido",Yo,Muy seguido,Rara vez,Muy seguido,A veces,Mañana,Seguridad,5,5,5
4,20,2,1,1,30,600,100,"BCP, Banco de la nación",Yo,Nunca,Nunca,A veces,A veces,Tarde,Seguridad,5,5,5
4,20,1,1,1,40,40,40,Banco de la nación,Yo,Casi Nunca,Nunca,A veces,Nunca,Noche,Comodidad,3,2,2
5,20,1,1,1,5,20,60,BCP,Yo,Nunca,Nunca,Nunca,Nunca,Mañana,Comodidad,1,1,1
5,19,1,1,1,208000,10000000,20000000,Scotiabank,Yo,Nunca,Nunca,Nunca,Nunca,Noche,Comodidad,1,1,5
3,18,1,2,1,10,20,50,BBVA,Yo,Nunca,Nunca,Nunca,Nunca,Tarde,Comodidad,5,5,4
8,23,4,2,2,10,200,100,"BCP, Interbank, BBVA, Scotiabank",Yo,Casi Nunca,Nunca,Muy seguido,Muy seguido,Noche,Cubrir gastos,5,5,5
2,19,2,1,1,90,100,100,"BCP, Banco de la nación",Yo,Rara vez,Casi Nunca,A veces,A veces,Noche,Comodidad,4,5,5
3,18,1,1,1,10,25,0,BCP,Yo,Casi Nunca,A veces,A veces,A veces,Tarde,Cubrir gastos,5,5,4
2,19,2,1,4,5,50,150,"BCP, Banco de la nación",Yo,Nunca,Nunca,Siempre,Siempre,Tarde,Seguridad,5,5,5
9,29,3,2,1,25,100,100,"BCP, Interbank",Yo,Casi Nunca,A veces,A veces,A veces,Mañana,Seguridad,5,5,5
3,19,2,1,1,0,0,0,Interbank,Yo,Nunca,Nunca,Casi Nunca,Nunca,Mañana,Seguridad,5,4,4
4,18,1,1,2,10,50,100,BCP,Yo,Rara vez,Rara vez,Rara vez,Rara vez,Mañana,Seguridad,5,5,5
4,20,3,1,1,15,100,300,"BCP, Interbank, Banco de la nación",Yo,A veces,Nunca,Rara vez,Casi Nunca,Tarde,Seguridad,5,5,3
3,20,1,1,3,30,50,100,Banco de la nación,Yo,Muy seguido,Casi Nunca,Muy seguido,Muy seguido,Mañana,Comodidad,5,5,4
5,24,2,1,3,30,100,200,BCP,Yo,A veces,A veces,A veces,A veces,Tarde,Comodidad,5,5,5
3,23,2,1,1,20,40,100,"BCP, Banco de la nación",Yo,Rara vez,Nunca,A veces,A veces,Mañana,Cubrir gastos,3,5,5
4,19,2,1,2,15,100,200,"BCP, Banco de la nación",Yo,A veces,Rara vez,Rara vez,Rara vez,Tarde,Cubrir gastos,5,5,5
4,19,2,1,3,25,100,250,"BBVA, Banco de la nación",Yo,Muy seguido,Muy seguido,Muy seguido,Muy seguido,Tarde,Mayor privacidad,5,5,5
7,22,2,1,3,15,50,150,"BCP, Interbank",Yo,Muy seguido,Muy seguido,A veces,A veces,Tarde,Cubrir gastos,5,5,5
6,18,2,2,1,10,0,0,BCP,Yo,Nunca,Nunca,Nunca,Nunca,Mañana,Seguridad,3,3,3
4,18,2,1,1,30,300,300,"BCP, Banco de la nación",Yo,Muy seguido,Muy seguido,A veces,A veces,Mañana,Seguridad,5,5,5
4,18,4,1,2,40,100,100,"BCP, Interbank, BBVA, Scotiabank, Banco de la nación",Yo,Siempre,Siempre,Siempre,Siempre,Noche,Comodidad,5,5,5
9,20,3,2,1,0,0,0,"BCP, BBVA, No válido",Yo,Nunca,Nunca,A veces,A veces,Tarde,No válido,5,5,4
4,26,2,2,3,20,200,300,"BCP, Banco de la nación",Yo,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Noche,Comodidad,5,5,5
4,20,4,1,1,60,40,100,"BCP, Banco de la nación",Yo,A veces,Casi Nunca,Muy seguido,Muy seguido,Tarde,Comodidad,5,5,5
5,16,4,1,3,180,80,120,"BCP, Interbank",Yo,Muy seguido,Muy seguido,Muy seguido,Muy seguido,Tarde,Mayor privacidad,4,5,5
9,21,1,1,1,20,50,150,BCP,Yo,A veces,Nunca,A veces,Nunca,Mañana,Mayor privacidad,4,5,5
4,19,2,1,1,20,20,20,"BCP, Interbank",Yo,Casi Nunca,Casi Nunca,Muy seguido,Rara vez,Tarde,Mayor privacidad,5,5,4
4,20,2,1,4,20,100,300,"BCP, BBVA, Banco de la nación",Yo,A veces,A veces,A veces,A veces,Mañana,Seguridad,4,5,5
3,18,1,1,4,20,50,200,BCP,Yo,Muy seguido,Muy seguido,A veces,Muy seguido,Tarde,Seguridad,5,5,5
4,18,2,1,1,10,400,100,"BCP, Banco de la nación",Yo,Rara vez,Nunca,Muy seguido,Muy seguido,Noche,Comodidad,5,5,3
2,20,2,1,3,20,100,150,"Scotiabank, Banco de la nación",Yo,A veces,Casi Nunca,A veces,A veces,Tarde,Comodidad,5,4,5
2,18,1,1,6,15,30,100,BCP,Yo,Casi siempre,Siempre,Casi siempre,Casi siempre,Mañana,Cubrir gastos,5,5,5
10,22,1,2,4,30,50,200,BCP,Yo,Muy seguido,Casi Nunca,Siempre,Casi Nunca,Tarde,Comodidad,4,4,4
3,17,1,2,2,30,30,50,"BCP, Interbank",Mi padre/madre,Rara vez,Casi Nunca,A veces,A veces,Tarde,Mayor privacidad,3,4,4
7,20,2,2,4,20,20,80,"BCP, Interbank",Yo,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Noche,Comodidad,5,5,5
2,19,2,1,1,20,100,100,"BCP, Banco de la nación",Yo,A veces,Rara vez,Muy seguido,Casi Nunca,Tarde,Seguridad,5,5,5
2,20,3,2,4,30,50,150,"Interbank, Banco de la nación",Yo,Muy seguido,Rara vez,Casi Nunca,Casi Nunca,Tarde,Cubrir gastos,5,3,3
2,19,3,1,3,30,50,100,"BCP, Interbank, BBVA, Banco de la nación",Yo,Siempre,A veces,A veces,A veces,Tarde,Seguridad,5,5,5
1,17,2,1,1,20,100,100,"BCP, Interbank",Mi padre/madre,A veces,Rara vez,Muy seguido,Muy seguido,Tarde,Cubrir gastos,5,5,5
6,20,2,1,2,30,40,350,"BCP, Interbank",Yo,Casi Nunca,A veces,Muy seguido,Casi siempre,Tarde,Mayor privacidad,5,5,5
2,20,2,2,4,15,35,100,"BCP, BBVA, Banco de la nación",Yo,Casi siempre,Nunca,Casi siempre,Casi siempre,Mañana,Cubrir gastos,3,4,3
4,20,1,1,5,10,80,50,Banco de la nación,Yo,Siempre,Casi siempre,Casi siempre,Siempre,Tarde,Seguridad,4,5,5
4,19,2,1,2,20,100,200,Banco de la nación,Yo,A veces,Rara vez,Rara vez,Rara vez,Tarde,Comodidad,5,4,3
2,18,2,1,4,40,100,300,"BCP, Banco de la nación",Yo,Muy seguido,A veces,Muy seguido,A veces,Tarde,Cubrir gastos,5,5,5
4,22,2,1,3,20,50,150,"BCP, Banco de la nación",Yo,Muy seguido,Muy seguido,Muy seguido,Muy seguido,Mañana,Cubrir gastos,5,5,5
4,20,3,2,3,15,50,100,"BCP, Interbank, Banco de la nación",Yo,A veces,Casi Nunca,Casi siempre,A veces,Tarde,Comodidad,5,5,5
2,18,4,2,4,30,100,100,"BCP, Banco de la nación",Mi padre/madre,Casi siempre,Casi Nunca,Siempre,Rara vez,Mañana,Seguridad,5,5,5
4,19,2,2,1,30,500,500,"BCP, Banco de la nación",Yo,Rara vez,A veces,Rara vez,Rara vez,Tarde,Comodidad,3,4,2
2,19,2,1,2,30,250,80,"BCP, Banco de la nación",Yo,A veces,A veces,Casi siempre,A veces,Tarde,Tiempo libre,5,5,5
4,21,3,2,1,15,300,150,"BCP, Interbank, BBVA, Banco de la nación",Yo,Casi Nunca,Casi Nunca,Muy seguido,Muy seguido,Tarde,Seguridad,5,5,5
4,20,3,1,1,10,200,100,"BCP, Interbank, Banco de la nación",Yo,A veces,Nunca,A veces,Nunca,Noche,Comodidad,5,5,5
4,18,4,1,1,20,100,100,"BCP, Interbank, BBVA, Banco de la nación",Yo,A veces,A veces,A veces,A veces,Mañana,Comodidad,5,5,5
2,18,1,1,1,30,30,60,BCP,Yo,A veces,Nunca,Casi siempre,Casi siempre,Mañana,Seguridad,5,5,5
5,19,2,2,1,0,0,200,"BCP, Interbank, BanBif, Scotiabank",Yo,Nunca,Nunca,Siempre,Muy seguido,Tarde,Seguridad,5,4,3
3,18,1,1,3,40,50,200,"BCP, BBVA, Banco de la nación",Mi tutor legal,Muy seguido,Muy seguido,Muy seguido,Muy seguido,Tarde,Seguridad,5,5,5
1,18,2,1,2,40,200,400,"BCP, Banco de la nación",Yo,A veces,Rara vez,A veces,Rara vez,Tarde,Tiempo libre,5,5,4
1,17,1,1,2,20,50,50,BCP,Mi padre/madre,A veces,A veces,A veces,A veces,Tarde,Seguridad,5,5,5
1,17,2,2,5,25,30,120,"BBVA, Scotiabank",Mi padre/madre,A veces,Casi Nunca,Casi siempre,Casi siempre,Tarde,Seguridad,5,5,5
2,18,1,1,3,30,20,60,BCP,Yo,Rara vez,Rara vez,Siempre,Siempre,Tarde,Comodidad,5,5,5
3,18,1,1,1,20,40,100,Interbank,Yo,A veces,Nunca,Casi siempre,Casi Nunca,Tarde,Seguridad,5,5,5
1,18,1,1,2,25,100,200,BCP,Mi tutor legal,A veces,Casi Nunca,A veces,Casi Nunca,Mañana,Comodidad,4,4,4
5,18,2,1,1,10,20,20,"BCP, Banco de la nación",Yo,Rara vez,Rara vez,Casi siempre,Casi siempre,Tarde,Comodidad,5,5,5
5,24,2,1,4,40,50,150,"BCP, Interbank",Yo,A veces,A veces,Casi Nunca,Casi siempre,Tarde,Comodidad,5,5,5
6,21,3,1,3,30,100,300,"BCP, Interbank, Banco de la nación",Yo,Siempre,A veces,A veces,Nunca,Noche,Comodidad,5,5,5
6,21,2,1,1,15,20,20,"BCP, Interbank",Yo,Rara vez,Nunca,Rara vez,Nunca,Tarde,Comodidad,2,4,3
3,19,1,1,4,16,24,100,BCP,Yo,Rara vez,Casi Nunca,Rara vez,Rara vez,Tarde,Cubrir gastos,1,3,3
4,22,2,1,1,20,200,200,"BCP, Banco de la nación",Yo,Rara vez,Rara vez,Rara vez,A veces,Mañana,Seguridad,5,5,5
5,20,2,3,2,30,50,100,"BCP, Banco de la nación",Yo,A veces,Muy seguido,Casi siempre,Muy seguido,Tarde,Comodidad,5,5,5
3,18,1,1,1,25,100,0,BCP,Yo,Nunca,Nunca,Rara vez,Rara vez,Mañana,Comodidad,5,4,4
3,18,2,1,1,120,3000,1000,BCP,Yo,Casi Nunca,Casi Nunca,Muy seguido,A veces,Mañana,Comodidad,2,4,3
4,20,3,2,1,15,40,40,"BCP, Interbank, Scotiabank",Yo,Casi Nunca,Casi Nunca,A veces,Rara vez,Tarde,Comodidad,5,5,5
4,20,2,2,1,30,50,50,"Scotiabank, Banco de la nación",Yo,A veces,Nunca,A veces,Casi Nunca,Mañana,Cubrir gastos,5,5,5
4,21,2,1,3,30,200,50,"BCP, Banco de la nación",Yo,A veces,A veces,Casi siempre,Casi siempre,Tarde,Comodidad,5,5,5
4,19,2,1,1,50,50,150,"BCP, Banco de la nación",Yo,Nunca,Nunca,Casi siempre,Casi siempre,Tarde,Comodidad,3,5,5
3,18,1,3,1,20,50,0,BCP,Yo,Nunca,Nunca,Casi Nunca,A veces,Tarde,Mayor privacidad,5,5,3
5,19,3,1,1,10,40,200,"BCP, Interbank, Banco de la nación",Yo,Muy seguido,Casi siempre,Siempre,Rara vez,Mañana,Seguridad,4,2,5
3,18,1,1,1,30,100,100,Banco de la nación,Yo,Nunca,Nunca,A veces,A veces,Tarde,Mayor privacidad,5,5,5
3,18,1,1,1,50,50,50,BCP,Yo,A veces,A veces,Casi siempre,Casi siempre,Mañana,Seguridad,4,4,4
3,17,1,1,1,20,50,80,Interbank,Mi padre/madre,Rara vez,Rara vez,A veces,A veces,Mañana,Seguridad,3,3,3
3,18,2,1,1,10,20,100,BCP,Mi padre/madre,Nunca,Nunca,Rara vez,Rara vez,Noche,Comodidad,4,5,3
4,19,3,1,5,10,100,250,"BCP, Interbank, Banco de la nación",Yo,Muy seguido,Nunca,Muy seguido,Nunca,Noche,Comodidad,4,5,5
4,19,2,1,1,40,30,30,"BCP, Banco de la nación",Mi padre/madre,Nunca,Casi Nunca,A veces,Casi siempre,Mañana,Seguridad,5,5,5
