País Destino; Año ; Meses ; Total registros ;Total KG;US/KG;US;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Abril ; 3 ;2669524.00;1.674;4469171;;;;;;;;;;;;;;;;;;;
MÉXICO;2021; Abril ; 1 ;366514.00;2.554;936051;;;;;;;;;;;;;;;;;;;
CHILE;2021; Abril ; 1 ;235.00;1.000;235;;;;;;;;;;;;;;;;;;;
CHINA;2021; Mayo ; 92 ;529160456.00;2.466;1304664438;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Mayo ; 7 ;74785131.00;2.451;183317763;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Mayo ; 15 ;30303763.00;3.158;95703323;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Mayo ; 1 ;10888500.00;2.090;22754699;;;;;;;;;;;;;;;;;;;
FILIPINAS;2021; Mayo ; 1 ;10944390.00;1.839;20129897;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Mayo ; 5 ;4063407.00;1.805;7334755;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Mayo ; 1 ;189660.00;12.524;2375349;;;;;;;;;;;;;;;;;;;
MÉXICO;2021; Mayo ; 1 ;366560.00;2.573;943302;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Mayo ; 1 ;369953.00;1.989;735977;;;;;;;;;;;;;;;;;;;
CHINA;2021; Junio ; 78 ;409496978.00;2.393;979990323;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Junio ; 12 ;56292131.00;3.186;179325357;;;;;;;;;;;;;;;;;;;
INDIA;2021; Junio ; 4 ;44001424.00;2.872;126377206;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Junio ; 6 ;50606725.00;2.039;103211127;;;;;;;;;;;;;;;;;;;
POLONIA;2021; Junio ; 1 ;11001723.00;3.141;34556168;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Junio ; 6 ;16223275.00;1.798;29172519;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Junio ; 1 ;10004680.00;2.510;25106812;;;;;;;;;;;;;;;;;;;
CHILE;2021; Junio ; 1 ;600900.00;2.805;1685637;;;;;;;;;;;;;;;;;;;
CHINA;2021; Julio ; 78 ;447482380.00;2.167;969897126;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Julio ; 11 ;47230003.00;2.869;135485953;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Julio ; 3 ;32193830.00;2.189;70469304;;;;;;;;;;;;;;;;;;;
INDIA;2021; Julio ; 3 ;30945020.00;2.195;67913523;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Julio ; 3 ;32753382.00;2.019;66118843;;;;;;;;;;;;;;;;;;;
FILIPINAS;2021; Julio ; 1 ;9975998.00;2.494;24875911;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Julio ; 1 ;10043000.00;1.793;18012091;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Julio ; 1 ;10054000.00;1.781;17905076;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Julio ; 4 ;4243124.00;1.742;7393404;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Julio ; 1 ;264.00;0.004;1;;;;;;;;;;;;;;;;;;;
CHINA;2021; Agosto ; 95 ;495413806.00;2.333;1155990780;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Agosto ; 6 ;63981391.00;2.331;149114786;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Agosto ; 10 ;55427026.00;2.522;139781775;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Agosto ; 3 ;31408224.00;2.138;67144265;;;;;;;;;;;;;;;;;;;
FILIPINAS;2021; Agosto ; 2 ;22001492.00;2.924;64328677;;;;;;;;;;;;;;;;;;;
SINGAPUR;2021; Agosto ; 1 ;10041400.00;2.521;25315251;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Agosto ; 2 ;1305762.00;3.394;4431117;;;;;;;;;;;;;;;;;;;
CHILE;2021; Agosto ; 6 ;1289573.04;2.132;2748964;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Agosto ; 1 ;571624.00;1.654;945520;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Agosto ; 1 ;346636.00;1.944;673978;;;;;;;;;;;;;;;;;;;
FINLANDIA;2021; Agosto ; 1 ;76.95;0.013;1;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Agosto ; 1 ;129.00;0.000;0;;;;;;;;;;;;;;;;;;;
CHINA;2021; Septiembre ; 88 ;549129560.00;2.234;1226601784;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Septiembre ; 5 ;41486316.00;2.105;87327930;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Septiembre ; 4 ;32752753.00;2.638;86418137;;;;;;;;;;;;;;;;;;;
INDIA;2021; Septiembre ; 2 ;23301622.00;2.762;64356147;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Septiembre ; 4 ;22222154.00;2.166;48126827;;;;;;;;;;;;;;;;;;;
AUSTRALIA;2021; Septiembre ; 5 ;20099758.00;1.683;33837752;;;;;;;;;;;;;;;;;;;
FINLANDIA;2021; Septiembre ; 1 ;10017128.00;2.600;26048399;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Septiembre ; 2 ;11259505.00;2.134;24033170;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Septiembre ; 6 ;5212011.00;1.803;9398954;;;;;;;;;;;;;;;;;;;
BRASIL;2021; Septiembre ; 1 ;135.85;0.736;100;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Septiembre ; 1 ;12.00;1.000;12;;;;;;;;;;;;;;;;;;;
CHINA;2021; Octubre ; 96 ;472853092.00;2.444;1155528752;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Octubre ; 4 ;43903702.00;2.372;104138943;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Octubre ; 1 ;11001260.00;3.606;39670764;;;;;;;;;;;;;;;;;;;
BULGARIA;2021; Octubre ; 1 ;11000340.00;3.543;38969128;;;;;;;;;;;;;;;;;;;
INDIA;2021; Octubre ; 1 ;10275613.00;3.113;31986336;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Octubre ; 4 ;10333152.00;2.076;21447158;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Octubre ; 7 ;4188419.00;1.867;7819661;;;;;;;;;;;;;;;;;;;
CHILE;2021; Octubre ; 7 ;841642.00;2.838;2388687;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Octubre ; 2 ;217.54;14.526;3160;;;;;;;;;;;;;;;;;;;
BRASIL;2021; Octubre ; 1 ;2536.00;0.140;355;;;;;;;;;;;;;;;;;;;
CHINA;2021; Noviembre ; 103 ;423098652.00;2.523;1067588042;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Noviembre ; 7 ;74126853.00;2.594;192315761;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Noviembre ; 9 ;82842448.00;2.255;186794626;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Noviembre ; 5 ;45116211.00;2.837;128009225;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Noviembre ; 5 ;35980950.00;2.165;77910896;;;;;;;;;;;;;;;;;;;
POLONIA;2021; Noviembre ; 1 ;23701570.00;2.741;64959891;;;;;;;;;;;;;;;;;;;
FINLANDIA;2021; Noviembre ; 2 ;18641199.00;2.658;49553555;;;;;;;;;;;;;;;;;;;
FILIPINAS;2021; Noviembre ; 2 ;21143020.00;2.069;43736117;;;;;;;;;;;;;;;;;;;
SUECIA;2021; Noviembre ; 1 ;9539326.00;2.680;25562366;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Noviembre ; 2 ;9638419.00;1.760;16963066;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Noviembre ; 2 ;1640634.00;1.753;2875762;;;;;;;;;;;;;;;;;;;
CHILE;2021; Noviembre ; 4 ;770375.00;1.556;1198487;;;;;;;;;;;;;;;;;;;
CHINA;2021; Diciembre ; 78 ;559891956.00;1.988;1113235728;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Diciembre ; 6 ;41901777.00;1.931;80912827;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Diciembre ; 3 ;23500144.00;3.112;73132807;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Diciembre ; 2 ;20808495.00;3.136;65253978;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Diciembre ; 2 ;26125316.00;1.970;51459854;;;;;;;;;;;;;;;;;;;
INDIA;2021; Diciembre ; 2 ;21882365.00;2.010;43975031;;;;;;;;;;;;;;;;;;;
BULGARIA;2021; Diciembre ; 1 ;11000080.00;3.780;41585323;;;;;;;;;;;;;;;;;;;
NAMIBIA;2021; Diciembre ; 1 ;23124374.00;1.727;39927700;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Diciembre ; 6 ;5181587.00;1.693;8772411.5;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Diciembre ; 2 ;1168866.00;1.903;2223841;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Diciembre ; 1 ;100274.00;10.680;1070887;;;;;;;;;;;;;;;;;;;
CHILE;2021; Diciembre ; 2 ;24820.00;0.932;23129;;;;;;;;;;;;;;;;;;;
CHINA;2022; Enero ; 80 ;527430595.00;2.252;1188036774;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Enero ; 4 ;42541219.00;3.116;132573176.7;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Enero ; 6 ;52500547.00;1.918;100707723;;;;;;;;;;;;;;;;;;;
MÉXICO;2022; Enero ; 1 ;20262586.00;1.706;34562704;;;;;;;;;;;;;;;;;;;
FILIPINAS;2022; Enero ; 1 ;10226397.00;2.353;24060096;;;;;;;;;;;;;;;;;;;
ESPAÑA;2022; Enero ; 1 ;5175769.00;1.861;9633819;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Enero ; 9 ;5084332.00;1.661;8443519.99;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Enero ; 3 ;1567210.00;2.006;3144116.96;;;;;;;;;;;;;;;;;;;
CHILE;2022; Enero ; 6 ;1246885.00;2.475;3086317.77;;;;;;;;;;;;;;;;;;;
CHINA;2022; Febrero ; 84 ;436307841.00;2.249;981123839.4;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Febrero ; 9 ;55855057.00;2.566;143297011;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Febrero ; 4 ;31502459.00;2.664;83921639;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Febrero ; 2 ;21091208.00;2.866;60444512;;;;;;;;;;;;;;;;;;;
INDIA;2022; Febrero ; 1 ;22000279.00;1.983;43633473;;;;;;;;;;;;;;;;;;;
BULGARIA;2022; Febrero ; 2 ;20819746.00;1.994;41512271;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Febrero ; 5 ;22189360.00;1.865;41375285;;;;;;;;;;;;;;;;;;;
POLONIA;2022; Febrero ; 1 ;9987970.00;2.454;24507600;;;;;;;;;;;;;;;;;;;
TURQUÍA;2022; Febrero ; 1 ;9915704.00;1.627;16137610;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Febrero ; 14 ;5952189.00;1.587;9445950.8;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Febrero ; 1 ;121530.00;12.280;1492406;;;;;;;;;;;;;;;;;;;
CHILE;2022; Febrero ; 2 ;293668.00;1.882;552813;;;;;;;;;;;;;;;;;;;
PAÍSES BAJOS;2022; Febrero ; 1 ;2000.00;0.083;165;;;;;;;;;;;;;;;;;;;
CHINA;2022; Marzo ; 81 ;456193104.00;2.043;932145741.8;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Marzo ; 3 ;43060655.00;2.191;94326425;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Marzo ; 4 ;12627937.00;3.528;44548961.55;;;;;;;;;;;;;;;;;;;
INDIA;2022; Marzo ; 1 ;12000188.00;2.424;29085445;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Marzo ; 3 ;2527104.00;1.987;5021965;;;;;;;;;;;;;;;;;;;
MÉXICO;2022; Marzo ; 1 ;826311.00;4.966;4103650;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Marzo ; 2 ;1158651.00;1.923;2228186;;;;;;;;;;;;;;;;;;;
CHILE;2022; Marzo ; 4 ;855729.00;2.510;2147727;;;;;;;;;;;;;;;;;;;
ESPAÑA;2022; Marzo ; 1 ;932572.00;0.001;1298;;;;;;;;;;;;;;;;;;;
AUSTRALIA;2022; Marzo ; 2 ;934.53;0.108;101;;;;;;;;;;;;;;;;;;;
CHINA;2022; Abril ; 92 ;494171242.00;2.218;1096275324;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Abril ; 10 ;52002180.00;2.062;107213387;;;;;;;;;;;;;;;;;;;
INDIA;2022; Abril ; 3 ;30847351.00;2.485;76664082;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Abril ; 2 ;12327006.00;2.356;29042714.62;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Abril ; 3 ;1407230.00;7.447;10480284;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Abril ; 4 ;3422433.00;1.950;6672172.12;;;;;;;;;;;;;;;;;;;
CHILE;2022; Abril ; 3 ;556440.85;1.960;1090682.12;;;;;;;;;;;;;;;;;;;
MÉXICO;2022; Abril ; 1 ;80.00;0.625;50;;;;;;;;;;;;;;;;;;;
AUSTRALIA;2022; Abril ; 1 ;68.40;0.512;35;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Abril ; 1 ;4275.00;0.006;25;;;;;;;;;;;;;;;;;;;
CHINA;2022; Mayo ; 58 ;350564461.00;2.033;712663611.3;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Mayo ; 13 ;76004640.00;1.963;149168086;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Mayo ; 3 ;34543621.00;2.143;74016986;;;;;;;;;;;;;;;;;;;
BULGARIA;2022; Mayo ; 3 ;30405324.00;2.396;72846713;;;;;;;;;;;;;;;;;;;
ESPAÑA;2022; Mayo ; 4 ;28701440.00;1.800;51672370.65;;;;;;;;;;;;;;;;;;;
INDIA;2022; Mayo ; 1 ;21550324.00;1.987;42826172;;;;;;;;;;;;;;;;;;;
NAMIBIA;2022; Mayo ; 1 ;19597363.00;1.818;35637217;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Mayo ; 4 ;17274504.00;1.563;26996686.87;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Mayo ; 3 ;2178743.00;1.627;3543980.75;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Mayo ; 1 ;297415.00;8.695;2586001;;;;;;;;;;;;;;;;;;;
HONG KONG;2022; Mayo ; 1 ;1214413.00;1.653;2007659;;;;;;;;;;;;;;;;;;;
CHILE;2022; Mayo ; 1 ;242904.00;5.402;1312230.12;;;;;;;;;;;;;;;;;;;
CHINA;2022; Junio ; 96 ;590478720.00;1.983;1170971405;;;;;;;;;;;;;;;;;;;
NAMIBIA;2022; Junio ; 3 ;35480826.00;1.744;61878919;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Junio ; 3 ;31707800.00;1.897;60140103;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Junio ; 2 ;21151958.00;2.279;48197666;;;;;;;;;;;;;;;;;;;
FINLANDIA;2022; Junio ; 1 ;22154228.00;1.901;42124980;;;;;;;;;;;;;;;;;;;
ESPAÑA;2022; Junio ; 2 ;20077575.00;1.765;35431678;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Junio ; 1 ;10996062.00;3.043;33465152;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Junio ; 1 ;9902413.00;3.372;33389580;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Junio ; 3 ;2879132.00;2.031;5848026.24;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Junio ; 2 ;1756109.00;1.605;2817837.37;;;;;;;;;;;;;;;;;;;
MÉXICO;2022; Junio ; 1 ;530519.00;4.213;2235161.5;;;;;;;;;;;;;;;;;;;
CHILE;2022; Junio ; 4 ;2305.00;0.130;300.04;;;;;;;;;;;;;;;;;;;
CHINA;2022; Julio ; 74 ;503190803.00;1.865;938620717.1;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Julio ; 10 ;65017950.00;1.618;105220042;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Julio ; 2 ;22000330.00;1.902;41854410;;;;;;;;;;;;;;;;;;;
HONG KONG;2022; Julio ; 2 ;2417485.00;1.454;3515821;;;;;;;;;;;;;;;;;;;
MÉXICO;2022; Julio ; 1 ;369499.00;4.387;1621003.25;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Julio ; 3 ;183153.25;8.655;1585214;;;;;;;;;;;;;;;;;;;
CHILE;2022; Julio ; 2 ;220094.10;6.377;1403543;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Julio ; 1 ;749419.00;1.584;1186916;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Julio ; 1 ;479813.00;1.244;596697;;;;;;;;;;;;;;;;;;;
ESTADOS UNIDOS;2022; Julio ; 1 ;884.45;2.171;1920;;;;;;;;;;;;;;;;;;;
CHINA;2022; Agosto ; 124 ;561230597.00;1.994;1119106744;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Agosto ; 7 ;63711213.00;1.720;109559300;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Agosto ; 2 ;21027934.00;3.003;63142148;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Agosto ; 2 ;22004603.00;2.487;54721228;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Agosto ; 2 ;22192389.00;1.833;40684308;;;;;;;;;;;;;;;;;;;
INDIA;2022; Agosto ; 1 ;23000447.00;1.431;32916927;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Agosto ; 4 ;11887041.00;1.679;19963635;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Agosto ; 6 ;4154986.00;1.477;6135029;;;;;;;;;;;;;;;;;;;
HUNGRÍA;2022; Agosto ; 1 ;106.00;57.925;6140;;;;;;;;;;;;;;;;;;;
AUSTRALIA;2022; Agosto ; 1 ;652.10;0.002;1;;;;;;;;;;;;;;;;;;;
CHINA;2022; Septiembre ; 80 ;615426327.00;1.904;1171735235;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Septiembre ; 5 ;51918257.00;1.904;98841662;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Septiembre ; 2 ;22198256.00;2.680;59480576;;;;;;;;;;;;;;;;;;;
ESPAÑA;2022; Septiembre ; 3 ;29931756.00;1.617;48392516;;;;;;;;;;;;;;;;;;;
INDIA;2022; Septiembre ; 1 ;11000190.00;2.428;26707140;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Septiembre ; 1 ;10105226.00;2.562;25893142;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Septiembre ; 6 ;12215782.00;1.769;21610994;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Septiembre ; 6 ;12039481.00;1.575;18957155;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Septiembre ; 2 ;386414.00;7.232;2794726;;;;;;;;;;;;;;;;;;;
CHILE;2022; Septiembre ; 2 ;504912.00;3.198;1614670;;;;;;;;;;;;;;;;;;;
CHINA;2022; Octubre ; 75 ;482203424.00;2.004;966268774;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Octubre ; 5 ;64637305.00;1.805;116697282;;;;;;;;;;;;;;;;;;;
NAMIBIA;2022; Octubre ; 1 ;28595997.00;1.569;44857396;;;;;;;;;;;;;;;;;;;
FINLANDIA;2022; Octubre ; 1 ;11277740.00;2.785;31402928;;;;;;;;;;;;;;;;;;;
BULGARIA;2022; Octubre ; 1 ;10023342.00;3.068;30756224;;;;;;;;;;;;;;;;;;;
POLONIA;2022; Octubre ; 1 ;12000546.00;1.956;23473944;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Octubre ; 1 ;10158978.00;2.297;23330488;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Octubre ; 1 ;10000845.00;1.499;14986405;;;;;;;;;;;;;;;;;;;
ESPAÑA;2022; Octubre ; 1 ;9700592.00;1.425;13824352;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Octubre ; 5 ;4558199.00;1.729;7882969;;;;;;;;;;;;;;;;;;;
MÉXICO;2022; Octubre ; 1 ;521208.00;7.146;3724576;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Octubre ; 2 ;1353863.00;1.826;2472280;;;;;;;;;;;;;;;;;;;
ZONA FRANCA PERÚ;2022; Octubre ; 1 ;91620.00;0.047;4332;;;;;;;;;;;;;;;;;;;
ESTADOS UNIDOS;2022; Octubre ; 1 ;50.00;0.400;20;;;;;;;;;;;;;;;;;;;
CHILE;2022; Octubre ; 1 ;285.00;0.000;0;;;;;;;;;;;;;;;;;;;
CHINA;2022; Noviembre ; 85 ;337192672.00;1.980;667547135;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Noviembre ; 7 ;53450056.00;1.603;85668337;;;;;;;;;;;;;;;;;;;
ALEMANIA;2022; Noviembre ; 1 ;10003890.00;3.327;33287856;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Noviembre ; 5 ;5026735.00;1.663;8359328;;;;;;;;;;;;;;;;;;;
AUSTRALIA;2022; Noviembre ; 1 ;15.57;1.028;16;;;;;;;;;;;;;;;;;;;
CHINA;2022; Diciembre ; 76 ;369191361.00;1.902;702294025;;;;;;;;;;;;;;;;;;;
JAPÓN;2022; Diciembre ; 9 ;75288511.00;1.542;116065472;;;;;;;;;;;;;;;;;;;
ESPAÑA;2022; Diciembre ; 2 ;29000451.00;1.712;49656668;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2022; Diciembre ; 6 ;16790303.00;2.620;43998187;;;;;;;;;;;;;;;;;;;
FILIPINAS;2022; Diciembre ; 1 ;21268330.00;1.791;38084288;;;;;;;;;;;;;;;;;;;
BULGARIA;2022; Diciembre ; 1 ;10472170.00;3.185;33357814;;;;;;;;;;;;;;;;;;;
MALASIA;2022; Diciembre ; 4 ;4039229.00;1.641;6627978;;;;;;;;;;;;;;;;;;;
CANADÁ;2022; Diciembre ; 1 ;326966.00;10.117;3307891;;;;;;;;;;;;;;;;;;;
TAIWÁN;2022; Diciembre ; 2 ;675078.00;1.920;1296219;;;;;;;;;;;;;;;;;;;
ESTADOS UNIDOS;2022; Diciembre ; 1 ;796.10;0.888;707;;;;;;;;;;;;;;;;;;;
